#OTU ID,TL1a_FP_230,TL1a_FP_128,TL1a_FP_129,TL1a_FP_86,TL1a_FP_266,TL1a_FP_159,TL1a_FP_195,TL1a_FP_158,TL1a_DTT_127_Repeat,TL1a_DTT_157_Repeat,TL1a_FP_231,TL1a_FP_284,TL1a_FP_267,TL1a_FP_87,TL1a_FP_194,TL1a_FP_285,TL1a_DTT_284,TL1a_DTT_231,TL1a_FP_85,TL1a_DTT_267,TL1a_FP_127,TL1a_DTT_158,TL1a_FP_193,TL1a_FP_265,TL1a_DTT_129,TL1a_DTT_265,TL1a_DTT_285,TL1a_DTT_159,TL1a_FP_157,TL1a_DTT_195,TL1a_DTT_85,TL1a_DTT_86,TL1a_DTT_193,TL1a_DTT_230,TL1a_DTT_128,TL1a_DTT_283,TL1a_DTT_194,TL1a_DTT_229,TL1a_FP_283,TL1a_FP_229,TL1a_DTT_87,TL1a_DTT_266,TL1A_DTT_673,TL1A_FP_626,TL1A_DTT_675,TL1A_DTT_626,TL1A_FP_674,TL1A_DTT_674,TL1A_DTT_627,TL1A_FP_625,TL1A_FP_673,TL1A_FP_675,TL1A_FP_627,taxonomy
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium,73,0,0,12,33,0,1,0,12,0,23,146,9,0,2,186,1,7,10,0,6,0,8,2,3,0,49,0,5,0,9,0,1,0,0,52,11,0,100,6,18,43,0,13,0,3,0,0,2,14,9,0,5,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Rikenellaceae_RC9_gut_group,3047,1977,2760,0,11171,1092,1143,1598,2112,1830,3801,1176,13965,0,1988,1080,22,113,120,6125,5008,245,631,15950,1185,1194,1335,3275,11942,103,0,0,900,284,1005,1744,1234,186,6636,3948,0,723,0,0,0,0,0,0,0,2,1,0,0,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides,6,10,23,160,204,5,29,6,19,0,12,15,207,177,23,106,24,20,214,102,36,4,22,519,8,52,134,58,41,15,189,66,76,3,0,68,76,1173,55,6,188,400,547,109,29,62,102,23,73,163,162,60,88,
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Alicyclobacillaceae;g__Tumebacillus,0,0,0,9,0,0,0,0,29,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,45,0,1,0,0,7,0,0,0,0,30,0,72,0,3,0,0,4,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus,398,112,174,128,3416,4,1131,34,214,100,474,133,1633,19,1695,1132,77,36,270,1077,680,14,774,1226,315,431,1047,94,294,1107,294,66,221,234,262,1730,1392,6,899,106,291,72,43,9,3,5,29,7,2,17,18,8,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__,4,12,23,51,56,1,1,0,13,0,9,0,99,17,0,23,7,1,21,39,17,4,0,7,8,26,6,6,4,3,10,10,1,5,0,18,15,0,20,1,5,16,0,15,6,14,5,11,50,4,4,5,40,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae;g__,10,0,2,25,0,0,0,0,0,0,12,0,0,45,0,0,0,13,32,0,0,0,0,0,0,0,0,0,0,0,6,11,0,4,0,0,0,18,0,4,44,3,4,3,0,3,3,0,5,2,9,2,4,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae_1;g__Candidatus_Arthromitus,2,4,7,36,9,8,4,0,33,1060,4,707,7,2,2,1397,52,4,35,47,63,12,9,3,4,70,5309,88,47,2,53,3,4,6,8,35,5,17,268,3,77,8,28,0,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae_1;g__Clostridium_sensu_stricto_1,15,76,36,0,180,0,2,0,26,0,25,0,104,0,12,11,0,6,11,84,105,0,17,204,44,0,6,0,0,7,64,0,0,3,11,0,7,0,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiales_vadinBB60_group;g__,608,886,177,2635,340,58,83,37,1100,234,562,177,304,3197,40,292,2082,2042,1174,621,175,82,6,121,1896,173,503,317,307,306,1606,1448,217,1202,1653,532,304,159,854,138,5329,97,24,167,26,85,24,32,343,38,31,102,101,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae;g__Eubacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Family_XIII;g__,24,2,7,39,55,38,4,17,37,61,18,18,110,5,2,74,44,29,47,119,9,19,2,62,91,52,50,118,84,20,36,8,14,22,20,52,9,25,88,3,68,50,4,24,3,10,14,21,29,19,23,32,16,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Family_XIII;g__Family_XIII_UCG-001,64,28,17,0,15,0,0,0,45,0,79,1,32,0,0,21,139,237,0,83,41,0,0,3,49,0,60,0,0,0,0,0,3,131,66,97,14,47,50,4,0,72,13,15,10,17,5,12,191,4,3,13,19,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__,1963,8315,3635,914,1728,365,1308,564,3047,2598,1129,891,2141,961,125,4714,4750,3013,1140,5140,3528,1377,75,396,4004,1754,3274,2513,1145,4927,806,862,2015,1429,2838,4140,1380,552,6443,332,1945,2403,123,462,159,197,175,227,526,139,238,645,459,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Acetatifactor,63,129,131,16,111,16,32,9,688,189,50,193,134,1,2,3563,3619,1484,59,855,133,81,1,3,1103,255,1656,234,26,1559,0,3,437,303,820,1947,168,93,1756,22,41,317,52,72,90,52,103,161,115,36,153,168,123,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Anaerostipes,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia,0,0,0,0,0,0,0,0,8,123,0,0,8,0,0,0,0,112,0,0,0,0,0,0,0,0,0,2,0,0,9,0,3,0,0,8,0,305,2,0,2,51,32,2,0,0,0,0,0,0,3,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Cuneatibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Eisenbergiella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,30,0,0,0,12,17,0,0,0,0,0,0,0,5,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__GCA-900066575,115,70,27,53,42,65,14,20,86,216,76,81,103,412,3,673,1766,26,90,305,43,39,1,3,62,94,600,131,81,38,134,238,40,16,36,316,54,59,440,50,272,122,21,14,29,5,8,12,134,8,1,9,16,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Hungatella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnoclostridium,815,2330,1591,504,734,245,645,266,394,706,629,206,858,413,66,2114,2952,925,309,1980,1285,452,28,94,768,960,1667,631,342,709,181,194,545,1033,700,1110,266,1614,1029,142,495,1416,189,110,65,85,76,151,308,45,68,199,130,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_FCS020_group,37,160,102,51,35,56,641,50,153,311,18,9,48,10,9,236,1167,33,22,399,29,174,1,8,155,413,734,173,23,5226,45,32,1918,31,101,1199,1129,16,559,5,96,116,4,18,1,19,2,0,12,2,1,19,15,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_ND3007_group,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_NK4A136_group,10718,9481,2876,25077,596,759,1684,716,7159,1483,4551,64,1302,62746,144,1266,59241,94636,9917,83477,3784,2002,95,342,8369,6661,3860,1864,458,96396,21723,42401,12623,10765,6088,4710,4648,2684,5074,1032,41069,11473,2264,2674,4245,5078,3422,3702,10694,854,3133,4335,9326,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-001,0,0,0,0,194,0,0,0,11,0,0,574,529,0,0,1982,33111,0,0,13146,0,0,1,743,2,1338,581,0,0,1,0,0,0,0,9,360,0,39,1867,0,0,3374,0,0,5,0,4,5,4,0,77,47,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-004,267,79,64,57,93,19,83,50,52,149,269,66,261,15,8,423,1143,322,89,622,187,151,9,14,89,170,584,346,186,174,51,63,52,397,6,175,57,18,379,22,49,323,3,25,21,18,11,22,40,7,11,71,18,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-006,14,415,66,35,6,14,72,14,641,163,9,4,22,3,5,44,2,15,24,17,57,61,4,4,599,3,0,54,8,583,16,46,196,12,626,14,118,0,18,0,134,7,0,11,1,0,6,3,0,0,4,12,9,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-010,0,21,18,4,4,3,0,3,18,32,3,0,7,3,0,0,8,7,4,17,0,6,0,0,18,0,25,14,0,9,19,2,0,3,18,3,0,0,17,0,0,7,7,0,2,2,0,6,12,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lactonifactor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Marvinbryantia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia,389,529,233,0,87,0,1,0,351,0,246,4,404,0,0,159,176,286,0,355,515,0,0,7,340,96,83,0,0,0,0,0,0,412,303,54,19,27,433,116,0,175,4,0,0,0,10,0,5,0,61,8,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Sellimonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Shuttleworthia,0,1027,119,0,2,93,0,8,100,75,1,0,20,0,0,16,373,45,0,221,62,29,0,1,200,61,62,38,12,12,0,0,13,22,187,60,5,0,128,0,0,143,3,11,3,1,0,0,6,0,0,11,2,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Tyzzerella,16,214,184,22,50,10,28,29,157,87,13,33,144,2,1,184,272,72,5,120,132,33,4,11,81,2,237,53,85,26,6,8,40,13,88,132,30,203,139,10,21,109,59,23,8,33,5,25,80,8,13,10,27,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__UC5-1-2E3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae;g__,0,45,72,47,69,7,114,23,121,73,0,9,90,21,8,42,133,0,26,93,42,56,6,2,56,30,74,41,17,158,45,70,106,0,69,93,56,0,68,0,43,114,13,16,17,31,7,40,50,0,4,8,16,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Romboutsia,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,2,0,13,0,0,3,0,0,0,103,0,0,0,21,30,0,0,0,0,3,0,0,6,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__,106,1601,917,162,77,17,171,20,639,336,145,12,164,112,9,472,625,117,160,668,715,38,4,36,707,135,275,128,47,539,144,110,77,180,1046,400,202,73,774,7,393,136,17,52,108,38,33,209,169,8,70,218,44,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Anaerotruncus,22,9,11,7,33,35,18,21,2,64,15,0,16,2,11,49,13,4,0,14,15,31,0,4,14,16,36,43,19,88,0,7,15,6,0,11,87,6,4,5,6,15,18,12,0,3,0,0,16,0,4,0,18,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Angelakisella,61,0,0,0,12,0,25,6,0,55,26,0,47,0,1,0,0,17,0,54,0,8,0,45,0,45,0,29,8,1,0,0,4,26,0,0,8,0,0,15,0,36,0,0,3,3,5,8,0,0,3,13,3,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Butyricicoccus,15,0,0,0,27,7,16,12,0,65,18,1,32,0,0,50,55,31,0,32,0,31,1,2,0,9,65,22,20,35,0,0,3,18,0,75,23,0,19,0,0,2,0,0,4,6,0,0,28,0,0,0,4,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium,0,3,0,0,0,1,0,4,0,14,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,12,0,0,0,0,79,0,0,0,0,357,0,0,0,85,40,0,0,0,3,0,0,0,1,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Flavonifractor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,39,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__GCA-900066225,27,0,0,0,2,0,2,0,0,51,15,1,5,0,0,37,31,1,0,30,0,3,0,0,0,13,4,17,21,1,0,0,9,5,0,39,1,0,34,1,0,4,1,11,5,2,9,16,3,1,7,1,5,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Harryflintia,14,0,0,0,5,0,0,0,0,0,14,2,14,0,0,11,3,5,0,33,0,0,0,15,0,10,0,0,0,3,0,0,0,9,0,7,0,0,0,2,0,5,0,0,2,2,2,4,2,0,3,21,5,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Intestinimonas,222,282,169,244,97,22,120,44,203,371,188,37,229,113,17,434,641,274,207,413,218,103,22,32,418,132,363,236,198,261,72,130,136,290,442,250,176,28,374,52,684,146,5,22,21,30,18,33,40,9,19,40,23,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Negativibacillus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillibacter,981,785,648,570,141,59,305,38,487,406,1331,22,444,666,18,300,949,988,601,1081,389,47,8,36,814,375,420,182,112,1169,470,619,271,668,619,565,448,43,434,86,1307,522,7,54,165,107,21,188,599,25,35,125,62,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminiclostridium,423,1598,827,1133,169,119,186,108,964,401,420,34,539,2024,16,206,730,1754,1191,1433,366,126,10,70,1024,839,399,288,123,1263,601,813,420,1109,752,728,607,82,379,261,2021,899,21,63,62,81,17,57,370,17,36,119,69,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminiclostridium_5,812,189,166,265,391,140,97,119,227,538,455,46,414,127,11,424,478,228,183,664,159,291,27,175,312,200,397,279,127,778,301,299,299,221,274,204,359,40,299,97,740,94,26,26,55,37,19,47,199,10,17,50,25,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminiclostridium_9,1046,1453,801,1243,692,58,332,210,665,1134,1222,215,975,1047,48,1354,1222,1008,928,1097,898,252,53,260,565,244,686,586,664,960,892,1005,202,1528,648,882,807,45,1836,204,1804,528,21,57,104,98,63,261,296,35,78,209,74,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-003,75,2,7,0,6,0,0,0,0,0,122,0,9,0,0,10,13,173,0,21,4,0,0,2,8,14,12,0,0,0,0,0,0,65,9,9,8,0,10,10,0,7,3,8,26,28,6,20,71,0,1,15,17,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,250,0,0,0,25,6,0,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-005,243,98,44,114,50,0,0,0,55,0,154,0,63,225,0,0,0,98,182,60,67,0,2,14,46,65,0,0,0,0,192,109,0,86,37,0,6,16,0,24,321,35,0,0,9,0,7,27,0,0,2,31,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-009,3,37,38,100,43,25,60,42,44,56,3,3,150,42,4,114,182,32,24,105,10,19,0,9,33,14,250,65,22,67,87,35,21,37,0,127,25,0,63,5,97,29,8,0,9,12,3,39,50,3,2,26,6,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-010,10,1,8,0,199,0,8,0,4,0,6,67,128,0,1,147,1,3,0,38,0,0,1,107,17,0,30,0,0,2,0,0,25,3,4,25,28,0,133,9,0,0,1,38,3,1,3,1,1,21,2,0,3,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__UBA1819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,11,81,0,0,0,12,0,0,0,0,0,0,2,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,163,0,0,0,18,6,0,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Candidatus_Stoquefichus,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,9,0,0,0,0,13,0,0,0,0,506,0,0,0,30,13,0,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Dielma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Dubosiella,2,1,0,0,215,25,1,20,25,6,8,153,96,0,1,116,3,6,0,0,4,1,1,54,0,4,147,45,29,0,0,0,0,0,3,33,4,0,65,5,6,49,4,6,0,5,3,0,1,5,0,0,0,
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Erysipelatoclostridium,2,1,9,0,76,1,9,24,38,43,0,64,6,0,4,51,1,1,0,15,29,24,36,41,18,0,82,51,34,2,0,0,37,2,43,28,7,234,24,1,0,14,12,5,0,5,0,0,0,4,3,0,3,
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalibaculum,2,14,15,57,6,0,2,2,21,0,2,216,10,3,4,356,64,43,36,14,41,0,2,9,12,0,384,12,0,1,38,4,3,2,11,179,2,0,146,0,36,57,5,77,4,35,7,6,20,84,20,12,17,
