OTU.ID	TL1a_FP_162	TL1a_FP_88	TL1a_FP_230	TL1a_FP_89	TL1a_FP_234	TL1a_FP_128	TL1a_FP_129	TL1a_FP_287	TL1a_FP_86	TL1a_FP_198	TL1a_FP_161	TL1a_FP_266	TL1a_FP_197	TL1a_FP_159	TL1a_FP_132	TL1a_FP_130	TL1a_FP_90	TL1a_FP_195	TL1a_FP_158	TL1a_FP_231	TL1a_FP_284	TL1a_FP_267	TL1a_FP_269	TL1a_FP_288	TL1a_FP_87	TL1a_FP_196	TL1a_FP_131	TL1a_FP_270	TL1a_FP_160	TL1a_FP_194	TL1a_FP_286	TL1a_FP_232	TL1a_FP_233	TL1a_FP_268	TL1a_FP_285	TL1a_FP_85	TL1a_FP_127	TL1a_FP_193	TL1a_FP_265	TL1a_FP_157	TL1a_FP_283	TL1a_FP_229	TL1A_FP_626	TL1A_FP_677	TL1A_FP_674	TL1A_FP_678	TL1A_FP_625	TL1A_FP_630	TL1A_FP_673	TL1A_FP_675	TL1A_FP_627	taxonomy
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter	0	0	0	0	0	0	0	0	0	940	0	0	0	0	0	0	12	0	0	0	0	0	197	40	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Colidextribacter	1	1369	1046	0	28	1466	800	1074	1242	23	0	692	106	58	499	7	336	332	210	1222	215	975	21	486	1052	280	20	0	81	48	513	70	64	421	1354	928	897	53	259	664	1836	204	57	9	63	0	35	32	78	209	74	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Dielma	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__GCA-900066575	49	45	113	106	0	70	28	82	53	81	47	42	78	66	60	38	24	14	20	77	81	104	36	112	418	18	0	156	80	3	177	0	28	102	666	89	43	2	3	80	456	50	14	3	8	10	8	18	1	9	16	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__[Clostridium] innocuum group	109	0	0	251	0	0	0	0	0	298	80	0	120	0	0	111	7	0	0	0	0	0	22	0	0	0	0	94	3	0	0	0	11	37	0	0	0	0	0	0	0	0	0	49	0	28	0	11	0	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Marvinbryantia	390	99	35	25	8	215	78	0	74	241	169	0	56	0	0	12	21	0	0	69	0	0	72	7	66	0	8	43	1	0	0	21	35	33	0	57	14	0	0	0	0	190	4	2	0	0	7	0	7	0	8	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae UCG-001	0	0	0	0	8	0	0	3	0	0	0	194	0	0	0	0	0	0	0	0	540	481	577	137	0	0	11	40	0	0	176	0	0	128	2028	0	0	1	821	0	1858	0	0	0	4	0	0	0	68	48	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae;g__	47	30	10	43	0	0	2	0	25	28	15	0	22	0	0	17	0	0	0	12	0	0	0	0	45	0	0	25	8	0	0	0	2	15	0	32	0	0	0	0	0	4	3	0	3	13	2	4	9	2	4	
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia-Shigella	0	38	0	45	6	0	0	0	58	55	0	120	28	24	57	8	9684	0	29	0	9	40	1208	42	5	0	7	406	4859	0	10	0	18	343	7	19	0	0	168	139	16	0	0	2069	0	24	0	0	1	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae;g__Eubacterium	17	0	0	6	0	0	0	0	0	5	9	0	6	0	0	11	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Candidatus Stoquefichus	31	0	0	211	0	0	0	0	0	21	50	0	67	0	0	154	54	0	0	0	0	0	10	0	0	0	0	144	3	0	0	0	26	34	0	0	0	0	0	0	0	0	0	4	0	12	0	0	0	0	0	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelatoclostridium	36	0	2	166	3	1	10	31	0	61	55	78	139	1	9	92	110	9	24	0	66	6	6	9	0	28	0	22	1	5	32	7	24	14	49	0	29	36	45	32	22	1	4	12	0	17	4	3	3	0	4	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Paludicola	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	237	2	65	0	3	0	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter	6	665	982	0	4	779	650	165	568	0	3	140	65	60	152	0	258	305	38	1333	22	445	10	138	664	180	30	0	56	18	94	18	18	195	301	599	389	8	37	112	430	87	54	21	22	0	25	35	36	125	62	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium	1098	0	0	851	0	3	0	0	0	730	352	0	627	1	5	718	70	0	4	0	0	0	12	0	0	0	0	298	71	0	0	0	96	132	0	0	0	0	0	0	0	0	0	93	3	452	0	13	1	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus	11	8	22	8	8	9	11	62	7	34	12	33	20	35	95	6	16	18	21	15	0	16	3	25	2	22	0	3	24	11	23	0	0	11	49	0	15	0	4	19	4	4	12	11	0	3	0	27	4	0	19	
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides	4084	170	7	2518	12	10	24	425	158	1113	2014	205	951	5	21	811	113	29	6	14	17	208	2	203	174	26	0	0	36	25	65	0	214	115	107	212	34	23	521	38	54	7	109	695	101	3093	163	415	161	60	88	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnoclostridium	2018	522	822	2332	29	1997	1365	298	514	3833	1075	719	2358	167	482	970	263	456	205	619	204	789	265	243	402	259	45	1105	322	53	393	43	188	750	2173	310	1122	20	94	311	991	146	96	104	70	78	33	100	62	160	109	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae UCG-004	3	70	267	0	5	79	64	96	57	12	2	93	39	19	104	1	19	83	50	269	66	261	6	44	15	57	9	1	51	8	116	55	8	134	423	89	187	9	14	186	379	22	25	9	11	0	7	13	11	71	18	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Peptococcales;f__Peptococcaceae;g__	0	36	0	0	0	45	72	29	47	6	0	69	21	7	86	5	11	114	23	0	9	90	0	0	21	67	4	0	9	8	14	0	0	49	42	26	42	6	2	17	68	0	16	0	7	0	0	6	4	8	16	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Intestinimonas	4	371	243	0	5	588	286	164	334	25	0	132	45	31	126	19	28	229	54	197	42	305	4	148	139	116	5	0	43	21	148	22	8	180	590	285	466	23	54	235	555	52	32	0	24	0	12	17	27	78	30	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Incertae Sedis	28	245	804	20	24	179	162	241	270	159	10	388	82	141	277	3	42	96	117	447	44	409	11	82	125	60	10	8	214	10	184	21	23	198	436	193	160	27	171	137	304	97	26	0	19	2	9	14	17	50	23	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor	4	0	53	0	0	74	113	0	0	0	0	4	3	16	13	0	0	0	9	28	1	4	1	0	0	0	29	0	13	0	0	0	0	4	21	0	120	0	1	26	653	15	0	0	2	0	0	2	5	35	3	
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Paraprevotella	18771	150	0	24141	0	24	21	0	0	2	6701	0	4	1	32	7601	842	0	22	4	0	0	1	0	1	4	8	0	364	1	0	0	0	0	1	0	14	1	0	0	0	0	48	88	14	24	4	535	2	0	9	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eisenbergiella	216	0	0	32	0	0	0	0	0	370	52	0	98	0	0	19	0	0	0	0	0	0	105	0	0	0	0	122	0	0	0	0	15	71	0	0	0	0	0	0	0	0	0	35	0	60	0	14	5	0	0	
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum	23	232	39	0	84	56	85	546	198	50	29	118	49	46	541	0	107	50	171	50	531	103	65	144	312	71	18	19	81	106	70	3	3	52	429	234	76	53	108	106	221	35	0	0	99	6	0	17	102	43	0	
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter	386	495	0	125	0	484	231	273	481	2	164	222	24	70	302	66	13	79	57	0	61	380	3	196	488	72	14	0	129	9	104	0	0	201	278	335	226	12	118	247	283	0	248	2	242	3	254	122	482	432	257	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Romboutsia	1601	0	0	1882	0	0	0	0	0	46	94	0	0	0	0	77	149	0	0	0	0	0	0	0	0	0	0	3	38	0	0	0	6	0	0	0	0	0	0	2	0	0	0	63	0	31	0	5	6	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__Family XIII UCG-001	57	0	64	11	0	28	17	0	0	0	22	15	13	0	0	3	0	0	0	78	1	32	0	0	0	0	0	7	0	0	14	2	3	22	21	0	42	0	3	0	50	4	15	0	5	2	4	8	3	13	19	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Candidatus Arthromitus	2	47	2	2	4	4	7	11	36	2	4	9	4	8	7	46	6	4	0	4	707	7	14	263	2	6	66	41	3	2	41537	106	10	7	1397	35	63	9	3	47	268	3	0	0	0	0	0	0	0	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes	89	0	0	31	0	2	0	0	0	72	75	0	56	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6	0	4	0	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae ND3007 group	26	0	0	29	0	0	0	0	0	31	18	0	31	0	0	14	16	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	8	0	6	0	0	0	
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Parasutterella	1062	18	0	955	28	3	8	1032	5	1	1586	90	17	0	0	2244	572	0	4	0	0	47	27	309	0	0	9	37	20	0	349	9	7	39	1	0	0	0	10	0	0	0	45	576	10	467	46	141	4	5	18	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus	0	0	371	1	4744	0	7	1356	0	22165	0	40	3119	0	0	0	0	1116	0	441	51	0	1	18281	0	9979	13	36	1	1560	21487	51979	11328	18	1031	80	0	556	0	11	609	78	0	84	16	61	10	53	17	0	0	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalibaculum	1	12	2	0	6	14	15	748	57	20	3	6	14	0	18	108	145	2	2	2	216	10	78	802	3	6	113	16	329	4	1765	87	50	62	356	36	41	2	9	0	146	0	77	221	7	0	84	57	20	12	17	
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotellaceae UCG-001	0	128	342	0	0	0	0	0	201	0	0	0	13	0	0	0	6	0	0	188	0	0	1	25	436	0	7	0	0	0	0	6	0	0	0	248	0	1	0	0	0	748	30	0	7	0	87	21	30	14	26	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__	391	135	177	80	1	1289	798	72	73	11	37	29	76	6	39	35	0	96	16	139	6	96	17	0	86	43	8	41	14	5	135	12	3	58	333	83	468	3	63	41	581	22	49	3	34	10	6	18	68	186	34	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae FCS020 group	0	54	37	0	2	160	102	17	51	48	0	35	89	56	146	10	0	640	50	18	9	48	2	0	10	224	11	0	11	9	93	0	11	28	236	22	29	1	8	23	559	5	18	0	2	0	2	4	1	19	15	
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes	2146	4486	6225	524	96	899	857	3302	3523	140	853	3833	229	257	1428	292	184	506	455	8333	191	2521	26	1587	3127	525	10	16	402	142	468	107	77	1188	551	3916	770	128	1339	2393	933	2647	563	22	374	16	803	462	596	832	852	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia	709	2	0	584	9	0	0	0	0	319	395	0	328	0	0	230	425	0	0	0	0	8	141	0	0	0	0	608	12	0	0	4	38	270	0	0	0	0	0	0	2	0	2	58	0	53	0	14	3	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia	1	0	389	0	11	529	233	106	0	224816	3	87	4269	0	4	32	0	1	0	246	4	404	7	175	0	14	122	11	5	0	69	47	163	182	159	0	515	0	7	0	433	116	0	1550	11	366	0	0	65	8	0	
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__	0	0	0	7	0	0	0	0	0	150	0	0	0	0	0	16	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__[Eubacterium] nodatum group	94	23	0	79	0	0	2	46	28	21	31	54	6	38	85	23	0	5	15	3	18	109	0	0	2	5	0	29	28	2	37	0	5	76	58	17	0	1	63	69	59	0	24	11	12	0	19	7	20	15	14	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__UCG-010;g__	0	0	10	0	1	1	8	224	0	5	0	199	5	0	0	0	0	8	0	6	67	128	1	140	0	5	0	0	1	1	92	0	0	58	147	0	0	1	107	0	134	9	38	0	3	0	21	3	2	0	3	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Harryflintia	0	0	1	0	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	9	1	1	1	66	0	1	0	0	1	0	66	0	0	1	1	0	0	0	2	0	0	1	0	0	1	0	0	1	1	31	2	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Butyricicoccus	0	0	15	0	3	0	0	2	0	0	0	27	0	7	30	0	0	16	12	18	1	32	0	0	0	7	0	0	6	0	12	0	0	15	50	0	0	1	2	20	19	0	0	0	0	0	0	0	0	0	4	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Alicyclobacillales;f__Alicyclobacillaceae;g__Tumebacillus	0	0	0	0	5	0	0	8	9	1	0	0	0	0	9	0	369	0	0	0	0	0	23	0	0	0	32	11	1	0	10	0	8	3	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__[Eubacterium] brachy group	0	17	24	0	0	3	7	9	9	0	0	2	6	0	5	0	0	0	2	17	1	0	0	11	4	2	6	0	2	0	0	0	5	2	16	25	8	1	0	11	24	4	0	0	2	0	0	3	3	15	2	
k__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia	27534	202	20	16963	66	131	10	1097	112	2158	14278	6	2360	0	8	8147	18901	35	10	4	49	7	544	154	881	11	10	1223	657	21	73	27	505	184	111	208	1	16	26	0	2	14	1174	4635	222	3260	1955	857	697	94	696	
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Alloprevotella	49	12550	1092	3	21	817	1427	5235	17526	34	30	12608	958	1623	10671	128	851	3811	7242	1278	20290	7522	20	1791	9118	3979	223	84	586	6385	2756	100	74	2509	12785	9558	2224	4975	4854	17413	8529	533	327	1	1074	0	259	81	603	718	132	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Ruminococcus] torques group	1	0	0	7	0	0	0	0	0	0	1	0	12	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	12	0	2	0	0	0	0	0	
k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Enterorhabdus	0	0	3	0	7	4	6	17	0	23	0	21	16	0	0	11	0	6	0	7	2	14	87	76	0	43	22	5	369	15	97	74	10	28	10	0	11	4	1	7	12	0	0	0	2	0	0	0	5	6	2	
k__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium	0	9	73	0	46	0	0	126	12	25	0	33	21	0	6	6	0	1	0	23	146	9	793	698	0	27	27	21	745	2	4745	1159	426	157	186	10	6	8	2	5	100	6	13	0	0	0	14	15	9	0	5	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA1819	516	0	0	108	0	0	0	0	0	1710	69	0	101	0	0	87	17	0	0	0	0	0	31	0	0	0	0	70	22	0	0	3	24	38	0	0	0	0	0	0	0	0	0	8	0	20	0	3	0	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UCG-003	0	0	74	0	0	2	7	9	0	2	0	6	9	0	0	0	0	0	0	122	0	9	3	0	0	0	0	0	0	0	4	4	0	3	10	0	4	0	2	0	10	9	8	0	6	0	0	5	1	14	17	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UCG-005	0	206	243	0	6	98	44	10	114	8	0	50	11	0	0	0	63	0	0	154	0	63	1	0	225	0	4	0	1	0	0	8	5	36	0	182	67	2	14	0	0	24	0	0	7	0	0	0	2	31	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Tuzzerella	411	21	16	586	9	214	184	142	22	317	215	50	201	10	44	162	4	28	29	13	33	144	23	48	2	43	14	132	27	1	66	2	15	101	184	5	132	4	11	85	139	10	23	13	5	72	8	28	13	10	27	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Peptococcales;f__Peptococcaceae;g__Peptococcus	0	67	4	0	0	11	23	8	50	0	0	55	0	1	5	0	0	1	0	8	0	100	0	0	17	3	0	0	1	0	9	0	0	51	23	20	17	0	6	5	21	1	14	0	5	0	4	6	4	5	40	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium sensu stricto 1	0	0	15	0	12	76	36	0	0	0	0	180	27	0	6	22	0	2	0	25	0	104	22	0	0	10	63	18	3	12	0	151	14	89	11	11	105	17	204	0	15	9	0	0	0	0	0	0	0	0	0	
k__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio	3	185	291	0	2010	0	3	470	125	0	43	322	45	16	352	0	135	0	75	934	0	588	7775	103	31	3	8	609	14098	0	92	636	2538	3336	1	277	0	1	12	281	11	12	19	1	156	42	9	37	32	236	72	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae UCG-010	0	5	0	0	0	21	18	3	4	0	0	4	0	3	4	0	0	0	3	3	0	7	2	0	3	2	0	0	2	0	0	0	0	5	0	4	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus	11	134	27	23	476	112	167	769	128	382	19	3376	588	4	464	897	4908	15	34	33	82	1633	15898	7016	19	423	13715	1472	2657	135	4861	5859	1829	13753	101	190	680	218	1226	283	290	28	9	329	13	21	7	4	1	8	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium] xylanophilum group	14	0	0	1	8	0	0	0	0	58	24	745	129	54	306	61	0	308	266	0	655	610	1	11	0	264	0	11	305	14	323	0	0	356	2084	0	0	6	103	301	3745	0	143	16	49	0	71	94	78	156	135	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemania	67	2	0	157	0	2	0	0	0	32	43	0	77	0	0	106	39	0	0	0	0	0	25	0	0	0	0	94	4	0	0	0	10	27	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Sellimonas	5	0	0	0	0	0	0	0	0	0	3	0	6	0	0	3	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor	326	0	0	59	0	0	0	0	0	93	137	0	26	0	0	18	12	0	0	0	0	0	16	0	0	0	0	155	5	0	0	0	6	31	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	
