	observed_otus
TKO.DTT.77	54
TKO.DTT.79	140
TKO.DTT.80	149
TKO.DTT.81	138
TKO.DTT.82	32
TKO.DTT.83	110
TKO.DTT.84	121
TKO.DTT.87	119
TKO.DTT.88	81
TKO.DTT.89	49
TKO.DTT.90	34
TKO.DTT.98	134
TKO.DTT.99	138
TKO.DTT.100	39
TKO.DTT.101	56
TKO.DTT.102	109
TKO.DTT.97	142
TKO.DTT.91	125
TKO.DTT.92	136
TKO.DTT.93	136
TKO.DTT.94	38
TKO.DTT.95	38
TKO.DTT.116	147
TKO.DTT.117	126
TKO.DTT.118	40
TKO.DTT.119	78
TKO.DTT.120	132
TKO.DTT.115	138
TKO.DTT.103	109
TKO.DTT.104	127
TKO.DTT.105	127
TKO.DTT.106	43
TKO.DTT.107	37
TKO.DTT.108	106
TKO.DTT.109	100
TKO.DTT.110	133
TKO.DTT.111	136
TKO.DTT.112	35
TKO.DTT.113	21
TKO.DTT.123	129
TKO.DTT.124	12
TKO.DTT.125	79
TKO.DTT.126	88
TKO.DTT.136	22
TKO.DTT.137	60
TKO.DTT.138	61
TKO.DTT.133	151
TKO.DTT.134	145
TKO.DTT.135	141
TKO.DTT.127	124
TKO.DTT.128	151
TKO.DTT.129	147
TKO.DTT.130	97
TKO.DTT.131	51
TKO.DTT.132	90
TKO.DTT.139	127
TKO.DTT.140	138
TKO.DTT.141	143
TKO.DTT.142	42
TKO.DTT.143	51
TKO.DTT.144	86
TKO.DTT.145	89
TKO.DTT.146	127
TKO.DTT.147	134
TKO.DTT.148	41
TKO.DTT.149	42
TKO.DTT.150	66
TKO.DTT.154	56
TKO.DTT.155	40
TKO.DTT.156	100
TKO.DTT.151	117
TKO.DTT.152	147
TKO.DTT.153	138
TKO.DTT.157	137
TKO.DTT.158	133
TKO.DTT.159	137
TKO.DTT.160	138
TKO.DTT.161	117
TKO.DTT.162	129
TILC.DTT.445	51
TILC.DTT.446	129
TILC.DTT.448	21
TILC.DTT.449	21
TILC.DTT.450	20
TILC.DTT.553	110
TILC.DTT.554	111
TILC.DTT.556	20
TILC.DTT.557	20
TILC.DTT.558	47
TILC.DTT.613	92
TILC.DTT.614	132
TILC.DTT.615	123
TILC.DTT.616	23
TILC.DTT.617	14
TILC.DTT.618	44
TILC.DTT.379	138
TILC.DTT.380	147
TILC.DTT.382	8
TILC.DTT.383	9
TILC.DTT.384	8
TILC.DTT.351	144
TILC.DTT.352	8
TILC.DTT.353	5
TILC.DTT.354	10
TILC.DTT.349	146
TILC.DTT.350	140
TILC.DTT.603	139
TILC.DTT.605	24
TILC.DTT.606	40
TILC.DTT.601	113
TILC.DTT.602	135
TILC.DTT.478	17
TILC.DTT.479	12
TILC.DTT.480	14
TILC.DTT.475	147
TILC.DTT.476	154
TILC.DTT.19	90
TILC.DTT.20	121
TILC.DTT.22	36
TILC.DTT.23	20
TILC.DTT.24	34
TILC.DTT.425	16
TILC.DTT.426	26
TILC.DTT.421	87
TILC.DTT.422	135
TILC.DTT.424	12
TILC.DTT.392	149
TILC.DTT.393	137
TILC.DTT.394	33
TILC.DTT.395	16
TILC.DTT.396	18
TILC.DTT.643	148
TILC.DTT.644	133
TILC.DTT.645	135
TILC.DTT.646	34
TILC.DTT.647	18
TILC.DTT.648	42
TILC.DTT.505	129
TILC.DTT.508	21
TILC.DTT.509	27
TILC.DTT.510	47
TILC.DTT.589	141
TILC.DTT.590	151
TILC.DTT.591	149
TILC.DTT.592	8
TILC.DTT.593	20
TILC.DTT.594	70
TILC.DTT.295	73
TILC.DTT.296	136
TILC.DTT.298	19
TILC.DTT.299	9
TILC.DTT.300	5
TILC.DTT.575	22
TILC.DTT.576	22
TILC.DTT.571	111
TILC.DTT.572	142
TILC.DTT.574	19
TILC.DTT.269	17
TILC.DTT.270	18
TILC.DTT.265	137
TILC.DTT.266	151
TILC.DTT.268	17
