"","sampleid","Truncated_SampleID","Sequencing_Run","MouseID","Type","Sex","Site","Site_General","Genotype","Line","DSS_Treatment","DSS_group","Microbiota","Subset","Dataset","humann_sampleid"
"BioGeo.TL1a_FP_65_merged_R1_001.fastq_profiled_metagenome","BioGeo.TL1a_FP_65_merged_R1_001.fastq_profiled_metagenome","TL1a_FP_65","One","141","Luminal","Male","Jejunum","SI","WT",NA,"No","None","Humanized","Luminal_SI","HUM_Gavage","BioGeo.TL1a_FP_65"
"BioGeo.TL1A_FP_685.REP1_S22_R1_001.fastq_profiled_metagenome","BioGeo.TL1A_FP_685.REP1_S22_R1_001.fastq_profiled_metagenome","TL1A_FP_685","Two","340","Luminal","Male","Distal_Colon","Colon","WT",NA,"No","None","Humanized","Luminal_Colon","HUM_Gavage","BioGeo.TL1A_FP_685.REP1_S22"
"BioGeo.TL1A_FP_689.Rep1_S104_R1_001.fastq_profiled_metagenome","BioGeo.TL1A_FP_689.Rep1_S104_R1_001.fastq_profiled_metagenome","TL1A_FP_689","Two","340","Luminal","Male","Jejunum","SI","WT",NA,"No","None","Humanized","Luminal_SI","HUM_Gavage","BioGeo.TL1A_FP_689.Rep1_S104"
"BioGeo.TL1a_FP_73.REP1_S3_R1_001.fastq_profiled_metagenome","BioGeo.TL1a_FP_73.REP1_S3_R1_001.fastq_profiled_metagenome","TL1a_FP_73","Two","143","Luminal","Male","Distal_Colon","Colon","WT",NA,"No","None","Humanized","Luminal_Colon","HUM_Gavage","BioGeo.TL1a_FP_73.REP1_S3"
"BioGeo.TL1a_FP_77.REP1_S4_R1_001.fastq_profiled_metagenome","BioGeo.TL1a_FP_77.REP1_S4_R1_001.fastq_profiled_metagenome","TL1a_FP_77","Two","143","Luminal","Male","Jejunum","SI","WT",NA,"No","None","Humanized","Luminal_SI","HUM_Gavage","BioGeo.TL1a_FP_77.REP1_S4"
"BioGeo.Lyz2.01B.FP207.S55_merged_R1_001.fastq_profiled_metagenome","BioGeo.Lyz2.01B.FP207.S55_merged_R1_001.fastq_profiled_metagenome","Lyz2-01B-FP207-S55","One","3B_LyzCre","Luminal","Female","Distal_Colon","Colon","Neg","LyzCre",NA,"None",NA,"Luminal_Colon","UCLA_O_SPF","BioGeo.Lyz2.01B.FP207.S55"
"BioGeo.Lyz2.01B.FP211.S59_merged_R1_001.fastq_profiled_metagenome","BioGeo.Lyz2.01B.FP211.S59_merged_R1_001.fastq_profiled_metagenome","Lyz2-01B-FP211-S59","One","3B_LyzCre","Luminal","Female","Jejunum","SI","Neg","LyzCre",NA,"None",NA,"Luminal_SI","UCLA_O_SPF","BioGeo.Lyz2.01B.FP211.S59"
"BioGeo.Lyz2.02B.FP219.S67_merged_R1_001.fastq_profiled_metagenome","BioGeo.Lyz2.02B.FP219.S67_merged_R1_001.fastq_profiled_metagenome","Lyz2-02B-FP219-S67","One","4B_LyzCre","Luminal","Female","Distal_Colon","Colon","Neg","LyzCre",NA,"None",NA,"Luminal_Colon","UCLA_O_SPF","BioGeo.Lyz2.02B.FP219.S67"
"BioGeo.Lyz2.02B.FP223.S71_merged_R1_001.fastq_profiled_metagenome","BioGeo.Lyz2.02B.FP223.S71_merged_R1_001.fastq_profiled_metagenome","Lyz2-02B-FP223-S71","One","4B_LyzCre","Luminal","Female","Jejunum","SI","Neg","LyzCre",NA,"None",NA,"Luminal_SI","UCLA_O_SPF","BioGeo.Lyz2.02B.FP223.S71"
"BioGeo.Lyz2.03B.FP231.S79_merged_R1_001.fastq_profiled_metagenome","BioGeo.Lyz2.03B.FP231.S79_merged_R1_001.fastq_profiled_metagenome","Lyz2-03B-FP231-S79","One","5B_LyzCre","Luminal","Female","Distal_Colon","Colon","Neg","LyzCre",NA,"None",NA,"Luminal_Colon","UCLA_O_SPF","BioGeo.Lyz2.03B.FP231.S79"
"BioGeo.Lyz2.03B.FP235.S83_merged_R1_001.fastq_profiled_metagenome","BioGeo.Lyz2.03B.FP235.S83_merged_R1_001.fastq_profiled_metagenome","Lyz2-03B-FP235-S83","One","5B_LyzCre","Luminal","Female","Jejunum","SI","Neg","LyzCre",NA,"None",NA,"Luminal_SI","UCLA_O_SPF","BioGeo.Lyz2.03B.FP235.S83"
"BioGeo.Lyz2.04B.FP243.S92_merged_R1_001.fastq_profiled_metagenome","BioGeo.Lyz2.04B.FP243.S92_merged_R1_001.fastq_profiled_metagenome","Lyz2-04B-FP243-S92","One","6B_LyzCre","Luminal","Female","Distal_Colon","Colon","Neg","LyzCre",NA,"None",NA,"Luminal_Colon","UCLA_O_SPF","BioGeo.Lyz2.04B.FP243.S92"
"BioGeo.Lyz2.04B.FP247.S44_merged_R1_001.fastq_profiled_metagenome","BioGeo.Lyz2.04B.FP247.S44_merged_R1_001.fastq_profiled_metagenome","Lyz2-04B-FP247-S44","One","6B_LyzCre","Luminal","Female","Jejunum","SI","Neg","LyzCre",NA,"None",NA,"Luminal_SI","UCLA_O_SPF","BioGeo.Lyz2.04B.FP247.S44"
"BioGeo.Lyz2.05B.FP255.S52_merged_R1_001.fastq_profiled_metagenome","BioGeo.Lyz2.05B.FP255.S52_merged_R1_001.fastq_profiled_metagenome","Lyz2-05B-FP255-S52","One","7B_LyzCre","Luminal","Female","Distal_Colon","Colon","Neg","LyzCre",NA,"None",NA,"Luminal_Colon","UCLA_O_SPF","BioGeo.Lyz2.05B.FP255.S52"
"BioGeo.Lyz2.05B.FP259.S56_merged_R1_001.fastq_profiled_metagenome","BioGeo.Lyz2.05B.FP259.S56_merged_R1_001.fastq_profiled_metagenome","Lyz2-05B-FP259-S56","One","7B_LyzCre","Luminal","Female","Jejunum","SI","Neg","LyzCre",NA,"None",NA,"Luminal_SI","UCLA_O_SPF","BioGeo.Lyz2.05B.FP259.S56"
"BioGeo.Lyz2.06B.FP267.S64_merged_R1_001.fastq_profiled_metagenome","BioGeo.Lyz2.06B.FP267.S64_merged_R1_001.fastq_profiled_metagenome","Lyz2-06B-FP267-S64","One","8B_LyzCre","Luminal","Male","Distal_Colon","Colon","Neg","LyzCre",NA,"None",NA,"Luminal_Colon","UCLA_O_SPF","BioGeo.Lyz2.06B.FP267.S64"
"BioGeo.Lyz2.06B.FP271.S69_merged_R1_001.fastq_profiled_metagenome","BioGeo.Lyz2.06B.FP271.S69_merged_R1_001.fastq_profiled_metagenome","Lyz2-06B-FP271-S69","One","8B_LyzCre","Luminal","Male","Jejunum","SI","Neg","LyzCre",NA,"None",NA,"Luminal_SI","UCLA_O_SPF","BioGeo.Lyz2.06B.FP271.S69"
"BioGeo.Lyz2.07B.FP279.S77_merged_R1_001.fastq_profiled_metagenome","BioGeo.Lyz2.07B.FP279.S77_merged_R1_001.fastq_profiled_metagenome","Lyz2-07B-FP279-S77","One","1B_LyzCre","Luminal","Male","Distal_Colon","Colon","Neg","LyzCre",NA,"None",NA,"Luminal_Colon","UCLA_O_SPF","BioGeo.Lyz2.07B.FP279.S77"
"BioGeo.Lyz2.07B.FP283.S81_merged_R1_001.fastq_profiled_metagenome","BioGeo.Lyz2.07B.FP283.S81_merged_R1_001.fastq_profiled_metagenome","Lyz2-07B-FP283-S81","One","1B_LyzCre","Luminal","Male","Jejunum","SI","Neg","LyzCre",NA,"None",NA,"Luminal_SI","UCLA_O_SPF","BioGeo.Lyz2.07B.FP283.S81"
"BioGeo.Lyz2.08B.FP291.S89_merged_R1_001.fastq_profiled_metagenome","BioGeo.Lyz2.08B.FP291.S89_merged_R1_001.fastq_profiled_metagenome","Lyz2-08B-FP291-S89","One","2B_LyzCre","Luminal","Male","Distal_Colon","Colon","Neg","LyzCre",NA,"None",NA,"Luminal_Colon","UCLA_O_SPF","BioGeo.Lyz2.08B.FP291.S89"
"BioGeo.Lyz2.08B.FP295.S93_merged_R1_001.fastq_profiled_metagenome","BioGeo.Lyz2.08B.FP295.S93_merged_R1_001.fastq_profiled_metagenome","Lyz2-08B-FP295-S93","One","2B_LyzCre","Luminal","Male","Jejunum","SI","Neg","LyzCre",NA,"None",NA,"Luminal_SI","UCLA_O_SPF","BioGeo.Lyz2.08B.FP295.S93"
"BioGeo.LYZFP303_merged_R1_001.fastq_profiled_metagenome","BioGeo.LYZFP303_merged_R1_001.fastq_profiled_metagenome","LYZFP303","One","3B_LyzCre","Luminal","Female","Distal_Colon","Colon","Neg","LyzCre",NA,"None",NA,"Luminal_Colon","UCLA_O_SPF","BioGeo.LYZFP303"
"BioGeo.LYZFP307_merged_R1_001.fastq_profiled_metagenome","BioGeo.LYZFP307_merged_R1_001.fastq_profiled_metagenome","LYZFP307","One","3B_LyzCre","Luminal","Female","Jejunum","SI","Neg","LyzCre",NA,"None",NA,"Luminal_SI","UCLA_O_SPF","BioGeo.LYZFP307"
"BioGeo.LYZFP315_merged_R1_001.fastq_profiled_metagenome","BioGeo.LYZFP315_merged_R1_001.fastq_profiled_metagenome","LYZFP315","One","4B_LyzCre","Luminal","Female","Distal_Colon","Colon","Neg","LyzCre",NA,"None",NA,"Luminal_Colon","UCLA_O_SPF","BioGeo.LYZFP315"
"BioGeo.LYZFP319_merged_R1_001.fastq_profiled_metagenome","BioGeo.LYZFP319_merged_R1_001.fastq_profiled_metagenome","LYZFP319","One","4B_LyzCre","Luminal","Female","Jejunum","SI","Neg","LyzCre",NA,"None",NA,"Luminal_SI","UCLA_O_SPF","BioGeo.LYZFP319"
"BioGeo.LYZFP327.Rep1_S105_R1_001.fastq_profiled_metagenome","BioGeo.LYZFP327.Rep1_S105_R1_001.fastq_profiled_metagenome","LYZFP327","Two","5B_LyzCre","Luminal","Female","Distal_Colon","Colon","Neg","LyzCre",NA,"None",NA,"Luminal_Colon","UCLA_O_SPF","BioGeo.LYZFP327.Rep1_S105"
"BioGeo.LYZFP339_merged_R1_001.fastq_profiled_metagenome","BioGeo.LYZFP339_merged_R1_001.fastq_profiled_metagenome","LYZFP339","One","5B_LyzCre","Luminal","Female","Jejunum","SI","Neg","LyzCre",NA,"None",NA,"Luminal_SI","UCLA_O_SPF","BioGeo.LYZFP339"
"BioGeo.LYZFP351.Rep1_S106_R1_001.fastq_profiled_metagenome","BioGeo.LYZFP351.Rep1_S106_R1_001.fastq_profiled_metagenome","LYZFP351","Two","6B_LyzCre","Luminal","Female","Distal_Colon","Colon","Neg","LyzCre",NA,"None",NA,"Luminal_Colon","UCLA_O_SPF","BioGeo.LYZFP351.Rep1_S106"
"BioGeo.LYZFP355_merged_R1_001.fastq_profiled_metagenome","BioGeo.LYZFP355_merged_R1_001.fastq_profiled_metagenome","LYZFP355","One","6B_LyzCre","Luminal","Female","Jejunum","SI","Neg","LyzCre",NA,"None",NA,"Luminal_SI","UCLA_O_SPF","BioGeo.LYZFP355"
"BioGeo.Mouse10A_FP109_merged_R1_001.fastq_profiled_metagenome","BioGeo.Mouse10A_FP109_merged_R1_001.fastq_profiled_metagenome","Mouse10A_FP109","One","Mouse10A","Luminal","Female","Distal_Colon","Colon","WT",NA,NA,"None",NA,"Luminal_Colon","CS_SPF","BioGeo.Mouse10A_FP109"
"BioGeo.Mouse10A_FP113_merged_R1_001.fastq_profiled_metagenome","BioGeo.Mouse10A_FP113_merged_R1_001.fastq_profiled_metagenome","Mouse10A_FP113","One","Mouse10A","Luminal","Female","Jejunum","SI","WT",NA,NA,"None",NA,"Luminal_SI","CS_SPF","BioGeo.Mouse10A_FP113"
"BioGeo.Mouse1A_FP01_merged_R1_001.fastq_profiled_metagenome","BioGeo.Mouse1A_FP01_merged_R1_001.fastq_profiled_metagenome","Mouse1A_FP01","One","Mouse1A","Luminal","Female","Distal_Colon","Colon","WT",NA,NA,"None",NA,"Luminal_Colon","CS_SPF","BioGeo.Mouse1A_FP01"
"BioGeo.Mouse1A_FP05_merged_R1_001.fastq_profiled_metagenome","BioGeo.Mouse1A_FP05_merged_R1_001.fastq_profiled_metagenome","Mouse1A_FP05","One","Mouse1A","Luminal","Female","Jejunum","SI","WT",NA,NA,"None",NA,"Luminal_SI","CS_SPF","BioGeo.Mouse1A_FP05"
"BioGeo.Mouse2A_FP07_merged_R1_001.fastq_profiled_metagenome","BioGeo.Mouse2A_FP07_merged_R1_001.fastq_profiled_metagenome","Mouse2A_FP07","One","Mouse2A","Luminal","Male","Distal_Colon","Colon","WT",NA,NA,"None",NA,"Luminal_Colon","CS_SPF","BioGeo.Mouse2A_FP07"
"BioGeo.Mouse2A_FP11.REP1_S55_R1_001.fastq_profiled_metagenome","BioGeo.Mouse2A_FP11.REP1_S55_R1_001.fastq_profiled_metagenome","Mouse2A_FP11","Two","Mouse2A","Luminal","Male","Jejunum","SI","WT",NA,NA,"None",NA,"Luminal_SI","CS_SPF","BioGeo.Mouse2A_FP11.REP1_S55"
"BioGeo.Mouse3A_FP13_merged_R1_001.fastq_profiled_metagenome","BioGeo.Mouse3A_FP13_merged_R1_001.fastq_profiled_metagenome","Mouse3A_FP13","One","Mouse3A","Luminal","Male","Distal_Colon","Colon","WT",NA,NA,"None",NA,"Luminal_Colon","CS_SPF","BioGeo.Mouse3A_FP13"
"BioGeo.Mouse3A_FP17_merged_R1_001.fastq_profiled_metagenome","BioGeo.Mouse3A_FP17_merged_R1_001.fastq_profiled_metagenome","Mouse3A_FP17","One","Mouse3A","Luminal","Male","Jejunum","SI","WT",NA,NA,"None",NA,"Luminal_SI","CS_SPF","BioGeo.Mouse3A_FP17"
"BioGeo.Mouse4A_FP23.Rep1_S92_R1_001.fastq_profiled_metagenome","BioGeo.Mouse4A_FP23.Rep1_S92_R1_001.fastq_profiled_metagenome","Mouse4A_FP23","Two","Mouse4A","Luminal","Female","Jejunum","SI","WT",NA,NA,"None",NA,"Luminal_SI","CS_SPF","BioGeo.Mouse4A_FP23.Rep1_S92"
"BioGeo.Mouse5A_FP25_merged_R1_001.fastq_profiled_metagenome","BioGeo.Mouse5A_FP25_merged_R1_001.fastq_profiled_metagenome","Mouse5A_FP25","One","Mouse5A","Luminal","Female","Distal_Colon","Colon","WT",NA,NA,"None",NA,"Luminal_Colon","CS_SPF","BioGeo.Mouse5A_FP25"
"BioGeo.Mouse5A_FP29.REP1_S53_R1_001.fastq_profiled_metagenome","BioGeo.Mouse5A_FP29.REP1_S53_R1_001.fastq_profiled_metagenome","Mouse5A_FP29","Two","Mouse5A","Luminal","Female","Jejunum","SI","WT",NA,NA,"None",NA,"Luminal_SI","CS_SPF","BioGeo.Mouse5A_FP29.REP1_S53"
"BioGeo.Mouse6A_FP31_merged_R1_001.fastq_profiled_metagenome","BioGeo.Mouse6A_FP31_merged_R1_001.fastq_profiled_metagenome","Mouse6A_FP31","One","Mouse6A","Luminal","Female","Distal_Colon","Colon","WT",NA,NA,"None",NA,"Luminal_Colon","CS_SPF","BioGeo.Mouse6A_FP31"
"BioGeo.Mouse6A_FP35.Rep1_S93_R1_001.fastq_profiled_metagenome","BioGeo.Mouse6A_FP35.Rep1_S93_R1_001.fastq_profiled_metagenome","Mouse6A_FP35","Two","Mouse6A","Luminal","Female","Jejunum","SI","WT",NA,NA,"None",NA,"Luminal_SI","CS_SPF","BioGeo.Mouse6A_FP35.Rep1_S93"
"BioGeo.Mouse7A_FP37_merged_R1_001.fastq_profiled_metagenome","BioGeo.Mouse7A_FP37_merged_R1_001.fastq_profiled_metagenome","Mouse7A_FP37","One","Mouse7A","Luminal","Female","Distal_Colon","Colon","WT",NA,NA,"None",NA,"Luminal_Colon","CS_SPF","BioGeo.Mouse7A_FP37"
"BioGeo.Mouse7A_FP41.REP1_S54_R1_001.fastq_profiled_metagenome","BioGeo.Mouse7A_FP41.REP1_S54_R1_001.fastq_profiled_metagenome","Mouse7A_FP41","Two","Mouse7A","Luminal","Female","Jejunum","SI","WT",NA,NA,"None",NA,"Luminal_SI","CS_SPF","BioGeo.Mouse7A_FP41.REP1_S54"
"BioGeo.Mouse8A_FP85_merged_R1_001.fastq_profiled_metagenome","BioGeo.Mouse8A_FP85_merged_R1_001.fastq_profiled_metagenome","Mouse8A_FP85","One","Mouse8A","Luminal","Male","Distal_Colon","Colon","WT",NA,NA,"None",NA,"Luminal_Colon","CS_SPF","BioGeo.Mouse8A_FP85"
"BioGeo.Mouse8A_FP89_merged_R1_001.fastq_profiled_metagenome","BioGeo.Mouse8A_FP89_merged_R1_001.fastq_profiled_metagenome","Mouse8A_FP89","One","Mouse8A","Luminal","Male","Jejunum","SI","WT",NA,NA,"None",NA,"Luminal_SI","CS_SPF","BioGeo.Mouse8A_FP89"
"BioGeo.Mouse9A_FP101_merged_R1_001.fastq_profiled_metagenome","BioGeo.Mouse9A_FP101_merged_R1_001.fastq_profiled_metagenome","Mouse9A_FP101","One","Mouse9A","Luminal","Male","Jejunum","SI","WT",NA,NA,"None",NA,"Luminal_SI","CS_SPF","BioGeo.Mouse9A_FP101"
"BioGeo.Mouse9A_FP97_merged_R1_001.fastq_profiled_metagenome","BioGeo.Mouse9A_FP97_merged_R1_001.fastq_profiled_metagenome","Mouse9A_FP97","One","Mouse9A","Luminal","Male","Distal_Colon","Colon","WT",NA,NA,"None",NA,"Luminal_Colon","CS_SPF","BioGeo.Mouse9A_FP97"
"BioGeo.SLCFP001_merged_R1_001.fastq_profiled_metagenome","BioGeo.SLCFP001_merged_R1_001.fastq_profiled_metagenome","SLCFP001","One","318_JJWT","Luminal","Female","Distal_Colon","Colon","WT","JJWT",NA,"None",NA,"Luminal_Colon","UCLA_O_SPF","BioGeo.SLCFP001"
"BioGeo.SLCFP005.REP1_S24_R1_001.fastq_profiled_metagenome","BioGeo.SLCFP005.REP1_S24_R1_001.fastq_profiled_metagenome","SLCFP005","Two","318_JJWT","Luminal","Female","Jejunum","SI","WT","JJWT",NA,"None",NA,"Luminal_SI","UCLA_O_SPF","BioGeo.SLCFP005.REP1_S24"
"BioGeo.SLCFP019a_merged_R1_001.fastq_profiled_metagenome","BioGeo.SLCFP019a_merged_R1_001.fastq_profiled_metagenome","SLCFP019a","One","313_JJWT","Luminal","Male","Distal_Colon","Colon","WT","JJWT",NA,"None",NA,"Luminal_Colon","UCLA_O_SPF","BioGeo.SLCFP019a"
"BioGeo.SLCFP023.REP1_S26_R1_001.fastq_profiled_metagenome","BioGeo.SLCFP023.REP1_S26_R1_001.fastq_profiled_metagenome","SLCFP023","Two","313_JJWT","Luminal","Male","Jejunum","SI","WT","JJWT",NA,"None",NA,"Luminal_SI","UCLA_O_SPF","BioGeo.SLCFP023.REP1_S26"
"BioGeo.SLCFP071.REP1_S27_R1_001.fastq_profiled_metagenome","BioGeo.SLCFP071.REP1_S27_R1_001.fastq_profiled_metagenome","SLCFP071","Two","329_JJWT","Luminal","Female","Jejunum","SI","WT","JJWT",NA,"None",NA,"Luminal_SI","UCLA_O_SPF","BioGeo.SLCFP071.REP1_S27"
"BioGeo.SLCFP077_merged_R1_001.fastq_profiled_metagenome","BioGeo.SLCFP077_merged_R1_001.fastq_profiled_metagenome","SLCFP077","One","361_JJWT","Luminal","Female","Jejunum","SI","WT","JJWT",NA,"None",NA,"Luminal_SI","UCLA_O_SPF","BioGeo.SLCFP077"
"BioGeo.SLCFP091.REP1_S29_R1_001.fastq_profiled_metagenome","BioGeo.SLCFP091.REP1_S29_R1_001.fastq_profiled_metagenome","SLCFP091","Two","801_JJWT","Luminal","Female","Distal_Colon","Colon","WT","JJWT",NA,"None",NA,"Luminal_Colon","UCLA_O_SPF","BioGeo.SLCFP091.REP1_S29"
"BioGeo.SLCFP095_merged_R1_001.fastq_profiled_metagenome","BioGeo.SLCFP095_merged_R1_001.fastq_profiled_metagenome","SLCFP095","One","801_JJWT","Luminal","Female","Jejunum","SI","WT","JJWT",NA,"None",NA,"Luminal_SI","UCLA_O_SPF","BioGeo.SLCFP095"
"BioGeo.SLCFP109_merged_R1_001.fastq_profiled_metagenome","BioGeo.SLCFP109_merged_R1_001.fastq_profiled_metagenome","SLCFP109","One","811_JJWT","Luminal","Male","Distal_Colon","Colon","WT","JJWT",NA,"None",NA,"Luminal_Colon","UCLA_O_SPF","BioGeo.SLCFP109"
"BioGeo.SLCFP113_merged_R1_001.fastq_profiled_metagenome","BioGeo.SLCFP113_merged_R1_001.fastq_profiled_metagenome","SLCFP113","One","811_JJWT","Luminal","Male","Jejunum","SI","WT","JJWT",NA,"None",NA,"Luminal_SI","UCLA_O_SPF","BioGeo.SLCFP113"
"BioGeo.SLCFP127_merged_R1_001.fastq_profiled_metagenome","BioGeo.SLCFP127_merged_R1_001.fastq_profiled_metagenome","SLCFP127","One","815_JJWT","Luminal","Male","Distal_Colon","Colon","WT","JJWT",NA,"None",NA,"Luminal_Colon","UCLA_O_SPF","BioGeo.SLCFP127"
"BioGeo.SLCFP131.REP1_S33_R1_001.fastq_profiled_metagenome","BioGeo.SLCFP131.REP1_S33_R1_001.fastq_profiled_metagenome","SLCFP131","Two","815_JJWT","Luminal","Male","Jejunum","SI","WT","JJWT",NA,"None",NA,"Luminal_SI","UCLA_O_SPF","BioGeo.SLCFP131.REP1_S33"
