	observed_features
GnotoExpt-FP567-S83	75
806rcbc172-S269	46
GnotoExpt-FP483-S704	80
GnotoExpt-FP543-S58	55
GnotoExpt-DTT613-S348	99
GnotoExpt-DTT478-S626	6
806rcbc519-S424	114
GnotoExpt-DTT463-S611	25
GnotoExpt-FP484-S706	102
806rcbc438-S343	64
GnotobioticExp-DTT-181-S191	79
806rcbc174-S271	83
GnotoExpt-FP451-S672	103
GnotobioticExp-FP-187-S50	66
806rcbc402-S307	77
GnotoExpt-DTT462-S610	24
GnotoExpt-FP534-S49	294
GnotoExpt-FP467-S688	126
806rcbc178-S275	65
GnotobioticExp-DTT-200-S210	83
GnotoExpt-DTT545-S156	310
806rcbc390-S295	77
GnotoExpt-DTT547-S158	53
806rcbc435-S340	63
GnotobioticExp-DTT-188-S198	66
GnotoExpt-FP559-S75	70
806rcbc529-S434	79
806rcbc497-S402	69
GnotobioticExp-DTT-196-S206	81
GnotobioticExp-FP-206-S70	76
GnotoExpt-DTT455-S603	22
GnotoExpt-DTT477-S625	29
GnotobioticExp-FP-195-S59	81
GnotobioticExp-DTT-192-S202	75
GnotoExpt-DTT388-S534	130
GnotoExpt-DTT483-S631	24
GnotobioticExp-FP-179-S41	68
GnotoExpt-FP601-S297	136
GnotoExpt-DTT616-S351	61
GnotoExpt-FP533-S48	309
806rcbc467-S372	72
GnotoExpt-FP537-S52	51
806rcbc376-S510	157
GnotoExpt-DTT470-S618	20
GnotoExpt-DTT475-S623	22
GnotoExpt-DTT604-S339	57
806rcbc426-S427	76
GnotoExpt-DTT459-S607	37
806rcbc524-S429	84
GnotoExpt-FP459-S680	83
GnotoExpt-FP541-S56	45
GnotoExpt-DTT394-S540	103
GnotoExpt-FP612-S308	934
GnotoExpt-DTT393-S539	124
GnotoExpt-FP460-S681	102
GnotoExpt-FP486-S708	144
GnotoExpt-FP478-S699	147
GnotoExpt-FP454-S675	94
GnotoExpt-DTT454-S602	19
GnotoExpt-FP470-S691	74
GnotoExpt-FP535-S50	46
GnotobioticExp-FP-205-S69	76
GnotoExpt-DTT474-S622	6
806rcbc552-S457	64
GnotoExpt-FP468-S689	113
GnotoExpt-FP597-S293	145
GnotoExpt-FP599-S295	119
GnotoExpt-DTT599-S334	34
GnotoExpt-DTT385-S531	141
GnotoExpt-FP611-S307	213
GnotoExpt-DTT532-S143	114
GnotoExpt-DTT536-S147	42
806rcbc407-S312	90
GnotoExpt-DTT542-S153	54
GnotobioticExp-DTT-209-S219	182
806rcbc491-S396	93
GnotoExpt-DTT466-S614	10
806rcbc534-S439	240
806rcbc445-S446	116
806rcbc377-S511	138
GnotoExpt-DTT469-S617	9
GnotoExpt-FP546-S61	189
806rcbc561-S466	69
GnotoExpt-FP481-S702	71
GnotobioticExp-FP-194-S58	74
GnotobioticExp-FP-181-S44	63
806rcbc499-S404	101
806rcbc471-S376	104
806rcbc555-S460	62
GnotoExpt-FP485-S707	98
GnotoExpt-DTT606-S341	24
GnotobioticExp-FP-204-S68	91
GnotobioticExp-FP-202-S66	69
806rcbc559-S464	65
GnotoExpt-FP463-S684	102
GnotoExpt-FP547-S62	52
GnotoExpt-DTT610-S345	56
GnotoExpt-FP603-S299	135
GnotoExpt-FP605-S301	153
806rcbc429-S334	58
GnotoExpt-FP458-S679	101
GnotoExpt-FP480-S701	210
806rcbc453-S454	145
GnotoExpt-FP538-S53	68
GnotobioticExp-FP-182-S45	69
806rcbc368-S501	83
806rcbc551-S456	61
GnotobioticExp-FP-176-S38	63
GnotobioticExp-FP-210-S74	109
GnotoExpt-DTT617-S352	27
GnotoExpt-DTT453-S601	29
GnotoExpt-DTT386-S532	126
806rcbc489-S394	61
806rcbc449-S450	101
GnotoExpt-DTT391-S537	143
GnotobioticExp-FP-184-S47	72
GnotoExpt-FP550-S65	82
GnotoExpt-FP477-S698	68
806rcbc404-S309	79
GnotoExpt-FP563-S79	160
GnotobioticExp-DTT-203-S213	101
GnotoExpt-FP531-S46	50
GnotobioticExp-FP-200-S64	73
806rcbc397-S302	84
GnotoExpt-FP607-S303	142
806rcbc437-S342	56
GnotobioticExp-DTT-190-S200	100
GnotoExpt-DTT562-S174	63
GnotoExpt-FP542-S57	49
GnotoExpt-FP613-S309	137
806rcbc565-S470	90
806rcbc494-S399	77
806rcbc364-S499	122
GnotoExpt-DTT481-S629	21
GnotoExpt-DTT544-S155	96
GnotoExpt-DTT549-S160	46
GnotoExpt-FP568-S84	185
806rcbc470-S375	112
GnotoExpt-FP553-S68	69
GnotoExpt-DTT559-S171	58
GnotoExpt-FP482-S703	69
GnotobioticExp-DTT-208-S218	94
GnotobioticExp-FP-203-S67	87
806rcbc406-S311	127
806rcbc170-S267	86
GnotoExpt-DTT465-S613	25
GnotobioticExp-FP-185-S48	84
GnotoExpt-DTT458-S606	40
806rcbc473-S378	76
806rcbc362-S497	109
GnotoExpt-DTT533-S144	286
GnotobioticExp-FP-183-S46	68
806rcbc372-S505	123
GnotoExpt-FP556-S72	160
GnotoExpt-FP532-S47	121
806rcbc554-S459	78
GnotoExpt-DTT618-S353	23
806rcbc432-S433	61
GnotobioticExp-DTT-194-S204	72
GnotoExpt-FP473-S694	63
806rcbc370-S503	153
GnotoExpt-FP471-S692	70
806rcbc468-S373	85
GnotoExpt-DTT468-S616	3
806rcbc373-S506	221
GnotoExpt-FP566-S82	67
GnotoExpt-DTT568-S180	148
806rcbc525-S430	154
GnotobioticExp-FP-192-S55	52
806rcbc557-S462	62
806rcbc177-S274	16
GnotoExpt-DTT546-S157	185
GnotobioticExp-DTT-201-S211	67
GnotoExpt-DTT614-S349	119
GnotobioticExp-DTT-206-S216	81
806rcbc476-S381	115
806rcbc490-S395	66
GnotoExpt-DTT567-S179	71
806rcbc563-S468	70
806rcbc527-S432	74
GnotoExpt-DTT540-S151	361
GnotobioticExp-DTT-175-S185	102
GnotobioticExp-FP-180-S43	66
GnotoExpt-FP604-S300	141
806rcbc391-S296	84
GnotobioticExp-DTT-202-S212	97
GnotobioticExp-DTT-176-S186	58
806rcbc556-S461	78
GnotoExpt-DTT531-S142	45
GnotoExpt-FP596-S292	141
GnotoExpt-DTT395-S541	151
GnotoExpt-DTT553-S164	802
GnotoExpt-DTT595-S330	50
GnotoExpt-FP544-S59	72
806rcbc405-S310	94
806rcbc424-S329	107
GnotobioticExp-DTT-210-S220	128
806rcbc531-S436	129
GnotoExpt-DTT558-S170	804
GnotoExpt-FP606-S302	181
806rcbc532-S437	72
GnotobioticExp-FP-178-S40	69
GnotoExpt-FP598-S294	197
GnotobioticExp-DTT-187-S197	125
GnotoExpt-DTT461-S609	10
806rcbc378-S512	119
806rcbc395-S300	106
GnotoExpt-FP560-S76	72
GnotoExpt-DTT597-S332	121
806rcbc478-S383	101
GnotobioticExp-FP-372.fastq	109
GnotobioticExp-FP-319.fastq	63
GnotobioticExp-DTT-308.fastq	117
GnotobioticExp-DTT-367.fastq	153
GnotobioticExp-DTT-303.fastq	131
GnotobioticExp-FP-384.fastq	56
GnotobioticExp-DTT-305.fastq	131
GnotobioticExp-DTT-370.fastq	109
GnotobioticExp-FP-314.fastq	109
GnotobioticExp-FP-301.fastq	118
GnotobioticExp-DTT-319.fastq	98
GnotobioticExp-FP-315.fastq	115
GnotobioticExp-FP-369.fastq	112
GnotobioticExp-FP-377.fastq	66
GnotobioticExp-DTT-362.fastq	107
GnotobioticExp-DTT-325.fastq	99
GnotobioticExp-FP-304.fastq	98
GnotobioticExp-FP-313.fastq	116
GnotobioticExp-DTT-307.fastq	144
GnotobioticExp-FP-375.fastq	111
GnotobioticExp-FP-317.fastq	102
GnotobioticExp-DTT-179.fastq	59
GnotobioticExp-FP-306.fastq	134
GnotobioticExp-DTT-381.fastq	97
GnotobioticExp-DTT-318.fastq	111
GnotobioticExp-FP-386.fastq	114
GnotobioticExp-DTT-323.fastq	92
GnotobioticExp-FP-305.fastq	122
GnotobioticExp-DTT-311.fastq	106
GnotobioticExp-FP-366.fastq	131
GnotobioticExp-DTT-384.fastq	96
GnotobioticExp-DTT-321.fastq	62
GnotobioticExp-FP-371.fastq	88
GnotobioticExp-DTT-320.fastq	63
GnotobioticExp-FP-365.fastq	114
GnotobioticExp-FP-302.fastq	106
GnotobioticExp-FP-380.fastq	128
GnotobioticExp-FP-393.fastq	119
GnotobioticExp-DTT-383.fastq	94
GnotobioticExp-FP-321.fastq	66
GnotobioticExp-FP-391.fastq	113
GnotobioticExp-FP-394.fastq	89
GnotobioticExp-DTT-322.fastq	81
GnotobioticExp-FP-363.fastq	109
GnotobioticExp-FP-303.fastq	104
GnotobioticExp-DTT-306.fastq	163
GnotobioticExp-FP-385.fastq	120
GnotobioticExp-DTT-373.fastq	123
GnotobioticExp-DTT-376.fastq	110
GnotobioticExp-FP-307.fastq	113
GnotobioticExp-FP-381.fastq	125
GnotobioticExp-FP-312.fastq	128
GnotobioticExp-FP-309.fastq	123
GnotobioticExp-DTT-379.fastq	91
GnotobioticExp-FP-318.fastq	104
GnotobioticExp-FP-370.fastq	84
GnotobioticExp-FP-383.fastq	56
GnotobioticExp-DTT-324.fastq	64
GnotobioticExp-FP-367.fastq	114
GnotobioticExp-FP-378.fastq	67
GnotobioticExp-DTT-372.fastq	78
GnotobioticExp-FP-310.fastq	106
GnotobioticExp-FP-322.fastq	58
GnotobioticExp-DTT-368.fastq	107
GnotobioticExp-DTT-363.fastq	109
GnotobioticExp-DTT-315.fastq	131
GnotobioticExp-DTT-377.fastq	89
GnotobioticExp-DTT-364.fastq	115
GnotobioticExp-FP-373.fastq	116
GnotobioticExp-FP-364.fastq	114
GnotobioticExp-DTT-371.fastq	75
GnotobioticExp-DTT-313.fastq	131
GnotobioticExp-FP-382.fastq	30
GnotobioticExp-FP-387.fastq	110
GnotobioticExp-FP-388.fastq	109
GnotobioticExp-DTT-375.fastq	111
GnotobioticExp-FP-368.fastq	96
GnotobioticExp-FP-361.fastq	115
GnotobioticExp-DTT-302.fastq	123
GnotobioticExp-FP-389.fastq	63
GnotobioticExp-DTT-312.fastq	138
GnotobioticExp-FP-311.fastq	123
GnotobioticExp-FP-379.fastq	130
GnotobioticExp-DTT-314.fastq	123
GnotobioticExp-DTT-374.fastq	118
GnotobioticExp-FP-308.fastq	120
GnotobioticExp-DTT-317.fastq	130
GnotobioticExp-FP-392.fastq	114
GnotobioticExp-FP-323.fastq	77
GnotobioticExp-DTT-309.fastq	126
GnotobioticExp-DTT-380.fastq	138
GnotobioticExp-DTT-310.fastq	140
GnotobioticExp-FP-316.fastq	106
GnotobioticExp-DTT-304.fastq	131
GnotobioticExp-FP-396.fastq	78
GnotobioticExp-FP-374.fastq	115
GnotobioticExp-DTT-369.fastq	114
GnotobioticExp-FP-324.fastq	85
GnotobioticExp-FP-320.fastq	71
GnotobioticExp-DTT-316.fastq	120
GnotobioticExp-FP-390.fastq	69
GnotobioticExp-DTT-382.fastq	48
GnotobioticExp-FP-362.fastq	111
GnotobioticExp-FP-376.fastq	98
GnotobioticExp-FP-395.fastq	70
