feature	k__Bacteria.p__Firmicutes	k__Bacteria.p__Bacteroidota	k__Bacteria.p__Desulfobacterota	k__Bacteria.p__Proteobacteria	k__Bacteria.p__Actinobacteriota	k__Bacteria.p__Cyanobacteria	k__Bacteria.p__Deferribacterota	k__Bacteria.p__Verrucomicrobiota
Vil1.06B.DTT71	143	0	0	12562	0	0	1	0
Itg.16.DTT484.S79	38741	27985	1306	605	144	37	1	29
Itg.20.DTT503.S98	45378	25233	496	686	94	45	1	0
Itg.22.DTT515.S10	34590	23512	265	537	63	76	1	61
Vil1.013B.DTT151	16918	11267	101	3176	63	31	1	1156
Itg.16.DTT481.S76	40569	12617	972	438	119	120	2	0
Vil1.04B.DTT48	8605	5918	233	1276	65	22	1	74
Lyz2.07B.DTT282.S124	35915	28612	736	869	33	59	1	20
Itg.06.DTT436.S29	8736	2501	170	140	34	14	2	0
Vil1.02B.DTT19	10731	3743	134	434	9	7	1	32
Lyz2.08B.DTT296.S139	52439	23565	695	466	34	12	1	0
Itg.12.DTT469.S63	25969	7459	870	168	31	124	1	0
Itg.22.DTT520.S15	30711	7248	553	412	42	36	1	58
Vil1.07B.DTT83	371	19	17	7242	0	0	0	0
Itg.08.DTT443.S36	13994	4298	176	4713	107	11	1	827
Lyz2.02B.DTT222.S62	89308	24823	171	529	30	7	1	0
Lyz2.01B.DTT211.S51	26848	6714	309	10520	34	0	1	488
Lyz2.04B.DTT245.S86	8219	2578	125	56	5	13	1	0
Vil1.010B.DTT116	17639	4461	589	9249	67	354	1	174
Lyz2.01B.DTT212.S52	48993	6686	180	361	5	9	1	0
Itg.04.DTT420.S12	16366	3773	192	85	22	114	1	0
Lyz2.02B.DTT220.S60	34910	3612	458	82	39	103	1	0
Lyz2.08B.DTT293.S135	34457	4392	425	445	20	53	1	19
Vil1.02B.DTT22	17511	6765	294	1003	41	3	1	25
Lyz2.07B.DTT283.S125	5037	2732	81	1698	19	26	6	192
Itg.10.DTT458.S52	73201	7200	210	222	57	8	1	0
Vil1.07B.DTT80	781	356	27	12054	22	0	1	21
Vil1.010B.DTT115	2912	948	12	18091	13	9	1	166
Vil1.08B.DTT91	1241	204	0	21519	0	0	1	82
Vil1.014B.DTT163	22417	6542	423	2527	497	37	63	1150
Vil1.08B.DTT94	256	15	0	19410	0	0	0	43
Itg.02.DTT411.S3	37415	5582	435	216	19	14	1	0
Vil1.05B.DTT56	2030	201	91	21457	0	27	1	28
Vil1.014B.DTT168	29545	4743	688	4965	146	74	249	146
Lyz2.01B.DTT209.S49	28495	3519	449	80	18	146	3	0
Vil1.09B.DTT103	7355	2160	23	20585	8	18	1	218
Vil1.09B.DTT108	3237	464	28	10505	17	3	1	17
Vil1.01B.DTT09	10856	5171	478	359	18	12	1	16
Lyz2.05B.DTT259.S100	20995	11332	1533	517	54	0	1	82
Itg.20.DTT506.S1	68565	3346	414	689	21	34	1	31
Lyz2.06B.DTT268.S109	15943	2050	340	46	10	78	1	0
Lyz2.03B.DTT234.S74	42184	10599	429	382	26	21	1	0
Vil1.07B.DTT82	214	84	0	10621	5	0	0	0
Vil1.06B.DTT68	1382	127	58	19678	2	10	1	43
Vil1.013B.DTT154	16968	7185	99	5639	0	9	1	915
Vil1.04B.DTT47	13244	3240	198	1910	24	2	1	81
Lyz2.03B.DTT231.S71	35403	2934	398	799	12	44	471	0
Itg.18.DTT494.S89	32760	5797	1383	494	62	69	6104	0
Itg.06.DTT432.S25	37065	10849	847	375	90	35	1	0
Itg.08.DTT445.S38	20083	7766	549	221	33	50	1060	0
Lyz2.08B.DTT294.S136	6966	2574	215	239	14	9	1	8
Itg.26.DTT540.S36	20846	3454	708	103	9	63	1	0
Itg.04.DTT419.S11	20557	7639	510	1115	55	41	1	362
Vil1.013B.DTT155	24335	2118	26	3569	0	3	1	824
LYZdtt342	58687	5727	611	671	50	10	1	8
LYZdtt351	159560	19529	699	609	131	123	1	1
LYZdtt364	107328	5579	2203	1030	154	332	467	12
SLCdtt050	23690	5558	302	125	55	58	0	25
LYZdtt308	81419	14904	1175	963	33	71	1	122
SLCdtt110	21816	2273	245	248	31	74	0	11
SLCdtt075	15146	2249	250	50	0	35	0	2
SLCdtt022	42373	15071	2840	589	180	114	1	37
LYZdtt366	45965	47626	2287	567	258	18	1	8
SLCdtt019	11922	2766	60	161	29	8	1	4
SLCdtt070	11293	977	149	60	14	7	1	29
SLCdtt005	26597	1343	124	303	96	19	0	2
SLCdtt002	36030	3242	422	742	125	163	0	7
LYZdtt354	131127	1102	64	186	0	0	1	2
LYZdtt328	107780	21440	5166	1112	29	194	35	7
LYZdtt330	87269	11373	1507	528	26	31	1	1
SLCdtt021	10601	2342	667	112	34	51	0	13
SLCdtt114	21808	11278	437	1377	29	0	0	29
SLCdtt111	21432	1455	740	194	20	82	0	19
LYZdtt356	106654	17581	185	325	42	5	1	6
LYZdtt368	32519	75698	1170	2121	238	35	1	60
SLCdtt095	32810	126	29	170	0	0	0	1
SLCdtt074	63214	7331	483	166	49	145	1	3
LYZdtt367	27473	64335	2656	415	193	33	1	6
LYZdtt304	117076	9000	2933	5790	61	72	101603	303
SLCdtt024	14597	5475	276	127	50	7	1	7
LYZdtt317	273722	14897	2168	1032	78	50	31638	5
LYZdtt305	86300	12678	496	799	47	43	10	5
LYZdtt319	28105	1884	294	403	25	0	1	9
LYZdtt329	103209	50382	4394	1185	47	183	821	20
LYZdtt306	108692	3639	296	347	16	0	1	1
SLCdtt113	21196	4933	212	392	23	0	0	19
SLCdtt004	16737	524	111	226	149	7	0	1
SLCdtt092	31650	607	296	98	12	106	1	2
SLCdtt112	5949	612	60	25	0	0	0	1
SLCdtt020	13650	2094	639	169	79	105	0	14
LYZdtt355	69707	11589	215	334	68	7	1	6
LYZdtt343	92849	3853	427	425	45	0	1	2
SLCdtt128	26039	3754	455	275	44	44	0	2
SLCdtt076	60376	7346	436	130	30	35	1	1
LYZdtt341	837061	19435	1255	1230	112	136	36181	6
LYZdtt344	65666	14951	623	901	64	17	2	11
SLCdtt051	15688	9326	428	113	41	32	0	50
LYZdtt340	75310	4613	2207	589	75	69	498	6
SLCdtt096	70362	152	25	48	0	0	0	1
LYZdtt318	130548	7965	435	768	34	25	1	27
LYZdtt332	53991	6461	554	365	18	26	2	6
LYZdtt363	68612	27175	2366	690	153	91	4	8
LYZdtt365	42603	17044	4274	833	118	231	1774048	8
LYZdtt320	417677	13676	557	543	38	10	1	7
LYZdtt315	75941	15628	276	5216	91	58	1	1679
SLCdtt078	37611	11581	176	57	13	6	0	2
SLCdtt052	28592	27031	591	209	96	0	0	81
SLCdtt069	24190	4574	3544	187	26	41	1	356
SLCdtt129	17328	7889	140	417	28	21	0	4
SLCdtt109	30826	4394	375	354	130	29	0	42
LYZdtt352	122827	19327	596	703	83	333	1	2
SLCdtt054	8340	10787	305	257	51	5	0	32
LYZdtt353	82503	5803	533	479	68	211	82118	4
LYZdtt316	155459	18552	2171	1304	102	108	1	15
SLCdtt006	42635	3075	183	495	186	15	0	3
SLCdtt093	35022	2525	3826	174	12	81	0	7
SLCdtt077	46733	8371	76	70	3	22	0	1
SLCdtt132	24003	23443	898	472	114	9	0	6
SLCdtt001	4833	1425	39	576	50	27	0	5
LYZdtt303	968858	60366	2355	42598	209	428	176478	6476
SLCdtt130	7929	2100	171	169	30	0	0	1
SLCdtt068	11453	2995	318	86	3	34	0	213
LYZdtt307	102611	12778	749	1004	76	30	1	16
LYZdtt331	42119	21982	2558	921	28	16	1	4
LYZdtt339	15406	1917	483	2717	16	6	5	48
SLCdtt003	58397	4189	241	901	166	163	0	13
SLCdtt053	25777	23682	1675	913	404	6	1	143
LYZdtt327	66094	44581	520	1674	29	56	1	2
SLCdtt067	19949	3952	125	404	49	25	1	1124
SLCdtt163	95483	32540	1091	1349	195	181	8502	50
SLCdtt164	72288	10407	924	280	71	120	0	1
SLCdtt145	93918	8506	998	296	443	510	8984	471
SLCdtt150	105870	27087	5220	1195	985	20	0	145
SLCdtt167	143535	34623	517	475	68	12	0	39
SLCdtt149	167937	35731	7520	1979	1270	38	0	573
SLCdtt146	16071	3712	195	97	12	96	0	21
SLCdtt148	66198	33016	786	614	67	182	0	512
SLCdtt168	110870	20905	3980	493	212	39	1534	20
SLCdtt165	62299	37200	415	953	122	81	0	1
SLCdtt166	286210	27562	1510	1494	54	7	0	1
SLCdtt147	52292	24345	412	427	99	49	0	278
