#OTU ID,Mouse4A.DTT19,Mouse6A.FP31,Mouse1A.FP01,Mouse2A.FP07,Mouse3A.FP13,Mouse6A.DTT31,Mouse1B.DTT13,Mouse5A.FP25,Mouse5A.DTT25,Mouse7A.FP37,Mouse7A.DTT37,Mouse4A.FP19,Mouse10A.DTT109,Mouse10A.FP109,Mouse9A.DTT97,Mouse9A.FP97,Mouse8A.FP85,Mouse8A.DTT85,taxonomy
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium,3,10,3,77,25,50,75,714,2,638,121,96,148,0,91,255,102,102,
k__Bacteria;p__Cyanobacteria;c__Melainabacteria;o__Gastranaerophilales;f__;g__,41,17,0,243,19,84,39,0,15,9,43,5,43,107,51,67,8,24,
k__Bacteria;p__Cyanobacteria;c__Oxyphotobacteria;o__Chloroplast;f__;g__,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,
k__Bacteria;p__Deferribacteres;c__Deferribacteres;o__Deferribacterales;f__Deferribacteraceae;g__Mucispirillum,3944,687,6791,127,57,3570,4043,95,6429,67,357,3797,17242,1928,36952,951,2945,490,
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__,37,0,0,0,0,849,10,0,52,0,526,0,655,0,45,0,0,31,
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus,0,0,3,0,0,0,4,2,0,3,3,0,5,3,10,0,0,24,
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus,475,427,1065,3004,5406,1104,1533,682,178,1887,690,1193,4161,3961,1199,1176,6,2022,
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus,0,0,0,0,0,28,12,0,4,0,11,0,50,0,21,0,0,18,
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus,0,9,0,8,8,7,4,4,2,17,8,2,21,12,18,15,4,21,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__,8,11,20,13,21,4,14,0,8,4,0,38,3,3,24,35,38,4,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiales_vadinBB60_group;g__,50,0,0,2,0,2,12,0,1,0,1,44,96,90,22,0,0,13,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Family_XIII;g__,23,22,13,16,27,44,38,17,22,9,24,17,5,31,38,119,41,23,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Family_XIII;g__Family_XIII_AD3011_group,5,0,0,3,3,3,3,3,3,0,0,0,0,14,2,11,5,2,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Family_XIII;g__Family_XIII_UCG-001,32,24,28,15,22,34,31,0,45,8,9,39,19,4,6,10,31,27,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__,2607,644,2346,756,662,1810,1183,112,1745,316,652,2865,1094,736,2356,2249,1313,2126,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__A2,15,31,55,41,67,35,18,3,27,11,6,58,124,2,148,15,662,13,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__ASF356,12,8,294,4,7,31,15,10,19,10,22,5,45,11,28,12,0,3,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Acetatifactor,189,219,867,114,135,190,246,0,181,54,85,158,91,97,211,319,129,181,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__GCA-900066575,37,17,69,30,42,37,12,5,22,8,13,52,20,61,65,45,57,49,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnoclostridium,200,177,536,145,115,302,209,73,278,82,73,266,158,58,294,302,146,155,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_FCS020_group,57,32,60,7,33,11,35,0,121,22,6,109,26,30,39,15,41,58,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_NK4A136_group,1485,820,3630,551,765,2232,1367,42,1288,275,351,1118,1138,347,4482,3050,5198,4125,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-001,162,2129,2875,1273,246,3415,1495,6,8854,159,415,18,488,30,2605,5143,4512,1589,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-004,9,9,44,10,12,40,14,3,7,0,6,22,6,5,11,33,5,30,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-006,76,44,253,41,55,144,72,9,77,46,48,165,44,28,47,31,67,140,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-010,5,3,5,3,3,6,0,0,6,0,0,8,0,5,26,4,4,6,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Marvinbryantia,3,8,8,12,10,11,4,4,0,5,0,11,9,8,7,6,5,6,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia,732,1146,303,416,991,1015,437,80,489,370,134,943,205,144,823,146,1364,846,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Tyzzerella,0,13,8,6,19,24,9,0,19,5,6,0,5,15,46,23,4,10,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae;g__,306,0,5,96,218,5,112,50,231,1,4,763,53,19,788,105,274,40,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__,73,218,81,63,209,193,56,28,94,37,40,103,174,400,164,43,120,167,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Anaerotruncus,10,9,36,12,7,58,18,0,10,0,0,8,1,9,28,25,10,27,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Angelakisella,19,10,0,17,12,18,18,0,3,0,7,34,20,0,18,154,119,188,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Butyricicoccus,94,15,157,32,26,123,163,0,94,0,15,42,42,18,144,42,221,200,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Flavonifractor,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,15,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__GCA-900066225,3,16,12,3,0,12,6,0,0,3,3,12,13,1,16,11,3,14,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Harryflintia,62,17,93,13,17,33,26,4,28,10,5,80,2,5,39,10,20,49,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Hydrogenoanaerobacterium,273,67,68,48,37,29,38,3,96,20,32,257,158,24,111,155,51,32,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Intestinimonas,609,178,985,131,143,449,384,99,674,116,169,732,175,139,389,262,269,835,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillibacter,571,199,1102,216,152,410,373,0,312,49,86,600,172,58,978,629,1760,607,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Phocea,59,90,157,28,18,122,34,0,59,12,20,122,107,6,89,87,83,39,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminiclostridium,202,213,534,93,41,381,121,0,194,23,71,194,109,65,364,168,218,397,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminiclostridium_5,191,155,257,169,196,181,171,28,250,86,94,324,130,114,595,160,103,515,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminiclostridium_6,32,33,54,16,0,39,9,0,8,0,13,45,16,26,15,5,41,20,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminiclostridium_9,325,204,417,208,174,354,255,110,151,127,91,568,182,96,368,535,593,359,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_NK4A214_group,4,4,4,0,0,3,0,0,0,3,0,8,8,0,15,2,17,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-003,18,220,55,17,18,391,36,0,60,21,27,22,31,11,295,161,193,161,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-005,0,0,2,0,0,0,0,0,0,0,0,4,0,0,28,1,11,2,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-009,19,47,13,47,4,16,4,0,22,0,4,70,5,5,20,21,33,29,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-010,4,16,2,43,17,4,14,0,0,8,34,13,10,21,11,30,0,4,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-013,0,2,0,3,0,3,4,0,0,0,0,0,0,4,0,2,5,12,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-014,20,37,41,40,18,35,10,53,25,14,18,35,20,39,22,22,45,86,
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Dubosiella,57,3,1,91,1,573,2,516,12,1228,836,5938,15,0,9,0,105,110,
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalibaculum,11,86,6,70,60,1091,32,215,23,588,1399,61,649,27,80,35,67,155,
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__,0,2,0,0,0,0,2,0,0,7,2,3,0,0,0,35,0,0,
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__,42,57,51,11,20,61,31,4,14,0,0,97,25,3,113,20,96,142,
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila,29,245,269,11,104,611,182,8,92,17,16,47,63,18,139,17,300,341,
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio,41,97,85,97,65,113,58,5,18,47,23,237,46,7,101,535,52,182,
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__Parasutterella,430,581,67,979,461,614,562,896,212,1179,1214,669,454,706,308,456,514,759,
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Escherichia/Shigella,13,4,13,13,7,13,22,10,8,12,27,7,608,0,103,0,2,86,
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Opitutales;f__Puniceicoccaceae;g__,0,0,2,0,0,42,21,0,0,0,0,0,9,0,203,8,1296,59,
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia,7,3,5,5,0,213,351,4,10,6,43,0,779,3,105,0,0,157,
