#OTU ID,Mouse1B.DTT15,Mouse5A.DTT27,Mouse1A.FP03,Mouse3A.FP15,Mouse2A.FP09,Mouse7A.FP39,Mouse4A.DTT21,Mouse4A.FP21,Mouse7A.DTT39,Mouse6A.DTT33,Mouse6A.FP33,Mouse5A.FP27,Mouse9A.DTT99,Mouse10A.FP111,Mouse10A.DTT111,Mouse8A.FP87,Mouse9A.FP99,Mouse8A.DTT87,taxonomy
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium,45,24,349,282,790,116,13,30,210,31,30,225,179,0,10,410,260,40,
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus,0,5,7,9,12,9,4,3,11,5,12,27,0,10,15,4,2,4,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__,48,16,0,29,154,52,9,30,18,25,87,0,119,19,23,50,49,214,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiales_vadinBB60_group;g__,5,13,0,0,8,0,20,8,1,6,0,0,0,23,88,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Family_XIII;g__,47,44,0,32,60,22,20,27,32,30,49,0,34,27,18,21,25,10,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Family_XIII;g__Family_XIII_AD3011_group,6,11,0,6,0,0,6,3,4,0,5,0,11,0,4,0,3,5,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Family_XIII;g__Family_XIII_UCG-001,26,44,0,37,61,23,61,35,59,26,37,0,49,26,12,56,66,17,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__,1455,2268,973,748,1673,1536,2071,4114,2282,835,1099,6,2790,1531,1803,1658,4879,545,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__A2,31,32,0,42,78,39,38,78,17,11,8,0,32,56,2,1023,2585,13,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__ASF356,15,11,76,5,0,27,17,9,48,14,3,0,8,6,2,0,26,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Acetatifactor,193,270,142,91,165,290,95,141,280,131,241,0,168,190,222,163,344,85,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__GCA-900066575,45,36,0,23,121,58,12,63,28,7,38,0,46,20,48,57,41,30,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnoclostridium,251,299,963,239,410,661,144,420,275,196,832,84,372,322,158,611,877,63,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_FCS020_group,87,160,0,12,40,79,26,191,110,38,67,0,17,42,23,63,107,6,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_NK4A136_group,2140,942,684,508,2171,874,958,1850,1233,787,933,0,2847,972,1154,3291,3807,5720,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-001,2347,833,1570,341,755,1575,126,68,2415,3354,843,8,12664,57,26,7771,18572,1852,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-004,19,0,20,21,36,9,5,30,12,10,25,0,31,5,6,23,66,12,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-006,62,91,51,106,130,105,102,247,109,81,86,19,40,168,27,125,119,51,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-010,7,7,0,0,7,4,15,17,7,0,4,0,6,2,10,0,0,14,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Marvinbryantia,5,0,0,7,23,4,0,21,7,8,12,0,3,4,6,11,8,2,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia,881,263,248,625,867,817,693,1417,950,422,652,0,503,981,168,1476,2673,302,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Tyzzerella,18,31,0,9,9,5,0,0,10,18,20,0,26,11,9,1,5,41,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae;g__,214,232,32,280,634,4,442,491,17,0,8,0,278,67,101,38,124,15,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__,180,178,125,272,212,153,83,97,164,643,692,0,37,162,295,79,82,37,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Anaerotruncus,38,15,0,20,18,3,6,18,15,41,34,0,17,34,9,17,25,11,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Angelakisella,17,14,0,30,51,7,13,37,6,5,25,0,122,0,0,101,157,74,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Butyricicoccus,147,108,54,126,88,15,45,64,80,105,28,0,98,27,38,213,51,163,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Flavonifractor,0,5,35,0,0,0,3,8,10,0,5,0,2,2,3,5,2,1,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__GCA-900066225,3,0,0,6,21,14,3,19,9,3,34,0,25,1,3,11,21,8,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Harryflintia,10,32,40,15,15,13,43,109,32,0,21,0,51,14,8,32,27,14,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Hydrogenoanaerobacterium,119,139,13,28,85,63,250,124,194,50,116,0,131,431,385,65,248,78,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Intestinimonas,386,1159,226,304,847,558,666,1135,573,539,751,0,447,762,720,565,421,947,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillibacter,455,340,143,213,1189,225,528,787,291,200,460,0,841,244,309,937,967,1121,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Phocea,49,70,80,19,224,50,60,44,85,57,168,0,98,29,31,85,154,46,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminiclostridium,244,324,193,81,209,218,137,294,299,173,471,0,121,178,286,194,166,93,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminiclostridium_5,169,348,216,338,945,419,283,539,417,202,425,0,312,170,447,323,216,238,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminiclostridium_6,13,9,0,0,42,13,19,32,35,25,38,0,10,55,64,18,5,11,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminiclostridium_9,296,277,404,367,1057,464,225,517,406,296,544,0,500,254,319,575,452,568,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_NK4A214_group,0,5,0,8,10,12,0,7,11,0,13,0,3,6,7,23,2,11,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-003,56,99,0,53,40,174,17,27,205,148,450,0,308,66,62,111,469,98,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-005,0,3,0,0,6,2,0,6,2,0,2,0,17,0,0,21,0,1,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-009,20,63,0,4,30,19,23,59,68,11,48,0,23,11,16,21,25,11,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-010,4,3,0,10,6,5,2,0,9,0,31,0,3,4,9,0,14,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-013,0,0,0,7,6,0,0,0,3,0,3,0,0,0,0,0,6,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-014,8,23,57,61,101,25,6,17,12,24,79,0,22,18,25,93,5,47,
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Dubosiella,1,26,0,2,728,6633,65,1605,649,123,74,265,0,0,0,157,0,82,
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalibaculum,49,56,441,184,108,672,10,45,966,649,208,320,31,25,20,133,37,62,
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__,0,2,0,0,0,1,0,4,0,0,0,66,0,0,31,8,0,0,
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__,98,18,19,31,249,77,49,49,69,88,141,0,94,19,22,182,171,95,
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila,386,254,104,112,69,221,50,60,276,668,987,22,150,116,91,695,353,247,
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio,91,38,366,238,901,394,26,285,155,69,281,23,194,78,38,94,75,73,
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__Parasutterella,499,525,305,589,1655,1567,140,497,748,200,1235,1397,309,345,443,801,328,352,
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Escherichia/Shigella,9,26,1214,38,19,12,11,9,43,22,7,27,50,3,2,0,2,11,
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Opitutales;f__Puniceicoccaceae;g__,0,0,0,0,0,0,0,0,16,7,0,0,60,0,0,981,558,90,
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia,9,11,1054,14,0,4,7,0,9,30,5,3,12,0,0,0,0,4,
