#OTU ID,Mouse5A.FP26,Mouse6A.FP32,Mouse7A.FP38,Mouse1A.FP02,Mouse7A.DTT38,Mouse1B.DTT14,Mouse4A.FP20,Mouse5A.DTT26,Mouse3A.FP14,Mouse2A.FP08,Mouse4A.DTT20,Mouse6A.DTT32,Mouse9A.DTT98,Mouse10A.FP110,Mouse10A.DTT110,Mouse9A.FP98,Mouse8A.DTT86,Mouse8A.FP86,taxonomy
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium,270,24,173,6,33,136,26,40,172,626,10,23,90,0,0,250,45,83,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnoclostridium,356,457,344,888,284,383,222,241,156,185,229,247,1132,43,136,228,54,183,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_FCS020_group,4,68,121,108,63,98,158,87,18,84,17,17,124,10,28,9,34,25,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_NK4A136_group,262,943,722,2603,2009,3445,1342,935,398,1186,1455,2168,8167,294,630,2489,3632,7849,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-001,23,3359,2194,9433,4976,1564,93,809,264,1634,879,5445,17254,10,65,3007,2461,5656,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-004,11,9,4,27,5,36,8,7,15,15,12,12,61,2,5,23,28,19,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-006,21,97,148,219,123,80,291,72,80,66,142,67,189,20,21,36,63,45,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-010,0,3,0,7,0,0,9,6,0,4,15,0,51,0,12,2,11,9,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Marvinbryantia,3,7,5,5,0,0,11,0,21,11,0,0,0,2,2,4,2,9,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia,203,1174,2007,281,536,1089,2403,454,451,1667,1419,633,1515,39,134,226,680,484,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Tyzzerella,0,11,17,11,11,34,4,13,12,13,1,6,103,5,5,13,22,26,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae;g__,283,0,3,6,58,360,470,189,222,288,499,10,2269,21,82,69,15,244,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__,70,123,81,76,102,189,79,121,231,68,79,265,146,142,244,50,51,53,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Anaerotruncus,0,38,10,35,11,51,17,14,8,22,16,30,55,10,12,17,7,23,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Angelakisella,7,14,5,0,5,22,27,5,23,28,16,11,618,0,0,145,71,161,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Butyricicoccus,2,43,6,109,74,246,20,40,42,37,108,63,240,6,24,52,186,174,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Flavonifractor,3,0,6,0,4,4,0,7,0,0,0,0,4,0,0,0,6,4,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__GCA-900066225,6,18,12,15,7,10,4,0,8,11,5,3,102,1,4,5,7,10,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Harryflintia,0,32,19,89,15,26,109,23,6,12,70,12,95,4,3,19,18,17,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Hydrogenoanaerobacterium,5,50,101,146,200,300,135,45,30,144,240,113,394,70,331,79,40,56,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Intestinimonas,672,294,268,488,413,721,679,501,189,250,806,363,1475,336,416,266,703,406,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillibacter,48,151,145,509,242,951,574,277,152,401,1325,221,4969,83,113,556,1615,1456,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Phocea,9,83,38,86,111,111,64,34,10,76,60,51,326,17,30,107,55,103,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminiclostridium,50,302,156,445,250,407,175,217,53,140,212,220,486,65,122,98,205,294,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminiclostridium_5,402,156,197,354,340,209,215,263,217,364,219,184,802,54,241,90,239,151,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminiclostridium_6,5,26,15,93,23,9,17,0,0,23,36,47,24,13,51,4,15,26,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminiclostridium_9,234,217,242,362,204,599,358,214,239,386,267,301,1420,109,228,295,703,727,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_NK4A214_group,8,3,0,4,0,4,9,3,5,5,10,0,24,0,4,5,7,12,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-003,10,154,66,24,150,147,18,84,29,64,31,188,1272,17,20,196,127,176,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-005,4,0,0,3,0,0,6,2,0,0,0,0,49,0,0,2,15,2,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-009,0,46,46,21,32,31,84,35,0,55,28,15,109,2,22,22,26,45,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-010,3,7,0,0,6,9,7,6,12,15,3,3,13,9,8,30,3,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-013,0,0,0,0,0,0,3,0,4,3,0,0,9,0,0,15,0,3,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-014,103,25,14,24,13,12,12,37,27,44,9,17,36,15,15,12,86,75,
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Dubosiella,2756,3,144,0,128,45,1809,148,1,126,59,96,0,0,0,0,101,81,
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalibaculum,364,210,417,13,438,178,25,192,93,81,22,399,92,13,24,0,174,137,
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__,0,25,2,0,0,0,3,0,0,22,0,0,0,0,0,0,0,0,
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__,84,18,36,42,7,77,79,20,28,48,32,44,206,3,14,15,113,74,
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila,141,209,81,265,69,300,27,99,65,62,35,375,370,24,43,21,120,209,
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio,78,91,154,64,94,170,112,37,104,319,48,49,311,14,15,189,45,59,
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__Parasutterella,2366,586,1044,236,426,295,440,891,421,1589,134,212,387,300,588,524,775,990,
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Escherichia/Shigella,18,8,6,8,13,9,9,27,10,14,13,47,87,0,4,3,45,0,
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Opitutales;f__Puniceicoccaceae;g__,0,2,3,0,8,21,0,0,0,7,0,15,90,0,0,3,89,191,
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia,3,4,3,0,8,115,4,4,3,3,10,12,80,0,8,0,13,0,
