#OTU ID,Mouse1B.DTT15,Mouse5A.FP26,Mouse6A.FP32,Mouse7A.FP38,Mouse1A.FP02,Mouse5A.DTT27,Mouse4A.DTT19,Mouse6A.FP31,Mouse1A.FP03,Mouse1A.FP01,Mouse7A.DTT38,Mouse2A.FP07,Mouse3A.FP13,Mouse6A.DTT31,Mouse1B.DTT14,Mouse3A.FP15,Mouse4A.FP20,Mouse1B.DTT13,Mouse2A.FP09,Mouse5A.DTT26,Mouse5A.FP25,Mouse7A.FP39,Mouse4A.DTT21,Mouse3A.FP14,Mouse4A.FP21,Mouse2A.FP08,Mouse5A.DTT25,Mouse7A.DTT39,Mouse4A.DTT20,Mouse6A.DTT32,Mouse6A.DTT33,Mouse7A.FP37,Mouse7A.DTT37,Mouse6A.FP33,Mouse4A.FP19,Mouse5A.FP27,Mouse9A.DTT98,Mouse10A.DTT109,Mouse10A.FP110,Mouse10A.FP109,Mouse10A.DTT110,Mouse9A.DTT99,Mouse9A.DTT97,Mouse10A.FP111,Mouse9A.FP97,Mouse9A.FP98,Mouse10A.DTT111,Mouse8A.FP87,Mouse8A.FP85,Mouse8A.DTT85,Mouse8A.DTT86,Mouse8A.FP86,Mouse9A.FP99,Mouse8A.DTT87,taxonomy
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-006,62,21,97,148,219,91,76,44,51,253,123,41,55,144,80,106,291,72,130,72,9,105,102,80,247,66,77,109,142,67,81,46,48,86,165,19,189,44,20,28,21,40,47,168,31,36,27,125,67,140,63,45,119,51,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-010,7,0,3,0,7,7,5,3,0,5,0,3,3,6,0,0,9,0,7,6,0,4,15,0,17,4,6,7,15,0,0,0,0,4,8,0,51,0,0,5,12,6,26,2,4,2,10,0,4,6,11,9,0,14,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Marvinbryantia,5,3,7,5,5,0,3,8,0,8,0,12,10,11,0,7,11,4,23,0,4,4,0,21,21,11,0,7,0,0,8,5,0,12,11,0,0,9,2,8,2,3,7,4,6,4,6,11,5,6,2,9,8,2,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia,881,203,1174,2007,281,263,732,1146,248,303,536,416,991,1015,1089,625,2403,437,867,454,80,817,693,451,1417,1667,489,950,1419,633,422,370,134,652,943,0,1515,205,39,144,134,503,823,981,146,226,168,1476,1364,846,680,484,2673,302,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Tyzzerella,18,0,11,17,11,31,0,13,0,8,11,6,19,24,34,9,4,9,9,13,0,5,0,12,0,13,19,10,1,6,18,5,6,20,0,0,103,5,5,15,5,26,46,11,23,13,9,1,4,10,22,26,5,41,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae;g__,214,283,0,3,6,232,306,0,32,5,58,96,218,5,360,280,470,112,634,189,50,4,442,222,491,288,231,17,499,10,0,1,4,8,763,0,2269,53,21,19,82,278,788,67,105,69,101,38,274,40,15,244,124,15,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__,180,70,123,81,76,178,73,218,125,81,102,63,209,193,189,272,79,56,212,121,28,153,83,231,97,68,94,164,79,265,643,37,40,692,103,0,146,174,142,400,244,37,164,162,43,50,295,79,120,167,51,53,82,37,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Anaerotruncus,38,0,38,10,35,15,10,9,0,36,11,12,7,58,51,20,17,18,18,14,0,3,6,8,18,22,10,15,16,30,41,0,0,34,8,0,55,1,10,9,12,17,28,34,25,17,9,17,10,27,7,23,25,11,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Angelakisella,17,7,14,5,0,14,19,10,0,0,5,17,12,18,22,30,27,18,51,5,0,7,13,23,37,28,3,6,16,11,5,0,7,25,34,0,618,20,0,0,0,122,18,0,154,145,0,101,119,188,71,161,157,74,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Butyricicoccus,147,2,43,6,109,108,94,15,54,157,74,32,26,123,246,126,20,163,88,40,0,15,45,42,64,37,94,80,108,63,105,0,15,28,42,0,240,42,6,18,24,98,144,27,42,52,38,213,221,200,186,174,51,163,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Flavonifractor,0,3,0,6,0,5,3,0,35,0,4,0,0,0,4,0,0,0,0,7,0,0,3,0,8,0,0,10,0,0,0,0,0,5,0,0,4,0,0,0,0,2,0,2,2,0,3,5,9,15,6,4,2,1,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__GCA-900066225,3,6,18,12,15,0,3,16,0,12,7,3,0,12,10,6,4,6,21,0,0,14,3,8,19,11,0,9,5,3,3,3,3,34,12,0,102,13,1,1,4,25,16,1,11,5,3,11,3,14,7,10,21,8,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Harryflintia,10,0,32,19,89,32,62,17,40,93,15,13,17,33,26,15,109,26,15,23,4,13,43,6,109,12,28,32,70,12,0,10,5,21,80,0,95,2,4,5,3,51,39,14,10,19,8,32,20,49,18,17,27,14,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Hydrogenoanaerobacterium,119,5,50,101,146,139,273,67,13,68,200,48,37,29,300,28,135,38,85,45,3,63,250,30,124,144,96,194,240,113,50,20,32,116,257,0,394,158,70,24,331,131,111,431,155,79,385,65,51,32,40,56,248,78,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Intestinimonas,386,672,294,268,488,1159,609,178,226,985,413,131,143,449,721,304,679,384,847,501,99,558,666,189,1135,250,674,573,806,363,539,116,169,751,732,0,1475,175,336,139,416,447,389,762,262,266,720,565,269,835,703,406,421,947,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillibacter,455,48,151,145,509,340,571,199,143,1102,242,216,152,410,951,213,574,373,1189,277,0,225,528,152,787,401,312,291,1325,221,200,49,86,460,600,0,4969,172,83,58,113,841,978,244,629,556,309,937,1760,607,1615,1456,967,1121,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Phocea,49,9,83,38,86,70,59,90,80,157,111,28,18,122,111,19,64,34,224,34,0,50,60,10,44,76,59,85,60,51,57,12,20,168,122,0,326,107,17,6,30,98,89,29,87,107,31,85,83,39,55,103,154,46,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminiclostridium,244,50,302,156,445,324,202,213,193,534,250,93,41,381,407,81,175,121,209,217,0,218,137,53,294,140,194,299,212,220,173,23,71,471,194,0,486,109,65,65,122,121,364,178,168,98,286,194,218,397,205,294,166,93,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminiclostridium_5,169,402,156,197,354,348,191,155,216,257,340,169,196,181,209,338,215,171,945,263,28,419,283,217,539,364,250,417,219,184,202,86,94,425,324,0,802,130,54,114,241,312,595,170,160,90,447,323,103,515,239,151,216,238,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminiclostridium_6,13,5,26,15,93,9,32,33,0,54,23,16,0,39,9,0,17,9,42,0,0,13,19,0,32,23,8,35,36,47,25,0,13,38,45,0,24,16,13,26,51,10,15,55,5,4,64,18,41,20,15,26,5,11,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminiclostridium_9,296,234,217,242,362,277,325,204,404,417,204,208,174,354,599,367,358,255,1057,214,110,464,225,239,517,386,151,406,267,301,296,127,91,544,568,0,1420,182,109,96,228,500,368,254,535,295,319,575,593,359,703,727,452,568,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_NK4A214_group,0,8,3,0,4,5,4,4,0,4,0,0,0,3,4,8,9,0,10,3,0,12,0,5,7,5,0,11,10,0,0,3,0,13,8,0,24,8,0,0,4,3,15,6,2,5,7,23,17,0,7,12,2,11,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-003,56,10,154,66,24,99,18,220,0,55,150,17,18,391,147,53,18,36,40,84,0,174,17,29,27,64,60,205,31,188,148,21,27,450,22,0,1272,31,17,11,20,308,295,66,161,196,62,111,193,161,127,176,469,98,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-005,0,4,0,0,3,3,0,0,0,2,0,0,0,0,0,0,6,0,6,2,0,2,0,0,6,0,0,2,0,0,0,0,0,2,4,0,49,0,0,0,0,17,28,0,1,2,0,21,11,2,15,2,0,1,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-009,20,0,46,46,21,63,19,47,0,13,32,47,4,16,31,4,84,4,30,35,0,19,23,0,59,55,22,68,28,15,11,0,4,48,70,0,109,5,2,5,22,23,20,11,21,22,16,21,33,29,26,45,25,11,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-010,4,3,7,0,0,3,4,16,0,2,6,43,17,4,9,10,7,14,6,6,0,5,2,12,0,15,0,9,3,3,0,8,34,31,13,0,13,10,9,21,8,3,11,4,30,30,9,0,0,4,3,0,14,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-013,0,0,0,0,0,0,0,2,0,0,0,3,0,3,0,7,3,4,6,0,0,0,0,4,0,3,0,3,0,0,0,0,0,3,0,0,9,0,0,4,0,0,0,0,2,15,0,0,5,12,0,3,6,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-014,8,103,25,14,24,23,20,37,57,41,13,40,18,35,12,61,12,10,101,37,53,25,6,27,17,44,25,12,9,17,24,14,18,79,35,0,36,20,15,39,15,22,22,18,22,12,25,93,45,86,86,75,5,47,
