#OTU ID,Mouse5A.FP28,Mouse3A.FP16,Mouse7A.FP40,Mouse5A.DTT28,Mouse4A.FP22,Mouse4A.DTT22,Mouse1B.DTT16,Mouse1A.FP04,Mouse2A.FP10,Mouse6A.DTT34,Mouse6A.FP34,Mouse7A.DTT40,Mouse9A.DTT100,Mouse10A.DTT112,Mouse10A.FP112,Mouse8A.DTT88,Mouse9A.FP100,Mouse8A.FP88,taxonomy
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium,1234,74,565,24,12,8,181,27,207,3,8,64,274,0,0,250,1172,2776,
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus,10553,8902,6217,2407,35126,6923,3949,20546,2562,591,3419,2885,1269,8303,25374,1659,331,1487,
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus,5,0,0,2,0,0,0,4,3,0,0,0,0,0,0,15,0,0,
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus,29,33,39,8,36,25,16,25,20,6,34,68,45,84,83,71,87,60,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__,0,3,4,4,0,0,0,0,0,0,0,0,0,0,20,0,0,5,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiales_vadinBB60_group;g__,0,0,2,2,0,0,2,0,0,0,0,0,0,7,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Family_XIII;g__,0,3,5,8,0,0,0,0,0,0,7,0,0,6,25,3,0,3,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Family_XIII;g__Family_XIII_AD3011_group,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Family_XIII;g__Family_XIII_UCG-001,0,3,5,13,0,0,0,0,0,0,0,4,0,3,34,0,4,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__,14,76,285,892,0,2,150,77,25,13,96,504,278,674,2040,86,275,39,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__A2,0,7,4,22,0,0,10,0,0,0,0,8,499,6,55,42,29,2,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__ASF356,0,0,4,14,0,0,2,0,0,0,2,15,1,0,56,1,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Acetatifactor,9,13,28,42,0,0,6,8,9,0,4,48,14,67,158,5,7,4,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__GCA-900066575,0,3,5,11,0,0,0,3,0,0,0,3,3,3,45,4,3,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnoclostridium,51,28,200,143,0,0,33,136,82,28,317,37,104,101,866,61,55,33,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_FCS020_group,0,0,17,22,0,0,0,0,0,0,0,15,1,18,82,0,1,1,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_NK4A136_group,16,94,408,414,0,7,195,103,41,5,36,161,38,210,2365,88,83,58,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-001,8,18,125,56,0,0,118,85,25,5,19,449,54,28,87,144,143,164,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-004,0,0,0,6,0,0,3,0,0,0,0,0,0,3,9,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-006,20,34,69,26,0,0,15,44,31,9,121,6,55,47,294,15,34,14,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-010,0,0,0,3,0,0,4,0,0,0,0,0,0,0,3,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Marvinbryantia,0,0,0,0,0,0,0,0,0,0,0,4,4,3,18,2,1,3,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia,0,90,115,280,0,5,50,0,13,0,25,120,14,188,1329,21,25,12,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Tyzzerella,0,0,4,0,0,0,0,0,0,0,0,4,0,0,7,2,1,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae;g__,0,18,0,39,0,0,7,0,0,0,9,0,1,17,182,4,1,1,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__,0,15,10,4,0,0,9,0,6,0,2,18,0,23,303,2,2,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Anaerotruncus,0,0,0,3,0,0,3,0,0,0,0,0,0,0,37,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Angelakisella,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Butyricicoccus,0,8,8,29,0,0,0,4,5,0,21,13,11,6,153,2,18,11,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Flavonifractor,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__GCA-900066225,0,0,0,0,0,0,0,0,0,0,0,2,0,2,10,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Harryflintia,0,0,3,9,0,0,0,0,0,0,0,0,0,2,5,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Hydrogenoanaerobacterium,0,0,13,23,0,0,4,0,3,0,4,9,3,16,41,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Intestinimonas,0,17,37,75,0,0,18,0,0,0,6,47,8,53,842,3,8,5,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillibacter,0,18,24,200,0,2,26,7,9,0,9,18,3,59,269,26,30,14,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Phocea,0,0,0,3,0,0,0,0,4,0,4,5,0,9,27,0,4,2,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminiclostridium,0,0,26,85,0,0,3,0,0,0,0,37,2,58,281,4,5,4,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminiclostridium_5,0,30,44,64,0,0,19,17,18,7,9,41,10,159,432,11,28,12,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminiclostridium_6,0,0,26,0,0,0,0,5,4,0,4,9,0,10,92,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminiclostridium_9,0,27,86,29,0,0,12,11,4,0,5,23,14,62,307,6,10,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-003,0,0,52,14,0,0,0,0,0,6,5,18,3,12,61,2,2,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-009,0,0,0,10,0,0,0,0,0,0,0,8,0,4,5,0,1,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-010,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-014,0,0,0,3,0,3,0,0,11,0,10,0,1,6,17,4,2,20,
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Dubosiella,187,28,4958,220,99,89,96,1,1031,3,5,18,0,0,0,420,27,2514,
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalibaculum,433,494,3073,157,9,18,287,177,204,27,211,175,124,56,65,396,365,2865,
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__,131,26,373,2,22,11,3,458,38,0,70,0,0,0,0,0,131,138,
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__,3,0,8,9,0,0,6,5,28,8,44,4,31,5,15,30,73,36,
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila,26,20,46,50,0,4,26,35,24,47,173,24,104,136,98,45,133,101,
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio,36,61,313,57,35,28,47,18,1220,9,79,107,582,81,919,19,6556,66,
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__Parasutterella,1032,3491,788,2469,265,737,2844,459,3220,984,2635,2064,4691,4251,2528,5514,5282,11039,
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Escherichia/Shigella,15,8,14,56,7,10,3,8,12,13,28,16,38,43,4,30,5,6,
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Opitutales;f__Puniceicoccaceae;g__,0,0,0,0,0,0,41,0,7,8,0,6,4565,0,0,1,1,1,
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia,5,2,2,3,4,0,7,2,3,3,4,7,27,20,0,18,8,20,
