#OTU ID,Mouse5A.DTT29,Mouse6A.DTT35,Mouse1A.FP05,Mouse3A.FP17,Mouse2A.FP11,Mouse4A.FP23,Mouse6A.FP35,Mouse7A.DTT41,Mouse7A.FP41,Mouse5A.FP29,Mouse1B.DTT17,Mouse4A.DTT23,Mouse9A.DTT101,Mouse10A.DTT113,Mouse10A.FP113,Mouse9A.FP101,Mouse8A.DTT89,Mouse8A.FP89,taxonomy
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium,225,63,16,3,418,6,300,294,223,633,19,36,336,0,18,3098,315,2280,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Rikenella,0,0,0,12,23,0,8,5,0,91,25,0,19,3,2,42,2,9,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides,7,21,20,8,0,0,49,0,0,82,26,0,11,3,5,10,23,36,
k__Bacteria;p__Cyanobacteria;c__Melainabacteria;o__Gastranaerophilales;f__;g__,0,0,7,17,0,0,0,0,0,3,11,0,2,0,2,2,0,2,
k__Bacteria;p__Cyanobacteria;c__Oxyphotobacteria;o__Chloroplast;f__;g__,0,14,0,2904,68,33,765,3,67,0,0,2,0,0,712,99,14,0,
k__Bacteria;p__Deferribacteres;c__Deferribacteres;o__Deferribacterales;f__Deferribacteraceae;g__Mucispirillum,10,48,0,43,16,0,45,9,34,517,564,37,29,20,1,12,10,135,
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__,36,482,0,0,0,0,0,66,0,0,0,147,14,22,0,0,28,0,
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus,5,2,5,4,5,4,6,0,2,3,0,0,0,0,4,0,16,0,
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus,3133,1250,17353,16083,5088,36731,4953,3084,7059,1762,7588,22098,1648,9830,42413,1608,218,196,
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus,0,0,0,3,0,0,0,0,2,0,7,3,6,0,0,8,12,0,
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus,20,0,13,283,40,65,43,27,42,0,141,46,30,64,451,166,2,7,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,9,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiales_vadinBB60_group;g__,0,0,0,2,0,0,2,0,3,5,7,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Family_XIII;g__,0,0,5,0,0,0,4,0,8,26,12,0,5,2,4,21,0,9,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Family_XIII;g__Family_XIII_AD3011_group,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Family_XIII;g__Family_XIII_UCG-001,0,0,0,0,0,0,0,0,0,14,12,0,0,0,5,0,0,14,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__,89,98,251,104,53,0,251,75,79,853,442,154,453,120,279,794,88,390,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__A2,7,14,0,3,4,0,0,15,0,13,14,12,174,3,0,46,91,174,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__ASF356,0,7,0,0,0,0,3,0,0,18,2,0,0,1,1,1,1,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Acetatifactor,13,4,16,20,0,0,25,0,0,24,21,6,14,7,10,33,6,48,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__GCA-900066575,0,0,0,3,0,0,5,0,0,16,16,0,0,0,0,0,0,13,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnoclostridium,28,49,596,48,120,2,233,57,130,482,88,16,285,182,65,220,106,129,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_FCS020_group,0,0,6,0,0,0,0,0,0,4,5,11,3,5,1,8,4,28,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_NK4A136_group,42,27,72,231,20,0,112,10,73,201,593,24,20,26,243,369,72,934,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-001,71,48,100,48,26,0,51,13,13,15,783,26,64,9,7,332,51,2374,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-004,0,0,3,0,0,0,3,0,0,17,6,0,0,0,0,8,4,5,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-006,10,20,227,20,45,9,82,33,81,30,25,14,81,90,132,149,32,42,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-010,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,2,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Marvinbryantia,0,0,4,0,3,0,4,0,0,11,7,0,3,0,0,4,5,4,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia,30,30,0,66,8,0,20,9,23,111,357,16,28,52,49,51,7,292,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Tyzzerella,0,3,0,0,0,0,0,0,0,3,0,0,0,0,2,3,0,3,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae;g__,8,0,0,9,0,0,0,0,0,213,18,16,0,0,4,0,1,28,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__,4,3,6,11,2,0,14,0,2,210,37,5,0,26,51,7,0,8,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Anaerotruncus,0,0,0,2,0,0,0,0,0,9,0,0,0,3,0,0,0,3,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Angelakisella,0,0,0,2,0,0,2,0,0,7,0,0,0,0,0,7,0,21,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Butyricicoccus,0,5,28,8,18,0,45,4,5,31,17,12,4,3,4,12,8,111,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Flavonifractor,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__GCA-900066225,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Harryflintia,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,11,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Hydrogenoanaerobacterium,3,0,3,17,5,0,4,0,3,4,13,0,2,0,0,0,0,11,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Intestinimonas,8,24,11,25,0,0,15,3,3,629,44,8,2,9,11,22,8,79,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillibacter,16,17,3,51,7,0,12,0,4,76,96,15,5,14,3,22,6,190,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Phocea,0,0,6,9,6,0,4,0,0,13,17,0,0,0,0,3,0,13,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminiclostridium,9,10,0,11,0,0,3,0,0,58,52,5,0,4,10,7,3,44,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminiclostridium_5,12,16,63,42,32,0,51,18,22,539,60,0,26,12,32,73,11,75,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminiclostridium_6,0,0,0,15,0,0,10,0,0,9,0,0,0,0,0,2,0,7,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminiclostridium_9,4,0,18,39,3,0,11,0,9,258,50,8,3,4,15,16,8,176,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_NK4A214_group,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,3,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-003,5,9,5,0,3,0,8,0,9,14,13,3,0,7,3,9,3,21,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-005,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-009,3,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,7,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-010,0,10,0,0,0,0,5,0,2,0,2,0,0,0,0,4,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-013,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-014,2,0,4,9,8,0,19,0,0,170,4,0,1,0,1,9,11,27,
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Dubosiella,439,21,0,1,1440,17,25,183,1451,18952,2,120,12,0,0,0,844,2750,
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalibaculum,443,362,403,136,418,8,713,846,1406,724,46,14,45,35,102,144,710,2824,
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__,0,15,0,4623,150,58,736,0,63,0,0,0,0,0,649,327,0,33,
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__,0,11,0,8,26,0,62,10,4,75,7,9,230,3,1,1193,9,38,
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila,28,84,65,23,24,0,438,31,25,80,34,6,431,16,30,1128,32,166,
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio,20,51,28,27,1942,40,140,205,813,193,47,67,136,51,4138,3049,61,105,
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__Parasutterella,2732,1629,710,500,2628,100,3625,2235,776,3086,366,921,1065,2540,1054,3867,13648,17620,
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Escherichia/Shigella,8,13,18,21,85,13,53,9,6,16,3,27,37,32,8,5,65,7,
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Opitutales;f__Puniceicoccaceae;g__,0,12,0,0,0,0,2,14,0,0,0,0,3768,0,0,2126,4,3,
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia,5,9,5,8,4,2,8,4,6,4,12,9,5,13,4,9,15,6,
