OTU.ID	Mouse9A.DTT98	Mouse5A.DTT29	Mouse5A.FP28	Mouse6A.DTT35	Mouse1B.DTT15	Mouse1B.DTT18	Mouse10A.DTT109	Mouse9A.DTT100	Mouse10A.FP110	Mouse9A.DTT101	Mouse3A.FP16	Mouse5A.FP26	Mouse7A.FP40	Mouse1A.FP05	Mouse6A.FP32	Mouse10A.FP109	Mouse3A.FP17	Mouse10A.DTT110	Mouse9A.DTT99	Mouse9A.DTT97	Mouse7A.FP38	Mouse1A.FP02	Mouse5A.DTT27	Mouse10A.FP111	Mouse8A.DTT90	Mouse2A.FP11	Mouse3A.FP18	Mouse4A.DTT19	Mouse5A.DTT30	Mouse5A.DTT28	Mouse9A.FP97	Mouse9A.FP98	Mouse6A.FP31	Mouse10A.DTT111	Mouse4A.FP22	Mouse1A.FP03	Mouse10A.DTT113	Mouse4A.FP23	Mouse1A.FP01	Mouse6A.FP35	Mouse7A.DTT38	Mouse7A.DTT41	Mouse4A.DTT22	Mouse8A.FP87	Mouse2A.FP07	Mouse3A.FP13	Mouse9A.DTT102	Mouse10A.DTT112	Mouse1A.FP06	Mouse8A.FP85	Mouse6A.DTT31	Mouse7A.DTT42	Mouse1B.DTT16	Mouse1A.FP04	Mouse10A.DTT114	Mouse2A.FP12	Mouse2A.FP10	Mouse7A.FP42	Mouse7A.FP41	Mouse10A.FP113	Mouse9A.FP102	Mouse1B.DTT14	Mouse8A.DTT85	Mouse3A.FP15	Mouse8A.DTT86	Mouse9A.FP101	Mouse10A.FP112	Mouse4A.FP20	Mouse1B.DTT13	Mouse6A.DTT34	Mouse5A.FP29	Mouse6A.FP34	Mouse6A.FP36	Mouse2A.FP09	Mouse5A.DTT26	Mouse5A.FP25	Mouse5A.FP30	Mouse7A.FP39	Mouse4A.FP24	Mouse4A.DTT21	Mouse4A.DTT24	Mouse1B.DTT17	Mouse8A.FP90	Mouse10A.FP114	Mouse3A.FP14	Mouse4A.FP21	Mouse8A.FP86	Mouse8A.DTT88	Mouse9A.FP99	Mouse2A.FP08	Mouse5A.DTT25	Mouse7A.DTT39	Mouse8A.DTT89	Mouse4A.DTT20	Mouse6A.DTT32	Mouse6A.DTT33	Mouse6A.DTT36	Mouse4A.DTT23	Mouse7A.FP37	Mouse7A.DTT37	Mouse6A.FP33	Mouse4A.FP19	Mouse8A.FP89	Mouse8A.DTT87	Mouse7A.DTT40	Mouse9A.FP100	Mouse5A.FP27	Mouse8A.FP88	taxonomy
73ecb2b42a2a27b594d1940b3b01355c	1963	29	0	9	543	109	343	6	101	22	10	190	97	73	170	202	16	646	937	781	491	245	959	264	76	6	32	1219	47	277	421	364	64	733	0	64	28	0	247	61	1276	12	0	199	148	183	11	187	4	117	566	20	35	7	322	9	3	34	21	40	88	484	718	113	288	24	257	587	405	0	288	6	2	414	694	4	44	557	3	1106	543	123	54	105	80	1152	143	4	704	301	784	1272	2	730	279	150	0	59	64	249	71	530	45	139	192	17	0	2	NA
57d86121d49ff2dc065e75b5af7065a8	1759	1981	1013	1606	299	61	618	6051	450	4614	780	1679	964	953	1122	985	113	703	2492	929	2439	246	2253	826	8631	688	26	1334	2041	1274	2101	1730	1151	666	172	1109	2697	252	168	1909	617	1910	787	1338	623	702	3338	1260	579	889	943	3126	976	876	1616	509	391	2880	1874	2116	4907	193	1366	1228	1267	6991	1367	1281	321	407	806	1514	2466	597	1198	1771	1683	1076	1230	627	3977	112	7918	2363	949	1139	1386	1783	1773	789	299	1324	4077	535	375	464	1377	1695	2749	1269	1438	712	5191	1381	1402	8139	711	2696	NA
280d7446492fda143527f12800b079a8	1733	419	1256	1682	1740	160	1564	4338	1107	1747	759	255	1941	493	888	2520	134	1689	1519	1462	605	358	392	1842	2037	4786	109	514	1023	644	3288	2734	1412	1365	74	416	3490	76	225	3103	601	640	423	1467	1929	1374	2393	3436	183	965	965	833	1070	370	2568	5180	2587	1230	902	7508	6821	1038	1875	1263	1382	8629	6214	201	1326	679	89	1439	2741	2619	1097	745	2669	419	316	108	734	178	9807	5593	1126	147	1943	1118	2215	2429	244	1331	4281	233	549	471	1503	317	838	1426	1081	102	7606	824	847	8575	597	2757	NA
ff4ae0f811e8dcb2d76d7d8acc73deb8	1689	1749	1537	1145	680	90	745	4508	528	4352	1104	105	561	1669	519	1069	241	825	892	773	310	353	459	410	3800	1707	95	227	2781	2322	2612	2216	241	702	28	482	1821	48	487	685	365	551	182	516	1331	1018	3138	944	704	519	322	541	781	930	892	1449	1620	430	377	3313	3428	593	1241	1265	1781	5482	1655	114	859	627	32	1021	696	150	1250	222	2063	133	65	23	460	184	3622	1211	1233	61	1878	2074	551	664	398	151	3061	141	278	117	839	330	331	876	444	47	4543	553	507	7292	1218	3015	NA
4908017090823380efa89d3e236c811e	1689	883	828	761	858	72	1369	3885	991	2968	442	118	280	806	709	2332	83	1924	875	1412	151	225	286	676	2428	836	46	122	1134	1530	3015	2730	430	1350	25	217	3478	44	241	919	232	286	124	325	892	1383	2918	1709	498	258	305	276	508	232	1842	874	1003	260	163	4553	2830	741	1255	1426	1084	3656	3054	75	1026	741	151	1576	847	212	784	378	861	156	53	14	174	159	2504	2400	1216	69	1089	970	646	410	316	124	1645	100	372	118	817	216	513	554	565	34	2545	337	383	4905	856	1808	NA
c7e8256e8c26ba135b468ce394833632	1648	0	0	2	7	13	155	3	33	4	0	0	0	0	0	8	4	100	462	639	0	3	0	88	49	0	0	14	0	4	380	328	0	148	0	7	4	0	1	0	1	0	0	545	8	2	0	10	0	896	0	0	0	0	33	0	0	0	0	2	6	30	105	12	528	11	34	18	11	0	5	0	0	102	0	0	0	11	0	0	0	8	10	11	13	18	893	8	414	17	0	0	9	10	0	0	0	0	0	2	0	9	89	585	0	9	0	7	NA
1e196421632b0ae899f01d7bd831a808	1614	4	0	9	131	14	203	3	139	0	3	268	13	2	117	232	8	216	666	566	84	275	560	409	26	0	5	337	3	31	309	313	75	452	0	59	9	0	738	2	137	0	0	397	52	36	0	62	0	295	168	14	8	0	56	0	0	2	0	19	28	426	1086	91	898	30	405	388	235	0	287	3	0	479	224	10	0	174	0	356	8	18	2	38	41	726	487	5	385	118	380	192	6	493	154	252	0	4	18	49	428	376	58	1361	8	7	0	6	NA
901e24ec7d14fc177f7f9c15ab0f972d	1400	35	2	32	4010	345	6778	4	7797	16	295	8857	241	2	6441	14432	119	9965	1241	5324	4266	0	4073	10223	51	11	119	12195	34	795	2356	1692	4078	10003	0	41	109	2	23	56	1447	13	8	2887	4068	4326	56	1099	0	1739	4512	86	177	62	946	12	24	13	25	113	33	2471	6581	6428	3130	49	3881	6318	2799	6	9196	49	4	3134	8666	4208	18	7341	0	5293	139	633	22	65	5659	9855	3855	31	1642	3457	2903	3349	26	6034	2754	2706	7	28	4783	3369	9551	7296	393	1820	169	17	4	49	NA
b5df6b3e09aba5b4c07aaa7690198885	1397	3	0	29	14486	389	17942	84	54	51	5	88	144	0	81	2227	40	3401	19902	31269	181	1842	24143	322	94	11	59	2669	7	1232	1147	208	530	3665	3	229	48	0	8174	39	511	3	4	740	60	21	31	203	0	2368	2257	85	182	0	713	56	20	15	29	2	12	7127	1335	51	827	19	411	1142	3110	28	662	10	3	339	575	37	11	516	0	16149	41	675	5	130	32	755	807	118	1108	105	5091	11253	27	10893	1462	15213	21	17	23	110	223	4128	113	32012	169	12	4	11	NA
e78a758dd0cf4ecdeec205371b241817	1348	7	0	5	200	129	89	5	54	3	7	7	6	2	23	58	27	106	381	586	25	306	87	148	32	5	45	439	6	129	225	192	23	190	0	102	11	0	1060	2	100	0	0	312	73	77	3	31	0	745	111	6	20	5	82	11	6	3	3	2	15	539	438	65	822	16	108	446	162	0	23	4	0	867	100	0	0	52	0	496	28	65	6	14	45	555	491	11	336	193	95	60	4	1412	19	43	0	10	5	19	103	490	56	603	5	10	0	9	NA
495f46e976227e1e6fadf35914c7e33a	1327	4	0	0	140	11	271	2	144	0	15	136	0	0	0	161	6	349	310	648	1	0	112	224	11	0	5	185	6	36	219	191	0	268	0	6	0	0	0	0	8	0	0	115	41	148	0	21	0	250	0	0	4	0	32	0	0	0	0	16	7	258	160	197	134	0	99	340	50	0	242	4	0	701	65	9	5	0	0	381	43	20	7	21	125	431	372	6	195	200	124	0	3	365	0	0	0	11	1	0	0	758	23	108	0	2	0	5	NA
a1dd0a51310e49764a561446e9e13e0c	1273	979	901	396	392	22	862	4671	658	2738	232	5	413	309	99	1382	64	997	618	862	97	170	293	270	3372	827	74	155	798	1603	1392	1039	307	979	23	203	3055	16	267	740	386	445	111	287	198	48	2033	1206	210	256	351	643	150	233	1337	1002	1013	347	432	4337	2753	334	875	125	870	4730	1804	32	603	546	58	1186	1250	35	776	315	1331	15	59	25	347	50	2933	903	89	12	814	1420	213	64	257	139	2628	78	384	141	510	231	30	743	70	55	3010	335	295	5480	386	2405	NA
bffbe25e593d453fe76663be43ee5eb2	1161	651	896	31	143	6	32	3589	14	3130	167	230	48	5180	18	30	19	33	1051	501	17	1551	494	29	382	2949	5	0	806	626	1448	1320	7	34	0	3107	66	0	829	64	25	15	4	271	1167	144	2204	67	3083	178	44	40	146	2719	47	2567	1986	80	60	129	5042	72	194	196	215	6972	78	0	228	21	404	46	53	1141	451	176	1913	38	0	2	26	0	872	99	171	0	221	267	1797	912	199	36	568	0	18	8	40	7	19	26	19	0	754	148	8	5484	707	523	NA
a447e410c5db5125a2c55f2ac0489dbd	1067	4	0	5	34	54	7	4	25	0	0	2	60	4	155	14	0	27	329	310	58	16	75	63	27	2	17	10	0	12	167	195	249	85	0	0	6	0	49	7	145	0	0	124	10	7	0	10	0	172	431	21	0	0	28	0	0	3	9	4	4	87	181	34	148	9	41	9	16	5	6	4	0	27	60	0	0	164	0	9	0	10	0	7	15	18	181	0	413	52	43	188	3	20	175	132	4	2	14	13	517	15	19	136	18	3	0	0	NA
cfd65c7bbc3926cdc9b88c2e38bbecaa	999	0	0	0	97	7	159	6	163	14	0	361	3	6	4	242	6	200	302	338	10	645	207	311	8	0	8	298	0	10	1217	795	13	129	0	816	7	0	467	5	7	0	0	50	58	9	42	20	5	46	22	0	14	0	29	0	0	0	0	0	85	95	95	62	26	92	94	318	123	0	814	2	0	203	147	83	0	30	0	122	8	62	0	5	40	239	52	2	1064	48	88	25	3	103	19	4	0	2	2	11	23	1204	5	23	0	27	0	0	NA
686b1c1752a35be01421dfdacfa244e1	881	573	158	180	343	69	1082	1610	817	1415	106	68	294	271	74	1832	9	801	1165	936	72	976	1448	1567	540	629	15	454	350	528	1276	1154	102	923	24	406	3835	14	372	403	113	154	307	774	412	86	787	4430	927	458	270	148	293	888	1846	632	660	201	226	10343	5373	173	1285	125	451	4514	5132	11	300	17	83	124	870	49	917	580	1438	22	24	285	444	83	2948	7861	94	20	799	476	799	177	268	385	741	223	125	233	322	298	173	250	30	122	1872	445	193	4521	315	1195	NA
70e14d0eb54dafc546a06e460268d270	819	0	0	0	10	14	35	5	22	0	0	0	0	0	5	19	1	25	225	111	0	13	0	7	4	0	3	6	0	0	48	48	0	81	0	0	2	0	17	0	10	0	0	17	7	0	0	11	0	11	4	6	0	0	17	0	0	0	0	2	10	49	34	1	135	0	28	9	3	0	0	0	0	45	4	0	0	0	0	0	0	0	0	3	1	0	68	0	34	13	2	21	0	12	37	22	0	0	0	1	29	0	8	93	0	1	0	0	NA
e269d8c81692a109f5be5e0d96cc45f4	765	759	982	394	388	134	653	2679	519	1635	1541	605	1895	1705	365	976	344	614	586	564	1419	360	244	1146	3737	1759	119	320	651	302	1118	1111	182	534	73	545	1412	79	176	209	932	871	270	1483	1051	509	1268	1089	1053	525	282	1118	969	1107	1044	796	1282	1896	2483	5670	3831	296	1011	867	764	5731	2409	189	468	29	802	175	1043	1210	604	276	1056	1904	186	117	1025	174	10181	2105	657	430	1100	1519	1334	1277	191	997	3708	183	178	157	439	311	1637	1052	472	465	6224	401	1051	5966	758	4120	NA
668fdb718997fc1589c7817655d4bb5f	763	11	0	20	1278	119	1283	4	1306	6	126	1619	74	48	2387	3423	73	1535	446	1171	675	1171	420	2027	33	2	112	258	6	26	1248	915	2839	1565	0	2178	36	2	772	174	428	0	2	1491	790	1626	83	196	0	1247	3069	10	86	29	164	8	7	4	5	7	52	835	1847	2773	965	19	591	195	1643	5	528	14	3	637	764	1170	7	485	0	61	3	174	11	38	2339	238	1259	25	878	651	330	618	15	102	858	1076	11	2	598	644	2263	142	241	562	44	10	5	35	NA
2e1a0c95b8b627148e4efc1a2e2124d3	721	6232	812	3907	952	67	1671	3312	929	2416	1502	15	351	1215	51	2642	237	1831	639	1329	9	565	2437	1056	10083	861	55	2057	7428	6746	693	556	1052	1543	44	71	7945	116	434	2120	1623	2792	664	918	460	16	2508	4173	1139	275	1583	3342	1463	159	3748	3812	1776	508	229	1452	2803	823	2559	44	1096	1448	3427	23	991	2515	45	3373	1304	88	4613	5133	1713	14	64	511	4392	75	7043	6102	31	16	1983	3258	379	45	2286	3997	8643	1047	839	875	6539	1039	373	3451	13	151	9488	782	2607	3065	1220	2525	NA
b0d5a4ec8e74ac4c6cb4ecb9406183d8	707	770	4441	166	13	1894	637	794	1079	1028	112	114	750	18762	97	961	1343	351	455	272	80	2215	141	1641	426	935	1981	368	479	907	559	262	49	661	49848	1011	2200	52304	1156	393	35	693	8801	68	59	17	385	2821	16945	18	92	380	57	23053	1484	586	307	763	1075	9257	294	18	433	23	159	899	7900	4075	221	35	154	176	307	32	75	182	1135	13	36894	1217	11218	1867	661	5058	21	1817	36	883	109	47	59	67	226	657	91	233	346	30784	103	63	61	1341	205	105	286	600	2894	1083	NA
8242fad58be4334cc489a158cff22d15	602	0	0	0	20	4	38	2	25	0	0	0	0	0	0	45	0	69	181	265	0	1	0	129	20	0	15	6	2	4	48	53	0	100	0	0	2	0	0	0	0	0	0	106	10	8	6	21	0	56	0	0	0	0	31	0	0	0	0	11	0	45	223	37	193	4	207	3	46	0	0	0	0	40	0	0	0	0	0	2	0	3	3	22	14	9	116	8	125	14	1	0	6	14	0	2	0	0	0	0	1	8	40	169	0	8	0	2	NA
ac09864643e3e040875e5bd8ace7cb83	601	2	0	0	50	60	164	6	89	22	7	218	32	5	70	163	23	319	225	454	115	16	97	181	5	12	34	75	3	25	103	82	69	530	0	26	6	0	22	24	241	10	0	78	74	50	15	119	0	35	99	16	2	0	134	12	4	9	12	7	401	69	259	66	112	42	380	66	48	0	351	2	0	537	107	7	4	281	0	58	11	16	12	48	51	168	84	2	145	177	142	254	4	72	86	44	2	0	51	47	215	54	19	80	18	17	0	5	NA
1b18df940027dc40b173be56b5b2c39a	580	1325	2314	1255	647	140	498	2173	333	1251	1034	2698	1672	289	1207	886	68	460	491	539	3230	107	787	776	2352	3731	63	1482	1209	1211	732	504	1259	381	295	271	1421	385	64	1720	571	1174	1073	1040	1510	2052	687	1115	153	689	981	1519	1323	190	997	2635	2192	3026	2608	3252	3131	358	917	3209	641	3470	1762	2246	737	365	1326	1664	4093	2976	1096	2039	3998	2677	1657	493	3442	225	6757	2314	1998	1602	725	1102	858	2467	304	1943	3505	600	576	440	1611	1311	2865	1032	2529	1321	3995	407	1276	3033	1581	2706	NA
a1d94686c329d9a7bc674627e2180285	538	2	0	0	174	49	49	5	9	11	3	63	12	0	21	20	0	60	206	172	22	69	36	29	4	0	0	88	6	50	84	79	19	73	0	143	3	0	95	14	109	3	0	6	26	15	3	9	0	6	157	30	9	4	23	0	0	0	0	6	34	273	19	23	4	30	32	40	90	0	52	0	0	56	41	6	0	26	0	52	29	69	0	3	20	134	7	2	163	29	72	70	0	111	62	35	0	6	2	11	33	97	3	8	9	8	0	0	NA
d02b22d9d7849de7ee526fb8422a4ee6	528	17	17	71	307	86	115	154	48	514	11	118	35	47	185	47	11	82	287	247	63	243	199	203	53	12	22	17	50	39	49	53	227	172	0	73	36	0	250	426	53	21	2	893	4	76	416	172	36	385	602	30	17	24	72	11	14	40	15	70	2027	263	471	68	194	1314	147	16	147	43	59	165	203	39	75	3	72	182	8	30	18	22	53	178	43	37	310	66	537	40	71	223	68	22	366	631	68	2	9	8	972	31	265	413	17	207	10	147	NA
49055a9349c33068620cb727c8bb95d3	511	368	345	482	192	18	224	1657	221	1019	352	543	188	96	655	501	104	258	263	316	264	27	138	170	761	685	50	66	559	378	922	744	566	239	5	573	728	19	37	658	105	220	34	223	591	661	820	309	29	100	231	240	370	41	375	430	686	237	285	1093	1166	160	309	1128	336	2268	578	88	174	338	661	1244	615	328	260	412	616	248	34	7	121	86	667	641	757	48	450	612	235	390	83	54	1180	30	101	71	482	65	382	295	985	83	1480	155	148	1945	313	1735	NA
488a04ea9a5403b91abdf0e39201d98c	502	0	2	0	42	0	177	12	161	48	0	20	8	0	21	285	7	276	170	132	15	133	53	316	3	14	5	100	0	9	237	180	51	264	0	133	7	0	102	5	26	3	0	158	38	18	63	74	0	153	30	0	5	2	83	8	18	0	0	3	88	96	132	52	136	112	180	20	71	0	55	5	0	74	50	33	2	14	2	31	7	15	0	5	32	28	92	0	284	47	26	38	3	49	51	67	0	0	14	10	39	203	21	81	3	23	0	0	NA
59e4227ba9553d0fd17b865bcbf5f374	502	0	0	0	42	3	7	0	0	0	2	29	0	0	3	0	7	0	114	124	7	0	158	0	2	0	25	11	0	9	83	75	3	2	0	0	0	0	0	0	6	0	2	82	13	5	4	0	0	64	6	0	2	0	0	0	0	0	0	0	0	143	67	12	119	0	0	4	43	0	73	0	0	159	101	0	0	8	0	7	0	18	0	0	4	8	117	3	92	26	239	8	0	4	0	0	0	0	0	2	4	4	18	105	0	5	0	2	NA
46f43d3fe417eb537a1c421542cd3fbc	457	0	0	5	0	0	334	9	574	4	0	0	0	0	0	577	0	448	244	497	0	1	0	2247	27	0	0	0	0	0	721	579	0	646	0	0	15	0	1	0	0	0	0	150	0	0	0	107	0	129	0	0	0	0	308	0	0	0	0	308	54	0	248	0	52	38	1097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	76	0	0	249	2	740	0	0	0	13	0	0	0	0	0	0	0	0	0	28	140	0	19	0	3	NA
7f2dae3459f288b9999b898a0c4ce1f2	428	7	2	0	38	22	114	10	101	0	6	7	10	2	61	139	7	82	166	220	52	390	53	209	22	0	7	52	2	23	432	302	64	113	0	112	7	0	613	10	69	0	0	191	37	62	6	36	2	170	48	6	4	0	70	0	3	6	0	5	34	83	203	21	186	14	88	71	67	0	13	0	0	94	30	0	0	95	0	20	10	12	7	10	27	60	387	7	372	39	38	48	11	26	90	34	0	4	8	13	111	43	47	113	15	10	0	9	NA
a086845b34a70c059b77b24c01da08e7	425	0	0	0	0	0	44	5	42	6	0	0	0	5	0	44	0	89	65	157	0	141	0	232	31	0	0	0	0	0	39	59	0	142	0	6	6	0	269	0	0	0	0	177	0	0	20	15	0	142	0	0	0	0	11	0	0	0	0	59	254	0	95	0	82	22	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	34	0	0	191	10	106	0	0	0	5	0	0	2	0	0	0	0	0	0	30	45	0	12	0	13	NA
3c1bd98159052aa90eea3bcac136b9f3	416	0	0	0	62	7	18	4	0	0	1	0	5	0	11	0	16	0	119	114	21	45	25	0	13	2	12	19	0	8	159	91	9	0	0	14	0	0	58	0	35	0	0	84	27	1	0	0	0	150	10	0	4	0	10	7	0	2	0	0	1	125	79	4	46	7	0	33	66	0	0	0	0	159	47	2	3	25	0	2	0	40	4	0	4	18	179	0	210	64	47	14	0	10	0	2	0	0	4	7	9	17	27	150	5	1	0	3	NA
