OTU ID,TL1a_DTT_173_Repeat,TL1a_DTT_76_Repeat,TL1a_DTT_172_Re_extracted,TL1a_DTT_169_Re_extracted,TL1a_DTT_245_Repeat,TL1a_DTT_244_Repeat,TL1a_DTT_142_Repeat,TL1a_DTT_78,TL1a_DTT_139,TL1a_DTT_171,TL1a_DTT_209,TL1a_DTT_74,TL1a_DTT_141,TL1a_DTT_210,TL1a_DTT_241,TL1a_DTT_243,TL1a_DTT_205,TL1a_DTT_206,TL1a_DTT_64,TL1a_DTT_62,TL1a_DTT_65,TL1a_DTT_242,TL1a_DTT_73,TL1a_DTT_63,TL1a_DTT_207,TL1a_DTT_75,TL1a_DTT_246,TL1a_DTT_97,TL1a_DTT_66,TL1a_DTT_140,TL1a_DTT_99,TL1a_DTT_77,TL1a_DTT_98,TL1a_DTT_170,TL1a_DTT_208,TL1A_DTT_642,TL1A_DTT_640,TL1A_DTT_638,TL1A_DTT_641,TL1A_DTT_639,TL1A_DTT_687,TL1A_DTT_689,taxonomy
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium,0,0,36,167,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Acetatifactor,0,0,206,959,21,19,0,0,0,0,0,7,0,0,164,0,0,0,0,0,0,0,0,0,5,0,25,0,0,0,0,0,0,26,31,60,44,0,35,0,0,7,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Anaerostipes,47,45,19,0,0,0,58,81,28,79,65,18,84,0,0,0,14,44,503,9,151,0,28,12,26,56,0,0,95,94,0,103,0,65,49,0,3,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia,441,1824,534,19,698,520,29,1374,634,474,814,657,699,392,1084,1191,6820,2535,4637,714,1777,1246,748,563,2426,1349,879,967,2378,1029,733,1293,317,356,460,27,23,10,25,60,22,25,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Cuneatibacter,0,0,0,3,0,0,0,0,4,2,0,0,0,0,4,0,10,3,0,10,22,3,4,5,0,3,4,0,4,0,5,13,9,0,0,5,3,5,2,8,2,5,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Eisenbergiella,28,0,94,2,97,93,0,0,63,38,320,0,95,2501,83,118,872,147,0,0,0,72,0,0,186,0,294,224,0,72,50,0,28,48,34,5,15,0,13,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__GCA-900066575,14,5,44,218,60,13,0,34,20,46,24,12,30,124,15,114,73,49,207,21,54,112,16,18,63,16,133,73,75,17,77,29,32,75,13,13,12,2,6,4,2,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Hungatella,0,35,0,0,55,0,0,53,0,0,0,8,0,0,0,0,0,0,70,15,106,0,40,12,0,11,0,15,145,0,23,71,26,0,0,3,7,12,8,28,11,3,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnoclostridium,452,486,589,848,1001,1219,70,2192,762,1346,1413,1565,1509,654,577,804,1877,717,2567,1774,3698,566,1016,1249,1455,983,1754,1554,4193,1045,2049,2268,1549,1206,299,141,169,91,108,537,58,68,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_FCS020_group,0,0,3,57,0,2,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,0,14,0,0,0,0,0,0,51,0,0,2,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_ND3007_group,34,0,55,3,2,0,7,0,39,14,148,0,26,44,5,0,454,56,0,0,0,1,0,0,79,0,9,99,0,109,34,0,20,15,22,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_NK4A136_group,52,128,313,959,745,218,213,41,363,83,23,142,42,155,4702,206,10,311,131,1057,22,2310,31,63,245,43,2444,87,46,37,1884,23,35,752,1144,2365,2654,12124,1549,6876,8190,1929,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-001,0,73,24,359,0,16,25,0,0,0,0,0,0,0,88,0,17,0,0,0,0,43,0,0,0,0,0,0,0,0,3,0,0,0,28,12,8,0,5,0,0,2,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-004,0,0,6,198,25,9,0,0,0,0,0,2,0,0,54,1,0,0,0,0,0,0,0,0,7,0,36,0,0,0,1,0,0,45,0,2,2,0,0,0,0,3,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-006,0,0,13,34,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,20,0,2,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-010,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,2,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lactonifactor,0,0,11,0,0,0,0,0,0,0,4,0,0,0,0,0,47,20,8,0,0,0,0,0,7,0,0,5,0,0,5,0,2,0,1,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Marvinbryantia,8,56,1,0,64,55,0,0,5,7,43,0,0,37,0,2,2,5,632,2,55,0,0,0,4,0,271,9,57,28,0,62,3,1,16,0,4,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia,0,0,5,78,7,15,0,0,0,0,11137,0,0,60906,24,4,31,188,0,0,0,0,0,0,3778,0,0,0,0,0,0,0,0,0,215,19,3,0,12,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Sellimonas,0,0,0,0,62,171,0,0,0,2,35,3,0,56,14,10,28,8,399,0,16,6,0,5,5,0,90,7,9,0,9,0,6,3,21,3,12,3,0,63,3,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Shuttleworthia,0,0,2,6,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Tyzzerella,78,62,117,142,30,34,0,87,273,652,47,191,809,210,277,307,800,237,449,388,89,200,190,275,219,221,132,244,70,291,564,86,234,341,36,22,25,18,17,157,0,17,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__UC5-1-2E3,16,14,4,0,30,23,0,0,49,45,1,0,36,0,22,22,22,3,0,0,7,16,9,0,17,2,86,0,0,20,25,11,15,15,0,6,7,3,0,45,5,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae;g__,0,0,11,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,20,4,0,0,0,3,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Romboutsia,136,0,297,23,94,492,319,0,32,51,23,0,45,75,5,13,119,13,0,0,0,6,0,0,21,0,39,527,0,64,13,0,0,35,122,0,9,0,8,0,0,4,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__,0,81,23,234,2,16,9,0,30,48,4,49,26,0,52,35,80,36,20,60,16,29,68,27,38,16,34,77,15,81,65,0,55,56,4,12,5,0,10,0,0,5,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Anaerotruncus,26,2,28,72,0,0,2,0,0,12,0,0,5,0,17,18,36,35,0,0,0,90,0,0,154,0,7,0,0,9,0,0,0,107,5,20,18,15,9,127,26,7,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Angelakisella,0,0,0,12,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Butyricicoccus,0,0,8,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,2,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium,53,0,279,49,57,29,0,0,468,2117,47,0,1257,311,512,405,1168,230,0,0,0,392,0,0,359,0,377,0,0,928,47,0,0,1391,41,24,11,0,33,0,0,11,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Flavonifractor,23,0,42,0,87,23,0,12,20,41,17,7,20,17,117,113,70,28,342,26,118,101,18,19,64,8,63,85,85,87,70,5,24,31,2,7,8,11,10,46,14,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__GCA-900066225,0,0,3,8,0,0,3,25,0,0,0,3,6,0,0,4,16,0,0,11,8,2,28,8,5,0,4,52,22,0,2,31,4,1,0,0,3,0,4,6,0,4,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Harryflintia,0,0,3,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Intestinimonas,0,0,23,190,56,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,5,0,75,0,0,0,8,0,0,35,12,10,3,0,7,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Negativibacillus,0,0,1,0,0,27,0,0,0,2,7,0,0,0,11,18,173,8,0,0,0,9,0,0,32,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillibacter,39,91,114,161,0,65,29,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,8,0,242,0,0,0,15,0,11,23,0,73,43,0,30,2,0,13,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminiclostridium,9,9,109,237,0,37,0,0,0,0,0,2,0,0,68,2,1,0,0,0,0,4,0,0,15,0,298,0,0,0,36,0,0,33,29,30,22,0,32,0,0,2,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminiclostridium_5,7,0,42,467,0,86,0,21,6,10,27,16,22,0,61,52,128,10,84,0,73,51,7,5,70,4,58,70,22,54,8,139,0,101,7,34,16,0,22,14,3,2,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminiclostridium_9,0,0,251,766,47,0,176,0,4,0,0,9,0,0,8,0,1,0,1,0,0,0,0,0,8,0,342,0,0,0,6,0,0,82,17,61,39,0,23,0,0,7,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-003,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,2,0,0,3,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-004,0,14,12,3,21,9,0,53,50,84,17,11,24,52,100,88,303,91,164,34,21,55,40,20,143,12,54,121,30,27,73,8,53,86,0,12,9,7,3,18,7,3,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-005,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,55,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-009,0,0,8,43,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,9,0,3,3,0,7,0,0,7,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-010,0,0,47,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__UBA1819,80,4,66,10,41,12,0,62,37,46,89,37,42,175,81,41,319,66,413,23,47,38,50,14,95,13,99,156,48,35,31,124,18,41,38,10,11,7,6,14,9,0,
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__,2,110,26,0,66,8,0,50,29,7,21,39,30,46,22,27,22,14,155,50,62,21,50,22,34,20,83,78,63,0,70,27,57,8,11,10,14,5,17,48,10,14,
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Candidatus_Stoquefichus,201,299,66,7,150,25,5,353,391,721,169,535,752,309,193,306,227,242,748,1146,303,169,1414,1014,204,924,1038,644,596,232,1119,226,849,348,26,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Dielma,0,0,0,0,0,0,0,0,0,24,0,10,0,0,0,0,0,0,11,15,11,0,10,6,0,5,0,0,20,0,20,0,9,19,0,0,0,6,0,28,5,0,
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Dubosiella,0,3,57,36,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Erysipelatoclostridium,25,107,43,8,106,91,15,59,113,30,96,33,53,67,9,28,104,52,1002,57,338,22,61,47,34,27,233,255,293,0,99,114,39,40,20,6,5,8,3,104,0,5,
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalibaculum,0,0,68,833,0,0,51,0,2,6,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,2,0,3,0,0,3,0,0,0,
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemania,84,36,29,2,218,144,0,64,67,98,154,57,82,272,75,93,146,127,1840,99,496,93,144,85,107,69,382,99,648,87,92,111,94,82,24,4,4,6,4,0,6,0,
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Turicibacter,151,0,25,0,3626,13386,99,0,29,0,3360,0,20,20098,120,85,1667,298,0,0,3,99,0,3,311,0,2088,0,0,55,0,0,0,0,15588,7,2,0,5,0,0,15,
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Acidaminococcaceae;g__Phascolarctobacterium,0,242,19,0,0,0,10,600,910,0,0,509,1209,0,0,0,0,0,1699,1285,653,0,1603,481,0,305,0,877,589,519,847,716,437,0,0,55,65,110,57,530,102,39,
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila,248,46,57,4,0,0,6,893,196,762,0,236,350,0,0,0,0,0,1099,166,1122,0,502,80,0,80,0,706,1197,222,337,853,335,468,0,77,139,98,68,297,85,124,
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio,55,0,25,56,25,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,52,0,0,0,11,0,0,20,12,19,10,0,18,0,0,5,
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__Parasutterella,4354,2099,298,472,0,0,5,10113,386,2770,0,538,463,0,27,0,1,0,20692,218,11014,19,942,421,0,1208,0,518,22355,231,782,10133,1116,952,0,266,303,179,148,175,647,2085,
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Escherichia/Shigella,24,824,18,1,47,9,313,57,50,0,1555,140,4,2650,0,0,5393,1246,622,0,53,16,201,0,1861,46,9,228,72,161,23,74,108,10,6448,3,5,0,3,0,0,3,
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Klebsiella,21,271,12,0,0,0,25,5,0,0,0,37,0,17,0,0,0,0,7,41,5,0,42,9,0,3,0,0,10,4,17,12,14,0,0,7,0,0,0,0,0,17,
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter,10,912,0,1,4,42,0,0,0,0,0,0,0,5817,3,0,1,6,87,0,0,0,6,0,0,0,10,124,0,0,0,0,0,0,13,0,3,0,0,0,0,0,
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia,4017,2425,1237,1827,15806,15941,137,38839,13427,9690,32490,7528,9587,10147,6284,7253,22878,13448,50779,19237,45217,3483,19343,12515,24168,7859,36928,10033,31083,11236,12670,38937,9580,7124,26981,700,1523,790,818,4813,1513,2864,
