SampleID	SequenceDepth	Type	Site	Site_General	MouseID	Genotype	Sex	Litter	Description	Sequencing_Run
Mouse3A.FP15	157276	Luminal	Cecum	Colon	Mouse3A	WT	M	DOB_10_20_2017	Mouse3A.FP15	One
Mouse8A.DTT86	83632	Mucosal	Proximal_Colon	Colon	Mouse8A	WT	M	DOB_4_17_2018	Mouse8A.DTT86	Two
Mouse9A.FP101	167121	Luminal	Jejunum	SI	Mouse9A	WT	M	DOB_4_17_2018	Mouse9A.FP101	Two
Mouse10A.FP112	140932	Luminal	Ileum	SI	Mouse10A	WT	F	DOB_4_17_2018	Mouse10A.FP112	Two
Mouse4A.FP20	117065	Luminal	Proximal_Colon	Colon	Mouse4A	WT	F	DOB_10_20_2017	Mouse4A.FP20	One
Mouse1B.DTT13	127997	Mucosal	Distal_Colon	Colon	Mouse3A	WT	M	DOB_10_20_2017	Mouse3A.DTT13	One
Mouse6A.DTT34	138463	Mucosal	Ileum	SI	Mouse6A	WT	F	DOB_10_24_2017	Mouse6A.DTT34	One
Mouse5A.FP29	143618	Luminal	Jejunum	SI	Mouse5A	WT	F	DOB_10_24_2017	Mouse5A.FP29	One
Mouse6A.FP34	110989	Luminal	Ileum	SI	Mouse6A	WT	F	DOB_10_24_2017	Mouse6A.FP34	One
Mouse6A.FP36	138786	Luminal	Duodenum	SI	Mouse6A	WT	F	DOB_10_24_2017	Mouse6A.FP36	One
Mouse2A.FP09	121618	Luminal	Cecum	Colon	Mouse2A	WT	M	DOB_10_20_2017	Mouse2A.FP09	One
Mouse5A.DTT26	144135	Mucosal	Proximal_Colon	Colon	Mouse5A	WT	F	DOB_10_24_2017	Mouse5A.DTT26	One
Mouse5A.FP25	109979	Luminal	Distal_Colon	Colon	Mouse5A	WT	F	DOB_10_24_2017	Mouse5A.FP25	One
Mouse5A.FP30	155556	Luminal	Duodenum	SI	Mouse5A	WT	F	DOB_10_24_2017	Mouse5A.FP30	One
Mouse7A.FP39	115176	Luminal	Cecum	Colon	Mouse7A	WT	F	DOB_10_24_2017	Mouse7A.FP39	One
Mouse4A.FP24	141934	Luminal	Duodenum	SI	Mouse4A	WT	F	DOB_10_20_2017	Mouse4A.FP24	One
Mouse4A.DTT21	106342	Mucosal	Cecum	Colon	Mouse4A	WT	F	DOB_10_20_2017	Mouse4A.DTT21	One
Mouse4A.DTT24	130118	Mucosal	Duodenum	SI	Mouse4A	WT	F	DOB_10_20_2017	Mouse4A.DTT24	One
Mouse1B.DTT17	67619	Mucosal	Jejunum	SI	Mouse3A	WT	M	DOB_10_20_2017	Mouse3A.DTT17	One
Mouse8A.FP90	199439	Luminal	Duodenum	SI	Mouse8A	WT	M	DOB_4_17_2018	Mouse8A.FP90	Two
Mouse10A.FP114	114123	Luminal	Duodenum	SI	Mouse10A	WT	F	DOB_4_17_2018	Mouse10A.FP114	Two
Mouse3A.FP14	112502	Luminal	Proximal_Colon	Colon	Mouse3A	WT	M	DOB_10_20_2017	Mouse3A.FP14	One
Mouse4A.FP21	115198	Luminal	Cecum	Colon	Mouse4A	WT	F	DOB_10_20_2017	Mouse4A.FP21	One
Mouse8A.FP86	111700	Luminal	Proximal_Colon	Colon	Mouse8A	WT	M	DOB_4_17_2018	Mouse8A.FP86	Two
Mouse8A.DTT88	38101	Mucosal	Ileum	SI	Mouse8A	WT	M	DOB_4_17_2018	Mouse8A.DTT88	Two
Mouse9A.FP99	113828	Luminal	Cecum	Colon	Mouse9A	WT	M	DOB_4_17_2018	Mouse9A.FP99	Two
Mouse2A.FP08	124687	Luminal	Proximal_Colon	Colon	Mouse2A	WT	M	DOB_10_20_2017	Mouse2A.FP08	One
Mouse5A.DTT25	126196	Mucosal	Distal_Colon	Colon	Mouse5A	WT	F	DOB_10_24_2017	Mouse5A.DTT25	One
Mouse7A.DTT39	148402	Mucosal	Cecum	Colon	Mouse7A	WT	F	DOB_10_24_2017	Mouse7A.DTT39	One
Mouse8A.DTT89	80836	Mucosal	Jejunum	SI	Mouse8A	WT	M	DOB_4_17_2018	Mouse8A.DTT89	Two
Mouse4A.DTT20	124270	Mucosal	Proximal_Colon	Colon	Mouse4A	WT	F	DOB_10_20_2017	Mouse4A.DTT20	One
Mouse6A.DTT32	101471	Mucosal	Proximal_Colon	Colon	Mouse6A	WT	F	DOB_10_24_2017	Mouse6A.DTT32	One
Mouse6A.DTT33	122892	Mucosal	Cecum	Colon	Mouse6A	WT	F	DOB_10_24_2017	Mouse6A.DTT33	One
Mouse6A.DTT36	98991	Mucosal	Duodenum	SI	Mouse6A	WT	F	DOB_10_24_2017	Mouse6A.DTT36	One
Mouse4A.DTT23	141003	Mucosal	Jejunum	SI	Mouse4A	WT	F	DOB_10_20_2017	Mouse4A.DTT23	One
Mouse7A.FP37	105851	Luminal	Distal_Colon	Colon	Mouse7A	WT	F	DOB_10_24_2017	Mouse7A.FP37	One
Mouse7A.DTT37	114368	Mucosal	Distal_Colon	Colon	Mouse7A	WT	F	DOB_10_24_2017	Mouse7A.DTT37	One
Mouse6A.FP33	118803	Luminal	Cecum	Colon	Mouse6A	WT	F	DOB_10_24_2017	Mouse6A.FP33	One
Mouse4A.FP19	114994	Luminal	Distal_Colon	Colon	Mouse4A	WT	F	DOB_10_20_2017	Mouse4A.FP19	One
Mouse8A.FP89	143038	Luminal	Jejunum	SI	Mouse8A	WT	M	DOB_4_17_2018	Mouse8A.FP89	Two
Mouse8A.DTT87	104416	Mucosal	Cecum	Colon	Mouse8A	WT	M	DOB_4_17_2018	Mouse8A.DTT87	Two
Mouse7A.DTT40	79251	Mucosal	Ileum	SI	Mouse7A	WT	F	DOB_10_24_2017	Mouse7A.DTT40	One
Mouse9A.FP100	145085	Luminal	Ileum	SI	Mouse9A	WT	M	DOB_4_17_2018	Mouse9A.FP100	Two
Mouse5A.FP27	134451	Luminal	Cecum	Colon	Mouse5A	WT	F	DOB_10_24_2017	Mouse5A.FP27	One
Mouse8A.FP88	80044	Luminal	Ileum	SI	Mouse8A	WT	M	DOB_4_17_2018	Mouse8A.FP88	Two
