TL1a_DTT_284	TL1A_DTT_642	TL1a_DTT_173_Repeat	TL1a_DTT_131	TL1A_FP_641	TL1A_FP_642	TL1A_DTT_690	TL1A_FP_689	TL1a_FP_162	TL1a_DTT_174_Repeat	TL1A_DTT_673	TL1A_FP_638	TL1a_FP_88	TL1a_FP_140	TL1A_FP_626	TL1a_DTT_76_Repeat	TL1a_FP_230	TL1a_FP_89	TL1a_FP_207	TL1a_DTT_78	TL1a_DTT_231	TL1a_FP_234	TL1a_FP_205	TL1A_FP_640	TL1a_FP_65	TL1a_FP_128	TL1a_FP_64	TL1a_DTT_172_Re_extracted	TL1A_DTT_675	TL1a_FP_209	TL1A_FP_629	TL1a_DTT_268_Repeat	TL1a_FP_85	TL1a_DTT_267	TL1a_DTT_139	TL1a_FP_129	TL1A_DTT_626	TL1a_DTT_171	TL1a_FP_206	TL1a_DTT_143	TL1a_FP_287	TL1a_FP_242	TL1A_DTT_629	TL1a_FP_86	TL1a_FP_77	TL1a_FP_245	TL1a_FP_198	TL1a_FP_161	TL1a_FP_266	TL1a_FP_127	TL1a_FP_76	TL1A_FP_676	TL1a_FP_73	TL1a_FP_102	TL1a_DTT_169_Re_extracted	TL1a_FP_197	TL1a_DTT_209	TL1a_FP_159	TL1A_DTT_677	TL1A_DTT_676	TL1a_DTT_160	TL1A_FP_677	TL1a_FP_132	TL1a_FP_98	TL1a_FP_75	TL1a_FP_130	TL1a_DTT_234	TL1a_FP_173	TL1A_FP_685	TL1a_DTT_74	TL1a_DTT_158	TL1a_DTT_269_Repeat	TL1a_DTT_161_Repeat	TL1a_FP_193	TL1a_FP_139	TL1a_FP_90	TL1a_DTT_141	TL1a_DTT_210	TL1A_FP_686	TL1A_FP_674	TL1A_FP_678	TL1a_FP_265	TL1a_FP_141	TL1a_FP_174	TL1a_FP_144	TL1a_FP_195	TL1a_FP_142	TL1A_DTT_674	TL1a_FP_158	TL1a_DTT_143_Repeat	TL1a_DTT_129	TL1a_DTT_265	TL1a_DTT_285	TL1a_DTT_144_Repeat	TL1a_DTT_241	TL1a_DTT_159	TL1a_FP_62	TL1A_DTT_627	TL1a_FP_157	TL1a_DTT_243	TL1A_FP_625	TL1a_DTT_127_Repeat	TL1a_DTT_205	TL1A_DTT_640	TL1a_DTT_206	TL1a_DTT_64	TL1a_DTT_287	TL1a_DTT_157_Repeat	TL1a_DTT_233	TL1a_DTT_62	TL1a_DTT_65	TL1a_DTT_242	TL1a_FP_231	TL1a_FP_284	TL1A_DTT_688	TL1a_DTT_245_Repeat	TL1a_FP_74	TL1A_FP_630	TL1a_FP_267	TL1a_DTT_130_Repeat	TL1A_FP_639	TL1A_FP_673	TL1a_FP_172	TL1a_DTT_102_Repeat	TL1a_FP_269	TL1a_DTT_73	TL1a_DTT_195	TL1a_DTT_63	TL1a_FP_171	TL1A_FP_687	TL1a_DTT_85	TL1A_DTT_638	TL1a_DTT_86	TL1a_DTT_193	TL1A_FP_675	TL1a_FP_288	TL1a_FP_66	TL1a_DTT_207	TL1A_FP_637	TL1a_DTT_196_Repeat	TL1a_DTT_286	TL1a_DTT_90_Repeat	TL1A_DTT_678	TL1a_FP_143	TL1a_DTT_132_Repeat	TL1a_DTT_131_Repeat	TL1a_DTT_230	TL1a_DTT_75	TL1a_DTT_61_Repeat	TL1a_FP_87	TL1a_FP_100	TL1a_FP_99	TL1a_DTT_246	TL1a_DTT_128	TL1a_DTT_283	TL1a_DTT_194	TL1a_FP_196	TL1a_DTT_100_Repeat	TL1a_FP_131	TL1A_FP_688	TL1a_DTT_198_Repeat	TL1a_DTT_97	TL1a_DTT_88_Repeat	TL1A_DTT_630	TL1a_FP_246	TL1a_DTT_229	TL1a_FP_169	TL1a_FP_270	TL1a_DTT_162_Repeat	TL1a_DTT_66	TL1a_FP_160	TL1a_FP_283	TL1a_FP_194	TL1a_FP_61	TL1a_FP_241	TL1a_FP_286	TL1a_DTT_140	TL1a_FP_229	TL1a_DTT_89_Re_extracted	TL1a_FP_78	TL1a_FP_210	TL1a_FP_208	TL1A_DTT_641	TL1a_DTT_244_Repeat	TL1a_FP_101	TL1a_DTT_99	TL1A_DTT_639	TL1a_DTT_87	TL1a_DTT_197_Repeat	TL1a_FP_244	TL1a_DTT_266	TL1a_FP_232	TL1A_FP_690	TL1a_DTT_270_Repeat	TL1a_FP_233	TL1A_DTT_687	TL1a_FP_63	TL1a_DTT_232	TL1A_DTT_689	TL1a_DTT_142_Repeat	TL1a_DTT_77	TL1a_DTT_98	TL1a_FP_243	TL1A_DTT_628	TL1a_FP_268	TL1a_FP_97	TL1a_FP_285	TL1A_FP_627	TL1a_DTT_288	TL1a_DTT_170	TL1a_DTT_101_Repeat	TL1a_DTT_208	TL1a_FP_170
5	0	0	0	0	0	0	0	0	0	4	0	22	0	0	0	24	0	0	0	14	0	0	0	0	26	0	0	0	0	0	0	8	14	0	3	2	0	0	0	0	0	0	14	0	2	0	0	13	0	2	0	0	18	5	0	0	0	0	0	0	0	7	0	0	0	6	0	0	0	2	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	11	2	2	0	30	0	7	0	0	4	0	0	7	0	0	16	0	0	0	0	0	0	0	0	0	0	28	0	0	0	3	0	9	0	0	0	9	0	0	0	0	0	0	0	0	0	13	0	0	0	3	0	0	0	2	0	0	10	0	0	8	0	0	25	0	0	5	42	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	25	0	0	55	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	2	0	0	0	0	0
5	20	0	0	0	0	0	3	8	0	1	0	124	0	0	0	2850	0	0	0	3343	6	0	0	0	73	0	0	10	0	0	0	132	3	0	84	0	0	0	0	0	0	0	145	34	18	0	7	0	49	0	0	0	163	43	23	0	0	0	0	4	0	2	0	0	0	580	10	0	0	0	0	0	0	0	96	0	43	0	0	0	0	0	46	0	0	66	23	0	0	319	4	11	0	4	0	0	3	0	10	0	182	0	11	0	0	0	0	70	0	0	0	2838	0	0	8	22	0	0	19	0	4	0	0	14	0	4	0	4	0	291	0	367	2	7	113	85	46	0	0	91	0	7	96	0	8	4186	0	0	120	4	0	53	241	28	184	0	0	11	0	0	0	72	3	37	81	5	0	0	0	61	3	0	2	0	6	0	287	88	6	2	0	0	5	141	12	0	346	0	13	2	33	0	0	20	0	0	114	0	0	0	0	2	1	0	0	6	3	0	0	0	26	9
5	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	16	0	0	0	8	0	0	0	0	0	0	2	2	0	0	0	0	9	0	0	2	0	0	0	61	0	0	0	0	18	0	0	7	0	4	0	0	0	57	0	0	0	0	0	4	0	6	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	2	0	19	0	6	0	0	4	7	0	0	0	20	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	2	3	0	0	2	26	0	0	3	0	0	4	0	5	0	0	0	0	0	0	0	6	9	0	0	0	0	6	0	0	12	0	0	19	0	0	0	16	0	0	0	9	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	11	0	3	0	0	2	0	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	2	0	0	0	0	0	0	10	0	15	9	0	0	0	0	0
4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	12	0	0	0	0	0	0	2	0	2	0	194	0	1	0	11	0	0	0	2	9	0	2	0	22	0	5	7	0	19	18	360	11	0	18	2	0	0	0	0	0	0	254	3	0	0	0	16	25	81	2	0	163	11	0	0	1	0	0	3	0	1	0	6	0	19	9	0	0	0	33	0	2	0	18	0	0	0	7	1	23	0	32	0	0	22	5	0	0	14	9	10	0	0	2	0	2	3	0	8	19	0	4	0	0	21	0	25	0	0	0	7	26	0	0	27	14	6	151	0	2	0	0	15	0	0	0	0	0	476	0	126	0	0	0	32	0	0	0	0	21	0	10	0	3	0	0	0	212	61	0	157	17	13	0	0	0	7	0	0	0	16	2	3	0	0	7	0	0	2	6	0	0	0	3	0	7	0	0	0	0	0	0	179	6	0	365	0	2	12	1	22	74	2	0	0	4	0	0	0	0	0	2	16	0	16	9	0	0	0	4	0
4	0	304	282	0	0	0	0	0	72	0	0	0	0	0	60	0	0	0	47	2	0	0	0	0	0	0	0	0	0	0	10	0	7	15	0	0	4	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	8	0	0	0	0	0	149	0	0	45	2	9	44	0	0	0	56	195	0	0	0	0	0	0	0	0	0	0	0	93	17	200	67	127	36	2	0	0	0	2	0	72	11	0	54	337	71	319	68	2	51	10	0	0	0	8	0	0	0	125	0	0	0	132	0	32	3	2	0	0	117	0	4	7	0	0	0	3	0	29	2	264	0	0	161	134	4	2	525	0	0	0	25	438	80	64	0	515	0	0	108	183	309	0	0	8	0	0	234	22	0	0	0	0	0	0	190	0	0	0	0	0	0	19	0	4	0	12	113	0	3	0	0	95	0	0	0	0	0	61	44	14	0	0	0	0	0	0	54	0	57	46	0
4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	8	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	8	0	0	0	0	0	5	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	4	0	5	0	0	0	0	3	0	0	0	6	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0
4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	130	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	16	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	2	0	0	0	0	27	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	23	1	15	11	0
3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	6	0	0	0	0	0	0	5	2	0	6	0	0	0	0	0	0	0	3	0	0	0	0	0	5	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	8	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0
3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	58	0	58	0	0	0	0	0	0	0	60	0	5	0	0	0	0	11	0	0	0	0	0	6	0	0	0	0	9	0	0	0	11	0	0	93	0	0	4	0	0	0	0	0	0	0	0	67	12	0	0	0	2	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	5	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0
3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	9	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0
3	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	6	0	0	0	3	0	0	0	0	9	0	0	0	0	0	0	3	18	0	1	0	0	0	0	0	0	0	8	0	0	0	0	5	5	0	0	0	13	1	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	7	0	0	0	7	9	0	0	0	3	7	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	18	0	0	0	1	0	0	0	59	0	0	0	2	0	6	9	0	26	2	0	0	0	0	0	0	4	0	0	15	0	0	20	18	0	0	0	0	2	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	2	0	0	8	0	0	0	15	2	0	10	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
3	0	82	26	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	175	0	0	0	0	0	0	0	0	0	0	0	11	0	4	17	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	59	0	0	36	0	7	88	0	0	0	56	66	0	0	0	0	0	0	0	0	0	0	0	128	6	37	32	55	2	0	0	0	0	0	0	9	8	0	7	132	11	97	3	0	7	0	0	0	0	1	0	0	0	114	0	0	0	0	0	32	0	3	0	0	42	0	0	4	0	0	0	0	0	0	0	110	0	0	29	27	4	2	106	0	0	0	0	136	49	5	0	98	0	0	56	20	331	0	0	2	0	0	70	11	0	0	0	0	0	0	123	0	0	0	0	0	0	25	0	0	0	8	19	0	0	0	0	68	0	0	0	0	0	16	25	5	0	0	0	0	0	0	26	0	71	11	0
3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	11	0	0	0	2	0	0	0	0	15	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	5	6	0	0	0	4	0	0	0	0	0	0	0	0	0	4	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	116	9	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	14	0	0	2	0	0	0	0	0	0	0	0	0	3	0	15	0	13	0	0	0	0
3	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	6	0	0	0	0	2	0	6	0	0	0	0	6	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	5	0	0	5	0	0	1	8	0	0	11	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	3	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	10	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
2	0	173	77	0	0	0	0	0	162	0	0	0	0	0	151	0	0	0	101	0	0	0	0	0	0	0	0	0	0	0	76	0	12	11	0	0	6	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	8	0	0	0	0	0	122	0	0	87	0	29	172	0	0	0	109	138	0	0	0	0	0	0	0	0	0	0	0	68	21	132	58	120	28	0	0	0	0	0	0	41	18	0	28	452	76	370	41	0	50	3	0	0	0	117	0	0	0	180	0	0	0	67	0	59	3	0	0	0	46	0	2	24	0	0	0	4	0	8	0	206	0	0	72	168	10	7	688	0	5	0	6	131	91	83	0	777	0	0	139	69	741	0	0	11	0	0	226	30	0	0	0	0	0	0	244	0	0	0	0	0	0	37	0	7	0	20	117	0	2	0	0	159	0	0	0	2	0	60	86	35	0	0	0	0	0	0	123	2	97	0	0
2	0	435	0	0	0	0	0	0	91	0	0	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	10	0	0	0	96	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	13	0	0	0	0	0	101	0	0	0	0	73	124	0	0	0	2	123	0	0	0	0	0	0	0	0	0	0	0	0	0	244	0	0	44	0	0	0	0	0	0	1	20	0	8	9	139	113	78	0	0	10	0	0	0	186	0	0	0	0	0	0	0	0	0	4	2	0	0	0	5	0	0	7	0	0	0	0	0	0	2	0	0	0	0	0	4	0	0	0	0	0	18	26	80	5	0	1	0	0	81	7	15	0	0	13	0	0	165	0	0	0	0	0	0	0	10	0	0	0	0	0	0	108	0	0	0	0	15	0	0	0	0	128	0	0	0	5	0	0	0	5	0	0	0	0	0	0	134	6	0	31	0
2	0	162	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	1	0	0	0	5	0	0	0	0	0	14	0	0	0	0	4	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141	0	0	8	0	0	0	0	0	0	0	3	0	0	0	39	208	15	0	0	2	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	14	0	31	1	0	0	0	0	27	0	0	0	0	3	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	9	0	0	0	0	110	0	0	0	2	0	0	0	0	0	0	0	0	0	0	5	3	0	0	0
2	0	28	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0
2	0	198	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	13	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	5	0	0	0	0	0	40	0	0	0	0	55	90	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	310	0	0	31	2	0	0	0	2	0	0	9	0	2	0	46	138	34	0	0	3	0	0	0	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	11	0	0	0	0	0	0	2	0	0	0	0	0	41	0	85	16	0	0	0	0	159	0	0	0	0	6	0	0	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	21	0	6	0	0	83	0	0	0	3	0	0	0	0	0	0	0	0	0	0	22	3	0	11	0
2	0	195	23	0	0	0	0	0	43	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	2	15	0	0	5	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	8	0	0	0	0	0	103	0	0	50	0	0	65	0	0	0	53	108	0	0	0	0	0	0	0	0	0	0	0	80	4	46	32	69	10	2	0	0	0	2	0	29	13	0	14	268	109	132	29	0	13	0	0	0	0	81	0	0	0	108	0	0	0	35	0	23	3	0	0	0	21	0	2	5	0	0	0	5	0	7	0	199	0	0	21	67	3	0	373	0	0	0	16	124	36	27	0	716	0	0	17	73	403	0	0	4	0	0	85	0	0	0	0	0	0	0	206	0	0	0	0	0	0	35	0	0	0	17	47	0	3	0	0	99	0	0	0	0	0	20	43	14	0	0	0	0	0	0	61	5	72	11	0
