	IL17.DTT.116	IL17.DTT.117	IL17.DTT.128	IL17.DTT.129	IL17.DTT.140	IL17.DTT.141	IL17.DTT.188	IL17.DTT.189	IL17.DTT.201	IL17.DTT.200	IL17.DTT.218	IL17.DTT.219	IL17.DTT.26	IL17.DTT.27	IL17.DTT.105	IL17.DTT.104	IL17.DTT.50	IL17.DTT.51	IL17.DTT.86	IL17.DTT.87	TKO.DTT.2	TKO.DTT.3	TKO.DTT.44	TKO.DTT.45	TKO.DTT.32	TKO.DTT.33	TKO.DTT.20	TKO.DTT.21	TKO.DTT.56	TKO.DTT.57	TKO.DTT.69	TKO.DTT.74	TKO.DTT.75	TKO.DTT.87	TKO.DTT.92	TKO.DTT.93	TKO.DTT.104	TKO.DTT.105	TKO.DTT.110	TKO.DTT.111	TKO.DTT.123	TKO.DTT.128	TKO.DTT.129	TKO.DTT.140	TKO.DTT.141	TKO.DTT.152	TKO.DTT.153
IL17.DTT.218	0.3792007577868796	0.6484191519637116	1.1393878832230264	2.957875517568656	2.327842197729342	2.491146384312115	1.3386337328173468	2.0123487036230925	0.915132144803793	0.7351012058309635	0.0	0.5356623536808153	1.3146741601536518	2.8842581552318145	1.6093289399406627	0.9912623597669833	1.2045651174503973	1.8212224599600835	0.35200854944995835	0.8109379093069868	2.5956167267259382	2.89327043634159	2.2008814105663115	2.5645478249785865	2.4744015259324565	2.596764579387968	2.6156432224720985	2.758562418477485	2.090343869190642	2.625166878337158	2.784311389408509	2.5977151282435633	3.46266404340539	3.438570747820541	1.9049403318889082	2.4485561621663865	2.0943787086772363	2.8938131834937098	2.440162280434435	3.0013298823459076	2.8829323302656555	1.914811456866206	2.745535594953102	2.2131587528541004	2.3924326918426324	2.1012944604364807	3.005882158936319
IL17.DTT.219	0.8932205430554299	0.6688461850850891	1.1659207550362254	2.8772249394504534	2.1908137458569037	2.232347176258439	0.8089810817656637	1.5971512099465772	0.39446793710580164	0.6090082004942529	0.5356623536808153	0.0	0.9834125359565077	2.5862782099415096	1.692714915955058	1.2717932981142457	1.3294002564793426	1.7448101872897719	0.7708674205411117	0.972762770521378	2.6824138906923762	2.6165269505558317	1.6961814716538386	2.0294685592955126	1.9744315281299145	2.062355581702027	2.0840025483069518	2.2494020999800886	1.5694328085727627	2.142674496605224	2.3141526038883398	2.21117920283759	3.133241259285348	2.9309004552395277	1.390383948540065	2.0301497589722795	1.6517789727486718	2.5144611086905853	2.0363674547659083	2.6601010809826056	2.6457382535348644	1.387456047707688	2.2221958604679743	1.7412147796553985	1.9332392583101365	1.5673122120214278	2.5391142984647486
IL17.DTT.26	1.506677748121132	0.8085681962992952	2.1398835539009715	2.0249675497378683	1.3004002313465264	1.255798923256866	0.9986421821149082	0.7333938115091982	0.7420197232873966	1.5770549909968765	1.3146741601536518	0.9834125359565077	0.0	1.6040781974964708	1.2163538422040319	1.3098922187509683	1.0635449888884387	0.9881210471018017	1.2849076026917958	0.986665261481397	2.062290692851184	1.6351126391827806	1.8934682321331917	1.7677152567778978	2.154560328984155	1.9051332554317926	1.9949841322530428	1.672938778976521	1.6821250403038523	1.4460000791969476	1.563760506971399	1.290378480878228	2.1650858984993775	2.311803677155073	0.9707436485605818	1.1584464331944335	0.8534007923869863	1.579422135390412	1.1416631626136635	1.6957746361199215	1.6725388335496585	1.4777178377685976	1.7518605770271762	1.0354297986286256	1.1711430033106922	1.3435748862019985	1.773225774200893
IL17.DTT.27	2.997747994684369	2.289552475242797	3.73161639827723	1.2949287038349793	0.9581906227672012	0.4554532810321427	2.357176066480307	1.1429728468837168	2.299373943583455	3.169338552824934	2.8842581552318145	2.5862782099415096	1.6040781974964708	0.0	1.9002727108249116	2.5024813416739002	2.110135462487593	1.3844093204851715	2.7701644797476876	2.309774490636592	1.9930545433452556	0.18010550915267637	2.9230671431902797	2.3015944306243608	3.0988937896368003	2.525661501958728	2.6717206270644223	1.7188159516408352	2.69492087939069	1.386426021286297	1.2690659746586033	0.6692589270025562	0.6330877939254452	1.950378425619256	1.811241955671997	0.9072283530550318	1.2181221425685755	0.5349016827785893	0.835113313243648	0.32335890985923454	0.3923900690298529	2.545922226795847	1.9575507409243496	1.35897367391646	1.2167784529598131	2.150173226515266	1.2843115295444107
IL17.DTT.105	1.4936664225905256	1.0498958965469274	2.7358556557671037	1.5175169033013354	1.0054486022801785	1.4673953825339798	2.12941608125608	1.7251629159190114	1.7192877032357228	2.2454161512989073	1.6093289399406627	1.692714915955058	1.2163538422040319	1.9002727108249116	0.0	0.7546009120561211	0.4093973429636965	0.5310224246512256	1.3147083342429295	0.799265439061855	1.0631248339569705	1.835881060654903	3.0771757325429077	2.969778953420227	3.3477938419929876	3.1176192466793733	3.2083392995399445	2.767009640419784	2.876275738713069	2.473403028192381	2.5267250728791373	1.9927688450727474	2.487527696568913	3.33211401236284	2.1746503866815994	2.018734126413715	1.8938216375415649	2.195922667964595	1.9500889984853516	2.136030539370245	1.7116162935410624	2.6703113669071668	2.8955134771200592	2.1123740851128567	2.170975143641523	2.557499171037782	2.6851735519661046
IL17.DTT.104	0.7770879159845098	0.6663193778460655	2.1228161855431114	2.2384667901593303	1.7022924082121995	2.0647997721945837	1.9385205318755623	2.0026659131606785	1.4644835343245823	1.7061018413833968	0.9912623597669833	1.2717932981142457	1.3098922187509683	2.5024813416739002	0.7546009120561211	0.0	0.40065379171847976	1.1711318027419535	0.647475692218935	0.34722034620279	1.7020470834063335	2.463214723759376	2.8989157163324855	3.0099391175236065	3.179978646777563	3.110342633096052	3.169818307314094	2.9784831239549887	2.733402356228075	2.742164953180075	2.846104789757405	2.436198285168836	3.1008905048142243	3.615095094609068	2.23037585760829	2.3866753816353468	2.1469089013038913	2.692168301912671	2.3396581327170627	2.6976092830797973	2.377376503805045	2.5325059377666803	3.0490376749620562	2.3349940927449744	2.452533865196187	2.553831207288419	3.037636280194603
IL17.DTT.50	1.0916320187257162	0.6729963627724881	2.334701772845337	1.8819216928978386	1.303330979164862	1.6705884293144606	1.8608892156691867	1.69772335648531	1.414218707202679	1.8566610939069084	1.2045651174503973	1.3294002564793426	1.0635449888884387	2.110135462487593	0.4093973429636965	0.40065379171847976	0.0	0.7708951692073317	0.9081379826199029	0.39416600991631723	1.4433867983318711	2.066254533662646	2.822722705750415	2.820396403129901	3.100048338682099	2.945085841733535	3.0204149642252407	2.7110507312084113	2.6360488119342986	2.44933611423638	2.535061220741934	2.0797185683646435	2.706921207793745	3.3227624118838444	2.0248566600984987	2.0541676481324553	1.8540832005168917	2.323498445577432	1.9991371581276016	2.3124465900984243	1.9770138557151027	2.4306567292678944	2.8072211256369006	2.0562662916039334	2.151634500524176	2.3817418071284973	2.715420532789292
IL17.DTT.51	1.8061769065375235	1.1878581896488682	2.8799011426909122	1.2694487397421852	0.5396909800931365	0.9422385100360008	1.982591637683952	1.3032674872872463	1.6492637072200595	2.3428522242673697	1.8212224599600835	1.7448101872897719	0.9881210471018017	1.3844093204851715	0.5310224246512256	1.1711318027419535	0.7708951692073317	0.0	1.5957256442703496	1.0706948715867313	1.174280318635133	1.3191990247239815	2.8670973338818504	2.628092730547897	3.123371800332227	2.800043899906028	2.905055906005667	2.338964312498062	2.649574700592117	2.0244451673742443	2.056345760188627	1.4835859456725742	1.9666091939311434	2.8650059688489806	1.8562051901955565	1.5391339247409594	1.4778361291774116	1.6795051103283993	1.4610791867072412	1.6092245394310745	1.211852049380012	2.4496067772574253	2.4938467065981462	1.6979611457981845	1.722910756154187	2.2570822690837695	2.1967460686017244
IL17.DTT.86	0.2281588379307236	0.5111201231466609	1.47677227726876	2.7218965669857256	2.121403078822492	2.3558645146194723	1.5522358140139436	2.01307203292297	1.0884205225112225	1.0842415031575487	0.35200854944995835	0.7708674205411117	1.2849076026917958	2.7701644797476876	1.3147083342429295	0.647475692218935	0.9081379826199029	1.5957256442703496	0.0	0.5311808523480646	2.2918737890319885	2.76275629958066	2.4669386335307055	2.7429535392998163	2.745276757522235	2.8001821957660495	2.833955188811973	2.8576999740978635	2.335335524144174	2.685184665194614	2.826719585430636	2.557429128262599	3.362574827367321	3.5294395592612595	2.027416376242279	2.4408959171120803	2.119957010090431	2.843506391158624	2.418636650061806	2.916687134333398	2.7259257259579703	2.148054541824847	2.8747095157774645	2.2672420049788626	2.4278213201903713	2.2756526766515193	3.0406560468819044
IL17.DTT.87	0.7359280985423889	0.33889646753460256	1.941171748536712	2.213053041581188	1.6017144635464446	1.8812250797265717	1.5976640362223835	1.699304149824163	1.127089123583666	1.4710925492569964	0.8109379093069868	0.972762770521378	0.986665261481397	2.309774490636592	0.799265439061855	0.34722034620279	0.39416600991631723	1.0706948715867313	0.5311808523480646	0.0	1.8133262769335023	2.2874030142140964	2.560668895568344	2.6643185666289346	2.8412297689679167	2.7633260302485323	2.823223210983369	2.65060429582335	2.3911962132577456	2.4268484088734277	2.540733308582207	2.1747289415491156	2.907428068674381	3.2963344468980615	1.8878838564064582	2.1004499772687435	1.834811349991877	2.444767520987466	2.061670720409106	2.4806022719024634	2.2308067562397613	2.1891933067089338	2.712574793472127	2.014859809150749	2.1437887449871367	2.2071961437887975	2.7397391387301764
