#OTU ID,Itg.04.DTT422.S14,LYZdtt308,LYZdtt307,LYZdtt306,Vil1.07B.DTT84,Vil1.07B.DTT83,Vil1.07B.DTT82,Itg.20.DTT506.S1,LYZdtt319,LYZdtt318,Itg.22.DTT520.S15,Itg.06.DTT436.S29,LYZdtt320,Lyz2.07B.DTT282.S124,Itg.26.DTT542.S38,Lyz2.04B.DTT246.S87,Itg.16.DTT484.S79,Lyz2.02B.DTT222.S62,Vil1.03B.DTT34,Vil1.03B.DTT35,Itg.26.DTT543.S39,Lyz2.06B.DTT270.S112,Lyz2.02B.DTT223.S63,Itg.20.DTT507.S2,Itg.22.DTT519.S14,SLCdtt022,Vil1.08B.DTT94,Vil1.08B.DTT95,Vil1.08B.DTT96,SLCdtt149,SLCdtt148,SLCdtt024,SLCdtt150,Lyz2.08B.DTT295.S137,SLCdtt166,SLCdtt168,SLCdtt167,Lyz2.02B.DTT224.S64,Vil1.013B.DTT156,Vil1.013B.DTT154,Vil1.013B.DTT155,Lyz2.06B.DTT271.S113,SLCdtt054,SLCdtt053,SLCdtt052,Itg.10.DTT459.S53,Vil1.04B.DTT48,Vil1.04B.DTT47,Vil1.04B.DTT46,Itg.24.DTT530.S25,Itg.16.DTT482.S77,SLCdtt114,SLCdtt113,SLCdtt112,Itg.10.DTT458.S52,SLCdtt006,SLCdtt005,SLCdtt004,Lyz2.07B.DTT283.S125,Itg.18.DTT494.S89,Lyz2.03B.DTT234.S74,SLCdtt132,SLCdtt130,Lyz2.05B.DTT260.S101,Lyz2.01B.DTT211.S51,Vil1.09B.DTT108,Lyz2.07B.DTT284.S126,Lyz2.05B.DTT259.S100,Vil1.010B.DTT118,Vil1.010B.DTT119,Lyz2.06B.DTT272.S114,Vil1.010B.DTT120,Vil1.05B.DTT60,Vil1.05B.DTT58,Vil1.05B.DTT59,Lyz2.08B.DTT296.S139,Itg.18.DTT495.S90,Itg.08.DTT447.S40,Itg.24.DTT531.S26,Vil1.09B.DTT107,Vil1.09B.DTT106,Lyz2.03B.DTT235.S75,SLCdtt070,SLCdtt078,SLCdtt077,SLCdtt076,Lyz2.01B.DTT210.S50,Lyz2.03B.DTT236.S76,Itg.26.DTT544.S40,Vil1.01B.DTT12,Vil1.01B.DTT11,Vil1.01B.DTT10,Itg.18.DTT496.S91,Itg.02.DTT410.S2,Lyz2.05B.DTT258.S99,Vil1.014B.DTT167,SLCdtt096,SLCdtt095,Vil1.014B.DTT168,Itg.12.DTT470.S64,Vil1.06B.DTT70,Vil1.06B.DTT72,Vil1.06B.DTT71,Itg.02.DTT411.S3,Itg.06.DTT435.S28,Itg.22.DTT518.S13,Lyz2.04B.DTT248.S89,Itg.20.DTT508.S3,Itg.04.DTT424.S16,Itg.04.DTT423.S15,LYZdtt356,LYZdtt355,LYZdtt354,Itg.02.DTT412.S4,Lyz2.01B.DTT212.S52,Itg.08.DTT446.S39,Vil1.02B.DTT23,Vil1.02B.DTT22,LYZdtt368,LYZdtt367,Vil1.02B.DTT24,LYZdtt366,Lyz2.04B.DTT247.S88,Itg.06.DTT434.S27,LYZdtt332,LYZdtt331,LYZdtt330,Itg.12.DTT471.S65,Lyz2.08B.DTT294.S136,LYZdtt344,LYZdtt343,LYZdtt342,taxonomy
MF0026,8474.545,19360.545,18552.33,11887.14,0,0,0,7802.295,5765.985,11433.635,11173.385,1345.105,53751.67,9663.44,10227.9,3467.9,10435.33,6666.58,12538.46,1596.105,13403.89,4725.59,4959.01,5284.43,11021.26,12788.95,0,0,0,34514.425,25424.26,2752.555,24512.785,1121.015,27365.455,21799.56,18293.315,3419.71,12757.195,10605.325,11133.665,5265.995,5645.045,13794.645,13150.23,8707.19,3602.73,2530.58,5431.79,4826.27,5136.42,6481.755,5411.205,878.465,11910.74,10053.67,6431.835,3533.915,1690.13,13067.78,4734.73,8611.82,1675.265,4734.67,4107.55,1734.625,9325.58,6070.215,3372.08,4647.795,2406.38,1699.48,0,2067.25,1113.125,6575.08,12279.745,11093.23,14961.53,3278.5,3271.965,5040.07,1809.69,3649.005,2974.545,4882.315,4175.71,4990.85,11619.03,1680.065,2410.855,1728.825,15342.275,28346,8866.51,7709.93,25701.815,7848.975,10679.935,13390.08,0,0,0,12447.82,6267.545,6532.655,7759.025,10933.86,10459.495,17732.275,4789.885,4971.105,11287.03,15189.11,2124.19,4774.19,5015.39,3503.165,20896.715,18646.805,2574.93,16461.94,6555.17,5771.995,4229.11,7968.08,10379.325,5905.7,1817.545,7427.52,8234.74,3969.795,
MF0103,7007.895,18044.455,12668.28,2648.36,48.16,11.875,58.74,3382.23,1813.46,8456.21,6778.025,2106.29,9765.32,23428.825,5629.375,3411.875,18786.62,15948.5,4594.86,1477.27,4836.91,4350.625,12017.455,5604.95,3298.835,13436.32,62.07,60.11,57.83,28999.8,33637.675,3622.885,28248.42,2559.545,18900.93,24780.91,24385.43,8809.34,7742.235,18127.45,3339.4,4988.29,7127.375,16100.875,17967.705,3053.935,4365.865,2303.535,4814.31,3257.825,6694.375,7298.305,3229.16,399.825,4822.76,2737.075,1388.34,753.66,3506.85,4801.52,8281.86,19811.225,2382.045,4054.64,5478.295,450.14,10505.945,7593.33,1323.16,589.985,2890.14,80.955,0,0,0,15960.05,4717.69,9943.01,1226.15,590.47,1577.4,8794.295,1218.54,7824.78,5592.595,5911.31,5415.51,5073.545,9625.05,2922.26,5301.49,2775.725,4651.53,17301.545,12828.545,1351.885,234.81,156.51,4764.33,13478.045,11.985,37.825,0,3673.025,10825.42,5368.525,4776.255,17157.225,3920.985,9361.92,11817.255,9147.25,2696.09,12100.91,4608.615,4095.885,6941.19,4647.785,51576.405,43310.325,3902.915,31137.465,5240.095,9591.715,6732.5,15461.08,7920.395,5579.255,2331.38,12698.16,2876.19,5402.175,
MF0067,86205.5,100117.89,116553,42431.08,2957.66,2185.5,2865.54,28622.48,28736.64,136476.24,41597.87,10234.65,154146.43,44784.85,42798.72,18833.02,42557.58,95792.95,31725.59,7932.06,39527.75,46797.42,43773.19,27437.51,36047.48,49884.63,5144.07,5288.45,5654.68,193058.31,82196.77,9902.92,118543.5,9088.27,295855.16,124726.79,154945.98,30869.81,35028.47,29419.2,28094.25,24357.32,11974.23,34017.44,36509.3,48576.35,11973.88,9710.18,17372.46,26024.08,16196.38,30200.72,25083.47,3256.18,58487.49,38893.5,25505.62,16817.43,6982.93,37697.47,48288.93,34821.52,7558.21,17260.64,32250.82,5745.77,48886.79,16774.17,13073.66,15961.16,9241.28,5696.13,3226,5626.45,2848.9,63318.57,36276.46,41990.11,48037.87,10580.7,12032.42,49515.88,10394.67,42422.97,50206.15,65804.91,42309.17,48576.35,39465.22,24957.24,28135.1,17809.14,42497.8,90293.14,25077.15,21029.93,70620.83,32692.09,38609.25,57130.69,2176.85,3787.41,3279,39702.51,67778.62,24754.51,35456.31,47350.81,54209.85,115836.61,102762.26,54765.1,43258.83,65030.84,52056.38,16770.91,24906.75,14508.81,61960.42,54801.99,12139.42,35107.11,46968.23,52213.54,52557.6,36814.43,35118.59,24332.71,8481.61,63037.99,32202.33,44125,
MF0024,18.25,193.25,195.25,61.75,2704.165,1824.75,2689.77,157,87.25,133.75,67.75,17.5,48.5,9490.94,59.5,10.75,63.25,22,58.75,319.75,352,2572.965,23.75,64.75,34.25,27.75,4878.995,4454.685,5385.465,1.92,7.17,2355.93,725.25,26,18.42,11.25,0.5,50.25,1573.75,6301.7,2892.79,2932.62,0,7225.52,3.5,93,235.5,1855.205,167,305.25,15,186.75,1824.705,0,28.75,1933.25,766.25,22,409.25,63.25,50.5,6737.945,1212.765,95.5,2603.25,2616.75,7728.58,32,4074.5,5852.5,456.75,2747.605,3024.125,4101.75,2184,58,127.5,101.5,152,4863.25,4038.25,38.75,920.44,185.75,117.25,296.25,28.5,24.25,73.75,156.25,121.75,74.5,367,7855.875,6972.01,1382.18,411.565,0,1190,100.25,1977.31,3549.165,3146.5,12,62.75,52.75,1419.5,83.25,51.5,80.5,56.5,62,40,58.5,61.75,10.25,3445.14,2537.54,450,44.75,207,52.5,69.25,147.25,60,106.5,60.75,21.25,1743.045,159,54.25,127.5,
MF0068,81681.91,68734.81,102890.44,36998.08,3158.33,2524.5,2967.83,25394.98,28304.57,131970.29,32336.62,9185.01,110295.85,37963.52,40951.89,15343.04,38024.51,94297.62,30154.77,7656.39,35793.35,44329.26,42957.89,22885.58,35350.64,42937.93,5315.91,5981.66,5847.11,169741.82,62278.84,11502.59,113836.1,8230.85,295808.85,120082.2,147380.48,27427.23,30239.69,24167.7,27570.68,21374.07,11359.4,32566.27,34912.62,48075.68,9429.72,8715.18,15713.71,21985,14346.04,26175.19,23035.81,3004.68,58074.49,38767.57,25083.12,16149.43,6014.2,30964.54,45120.93,27384.02,6056.46,16786.97,31783.5,7412.98,43291.13,16605.01,14825.83,20946.31,8004.71,7988,3427,6859.75,3341.75,58967.91,31810.21,41241.95,46644.19,13140.44,13124.76,47727.14,9268.35,39987.4,48405.29,61954.43,36082.78,46677.6,38555.06,24088.74,26781.93,16315.97,38312.62,89030.98,24118.15,19243.93,70119.83,32477.17,30575.79,61009.35,2289.41,3986.08,3393.5,39702.35,64174.38,21176.92,34808.67,40088.4,51718.52,110887.31,102039.76,54754.1,43066.42,63582.52,50113.08,16194.55,22093.25,13966.91,48587.58,43465.47,10424.08,33102.94,39171.42,49385.44,49835.62,34855.24,33228.92,23490.87,7718.82,58334.59,31335.18,42081.92,
MF0101,832.45,2497.25,1271.45,366.95,2693,1827,2655,707.4,442.45,980.55,716.15,240.3,649.5,1034.8,1152.5,334.75,1590.45,327,1261.95,446.35,1075,694.15,192.75,718.95,442.45,4869.75,4857.75,4431,5376.5,7641.65,5615.05,317.6,6097.25,221,1533.45,4167.45,609.85,602.85,4082.95,6352.45,1339.4,960.45,323,1813.15,651.5,238.3,476.5,640.25,928.4,945.85,1587,631.75,228,60,292.75,348.1,238.25,165,822.45,1549.85,658.7,991.4,187.6,550.3,2912.25,2654.15,2316.4,1633,4565.5,6015.7,869.55,2683.25,3023.25,4090,2175,795.8,1481.45,1285.5,343.4,4987.05,4368.65,222.75,250.8,304.85,155.4,776.15,316.1,175.25,1113.55,490.25,372.75,420.5,1004.2,2100.75,2141,428.35,56.4,55.6,2090,962.5,1973.5,3538.5,3140,450,885.75,649.55,1894.3,2034.15,465.1,985.4,366.7,320.4,106.6,649.5,284.75,396.25,698.7,371.75,2045.6,3211.85,648.8,2575,611.05,1338.85,658,2714.5,1622.45,364.05,275.2,910.4,496.25,800.3,
MF0021,4708.81,46721.34,31428.59,2378.325,2695,1813,2694.79,3230.985,6235.855,12488.675,6346.665,1217,12725.25,8709.92,4978.75,2952.12,4594.085,1305.36,4172.765,1776.235,3135.32,3082.36,863.665,5546.335,3420.675,10490.87,4881.415,4486.79,5363.93,25871.11,31384.715,814.89,10865.82,1273.805,12267.095,13915.035,12000.78,3122.03,6797.325,8749.7,2829.635,3914.035,1515.86,3608.695,3870.225,3058.29,3915.125,1508.415,3272.47,4107.715,1804.515,5103.085,3195.165,329,3240.03,7027.94,3806.375,1249,2077.655,6648.035,4236.035,8193.86,1941.1,3919.21,4789.18,2775.395,8602.835,2833.68,5202.915,7032.35,2272.67,2916.54,3023.25,4126,2260.625,4782.035,7261.17,5452.79,10342.905,5346.785,4876.12,2526.525,1221.835,2322.14,1823.78,4310.65,3389.54,4309.765,5474.785,1458.795,1849.29,1593.845,7376.77,6788.68,4563.765,5637.64,9812.15,2689.935,10691.79,3738.615,1977.29,3551.5,3151,3832.87,4866.925,3497.07,8691.005,11352.9,4310.1,7826.645,908.925,658.57,256.72,4935.815,1351.16,1355.07,3848.66,1594.915,9247.355,7437.775,2322.605,2010.03,7898.83,3711.015,2448.345,1898.825,1787.685,2420.745,2120.625,3817.8,1068.25,1852.7,
MF0065,72497,49299.125,84462,18452.125,4147.5,2898.875,4072.27,13095.24,25692,121095,25551.2,6850,55057.425,20622.925,30129,9406.25,23169.1,85242,26015.58,5173.21,53093.355,22648.035,36547,16828.14,31758,23345.165,7404.455,7024.145,8175.34,128384,43982.57,6517.925,83699,6043,282512,91720,124400,20527,22339,14448,23508,16285.885,7409,21387,25053,44677,5613.79,5354.165,9160.785,14141.805,7529.965,22178.595,19450,2310.59,49993,30542,21270,14530,3139.635,17143.51,38362,15883.51,3667.175,8118.985,21588,5394.54,25079.285,7609.465,9674.58,13537.335,5297.9,5504.395,4636.25,6836.625,3571.625,48416,24212.64,32583.605,43704,9836.5,8946.34,42996,6907.255,34071,44141,53344,25812,43080,29352,20963,22303,12163,31223.81,56460,11231.075,15831,69147,31782,18151.29,47212.005,3039.395,5425.875,4779.5,34931,53709,11641.57,27020,26604.535,46671,100582,92618,45194,21491.75,54016,46372,11383.71,17062.64,9506.875,25220.455,22438.07,6927.19,16347.8,31353.805,37924,25233.975,17285.04,17092.035,19202,4093.575,45232.87,15597.295,30534.075,
MF0022,3984.23,30737.27,10185.88,1541.95,2689,1814.75,2690.79,3143.69,1093.52,6890.55,5766.54,1213.41,4243.67,15494.84,3116.75,2799.49,8659.04,6883.19,8145.69,1537.77,3075.2,2976.94,5153.62,5233.25,1757.3,10171.41,4870.75,4431.54,5371.93,26158.94,30370.8,1627.68,13553.15,1291.68,7666.8,8808.16,13181.28,5194.45,5158.2,6840.45,1873.26,3464.95,3134.11,7124.28,8145.52,1594.29,2734.88,1450.5,2436.76,2766.17,2978.06,3573,1498.83,189,2186.32,5859.9,2682.75,584.5,2168.74,6198.12,4854.04,13981.15,2600.35,2630.45,4870.43,2766.27,7424.92,3293.26,4994.5,6119.81,1949.54,2694.79,3023.25,4099,2210.25,7314.49,4522.38,4965.37,922.9,5241.45,4846.12,4090.23,1041.75,4139.01,3077.33,5178.15,4535.62,2947.93,4426.74,1706.46,2669.21,1992.68,5007.44,7769.76,5670.68,1158.6,374.4,154.77,6266.79,6486.16,1973.79,3538.5,3140,1683.87,5723.67,4280.57,4870.42,12439.23,2080.89,4549.05,4681.09,3223.61,389.72,5859.52,2508.28,1785.4,4777,2327.83,24219.52,21023.32,2421.65,13092.78,5517.37,5485.89,3469.47,6634.08,3639.56,2629.54,1810.88,6615.13,1451.62,2700.24,
MF0066,44838.36,51113.91,54254.12,9734.85,2805.5,1991.125,2765.145,7883.345,14072.385,67412.67,20653.29,4821.365,16366.17,19568.545,21810.375,6580.865,21470.85,47303.51,10278.885,3860.38,18900.52,21248.63,21467.1,12062.955,24148.735,22249.91,4983.915,4839.29,5490.34,105667.255,18921.71,5981.1,67287.24,4101.34,155258.27,58920.915,76012.64,14028.435,24965.6,17576.975,21909.38,11835.1,7553.11,20096.35,20973.18,28939.605,5390.855,4525.25,8174.44,11521.21,6066.14,14642.375,14003.83,1707,32485.535,23408.87,15518.5,10077,3253.745,15642.02,22599.44,14614,3054.675,7824.36,15771.59,4199.925,21296.38,6437.465,8195.5,10805.03,4555.015,4189.645,3125.5,4802.625,2522.2,29412.16,19766.295,23383.765,28172.79,7792.265,7780.975,23858.695,6823.66,20658.335,24833.63,32489.125,17534.39,23547.84,22161.41,12169.48,12987.69,7525.59,26796.07,58370.42,10010.075,12247.265,69212.5,31836.5,17914.37,34482.75,2053.145,3654.375,3204.5,26730.475,32948.08,10447.58,17945.05,20297.155,32563.875,65675.645,52447.92,26396.43,10940.775,38233.215,25354.51,7779.99,11655.005,6561.205,26186.48,22604.4,5477.91,16230.155,19748.73,25199.57,17320.395,9769.695,11179.41,13966.23,3813.05,31451.02,9973.89,20015.785,
MF0018,78402.99,65201.57,91676.19,36123.33,2945.33,2178,2853.04,22652.9,27099.15,127574.62,27811.12,8538.69,109112.76,31330.77,37999.39,12939.3,38723.85,93746.29,8669.36,7276.4,33294.01,42614.43,42342.81,17998.92,34023.97,35539.11,5102.91,5233.37,5619.68,157604.81,39310.59,13303.18,104589.27,7358.85,290897.11,110922.53,143712.48,24963.81,27631.69,21739.2,25551.68,18425.32,10426.73,28906.43,32981.53,47991.84,7835.29,8705.18,16765.71,18526.75,13876.62,22335.44,21055.98,2751.68,58048.74,36845.73,24024.87,15397.93,4803.53,22534.45,42112.59,21348.77,4508.13,17196.82,28463,5755.19,39367.45,19726.93,11522.33,15006.81,6581.72,5632.71,3229.5,5551.35,2801.15,55738.33,28277.46,41043.05,45851.35,10109.87,11025.62,46818.98,8230.19,38502.24,47252.86,57969.93,33045.71,45325.35,36519.48,23674.91,25645.09,15093.64,36458.45,84399.15,26109.65,18228.93,69850.83,32517.08,24177.87,65328.92,2154.32,3785.08,3281.5,38417.52,61943.9,17957.99,30990.26,29900.82,50215.61,107136.16,107610.01,57321.77,43841.59,60790.11,49177.84,16702.14,19576.24,13128.83,42547.83,35140.29,8871.91,32428.85,34518.17,48860.69,50434.96,38985.4,34943.84,22863.45,5609.39,62025.18,35500.35,43071.59,
MF0019,1443.31,16605.04,3371.44,261.45,2692,1810,2657.37,409.67,691.52,2877.3,2098.54,350.09,1353.5,716.22,756.5,456.75,728.69,246.58,521.73,695.53,16829.86,529.61,217.62,551.84,462.63,2019.25,4869.25,4439.37,5381.04,7724.42,4956.85,78.1,15281.07,235.79,2351.31,5687.99,2557.53,463.24,5333.65,9501.4,1786.13,514.95,52.58,248.68,148.29,303.12,325.79,512,280.38,1049.92,279.42,338.25,90.5,13,174.32,497.31,253.25,78.5,1247.02,443.74,761.9,983.3,207.2,531.1,3823.68,2892.44,2104.59,373.79,4345.5,5971.31,1196.6,2680.79,3037.25,4105.75,2209.5,744.66,548.44,653.71,891.4,4967.62,4261.72,505.21,189.47,591.7,343.05,1090.55,861.28,272.04,1393.91,1187.21,1060.29,317.79,376.11,209.04,543.29,1040.1,63.4,38.2,2848.29,303.21,1974.37,3572.75,3151,76.54,1199.43,477.48,2203.73,550.15,2727.56,8697.4,457.59,3210.86,3715.39,257.11,350.12,95.82,554.99,105.75,2646.85,1453.83,667.73,537.08,1092.56,753.14,2724.89,2176.82,417.81,138.62,271.95,3624.22,432.21,2736.16,
MF0030,367.5,809,495,44,0,0,0,183,44,541,401,76,16,501,154,248,110,123,670,63,186,153,42,236,53,1084,0,0,0,233,1458,31,415.5,24,35,506.5,320,187.5,45,0,0,195,0,49,47,47,38,41,56.5,288.5,66,40,7,0,71,152,60,41,112,445,247,62,20,164,0,1,191,19,74,18,65,0,0,0,0,66,336,292,61,16,87,30,126,107,133,305,279,99,96,18,22,49,386,73,103,104,40,22,669,197,0,0,0,8,253,279.5,174,161.5,226,559,32,45,5,39,71,60,143.5,0,629,456,102.5,123,360,218,367,261,203,50,208.5,495,93,311,
MF0074,74639.25,85687.02,94917.06,15503.28,11001.33,7622.25,10837.83,13344.57,19644.59,125744.89,20573.51,8851.87,9455.08,38386.37,16554.17,10938.91,37426.14,89111.72,33962.75,7396.79,42530.56,37140.07,38894.75,19198.81,12368.4,41813.91,19688.16,18578.91,21718.11,132428.74,88466.05,11065.01,77818.97,7923.61,242629.83,103082.54,122132.79,27439.79,17836.03,18912.45,10690.54,14327.87,3395.14,13264.41,17296.7,20142.03,8536.5,7208.58,14716.12,16841.25,12522.53,9193.51,5846.41,735.08,20933.31,15161.61,7045.84,6621.16,7456.44,28049.97,36751.53,23925.07,5541.18,16912.71,36740.53,13506.81,39714.1,17507.94,23833.83,29381.17,6868.38,12923.5,12306.25,17772.25,9338.25,55746.6,22810.64,25716.67,7452.82,24150.02,23085.34,38707.63,7184.71,37129.77,45106.07,57713.23,35822.23,36489.78,13550.27,24258.17,25387.33,15528.02,24021.59,41041.61,22928.86,7729.93,19915.73,17831.85,28515.5,39100.06,8060.91,14422.58,12713,16245.99,60882.52,12707.26,22893.63,30328.32,36867.35,89389.98,104628.15,53128.91,23800.76,38928.88,49522.07,8415.31,15884.87,7671.16,42271.03,35641.44,8793.49,20029.81,31712.19,50482.6,55709.19,38938.48,23529.58,8858.94,8146.8,67396.29,22918.34,43254.18,
MF0031,2332.89,6067.93,4357.38,1107.28,8054.33,5434.75,7985.79,1426.86,824.69,2992.88,5044.37,758.59,3688.66,7628.17,2564.25,1107.5,7328.55,6318.03,1134.81,1028.45,35242.36,2176.28,4950.46,1531.42,1305.47,4955.41,14583.91,13245.87,16117.93,9234.77,10612.3,1389.18,8443.32,1107.85,6866.47,8947.33,11132.78,3219.11,7484.03,9146.95,2738.93,2023.12,2700.78,5997.78,6808.18,1180.29,2229.04,2069.33,2285.76,1927.01,2607.22,3375.84,1261.83,154.33,1871.99,1046.73,495.92,215.83,2404.57,1837.45,3075.03,6112.82,604.68,1675.97,10580.1,8125.94,6215.75,3037.93,12676.83,17779.31,2614.72,7993.96,9069.75,12270,6525,6222.83,1994.71,3991.71,814.9,14809.12,12687.12,3723.57,333.09,3053.69,2186.81,2250.98,2090.46,1894.1,3740.58,1375.96,2119.04,1052.34,1897.1,6851.6,4877.35,907.43,52.73,50.43,5112.96,5163.82,5925.12,10621.83,9420,1429.37,3863.35,1837.74,5694.42,5379.57,1074.56,2042.41,4654.76,3153.28,417.89,4646.86,1937.29,1617.24,2621.49,1931.33,21271.69,16285.98,1845.31,12149.95,1553.37,3882.89,2201.47,5974.9,3155.39,2147.7,919.04,4694.64,1175.3,2052.58,
MF0075,4049.06,9411.77,6260.04,1989.95,2728,1865.75,2675.79,2522.03,1538.18,4464.39,5367.04,1319.09,5352,9905.84,5453.09,1727,11439.88,6917.52,11388.31,1491.28,20368.86,3152.61,5323.79,3506.09,2391.63,13383.75,4862.75,4485.04,5425.43,31914.28,14372.64,2200.85,25240.82,1515.68,11668.15,21936.49,12022.78,4185.78,4038.36,6031.95,1416.76,4448.45,3642.11,11149.11,8521.18,1885.62,2522.54,1896,4159.26,2630.01,7029.39,4306,1910.5,337,2613.32,5389.06,2343.25,536.5,1747.9,9375.78,4305.36,8621.65,1059.35,2855.3,6016.43,2924.44,11265.58,7610.93,5390.5,6432.31,2120.05,2739.79,3023.25,4090.5,2175,8183.16,6655.88,6898.55,891.4,5352.62,5106.79,3925.73,812.09,3979.35,2750.65,4448.65,2857.96,2245.93,6691.91,2229.46,2749.54,1836.18,5364.27,12862.93,11197.18,1189.1,134.4,135.1,5449.95,7954.82,1973.79,3538.5,3140.5,2749.54,5835.18,3418.23,3474.6,11070.4,1939.56,4487.4,5226.59,3819.95,538.89,6266.86,2369.79,2764.07,3621.49,2675,24386.19,25040.47,2040.98,19440.11,2549.37,6679.89,3907.98,13741.07,7705.56,3153.87,1560.7,6691.31,2404.46,3804.57,
MF0072,64620.25,50609.59,83970.91,15021.83,2903.33,2153,2787.5,8194.75,25590.83,120871.17,13712.58,6391,25396.58,16753.42,15527.67,6317.5,16437.42,84884.33,4820.17,4920.75,22702.42,14470.5,36496,11692,15220.67,12239.33,5088.58,5181.83,5600.75,88876.92,7500.09,3205.58,47100.08,5884.17,256748,83675.42,112690,20463.25,7366.16,7214.5,7612.67,8889.75,3178.67,10420.42,17128.25,21725.75,2826.17,3036,4354.08,7282.67,2601.75,4129.92,4259.83,319.33,22340.5,14219.25,7361.17,5621.83,2529.33,5453.25,32553.33,11510.75,2540.33,6036,24345.17,4657.17,13466.5,4639.33,8490.5,12423.67,3415.67,4971.17,3224.25,5474.75,2775.25,48280.75,10487.5,13778.92,22661.83,8234.25,7672.5,39282.08,4633.17,32942.92,42493.83,48852.08,25597.5,39256.25,14067,20877.33,22181.67,12048.33,11218,25518.75,7035,10758.5,36724.83,21663.33,11682.5,17999.75,2132.83,3766.08,3266,20062.25,50810.42,5600.92,20993,18834.75,33558.5,79120.17,92399.25,44885.67,19495.42,39838,46021.5,4651.75,8430.17,4118.08,14473.92,13688.58,3845.75,7435.92,24056.83,37125,15354.67,4926.33,2009.33,8139.5,3027.42,43284.59,11512.67,29939,
MF0073,8601.66,22452.22,17834.78,20850.08,2725.33,1839.5,2715.54,15267.56,2214.49,10258.95,9992.37,2092.51,83982.43,18742.52,9639.55,6822.79,16691.76,8384.46,25519.69,1982.64,22057.35,24035.01,5871.64,7213.83,3054.39,21544.27,4900.91,4505.37,5421.93,32003.23,56711.75,4593.01,22401.85,1967.6,10258.76,24143.45,20486.23,6324.48,5367.28,7521.45,1913.68,6918.82,3601.73,9985.6,9392.37,2839.76,4444.13,3879.93,7684.21,9884.16,10389.79,6465.44,3011.81,1250.68,7399.24,3986.07,2009.87,1357.43,3219.62,16926.79,6246.27,12510.77,2587.13,8876.47,7264.25,3275.02,20843.29,9922.51,6950.33,6850.06,3219.21,2941.46,3025,4182.6,2199.4,9729.66,10601.21,11405.37,2639.69,6026.2,6923.7,4454.23,2715.85,5384.65,4003.79,7704.68,9322.37,3399.85,7905.81,2348.66,3717.01,3715.14,10257.62,31162.98,14249.15,3005.68,853.83,501.75,14398.71,15131.26,1999.32,3566.33,3153,4164.1,9296.14,11363.33,6083.83,14116.15,4638.69,9324.81,8922.51,8993.93,23142.92,8641.52,3283.83,6218.47,7417.75,5669.16,32237.66,28100.64,4262.33,24310.52,8051.17,9995.19,33581.95,28953.41,30412.84,3837.62,4000.82,14006,19295.76,11125.51,
MF0070,74206.49,55626.9,89513.36,35007.25,2910,2157.75,2813.29,21863.82,26415.4,123539.87,25217.79,7526.69,106816.68,24913.85,34450.39,12134.05,27048.68,91612.79,5797.69,5574.65,31076.84,21630.43,41432.81,17155.17,33215.05,22502.03,5084.25,5198.54,5602.18,141887.31,17071.67,5981.1,93084.69,7084.93,289515.53,96869.86,134375.73,23565.31,26558.11,20954.7,25072.26,15659.82,10137.31,27855.01,32006.53,46306.84,5968.87,6389.18,9529.38,14239.75,8780.87,21529.77,20753.4,2621.6,55863.74,33552.98,22528.2,14911.6,3642.53,14570.95,41247.09,20084.77,4266.55,7981.57,26818.83,4992.52,23877.95,7765.6,9459.33,14133.14,5681.05,5279.04,3224.25,5537.35,2781.65,54574.58,20688.46,30585.3,44605.77,8956.12,8645.37,46556.73,7223.52,37439.32,46469.78,56172.85,31334.46,44929.6,32945.73,22370.58,25014.42,14323.31,27450.7,63280.9,12187.15,16596.18,69246.5,31862.5,18031.45,44717.17,2146.99,3763,3266,36377.02,57115.48,15235.57,29839.93,29227.07,47701.11,102323.24,97167.26,51530.27,41854.67,58606.86,48282.84,12627.64,16254.32,10271.5,34261.33,30983.04,6925.91,25565.68,32363.59,41281.44,17347.96,11408.32,17981.01,21395.45,4049.47,47408.51,26296.18,35055.92,
MF0071,51340.01,67644.03,72974.535,29001.04,5425.665,3670.625,5414.58,21035.315,16253.355,76507.915,31221.275,6801.225,97318.39,30500.31,34738.955,13084.145,32028.105,50416.8,32679.73,5809.47,84205.21,30335.945,23462.49,19677.06,22123.325,34771.3,9770.995,8984.62,10800.235,144360.64,64805.46,8896.555,93632.39,5706.98,160252.01,83364.305,103377.195,18421.24,22326.525,19634.2,16804.54,18941.195,8626.565,25050.39,24236.925,33918.485,8160.105,7670.38,13503.265,19436.68,12880.79,26009.99,20368.13,3011.215,45403.435,30526.54,19928.845,12451.48,5060.45,26214.78,32446.44,22641.27,5083.49,12874.72,21087.755,6426.47,38750.68,12895.595,12392.83,15350.155,7394.49,5913.02,6051.75,8286.475,4444.9,34605.67,30223.12,40418.2,32259.925,11488.015,11818.21,29545.255,7905.82,23788.35,27765.68,40946.515,26056.085,29124.155,31557.865,14619.975,15866.615,11299.065,37176.37,63253.4,18825.15,13972.68,36618.63,17358.83,26117.975,60769.14,3975.945,7107.29,6301.5,22618.835,41780.01,17628.36,29186.535,33504.855,32347.545,69342.16,62004.955,35244.455,33111.21,38591.37,27785.59,14639.32,21122.265,12747.83,42962.955,37286.97,9302.105,28828.31,34860.79,35786.585,42423.745,32224.245,32142.8,19065.57,6194.86,47584.155,25369.8,31811.89,
