#OTU ID,Itg.04.DTT422.S14,LYZdtt306,Vil1.07B.DTT82,Itg.20.DTT506.S1,LYZFP330,Itg.16.FP482.S85,Itg.22.FP518.S21,LYZdtt318,Lyz2.03B.FP234.S82,Itg.26.FP542.S46,LYZFP318,Vil1.02B.FP22,Lyz2.07B.DTT282.S124,LYZFP306,Itg.08.FP446.S47,Itg.26.DTT542.S38,Lyz2.04B.DTT246.S87,Itg.20.FP506.S9,Lyz2.02B.DTT222.S62,Vil1.03B.DTT34,Itg.10.FP458.S60,LYZFP354,Vil1.05B.FP58,Lyz2.06B.DTT270.S112,Lyz2.02B.FP222.S70,LYZFP342,Vil1.09B.FP103,SLCdtt022,Vil1.08B.DTT94,SLCdtt148,Vil1.04B.FP46,SLCdtt166,Vil1.013B.DTT154,SLCdtt052,Vil1.04B.DTT46,Itg.24.DTT530.S25,Lyz2.05B.FP258.S55,Itg.18.FP494.S97,Vil1.13B.FP151,Itg.16.DTT482.S77,SLCdtt112,Itg.10.DTT458.S52,Itg.04.FP422.S22,SLCdtt004,Itg.18.DTT494.S89,Vil1.01B.FP10,Lyz2.03B.DTT234.S74,SLCdtt130,Itg.06.FP434.S35,SLCFP148,Vil1.010B.DTT118,Lyz2.08B.FP294.S92,SLCFP022,Lyz2.07B.FP282.S80,SLCFP052,Vil1.05B.DTT58,Vil1.06B.FP70,Vil1.03B.FP34,SLCFP166,Vil1.09B.DTT106,Itg.24.FP530.S33,Vil1.14B.FP163,SLCFP112,SLCdtt070,SLCdtt076,Lyz2.01B.DTT210.S50,Itg.12.FP470.S72,SLCFP004,Vil1.01B.DTT10,Itg.02.DTT410.S2,Lyz2.05B.DTT258.S99,Itg.02.FP410.S10,Itg.12.DTT470.S64,Vil1.10B.FP115,Vil1.06B.DTT70,Lyz2.04B.FP246.S43,Itg.22.DTT518.S13,Lyz2.06B.FP270.S68,Lyz2.01B.FP210.S58,SLCFP076,SLCFP070,LYZdtt354,Vil1.07B.FP82,Itg.08.DTT446.S39,Vil1.02B.DTT22,LYZdtt366,Itg.06.DTT434.S27,SLCFP094,LYZdtt330,Lyz2.08B.DTT294.S136,Vil1.08B.FP91,LYZdtt342,taxonomy
MF0068,81681.91,36998.08,2967.83,25394.98,109670.09,41732.29,70662.25,131970.29,126561.66,94508.56,66756.34,57170.91,37963.52,130066.23,37733.29,40951.89,15343.04,46596.99,94297.62,30154.77,86280.37,162963.68,64102.9,44329.26,159041.52,53380.41,32623.41,42937.93,5315.91,62278.84,48249.33,295808.85,24167.7,34912.62,15713.71,21985,11992.58,58479.81,55629.19,14346.04,3004.68,58074.49,100472.64,16149.43,30964.54,52334.53,45120.93,6056.46,96866.04,34228.5,14825.83,28198.75,23001.63,17762,38162.65,6859.75,34753.88,68399.97,89894.4,13124.76,108999.61,77237.79,15455.03,9268.35,61954.43,36082.78,76867.97,31950.57,16315.97,89030.98,24118.15,71149.3,61009.35,51303.33,2289.41,36387.68,21176.92,24441.35,155267.15,74539.71,34448.09,43066.42,49497.34,16194.55,13966.91,33102.94,49385.44,31601.53,33228.92,7718.82,43673.05,42081.92,
MF0101,832.45,366.95,2655,707.4,5894.75,3962,798,980.55,1481,2435,1619.25,2161.9,1034.8,11345.9,548,1152.5,334.75,1440,327,1261.95,576,537.65,513.95,694.15,418.25,825.5,2023,4869.75,4857.75,5615.05,2132.25,1533.45,6352.45,651.5,928.4,945.85,799,1085.5,21821,1587,60,292.75,60.5,165,1549.85,3386.5,658.7,187.6,3269,3599.9,4565.5,1023.15,318.4,325,798.75,4090,925.75,711.7,2747.95,4368.65,272.7,2132.2,846,250.8,776.15,316.1,969.5,141,420.5,2100.75,2141,1793,962.5,2516.2,1973.5,261.5,649.55,580.25,385.75,638,760.5,106.6,5963.25,396.25,371.75,2575,1338.85,229.4,1622.45,275.2,1340.85,800.3,
MF0021,4708.81,2378.325,2694.79,3230.985,3428.45,15997.67,6748.495,12488.675,11491.865,7855.625,17267.57,8960.525,8709.92,46420.445,2910.455,4978.75,2952.12,20440.15,1305.36,4172.765,6482.495,1448.605,4148.745,3082.36,2194.335,491.18,6232.915,10490.87,4881.415,31384.715,11536.72,12267.095,8749.7,3870.225,3272.47,4107.715,3034.665,4091.83,26290.9,1804.515,329,3240.03,1810.585,1249,6648.035,9240.625,4236.035,1941.1,19738.51,24924.45,5202.915,10767.58,1455.94,5512.75,7623.88,4126,9847.35,12568.1,9241.815,4876.12,8354.815,28773.45,6366.915,1221.835,4310.65,3389.54,5128.125,1705.96,1593.845,6788.68,4563.765,9002.75,3738.615,9118.08,1977.29,5031.545,3497.07,2009.125,794.375,1309.79,5970.83,256.72,33723.42,1355.07,1594.915,2010.03,3711.015,3985.57,1787.685,2120.625,17166.47,1852.7,
MF0065,72497,18452.125,4072.27,13095.24,55173.465,30559.565,53049,121095,117092,67845.37,35128.835,36912.365,20622.925,86170.99,26356.73,30129,9406.25,28310.04,85242,26015.58,75238,143625,55764,22648.035,148384,41110.875,17499.455,23345.165,7404.455,43982.57,29325.96,282512,14448,25053,9160.785,14141.805,5962.54,49195.155,31832.7,7529.965,2310.59,49993,96543,14530,17143.51,34861.125,38362,3667.175,73753.79,28320.43,9674.58,17698.075,14025.15,10818.25,30909,6836.625,18556.23,50029.925,57981.1,8946.34,77238,46353.325,10717.875,6907.255,53344,25812,55140.275,30570,12163,56460,11231.075,52959,47212.005,25085.875,3039.395,33642,11641.57,16115.915,148986,71607,25506,21491.75,39788.465,11383.71,9506.875,16347.8,37924,27821,17092.035,4093.575,25290.925,30534.075,
MF0022,3984.23,1541.95,2690.79,3143.69,12524.49,6793.84,3777.62,6890.55,5955.91,5183.79,20536.24,12423.86,15494.84,17958.66,3333.58,3116.75,2799.49,20492.73,6883.19,8145.69,1457.91,3053.52,3384.49,2976.94,2402.42,640.43,10296.75,10171.41,4870.75,30370.8,7928.26,7666.8,6840.45,8145.52,2436.76,2766.17,1962.83,1330.33,23298.69,2978.06,189,2186.32,502.17,584.5,6198.12,9960.25,4854.04,2600.35,10687.76,19254.29,4994.5,4789.83,670.48,5533.25,5699.26,4099,6727.4,4461.64,2879.61,4846.12,862.9,25215.45,1850.83,1041.75,5178.15,4535.62,3498.42,480.92,1992.68,7769.76,5670.68,3342.25,6486.16,12464.83,1973.79,1406.63,4280.57,938.88,1352,1139.83,6241.91,389.72,10823.59,1785.4,2327.83,13092.78,5485.89,1944.66,3639.56,1810.88,18733.55,2700.24,
MF0066,44838.36,9734.85,2765.145,7883.345,21194.71,9318.35,46998.975,67412.67,62979.875,56293.645,36996.46,31155.89,19568.545,62567.96,22300.08,21810.375,6580.865,23498.665,47303.51,10278.885,55606.285,85204.425,32138.55,21248.63,80801.17,31774.415,11456.33,22249.91,4983.915,18921.71,22088.75,155258.27,17576.975,20973.18,8174.44,11521.21,5566.5,43523.53,36886.51,6066.14,1707,32485.535,57412.17,10077,15642.02,25643.725,22599.44,3054.675,50196.11,10650.745,8195.5,14515.705,9709.815,9850.125,26903.01,4802.625,17736.55,35209.61,47668.1,7780.975,66001.915,27812.975,8624.765,6823.66,32489.125,17534.39,47562.92,24070.045,7525.59,58370.42,10010.075,53321.5,34482.75,22004.25,2053.145,18001.07,10447.58,13324.88,78540.125,37825.58,25827.66,10940.775,14369.92,7779.99,6561.205,16230.155,25199.57,28311.18,11179.41,3813.05,20639.9,20015.785,
MF0018,78402.99,36123.33,2853.04,22652.9,157243.84,47982.95,69624.42,127574.62,121000.32,92677.31,53333.92,53689.15,31330.77,99826.05,42605.88,37999.39,12939.3,27203.42,93746.29,8669.36,89389.05,183211.27,59994.97,42614.43,163529.85,89973.41,39370.91,35539.11,5102.91,39310.59,60374.25,290897.11,21739.2,32981.53,16765.71,18526.75,15396.25,70918.48,54784.36,13876.62,2751.68,58048.74,100855.05,15397.93,22534.45,44410.28,42112.59,4508.13,95266.71,13478.89,11522.33,21009,27599.72,17869,33852.72,5551.35,29367.62,70477.06,88320.97,11025.62,108153.43,56376.62,10065.95,8230.19,57969.93,33045.71,87659.13,31446.73,15093.64,84399.15,26109.65,66942.3,65328.92,60281.66,2154.32,34707.76,17957.99,23872.42,159409.4,72892.88,30478.43,43841.59,43134,16702.14,13128.83,32428.85,48860.69,29290.51,34943.84,5609.39,24565.89,43071.59,
MF0019,1443.31,261.45,2657.37,409.67,1058.32,1483,142.29,2877.3,1663.71,975.29,4746.82,463.42,716.22,4880.8,230,756.5,456.75,1379.57,246.58,521.73,250,2292.69,1893.24,529.61,258.25,332.93,2016,2019.25,4869.25,4956.85,463.54,2351.31,9501.4,148.29,280.38,1049.92,350,83.5,38572.19,279.42,13,174.32,305.5,78.5,443.74,941.5,761.9,207.2,1332.43,3684.43,4345.5,910.84,515.4,226,174.75,4105.75,1119.39,692.81,1045.52,4261.72,574.56,2131.2,274.75,189.47,1090.55,861.28,271.5,94.5,317.79,209.04,543.29,204,303.21,2015.28,1974.37,341.38,477.48,205.29,228.75,105,274.5,3715.39,1268.25,95.82,105.75,537.08,753.14,414.8,417.81,271.95,2910.14,2736.16,
MF0030,367.5,44,0,183,178,171,65,541,179,174,1215.25,509,501,417,37,154,248,1848,123,670,11,78,355,153,37,6,798,1084,0,1458,167,35,0,47,56.5,288.5,10,146,0,66,0,71,0,41,445,52,247,20,136,1064,74,169,65,51,62,0,996.5,422,80,87,192,1478.5,139,126,305,279,30,3,49,73,103,20,197,1211,0,134,279.5,23,23,17,41,5,121,60,0,123,218,137.5,203,208.5,988,311,
MF0074,74639.25,15503.28,10837.83,13344.57,158647.81,74603.42,29464.32,125744.89,91409.31,43621.83,83531.31,43720.31,38386.37,126415.91,26192.41,16554.17,10938.91,48768.21,89111.72,33962.75,33853.33,180059.48,61432.2,37140.07,163954,90770.02,37278.33,41813.91,19688.16,88466.05,62891.69,242629.83,18912.45,17296.7,14716.12,16841.25,14841.08,36066.91,42007.05,12522.53,735.08,20933.31,82292.75,6621.16,28049.97,60530.58,36751.53,5541.18,116008.94,49060.57,23833.83,35890.85,22726.49,26587.75,17737.76,17772.25,48377.87,49769.42,78213.76,23085.34,48347.43,90569.2,11119.08,7184.71,57713.23,35822.23,54325.83,5786.33,15528.02,41041.61,22928.86,27976.75,39100.06,50522.87,8060.91,14476.92,12707.26,18162.16,158281.75,62353.66,22391.08,23800.76,90494.25,8415.31,7671.16,20029.81,50482.6,11627.07,23529.58,8146.8,63382.01,43254.18,
MF0031,2332.89,1107.28,7985.79,1426.86,11288.99,4122.5,2807.62,2992.88,2334.57,3653.46,9644.07,7359.19,7628.17,7761.15,3055.08,2564.25,1107.5,4646.57,6318.03,1134.81,1060.25,2762.52,861.82,2176.28,1641.25,565.76,9325.41,4955.41,14583.91,10612.3,4295.76,6866.47,9146.95,6808.18,2285.76,1927.01,1476.5,707.33,27646.86,2607.22,154.33,1871.99,468,215.83,1837.45,1899.08,3075.03,604.68,902.76,7486.44,12676.83,749,721.32,657.25,1851.92,12270,1846.72,1420.31,351.77,12687.12,302.73,10227.12,744,333.09,2250.98,2090.46,2293.58,189.08,1052.34,6851.6,4877.35,1055.75,5163.82,12430.66,5925.12,256.96,1837.74,321.87,1025.5,419.83,2534.58,417.89,979.75,1617.24,1931.33,12149.95,3882.89,282.81,3155.39,919.04,7232.39,2052.58,
MF0075,4049.06,1989.95,2675.79,2522.03,28275.82,15329,5313.79,4464.39,6465.57,10936.29,12392.57,13771.35,9905.84,42327.65,4760.75,5453.09,1727,10015.57,6917.52,11388.31,2787.25,4204.69,5707.49,3152.61,2972.75,3040.43,9899.75,13383.75,4862.75,14372.64,10736.77,11668.15,6031.95,8521.18,4159.26,2630.01,3892.5,4014,22480.86,7029.39,337,2613.32,644,536.5,9375.78,12312.25,4305.36,1059.35,11154.43,9429.61,5390.5,3924.33,1352.15,1686.25,4014.25,4090.5,5104.39,4565.81,9055.77,5106.79,1053.06,15685.95,3280.5,812.09,4448.65,2857.96,5676.75,517.75,1836.18,12862.93,11197.18,6686.25,7954.82,13293.16,1973.79,976.46,3418.23,2091.54,2145,2608,3525.75,538.89,18601.75,2764.07,2675,19440.11,6679.89,681.65,7705.56,1560.7,9998.39,3804.57,
MF0072,64620.25,15021.83,2787.5,8194.75,14903.83,3791,24626.75,120871.17,89145.25,26612,26618.17,15831.58,16753.42,85436.17,9722.75,15527.67,6317.5,13470,84884.33,4820.17,30794.67,143602.33,59002.5,14470.5,147232,31524.83,5134.83,12239.33,5088.58,7500.09,12608,256748,7214.5,17128.25,4354.08,7282.67,4036,10896,12619,2601.75,319.33,22340.5,81148.5,5621.83,5453.25,32347.08,32553.33,2540.33,66811,3509.33,8490.5,16813.42,4561.92,9273,13944.67,5474.75,14323.92,43774,41808.75,7672.5,30204.5,9067.67,1689.75,4633.17,48852.08,25597.5,17091.75,5139.58,12048.33,25518.75,7035,21769,17999.75,14282.08,2132.83,17589.25,5600.92,7429,148218,59978.83,15364.33,19495.42,8249.25,4651.75,4118.08,7435.92,37125,7890.33,2009.33,3027.42,10251.5,29939,
MF0073,8601.66,20850.08,2715.54,15267.56,93429.01,35133.79,16498.75,10258.95,8127.66,24756.81,37392.59,24691.91,18742.52,42426.56,10988.71,9639.55,6822.79,28958.08,8384.46,25519.69,7176.71,18597.1,6116.9,24035.01,8482.27,21086.66,28075.91,21544.27,4900.91,56711.75,25790.74,10258.76,7521.45,9392.37,7684.21,9884.16,7000.58,12138.81,26482.19,10389.79,1250.68,7399.24,3384.22,1357.43,16926.79,16302.78,6246.27,2587.13,24810.54,31044.57,6950.33,10422.75,8448.55,8069.5,6572.23,4182.6,18262.38,14525.14,34087.56,6923.7,31248.77,58370.12,6951.03,2715.85,7704.68,9322.37,18986.3,1120.9,3715.14,31162.98,14249.15,17768.8,15131.26,35761.83,1999.32,2583.18,11363.33,10634.51,5337.4,1862.46,8275.09,23142.92,39244.34,6218.47,5669.16,24310.52,9995.19,3738.02,30412.84,4000.82,32066.8,11125.51,
MF0070,74206.49,35007.25,2813.29,21863.82,26020.51,10569.7,56131.17,123539.87,119851.82,71198.06,34425,35260.9,24913.85,94644.63,24074.63,34450.39,12134.05,23837.17,91612.79,5797.69,76635.38,149242.69,56815.43,21630.43,150149.85,31937.08,13759.58,22502.03,5084.25,17071.67,23591.42,289515.53,20954.7,32006.53,9529.38,14239.75,5566.5,43747.73,50863.86,8780.87,2621.6,55863.74,97018.8,14911.6,14570.95,35544.7,41247.09,4266.55,69804.46,9241.81,9459.33,18546.33,9713.3,10057.75,32510.3,5537.35,17121.2,50727.31,51571.59,8645.37,77523.93,25040.95,8571.7,7223.52,56172.85,31334.46,48134.13,30722.4,14323.31,63280.9,12187.15,54161.55,44717.17,27856.58,2146.99,34220.51,15235.57,13292.67,150657.65,72164.55,27051.85,41854.67,11830.25,12627.64,10271.5,25565.68,41281.44,28465.18,17981.01,4049.47,16821.89,35055.92,
