	TL1a_FP_162	TL1a_FP_88	TL1a_FP_89	TL1a_FP_234	TL1a_FP_287	TL1a_FP_198	TL1a_FP_161	TL1a_FP_197	TL1a_FP_132	TL1a_FP_130	TL1a_FP_90	TL1a_FP_269	TL1a_FP_288	TL1a_FP_196	TL1a_FP_131	TL1a_FP_270	TL1a_FP_160	TL1a_FP_286	TL1a_FP_232	TL1a_FP_233	TL1a_FP_268	TL1A_FP_677	TL1A_FP_678	TL1A_FP_630
TL1a_FP_90	2.237635960899401	1.5546107849392456	2.398436232821302	2.445937650029476	1.573876370876531	1.699231751536832	1.5412780614506258	0.8374242720584666	2.0348417323004995	0.9778196714927062	0.0	1.5283701734235953	1.133306375999615	1.4918498349123606	1.0501212167118552	1.0291604236238217	1.6436336481869487	1.2444701992244123	1.547659263502442	2.0482503984804565	1.201704789928979	0.6649132315182122	0.7535161908045427	0.2673259978328281
TL1a_FP_269	3.0829822263617785	2.577472023087926	3.0736205504722305	1.5499925894222168	2.5350825682018003	0.4540338632084901	2.434097977338618	1.1443057902684557	3.3247899280172497	1.7296403961876867	1.5283701734235953	0.0	1.2876267296734167	2.4779741416984917	1.675994614108124	0.9322650224601755	2.752087287879604	1.843799959079051	1.417556635534804	1.0104594024593732	2.249780408222669	1.569089960574613	1.371678590249951	1.3412452478814114
TL1a_FP_288	3.3406125280051877	1.4015745105818729	3.3525103832744056	1.535323635476975	1.6559073781772062	1.5542410064977814	2.6365383760494656	1.1183215044015913	2.378031710245099	1.9684558786642297	1.133306375999615	1.2876267296734167	0.0	1.46253755836653	0.5168729761189906	1.486674012483309	2.098308352041858	0.6697876941362466	0.7217425977797435	1.4244843379744165	1.717978143471602	1.4515794927344317	1.0635983815163088	0.9870165159451485
TL1a_FP_196	3.3059109776974784	0.5189340974299556	3.7544576958070563	2.947200719393617	0.3438403171175832	2.8137283743878307	2.730376443633545	1.5535464647498292	1.0104586530860746	2.400030624240766	1.4918498349123606	2.4779741416984917	1.46253755836653	0.0	1.3618378886077929	2.4193441665764643	0.946045893150076	0.8312734269504023	2.086724535113735	2.879710337212588	0.9545307102291833	2.1028584799355765	1.9884709673157412	1.4370924064382207
TL1a_FP_131	3.266819020218531	1.1507170267434206	3.190364076309886	1.818239544924324	1.6210470817068738	1.863285805413928	2.567926846227319	1.3771127942269894	2.1500845833030375	1.9390659207025953	1.0501212167118552	1.675994614108124	0.5168729761189906	1.3618378886077929	0.0	1.6163946044215431	2.050065822630963	0.6956880152426831	0.7926908253090735	1.713286449664781	1.7286624188478088	1.3132394977645097	0.930728856489785	1.0235811298268378
TL1a_FP_270	2.2819615072032073	2.482894201294949	2.1577192614963137	2.144200798806456	2.480934578692115	0.8722441419581479	1.6134687032695838	1.1297025668744871	3.053227395281134	0.8620012215650795	1.0291604236238217	0.9322650224601755	1.486674012483309	2.4193441665764643	1.6163946044215431	0.0	2.5431685595133753	1.9477566941781281	1.605570479862213	1.5273512495525219	2.0410133762259273	0.7923590650396777	0.8695822899703161	0.9938171621547819
TL1a_FP_160	2.7764090327604096	1.3876933043569746	3.568113181987066	3.6108473917979107	0.6693409825643034	3.088237334240474	2.3418000987396357	1.6240261904230422	0.934213131098153	2.2668948398451323	1.6436336481869487	2.752087287879604	2.098308352041858	0.946045893150076	2.050065822630963	2.5431685595133753	0.0	1.6126758707645077	2.765231222459618	3.3991428412582825	0.5187664866572487	2.2687810629156604	2.350196765204917	1.6130710419084426
TL1a_FP_286	3.4122968184702533	0.800726729906037	3.612414000787455	2.116842924189219	1.0643707155220374	2.1616727447222175	2.7453228537901473	1.2505570109785078	1.7936467512160736	2.2062681811670846	1.2444701992244123	1.843799959079051	0.6697876941362466	0.8312734269504023	0.6956880152426831	1.9477566941781281	1.6126758707645077	0.0	1.2931654297159665	2.088026836789943	1.3562833901478097	1.7543363395013574	1.4738688737154382	1.1256264825343314
TL1a_FP_232	3.657962593562754	1.8918458344211768	3.372178729214505	1.0707965287498087	2.324364151946934	1.496436816658942	2.94554703401063	1.7021172974586063	2.9360968686031907	2.211555129454978	1.547659263502442	1.417556635534804	0.7217425977797435	2.086724535113735	0.7926908253090735	1.605570479862213	2.765231222459618	1.2931654297159665	0.0	1.0311467207238671	2.3865722516818124	1.5673356027832432	1.0774725188473309	1.4782650915558557
TL1a_FP_233	3.807331562818702	2.8053226938864095	3.448713177352602	0.7027922196221045	3.0411558806121857	0.8891729543610126	3.129861170781937	1.9469203998098474	3.7692925492278024	2.3616787302122924	2.0482503984804565	1.0104594024593732	1.4244843379744165	2.879710337212588	1.713286449664781	1.5273512495525219	3.3991428412582825	2.088026836789943	1.0311467207238671	0.0	2.938626312979317	1.9218731431137797	1.5396483056006016	1.9281509393882008
TL1a_FP_268	2.5164189472381784	1.3758646057228598	3.232175637981904	3.2039264523584228	0.7500221051383905	2.580010694925997	2.003816612407635	1.114287561576615	1.3085775848677639	1.8270210749320706	1.201704789928979	2.249780408222669	1.717978143471602	0.9545307102291833	1.7286624188478088	2.0410133762259273	0.5187664866572487	1.3562833901478097	2.3865722516818124	2.938626312979317	0.0	1.842338131937718	1.9242126320196917	1.136574722350364
TL1A_FP_677	2.1352907038572932	2.064683237755944	1.904840240820401	2.41908089361104	2.219395154522041	1.5532235654390876	1.4378558943936495	1.3290942397757521	2.5745642823334567	0.7563731178343496	0.6649132315182122	1.569089960574613	1.4515794927344317	2.1028584799355765	1.3132394977645097	0.7923590650396777	2.2687810629156604	1.7543363395013574	1.5673356027832432	1.9218731431137797	1.842338131937718	0.0	0.4926463931730483	0.8406026376038179
TL1A_FP_678	2.6176703052347183	1.8869219987162469	2.3397034761726943	1.9684714382693491	2.1572550655283735	1.3761610691308916	1.9127381074427017	1.3043429598758107	2.6058334484694594	1.1981154088060233	0.7535161908045427	1.371678590249951	1.0635983815163088	1.9884709673157412	0.930728856489785	0.8695822899703161	2.350196765204917	1.4738688737154382	1.0774725188473309	1.5396483056006016	1.9242126320196917	0.4926463931730483	0.0	0.8379091243256587
TL1A_FP_630	2.3686318035481047	1.5506274896384655	2.589112268093129	2.313807041091797	1.4996505626959198	1.5691253553024793	1.6762713667749074	0.5855968005847692	2.0840103824219787	1.0933439378419083	0.2673259978328281	1.3412452478814114	0.9870165159451485	1.4370924064382207	1.0235811298268378	0.9938171621547819	1.6130710419084426	1.1256264825343314	1.4782650915558557	1.9281509393882008	1.136574722350364	0.8406026376038179	0.8379091243256587	0.0
