Mouse5A.DTT29	Mouse5A.FP28	Mouse6A.DTT35	Mouse1B.DTT15	Mouse1B.DTT18	Mouse3A.FP16	Mouse5A.FP26	Mouse7A.FP40	Mouse1A.FP05	Mouse6A.FP32	Mouse3A.FP17	Mouse7A.FP38	Mouse1A.FP02	Mouse5A.DTT27	Mouse2A.FP11	Mouse3A.FP18	Mouse4A.DTT19	Mouse5A.DTT30	Mouse5A.DTT28	Mouse6A.FP31	Mouse4A.FP22	Mouse1A.FP03	Mouse4A.FP23	Mouse1A.FP01	Mouse6A.FP35	Mouse7A.DTT38	Mouse7A.DTT41	Mouse4A.DTT22	Mouse2A.FP07	Mouse3A.FP13	Mouse1A.FP06	Mouse6A.DTT31	Mouse7A.DTT42	Mouse1B.DTT16	Mouse1A.FP04	Mouse2A.FP12	Mouse2A.FP10	Mouse7A.FP42	Mouse7A.FP41	Mouse1B.DTT14	Mouse3A.FP15	Mouse4A.FP20	Mouse1B.DTT13	Mouse6A.DTT34	Mouse5A.FP29	Mouse6A.FP34	Mouse6A.FP36	Mouse2A.FP09	Mouse5A.DTT26	Mouse5A.FP25	Mouse5A.FP30	Mouse7A.FP39	Mouse4A.FP24	Mouse4A.DTT21	Mouse4A.DTT24	Mouse1B.DTT17	Mouse3A.FP14	Mouse4A.FP21	Mouse2A.FP08	Mouse5A.DTT25	Mouse7A.DTT39	Mouse4A.DTT20	Mouse6A.DTT32	Mouse6A.DTT33	Mouse6A.DTT36	Mouse4A.DTT23	Mouse7A.FP37	Mouse7A.DTT37	Mouse6A.FP33	Mouse4A.FP19	Mouse7A.DTT40	Mouse5A.FP27	Mouse9A.DTT98	Mouse10A.DTT109	Mouse9A.DTT100	Mouse10A.FP110	Mouse9A.DTT101	Mouse10A.FP109	Mouse10A.DTT110	Mouse9A.DTT99	Mouse9A.DTT97	Mouse10A.FP111	Mouse8A.DTT90	Mouse9A.FP97	Mouse9A.FP98	Mouse10A.DTT111	Mouse10A.DTT113	Mouse8A.FP87	Mouse9A.DTT102	Mouse10A.DTT112	Mouse8A.FP85	Mouse10A.DTT114	Mouse10A.FP113	Mouse9A.FP102	Mouse8A.DTT85	Mouse8A.DTT86	Mouse9A.FP101	Mouse10A.FP112	Mouse8A.FP90	Mouse10A.FP114	Mouse8A.FP86	Mouse8A.DTT88	Mouse9A.FP99	Mouse8A.DTT89	Mouse8A.FP89	Mouse8A.DTT87	Mouse9A.FP100	Mouse8A.FP88
1373	1225	635	489	73	456	25	680	563	179	206	168	261	392	1189	217	270	1109	2043	387	112	250	89	352	1063	504	710	242	299	106	388	507	908	342	481	1258	1333	553	683	487	186	79	756	691	192	1453	1524	70	950	405	1647	38	174	59	636	151	166	33	132	383	218	163	505	210	794	512	76	872	114	116	540	434	437	281	2852	387	1500	840	422	274	193	95	1981	908	625	706	1601	123	1128	222	57	515	2183	1444	286	347	2869	407	1189	166	378	632	50	1141	1363	80	3460	1240
379	530	43	290	37	465	147	74	2236	28	150	25	653	269	3239	65	0	428	352	13	0	1228	0	360	100	26	28	10	994	248	1393	39	52	311	1289	2639	2152	103	90	158	421	0	284	24	342	67	84	1182	226	109	1008	47	0	6	45	0	315	0	910	107	43	0	22	16	55	21	25	26	32	0	18	375	4243	96	18913	13	16494	42	87	3389	1122	27	146	6439	5146	65	121	129	10876	166	164	94	109	19073	187	212	27252	57	191	136	82	241	6755	409	172	33	20252	193
5	0	6	55	46	0	5	51	5	154	0	66	24	99	3	19	18	0	13	220	0	0	0	55	8	150	0	0	17	13	0	391	21	0	0	0	0	4	9	108	50	15	27	6	7	5	0	40	78	0	0	162	0	17	0	10	24	27	64	55	205	31	176	148	6	3	21	22	450	22	18	0	1272	2	3	16	0	6	13	308	295	47	27	161	196	58	6	111	0	9	193	32	3	3	161	124	9	48	0	6	176	0	469	3	21	98	2	0
0	0	0	138	9	0	441	6	13	15	13	28	716	261	0	14	343	0	12	33	0	853	0	534	12	18	0	0	105	26	9	46	0	15	0	0	0	0	0	134	111	390	164	0	755	4	0	266	198	136	0	61	0	156	12	65	78	307	89	126	50	141	38	12	0	5	9	26	52	1226	0	0	832	71	3	73	6	91	106	195	196	167	4	968	596	59	2	12	38	16	11	24	0	66	35	6	49	81	0	2	11	1	885	1	1	5	16	0
951	413	365	498	136	254	172	630	613	184	55	172	1291	1855	985	80	691	663	901	226	133	638	96	598	813	217	336	504	593	175	1491	476	343	461	1494	962	979	486	514	274	241	50	436	58	287	328	1461	116	1216	856	2224	81	129	454	833	169	179	78	288	453	621	373	235	406	624	610	342	427	104	271	398	544	262	227	547	218	573	441	170	492	250	494	52	447	503	201	1722	268	200	2233	111	561	4667	2827	562	117	2033	1559	765	3869	250	112	233	134	443	82	1966	271
0	0	0	25	19	0	0	0	0	12	1	0	24	0	0	6	12	0	0	0	0	0	0	24	0	22	0	0	13	0	0	9	10	0	0	0	0	0	0	88	1	18	8	0	0	0	0	66	13	0	0	0	0	0	0	0	1	0	26	5	40	26	62	40	0	0	0	1	43	0	0	0	342	9	2	5	0	5	3	75	34	1	1	16	10	21	1	3	0	5	3	7	1	3	7	32	0	15	0	1	16	0	7	0	5	21	1	0
912	1231	510	498	226	1868	651	1995	1947	452	743	1246	443	329	2240	379	356	789	461	248	240	599	266	247	456	806	941	346	1075	604	1288	334	1143	1087	1404	1174	1622	1991	2495	385	1001	270	518	67	1169	353	1323	1227	614	345	1388	1613	413	172	1163	313	758	507	1259	239	930	236	224	222	594	509	1390	899	551	518	1065	799	348	559	2484	364	1190	692	507	248	200	1122	4431	714	786	358	1044	1529	869	736	286	832	5047	2465	943	615	4350	1219	11524	1232	721	1710	1027	4437	5623	107	5034	4116
16	0	24	1318	104	123	1620	79	55	2285	79	755	1227	535	5	113	359	10	32	2649	0	2067	5	871	166	499	0	4	907	1642	0	2915	14	84	38	12	12	7	9	901	2621	275	1645	7	457	20	6	720	863	1246	12	571	0	105	6	152	2210	324	737	432	722	161	899	1118	16	5	712	744	2162	227	48	17	548	1073	2	1288	3	3401	1466	298	907	2052	26	1013	765	1513	28	1496	89	222	1191	193	3	41	1753	865	10	705	5	28	1129	22	728	9	261	412	4	26
6852	1212	4371	1111	193	1728	54	661	1703	124	488	37	685	2584	1211	199	2404	8059	7210	1144	182	138	357	586	2592	1767	3440	1046	585	55	1630	2021	4180	1875	409	3822	1961	908	498	1012	96	69	1248	2622	187	3463	1860	146	4465	4436	2359	46	239	695	5594	224	77	51	99	2578	3819	1292	1064	1089	7289	1878	532	3569	46	284	3217	1220	178	597	1741	737	1217	2078	1033	234	438	846	9250	312	322	915	5966	912	1262	2232	94	1852	252	1584	1783	624	465	1778	5767	4825	2184	2847	194	8310	10764	358	1893	1975
1274	4705	402	29	1295	216	211	1339	14268	192	1292	159	1805	255	980	1694	457	854	1483	108	33836	934	34920	1029	872	89	1084	6648	79	33	12359	183	696	122	17457	624	427	1212	1628	36	43	2908	203	118	493	483	689	51	168	272	1737	47	24500	1054	8957	1404	40	1487	68	129	150	694	169	329	687	21334	186	133	134	1186	623	2211	1368	550	797	1723	1608	971	182	867	346	2869	340	1108	386	659	1617	49	399	2448	5	1193	11093	121	809	186	748	9049	429	6404	10	1531	96	90	42	87	302	1394
