#OTU ID,Mouse1B.DTT18,Mouse3A.FP18,Mouse5A.DTT30,Mouse1A.FP06,Mouse7A.DTT42,Mouse2A.FP12,Mouse7A.FP42,Mouse6A.FP36,Mouse5A.FP30,Mouse4A.FP24,Mouse4A.DTT24,Mouse6A.DTT36,Mouse8A.DTT90,Mouse9A.DTT102,Mouse10A.DTT114,Mouse9A.FP102,Mouse8A.FP90,Mouse10A.FP114,taxonomy
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium,113,1,113,6,192,66,204,118,337,1,61,113,345,178,168,1919,12127,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Butyricicoccus,15,36,13,2,24,6,12,14,9,4,36,4,17,1,12,70,29,27,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__GCA-900066225,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,0,2,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Harryflintia,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,3,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Hydrogenoanaerobacterium,30,19,4,0,0,4,3,0,3,0,0,0,5,2,61,2,0,11,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Intestinimonas,37,30,9,0,33,0,4,0,0,0,19,3,23,0,375,40,9,52,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillibacter,141,60,9,0,35,14,5,3,0,0,49,0,47,24,149,16,3,20,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Phocea,5,9,3,0,3,0,3,0,3,0,2,0,2,0,11,3,3,10,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminiclostridium,34,10,11,0,45,0,0,0,0,0,10,6,20,3,67,9,4,21,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminiclostridium_5,102,77,17,11,29,26,15,0,23,0,43,11,43,54,195,522,14,65,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminiclostridium_6,5,25,0,0,5,6,0,0,0,0,0,0,0,0,13,0,0,10,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminiclostridium_9,86,126,11,9,19,6,3,0,5,0,29,3,29,8,102,72,4,30,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_NK4A214_group,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-003,46,19,0,0,21,0,4,0,0,0,0,6,27,0,49,3,0,6,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-009,0,0,0,0,0,0,0,0,0,0,0,0,10,2,12,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-010,0,5,0,0,0,0,0,0,2,0,2,0,0,11,0,12,0,2,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-014,0,4,0,0,0,3,0,0,9,0,0,0,37,3,9,83,50,11,
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Dubosiella,3,1,1938,0,894,289,154,130,690,36,1295,37,730,11,0,17,6516,0,
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalibaculum,46,22,718,61,2007,21,622,1346,376,3,51,733,1085,139,225,128,7096,39,
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__,0,6836,0,1,0,187,611,235,205,10,0,0,0,0,11,2686,58,3736,
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__,33,15,6,0,0,23,5,25,18,9,21,12,5,278,4,761,8,4,
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila,101,42,68,53,44,23,58,231,98,17,31,88,21,331,41,1831,16,112,
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio,113,28,21,35,224,927,1661,137,81,280,138,52,10,77,75,7653,46,534,
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__Parasutterella,249,293,1567,1399,1642,2319,3078,1853,3093,511,2000,3609,14391,404,878,3267,18111,1759,
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Escherichia/Shigella,16,13,24,7,28,30,9,16,78,12,9,18,161,80,306,9,11,41,
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Opitutales;f__Puniceicoccaceae;g__,0,14,0,0,33,26,2,0,0,0,0,12,26,2280,0,1892,8,0,
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia,26,10,10,5,40,12,5,4,5,0,45,0,23,120,229,13,46,25,
