#OTU ID,Mouse5A.DTT29,Mouse5A.FP28,Mouse6A.DTT35,Mouse1B.DTT18,Mouse3A.FP16,Mouse7A.FP40,Mouse1A.FP05,Mouse3A.FP17,Mouse2A.FP11,Mouse3A.FP18,Mouse5A.DTT30,Mouse5A.DTT28,Mouse4A.FP22,Mouse4A.FP23,Mouse6A.FP35,Mouse7A.DTT41,Mouse4A.DTT22,Mouse1A.FP06,Mouse7A.DTT42,Mouse1B.DTT16,Mouse1A.FP04,Mouse2A.FP12,Mouse2A.FP10,Mouse7A.FP42,Mouse7A.FP41,Mouse6A.DTT34,Mouse5A.FP29,Mouse6A.FP34,Mouse6A.FP36,Mouse5A.FP30,Mouse4A.FP24,Mouse4A.DTT24,Mouse1B.DTT17,Mouse6A.DTT36,Mouse4A.DTT23,Mouse7A.DTT40,Mouse9A.DTT100,Mouse9A.DTT101,Mouse8A.DTT90,Mouse10A.DTT113,Mouse9A.DTT102,Mouse10A.DTT112,Mouse10A.DTT114,Mouse10A.FP113,Mouse9A.FP102,Mouse9A.FP101,Mouse10A.FP112,Mouse8A.FP90,Mouse10A.FP114,Mouse8A.DTT88,Mouse8A.DTT89,Mouse8A.FP89,Mouse9A.FP100,Mouse8A.FP88,taxonomy
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium,225,1234,63,113,74,565,16,3,418,1,113,24,12,6,300,294,8,6,192,181,27,66,207,204,223,3,633,8,118,337,1,61,19,113,36,64,274,336,345,0,178,0,168,18,1919,3098,0,12127,0,250,315,2280,1172,2776,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides,7,0,21,7,13,8,20,8,0,23,0,8,0,0,49,0,0,0,15,14,0,0,0,0,0,3,82,2,2,0,0,9,26,0,0,11,11,11,37,3,18,18,32,5,24,10,65,4,6,0,23,36,5,7,
k__Bacteria;p__Cyanobacteria;c__Melainabacteria;o__Gastranaerophilales;f__;g__,0,0,0,6,4,0,7,17,0,9,0,7,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,3,0,0,11,0,0,3,0,2,2,0,0,10,17,2,4,2,30,0,0,0,0,2,0,0,
k__Bacteria;p__Cyanobacteria;c__Oxyphotobacteria;o__Chloroplast;f__;g__,0,21,14,0,29,69,0,2904,68,5198,0,0,9,33,765,3,11,0,0,2,163,104,17,204,67,0,0,34,108,107,12,0,0,0,2,0,0,0,0,0,0,0,23,712,4664,99,0,9,2347,0,14,0,47,65,
k__Bacteria;p__Deferribacteres;c__Deferribacteres;o__Deferribacterales;f__Deferribacteraceae;g__Mucispirillum,10,0,48,325,8,130,0,43,16,58,17,1072,7,0,45,9,10,0,110,191,0,53,24,20,34,40,517,15,6,17,0,68,564,39,37,195,51,29,66,20,16,162,935,1,8,12,572,2,159,113,10,135,6,7,
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__,36,0,482,0,0,0,0,0,0,0,37,59,0,0,0,66,43,0,539,0,0,0,0,0,0,80,0,0,0,0,0,438,0,80,147,198,7,14,44,22,10,22,363,0,0,0,0,0,0,17,28,0,0,0,
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus,5,8,2,0,0,0,5,4,5,6,3,5,3,4,6,0,3,5,0,0,6,6,0,0,2,3,3,0,3,8,4,11,0,0,0,0,9,0,18,0,0,0,4,4,0,0,0,9,4,0,16,0,3,0,
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus,3133,10553,1250,5863,8902,6217,17353,16083,5088,14554,1584,2407,35126,36731,4953,3084,6923,15975,1698,3949,20546,2524,2562,4210,7059,591,1762,3419,3134,4990,25974,9303,7588,3199,22098,2885,1269,1648,1593,9830,399,8303,8829,42413,221,1608,25374,1267,23863,1659,218,196,331,1487,
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus,0,5,0,9,0,0,0,3,0,5,2,2,0,0,0,0,0,0,0,0,4,0,3,2,2,0,0,0,0,2,0,2,7,0,3,0,0,6,21,0,0,0,0,0,0,8,0,0,0,15,12,0,0,0,
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus,20,29,0,92,33,39,13,283,40,423,12,8,36,65,43,27,25,47,23,16,25,25,20,20,42,6,0,34,25,37,21,16,141,19,46,68,45,30,16,64,59,84,13,451,158,166,83,48,242,71,2,7,87,60,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__,0,0,0,6,3,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20,0,0,0,0,9,0,5,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiales_vadinBB60_group;g__,0,0,0,5,0,2,0,2,0,5,0,2,0,0,2,0,0,0,0,2,0,5,0,0,3,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Family_XIII;g__,0,0,0,0,3,5,5,0,0,2,0,8,0,0,4,0,0,3,5,0,0,0,0,8,8,0,26,7,0,0,0,0,12,0,0,0,0,5,7,2,15,6,10,4,75,21,25,7,13,3,0,9,0,3,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Family_XIII;g__Family_XIII_AD3011_group,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Family_XIII;g__Family_XIII_UCG-001,0,0,0,13,3,5,0,0,0,4,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,12,0,0,4,0,0,8,0,0,3,18,5,14,0,34,0,5,0,0,14,4,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__,89,14,98,375,76,285,251,104,53,178,155,892,0,0,251,75,2,75,275,150,77,53,25,128,79,13,853,96,50,79,21,888,442,73,154,504,278,453,462,120,887,674,1312,279,1893,794,2040,295,271,86,88,390,275,39,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__A2,7,0,14,8,7,4,0,3,4,5,16,22,0,0,0,15,0,0,1,10,0,3,0,4,0,0,13,0,0,6,0,33,14,5,12,8,499,174,828,3,164,6,38,0,962,46,55,3,3,42,91,174,29,2,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__ASF356,0,0,7,4,0,4,0,0,0,2,0,14,0,0,3,0,0,0,0,2,0,0,0,0,0,0,18,2,0,0,0,5,2,2,0,15,1,0,3,1,0,0,5,1,0,1,56,0,4,1,1,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Acetatifactor,13,9,4,24,13,28,16,20,0,20,12,42,0,0,25,0,0,13,27,6,8,4,9,10,0,0,24,4,0,7,0,24,21,0,6,48,14,14,23,7,11,67,125,10,45,33,158,2,17,5,6,48,7,4,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__GCA-900066575,0,0,0,8,3,5,0,3,0,3,0,11,0,0,5,0,0,0,3,0,3,0,0,0,0,0,16,0,0,0,0,9,16,2,0,3,3,0,24,0,0,3,5,0,6,0,45,0,0,4,0,13,3,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnoclostridium,28,51,49,84,28,200,596,48,120,49,84,143,0,2,233,57,0,877,89,33,136,50,82,264,130,28,482,317,226,155,16,113,88,53,16,37,104,285,542,182,214,101,180,65,463,220,866,29,219,61,106,129,55,33,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_FCS020_group,0,0,0,7,0,17,6,0,0,8,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,8,5,0,11,15,1,3,15,5,0,18,37,1,15,8,82,4,8,0,4,28,1,1,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_NK4A136_group,42,16,27,538,94,408,72,231,20,321,50,414,0,0,112,10,7,20,125,195,103,43,41,49,73,5,201,36,30,34,2,128,593,9,24,161,38,20,361,26,69,210,343,243,428,369,2365,73,119,88,72,934,83,58,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-001,71,8,48,226,18,125,100,48,26,29,48,56,0,0,51,13,0,42,122,118,85,19,25,18,13,5,15,19,14,32,0,42,783,24,26,449,54,64,301,9,50,28,124,7,315,332,87,148,18,144,51,2374,143,164,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-004,0,0,0,6,0,0,3,0,0,0,0,6,0,0,3,0,0,0,0,3,0,0,0,0,0,0,17,0,0,0,0,6,6,0,0,0,0,0,6,0,0,3,15,0,5,8,9,0,0,0,4,5,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-006,10,20,20,17,34,69,227,20,45,26,14,26,0,9,82,33,0,71,31,15,44,26,31,98,81,9,30,121,86,55,43,69,25,29,14,6,55,81,58,90,90,47,57,132,267,149,294,38,197,15,32,42,34,14,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-010,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,3,0,0,0,0,2,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Marvinbryantia,0,0,0,0,0,0,4,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,11,0,4,0,4,0,7,0,0,4,4,3,26,0,16,3,7,0,6,4,18,2,0,2,5,4,1,3,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia,30,0,30,254,90,115,0,66,8,55,18,280,0,0,20,9,5,0,47,50,0,12,13,13,23,0,111,25,0,19,6,85,357,0,16,120,14,28,124,52,29,188,528,49,63,51,1329,5,225,21,7,292,25,12,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Tyzzerella,0,0,3,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,2,3,3,7,0,2,2,0,3,1,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae;g__,8,0,0,11,18,0,0,9,0,9,11,39,0,0,0,0,0,0,0,7,0,0,0,0,0,0,213,9,0,11,0,44,18,0,16,0,1,0,6,0,0,17,50,4,2,0,182,1,12,4,1,28,1,1,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__,4,0,3,31,15,10,6,11,2,21,2,4,0,0,14,0,0,0,13,9,0,0,6,0,2,0,210,2,0,0,0,2,37,2,5,18,0,0,2,26,0,23,57,51,12,7,303,0,47,2,0,8,2,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Anaerotruncus,0,0,0,0,0,0,0,2,0,4,0,3,0,0,0,0,0,0,0,3,0,2,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,37,0,0,0,0,3,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Angelakisella,0,0,0,4,0,2,0,2,0,8,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,2,0,0,0,0,0,0,11,0,0,0,0,0,8,7,0,0,0,0,0,21,5,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Butyricicoccus,0,0,5,15,8,8,28,8,18,36,13,29,0,0,45,4,0,2,24,0,4,6,5,12,5,0,31,21,14,9,4,36,17,4,12,13,11,4,17,3,1,6,12,4,70,12,153,29,27,2,8,111,18,11,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Flavonifractor,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__GCA-900066225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,0,6,0,10,0,2,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Harryflintia,0,0,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,5,3,3,0,0,11,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Hydrogenoanaerobacterium,3,0,0,30,0,13,3,17,5,19,4,23,0,0,4,0,0,0,0,4,0,4,3,3,3,0,4,4,0,3,0,0,13,0,0,9,3,2,5,0,2,16,61,0,2,0,41,0,11,0,0,11,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Intestinimonas,8,0,24,37,17,37,11,25,0,30,9,75,0,0,15,3,0,0,33,18,0,0,0,4,3,0,629,6,0,0,0,19,44,3,8,47,8,2,23,9,0,53,375,11,40,22,842,9,52,3,8,79,8,5,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillibacter,16,0,17,141,18,24,3,51,7,60,9,200,0,0,12,0,2,0,35,26,7,14,9,5,4,0,76,9,3,0,0,49,96,0,15,18,3,5,47,14,24,59,149,3,16,22,269,3,20,26,6,190,30,14,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Phocea,0,0,0,5,0,0,6,9,6,9,3,3,0,0,4,0,0,0,3,0,0,0,4,3,0,0,13,4,0,3,0,2,17,0,0,5,0,0,2,0,0,9,11,0,3,3,27,3,10,0,0,13,4,2,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminiclostridium,9,0,10,34,0,26,0,11,0,10,11,85,0,0,3,0,0,0,45,3,0,0,0,0,0,0,58,0,0,0,0,10,52,6,5,37,2,0,20,4,3,58,67,10,9,7,281,4,21,4,3,44,5,4,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminiclostridium_5,12,0,16,102,30,44,63,42,32,77,17,64,0,0,51,18,0,11,29,19,17,26,18,15,22,7,539,9,0,23,0,43,60,11,0,41,10,26,43,12,54,159,195,32,522,73,432,14,65,11,11,75,28,12,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminiclostridium_6,0,0,0,5,0,26,0,15,0,25,0,0,0,0,10,0,0,0,5,0,5,6,4,0,0,0,9,4,0,0,0,0,0,0,0,9,0,0,0,0,0,10,13,0,0,2,92,0,10,0,0,7,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminiclostridium_9,4,0,0,86,27,86,18,39,3,126,11,29,0,0,11,0,0,9,19,12,11,6,4,3,9,0,258,5,0,5,0,29,50,3,8,23,14,3,29,4,8,62,102,15,72,16,307,4,30,6,8,176,10,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_NK4A214_group,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-003,5,0,9,46,0,52,5,0,3,19,0,14,0,0,8,0,0,0,21,0,0,0,0,4,9,6,14,5,0,0,0,0,13,6,3,18,3,0,27,7,0,12,49,3,3,9,61,0,6,2,3,21,2,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-009,3,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,8,0,0,10,0,2,4,12,1,0,0,5,0,0,0,0,7,1,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-010,0,0,10,0,0,2,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,11,0,0,0,12,4,5,0,2,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-014,2,0,0,0,0,0,4,9,8,4,0,3,0,0,19,0,3,0,0,0,0,3,11,0,0,0,170,10,0,9,0,0,4,0,0,0,1,1,37,0,3,6,9,1,83,9,17,50,11,4,11,27,2,20,
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Dubosiella,439,187,21,3,28,4958,0,1,1440,1,1938,220,99,17,25,183,89,0,894,96,1,289,1031,154,1451,3,18952,5,130,690,36,1295,2,37,120,18,0,12,730,0,11,0,0,0,17,0,0,6516,0,420,844,2750,27,2514,
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalibaculum,443,433,362,46,494,3073,403,136,418,22,718,157,9,8,713,846,18,61,2007,287,177,21,204,622,1406,27,724,211,1346,376,3,51,46,733,14,175,124,45,1085,35,139,56,225,102,128,144,65,7096,39,396,710,2824,365,2865,
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__,0,131,15,0,26,373,0,4623,150,6836,0,2,22,58,736,0,11,1,0,3,458,187,38,611,63,0,0,70,235,205,10,0,0,0,0,0,0,0,0,0,0,0,11,649,2686,327,0,58,3736,0,0,33,131,138,
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__,0,3,11,33,0,8,0,8,26,15,6,9,0,0,62,10,0,0,0,6,5,23,28,5,4,8,75,44,25,18,9,21,7,12,9,4,31,230,5,3,278,5,4,1,761,1193,15,8,4,30,9,38,73,36,
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila,28,26,84,101,20,46,65,23,24,42,68,50,0,0,438,31,4,53,44,26,35,23,24,58,25,47,80,173,231,98,17,31,34,88,6,24,104,431,21,16,331,136,41,30,1831,1128,98,16,112,45,32,166,133,101,
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio,20,36,51,113,61,313,28,27,1942,28,21,57,35,40,140,205,28,35,224,47,18,927,1220,1661,813,9,193,79,137,81,280,138,47,52,67,107,582,136,10,51,77,81,75,4138,7653,3049,919,46,534,19,61,105,6556,66,
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__Parasutterella,2732,1032,1629,249,3491,788,710,500,2628,293,1567,2469,265,100,3625,2235,737,1399,1642,2844,459,2319,3220,3078,776,984,3086,2635,1853,3093,511,2000,366,3609,921,2064,4691,1065,14391,2540,404,4251,878,1054,3267,3867,2528,18111,1759,5514,13648,17620,5282,11039,
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Escherichia/Shigella,8,15,13,16,8,14,18,21,85,13,24,56,7,13,53,9,10,7,28,3,8,30,12,9,6,13,16,28,16,78,12,9,3,18,27,16,38,37,161,32,80,43,306,8,9,5,4,11,41,30,65,7,5,6,
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Opitutales;f__Puniceicoccaceae;g__,0,0,12,0,0,0,0,0,0,14,0,0,0,0,2,14,0,0,33,41,0,26,7,2,0,8,0,0,0,0,0,0,0,12,0,6,4565,3768,26,0,2280,0,0,0,1892,2126,0,8,0,1,4,3,1,1,
