#OTU ID,Mouse5A.DTT29,Mouse6A.DTT35,Mouse1B.DTT15,Mouse1B.DTT18,Mouse5A.DTT27,Mouse4A.DTT19,Mouse5A.DTT30,Mouse5A.DTT28,Mouse7A.DTT38,Mouse7A.DTT41,Mouse4A.DTT22,Mouse6A.DTT31,Mouse7A.DTT42,Mouse1B.DTT16,Mouse1B.DTT14,Mouse1B.DTT13,Mouse6A.DTT34,Mouse5A.DTT26,Mouse4A.DTT21,Mouse4A.DTT24,Mouse1B.DTT17,Mouse5A.DTT25,Mouse7A.DTT39,Mouse4A.DTT20,Mouse6A.DTT32,Mouse6A.DTT33,Mouse6A.DTT36,Mouse4A.DTT23,Mouse7A.DTT37,Mouse7A.DTT40,Mouse9A.DTT98,Mouse10A.DTT109,Mouse9A.DTT100,Mouse9A.DTT101,Mouse10A.DTT110,Mouse9A.DTT99,Mouse9A.DTT97,Mouse8A.DTT90,Mouse10A.DTT111,Mouse10A.DTT113,Mouse9A.DTT102,Mouse10A.DTT112,Mouse10A.DTT114,Mouse8A.DTT85,Mouse8A.DTT86,Mouse8A.DTT88,Mouse8A.DTT89,Mouse8A.DTT87,taxonomy
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium,225,63,45,113,24,3,113,24,33,294,8,50,192,181,136,75,3,40,13,61,19,2,210,10,23,31,113,36,121,64,90,148,274,336,0,179,91,345,10,0,178,0,168,102,45,250,315,40,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Family_XIII;g__Family_XIII_AD3011_group,0,0,6,0,11,5,0,6,0,0,0,3,0,0,4,3,0,5,6,0,0,3,4,0,0,0,0,0,0,0,5,0,0,0,2,11,2,0,4,0,0,0,0,2,0,0,0,5,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Family_XIII;g__Family_XIII_UCG-001,0,0,26,13,44,32,0,13,43,0,0,34,0,0,40,31,0,30,61,0,12,45,59,70,11,26,0,0,9,4,246,19,0,0,4,49,6,8,12,0,0,3,18,27,9,0,0,17,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__,89,98,1455,375,2268,2607,155,892,1889,75,2,1810,275,150,1893,1183,13,1678,2071,888,442,1745,2282,2119,1045,835,73,154,652,504,6732,1094,278,453,1438,2790,2356,462,1803,120,887,674,1312,2126,790,86,88,545,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__A2,7,14,31,8,32,15,16,22,19,15,0,35,1,10,77,18,0,24,38,33,14,27,17,44,29,11,5,12,6,8,821,124,499,174,3,32,148,828,2,3,164,6,38,13,53,42,91,13,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__ASF356,0,7,15,4,11,12,0,14,59,0,0,31,0,2,11,15,0,7,17,5,2,19,48,33,33,14,2,0,22,15,36,45,1,0,2,8,28,3,2,1,0,0,5,3,0,1,1,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Acetatifactor,13,4,193,24,270,189,12,42,228,0,0,190,27,6,376,246,0,187,95,24,21,181,280,120,194,131,0,6,85,48,454,91,14,14,76,168,211,23,222,7,11,67,125,181,129,5,6,85,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__GCA-900066575,0,0,45,8,36,37,0,11,20,0,0,37,3,0,56,12,0,25,12,9,16,22,28,19,11,7,2,0,13,3,160,20,3,0,19,46,65,24,48,0,0,3,5,49,37,4,0,30,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnoclostridium,28,49,251,84,299,200,84,143,284,57,0,302,89,33,383,209,28,241,144,113,88,278,275,229,247,196,53,16,73,37,1132,158,104,285,136,372,294,542,158,182,214,101,180,155,54,61,106,63,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_FCS020_group,0,0,87,7,160,57,0,22,63,0,0,11,0,0,98,35,0,87,26,8,5,121,110,17,17,38,0,11,6,15,124,26,1,3,28,17,39,15,23,5,0,18,37,58,34,0,4,6,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_NK4A136_group,42,27,2140,538,942,1485,50,414,2009,10,7,2232,125,195,3445,1367,5,935,958,128,593,1288,1233,1455,2168,787,9,24,351,161,8167,1138,38,20,630,2847,4482,361,1154,26,69,210,343,4125,3632,88,72,5720,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-001,71,48,2347,226,833,162,48,56,4976,13,0,3415,122,118,1564,1495,5,809,126,42,783,8854,2415,879,5445,3354,24,26,415,449,17254,488,54,64,65,12664,2605,301,26,9,50,28,124,1589,2461,144,51,1852,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-004,0,0,19,6,0,9,0,6,5,0,0,40,0,3,36,14,0,7,5,6,6,7,12,12,12,10,0,0,6,0,61,6,0,0,5,31,11,6,6,0,0,3,15,30,28,0,4,12,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-006,10,20,62,17,91,76,14,26,123,33,0,144,31,15,80,72,9,72,102,69,25,77,109,142,67,81,29,14,48,6,189,44,55,81,21,40,47,58,27,90,90,47,57,140,63,15,32,51,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-010,0,0,7,0,7,5,0,3,0,0,0,6,0,4,0,0,0,6,15,0,0,6,7,15,0,0,0,0,0,0,51,0,0,0,12,6,26,6,10,4,0,0,0,6,11,0,0,14,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Marvinbryantia,0,0,5,0,0,3,0,0,0,0,0,11,0,0,0,4,0,0,0,0,7,0,7,0,0,8,0,0,0,4,0,9,4,3,2,3,7,26,6,0,16,3,7,6,2,2,5,2,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia,30,30,881,254,263,732,18,280,536,9,5,1015,47,50,1089,437,0,454,693,85,357,489,950,1419,633,422,0,16,134,120,1515,205,14,28,134,503,823,124,168,52,29,188,528,846,680,21,7,302,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Tyzzerella,0,3,18,0,31,0,0,0,11,0,0,24,0,0,34,9,0,13,0,0,0,19,10,1,6,18,0,0,6,4,103,5,0,0,5,26,46,2,9,0,0,0,0,10,22,2,0,41,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae;g__,8,0,214,11,232,306,11,39,58,0,0,5,0,7,360,112,0,189,442,44,18,231,17,499,10,0,0,16,4,0,2269,53,1,0,82,278,788,6,101,0,0,17,50,40,15,4,1,15,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__,4,3,180,31,178,73,2,4,102,0,0,193,13,9,189,56,0,121,83,2,37,94,164,79,265,643,2,5,40,18,146,174,0,0,244,37,164,2,295,26,0,23,57,167,51,2,0,37,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Anaerotruncus,0,0,38,0,15,10,0,3,11,0,0,58,0,3,51,18,0,14,6,0,0,10,15,16,30,41,0,0,0,0,55,1,0,0,12,17,28,0,9,3,0,0,5,27,7,0,0,11,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Angelakisella,0,0,17,4,14,19,0,3,5,0,0,18,0,0,22,18,0,5,13,2,0,3,6,16,11,5,0,0,7,0,618,20,0,0,0,122,18,11,0,0,0,0,0,188,71,0,0,74,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Butyricicoccus,0,5,147,15,108,94,13,29,74,4,0,123,24,0,246,163,0,40,45,36,17,94,80,108,63,105,4,12,15,13,240,42,11,4,24,98,144,17,38,3,1,6,12,200,186,2,8,163,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Flavonifractor,0,0,0,0,5,3,0,0,4,0,0,0,0,0,4,0,0,7,3,0,0,0,10,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,3,0,0,0,0,15,6,0,0,1,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__GCA-900066225,0,0,3,0,0,3,0,0,7,0,0,12,0,0,10,6,0,0,3,0,0,0,9,5,3,3,0,0,3,2,102,13,0,2,4,25,16,0,3,0,0,2,0,14,7,0,0,8,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Harryflintia,0,0,10,0,32,62,0,9,15,0,0,33,0,0,26,26,0,23,43,0,0,28,32,70,12,0,0,0,5,0,95,2,0,0,3,51,39,2,8,0,0,2,0,49,18,0,0,14,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Hydrogenoanaerobacterium,3,0,119,30,139,273,4,23,200,0,0,29,0,4,300,38,0,45,250,0,13,96,194,240,113,50,0,0,32,9,394,158,3,2,331,131,111,5,385,0,2,16,61,32,40,0,0,78,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Intestinimonas,8,24,386,37,1159,609,9,75,413,3,0,449,33,18,721,384,0,501,666,19,44,674,573,806,363,539,3,8,169,47,1475,175,8,2,416,447,389,23,720,9,0,53,375,835,703,3,8,947,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillibacter,16,17,455,141,340,571,9,200,242,0,2,410,35,26,951,373,0,277,528,49,96,312,291,1325,221,200,0,15,86,18,4969,172,3,5,113,841,978,47,309,14,24,59,149,607,1615,26,6,1121,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Phocea,0,0,49,5,70,59,3,3,111,0,0,122,3,0,111,34,0,34,60,2,17,59,85,60,51,57,0,0,20,5,326,107,0,0,30,98,89,2,31,0,0,9,11,39,55,0,0,46,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminiclostridium,9,10,244,34,324,202,11,85,250,0,0,381,45,3,407,121,0,217,137,10,52,194,299,212,220,173,6,5,71,37,486,109,2,0,122,121,364,20,286,4,3,58,67,397,205,4,3,93,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminiclostridium_5,12,16,169,102,348,191,17,64,340,18,0,181,29,19,209,171,7,263,283,43,60,250,417,219,184,202,11,0,94,41,802,130,10,26,241,312,595,43,447,12,54,159,195,515,239,11,11,238,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminiclostridium_6,0,0,13,5,9,32,0,0,23,0,0,39,5,0,9,9,0,0,19,0,0,8,35,36,47,25,0,0,13,9,24,16,0,0,51,10,15,0,64,0,0,10,13,20,15,0,0,11,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminiclostridium_9,4,0,296,86,277,325,11,29,204,0,0,354,19,12,599,255,0,214,225,29,50,151,406,267,301,296,3,8,91,23,1420,182,14,3,228,500,368,29,319,4,8,62,102,359,703,6,8,568,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_NK4A214_group,0,0,0,0,5,4,0,0,0,0,0,3,0,0,4,0,0,3,0,0,0,0,11,10,0,0,0,0,0,0,24,8,0,0,4,3,15,2,7,0,0,0,0,0,7,0,0,11,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-003,5,9,56,46,99,18,0,14,150,0,0,391,21,0,147,36,6,84,17,0,13,60,205,31,188,148,6,3,27,18,1272,31,3,0,20,308,295,27,62,7,0,12,49,161,127,2,3,98,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-005,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,49,0,0,0,0,17,28,0,0,0,0,0,0,2,15,0,0,1,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-009,3,0,20,0,63,19,0,10,32,0,0,16,0,0,31,4,0,35,23,0,6,22,68,28,15,11,0,0,4,8,109,5,0,0,22,23,20,10,16,0,2,4,12,29,26,0,0,11,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-010,0,10,4,0,3,4,0,0,6,0,0,4,0,0,9,14,0,6,2,2,2,0,9,3,3,0,0,0,34,0,13,10,0,0,8,3,11,0,9,0,11,0,0,4,3,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-013,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,2,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-014,2,0,8,0,23,20,0,3,13,0,3,35,0,0,12,10,0,37,6,0,4,25,12,9,17,24,0,0,18,0,36,20,1,1,15,22,22,37,25,0,3,6,9,86,86,4,11,47,
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Dubosiella,439,21,1,3,26,57,1938,220,128,183,89,573,894,96,45,2,3,148,65,1295,2,12,649,59,96,123,37,120,836,18,0,15,0,12,0,0,9,730,0,0,11,0,0,110,101,420,844,82,
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalibaculum,443,362,49,46,56,11,718,157,438,846,18,1091,2007,287,178,32,27,192,10,51,46,23,966,22,399,649,733,14,1399,175,92,649,124,45,24,31,80,1085,20,35,139,56,225,155,174,396,710,62,
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__,0,15,0,0,2,0,0,2,0,0,11,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,31,0,0,0,11,0,0,0,0,0,
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__,0,11,98,33,18,42,6,9,7,10,0,61,0,6,77,31,8,20,49,21,7,14,69,32,44,88,12,9,0,4,206,25,31,230,14,94,113,5,22,3,278,5,4,142,113,30,9,95,
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila,28,84,386,101,254,29,68,50,69,31,4,611,44,26,300,182,47,99,50,31,34,92,276,35,375,668,88,6,16,24,370,63,104,431,43,150,139,21,91,16,331,136,41,341,120,45,32,247,
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio,20,51,91,113,38,41,21,57,94,205,28,113,224,47,170,58,9,37,26,138,47,18,155,48,49,69,52,67,23,107,311,46,582,136,15,194,101,10,38,51,77,81,75,182,45,19,61,73,
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__Parasutterella,2732,1629,499,249,525,430,1567,2469,426,2235,737,614,1642,2844,295,562,984,891,140,2000,366,212,748,134,212,200,3609,921,1214,2064,387,454,4691,1065,588,309,308,14391,443,2540,404,4251,878,759,775,5514,13648,352,
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Escherichia/Shigella,8,13,9,16,26,13,24,56,13,9,10,13,28,3,9,22,13,27,11,9,3,8,43,13,47,22,18,27,27,16,87,608,38,37,4,50,103,161,2,32,80,43,306,86,45,30,65,11,
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Opitutales;f__Puniceicoccaceae;g__,0,12,0,0,0,0,0,0,8,14,0,42,33,41,21,21,8,0,0,0,0,0,16,0,15,7,12,0,0,6,90,9,4565,3768,0,60,203,26,0,0,2280,0,0,59,89,1,4,90,
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia,5,9,9,26,11,7,10,3,8,4,0,213,40,7,115,351,3,4,7,45,12,10,9,10,12,30,0,9,43,7,80,779,27,5,8,12,105,23,0,13,120,20,229,157,13,18,15,4,
