#OTU ID,Mouse5A.FP28,Mouse3A.FP16,Mouse5A.FP26,Mouse7A.FP40,Mouse1A.FP05,Mouse6A.FP32,Mouse3A.FP17,Mouse7A.FP38,Mouse1A.FP02,Mouse2A.FP11,Mouse3A.FP18,Mouse6A.FP31,Mouse4A.FP22,Mouse1A.FP03,Mouse4A.FP23,Mouse1A.FP01,Mouse6A.FP35,Mouse2A.FP07,Mouse3A.FP13,Mouse1A.FP06,Mouse1A.FP04,Mouse2A.FP12,Mouse2A.FP10,Mouse7A.FP42,Mouse7A.FP41,Mouse3A.FP15,Mouse4A.FP20,Mouse5A.FP29,Mouse6A.FP34,Mouse6A.FP36,Mouse2A.FP09,Mouse5A.FP25,Mouse5A.FP30,Mouse7A.FP39,Mouse4A.FP24,Mouse3A.FP14,Mouse4A.FP21,Mouse2A.FP08,Mouse7A.FP37,Mouse6A.FP33,Mouse4A.FP19,Mouse5A.FP27,Mouse10A.FP110,Mouse10A.FP109,Mouse10A.FP111,Mouse9A.FP97,Mouse9A.FP98,Mouse8A.FP87,Mouse8A.FP85,Mouse10A.FP113,Mouse9A.FP102,Mouse9A.FP101,Mouse10A.FP112,Mouse8A.FP90,Mouse10A.FP114,Mouse8A.FP86,Mouse9A.FP99,Mouse8A.FP89,Mouse9A.FP100,Mouse8A.FP88,taxonomy
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Family_XIII;g__,0,3,14,5,5,31,0,12,28,0,2,22,0,0,0,13,4,16,27,3,0,0,0,8,8,32,21,26,7,0,60,17,0,22,0,24,27,17,9,49,17,0,12,31,27,119,31,21,41,4,75,21,25,7,13,50,25,9,0,3,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Family_XIII;g__Family_XIII_AD3011_group,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,6,0,2,0,0,0,3,0,0,0,5,3,3,0,5,0,0,4,14,0,11,5,0,5,0,0,0,0,0,0,6,3,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Family_XIII;g__Family_XIII_UCG-001,0,3,25,5,0,10,0,34,48,0,4,24,0,0,0,28,0,15,22,0,0,0,0,0,0,37,45,14,0,0,61,0,0,23,0,20,35,19,8,37,39,0,5,4,26,10,19,56,31,5,14,0,34,0,5,50,66,14,4,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__,14,76,820,285,251,1053,104,1349,2232,53,178,644,0,973,0,2346,251,756,662,75,77,53,25,128,79,748,2974,853,96,50,1673,112,79,1536,21,570,4114,1091,316,1099,2865,6,517,736,1531,2249,1881,1658,1313,279,1893,794,2040,295,271,1105,4879,390,275,39,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__A2,0,7,12,4,0,39,3,50,48,4,5,31,0,0,0,55,0,41,67,0,0,3,0,4,0,42,50,13,0,0,78,3,6,39,0,33,78,79,11,8,58,0,5,2,56,15,31,1023,662,0,962,46,55,3,3,355,2585,174,29,2,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__ASF356,0,0,12,4,0,29,0,46,303,0,2,8,0,76,0,294,3,4,7,0,0,0,0,0,0,5,13,18,2,0,0,10,0,27,0,5,9,8,10,3,5,0,54,11,6,12,6,0,0,1,0,1,56,0,4,1,26,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Acetatifactor,9,13,20,28,16,241,20,284,646,0,20,219,0,142,0,867,25,114,135,13,8,4,9,10,0,91,194,24,4,0,165,0,7,290,0,85,141,191,54,241,158,0,87,97,190,319,204,163,129,10,45,33,158,2,17,304,344,48,7,4,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__GCA-900066575,0,3,15,5,0,21,3,24,66,0,3,17,0,0,0,69,5,30,42,0,3,0,0,0,0,23,26,16,0,0,121,5,0,58,0,19,63,32,8,38,52,0,11,61,20,45,28,57,57,0,6,0,45,0,0,88,41,13,3,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnoclostridium,51,28,356,200,596,457,48,344,888,120,49,177,0,963,2,536,233,145,115,877,136,50,82,264,130,239,222,482,317,226,410,73,155,661,16,156,420,185,82,832,266,84,43,58,322,302,228,611,146,65,463,220,866,29,219,183,877,129,55,33,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_FCS020_group,0,0,4,17,6,68,0,121,108,0,8,32,0,0,0,60,0,7,33,0,0,0,0,0,0,12,158,4,0,0,40,0,0,79,0,18,191,84,22,67,109,0,10,30,42,15,9,63,41,1,15,8,82,4,8,25,107,28,1,1,
