#OTU ID,TL1a_DTT_173_Repeat,TL1a_DTT_76_Repeat,TL1a_FP_65,TL1a_FP_64,TL1a_DTT_172_Re_extracted,TL1a_FP_209,TL1a_FP_77,TL1a_FP_245,TL1a_FP_76,TL1a_FP_102,TL1a_FP_173,TL1a_FP_174,TL1a_FP_144,TL1a_FP_142,TL1a_DTT_245_Repeat,TL1a_FP_172,TL1a_FP_66,TL1a_FP_143,TL1a_FP_100,TL1a_FP_246,TL1a_FP_78,TL1a_FP_210,TL1a_FP_208,TL1a_DTT_244_Repeat,TL1a_FP_101,TL1a_FP_244,TL1a_DTT_142_Repeat,TL1a_DTT_78,TL1a_DTT_209,TL1a_DTT_210,TL1a_DTT_64,TL1a_DTT_65,TL1a_DTT_246,TL1a_DTT_66,TL1a_DTT_77,TL1a_DTT_208,TL1A_DTT_642,TL1A_FP_641,TL1A_FP_689,TL1A_FP_640,TL1A_DTT_640,TL1A_FP_688,TL1A_DTT_641,TL1A_DTT_689,taxonomy
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium,0,0,0,0,36,0,0,106,0,0,29,4,3,4,0,0,0,3,0,26,0,9,0,0,0,3,0,0,0,0,0,0,0,0,0,10,0,6,0,0,0,6,0,0,
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus,18,82,2,0,531,13,7,657,28,51,1563,3098,12,175,41,1065,4,160,144,240,15,1167,104,68,22,139,379,0,0,5,0,0,78,0,0,1975,38,69,0,10,16,22,6,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__,0,0,0,0,0,0,0,28,22,27,50,17,0,24,0,4,4,47,0,0,0,9,0,0,13,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae;g__,0,36,29,6,0,0,6,3,0,43,2,12,24,4,0,0,19,39,5,10,37,2,0,34,46,18,0,0,5,0,39,19,52,10,16,11,10,0,7,5,10,0,7,4,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae_1;g__Candidatus_Arthromitus,781,3355,3,5,29,1,4,290,4,7,21,13,8,7,694,40,8,8,700,80,7,7,4,120,4,12,13603,0,3,0,4,0,32,25,6,57,0,0,0,0,0,0,0,10,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae_1;g__Clostridium_sensu_stricto_1,0,0,0,0,54,1,20,0,88,0,34,23,0,28,0,16,1,12,16,12,6,13,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,13,0,6,4,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiales_vadinBB60_group;g__,0,0,0,0,17,4,52,444,189,1192,161,68,6,391,38,87,205,219,1261,109,6,105,0,4,2316,5,72,0,0,0,0,0,286,0,0,8,35,7,0,4,13,8,2,3,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae;g__Eubacterium,0,0,32,8,3,103,45,0,42,4,15,30,13,4,0,0,75,3,16,0,23,5,77,0,0,0,0,9,5,0,47,4,0,33,12,4,0,75,81,54,7,22,3,16,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Family_XIII;g__,0,6,68,25,40,0,16,118,36,23,71,87,33,11,7,51,21,26,42,30,45,13,0,0,4,18,0,24,4,0,0,9,11,2,9,0,11,16,8,18,13,24,9,2,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Family_XIII;g__Family_XIII_UCG-001,0,40,10,8,3,0,6,0,0,3,10,16,10,26,0,0,10,21,1,0,12,0,0,0,1,8,0,0,0,29,0,3,4,0,0,0,0,0,2,0,8,0,4,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__,399,549,1510,396,446,58,872,1597,1105,1154,1143,1258,906,3206,591,493,1314,2591,1284,698,2139,1133,129,308,1454,730,157,353,445,1197,1148,1124,1607,944,720,123,144,88,64,64,99,50,103,35,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Acetatifactor,0,0,0,0,206,2,2,346,5,11,289,32,2,59,21,77,1,67,97,199,0,43,0,19,3,15,0,0,0,0,0,0,25,0,0,31,60,13,7,11,44,14,35,7,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Anaerostipes,47,45,109,43,19,165,221,0,730,23,107,239,180,39,0,4,278,135,21,0,158,5,380,0,0,0,58,81,65,0,503,151,0,95,103,49,0,9,19,3,3,13,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia,441,1824,674,205,534,2664,2168,4215,2190,183,711,780,398,137,698,13,1237,258,284,2573,984,197,2439,520,6,2049,29,1374,814,392,4637,1777,879,2378,1293,460,27,131,234,160,23,173,25,25,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Cuneatibacter,0,0,14,0,0,0,10,3,5,5,0,0,5,0,0,0,16,0,0,7,14,0,0,0,0,0,0,0,0,0,0,22,4,4,13,0,5,2,3,3,3,0,2,5,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Eisenbergiella,28,0,0,0,94,49,7,67,0,10,20,52,46,12,97,0,0,48,10,92,0,8,71,93,0,154,0,0,320,2501,0,0,294,0,0,34,5,7,81,6,15,27,13,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__GCA-900066575,14,5,60,17,44,13,37,262,70,60,65,50,71,46,60,33,203,121,47,43,114,35,9,13,190,128,0,34,24,124,207,54,133,75,29,13,13,2,5,7,12,0,6,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Hungatella,0,35,212,36,0,0,40,0,11,7,0,0,0,0,55,0,144,0,8,0,46,0,0,0,0,0,0,53,0,0,70,106,0,145,71,0,3,0,1,5,7,0,8,3,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnoclostridium,452,486,1194,377,589,218,721,891,1297,829,519,926,2378,1727,1001,144,917,1970,958,666,2233,617,511,1219,573,1623,70,2192,1413,654,2567,3698,1754,4193,2268,299,141,174,123,303,169,65,108,68,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_FCS020_group,0,0,0,0,3,4,4,94,26,24,32,22,2,65,0,22,5,51,0,18,0,242,3,2,18,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,2,2,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_ND3007_group,34,0,0,0,55,268,0,19,24,0,34,38,23,16,2,0,0,24,0,33,0,21,50,0,0,17,7,0,148,44,0,0,9,0,0,22,0,2,30,0,0,6,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_NK4A136_group,52,128,141,46,313,64,914,2106,1059,29623,1372,1032,254,2516,745,678,8380,3393,7467,1387,122,1912,9,218,64055,271,213,41,23,155,131,22,2444,46,23,1144,2365,1464,979,649,2654,1921,1549,1929,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-001,0,73,0,0,24,0,0,121,0,0,145,73,0,0,0,189,0,0,23,10,0,0,0,16,0,5,25,0,0,0,0,0,0,0,0,28,12,0,0,0,8,0,5,2,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-004,0,0,1,0,6,3,3,168,3,33,96,61,1,62,25,53,10,70,59,74,0,91,0,9,31,3,0,0,0,0,0,0,36,0,0,0,2,0,0,3,2,0,0,3,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-006,0,0,0,0,13,1,9,29,10,11,15,9,0,113,0,11,3,56,27,14,0,26,0,0,5,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-010,0,0,0,0,3,0,0,0,0,3,5,0,0,14,0,0,0,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lactonifactor,0,0,27,0,11,9,13,47,4,0,0,0,7,0,0,0,0,0,0,14,10,0,6,0,0,15,0,0,4,0,8,0,0,0,0,1,0,4,12,3,0,3,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Marvinbryantia,8,56,10,6,1,7,19,170,26,4,10,11,6,0,64,0,7,5,5,127,16,0,18,55,0,88,0,0,43,37,632,55,271,57,62,16,0,0,3,4,4,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia,0,0,0,0,5,21,32,123,0,0,162,821,4,183,7,79,0,167,144,47,0,71,191,15,4,13,0,0,11137,60906,0,0,0,0,0,215,19,26,5,3,3,4,12,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Sellimonas,0,0,7,8,0,25,15,159,38,4,4,11,6,0,62,0,23,3,0,103,8,5,20,171,0,138,0,0,35,56,399,16,90,9,0,21,3,43,19,108,12,25,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Shuttleworthia,0,0,0,0,2,1,3,0,0,0,5,2,0,99,0,21,0,59,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Tyzzerella,78,62,58,46,117,7,92,100,245,87,79,114,97,144,30,13,59,159,151,48,389,51,15,34,18,126,0,87,47,210,449,89,132,70,86,36,22,15,75,5,25,19,17,17,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__UC5-1-2E3,16,14,98,12,4,0,12,0,0,0,0,11,17,0,30,0,61,7,25,2,5,0,0,23,0,8,0,0,1,0,0,7,86,0,11,0,6,0,4,0,7,4,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae;g__,0,0,0,0,11,2,11,12,17,42,30,34,0,49,0,5,4,60,20,0,0,106,0,0,46,3,0,0,0,0,0,0,11,0,0,4,0,5,0,0,0,0,3,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Romboutsia,136,0,0,0,297,7,4,7,187,19,0,3,31,12,94,19,0,18,128,9,0,0,35,492,0,0,319,0,23,75,0,0,39,0,0,122,0,5,55,0,9,7,8,4,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__,0,81,8,7,23,11,52,424,9,100,75,75,36,608,2,216,17,299,184,87,59,101,2,16,157,30,9,0,4,0,20,16,34,15,0,4,12,24,14,5,5,9,10,5,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Anaerotruncus,26,2,0,0,28,0,0,29,3,5,18,43,20,15,0,2,1,2,15,19,0,37,0,0,6,12,2,0,0,0,0,0,7,0,0,5,20,3,29,3,18,13,9,7,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Angelakisella,0,0,0,0,0,0,0,8,0,0,11,0,0,0,0,4,0,0,0,8,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Butyricicoccus,0,0,0,0,8,0,0,33,0,0,18,17,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium,53,0,0,0,279,5,14,95,28,31,44,406,2735,600,57,0,0,1696,464,467,38,9,19,29,1,190,0,0,47,311,0,0,377,0,0,41,24,22,110,0,11,37,33,11,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Flavonifractor,23,0,49,8,42,0,25,1,51,19,1,16,75,18,87,0,35,32,18,29,63,0,0,23,0,87,0,12,17,17,342,118,63,85,5,2,7,4,14,0,8,3,10,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__GCA-900066225,0,0,252,10,3,0,15,4,21,0,2,3,3,0,0,14,5,8,48,0,40,2,0,0,0,0,3,25,0,0,0,8,4,22,31,0,0,6,40,0,3,7,4,4,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Harryflintia,0,0,0,0,3,0,0,71,4,0,8,4,0,4,0,0,0,9,59,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Intestinimonas,0,0,0,0,23,8,6,136,13,87,116,72,5,165,56,30,18,46,148,34,0,125,0,0,142,3,0,0,0,0,0,0,75,0,0,12,10,0,0,0,3,4,7,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Negativibacillus,0,0,0,0,1,0,0,1,0,0,0,15,6,5,0,0,0,0,3,3,0,0,0,27,0,72,0,0,7,0,0,0,11,0,0,0,0,0,5,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillibacter,39,91,1,0,114,15,38,180,135,402,157,62,0,351,0,140,96,249,251,23,5,242,0,65,736,6,29,0,0,0,0,0,242,0,0,0,73,26,0,0,43,4,30,13,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminiclostridium,9,9,0,0,109,6,57,136,110,865,230,103,11,647,0,344,229,504,637,78,0,145,0,37,2071,4,0,0,0,0,0,0,298,0,0,29,30,8,0,0,22,7,32,2,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminiclostridium_5,7,0,30,20,42,41,39,281,168,123,168,169,37,167,0,65,87,149,262,105,50,104,31,86,149,117,0,21,27,0,84,73,58,22,139,7,34,4,8,24,16,0,22,2,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminiclostridium_9,0,0,0,0,251,9,50,880,46,570,425,414,6,517,47,237,183,297,340,243,2,421,0,0,1197,6,176,0,0,0,1,0,342,0,0,17,61,4,8,5,39,5,23,7,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-003,0,0,0,0,0,0,0,0,12,0,17,11,0,4,0,0,0,9,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,2,3,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-004,0,14,73,31,12,14,26,70,120,17,5,12,76,21,21,0,38,66,40,46,103,0,5,9,0,59,0,53,17,52,164,21,54,30,8,0,12,3,7,11,9,7,3,3,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-005,0,0,0,0,0,0,0,28,13,94,19,12,0,43,0,16,69,23,60,0,0,0,0,0,134,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-009,0,0,0,0,8,2,9,49,7,27,43,15,1,41,0,20,4,34,21,1,0,58,0,0,37,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,3,0,7,7,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-010,0,0,0,0,47,1,0,162,0,0,10,29,0,3,0,62,0,4,0,70,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__UBA1819,80,4,110,47,66,8,125,28,104,27,5,50,187,56,41,2,75,79,5,98,244,16,13,12,0,91,0,62,89,175,413,47,99,48,124,38,10,6,17,15,11,3,6,0,
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__,2,110,131,27,26,29,75,275,200,44,31,44,86,28,66,0,106,72,110,110,177,0,34,8,0,308,0,50,21,46,155,62,83,63,27,11,10,52,23,49,14,22,17,14,
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Candidatus_Stoquefichus,201,299,99,27,66,11,321,94,248,54,91,73,94,46,150,1,69,89,131,114,376,4,53,25,2,96,5,353,169,309,748,303,1038,596,226,26,0,0,11,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Dielma,0,0,16,6,0,0,9,0,14,0,0,4,18,6,0,0,2,18,4,0,27,0,0,0,2,0,0,0,0,0,11,11,0,20,0,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Dubosiella,0,3,0,0,57,0,0,42,0,0,67,12,0,7,0,5,0,7,0,8,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Erysipelatoclostridium,25,107,61,16,43,102,207,160,271,37,50,88,68,34,106,6,45,74,136,260,157,54,84,91,6,264,15,59,96,67,1002,338,233,293,114,20,6,16,20,34,5,1,3,5,
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalibaculum,0,0,0,0,68,0,3,390,14,7,79,23,3,8,0,23,0,3,49,133,0,6,0,0,2,9,51,0,0,0,0,0,25,0,0,0,3,9,0,3,0,10,3,0,
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemania,84,36,87,16,29,30,65,247,104,46,20,72,128,27,218,0,81,117,32,358,228,15,18,144,0,157,0,64,154,272,1840,496,382,648,111,24,4,0,13,3,4,3,4,0,
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Turicibacter,151,0,0,0,25,8758,9,417,0,0,0,7,0,0,3626,86,0,0,0,1487,0,86,11019,13386,0,295,99,0,3360,20098,0,3,2088,0,0,15588,7,15,62,3,2,18,5,15,
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Acidaminococcaceae;g__Phascolarctobacterium,0,242,1579,365,19,0,452,0,711,459,17,70,22,34,0,0,368,162,658,0,2913,0,0,0,1,0,10,600,0,0,1699,653,0,589,716,0,55,29,52,30,65,14,57,39,
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila,248,46,1418,286,57,0,576,0,452,458,113,228,1628,368,0,0,1246,912,456,0,2428,0,0,0,1,0,6,893,0,0,1099,1122,0,1197,853,0,77,22,16,18,139,9,68,124,
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio,55,0,0,0,25,1,12,176,43,142,166,29,0,0,25,71,7,20,197,90,5,0,0,31,7,68,0,0,0,0,0,0,52,0,0,12,19,9,7,16,10,5,18,5,
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__Parasutterella,4354,2099,9443,2182,298,0,39125,656,22684,430,301,2178,1869,395,0,30,19031,914,1293,137,3497,0,5,0,3,34,5,10113,0,0,20692,11014,0,22355,10133,0,266,3752,5349,1533,303,2166,148,2085,
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Escherichia/Shigella,24,824,0,0,18,3303,0,47,78,21,13,28,4,7,47,0,2,0,0,11,0,96,1530,9,4,33,313,57,1555,2650,622,53,9,72,74,6448,3,0,41,0,5,3,3,3,
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Klebsiella,21,271,191,11,12,0,10,0,93,32,0,0,0,0,0,0,96,51,5089,0,18,0,0,0,669,0,25,5,0,17,7,5,0,10,12,0,7,3,0,0,0,37,0,17,
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter,10,912,0,0,0,0,21,4,27,0,0,18,0,0,4,0,0,44,1,2,0,0,0,42,0,0,0,0,0,5817,87,0,10,0,0,13,0,0,0,0,3,0,0,0,
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia,4017,2425,90053,11765,1237,191965,23418,118015,22516,3092,46059,27491,5045,1053,15806,232,73787,2863,4638,128910,47416,13013,177843,15941,1082,97108,137,38839,32490,10147,50779,45217,36928,31083,38937,26981,700,14918,23003,21881,1523,13179,818,2864,
