id	KO	Vil1.01B.FP11	Vil1.03B.DTT35	Vil1.03B.FP35	Vil1.01B.DTT11	Lyz2.07B.FP283.S81	Itg.24.DTT531.S26	Vil1.10B.FP116	Itg.04.DTT423.S15	Lyz2.06B.FP271.S69	Vil1.05B.FP59	Vil1.08B.FP92	Vil1.02B.DTT23	Itg.20.FP507.S10	Lyz2.06B.DTT271.S113	Vil1.04B.FP47	Lyz2.02B.DTT223.S63	Lyz2.05B.FP259.S56	Itg.22.DTT519.S14	Lyz2.04B.DTT247.S88	Vil1.09B.FP104	Vil1.13B.FP152	Itg.26.DTT543.S39	Vil1.14B.FP164	Itg.24.FP531.S34	Vil1.010B.DTT119	Vil1.05B.DTT59	Vil1.07B.FP83	Itg.26.FP543.S47	Vil1.08B.DTT95	Itg.18.DTT495.S90	Itg.12.FP471.S73	Itg.20.DTT507.S2	Itg.12.DTT471.S65	Lyz2.03B.DTT235.S75	Itg.10.DTT459.S53	Itg.08.DTT447.S40	Vil1.09B.DTT107	Vil1.014B.DTT167	Lyz2.08B.DTT295.S137	Itg.06.DTT435.S28	Vil1.06B.DTT71	Itg.04.FP423.S23	Lyz2.04B.FP247.S44	Lyz2.01B.FP211.S59	Vil1.06B.FP71	Vil1.07B.DTT83	Lyz2.01B.DTT211.S51	Lyz2.08B.FP295.S93	Lyz2.03B.FP235.S83	Lyz2.07B.DTT283.S125	Itg.10.FP459.S61	Itg.02.DTT411.S3	Itg.16.FP483.S86	Lyz2.02B.FP223.S71	Itg.02.FP411.S11	Itg.06.FP435.S36	Vil1.02B.FP23	Itg.22.FP519.S22	Lyz2.05B.DTT259.S100	Vil1.04B.DTT47	Itg.08.FP447.S48	Vil1.013B.DTT155	Itg.18.FP495.S98	LYZFP307	LYZFP331	SLCFP131	SLCFP023	SLCdtt005	LYZFP355	LYZFP319	SLCFP005	SLCFP053	SLCFP095	SLCdtt095	SLCFP077	LYZdtt367	LYZdtt319	SLCFP113	SLCFP071	SLCdtt113	LYZdtt355	LYZdtt343	LYZFP343	SLCdtt077	LYZdtt307	LYZdtt331	SLCdtt053	SLCdtt167	SLCdtt149	SLCFP167	SLCFP149
K00015	K00015	3	25	342	0	6	0	953	91	28	4234	62	9	70	21	125	2	0	11	8	812	0	6	17	4	10	0	41	38	0	71	8	6	12	4	9	51	6	10	0	39	0	2	6	7	221	0	0	27	2	3	12	0	28	7	32	30	1	13	0	26	12	0	1	27	664	26	36	9	213	70	9	16	29	16	12	7	0	37	23	6	14	2	1513	0	4	5	20	9	63	1357	26
K00016	K00016	91421.66	15771.49	254011	46810.67	34741.5	203155.09	50538.82	262374.9	70499.75	234714.34	51379.91	45000.26	158692.75	49899	110022.16	74839.58	27022.08	108648.42	99812.5	42142.32	106873.75	97997.59	85173.85	454353.75	27803.75	1264	54601.41	152766.65	1583	79071.5	170882.5	45359.41	63649.92	106428.82	135846.67	94447.5	10518.08	78711.25	13478.75	123220.49	264.5	492479.25	110179.58	255197.58	63118.31	693.75	48476.75	46052.83	308345.59	6709.41	350211.57	121581.33	68862.08	236024.16	432118.33	111679.84	133338.92	356696.08	27444.58	12616	159533.42	65744.25	254033.25	165309.59	151811.08	62880	23087.33	76944.25	67830	686720.42	216176.08	83938.33	316484	98560.92	69587.5	35822.92	99160.16	12983.25	105589.09	64880.58	93799.09	27607.66	201130.57	95470.68	273855.66	30974.01	67689.42	340407.25	319216.1	142123.5	72083.84
K00018	K00018	14183.66	807.72	2045.41	3215.26	6921.25	1521.94	16274.47	6167.55	5303.18	5116.65	45638.92	4637	31775.24	4130.4	9093.51	5243.47	2084.58	2073.8	6255.92	17310.68	26555.98	3323.1	15133.41	575.25	305.81	92.65	11090.62	11223.64	55.54	6137.38	5286.1	5868	2867.79	3969.48	1955.59	6596.12	444.7	1527.1	1618.18	6581.97	0	1163.55	847.66	3072.58	28148.86	5.75	2977.08	4571.12	5555.69	1973.79	3561.97	1676.77	23116.33	5213.86	9195.92	13471.09	13442.87	2853.7	3680.01	2462.35	2105.72	1449.01	967.54	21129.09	1649.53	9798.65	1475.28	1318.2	4412.18	9710.39	1332.78	8862.38	470.85	207.67	1425.85	23308.22	1525.32	2484.2	4957.39	2637.73	6613.26	15465.92	2562.42	3361.13	17823.53	7878.58	7530.43	14940.73	31583.15	7084.49	14159.08
K00019	K00019	94.5	325.75	7012.25	101	1	0	19.25	92.5	1	4237.75	15.25	2	259.75	0	20.5	8.25	0	4	22.25	113.5	0	14.75	0	8.75	4.75	0	22	9	0	143.5	199	19.5	26.25	4.25	93	20.25	14	2	4.75	13.75	0	39.25	0	10.5	134	0	157.5	10.5	6	3	651.5	3	37.25	9.5	5	12.25	21.5	9	11.25	4	5	0	160.75	4	665	3.25	19	766.25	175.75	19.25	15.75	1.75	1	0	45.75	2.5	2.25	0	5	0	2.5	3	1514.25	117.25	3.25	7	8	1.5	1.25	1351.75	0.75
K00020	K00020	8519.67	1333.25	14511.33	1146.92	5707.75	24390.33	16713.58	6490.67	9572.08	11123.83	7877.83	10564.17	31218	8006	6070.42	1011	1482	7047.42	15668.33	20166.33	8554.42	25772.17	15149.42	46871.5	2059.92	17.25	5241.67	27083	35.33	4654.25	25772	5016.75	13690.5	8515.75	26376.25	14824.5	663.5	1928.25	956.17	4826.92	0.5	4977.25	21977.75	3464.5	15581.5	1	1769.67	3365.5	33240	1157.5	52902	2704.25	15400.5	3782.75	39694	8815.25	28380.33	18663	2325.58	628.75	21079	2281.17	5542	10471.58	117708.83	6382.83	5192.5	18644.67	999.33	4867.58	44059.08	6472.33	586.33	405.83	6298.5	3031	885	4615	11377.33	21183.33	731.75	919.42	4476.58	2959.08	8429.83	14800.58	2350.67	25043.25	37592.75	6735.33	21230.83
K00023	K00023	1	6	306	0	1	0	8	12	1	4190	4	2	0	0	1	2	0	0	0	13	0	0	0	1	0	0	4	1	0	16	0	0	5	0	0	13	0	2	0	7	0	1	0	1	125	0	0	1	0	0	1	0	0	1	0	1	1	1	0	4	0	0	1	1	662	1	1	0	174	15	0	0	1	0	1	0	0	0	5	0	0	0	1510	0	0	0	8	1	1	1351	0
K00024	K00024	5497.17	1300.73	8855.72	3929.33	1104.25	730.3	16607.8	4079.81	1164.52	9355.4	8982.77	4855.48	5685.16	3733.32	4843.42	9793.25	2748.25	2510.85	2649.24	12957.13	60852.63	4112.97	11740.29	628.75	6307.37	2175	4769.42	7781.55	4430.91	4363.84	5782.83	3076.76	4432.57	6659.14	2444.41	7686.17	5364.99	962.28	1927.78	7681.03	3140.5	1963.5	386.36	4292.83	8283.85	1819.5	6346.28	857.08	7475.75	2333.06	6425.66	3015.91	11628.16	5606	12573.41	8218.25	11835.33	2903.97	6266.61	2414.58	1788	4156.69	1675.66	12189	3358.22	8353.08	2167	1708.17	9218.49	7385.17	1696.58	4225.48	96.83	252.53	1970.25	33246.04	1194.21	1335	5407.83	2857.33	6156.89	2309.51	5021.2	4433.21	7534.76	11937.47	13028.64	19277.31	20343.71	13636.56	2357.24
K00027	K00027	51475.41	7311.24	102078.25	23503.42	21462.5	52324.09	32725.07	111817.9	23793.75	106287.92	54319.91	15944.26	74006.25	17540.25	52191.41	37479.33	11206.83	35360.42	34939.75	36348.57	40642.5	30967.59	46916.6	121427.25	15677.25	2809.25	33695.41	50667.65	5238	30220.5	54183.5	19653.16	16588.17	43216.24	37413.17	30451.58	9810.33	25677.25	6724.25	58709.49	3278.5	198183	27189.08	125408.58	45840.48	2160.75	26604.5	24962.83	114467.34	4226.33	97379.07	43903.33	44561.83	118483.66	167681.33	56004.84	43859.42	113617.58	12405.33	5940.25	48418.42	24355	87427.75	70943.84	140926.75	27108.5	9140.33	18585.5	44562.25	222524.17	50301.08	32830.83	109628	36998.92	29192.5	21587.59	36053.33	4430.25	37700.59	12943.58	47495.17	15570.16	113995.49	45626.68	115315.08	24911.01	24956.17	137482.5	132758.43	50468	39044.09
K00029	K00029	7435.42	810.45	2355.86	2622.04	1259.75	638.4	11168.4	3139.91	3122.84	13268.2	5953.26	3638.99	8218.87	2802.12	6582.67	5517.46	2568.5	1847.47	2028.37	8296.77	35226.9	3065.86	7735.98	760.75	6287.81	2175	6135.96	5294.86	4446.37	4101.71	4333.33	2334.42	2689.7	3669.57	1521.79	5237.21	5299.12	886.43	1209.35	4885.35	3140.5	1172	486.43	2634.58	9964.34	1831.75	4927.1	1735.29	5658.5	1569.57	3776.91	2189.87	11742.91	3418.5	9325.12	6314.25	8226.83	3411.4	5263.43	2068.33	1913.75	4937.43	1951.87	12848	3972.36	7940.08	2250.75	824.42	5362.66	7154.5	2033.58	3624.78	150.08	410.43	1390.75	19815.98	1012.69	1094	4353.08	2192.83	3442.78	1911.3	6184.14	2279.81	4956.38	9348.4	9531.78	10877.28	20689.27	14426.32	9839.95
K00030	K00030	2557.75	310.5	1032	125.5	2874.75	152.25	5430	968.25	857.75	2223	1723.75	594.25	683.25	473	12076.5	265.25	2548.25	80.5	452	5867	109.5	402.25	4354.25	408.75	174.75	0.75	7183.25	3453	5	2472.25	9926.5	211.75	418.25	35	445.5	3375.25	236.75	390	57.75	1277.75	1.5	1603.25	29.75	2749.75	6149	6.75	128.25	1033	168.75	236.75	3735.75	24.5	12296.75	3704.5	122.5	2800.5	3818.75	1595.25	3568	754	6080.75	21	9542.25	1044	14424.75	297	4223	240.25	21588.5	1180.25	377.75	344	842.5	196.75	107.5	1268	198.25	99.25	529.25	68.75	1856.5	3023.25	27291	176.5	783.5	4574.5	213.25	2662.25	4267	6587.5	8321.5
K00031	K00031	16493.08	1248.52	9076.19	1276.88	7386	1112.57	10787.55	5306.22	7553.76	9432.2	44055.5	3257.17	35974.54	3171.45	12939.08	826.12	2031.58	1116.47	5520.2	11348.76	33047.65	18705.12	13696.08	1529.5	6209.48	2192.25	15577.79	9034.34	4481.12	6533.63	4480.5	4939.25	1171.54	1100.56	864.04	3816.54	5197.45	1616.1	963.6	3782.84	3151.5	684.25	956.76	1382.83	34099.49	1828	5468.1	5816.12	3922.09	2113.82	2599.32	793.12	23704.33	3181.91	6425.62	12269.59	10834.5	4027.65	2463.59	1102.25	2513.17	1561.18	1846.29	21290.67	2624.19	9010.58	1520.33	2043.67	1261.41	10590.42	1570.41	8977.11	408.83	186.1	1056.25	10282.15	1340.85	2119	4715.67	1599.16	861.78	1412.54	4759.38	1517.16	12612.04	4383.16	3532.2	9057.28	18753.12	9051.82	23437.46
K00033	K00033	40296	5610.4	76344.58	25018.67	12720.5	44632.77	18885.82	102323.24	17854.51	96146.66	13445.18	16254.32	42883.32	15713.32	32328.6	41432.81	5902.5	33219.05	32363.59	12942.44	65992.48	31085.84	23618.06	106646	14155.89	2781.65	21835.79	44081.66	5198.54	20688.46	48128.43	17168.92	21398.45	46560.48	46316.09	30639.55	8968.12	16596.18	7089.43	57141.48	3266	185601.05	29447.33	124452.58	18163.7	2157.75	26818.83	20056.29	121033.6	3701.03	100574.31	36379.27	19873.16	115643.2	108135.42	44688.5	40975.7	101635.7	7774.6	6422.93	43782.05	25085.51	70364.12	49968.42	11203.19	23777.4	6010.45	22622.2	26931.18	135626.22	65569.7	24315.3	94694.35	31862.5	32110.1	30987.79	26417.65	3928.2	36553.55	20759.9	51542.77	26298.18	86510.17	46512.03	89513.36	11414.07	27855.01	134444.98	141887.31	39072.24	21184.07
K00034	K00034	120.5	329.75	6743.25	105	0	0	95.25	144.5	0	99.75	127.25	25	265.75	18	19.5	6.25	4	18	32.25	154.5	0	14.75	16	7.75	4.75	0	30	71	0	223.5	203	19.5	29.25	12.25	107	33.25	14	0	4.75	46.75	0	38.25	8	15.5	118	0	186.5	13.5	6	9	656.5	3	44.25	8.5	5	11.25	26.5	8	16.25	12	9	0	159.75	7	7	10.25	18	778.25	1.75	10.25	15.75	9.75	9	11	44.75	16.5	2.25	0	8	3	8.5	7	10.25	117.25	14.25	17	30	11.5	18.25	1.75	4.75
K00036	K00036	40295.75	5574.65	76605.58	25014.42	12714.5	44605.77	17085.57	102210.24	17810.26	100306.66	13407.68	16254.32	42810.32	15659.82	32188.35	41432.81	5902.5	33215.05	32360.59	11390.44	65985.98	31076.84	23547.06	106644	14133.14	2781.65	21803.79	44053.66	5196.04	20673.46	48120.43	17155.17	21395.45	46556.73	46306.84	30585.3	8956.12	16460.68	7084.93	57115.48	3266	185598.3	29443.58	124450.58	18196.2	2157.75	26818.83	20024.29	121029.6	3642.53	100559.31	36377.02	19832.16	115636.45	108098.42	44656.25	40963.7	101619.7	7765.6	6389.18	43767.05	25072.26	70365.12	49941.92	11861.19	23757.4	5956.45	22528.2	27064.68	135584.47	65558.95	24283.3	94645.35	31836.5	32100.1	30983.04	26415.4	3867.2	36537.55	20753.4	51530.27	26296.18	87990.67	46469.78	89495.86	11408.32	27855.01	134375.73	141245.31	40416.24	21157.07
K00040	K00040	7584.25	501.75	832.75	522.25	3869.5	598	3421.25	2583	2754	1598.75	22277	1765.5	17060	1506.75	3744.25	327.75	274.25	492.5	3528.75	4622.25	1366.25	1165	4824.25	138.5	5952	2192.25	5338	4909	4423	2390.5	1086	2567.75	376.25	514.75	306	1328.25	4997.75	765	307	1752	3151	140.25	432.5	527	7431.5	1810	3485.25	1979.5	1220.25	1173.25	370	188	3377.25	1111.5	1740	5380	5407	1243	297.75	565.75	502	661.75	133	6068.75	412	4751.5	343.5	602.25	157.75	3064.75	317.5	5025.5	198.5	94	294.5	4084.5	540	449	2011.5	235.5	318.75	518.5	862.25	677	5248.25	1004.5	696.75	3060.25	7494.5	922	6863.25
K00041	K00041	9969.75	748.28	1526.36	2199.54	4316.75	817.9	9174.4	3911.4	3138.18	3566.7	24804.26	3681.99	19350.54	3144.95	5617.5	5028.29	1484	1595.63	4274.37	9086.61	26298.23	2781.36	9455.31	427.75	6087.81	2209.5	7369.46	8113.69	4430.54	3772.88	3845.5	3637.59	2462.87	3750.07	1336.62	4639.21	5172.62	1063.1	1203.68	4914.18	3140	1075.5	602.43	2596.75	9692.01	1814.75	4514.93	2277.29	4901.5	1853.24	3223.25	1573.04	8885.25	3915.5	7839.29	9278.75	11041	2544.57	3142.43	1371	1394.25	1515.76	847.04	11253	1507.86	8200.25	1213.75	918.75	4399.83	6140.17	855.75	6767.45	219.25	126.1	1224.25	20209.81	992.52	1067	4186.25	1469	3132.61	1366.96	2181.81	2758.15	8604.38	6376.57	6579.61	11946.78	19694.44	6416.49	7224.79
K00042	K00042	7801.16	736.49	715	1131.67	5332.5	516.84	2880.82	1514.15	2151	1336	7804.16	2196.01	23395.5	970.5	5027.16	616.33	764.83	395.67	2431	3649.32	1634.5	1237.34	3666.85	123	11796	4350	5031.16	2027.15	8841	2212.5	1450.5	2361.66	485.17	692.66	314.17	1215.16	9834.83	744.5	511.5	1754.99	6280	63.5	391.33	397.33	13715.65	3621	5946	2412.83	1499.34	1345.5	417.82	331.83	14524.33	1579.16	1601.83	7479.84	4187.67	963.83	904.33	1356	573.17	2619	146.5	10651.34	367.17	6230	554.83	717.5	243.5	3844.17	1292.33	5939.33	221	216.17	149.5	2391.01	666.5	1323	2778.84	1502.83	313.5	583.16	545.66	365.18	7377	1123.01	1721.67	2502.5	6336.51	1413	12058.34
K00045	K00045	0	9.6	12	5	0	2.4	160.4	55.4	0	13.2	39.4	36.2	0	15.2	0	0	0	6.2	27.8	243	13322.8	11	60.6	0	6.2	0	0	52.8	0	20.2	6	27.2	0.8	0	5.8	43	3.8	6.6	3	40	0	0	0	0	33.4	0	0	0	0	20.2	0	0	0	0	0	0	0	0	20	11	6	162.4	0	0	8.4	0	0	23	0.4	0.6	0	30.2	0	0.6	0	31.6	0.2	0	0	0	7.4	8	0.6	1.4	9.2	20	12.4	4.6	5.4	1.2	1
K00046	K00046	10629.5	865.03	1850.86	2321.29	4599.25	1084.9	12016.65	5173.4	3770.43	4297.2	32968.26	4175.49	20022.54	3661.95	6074.75	5150.29	1607	1763.13	5675.37	12029.61	28680.73	3228.36	11845.31	458.75	6123.56	2244	8008.96	10164.19	4445.04	4795.38	4170.5	4307.34	2624.87	3910.82	1472.37	5564.46	5243.12	1492.1	1317.68	5975.18	3140	1124.25	691.18	2800.75	13832.51	1814.75	4622.93	2620.29	5204.5	2220.74	3364.25	1641.29	9586.75	4312.25	8147.29	9480	11841	2668.57	3327.93	1465.75	1560.25	1886.51	873.04	13263	1709.86	8557.25	1283.25	1139.75	4441.33	6683.92	885.5	7395.45	251.25	154.1	1303.25	21468.56	1158.27	1166	4455.25	1562.5	3315.61	1600.46	2437.81	3086.4	11469.38	6996.32	6857.61	13077.53	27285.44	6587.99	7575.29
