id	KO	Itg.10.DTT455.S49	Vil1.01B.FP07	Lyz2.04B.FP243.S92	Vil1.04B.DTT43	Vil1.07B.DTT79	Vil1.06B.FP67	Lyz2.01B.DTT207.S47	Itg.22.FP515.S18	Lyz2.05B.FP255.S52	Lyz2.04B.DTT243.S84	Vil1.04B.FP43	Vil1.09B.FP106	Itg.02.DTT407.S99	Lyz2.08B.DTT291.S133	Itg.24.DTT527.S22	Itg.26.DTT539.S35	Lyz2.08B.FP291.S89	Vil1.06B.DTT67	Vil1.02B.FP19	Itg.26.FP539.S43	Itg.18.FP491.S94	Itg.12.DTT467.S61	Vil1.07B.FP79	Lyz2.02B.DTT219.S59	Itg.24.FP527.S30	Lyz2.07B.FP279.S77	Lyz2.03B.FP231.S79	Itg.18.DTT491.S86	Itg.06.DTT431.S24	Lyz2.05B.DTT255.S96	Itg.08.FP443.S44	Lyz2.07B.DTT279.S121	Vil1.08B.FP94	Vil1.05B.DTT55	Itg.16.FP479.S81	Vil1.05B.FP55	Lyz2.06B.DTT267.S108	Itg.16.DTT479.S73	Itg.12.FP467.S69	Vil1.14B.FP166	Itg.20.DTT503.S98	Itg.22.DTT515.S10	Itg.06.FP431.S32	Lyz2.06B.FP267.S64	Vil1.013B.DTT151	Itg.02.FP407.S7	Itg.04.FP419.S19	Vil1.02B.DTT19	Lyz2.01B.FP207.S55	Itg.08.DTT443.S36	Vil1.13B.FP154	Vil1.03B.FP31	Vil1.010B.DTT115	Vil1.08B.DTT91	Vil1.014B.DTT163	Vil1.09B.DTT103	Itg.10.FP455.S57	Lyz2.03B.DTT231.S71	Itg.20.FP503.S6	Lyz2.02B.FP219.S67	Itg.04.DTT419.S11	Vil1.10B.FP118	LYZdtt351	SLCFP067	SLCdtt019	SLCFP091	LYZFP327	SLCFP073	SLCFP019a	SLCFP049	LYZFP339	LYZFP315	SLCFP127	LYZdtt363	LYZdtt315	LYZFP351	LYZFP303	SLCdtt109	SLCdtt001	LYZdtt303	SLCFP001	SLCFP109	LYZdtt339	LYZdtt327	SLCdtt067	SLCdtt163	SLCdtt145	SLCFP163	SLCFP145
K00015	K00015	123	32	26	152	0	101	26	71	13	35	812	46	36	30	73	41	87	0	32	27	98	146	55	26	39	20	26	106	45	9	217	51	120	0	181	190	90	103	153	5	57	49	57	112	6	14	511	11	47	44	1	662	24	0	35	60	114	24	49	38	169	177	134	85	22	783	21	11	194	112	13	116	25	138	194	146	70	211	54	195	354	235	24	3	39	804	83	91	295
K00016	K00016	89024.08	39060	174291.75	12225.07	329.25	26925.67	24471.67	48256.68	29184.82	104809.15	41091.99	119374.34	29650.68	49411.82	36278.16	27327.59	41601	81.25	82981.33	39502	57553.32	63112.58	24114	33855	28594.91	6631.41	142569.93	51270.5	82981.16	15696.42	66976.84	18891.99	140425.75	452.5	36252.16	39538.83	27933.26	69457.57	53864.75	275420.67	89815	71415.34	29701.9	32487	15097.33	24405.09	21057.91	24353.16	28789.74	20492.26	514669.5	42159.42	4516	2195.75	29528.99	6480.66	166942.41	76568.33	74429	34450.17	25697.34	144816.84	252311.49	18244.99	16560.09	53731.5	90446.34	43629.34	15617.25	12793.42	68120.66	303392.5	23851.26	47659.32	80608.75	39316.24	465244.91	56143.08	9116.76	307917.17	35303.58	21429.93	22368.67	75066.16	38100.92	154554.25	137243.84	51862.42	63598.17
K00018	K00018	13250.94	14166.71	13460.74	5723.84	399.04	16806.68	15398.61	6613.62	6575.15	16374.98	18166.91	2722.62	8803.93	7101.45	16215.4	6425.54	6029.39	27.57	13620.36	7639.84	12536.12	14557.27	11411.17	18668.68	9785.65	4815.89	9770.81	13127.35	5845.75	5390.02	11151.68	8770.95	14359.61	26.43	8605.82	26974.56	18005.6	9146.11	15662.54	1186.83	13865.45	10728.7	8391.61	14444.95	18631.81	3902.75	14151.45	1705.64	15608.29	5185.63	3282.89	12112.81	378.84	157.82	11394.66	994.15	13587.9	6672.37	16125.56	19435.37	9079.8	4201.73	24440.34	3612.79	1736.99	9728.25	29588.5	7344.64	6508.6	13881.72	19996.64	37221.93	3953.06	49489.65	32896.03	33907.12	22455.72	7214.08	1590	1172879.37	9905.53	8351.23	4752.47	15878.64	4248.83	32071.31	19141.67	12710.87	8974.44
K00019	K00019	162.5	45.75	0	42	0	37	51.5	0	4	127.75	139.75	318.75	9	12.5	19.5	23.75	1	0	10	20	42.5	167.75	16.5	24.75	5.75	8	5	67.25	11.75	13.25	33.75	5.25	1051.75	0	30.25	19.5	0	277.75	151.75	1	218	7.75	6	0	0	7	10	3	1	17	4.5	94.25	8	0	13.5	48.5	342.25	71.25	4.25	8.75	5.25	92.75	51.75	15	14.75	1.5	5.5	20.75	27	8	1.5	55.75	21.75	19	242.5	60.25	29.75	19	55	191	54.25	25.75	17.75	44	16.25	4675.25	6.25	25.25	271.25
K00020	K00020	14338.25	2351.17	25863.5	1790	100.92	4709	2716.08	5153.5	9230.25	15430.75	5542	24358.08	7306.17	8608.42	7074	7546.33	981.5	61.92	18692.17	9438.5	3502.5	11712.75	1561	5186.5	8028.5	1418.5	14524	4632.5	2745.25	5797.58	9598	3748.92	11015.67	50.67	2896	9654.25	6312.25	95031	10377.5	12531.92	8155	8120.33	3025.5	9456.25	4865.83	5017.5	6341.5	5686.67	2443.5	3963.42	5605.25	11265.5	997.33	56.08	5376.83	2743.92	23116.83	7890.25	7077	6572	4601.67	15907.25	2524.58	5306.17	1888.58	3819.5	23442.58	1910.83	3021.33	4497.5	2609.33	6062.58	1167.5	4275.92	18229.42	2215.08	4233.33	16680.25	1843.67	323060.17	7923.33	8405.83	4384.75	11764.42	3285.17	22022.67	27495.75	4796.83	12305.17
K00023	K00023	20	8	0	33	0	37	0	0	4	16	120	2	9	0	0	20	1	0	10	17	35	42	14	5	3	8	5	43	7	3	29	5	1	0	27	16	0	18	36	1	11	0	4	0	0	7	8	3	1	14	1	78	8	0	6	14	1	15	1	5	5	29	44	15	0	0	1	0	10	8	0	53	21	17	0	58	26	18	9	186	43	25	0	0	14	578	1	25	271
K00024	K00024	6492.4	21623.93	17261.07	3440.52	4148	15511.55	4494.81	7961.92	7295.49	10280.63	17972.27	3576.47	3505.08	4702.75	3308.46	4446.58	5637.28	3797.81	18754.23	9716.59	13708.37	12236.13	18645.49	6074.7	4757.2	5417.71	12228.21	10446.78	7342.68	4428.38	13777.36	4668.16	2797.64	6344.53	10669.59	25955.64	3436.61	91119.2	12975.8	1431.99	13990.03	13822.13	7774.26	7475.4	14983.44	4111.99	5747.28	2255.82	10292.86	4432.96	5048.28	15632.66	5265.09	5525.55	5620.88	6761.07	15427.66	2360.72	14368.4	10112.48	4933.08	2562.2	13728.7	6383.84	1887.62	4539.63	51950.41	7655.88	6781.9	12192.97	25130.11	32887.79	4752.45	17263.89	17035.95	30051.43	19202.58	3167.5	1408.85	145818.67	8542.23	7240.45	2202.51	26628.55	2958.09	37644.61	8915.33	14613.71	11586.56
K00027	K00027	39602.83	22400.75	59099.5	9870.82	4420.75	20481.17	20042.17	20390.18	19511.82	46308.32	24973.16	72059.09	18805.43	23406.74	24526.41	13699.09	22682	3842.25	35621.83	15659.75	29057.82	30926.58	13956.17	27620.75	17656.41	4879.16	58802.68	28217	43182.91	11930.75	24811.34	14476.24	82576.25	6572	21875.41	31521.16	24344.01	28100.57	27224.75	97369.67	41161	32894.84	17847.9	23424	11428	13168.59	16842.91	9651.41	20581.74	11575.34	179101.5	25195.42	6736.75	6560.5	17515.41	10047.41	62653.91	33540.5	35482	27213.17	16073.59	77427.84	141912.49	8649.99	8638.09	23826.5	66710.09	23146.34	10952.25	10259.92	48188.91	123522.75	11909.26	52762.07	55474.67	36640.99	226048.91	23791.83	4029.26	525362.5	14400.33	11762.93	13302	47344.91	19069.17	86591.75	70865.26	22093.92	25749.75
K00029	K00029	4540.99	13243.97	9874.33	2893.3	4147.71	9399.94	2808.07	4439.88	4706.66	6495.69	12214.34	2237.19	2790.33	3558.71	2436.02	2712.83	3246.39	3797.24	11489.7	5383.75	8417.77	7672.94	11463.16	4005.77	3098.06	3088.48	7011.48	6798.68	4391.34	3220.19	7698.47	3331.25	3795.78	6341.1	6443.38	16139.07	2513.47	87780.56	7578.11	1146.83	7918.68	7724.52	4404.3	4838.45	9292.3	2362.08	3619.39	1482.04	5811.26	3294.65	5281.39	10526.37	5006.75	5466.23	4177.15	6140.58	8581.87	2008.07	8025.49	6468.53	3398.42	2890.06	8294.35	4782.34	1234.52	3118.48	28295.2	4018.73	4114.2	7044.32	14338.93	19614.31	2838.85	11520.11	9690.81	16740.05	11247.12	2478.5	982.26	127319.88	5168.78	4314.35	2093.17	15586.07	2004.88	22370.85	7877.04	10113.06	7617.7
K00030	K00030	2314.25	2223	409.25	1082.75	2.5	3399	791.5	749	2490.5	867	3443	15027.75	433	519.75	996.5	853.25	567.5	1.75	1664	953	8452.5	3631.25	5485.5	2053	814.25	711.75	268.25	6626.5	1803	962.5	3637.5	1253.5	8149.75	5.5	6298.5	3879.5	783.5	3304.25	3526.75	2984	838	969	1300.75	711	319	197.75	898.25	224	1007.75	581.5	27	3071.25	252	18.75	1104.5	838	3872.75	828	627	2249.5	1346.25	19718.5	6265.25	210.5	1028.25	858	18207.25	477	4843.75	506.75	18125.5	1759.5	127.75	2728.75	1027.5	5515.75	1917	1069.5	231.25	4275.75	825.75	431.25	618.75	6515.5	432.25	2730.25	4826.75	2314.75	510
K00031	K00031	11995.99	6214.13	7708.74	6077.29	4227.46	12792.28	14359.99	3382.22	4076.65	14599.51	11801.84	4619.7	8113.1	5861.7	15858.6	5144.92	3651.89	3858.24	7393.78	3932.59	7906.42	10593.77	7515.5	19066.93	8625.55	2579.14	5466.66	9939.85	3233.75	4169.27	5092.23	8719.82	17601.78	6366.1	5532.37	19615.23	18114.4	88740.21	10936.19	2186	9059.1	5748.03	5380.11	13202.7	10723.97	2493	11543.8	3761.61	11231.09	5525.57	4371.14	6089.46	4858.67	5515.65	7899.97	5888.32	7654.78	7191.15	10836.91	17648.12	7549.67	5739.98	22101.17	4967.66	1490.02	6971.4	8111.88	4493.32	5007.53	9452.57	11774.17	24578.81	2660.36	48837.52	26567.73	26159.2	15714.95	6689.58	1665.02	380238.96	7511.36	6685.36	7182.59	7014.06	4134.3	38193.18	25309.3	7032.65	5851.03
K00033	K00033	30049.69	26336.55	63809.33	5365.6	4338.79	14303.34	7803.94	17188.78	7562.66	37689.9	21123.65	34083.36	8464.66	20001.95	8306.32	8469.45	21622.39	3788.07	33808.53	14632.75	20020.97	24545.69	16432.32	11069.02	7309.41	3960.98	63202.38	17634.43	41250.59	4647.7	24321.92	7522.63	58213.36	6534.93	16429.33	17971.41	5787.42	25638.21	19765.96	75476.66	38353.78	28411.44	14587.3	9968.45	14359.13	7241.58	7470.29	9219.57	13495.46	9468.47	179063.89	18253.72	6098.42	6505.9	11869.08	7296.41	60635.99	25163.78	30974.64	13052.28	10639.55	44546.81	120681.02	7983.97	7219.74	18227.08	44808.32	23544.55	5853.77	8134.72	31547.9	87573.43	12204.8	10783.49	43882.85	17874.97	207680.89	18699.75	3827.49	266044.3	14773.2	8316.97	8741.31	39086.9	15832.16	59262.73	52485.9	16743.28	29398.62
K00034	K00034	268.5	146.75	46	53	0	112	127.5	44	40	163.75	171.75	322.75	41	62.5	141.5	33.75	26	0	73	13	141.5	275.75	34.5	65.75	54.75	16	42	158.25	50.75	108.25	30.75	74.25	1236.75	0	31.25	310.5	135	329.75	249.75	0	260	63.75	90	64	0	14	78	23	89	17	3.5	83.25	0	0	7.5	40.5	443.25	86.25	23.25	75.75	64.25	97.75	165.75	23	42.75	129.5	44.5	26.75	59	93	27.5	104.75	8.75	289	630.5	156.25	64.75	139	66	5	92.25	61.75	65.75	50	58.25	4403.25	203.25	81.25	13.25
K00036	K00036	29952.44	26328.55	63801.33	5177.6	4334.29	14262.34	7783.19	17082.78	7554.41	37625.65	19905.15	34010.36	8386.16	19791.45	8247.32	8436.45	21472.39	3780.82	33786.03	14609.75	20005.97	24495.94	16396.82	11063.02	7196.41	3950.98	63195.38	17597.43	41218.84	4627.2	23978.92	7347.88	58174.36	6527.43	16144.33	17882.16	5608.92	25530.21	19665.96	75463.41	38310.78	28360.44	14561.3	9730.2	14314.63	7231.58	6517.29	9202.57	13472.46	9251.97	179057.64	17150.72	6064.92	6499.65	11674.08	7206.66	60505.99	25149.53	30908.64	13048.28	10268.8	44307.06	120630.52	7861.97	7181.49	16789.08	44801.32	23526.05	5534.27	8015.72	31400.9	87511.18	12204.8	10746.99	36508.85	17824.72	207609.64	18427.75	3733.99	265903.05	14159.2	7901.97	8651.81	39076.15	15805.66	59157.73	52070.9	16679.28	29623.62
K00040	K00040	5522.25	2063.25	3365.25	2787.75	4210.5	2349.5	9821.5	1621	1336.5	7954	3731.5	632.25	3806.25	2893.25	9506.25	2432	1615	3799	2763.5	1500.25	2986	4824.5	992.5	11056.75	3556.5	1179.25	2059.25	4581.5	1559.75	1989.5	1725.5	5252.25	9970	6332.5	1809.75	5974	11404.25	3016	4522.5	278	4806.5	2665.5	2533.5	6261.5	3722.5	1120.5	5222.5	495.75	6598	3082.75	638.5	1726.5	4602.75	5436.25	4021.25	5342.75	2508	3961.5	5202	9337	3629.75	1534.5	8531	793.5	659	3539.5	3045.25	2224	2083	4912.5	5000.75	11745.25	1108	22548.25	11684.75	9060.25	7808	2902.75	709	253554	3135.25	2385.5	3512	2601.25	1771.25	11528.5	9403.75	2837	2273.75
K00041	K00041	7772.16	11919.46	10868.99	3615.97	4290.54	8766.11	11195.74	5279.04	4462.33	11821.19	10733.68	2004.53	5144.5	4934.54	10530.19	4208	3927.89	3769.57	11209.03	5674.09	9135.1	9862.94	9226.33	12586.93	5405.89	3189.48	7475.98	9205.35	4718.34	3728.69	8012.64	6364.41	10425.11	6334.93	6374.71	15613.07	12370.64	6741.89	10013.44	882.16	10921.85	8978.36	5614.46	9207.45	11059.64	2800.41	6687.39	1447.53	10083.6	4253.81	1759.39	8048.54	4817.09	5490.57	6618.48	5858.74	9253.54	4366.9	11623.66	12319.2	5382.41	2166.89	12130.85	2457	1240.35	5129.15	24059.21	5907.4	4806.7	10187.15	14819.93	25060.48	3226.85	27991.28	19990.14	16507.38	14506.96	3875	1104.59	491170.54	6352.45	5176.85	3708.84	13689.23	2739.21	23663.51	10966.04	9138.4	6890.36
K00042	K00042	3803.33	2149.5	1768.5	3349.32	8261.5	4783.67	3645.17	778.68	1283.82	4233.99	3792.83	273.84	1889.18	1907.66	4799.66	1392.84	826	7565	2167.83	676.5	1948.82	2756.83	1528.84	5699.5	2267.66	1126.16	1345.68	2692	1073.16	1650.83	1089.84	3745.99	8339.5	12652	1205.16	4476.49	3592.01	1992.32	2800	157.67	3559.5	1570.84	2256.65	2940.5	2349.17	509.34	5058.66	479.66	3003.99	2941.67	796.5	2433.17	9063.5	10765.5	2209.83	10403.16	1847.66	2102.17	4173.5	6326.17	2867.84	1047.34	2496.49	958.49	408.84	2291.5	2122.34	831.34	899.5	4577.67	2455.66	5408	1051.51	5959.32	5410.84	2249.49	3606.16	1949.33	664.51	28675.83	2515.83	1500.18	2650.83	1995.16	1547.67	6919	6706.18	3027.17	2646.33
K00045	K00045	98.2	415.6	423.2	64.4	0	344.4	86.2	192.4	114.4	135.8	328	20.6	33	78	63.4	93	186.6	0	372.6	199.2	163.6	138.4	272.4	94	109	150.8	229.8	122.6	112.8	62.8	285	113.2	0	0	283	376	81	230	177.8	10.8	215.6	210.4	96.6	175.2	1723	64.8	86	46.6	198.6	65.6	217.6	304.4	34.8	10	149.8	78.6	339	16.4	257.8	145.2	52.8	51	153.6	481	37.6	442.4	652.6	714.4	306.2	423.4	247	407.8	260.6	148.6	221	433.2	265.6	158	160.2	1405	1011.2	1034.6	2.8	138.8	80.6	5955.8	6	505.4	184
K00046	K00046	10512.41	13627.46	13063.49	4715.97	4454.54	12258.61	14270.99	6176.04	5600.58	14905.44	13477.18	2261.53	7227	6302.54	13160.69	5295.5	5207.39	3776.82	13324.53	7015.59	11176.1	12283.69	11363.33	17168.93	7586.39	4256.48	9213.98	11093.35	5564.59	4944.19	9548.64	8482.66	12033.11	6343.43	7792.21	22177.82	16286.64	8298.89	13066.44	1088.41	12385.85	9981.36	7418.96	12655.7	16996.14	3486.41	9549.39	1703.03	14166.1	5684.31	2910.64	9694.54	4851.09	5514.82	10173.48	5961.49	11679.04	5904.15	13770.66	17829.7	7323.16	3050.64	18989.35	2949.5	1607.6	6474.65	29964.71	6727.9	5613.7	11834.15	19081.93	30799.73	3650.85	38487.78	36568.14	28724.63	19690.21	4993.5	1422.59	953070.29	8090.95	6447.85	4936.84	16420.98	3511.71	29008.01	14684.04	11038.9	7804.36
