#OTU ID,Vil1.01B.FP11,Lyz2.02B.FP222.S70,Itg.22.FP518.S21,Vil1.03B.FP35,Vil1.13B.FP153,Vil1.07B.FP82,Lyz2.07B.FP283.S81,Itg.20.FP508.S11,Vil1.10B.FP115,Vil1.10B.FP116,Vil1.04B.FP46,Vil1.14B.FP163,Lyz2.06B.FP271.S69,Vil1.02B.FP22,Lyz2.01B.FP210.S58,Vil1.05B.FP58,Lyz2.07B.FP282.S80,Itg.16.FP484.S87,Vil1.05B.FP60,Lyz2.01B.FP212.S60,Vil1.09B.FP105,Vil1.05B.FP59,Vil1.08B.FP92,Itg.20.FP507.S10,Vil1.04B.FP48,Lyz2.03B.FP234.S82,Vil1.04B.FP47,Itg.24.FP530.S33,Vil1.03B.FP36,Itg.02.FP412.S12,Lyz2.02B.FP224.S72,Lyz2.05B.FP259.S56,Itg.04.FP422.S22,Itg.20.FP506.S9,Vil1.09B.FP104,Itg.26.FP544.S48,Vil1.13B.FP152,Itg.10.FP460.S62,Vil1.14B.FP164,Itg.06.FP434.S35,Itg.18.FP496.S99,Itg.24.FP531.S34,Itg.02.FP410.S10,Itg.06.FP436.S37,Vil1.03B.FP34,Vil1.07B.FP83,Vil1.01B.FP12,Itg.26.FP543.S47,Vil1.10B.FP117,Itg.26.FP542.S46,Itg.16.FP482.S85,Itg.12.FP471.S73,Lyz2.08B.FP294.S92,Vil1.06B.FP72,Vil1.02B.FP24,Lyz2.05B.FP260.S57,Itg.04.FP423.S23,Itg.12.FP472.S74,Lyz2.04B.FP246.S43,Vil1.14B.FP165,Lyz2.06B.FP270.S68,Vil1.07B.FP84,Lyz2.04B.FP247.S44,Lyz2.01B.FP211.S59,Itg.08.FP448.S49,Vil1.13B.FP151,Vil1.01B.FP10,Itg.04.FP424.S24,Itg.08.FP446.S47,Vil1.06B.FP71,Lyz2.08B.FP295.S93,Lyz2.03B.FP235.S83,Lyz2.07B.FP284.S82,Itg.10.FP459.S61,Itg.12.FP470.S72,Itg.10.FP458.S60,Lyz2.08B.FP296.S95,Itg.16.FP483.S86,Lyz2.03B.FP236.S84,Lyz2.02B.FP223.S71,Itg.02.FP411.S11,Lyz2.05B.FP258.S55,Itg.06.FP435.S36,Vil1.02B.FP23,Itg.22.FP519.S22,Itg.22.FP520.S23,Vil1.08B.FP91,Vil1.06B.FP70,Vil1.08B.FP93,Itg.08.FP447.S48,Itg.18.FP494.S97,Vil1.09B.FP103,Lyz2.06B.FP272.S70,Itg.18.FP495.S98,SLCFP072,LYZFP308,LYZFP307,LYZFP331,SLCFP131,SLCFP078,SLCFP070,SLCFP023,SLCFP022,LYZFP355,LYZFP319,SLCFP005,SLCFP024,SLCFP053,LYZFP320,SLCFP095,SLCFP077,LYZFP356,LYZFP354,SLCFP112,LYZFP332,LYZFP306,SLCFP071,SLCFP004,SLCFP094,SLCFP052,SLCFP076,LYZFP330,SLCFP054,SLCFP114,SLCFP006,LYZFP343,SLCFP132,LYZFP344,LYZFP342,SLCFP096,LYZFP318,SLCFP148,SLCFP166,SLCFP150,SLCFP167,SLCFP149
GLUCARGALACTSUPER-PWY,84.5429,4.3107,3.8528,133.311,1727.2898,109.4565,5.2908,0,27.6661,90.1468,16.8866,52.8813,8.6988,17.6629,18.6765,151.5566,0,218.2854,94.1089,9.1271,97.765,59.2306,691.0015,10.7114,8.1212,84.3033,3.3961,31.7802,75.6522,0,42.0303,15.6937,2.6677,31.4389,73.371,3.3668,1260.8267,3.2886,20.9946,23.2789,13.6715,5.2761,0,5.5953,49.2809,84.4158,108.1789,169.5697,88.4265,3.9453,189.1494,0,93.9268,67.2942,14.7339,24.6992,3.8992,29.2278,71.8536,62.6931,7.6553,251.2036,16.2328,28.8542,9.7138,542.3438,48.2823,40.3603,0,103.7211,77.2012,11.2163,4.9406,2.9375,0,0,53.0417,144.1927,32.6512,17.3879,0,19.7922,0,7.6561,0,34.9476,406.1009,134.6368,575.1552,3.6306,27.1041,27.5584,6.4216,0,19.5769,274.4734,246.3083,119.6876,77.8036,21.9529,24.8392,0,12.9112,36.4324,127.0455,71.194,0,7.8479,35.4486,5.6244,10.7738,76.8782,115.2629,17.1072,171.5662,381.0726,15.977,22.2858,28.3335,23.7039,0,204.5549,5.7693,0,56.4029,131.2387,44.6205,164.3199,49.1832,0,236.6713,889.3485,31.8867,78.8398,5.7406,107.9577
GLUCONEO-PWY,58870.1554,43326.2253,55418.026,71216.0802,51813.912,54135.3949,17211.4229,68622.6151,49343.4214,40487.7757,40818.4281,71094.1865,31181.961,50661.2734,28829.4631,34835.3304,10931.2896,46063.9252,28120.3601,22177.2366,34057.6338,81409.6027,50121.7443,84873.3232,32636.202,80778.2239,56653.1213,70345.4256,36805.1286,66205.8015,32437.6754,12886.0803,23775.0903,42405.2621,38996.0143,41955.1486,76713.7745,57118.8796,46718.1127,74075.1565,46969.392,107300.1996,64676.2403,38150.3151,61508.1783,42394.7854,55019.7309,46929.7717,37792.9287,78105.3172,42176.7848,51562.1565,21521.3212,28161.729,50281.4928,19382.5397,76932.6284,49057.6339,28972.3359,50564.7885,18943.8961,33811.4108,28270.7482,47608.0424,54215.1161,56974.1813,47211.5231,40137.6349,27714.1981,58183.7777,23598.3401,87043.158,9519.428,81540.8894,42462.2727,56287.6959,17212.9022,59095.979,60813.1998,55812.8159,131384.8079,12365.1547,50209.4214,53082.9647,93876.8102,51711.135,42865.2473,25224.6378,45405.4148,44967.8848,41872.0539,30707.9886,41236.7815,62130.6599,16588.3229,95887.3808,83402.2155,43086.0504,31669.6265,29631.3394,25527.9269,11831.0636,12732.707,40124.3388,178622.4741,39258.19,12872.2324,30244.6133,59677.8357,61087.4585,17709.576,42981.0375,60725.7437,14146.4544,53599.4967,148936.7282,32578.8548,13613.1477,15358.547,31527.1501,25510.0413,92269.903,14288.7555,6964.465,30194.5438,57634.6287,19814.5603,50466.7832,24614.3139,31502.2486,62719.872,33539.1929,73203.8426,69125.0752,60460.4212,60672.1952
GLUCOSE1PMETAB-PWY,88.2824,4.4999,0,366.363,5226.8524,4.4998,26.4869,0,1233.6727,630.8015,606.4349,181.1329,35.6387,127.8552,5.4999,243.0378,0,3.9999,78.9005,38.315,239.3514,383.4939,58.6346,4.9999,346.7984,3.9999,898.3299,3,285.28,0,15.9972,1.4999,3,9.9991,591.4746,3.4999,9774.1707,3.4999,111.2269,3.9999,7.9997,5.9999,0,5.9996,186.7307,51.3123,186.7261,6.9997,540.9056,3.9999,2.9999,0,28.8258,57.4506,91.2685,24.4835,4.5,37.6465,50.9648,156.2862,8.4987,111.3391,2.9999,5.9999,5.9998,6287.8275,78.6045,7.4997,0,179.7464,45.9633,3.5,16.9888,3,0,37.3316,19.4903,4.4998,0,0,0,0,0,112.5574,0,4.9998,52.4703,33.8238,49.9785,0,2.9999,603.1476,2.4999,0,375.0169,194.9558,171.4766,176.5527,2.6599,0.66,2275.9778,75.7816,5.3392,56.1285,85.1361,104.5798,138.014,430.2598,44.1413,0.66,0,109.712,165.0763,59.8852,280.9369,200.1992,1506.874,32.6433,0.66,494.782,0.66,272.8367,365.2421,11.3314,75.2783,187.5136,4.6595,216.1651,73.6092,0,153.6674,1437.4903,16.4985,35.1523,2.6599,2987.8042
GLUCUROCAT-PWY,11521.3953,3170.5293,5781.962,14911.3971,10149.6162,13167.3984,5841.2925,23703.1607,15940.9349,11314.8097,7248.6703,23638.6484,4773.2783,15142.7122,1820.6742,1865.4449,4146.4899,8643.6097,5682.469,2285.7728,10932.6354,4220.0523,29719.0012,25177.781,7339.8435,6863.4965,6746.5867,1702.2707,6102.5937,10923.4864,4104.3981,1944.9703,875.8556,15439.3408,9138.8205,7641.3704,27532.7287,7341.0673,9305.4011,9895.8353,2582.9479,914.4712,2529.9113,6928.3911,6365.3792,8595.7556,13175.2566,12940.3742,11921.7215,8796.1914,7146.4224,7457.4361,4974.5728,6525.6584,17206.6341,1569.6765,2033.413,15049.4169,1720.315,12751.2025,1544.5454,11554.5994,957.4422,3690.8566,9371.0772,24650.4207,8332.6556,2151.3347,5282.6389,12029.1611,2923.5149,6488.8913,2132.9538,8204.992,6034.2497,2721.7009,4510.5343,9900.3958,5965.5116,4929.495,10584.1191,2224.2108,9264.1972,15961.3073,5068.7122,7430.715,16854.0265,7143.7476,26093.3824,2700.408,2218.212,11846.1347,6437.3972,2101.1677,4708.282,23278.2549,10561.7808,2270.4533,8398.3599,5870.4765,5939.4544,2078.4934,1205.859,6225.0076,5804.45,1960.9609,3332.7992,8441.8236,1374.0326,333.7524,1951.4254,12824.7852,4073.2706,2883.3203,1293.0686,14883.7874,6598.127,817.7657,2235.3749,4373.119,1822.7334,16503.8853,4826.7963,1714.9916,2502.8171,2913.0841,6817.6087,7515.8452,909.1774,31.483,19310.4335,16365.2895,3681.2859,10754.9843,8858.2089,10599.4652
GLUTORN-PWY,21869.708,7255.6287,5159.3098,6719.1741,22206.3099,41886.8189,10721.2347,35299.5576,18671.4859,21401.0416,26837.5946,46246.1025,9183.1142,20301.8219,4482.1642,5476.8605,7946.5794,31156.651,13453.9245,2618.5305,23326.971,14164.1459,50154.6304,39444.7878,15948.2526,7838.3332,26963.7097,2017.8697,10886.6924,9668.2689,6747.7168,5869.0222,1168.9155,25208.6595,22445.1138,8461.7719,32309.4357,7586.483,22428.1602,24916.3858,5355.1955,2267.4117,5299.3981,9846.3988,10157.3486,24930.4774,19927.3557,15566.1169,21649.8522,10748.0338,34718.0067,16424.445,10007.1821,20906.0373,20615.0135,5303.7147,2893.1797,20516.6309,2173.285,27694.5426,2712.6827,26080.5388,1204.9285,5477.9092,9783.5845,25360.563,16129.0523,3383.5708,9397.902,44367.4758,7302.0346,6836.6574,4845.9448,8036.6559,16756.006,5893.5756,7689.8144,41771.133,5519.5767,8381.2044,11235.6548,6351.5754,18250.2229,18770.2971,7006.5583,7494.3846,29820.8148,19536.7915,46811.4926,9339.6288,12485.4115,14042.0305,11227.9744,12185.1439,4946.4283,35327.022,28210.4786,18337.0777,13715.5111,5441.0339,7318.6475,6924.8719,6898.7404,25502.206,15076.1911,3065.2943,7821.5116,11078.0108,3330.6095,1352.4643,1829.478,28941.2323,14486.8003,5973.7717,16018.8602,42702.7944,7398.2889,1372.4795,3435.1834,6761.7583,2161.4689,47328.6704,7166.2196,3282.1043,3332.1841,33430.9509,8733.1787,37486.3756,21133.8742,131.1128,30060.2991,28402.8111,12077.259,39809.7762,21728.6585,33430.5188
GLYCOCAT-PWY,47860.3318,38137.202,19679.6044,19413.6023,41232.1059,62558.2005,23617.0158,64816.172,44806.5663,41129.706,50865.656,79611.0659,18045.9119,42507.6358,26490.0587,15713.8313,18185.2011,52952.3378,25924.1728,11637.468,41180.6107,37354.9983,74857.9029,73930.3814,29876.7669,26824.4831,57796.2812,9636.0421,29080.3463,30610.3358,21254.7952,10541.9637,7693.4785,43477.4881,44277.902,22302.8733,60284.5694,23902.7472,46752.566,69104.4565,23100.8019,10083.7759,16349.6839,26219.3163,31284.1787,47078.2304,44080.8843,37442.4328,39689.5601,35575.6101,52931.8938,45227.1034,21475.945,35797.9291,41044.8258,12224.0567,25656.3528,46796.1771,6586.4363,52601.3633,9448.9802,40551.3873,4019.5882,29284.0422,32388.5544,44870.1178,38021.2966,18253.3761,24975.0725,67648.2996,18048.0035,25474.9597,11254.4678,34024.6842,48938.0547,27518.8068,15076.3319,68124.4937,18292.1603,39446.0161,39098.0432,11531.1226,44949.6201,41700.6182,27404.4545,23156.3132,48284.5534,35626.2257,64834.5031,30290.0932,40595.1302,32276.2284,21735.2364,47689.2332,11637.0819,71321.262,53704.5515,81893.0801,26581.2507,15917.4707,18415.3578,12702.1245,16229.9757,50348.192,42690.2351,10647.5222,14112.881,24794.0443,10999.898,7980.5934,6966.8614,50718.6263,73068.7775,10695.4298,39676.9379,86296.7602,20073.6079,5998.0733,11181.6406,18942.6884,8003.6502,111222.6962,12927.8776,5403.6447,10775.183,105717.3613,17862.4521,71325.0181,52127.2889,806.6848,60662.1636,41594.5312,41099.2565,83151.3463,42551.9736,59976.692
GLYCOGENSYNTH-PWY,68222.2299,173608.7761,63021.2081,65174.2855,47478.593,58379.8235,27137.5818,73985.5971,49941.394,44417.0492,49992.5887,85483.5941,22632.6666,48307.8767,170532.6122,68171.2368,20620.2488,51443.0164,31516.2926,31958.5054,46425.3105,113570.3643,74669.1118,86961.3398,33488.3374,103982.7416,62269.2127,83945.19,45718.4727,75052.9928,47546.0435,9481.0534,107389.1012,50262.8749,49538.1891,31508.9529,71978.5526,41264.8254,57750.6783,104838.3214,52171.019,62283.157,67593.02,41542.5757,48210.9758,47518.2169,62199.6382,50471.4166,41706.5143,70874.5031,47368.4621,52071.3649,31757.6047,33899.8631,48787.9937,13806.5039,196751.8546,46856.5956,16721.2048,61203.8584,21988.9509,39523.9435,14988.6262,140723.073,46778.5666,54063.328,56486.5994,54895.4036,26497.015,66517.6288,30622.9755,114048.6238,13074.8241,78562.8032,55708.1162,63340.4935,19734.609,63137.5171,44613.514,134586.202,145103.1231,10325.3268,66091.1213,49057.6988,94382.1249,46575.008,50758.3692,37648.5949,65015.6998,40659.0088,54866.8003,34150.1677,25622.5491,77960.2851,16860.1223,96379.8897,70150.6574,159754.2307,36702.9626,30788.2229,32243.4327,10785.828,14719.7854,54344.6383,82011.3824,48755.9699,11649.3961,35075.082,30406.9954,94150.7202,33643.7283,49731.4715,176807.0177,13113.3416,195060.99,124284.8636,40605.0785,25291.5735,33213.4988,37493.5286,72579.9319,119571.2273,14304.4137,6115.7883,31652.701,131029.941,21675.5601,73727.7759,58287.4796,43737.7749,74854.0226,39835.5774,84425.3706,86864.7592,46958.1736,58741.8583
GLYCOL-GLYOXDEG-PWY,199.5458,18.2867,6.0675,1605.6404,1282.4305,28.4557,2.4979,451.3936,267.235,1066.884,40.6285,183.9112,15.8266,106.9553,13.8507,331.4952,0,234.8705,184.6855,14.7192,598.5599,173.5985,188.8105,510.1228,18.0411,9.6221,42.3689,32.5681,646.4641,1.1398,30.213,1.4993,6.8107,135.9717,775.7022,18.4394,402.926,258.424,84.8041,10.8505,540.4343,21.2307,0,26.9028,857.7218,37.311,418.9911,42.7764,1148.752,67.03,12.9855,369.6959,17.7773,144.7881,116.9374,8.4777,73.5578,221.1788,10.3024,125.6106,9.0411,620.9889,9.7688,24.5626,10.9697,196.0384,86.8859,59.0763,7.4724,154.1338,49.0985,15.4663,2.9944,890.7143,491.4233,135.1381,8.3456,78.6372,5.5713,16.8486,10.5692,0,22.4379,56.6115,17.101,21.1602,267.5481,105.4098,177.7988,9.9734,17.9198,197.7099,44.2786,297.2361,33.4366,679.4495,187.3645,227.9482,20.4358,47.9029,0,35.4871,42.6912,77.0314,130.7865,125.7294,20.7227,35.1745,62.9636,0,85.0816,146.4271,198.9774,0,355.3345,228.6319,11.9474,43.9134,51.2816,21.8347,193.8491,360.8311,15.8821,0,98.9726,261.005,0,731.5539,91.7963,0,395.5045,1883.7546,56.8301,412.0681,12.0717,22.5582
GLYCOLYSIS,61477.99,37104.3006,55503.0011,68621.189,53243.6636,59854.8902,22879.4618,74311.301,54691.5596,48671.7289,45451.5373,83884.3731,30941.9469,53241.0366,19296.4725,38381.9363,16678.7161,52939.0889,30945.4837,14634.1844,38469.2246,72920.8913,61513.3157,87859.1054,34511.7544,84553.7978,59971.0141,93913.7091,38171.9913,73517.5898,30741.4691,12667.7414,25922.5199,49800.1515,46364.4353,41726.2404,76585.207,55477.3901,56767.4063,77745.6437,46289.2484,98804.6813,62663.3131,38740.626,58691.6443,45877.5115,55941.5843,53573.82,44017.4476,79927.4793,49306.2638,53941.6165,26924.495,34899.5449,57479.0706,18137.1853,81716.5166,47568.8536,29907.6043,61456.0734,23254.7352,40097.0733,27501.2071,30101.5698,54599.1948,57684.0554,49476.2556,40413.3707,26058.951,67718.7361,24616.8899,89592.5509,10779.0751,82900.1193,45319.0481,58159.0812,18724.4481,65390.9553,58540.6988,43727.1061,135894.2604,12548.1225,55261.1729,56319.0125,92102.1692,50083.5099,48529.4515,34014.4529,48052.7365,45773.3479,43371.3707,36230.8545,39477.2738,63136.2118,16687.7531,88323.0265,81338.4042,116558.2701,33576.3568,25654.9231,27121.4001,12927.4013,14138.8632,30181.9006,146705.3724,41729.1034,14092.9903,31252.9469,49658.3433,61922.9558,16928.6776,41908.436,41764.2608,16318.3293,98162.671,143971.4646,31316.575,14719.4994,16670.9562,31663.3746,27698.6071,118521.4562,14893.4657,7717.0514,31734.3808,64047.56,20468.1954,51484.2227,27004.896,31448.5858,69603.6692,32876.7645,80879.2014,69379.9871,59087.9117,66324.6569
GLYCOLYSIS-E-D,44674.6861,15465.4477,45668.3041,49054.3791,14666.574,33857.1715,14107.7737,54387.2142,19201.4384,25213.3689,34150.1631,35036.2381,23235.0672,40107.8369,11883.3172,16665.3032,7853.6047,37111.5365,19851.3381,6440.1678,17599.7647,49926.3103,21969.2279,66660.3421,28352.1859,34049.861,46049.6489,56805.1559,29706.4777,54823.359,17837.0926,9589.7329,17353.6924,26387.8202,17114.0118,33641.0417,12192.3967,37668.4637,26313.891,57842.1055,18872.0954,34971.636,51524.2153,27973.4148,39154.1287,35379.6606,43792.0302,39311.1725,24208.455,63735.5426,27929.2434,38863.1688,17311.3042,21775.445,39282.7025,13926.2343,38494.0576,33892.9685,8775.1898,27998.5473,15174.7654,24580.4377,5088.0483,15776.7971,39002.7405,7483.6656,35978.7908,29263.4096,19794.8291,42109.1423,17793.9722,30128.5204,7570.9616,49090.8161,33754.222,28071.2316,14229.869,44248.7015,24622.5546,18756.3802,108047.3058,9570.1659,39977.4498,45162.1676,50112.8557,37138.5167,15788.8606,16646.546,23310.751,26233.9561,24728.9679,5798.566,29628.3824,27454.4564,12977.8201,25573.2391,56044.7992,26070.5517,27514.2548,19001.9092,20999.4786,9650.0147,10648.7305,11658.791,53813.4582,21063.233,11017.3248,25616.7217,14118.0744,7645.0367,9876.4154,19196.8481,16835.8026,11846.1228,35836.0801,89570.2924,24707.8289,7761.7966,12978.5907,24325.8052,12914.2053,63021.7823,12059.3816,5977.6009,18780.2449,39677.3915,13480.2875,31299.754,16746.3259,921.7742,21654.8256,17298.1233,58146.0389,26542.4667,46029.4679,44650.2
GLYCOLYSIS-TCA-GLYOX-BYPASS,1605.4227,140.1417,49.0684,6009.7742,2135.6125,294.7178,11.2205,3635.1702,170.9513,234.5754,209.2676,17.9751,40.285,192.4249,97.019,1685.0573,0,1541.3558,802.7586,113.1867,861.308,954.795,197.881,4013.3899,144.7688,58.1055,376.7463,105.1533,3703.2673,98.1514,153.3042,6.7404,46.254,44.8084,1440.6889,251.9863,472.4224,1894.703,17.9616,384.9224,2135.6883,155.3896,150.1102,356.8559,3389.6388,396.0651,3050.778,240.5554,159.563,541.9549,102.9219,2615.1652,64.484,601.4395,860.1969,37.9405,518.6052,1622.0934,39.4646,47.0322,37.7061,195.9214,13.3741,185.1946,106.455,300.3112,729.4455,258.3372,66.3936,430.7203,223.4042,122.1875,13.4349,3729.4046,3029.0995,1000.647,51.3806,672.9636,71.2072,147.569,300.2608,0,422.8028,411.2058,321.6117,197.053,219.443,250.1718,129.1187,131.7173,144.7858,626.267,11.2404,1935.8699,35.7117,819.0761,919.0652,794.0513,40.3729,310.3193,53.5356,300.3865,160.857,295.7961,598.7189,624.2114,135.1036,31.3859,186.0831,0,644.0153,546.0448,715.6563,0,1158.9244,1059.364,80.0251,226.8469,0,104.0377,1184.7576,1222.5604,17.9465,0,525.069,992.8258,0,853.3343,368.8801,0,663.9454,3297.0471,226.6376,229.6881,31.4599,264.1377
GLYOXYLATE-BYPASS,5936.3211,729.493,1297.0439,1579.3254,1306.216,4393.4352,1110.717,6438.6368,291.2903,1520.3292,3404.7438,2179.6825,1800.6985,3503.1279,581.5634,2975.8068,563.5664,5318.5232,1832.8225,362.015,1362.8322,7466.8794,1613.6455,7106.1869,4214.6992,2104.3395,5350.4398,378.2162,2697.3561,2882.8422,1417.3503,1489.5107,117.6439,1854.2586,1112.5566,2909.2507,406.1106,1882.2304,1412.6018,3184.0025,736.2988,604.5664,2245.4175,3173.1213,1090.3872,4926.6036,5744.8927,1766.9327,1956.6809,3563.3058,5521.5981,2400.2093,1477.7112,2501.8727,2354.6185,1440.2553,366.3324,2326.2074,347.1582,1896.0737,752.7872,2868.5466,364.945,650.0195,1886.9388,197.4238,4310.2657,665.7541,983.3845,6746.4892,1240.9448,2700.9796,722.4332,1302.082,1471.4427,810.4419,2197.5322,8148.7969,1508.1311,882.386,4502.0277,1303.1448,3566.9021,3994.2347,2671.0269,1750.7689,1082.9709,1382.2624,2199.6067,1489.4595,1536.9957,210.2576,4412.7771,1606.7787,984.9687,967.9644,9184.2,2897.0252,3182.1247,1616.4596,1168.0228,1151.7372,424.1235,1056.7364,4962.6939,772.6066,1082.5087,1895.9556,918.6766,69.4121,676.1682,1549.9131,1139.1712,1216.6252,11212.0348,14774.146,1259.3178,218.1615,109.8006,1328.5241,841.542,9827.8686,1439.7057,783.3494,675.2841,4489.703,1011.8516,2760.3472,1237.2291,12.389,1288.0796,2880.9001,2387.6943,1471.6238,8313.1808,3975.6606
GOLPDLCAT-PWY,1281.0088,512.0019,11754.0623,21921.3357,212.928,710.6151,338.9385,8717.698,3905.7237,2487.2988,2313.2611,3059.5809,4535.5833,5772.4695,394.3743,3035.542,211.1508,1795.2402,2642.7848,123.8877,419.3944,9836.8072,2202.7938,10716.0831,2333.6584,14726.3817,4173.3042,15101.5027,3158.378,10646.2081,483.5969,2233.0477,4296.8068,3681.3329,341.6901,4656.4721,255.5405,8807.3179,3325.9165,4582.484,7078.828,14728.5122,10591.0354,4834.3545,20010.4797,856.4901,1105.065,8162.0482,1762.3166,12606.0757,867.2991,7257.6138,835.9678,296.9349,7350.8177,2876.4677,17104.8314,4789.0268,7913.6595,2588.5386,2842.4731,1011.1997,8618.328,1222.6689,10650.459,86.9669,855.7901,10587.7499,4377.599,814.5169,367.4878,14705.8023,98.4549,18053.244,6348.7876,12475,243.2341,1641.5601,18231.7808,1110.1939,20046.4754,2146.0583,5284.5031,7752.218,19470.6909,10265.4835,1330.0258,414.4993,1581.1958,8894.4967,5461.3276,237.0194,4990.7763,8749.9799,2354.7392,5802.23,17599.2716,336.8977,1622.6028,1492.3322,4040.4209,862.5935,1743.4755,198.5307,61027.0351,4032.0294,1077.1778,4358.3433,23526.6104,15677.5422,709.8965,331.9304,1126.6198,886.097,269.4452,32310.7415,4387.319,2052.759,3194.5734,6042.4978,912.2935,373.0456,980.0872,240.7837,4319.1932,835.5477,1582.8511,954.1565,59.7494,2580.3895,661.4339,900.3064,12314.1664,893.2549,10217.7519,1018.5269
HCAMHPDEG-PWY,3.8182,2.4545,0,82.0909,348.5455,2.4545,1.3636,0,3.2727,4.6364,4.0909,2.1818,4.9091,3.2727,3,94.6364,0,2.1818,11.4545,6,0,12.8182,0,2.7273,1.3636,2.1818,1.9091,1.6364,35.7273,0,8.7273,0.8182,1.6364,5.4545,1.3636,1.9091,67.0909,1.9091,2.1818,2.1818,4.3636,3.2727,0,3.2727,25.6364,0,24.5455,3.8182,3.8182,2.1818,1.6364,0,1.9091,4.0909,6.5455,4.6364,2.4545,2.7273,4.9091,5.7273,4.6364,16.0909,1.6364,3.2727,3.2727,44.7273,2.1818,4.0909,0,16.3636,7.6364,1.9091,1.6364,1.6364,0,0,1.9091,2.4545,0,0,0,0,0,4.3636,0,2.7273,1.3636,3.5455,0,0,1.6364,0,1.3636,0,0,105,93.2727,96,0,0,0,0,0,30.2727,46.0909,56.7273,0,0,23.7273,0,0,59.1818,89.7273,0,153,108.5455,0,17.4545,0,11.1818,0,148.6364,0,0,40.3636,102,0,99.5455,39.8182,0,83.1818,534.5455,1.3636,18.8182,1.0909,5.7273
HEME-BIOSYNTHESIS-II,206.1404,64.5711,40.2704,10026.3926,6453.0182,252.7975,21.9708,615.8125,337.9358,571.961,224.8799,359.3031,31.9376,73.4154,50.8744,3293.581,14.9808,293.2829,1366.399,18.8812,513.3912,6866.1589,605.3804,670.516,120.0803,37.4442,303.5836,31.8059,679.8103,72.6457,29.446,1.4997,28.644,2711.9715,543.2499,87.3864,5384.212,300.1898,817.9058,235.9823,709.6272,1453.6277,97.2345,90.4874,1336.5047,137.4657,383.4212,769.7702,384.6462,184.0682,62.7409,431.0488,60.3617,237.2535,119.4931,8.4904,97.0173,282.3592,10.976,192.5778,22.9057,806.8131,9.9731,239.018,39.8545,3447.8953,87.2781,324.651,34.2905,1890.0379,82.6838,46.8672,157.5189,1198.4836,595.8736,164.9743,40.8869,146.6792,28.931,290.5575,169.5485,11.9783,146.9689,59.8583,106.217,374.3343,253.224,632.7217,3021.3304,46.7804,37.8139,357.9346,42.9026,326.1794,23.9116,334.0106,172.594,1370.4437,62.3039,40.3184,40.8209,78.4375,480.8714,370.2024,174.9439,102.6839,179.9652,14.4848,45.305,1.9984,123.6504,147.4465,324.4065,86.6051,11483.2271,198.6507,61.6487,55.7513,49.6578,53.2598,234.3433,271.48,17.9444,23.7792,73.3438,2989.8637,1.9996,1281.2517,74.0408,1.966,290.0527,866.8573,791.8643,2035.5575,2464.5738,127.0139
HEMESYN2-PWY,24960.203,4476.674,3573.8854,17284.9358,15073.6809,15153.6811,8924.5181,28144.8563,7682.2153,8880.354,15335.0003,13187.2597,9236.9921,12272.0893,1940.6417,9043.3794,6229.6492,14200.1526,12772.212,1407.7598,5648.1756,16549.7056,12641.2365,33547.0678,9298.3042,10634.7936,16015.181,2651.6209,7977.9488,7901.781,7268.9143,3619.4911,1117.6455,14308.7134,6796.395,6719.7867,17115.576,7501.1927,10238.6288,25870.8678,2739.5839,5301.1004,6384.9848,7594.2621,7299.5168,20232.3391,18237.9543,10017.082,6372.5419,9131.5784,7821.4153,8400.513,13475.9746,14014.445,16999.7561,4034.2835,7625.7914,9863.237,2292.3713,9038.1255,2968.0679,11976.0359,1571.278,3015.3204,5344.5324,13893.0037,16765.0282,9566.2368,2871.8011,20800.0704,10114.1285,7086.2445,2910.7975,5960.2154,5395.2106,2658.0598,7884.8723,13615.5253,5434.5317,7004.4587,10314.9008,3729.7858,19963.6625,14101.6956,6446.2244,5626.7705,10646.4795,12467.3655,10123.5623,4808.9962,3943.7363,5227.1943,9961.3107,3353.5038,3437.7285,14467.0298,37509.8127,9668.7923,11609.6336,4166.7742,4700.0794,2502.592,2349.7078,2253.6436,22602.4103,3800.5726,2671.1872,7854.8495,4424.9108,1072.0063,1763.2687,5720.7158,6255.1024,2851.1136,17024.6692,54284.4558,5341.8696,1851.0795,3598.1362,5885.6693,2367.8638,14988.6741,3427.2508,1376.8447,3930.0338,20681.4248,6526.2516,12337.6344,2866.2754,54.549,13379.8914,3883.9295,14667.5736,13607.3886,14318.469,18217.9858
