#OTU ID,SLCFP072,LYZdtt342,LYZFP308,LYZFP307,LYZdtt308,LYZFP331,SLCFP131,SLCFP078,SLCFP070,SLCdtt022,LYZdtt366,SLCdtt070,SLCFP023,SLCdtt005,LYZdtt354,SLCFP022,LYZFP355,LYZdtt330,LYZFP319,SLCFP005,SLCFP024,SLCFP053,SLCdtt114,LYZFP320,SLCFP095,LYZdtt356,LYZdtt368,SLCdtt095,SLCFP077,LYZdtt367,LYZFP356,SLCdtt024,LYZFP354,SLCFP112,LYZdtt319,LYZFP332,LYZFP306,SLCFP113,LYZdtt306,SLCFP071,SLCFP004,SLCdtt113,SLCdtt004,SLCdtt112,LYZdtt355,SLCFP094,LYZdtt343,SLCdtt076,LYZdtt344,SLCFP052,SLCFP076,SLCdtt096,LYZFP330,LYZdtt318,LYZdtt332,LYZdtt320,SLCdtt078,SLCFP054,SLCdtt052,SLCFP114,SLCFP006,SLCdtt054,LYZFP343,SLCdtt006,SLCdtt077,SLCdtt132,SLCFP132,LYZFP344,LYZFP342,SLCdtt130,SLCFP096,LYZdtt307,LYZdtt331,SLCdtt053,LYZFP318,SLCFP148,SLCdtt150,SLCdtt167,SLCdtt149,SLCFP166,SLCdtt148,SLCdtt168,SLCFP150,SLCFP167,SLCdtt166,SLCFP149,taxonomy
ASPASN-PWY,11607.4643,19884.7741,77768.6432,51605.087,40150.9615,139677.9016,23756.7197,17302.262,15902.6944,33679.867,27256.981,4737.444,10239.6223,4591.98,21664.5458,11984.6145,38577.2832,21281.8554,37725.3945,11048.35,12154.1575,19795.5658,14338.0042,8159.6824,2919.7758,24030.1957,46591.5131,3330.8017,6298.3447,40876.4244,44030.6308,7539.5339,38018.895,10832.5375,5568.0332,167792.0994,82274.9155,5171.47,19135.1745,17347.4928,3009.8057,7562.5997,3205.4168,1747.6431,19670.7179,7746.7295,17847.5153,17673.7025,28557.2171,14970.9124,6164.1,1956.7479,106475.5132,24521.7267,41446.8573,38090.9968,14026.8323,12221.1622,22650.5377,5743.51,9180.8862,8434.8719,55467.1592,8634.549,11199.5126,22808.2485,16049.9858,53104.2917,31286.3391,4221.1323,342.7115,37259.2332,33155.9662,22974.4986,56347.1292,32124.4991,53163.1158,50476.4235,74717.7541,51978.7061,59948.0334,51557.9857,61540.8283,38519.4469,35338.9509,43310.2718,
AST-PWY,0,127.5,96.25,85.5,193.25,88,0,0,0,27.75,52.5,0,0,40.25,40,0,27.75,60.75,42.25,52,0,0,186.75,21.75,0,56.5,450,0,0,44.75,54.25,0,82.25,0,87.25,140.25,99.5,0,61.75,0,16,9,22,0,62,0,54.25,19.75,159,10.25,0,0,136.25,133.75,60,48.5,10.25,0,3.5,0,37,0,93.5,75.5,13,0,0,91.25,36.5,9,0,195.25,106.5,3.75,76.25,490,0.25,0.25,0.25,1.25,0.25,0.25,17.25,1,0.25,5.25,
BIOTIN-BIOSYNTHESIS-PWY,8.3886,1024.8815,4610.2231,668.3528,2839.6301,2647.2056,6.9957,0,0,1351.5238,496.1894,79.2614,6.9835,247.0451,384.772,19.2034,1375.629,598.1733,650.0243,313.6853,37.6531,44.5077,1258.4246,272.4724,6.664,581.9355,3454.3275,8.0172,6.985,601.3594,615.6444,8.3806,1258.382,61.6184,549.5459,1318.5062,858.6188,0,636.3166,0,91.1484,61.9612,125.6455,0,711.7268,70.672,539.1172,141.0383,1240.7942,77.6828,6.9731,17.9772,1242.9543,1830.788,614.2318,715.1361,93.1376,11.1839,155.0767,0,239.8239,39.788,3980.0172,495.0065,95.1691,130.496,11.1864,4380.2651,335.1392,68.6563,0,1739.9969,860.1187,261.4211,2038.6858,3509.8701,79.4795,724.6209,136.8389,1156.3254,1513.057,473.431,2733.3364,6292.1254,44.5001,66.279,
BRANCHED-CHAIN-AA-SYN-PWY,8751.2231,14395.3348,63871.4571,47317.2255,41885.7562,35191.5594,21186.5711,11222.6753,13010.9166,29817.8588,27207.5664,3121.7689,8971.2491,4741.9241,6362.4851,9669.2229,37427.6926,15048.9178,31219.9562,5111.3667,10268.5283,16854.9443,9586.8795,7035.0376,2768.6671,16570.9323,43386.516,1232.5925,4135.2716,38500.6423,41824.3095,6326.569,30897.6679,8758.8638,4676.7671,38717.9923,72413.0349,4114.4944,5051.926,13481.5348,2591.8131,5144.0777,2662.9322,807.8173,13696.3175,5785.727,10156.2874,13862.954,25778.7734,11685.7748,4678.5427,1678.6763,71874.5247,21528.8462,15833.9225,13243.2559,9568.6524,10379.0158,14436.1837,4566.747,5662.7162,5291.6615,63203.4423,9899.3483,7444.3703,20047.1645,14140.2982,54675.7429,31643.3262,3862.4838,248.6372,33560.0859,23956.5115,15467.6737,49905.5725,38348.6288,49514.7067,37493.8378,64230.9073,23581.5623,63879.8372,41398.0023,61019.4088,32553.9034,26456.021,49085.7563,
CALVIN-PWY,14735.8091,22656.6864,75873.1501,76549.1791,73192.9805,148164.7241,30301.446,18870.7371,21774.3197,42086.0647,31248.8697,5885.8934,10581.8885,10411.0679,12307.4138,12093.4834,23713.9267,30915.093,65565.9194,13947.6953,12466.5591,28527.1858,19912.5322,14719.4507,3536.8705,24204.286,48565.9292,2389.7495,9059.6521,43612.7599,36285.3477,7333.6081,28662.7468,15984.638,9018.7196,179677.5622,123081.2452,7250.8761,12284.7099,23251.9309,5303.9603,12209.462,5133.7497,1765.7348,20073.0879,11807.7549,12967.3904,24453.3521,33211.798,21312.7163,12230.6424,3653.3212,111967.0888,37535.1836,46880.4241,33883.8106,16208.972,14820.5287,22573.5551,7590.7312,13816.7265,8474.2639,48939.1514,19398.5797,13391.6899,25838.3898,19640.3367,42290.0292,13643.4467,5269.6485,392.2454,58984.4231,36499.2779,24039.3811,63211.3986,43513.7789,77632.4853,64231.4564,107642.8423,72261.9026,74453.2786,66357.6289,59607.181,48584.5104,49070.1243,57668.0201,
CENTFERM-PWY,31.8237,660.159,1045.1409,600.0532,1235.4218,502.8068,77.5304,60.249,50.1225,345.1573,310.4353,22.0542,73.8788,854.8546,162.5211,70.1126,133.362,358.5196,480.751,95.7576,53.4529,6.0978,237.1723,162.094,3.3877,308.1989,2156.4981,0,158.0362,342.046,374.6816,32.7425,571.2292,94.3346,278.2854,1436.6099,770.3317,35.9798,274.3023,77.3533,77.7992,45.3927,109.3988,0,290.4362,0,290.2185,903.5102,1003.0193,69.9127,277.3309,5.0929,664.7256,889.2325,399.0852,321.1465,503.4871,3.48,27.4695,29.8721,111.0131,0,1224.9037,1790.0279,366.1046,53.9385,0,1498.3945,157.1997,48.9071,0,1155.8396,596.2583,48.655,528.1645,2717.5395,2077.9417,13.9761,239.535,297.7813,374.6238,133.9637,137.1776,202.9173,75.0039,180.2973,
COA-PWY,17437.7282,39258.2051,89958.8607,68749.5302,66231.5955,144010.6563,32567.5139,31936.0597,34630.3978,39170.6908,28698.9105,8867.947,12540.5659,25094.5756,28378.6095,17822.3795,49812.9731,24365.7402,146730.3832,73535.1581,14246.1705,32743.6631,26349.819,51351.9541,105687.4097,101596.9453,45762.1932,34466.598,33335.8501,40969.4993,46178.6752,9310.7655,160687.9908,15064.0417,27759.6254,176858.1068,124771.6125,6753.6464,24566.8715,44008.8197,34407.7302,23911.1171,16618.0506,2549.5452,52508.3533,34339.4864,22199.18,61090.2982,57018.8395,39256.8726,74065.9654,75945.8676,108504.478,130862.2363,48805.4007,49777.8482,39493.5678,13512.0542,35668.4019,7066.8336,48559.4037,11913.3836,118685.0119,37611.872,48199.9028,25017.4948,18482.0064,68360.3526,52615.2575,5198.312,51396.2056,100508.6943,33606.1195,33485.5256,62527.0383,30331.7176,111284.9184,145284.0079,164961.8769,86354.0084,56381.614,116497.5068,75664.2579,56176.9291,298559.4611,49469.717,
COBALSYN-PWY,3789.2895,2961.5854,26344.0808,32785.5572,25993.797,2850.8959,6414.939,2998.353,6551.6782,14999.9793,4338.5936,1463.8537,2143.8896,4421.6029,363.4354,2435.1179,1071.7149,3302.3842,92368.5803,6890.6321,2475.5723,8493.4131,4912.5006,29188.7587,14358.8581,968.8029,9741.1944,5049.8688,1410.4517,9739.6714,3172.675,1154.3039,2327.2609,5575.897,10623.6161,11623.2673,54188.6571,2410.3279,4247.0179,6462.8043,2439.6047,3412.5227,1827.5274,327.8971,998.0777,5063.4905,1474.0268,4647.1901,5243.6821,8231.3083,2004.4001,18824.6134,9454.1788,17935.8219,3820.9935,24829.7555,2012.1707,3866.0675,5655.8841,2302.879,6235.9035,2013.3899,4839.0413,6621.2746,2091.8255,4385.2767,4136.522,6206.6119,1291.907,926.2828,7810.1821,30469.3671,4765.5334,5238.291,21965.9198,19720.8112,10866.1186,22380.8526,16720.9346,16212.2677,28115.8015,26966.3693,15951.193,18810.7134,23625.8644,19103.7992,
CODH-PWY,346.4166,330.5633,860.6138,732.845,420.7609,211.845,2367.3214,147.6425,68.9281,1052.7844,708.4871,123.0892,594.5699,288.253,52.9385,81.8086,363.6564,575.7695,584.82,1051.7228,899.076,400.4772,1232.7554,288.184,75.9699,198.8047,691.5983,342.1842,0,481.9991,424.9962,251.4523,114.9586,299.7131,112.7694,43.9945,881.6548,144.311,203.8521,631.164,12.9973,700.9549,273.5917,49.4104,179.6891,225.1852,416.8114,133.8518,581.0457,223.319,23.9961,109.9136,1448.7614,497.0565,287.156,691.4732,59.9542,817.49,390.7316,545.5629,889.1374,500.3196,227.7861,387.9053,41.9816,940.6633,1002.7536,902.9741,76.9428,259.5062,31.9888,507.7206,983.5196,1750.5413,407.6785,1440.1544,2383.859,948.8727,3920.6869,82.9586,1405.0261,2433.1585,1343.6278,1599.0031,2968.9257,9.9989,
COLANSYN-PWY,5127.014,6008.7048,43325.8334,21947.5119,15159.0552,6500.6566,10400.5366,9576.5366,5415.1957,15541.9943,20933.2687,1353.8059,3195.6276,1429.5558,1117.8807,1427.5714,9428.7313,9972.7911,14785.911,2295.6656,4622.1332,6910.6953,6577.8668,3121.0741,251.6739,9527.5147,27294.0487,259.2111,3044.9186,25209.9,16698.9421,3014.3427,7747.5647,3504.7489,2097.5861,20108.6914,35064.9759,1789.3572,3556.9344,6976.6138,594.0408,2996.2503,864.3617,501.8993,7418.8776,1572.5296,4062.2913,7020.9104,11223.6354,5403.5717,2652.0336,307.2208,29923.9781,8938.8576,6385.123,10621.4028,6700.2445,6533.7715,12698.3318,2305.6457,2367.3828,4983.4697,9999.7873,2812.5831,5006.4108,11289.0617,6967.8452,13393.7301,3113.6583,1546.4229,38.4828,10797.1973,14636.6693,13582.2006,23719.028,14209.3322,25415.9048,22180.1942,34093.5785,7172.3888,24836.379,22149.7495,19161.6369,20237.3285,17382.8541,16485.6569,
COMPLETE-ARO-PWY,6897.8836,13989.238,46080.44,33067.6025,27516.1547,144876.9837,15506.0782,6149.1275,10157.9743,25610.5078,23345.6953,3196.9472,7890.2747,3811.4608,24563.441,8959.9931,20830.2588,30866.7597,19511.9334,4031.5285,8970.3642,12778.7839,8249.7411,4537.3654,1638.4259,9636.4642,33503.1502,823.1406,2346.1723,27918.9763,31268.2688,4879.9272,20363.6,8599.6973,3069.6175,181269.3322,49424.3243,4001.4046,19963.0548,9912.8044,1960.5963,4141.5081,2219.6195,1190.0628,11468.7613,4541.0289,18660.022,10261.7175,17651.4413,8229.5912,3011.4237,1181.5818,98552.2621,14015.2722,37666.0671,46094.6579,6108.8903,8335.6905,8792.0842,4505.8036,4441.5177,3537.7286,34480.8343,7683.3774,4765.3597,14250.2435,10806.0493,37224.7363,13173.86,3117.3959,167.2815,22521.6642,31726.3225,10621.0625,45812.1744,36512.7041,35813.4093,25659.0148,41266.5475,38277.281,64175.264,28294.3339,47683.0675,22758.2412,14191.3796,36715.5927,
DAPLYSINESYN-PWY,8788.9228,22474.2792,50453.9074,50918.2854,45467.6325,143121.2957,22608.5473,8251.6995,14241.9643,29648.5028,19371.954,4707.0633,9935.8437,10282.1986,33768.5565,13990.0701,40619.0531,28769.3681,137022.6501,22106.4368,11082.935,21442.9083,10289.966,46471.9069,44029.0278,16649.1871,28989.1795,15417.9478,4248.044,26038.3196,39422.8986,6536.5184,54720.4507,10303.8724,21048.3901,177573.5924,83804.4724,4571.1291,31609.5623,15698.7691,7943.8503,7144.3207,5445.6532,1859.9328,21951.2734,10694.8196,25740.7203,18401.8121,27774.8564,17960.2005,6732.053,44866.7005,102447.5952,45561.5927,43479.7564,110444.8206,7846.6768,10065.7362,14960.4281,4998.9544,17703.5464,5172.0995,77729.8266,15505.7975,6820.6275,17064.5352,14009.0723,57698.7849,40034.2529,4001.539,22606.6421,56667.023,30606.1385,13625.3422,49035.1705,32338.5097,43976.6768,56527.4535,71095.1629,68594.9413,55823.1827,62340.6273,62057.3263,41806.0231,83148.6803,47830.1397,
DENOVOPURINE2-PWY,14876.1849,43216.0765,92314.189,78371.5214,74619.224,52955.7856,27117.3008,32109.5716,29535.6079,35700.8101,24676.6905,8369.8791,8123.0164,14800.3047,28389.1276,13061.7299,47345.907,14853.0132,176889.8429,21373.8599,9671.3874,24134.3939,13958.0976,61910.6975,63801.2207,116099.7654,39408.1712,30911.6411,35755.686,37557.4786,37019.5798,8190.7267,183030.3365,8193.4744,32975.7029,79854.9848,144647.8567,3305.1054,24822.0973,35238.977,11335.7712,11438.4594,10812.4325,1115.107,58681.5763,17201.7043,21855.6936,67113.6345,63211.0059,28706.2655,79040.5399,56818.1474,74441.0742,151978.4135,41368.2865,49229.3263,44166.8198,9602.6365,32242.0543,4131.4302,20211.57,8515.0881,129024.163,26536.8683,54370.7579,25877.4417,15016.1298,64020.4083,54769.073,5480.6748,17439.8398,116697.1116,23989.4521,26195.6285,60541.6898,18412.9832,90271.105,159293.2488,154618.3276,83499.69,35659.15,127394.7973,73906.6967,50495.4708,327661.0816,46097.9201,
DTDPRHAMSYN-PWY,11000.5546,12495.2502,60920.2271,52248.8598,45098.3985,141812.7026,16864.9139,13626.6884,17718.1282,34335.5099,22296.6433,4018.9138,11578.8607,16508.4285,4762.0326,15923.3767,35454.1986,21178.3516,130944.5366,33343.8226,13545.4784,17511.6001,20778.8291,41899.8679,22584.7566,13381.1743,36902.5954,8561.9406,7422.7997,31399.4999,39816.7561,7590.7583,26358.5203,11814.7517,16875.3469,173485.3721,85192.7897,5288.4211,8925.6045,18840.7322,13441.7585,16341.1236,8238.97,1664.9322,10503.2089,7978.5632,8486.6659,15344.7572,21203.2106,15616.0605,16560.621,27165.8431,104104.0015,34543.2846,38686.5932,44353.93,8586.3596,9797.5383,17251.1999,5768.6732,25373.2803,6164.0573,53608.3978,23012.1084,8204.9174,17027.9235,12167.0514,52844.7579,29298.1493,3093.8014,10075.6169,51126.4196,32042.1059,15685.3704,45172.9045,30463.9476,55806.6644,62278.8021,62677.1968,57980.0505,56115.6009,62275.8818,55620.3373,40777.179,61542.4729,40691.5186,
ECASYN-PWY,0,252.7195,232.1911,161.2908,445.4957,168.1527,0,0,0,67.492,105.7893,0,0,75.1729,80.405,0,53.4997,126.7078,87.2419,83.7276,0,0,314.7901,45.8311,0,113.7231,881.8324,0,0,98.9164,111.6474,0,160.7491,0,168.468,267.0666,189.6976,0,125.1366,0,26.7095,15.4112,41.7823,0,122.789,0,110.0694,45.9386,317.0487,17.7036,0,0,261.6361,299.2889,127.2597,105.7456,23.4182,0,8.3557,0,60.3267,0,185.3636,140.5067,27.9915,0,0,214.9508,69.035,16.6191,0,413.8577,207.3325,9.131,179.6632,1032.0571,0.6248,0.6246,0.6235,3.0775,0.6249,0.6246,42.7094,2.3982,0.62,11.7877,
ENTBACSYN-PWY,0,656.2002,508.891,450.9162,1002.7223,459.3584,0,0,0,147.0805,276.1507,0,0,211.0594,205.3982,0,147.0047,318.9254,224.1742,269.966,0,0,944.1044,114.383,0,299.3927,2172.5384,0,0,236.1886,284.7938,0,433.4128,0,442.7437,698.9033,526.4453,0,321.0762,0,82.715,47.8036,113.0921,0,326.8605,0,282.4595,104.9253,826.49,54.4981,0,0,717.9557,698.7173,314.6309,257.0264,54.5469,0,18.6536,0,193.6819,0,487.8759,395.9606,69.126,0,0,478.3036,189.8173,47.3332,0,1015.7361,554.3887,19.9839,402.3143,2184.1873,1.3333,1.3333,1.3333,6.6623,1.3333,1.3333,91.7785,5.3325,1.3333,27.9559,
