#OTU ID,LYZdtt305,Vil1.07B.DTT81,LYZFP329,LYZdtt317,LYZFP317,Vil1.02B.FP21,Itg.10.DTT457.S51,Itg.20.DTT505.S100,LYZFP305,Itg.20.FP505.S8,Itg.16.FP481.S84,Vil1.04B.DTT45,Itg.04.DTT421.S13,Itg.26.FP541.S45,LYZFP353,Vil1.05B.FP57,Itg.02.FP409.S9,Lyz2.04B.DTT245.S86,LYZFP341,Vil1.09B.FP108,SLCdtt021,Vil1.08B.DTT93,Itg.12.DTT469.S63,Lyz2.05B.FP257.S54,SLCdtt147,Lyz2.03B.DTT233.S73,Itg.04.FP421.S21,Vil1.04B.FP45,Vil1.01B.DTT09,SLCdtt165,Vil1.013B.DTT153,Itg.12.FP469.S71,SLCdtt051,Lyz2.06B.FP269.S67,Itg.10.FP457.S59,Lyz2.08B.DTT293.S135,Vil1.13B.FP156,Itg.18.DTT493.S88,Lyz2.08B.FP293.S91,Lyz2.01B.DTT209.S49,Vil1.05B.DTT57,Lyz2.03B.FP233.S81,SLCdtt111,Lyz2.01B.FP209.S57,SLCdtt129,SLCdtt003,Vil1.01B.FP09,Itg.26.DTT541.S37,SLCFP147,Itg.16.DTT481.S76,Vil1.010B.DTT117,SLCFP021,Itg.18.FP493.S96,Vil1.02B.DTT21,SLCFP051,Vil1.06B.FP69,SLCFP165,Vil1.09B.DTT105,Itg.06.DTT433.S26,Vil1.03B.FP33,SLCFP111,Itg.06.FP433.S34,Itg.02.DTT409.S1,SLCdtt069,Lyz2.07B.DTT281.S123,SLCdtt075,Vil1.14B.FP168,Vil1.06B.DTT69,SLCFP129,Itg.24.FP529.S32,Lyz2.07B.FP281.S79,SLCFP003,Vil1.014B.DTT165,SLCdtt093,Lyz2.02B.DTT221.S61,Itg.08.DTT445.S38,Vil1.10B.FP120,Lyz2.05B.DTT257.S98,Vil1.03B.DTT33,Itg.24.DTT529.S24,Lyz2.02B.FP221.S69,SLCFP075,LYZdtt353,Vil1.07B.FP81,Itg.22.FP517.S20,SLCFP069,Lyz2.04B.FP245.S42,LYZdtt365,LYZdtt329,Itg.22.DTT517.S12,SLCFP093,Vil1.08B.FP96,Lyz2.06B.DTT269.S111,Itg.08.FP445.S46,LYZdtt341,taxonomy
MF0026,11169.47,0,32077.015,115282.945,47778.89,15627.57,4036.465,8722.265,22207.98,17135.32,16900.475,12212.745,9881.845,11946.925,13457.345,21485.37,8062.195,2817.72,17442.925,19286.66,4002.235,0,8771.75,6269.115,16165.835,3759.42,7534.275,15050.59,3003.755,21665.23,7687.15,17986.315,8250.705,7507.255,14597.44,11669.76,19140.655,14731.78,8195.205,9962.89,0,11217.925,9490.49,12967.295,4527.325,16450.89,14485.62,12318.33,9133.835,12750.71,6246.1,6612.625,15337.21,5045.54,9151.675,0,9078.645,3923.075,6282.255,18224.785,6306.74,8611.415,9188.275,11822.855,5360.92,4717.365,18991.685,3950.795,3934.11,12093.865,0,9513.875,7583.215,15004.09,6408.265,6794.98,15188.435,10753.685,4266.005,10931.445,10694.52,3756.615,34626.335,15799.65,16987.82,3411.425,6094,453211.66,40583.58,7776.91,10258.855,26115.67,4476.61,13385.245,392464.675,
MF0103,15721.325,516.705,46878.04,13091.985,18867.51,21255.23,2611.7,8991.59,7503.22,18429.65,20184.11,3912.915,11943.12,13194.245,13960.195,20420.535,5004.76,2588.98,17844.225,11719.225,2281.935,871.5,6890.645,5205.185,25057.35,4185.86,7775.65,16293.79,4734.035,25772.515,19720.105,13644.97,9668.25,5279.035,12885.755,4311.325,4032.035,13133.33,8711.77,6927.355,52.75,20012.415,1988.395,15073.515,7386.825,7474.185,21942.68,7765.41,11118.46,11669.8,5713.7,8283.375,12860.615,5286.585,11644.925,15747.435,9913.975,1966.165,9756.4,20698.35,3972.075,10942.02,7699.04,8533.275,7226.2,2039.325,3671.205,892.08,5929.475,9838.695,9308.94,10413,6185.71,8853.78,5510.37,5875.015,16712.955,9495.92,5431.625,6847.895,16441.825,3763.82,8478.885,23702.385,12554.43,5293.495,6406.365,20290.405,44645.365,6321.885,5059.905,35251.105,2584.63,10638.41,16154.07,
MF0067,100645.14,5272.85,99092.98,313070.57,173339.76,54179.66,21256.13,29711.89,319168.44,55695.97,52546.45,28719.47,70163.59,43401.6,37979.92,58795.56,30044.66,10487.5,54622.88,84626.04,11812.65,8737.64,29676.25,20731.28,64139.14,14569.74,31078.85,41829.82,13610.39,80821.47,22513.36,55201.33,24244.28,25790.98,52452.43,38114.38,40480.47,41446.86,29704.36,27525.63,3982.51,78039.2,26916.96,40945.44,23094.43,48229.96,50169.84,36017.06,29792.2,44282.57,22614.57,21494.9,42769.07,18751.66,25688.57,56521.59,33203.92,13070.08,57345.36,60694.63,19769.73,41626.23,38767.85,29910.08,16195.86,17619.7,44933.93,9169.01,12510.82,42143.68,20705.52,28467.55,26595.06,45262.5,20567.33,22097.61,50598.83,36060.07,18130.22,34682.24,57667.39,13914.13,126743.5,45461.95,51721.24,12557.83,23450.92,920810.89,124698.05,23130.77,37421.34,101017.31,15462.62,39656.92,825838.17,
MF0024,147,4275.925,141,123.25,80.5,3.75,2904.465,4.75,101.25,0,16007.475,111,9451.47,3.75,30.75,6.25,0,0,55,70.25,3909.985,5790.485,70.75,0,7.5,3564.545,7281.15,12.58,32,0.25,6492.525,74.5,0,7163.755,76.75,84.75,11.25,7.25,8151.33,7.5,3680.755,9188.8,0,1.75,3899.825,7565.25,29.25,6,382.75,27.25,764.25,8.25,12250.71,75.25,8758.8,2,6660.645,3268.25,10,8.17,5700.99,1.75,62.5,4,5336.795,6.5,39.25,7313.67,3568.485,10493.615,6572.76,8021.125,6550.09,13496.465,6384.015,6.75,4.25,10283.31,64.5,0,10569.145,3662.24,87.25,3.75,0,0,5222.75,147,166.5,7044.91,19,252,4281.61,10765.37,154.5,
MF0068,91174.39,5079.86,72371.23,293882.82,167657.86,44381.81,18668.29,26036.88,316728.86,45304.46,40713.69,26898.31,63411.78,34709.2,28625.91,47482.2,24770.84,8883.16,45473.63,82658.87,9883.47,8270.14,24847.77,18470.83,50669.12,12766.72,24233.15,33586.91,11747.01,68149.47,14985.86,44694.24,17800.26,20569.45,43022.77,36056.94,39900.13,33201.79,24855.23,23953.64,4001,69903.66,22800.79,32811.09,19435.68,39923.08,41350.93,31303.72,23369.91,35092.77,19186.35,16458.4,32916.29,17008.64,18587.49,43305.59,25481.92,11755.76,53386.37,52369.28,15538.91,36332.55,31751.06,25441.18,13263.29,15547.4,44506.69,8737.36,9699.2,35746.77,16238.69,22374.4,22605.95,37558.33,17632.19,18638.28,51215.52,31281.19,15318.31,30049.05,49327.14,11824.27,121202.97,35811.55,40525.49,9735.63,19563.69,908803.46,102804.24,19182.91,25904.84,93487.04,13696.35,32701.54,817506.92,
MF0101,1078.2,3974,3365.2,2581.85,3698.1,1946.15,383.2,941.75,3064.15,1776.8,1995.8,1404.4,1308.8,1591.7,833.95,3534.75,760,256.8,1681.2,485.7,1144.4,4589.25,1172.2,1014.9,3593.85,529.45,554.4,1600.3,669.2,1029.05,6424.4,2137.45,1202,533.4,1087.55,616.55,413.85,2202.25,727.85,595.3,3601,1935.95,961.2,1318.9,607.2,1013.5,2397.85,1163.4,2089.55,1480.05,2525.85,2469.75,2256.5,566.65,1570.05,3028.9,1164.6,3892.05,767.8,2772.45,837.7,762.2,1193.7,4258.4,714.55,333.7,329.25,6884.5,602.2,1309.4,654,1059,1328.65,4234.2,539.7,849.15,1419.1,1159.85,646.9,1040.2,1250.85,322,893.85,3404.6,1522.6,546.8,452.5,4671.2,5512.5,706,1054.6,3236.35,534.2,1453.25,1876.9,
MF0021,11563.395,4289.765,28373.71,21730.615,45871.6,14476.735,3831.31,11064.025,22940.275,23234.84,12846.415,5362.555,13932.61,8518.115,12434.67,26403.455,6831.395,3058.55,13708.655,4329.17,3826.32,5956.39,8340.765,6629.42,17036.055,4209.975,12269.275,14097.935,2802.445,18694.77,10172.565,14547.34,11243.33,9212.61,13118.715,8109.975,1806.335,10419.465,10585.395,13845.22,3697.255,11234.81,12398.535,16896.065,4861.45,21026.955,13044.02,8737.625,11694.795,11934.335,7993.715,5465.125,10288.01,4831.73,13625.55,24174.06,8062.77,5482.345,5428.495,18976.375,8219.615,10699.18,7188.345,13600.605,7531.87,5614.615,7265.995,7300.135,5522.57,12284.495,9123.115,9960.75,7763.28,27296.115,7741.74,5884.405,6650.16,11680.45,4051.4,11613.115,12643.26,3869.535,15057.7,15794.33,15062.97,3853.22,7338.675,30266.5,27787.175,7560.985,11796.685,39573.37,5577.845,12487.83,17406.255,
MF0065,73578,6414.475,52180.78,249922.885,148376,24990.645,13832.185,15473.445,301056,27156.485,25204.215,23008.415,42811.565,18414.935,19666.25,33708.635,13345.26,4919.5,25679.985,44800.265,6790.69,8722.515,13501.76,11319.455,30636.175,7089.32,13458.275,20277.105,6359.515,36220.82,10563.17,24126.495,14178.67,13740.11,24979.605,28025.54,35782,18405.465,14261.24,16518.64,5544.01,53460.105,17408.495,22337.39,13067.685,22388.02,22581.59,22798.195,15754.065,21293.32,12720.385,10050.325,17607.645,9965.685,16299.935,35285.825,14328.515,9443.475,40939,33109.58,10765.055,19956.515,16719.025,20092.995,10263.83,8657.865,37899,10965.84,6553.74,20233.51,12952.44,15653.075,11687.62,27871.245,10356.595,9904.765,27204.215,18270.44,7705.195,18890.08,27801.47,6458.26,63363.28,24642.875,23887.605,5490.645,11018.835,901940.58,76679.285,12746.575,19490.26,60901.185,8124.85,17652.73,790049.81,
MF0022,9245.48,4248.35,30766.33,21399.39,9823.1,18167.07,2608.89,10301.6,5432.82,19159.5,13580.58,9047.34,9067.48,8971.99,9964.34,17023.5,5995.22,2868.96,14507.57,4127.38,3713.99,5783.56,7560.14,5265.33,21770.9,3993.14,7381.4,11504.23,3548.07,24281.15,7584.44,12901.75,10541.33,7261.03,9362.51,12395.41,1069.13,10357.72,7948.9,14131.05,3679.51,12590.22,7224.79,15444.44,5571.28,23117.04,15758.57,14017.33,10730.04,11979.87,6312.59,5673,10426.01,6592.19,11840.47,10925.64,7060.02,5030.93,6324.03,16809.04,4862.78,8655.22,7175.35,9765.48,7877.37,3743.95,972.28,7263.76,5407.86,9157.74,9387.86,10221,6330.29,11423.74,8665.15,4786.15,7362.03,10442.36,3708.19,9926.12,12912.01,3817.66,7511.08,12083.7,16725.47,3686.06,6402.34,14466.04,52056.01,9233.98,5777.35,48220.82,4390.68,8330.91,46795.25,
MF0066,45572.64,4544.425,19484.24,139076.09,82759.425,18614.61,12943.13,12080.625,157663.995,24922.5,15438.99,12328.95,45424.14,16502.935,10232.125,14298.43,11352.65,4633.34,19626.485,32142.73,4189.34,6218.015,12054.76,6758.32,21502.225,6028.475,13825.275,13534.7,6282.295,34011.945,9444.345,21802.87,8179.33,7466.43,23763.015,18384.17,34853.525,13020.27,12963.77,10462.945,3775.505,35678.815,10810.34,14046.295,14025.83,19847.585,21054.215,14026.86,10090.295,15520.885,6045.63,4995.45,15235.83,8858.78,6461.325,10281.755,11167.545,6007.675,27675.97,18513.23,5906.04,19325.43,16691.775,5632.88,4360.56,7224.34,33665.01,7751.51,5249.16,16024.16,5588.845,11108,10513.685,18177.83,8602.595,9114.515,22655.805,11921.47,7677.26,15025.17,26710.11,6538.61,36724.025,11387.385,22835.66,4939.01,9366.8,12742.06,35232.115,7970.625,17769.135,49104.145,6003.675,15732.48,401524.86,
MF0018,82160.47,4785.93,43273.49,89111.82,157973.78,27548.97,15736.63,13249.9,308810.61,24067.98,39005.2,8570.55,52382.14,25184.79,14484.58,23243.28,15935.04,5137.34,38023.22,124330.29,6104.13,6258.47,17560.94,12360.51,35527.68,7453.81,15848.15,21292.82,8821.85,50371.37,11885.36,33648.83,6201.35,11882.86,31616.02,16324.28,37841.71,32471.11,15157.89,7569.14,3860,59657.75,8495.11,15149.09,15236.85,32372,28258.17,14026.22,12689.68,29630.95,14328.26,16082.15,27626.46,10870.45,7157.65,19503.27,18521.75,10740.09,50175.46,30980.88,7760.75,29228.14,22366.04,6613.1,6757.04,8923.65,44186.46,8092.43,5760.63,22345.7,9927.12,11548.15,18448.35,14608.92,7463.03,14988.21,63322.12,18241.29,12426.48,15147.46,37414.46,7476.11,63763.3,30753.31,22850.42,6311.11,11806.26,15682.38,57454.82,9074.59,20270.34,59138.39,7069.51,25079.63,68990.68,
MF0019,4066.81,3978.04,6773.09,2875.74,5835.85,1203.55,335.98,489.33,1475.3,1208.51,1675.47,524.38,1362.66,1325.41,3153.84,3149.75,619.71,388.6,2165.74,2607.63,513.8,4627.42,772.98,1055.88,3079.03,687.23,2329.4,1137.39,546.27,2818.85,10804.34,1577.07,1732,1934.68,1344.48,1234.39,483.53,1147.12,1462.33,2686.1,3610,2388.73,668.4,3675.17,792.4,1448.62,1679.58,958.09,1567.35,1469.1,1758.66,1264.75,851.79,487.92,2698.85,1785.9,1497.2,3639.47,735.62,1836.38,1206.9,1435.06,809.82,1208.55,803.06,583.15,1144.54,6866.68,1107.4,1348.09,1432.04,1221,1475.42,2130.53,1189.77,573.84,1367.78,1824.03,521.61,984.4,2762.16,748,2718.24,1831.46,1245.31,584.1,1212.04,7424.94,5362.93,542.57,1596.2,8573.16,937.82,992.25,2258.26,
MF0030,989.5,51.5,2174,1765,275,1338.5,254.5,1141,349,1164.5,1334.5,959,898,941.5,594,2537,517.5,323,2245.25,137,588,167.5,830.5,873.5,733,346.5,647.5,940.5,404.5,1684,0,1625.5,633,656,1152,674,35,1426,871,1585,11.5,1014,1016,1989,172,1376,1750.5,569.5,715,902,570.5,669,1337,353.5,768,2193.5,609.5,215.5,371.5,1711.5,402,456.5,702.5,3447.5,329,593,103.5,94.5,243,942,525,593,516.5,2977.5,1016,926,232.5,899.5,309.5,642,1732,356,3154,1276,1108.5,206,843,5554,4585.5,493.5,925.5,3120.5,675,995.5,3849,
MF0074,93243.26,17147.78,106289.64,286324.3,91696.26,48372.4,17070.92,30648.47,291759.65,53666.05,59599.11,29467.29,69834.67,31181.36,47501.72,68095.33,25493.3,10106.64,66513.44,116415.55,14630.48,22980.86,27955.33,25958.61,63001.34,15295.25,31996.73,42039.07,13941.27,75561.4,18304.4,45636.81,26383.91,27561.99,39435.88,39812.57,5640.32,46814.59,31179.19,45330.06,14846.01,62373.17,31606.53,57565.15,19472.03,40355.66,49729.52,33919.6,26386.12,52081.71,25509,20996.5,39290.27,18176.39,28860.39,64381.64,24441.43,23449.55,56454.45,64728.55,19248.53,43289.58,31104.49,34555.57,18644.94,19912.2,10800.25,29621.02,12289.78,40352.85,24616.99,24704.92,27699.4,53924.78,29097.28,20895.83,52933.64,45224.39,15166.49,38475.95,61272.34,14463.66,141450.71,49438.73,46136.59,10719.97,21610.6,943576.97,141762.68,24337.47,21920.69,131836.15,17541.99,35086.91,844207.36,
MF0031,5855.48,11857.18,17011.34,4935.87,6170.93,6076.07,876.73,1917.95,2420.31,4558.68,7287.75,1516.5,4108.99,4524.99,4709.83,6805.33,1557.24,823.64,6405.57,4606.54,821.48,13358.72,2108.64,1429.01,7656.38,1490.81,2109.9,5425.56,1491.4,9667.47,9145.11,4121.93,2690,1390.36,4405.17,1626.39,1566.46,4404.71,2974.39,1561.39,10782,6580.9,510.11,4371.94,2274.95,1768.7,7135.22,2606.17,3935.88,3842.05,4125.26,3032,4577.01,1161.85,2847.3,5332.48,3613.85,10504.09,3465.71,5498.04,1363.95,3482.89,2831.84,1764.65,1883.04,715.95,1064.96,20415.93,1523.53,3476.25,2112.87,2375.5,3142.1,1036.07,1682.83,2160.16,6116.37,2079.54,1693.03,2496.61,5379.51,1314.16,2737.9,8179.21,3330.97,1471.21,1884.51,6217.88,15942.01,1624.99,1490.69,6586.84,827.01,3829.08,6102.97,
MF0075,7547.15,4238.18,25225.84,29744.53,20853.6,11066.4,2095.06,6455.11,11916.65,9080.51,12190.09,5055.51,6896.16,8272.66,6995.34,17045,3707.07,1229.8,10386.74,5423.88,2898.65,5279.89,5428.81,4240.01,9699.71,2609.31,3389.4,9609.39,3067.74,12327.8,6123.94,10336.59,4243.5,2799.36,7613.51,3234.57,973.46,10786.04,5267.06,3236.55,3640.5,11415.06,3700.45,8132.94,2801.95,18050.54,13576.56,5497.83,5751.55,7347.05,5590.42,7351.5,11212.18,2295.69,4005.8,15271.99,6938.85,5189.59,5019.37,12025.22,2534.45,5498.06,5397.84,12370.15,3189.87,2340.95,1019.79,7282.43,1966.7,6650.58,3586.04,3760.5,4327.94,12930.91,2661.99,4879.33,6984.21,5053.21,2828.36,4975.95,7549.17,1948.5,47815.24,17525.71,7553.31,1812.05,2663.68,885193.38,30652.34,3586.82,3091.85,18825.67,2334.34,7964.25,31358.63,
MF0072,72334.84,4392.75,4319.5,79619.42,151744.33,8375.67,9229,9205.75,300517.58,14376,6402,3523.33,42581.25,6499.25,4603.33,5760.67,3828.67,3131,13539.58,24093.33,1210.83,5456,5823.75,2658,12644.42,5014.25,10378.75,5922.75,5884.58,20579.83,3818.17,7245.25,3399.67,3822.42,11389,11722.5,4245.67,4809.75,10589,4198.5,3779,42708.75,2291.33,7158.25,11306.33,17217.58,14735.75,5206.75,3489.08,8517.75,3500.67,1533,4331,5431.33,2197.92,6804.67,4875.33,5032.33,40505,14622.25,1320.5,19072.25,10013.5,8434.17,2542.42,6195.92,14016.75,7646.92,2905.75,7817.5,3263.75,4075.5,5588.58,9628.08,5021.5,4790.75,13770.58,5925.25,6416.92,6927,27301.25,4775.25,52244.83,4813.75,8389,3134.83,6772.75,7082.17,9057.5,4061,9245.17,46741.92,4273,6043.58,34863.58,
