#OTU ID,Lyz2.01B.FP211.S59,LYZFP332,LYZFP331,LYZFP330,Itg.16.FP482.S85,Itg.22.FP518.S21,Vil1.02B.FP24,Lyz2.03B.FP234.S82,Itg.26.FP542.S46,LYZFP320,Itg.10.FP459.S61,LYZFP319,LYZFP318,Vil1.02B.FP22,Vil1.02B.FP23,Itg.04.FP423.S23,LYZFP308,LYZFP307,LYZFP306,Itg.08.FP446.S47,Itg.20.FP506.S9,Itg.18.FP496.S99,Itg.22.FP519.S22,Itg.10.FP458.S60,Vil1.05B.FP60,Lyz2.02B.FP223.S71,Itg.04.FP424.S24,LYZFP356,LYZFP355,LYZFP354,Vil1.05B.FP58,Vil1.05B.FP59,Lyz2.02B.FP222.S70,LYZFP344,LYZFP343,LYZFP342,Itg.10.FP460.S62,Vil1.09B.FP105,Vil1.09B.FP104,Vil1.09B.FP103,Itg.18.FP495.S98,Itg.06.FP436.S37,Lyz2.07B.FP284.S82,Vil1.04B.FP48,Vil1.04B.FP46,Vil1.04B.FP47,Lyz2.02B.FP224.S72,Lyz2.03B.FP235.S83,Lyz2.05B.FP258.S55,Vil1.13B.FP152,Vil1.13B.FP153,Itg.18.FP494.S97,Vil1.13B.FP151,Itg.06.FP435.S36,Itg.22.FP520.S23,Lyz2.07B.FP283.S81,Itg.04.FP422.S22,Itg.20.FP508.S11,Vil1.01B.FP11,Vil1.01B.FP10,Vil1.01B.FP12,Lyz2.05B.FP259.S56,Itg.06.FP434.S35,SLCFP149,SLCFP148,Itg.12.FP471.S73,SLCFP150,Lyz2.06B.FP271.S69,Lyz2.08B.FP294.S92,Lyz2.05B.FP260.S57,SLCFP024,SLCFP023,SLCFP022,Lyz2.07B.FP282.S80,Lyz2.04B.FP247.S44,SLCFP054,SLCFP053,SLCFP052,Vil1.06B.FP70,Itg.02.FP411.S11,Vil1.03B.FP36,Vil1.06B.FP72,Vil1.06B.FP71,Vil1.03B.FP34,Vil1.03B.FP35,Itg.20.FP507.S10,SLCFP167,SLCFP166,Itg.24.FP530.S33,Vil1.14B.FP163,Lyz2.06B.FP272.S70,SLCFP113,SLCFP112,Itg.08.FP448.S49,Vil1.14B.FP165,Vil1.14B.FP164,Lyz2.08B.FP295.S93,Itg.12.FP470.S72,Lyz2.03B.FP236.S84,SLCFP006,SLCFP005,SLCFP004,SLCFP132,SLCFP131,Itg.24.FP531.S34,SLCFP114,Itg.02.FP410.S10,Vil1.10B.FP117,Vil1.10B.FP116,Vil1.10B.FP115,Itg.08.FP447.S48,Lyz2.04B.FP246.S43,Itg.26.FP544.S48,Lyz2.08B.FP296.S95,Itg.16.FP483.S86,Lyz2.06B.FP270.S68,Lyz2.01B.FP210.S58,SLCFP078,Itg.02.FP412.S12,SLCFP077,SLCFP076,SLCFP072,SLCFP071,SLCFP070,Lyz2.01B.FP212.S60,Itg.12.FP472.S74,Vil1.07B.FP84,Vil1.07B.FP83,Vil1.07B.FP82,SLCFP096,Itg.26.FP543.S47,SLCFP095,SLCFP094,Itg.16.FP484.S87,Vil1.08B.FP92,Vil1.08B.FP91,Vil1.08B.FP93,taxonomy
MF0026,4368.745,8207.625,9356.13,25131.375,18672.045,21242.52,18402.215,9783.83,21398.44,15357.475,31281.82,49236.135,18164.035,16632.835,17211.125,35587,27801.55,20862.63,33342.695,10382.87,16087.49,25879.5,38320.28,21564.12,8337.045,5416.455,18871.185,16670.545,13715.655,8147.5,3999.89,14128.205,4263.96,19902.435,17052.155,10579.38,20620.625,12895.28,13200.96,10385.745,35771.6,8198.45,2619.625,13972.66,18399.59,23125.915,3915.565,10565.3,4462.29,44405.94,28049.14,24048.12,33886.735,11781.045,20489.37,5542.5,9533.96,24126.625,11500.915,8368.54,13028.105,4427.29,14254.585,18280.06,16097.635,21864.08,22222.705,9170.96,5178.2,5387.745,5389.52,4666.54,4801.525,4085.5,4653.505,6757.515,14289.905,14532.965,10324.445,50494.77,9921.96,11301.63,23635.565,15552.17,18739.015,28155.975,22262.635,14324.905,20098.97,30045.91,13195.37,2276.625,4869.915,19996.83,20387.325,19023.59,3824.06,19958.165,12366.12,13889.11,21823.58,9783.5,8160.215,13196.29,37479.625,2595.835,24507.75,14144.365,14135.395,16358.37,16155.085,4637.44,13079.78,4367.255,24552.075,4025.02,2745,6491.185,25731.42,2179.55,2330.955,5737.765,12054.835,9301.745,2042.785,18348.08,14416.32,0,0,22057.875,18292.115,35774.04,13063.525,19063.815,27538.62,17488.075,25558.81,
MF0103,5559.785,1700.845,4911.055,28061.26,12328,7679.15,15140.08,8793.17,10111.33,1699.695,7938.945,10832.065,27715.795,21116.14,17578.66,4799.375,69538.17,18255.495,22846.805,7887.285,21686.805,1853.75,5240.33,3422.375,11714.1,8065,4529.01,23434.105,10926.015,7903.425,2684.975,7483.075,4520.25,12749.285,8473.27,1364.99,9247.285,12411.235,17985.48,24314.445,2109.775,13703.625,3183.75,13368.215,13238.865,8443.05,8077.435,11060.875,4067.5,121764.97,72302.145,2141.66,99690.41,13830.125,9057.555,4873.5,1356,27395.485,11960.71,8665.47,26100.475,3436.875,8314.99,13512.605,20372.13,7879.16,25214.455,2792.525,3331.445,2453.45,4919.42,2636.875,899.615,3465,941.33,10178.14,11771.735,7534.09,7677.25,16990.9,9158.1,13366.155,12192.845,4487.235,3975.035,26430.275,15259.6,3304.245,1010.45,29021.165,6859.41,1697.5,2168.75,14110.285,18957.895,14953.7,1802.99,6999.535,10542.4,2387.365,1979.535,713.535,11681.17,15118.035,1864.375,1888.09,4359.125,25601.765,22746.275,32405.085,2682.375,1190.885,11370.41,8057.115,15906.57,1059.4,2792.875,10802.375,18384.545,2511.125,1180.91,7747.02,10072.45,10029.7,4732.84,23385.795,17535.72,10520.135,6746,27.875,10690.605,137.2,1551.095,12878.13,20280.81,23096.965,16834.905,
MF0067,130318.16,177434.93,144949.2,114249.1,52778.79,71179.16,68414.8,128553.66,95327.31,52031.03,109652.52,150880.4,82283.69,62431.49,70767.95,189162.3,110963.89,96993.36,158132.64,33032.62,58589.18,58656.6,109112.19,83041.53,34761.09,126409.06,59341.54,49579.65,49962.76,163752.01,66764.51,113538.82,159203.12,72901.69,120405.16,53044.39,63970.5,49255.96,56323.25,36656.91,81824.12,43651.41,12600.75,37457.58,56923.82,68602,45714.18,128702.37,12693.08,84453.9,62094.86,56727.97,59711.85,69956.09,59097.09,24242.25,100167.56,86674.72,62759.25,52712.06,67413.01,12321.33,102973.04,59152.1,44996.3,68105.93,90913.29,34269.95,29712,17980.39,15340.09,13368.94,19198.57,18297.75,30774.06,18172.55,42831.62,42396,37143.88,156729.91,47450.27,36063.42,72974.27,67178.3,85641.91,104414.07,56676.82,90743.74,110355.45,96567.14,40996.17,8500.65,18818.78,64334.57,72271.85,68271.78,28888.12,66384.89,67418.64,46778.47,68810.52,32611.49,27431.53,43418.23,111485,8606.24,73910.8,50284.28,52979.86,56968.83,54597.81,37088.98,43463.22,20803.01,70412.74,25241.94,155556.15,33821.53,81243.76,34173.1,75221.12,20840.39,46559.45,40384.09,29677.81,58396.93,42588.97,44502.62,59228.34,45736.45,74534.06,96650.68,34970.04,57910.72,72270.92,54593.6,62724.5,
MF0024,9.5,140.25,88,136.25,5,3434.895,48.5,2.25,26.5,1748.85,650.5,42.25,76.25,9.33,21.5,38.25,96.25,85.5,99.5,5343.745,13459.49,398.5,3456.28,3171.62,42.25,4771.205,12.25,54.25,27.75,82.25,86.75,49.42,7,91.25,93.5,36.5,136.5,12592.155,100.5,10157.995,6272.475,10.5,2536,7.5,9.92,20.5,8,6,0,29958.565,19410.14,7.5,24104.86,9519.67,7,5328.75,2,18067.375,95.5,41.75,188.25,3031.665,3,5.25,16052.135,8736.08,17.25,4425.46,2.75,2754.37,4282.895,3615.04,3467.15,0,604.755,4085.515,5685.28,10.25,11.25,7906.77,300,31.33,15,683.75,6706.25,259.75,1,11.75,5.5,25856.66,5594.495,0,0,3,15594.325,12494.715,9.5,9070.79,4356.37,37,52,16,0,7522.415,7.75,0,0,7.25,11.25,8.75,4679.085,1101.69,7.5,2,37.25,1352.145,4.25,4855.31,0,1239.425,1200.08,0,0,0,5.5,103,14.75,12419.975,7,0,9,0,0,92.25,27484.245,12,25501.81,
MF0068,131368.74,177184.5,144424.19,109670.09,41732.29,70662.25,57265.47,126561.66,94508.56,51814.81,111861.45,148175.14,66756.34,57170.91,61067.87,190374.8,92792.64,72861.42,130066.23,37733.29,46596.99,61198.1,109368.03,86280.37,30970.11,124403.36,57149.38,46880.24,50072.26,162963.68,64102.9,110116.99,159041.52,71170.02,120148.16,53380.41,61328.66,40904.03,45083.34,32623.41,86738.12,42028.74,11983.5,34798.67,48249.33,60667.18,43313.4,126593.44,11992.58,73656.65,48842.13,58479.81,55629.19,61908.59,56192.57,23632.5,100472.64,70506.22,61499.24,52334.53,58876.44,11992.33,96866.04,60409.24,34228.5,72883.93,78809.06,28755.09,28198.75,18034.54,18023.09,16288.61,23001.63,17762,30694.41,14311.7,34013.79,38162.65,34753.88,152497.25,46428.1,32933.75,59214.27,68399.97,90998.41,84662.82,58826.57,89894.4,108999.61,77237.79,37138.26,6857.45,15455.03,66621.24,56281.22,54078.83,27944.95,76867.97,65323.71,45716.72,68158.86,31950.57,19927.86,33847.06,109153.25,7368.87,71149.3,40596.26,43929.97,51303.33,58314.39,36387.68,43694.81,17932.43,56621.24,24441.35,155267.15,32621.28,78161.6,33613.85,74539.71,18054.53,42988.47,34448.09,29335.57,59989.26,36687.54,45589.62,49497.34,45793.95,63202.71,96303.01,31601.53,47886.72,60820.75,43673.05,52476.75,
MF0101,387,222.65,1249.9,5894.75,3962,798,1304.5,1481,2435,603.65,877.5,3359.85,1619.25,2161.9,2380.5,197.25,2806.25,6605.5,11345.9,548,1440,426,2052,576,1393.2,743,296.75,864.65,358.15,537.65,513.95,1819.95,418.25,1422.65,1462.6,825.5,1158.75,1654.2,2015.25,2023,1107,2026,419.5,2789.85,2132.25,4266.25,957.4,1946.75,799,26893.3,20468.1,1085.5,21821,2164,1053.5,767.25,60.5,4133,4573.5,3386.5,3610.5,968.75,3269,8062.25,3599.9,1582,866.25,2596.5,1023.15,976.95,626,719,318.4,325,287.5,891.8,1234.7,798.75,925.75,3044,1913.35,1768.45,5143.9,711.7,625.25,5569.5,4476.2,2747.95,272.7,2132.2,3473.25,330,846,1166,1398.85,1057.6,1360.5,969.5,1014,379.4,439,141,641.8,2065.5,439,503,1793,3384.3,3507.65,2516.2,1122,261.5,1899.75,1379.25,5551.75,580.25,385.75,1066,1856,458,638,691.6,893.5,760.5,220.5,1512.5,2735.55,3805.5,5963.25,7,1096.3,44,229.4,3581.3,1209.4,1340.85,1529.2,
MF0021,1374.33,5677.265,1072.03,3428.45,15997.67,6748.495,12811.43,11491.865,7855.625,15472.135,11124.99,52069.38,17267.57,8960.525,11395.085,6750.375,23422.085,33853.88,46420.445,2910.455,20440.15,6984.5,10784.15,6482.495,7661.025,3879.33,6572.165,2567.98,571.455,1448.605,4148.745,9249.41,2194.335,4163.93,2238.39,491.18,10500.835,18686.99,13103.185,6232.915,6223.08,4835.085,1945.875,6021.555,11536.72,12344.83,4241.275,8314.92,3034.665,35772.355,29235.47,4091.83,26290.9,17979.795,8597.73,7988.625,1810.585,40913.085,15644.705,9240.625,8054,2859.165,19738.51,25093,24924.45,7850.415,11765.825,7298.345,10767.58,3807.37,1592.335,1429.415,1455.94,5512.75,4812.595,4919.055,10917.24,7623.88,9847.35,16101.62,4214.24,10761.825,26409,12568.1,20578.32,48764.08,8608.865,9241.815,8354.815,28773.45,8119.33,2953,6366.915,6867.83,17300.015,12951.86,6734.205,5128.125,10110.625,3953.9,4285.79,1705.96,7853.8,10139.125,18340.625,2395.25,9002.75,11689.625,12143.52,9118.08,5926.585,5031.545,4862.58,4844.93,18648.62,2009.125,794.375,1885.875,8094.235,858.625,1309.79,3962.35,5936.67,5970.83,529,8077.99,15047.09,13745.955,33723.42,0,9729.35,7616.75,3985.57,14968.215,30305.3,17166.47,26059.745,
MF0065,122102,90265.47,72077.975,55173.465,30559.565,53049,39917.415,117092,67845.37,48023,96990,132093,35128.835,36912.365,46417.975,184593,49417,43238.085,86170.99,26356.73,28310.04,52727,100233,75238,16413.265,112330,52398,23693.325,33471.325,143625,55764,93841,148384,45103.95,98868.09,41110.875,49960,29211.28,27417.385,17499.455,69476,29558,7556.125,22982.425,29325.96,43546.715,34836,117067,5962.54,46104.755,34319.26,49195.155,31832.7,42930.75,44786,14237.875,96543,43320.985,39355.125,34861.125,39213.46,6033,73753.79,32343.31,28320.43,54224.465,44837.875,21497.165,17698.075,8908.475,9753.875,8743.64,14025.15,10818.25,29199,8656.275,28100.48,30909,18556.23,101780,34344.5,17853.92,42839.88,50029.925,68779,51121.285,43343.1,57981.1,77238,46353.325,28549.79,4563.125,10717.875,50169,30195.345,27964.08,20315,55140.275,57627,42200,64953,30570,12665.775,25961.625,105482,4470.5,52959,23388.215,23680.39,25085.875,47621.735,33642,31621.475,9606.84,39959.24,16115.915,148986,24947,45886,31035,71607,13475.315,34247,25506,25727,37467.085,22214.605,23582.6,39788.465,45568,52521.03,94580,27821,30738.32,39967.965,25290.925,37171.375,
MF0022,2701.58,10617.26,2183.86,12524.49,6793.84,3777.62,14370.6,5955.91,5183.79,1406.13,4603.57,6840.34,20536.24,12423.86,13211.67,1165.5,27702.46,13358.84,17958.66,3333.58,20492.73,1606.5,3455.4,1457.91,6353.98,4308.16,1681.12,9959.52,4573.83,3053.52,3384.49,7725.7,2402.42,5992.47,3686.31,640.43,4466.84,11121.45,10931.93,10296.75,1179.54,7005.42,2975.75,7057.22,7928.26,7331.66,5061.32,5776.34,1962.83,29712.73,21036.55,1330.33,23298.69,12682.09,5590.9,7412.25,502.17,33219.34,13995.91,9960.25,15508.12,1658.33,10687.76,12510.63,19254.29,4496,11343.08,3945.18,4789.83,1203.29,2247.21,1344.08,670.48,5533.25,845.76,6487.81,11049.28,5699.26,6727.4,8833.62,5402.49,7277.58,10949.66,4461.64,15213.36,33324.54,7761.49,2879.61,862.9,25215.45,4832.08,1090,1850.83,5827.58,13728.64,10518.16,2714.12,3498.42,5216.13,1461.15,1048.08,480.92,10238.55,11735.75,484.75,1180,3342.25,12841.42,11623.22,12464.83,1493.42,1406.63,5021.58,5423.1,9342.08,938.88,1352,4703.58,8852.15,1355.25,1139.83,5138.6,5951.09,6241.91,2035,11286.49,12569.09,9047.62,10823.59,18.25,9016.34,257.25,1944.66,8309.01,30412.42,18733.55,26297.08,
MF0066,66548.955,13709.835,11087.68,21194.71,9318.35,46998.975,34365.78,62979.875,56293.645,25756.685,73541.445,73570.255,36996.46,31155.89,34905.92,122695.5,46283.105,35662.715,62567.96,22300.08,23498.665,47845.75,79042.115,55606.285,15818.425,63634.035,41506.265,18448.91,24892.215,85204.425,32138.55,58139.225,80801.17,33462.3,72441.94,31774.415,39506.465,11528.75,10755.755,11456.33,69063.77,20676.42,6624.25,18846.085,22088.75,32264.005,21936.995,61987.215,5566.5,51878.49,35669.395,43523.53,36886.51,31718.59,38008.705,12823.375,57412.17,35749.63,30228.955,25643.725,29702.515,5419.54,50196.11,21870.83,10650.745,45805.5,40667.365,15353.47,14515.705,8018.77,7485.26,5578.14,9709.815,9850.125,15184.67,9145.1,23225.83,26903.01,17736.55,105636.12,25815.745,14967.125,20957.925,35209.61,46336.055,42020.43,33160.995,47668.1,66001.915,27812.975,20328.83,3867.2,8624.765,41269.205,21228.485,23963.705,13695.205,47562.92,58198.09,32056.2,50688.08,24070.045,13373.45,20918.625,72667.625,3723.7,53321.5,12595.42,15237.195,22004.25,43288.17,18001.07,24993.33,9194.385,18426.37,13324.88,78540.125,25591.33,52920.02,17314.875,37825.58,11562.5,34468.34,25827.66,14992,30711.13,14730.855,21701.475,14369.92,45574,38922.75,76513.8,28311.18,18062.11,37913.16,20639.9,31266.09,
MF0018,132986.33,176128.74,170531.02,157243.84,47982.95,69624.42,47590.13,121000.32,92677.31,50293.82,114746.56,139657.05,53333.92,53689.15,54630.78,191613.55,78936.89,52280.25,99826.05,42605.88,27203.42,64362.1,106825.2,89389.05,24853.37,126999.2,55376.81,83937.41,92002.51,183211.27,59994.97,103792.24,163529.85,120215.6,169142.75,89973.41,60233.48,30480.28,45170.77,39370.91,99202.37,39619.4,13086.75,33751.59,60374.25,69041.02,40537.23,121788.85,15396.25,72810.9,47262.39,70918.48,54784.36,53370.5,53279.06,21600.5,100855.05,36807.88,48642.42,44410.28,51705.03,14345.25,95266.71,48059.15,13478.89,79147.93,106253.3,20805.34,21009,20117.95,21225.34,19233.95,27599.72,17869,29634.33,10109.02,25636.38,33852.72,29367.62,145727.92,46469.77,27338.58,38088.45,70477.06,90385.16,44884.82,59167.57,88320.97,108153.43,56376.62,30025.18,4600.95,10065.95,68921.58,45757.89,48893.73,23591.29,87659.13,62275.62,44353.97,66752.28,31446.73,14290.03,25100.98,108835.75,5363.37,66942.3,37227,44298.15,60281.66,62208.3,34707.76,42098.23,13184.26,57795.16,23872.42,159409.4,30258.45,72699.27,32511.35,72892.88,14977.53,39411.63,30478.43,30360.07,64445.92,26471.88,44008.46,43134,45868.45,57593.41,97180.18,29290.51,44879.47,22646.01,24565.89,16329.16,
MF0019,455,1784.01,4309.61,1058.32,1483,142.29,612.79,1663.71,975.29,660.22,952.5,3458.17,4746.82,463.42,170.5,4514,13815.96,3806.5,4880.8,230,1379.57,73,1177.57,250,3735.49,1077.75,5074.46,575.67,230.08,2292.69,1893.24,1757.45,258.25,3897.22,9050.56,332.93,667.75,1611.95,1956.61,2016,67.29,553.25,190.25,285.32,463.54,484.5,692.3,867.75,350,46585.78,28253.4,83.5,38572.19,1114.25,722.64,334.75,305.5,510,1412.25,941.5,1933.96,275.75,1332.43,1222.12,3684.43,606,3782.82,799.04,910.84,238.15,208.71,199,515.4,226,165.54,166.6,393.9,174.75,1119.39,380.29,912.74,4094.41,1507.38,692.81,3086.11,583.79,374.49,1045.52,574.56,2131.2,740.75,143,274.75,774,1730.31,988.06,437.37,271.5,633.12,260.15,255.75,94.5,756.1,960.5,2906,102,204,2631.41,3136.9,2015.28,434,341.38,991.75,299.79,1520.75,205.29,228.75,434,306.57,173,105,209.2,374.5,274.5,158.5,958.21,2568.98,1177.63,1268.25,1,1304.52,40,414.8,1270.23,2991.88,2910.14,2306.02,
MF0030,57,115,101,178,171,65,134,179,174,20,64,154,1215.25,509,50,15,1198.25,188,417,37,1848,29,89,11,1074,28,357,58,5,78,355,294,37,291,94,6,67,1184.5,1003.5,798,18,24,13,50,167,76,80,23,10,53,19,146,0,47,269,55,0,184,72,52,101,8,136,62,1064,39,1291.5,113,169,11,26,26,65,51,18,18,151,62,996.5,50,258,1005,1627.5,422,154,283,38,80,192,1478.5,220,34,139,27,1088.75,1125.5,93,30,39,21,11,3,34,46,16,32,20,1049.5,972,1211,26,134,53,52,134,23,23,37,21,10,17,25,49,41,0,175,1534,135,121,0,950,31,137.5,315,1646,988,2894.5,
MF0074,129705.08,178256.54,173438.32,158647.81,74603.42,29464.32,43212.53,91409.31,43621.83,26107.62,36294.4,70840.07,83531.31,43720.31,41481.75,123682.5,94364.41,74407.09,126415.91,26192.41,48768.21,17229,32482.8,33853.33,34184.94,128551.33,26106.25,79088.98,88104.09,180059.48,61432.2,95802.12,163954,124923.96,174979.68,90770.02,18959.92,54262.94,57878.04,37278.33,38092.99,35918.42,15831.5,27182.01,62891.69,65718.08,45304.23,97161.42,14841.08,57807.66,47588.51,36066.91,42007.05,66108.84,20685.12,34440.25,82292.75,72548.08,73315,60530.58,56949.67,12978.24,116008.94,75805.16,49060.57,45120.16,124536.14,20427.02,35890.85,16401.87,16781.5,16134.83,22726.49,26587.75,12276.69,8813.89,21494.61,17737.76,48377.87,63249.57,40688.29,44995.69,86561.52,49769.42,63147.3,85342.08,38424.11,78213.76,48347.43,90569.2,19768.33,4972.75,11119.08,26745.66,60218.27,51204.62,32510.25,54325.83,35451.58,8214.82,6869.08,5786.33,16137.38,25336.08,16031.75,5126.17,27976.75,44283.03,49685.06,50522.87,31866.25,14476.92,19274.58,18498.86,86628.66,18162.16,158281.75,23041.58,36720.72,28267.25,62353.66,10917.93,24158.42,22391.08,29310.17,48237.81,51360.8,64059.25,90494.25,1857,41853.32,27639,11627.07,66267.3,101054.45,63382.01,87239.79,
MF0031,2318.08,823.59,1487.86,11288.99,4122.5,2807.62,5095.93,2334.57,3653.46,533.47,2725.41,3410.5,9644.07,7359.19,5732.33,967,25886.29,6140.5,7761.15,3055.08,4646.57,624,1350.9,1060.25,3464.32,2871,718.46,9222.86,4359.66,2762.52,861.82,2382.2,1641.25,5595.14,1782.64,565.76,3391.33,4116.28,6450.27,9325.41,740.37,4796.75,1041.25,4771.39,4295.76,2108.17,2562.98,3722.5,1476.5,35668.4,25210.89,707.33,27646.86,3920.75,3382.06,481.25,468,4562.33,2738.42,1899.08,8443.13,1241,902.76,2070.45,7486.44,2621.83,9775.9,519.84,749,891.95,2015.04,908.75,721.32,657.25,208.43,2987.97,2010.28,1851.92,1846.72,6148.62,3095.32,3343.57,3167.84,1420.31,1022.86,2473.37,5558.32,351.77,302.73,10227.12,2319.08,633,744,5335.08,6945.64,5399.48,450.29,2293.58,3744.62,778.82,697.58,189.08,3459.38,3639.08,1910.25,697.17,1055.75,9043.25,8022.9,12430.66,796.25,256.96,4219.58,2831.76,5683.91,321.87,1025.5,4198.75,6876.32,956.75,419.83,2208.43,2815.08,2534.58,1837.67,8525.32,5395.59,2096.96,979.75,12.25,4246.36,32.08,282.81,4451.17,4790.76,7232.39,4001.91,
MF0075,3369.25,20151.76,6133.52,28275.82,15329,5313.79,9348.43,6465.57,10936.29,2452.47,6505.75,14236.17,12392.57,13771.35,13241,1648.5,28434.46,25600,42327.65,4760.75,10015.57,2687,7789.07,2787.25,7825.49,4633.5,1838.96,11934.69,5940.83,4204.69,5707.49,15781.54,2972.75,8759.63,9023.47,3040.43,7186,8421.45,9798.61,9899.75,4391.54,11056.75,2296.75,13145.39,10736.77,15101.5,5328.15,9366.5,3892.5,27559.23,18241.56,4014,22480.86,10694.75,6461.89,3028.75,644,17856,16721.75,12312.25,19423.46,4212.5,11154.43,24410.29,9429.61,7602,12026.07,8415.18,3924.33,3813.45,3771.21,3100.25,1352.15,1686.25,1029.43,5449.3,5473.95,4014.25,5104.39,15593.79,8774.49,8437.07,19215.67,4565.81,16185.86,20264.54,22063.49,9055.77,1053.06,15685.95,12699.75,1596,3280.5,8765.25,11055.81,8937.81,4584.29,5676.75,6707.29,1762.15,1819.75,517.75,5104.55,9595.25,2445.25,2247.5,6686.25,14283.91,12287.4,13293.16,4096.75,976.46,10058.25,7100.43,22113.25,2091.54,2145,7384.25,12582.32,2417.25,2608,3849.1,4439.75,3525.75,2429.5,12890.82,11197.1,13783.46,18601.75,32.25,7343.19,168.75,681.65,15126.51,8398.76,9998.39,10468.74,
MF0072,119235.5,26575.33,11151.41,14903.83,3791,24626.75,13355.67,89145.25,26612,48019.83,37379.5,132146.33,26618.17,15831.58,16374.83,127360,47287.58,42203.83,85436.17,9722.75,13470,16820.75,40743.25,30794.67,14876.75,110935.5,26897,13153.17,22997.08,143602.33,59002.5,95458.5,147232,29886.83,88023.91,31524.83,20950.25,5243.5,5870.58,5134.83,18344,28168.25,6378.25,7216.75,12608,13766.17,34826.75,100890.75,4036,16055.92,11664.25,10896,12619,39041,21447.75,11830,81148.5,22765.75,36371.17,32347.08,33196,4548.75,66811,13914.33,3509.33,14264,35575.58,8451.58,16813.42,7110.25,2284.08,1757,4561.92,9273,18369.75,2251.67,8960.08,13944.67,14323.92,42257,26033.83,10129.83,11855.58,43774,70319.33,27079.25,23213.83,41808.75,30204.5,9067.67,12231.75,568,1689.75,21450.5,6073,7379.42,19045,17091.75,45841.75,8802.42,9001.83,5139.58,4756.83,9254.58,47166,582.67,21769,5748.67,8266.08,14282.08,18088,17589.25,11310.75,8996,7303.5,7429,148218,19470.58,21015,26605.75,59978.83,6300.33,18319.33,15364.33,25621.17,11535.83,8285.42,17670.92,8249.25,9342,16895.25,38232.33,7890.33,8312.75,10263.08,10251.5,6315.75,
MF0073,6333.66,159894.5,133439.28,93429.01,35133.79,16498.75,24725.3,8127.66,24756.81,3307.23,10467.38,14888.22,37392.59,24691.91,22105.45,4153.55,43577.89,28350.59,42426.56,10988.71,28958.08,4784.85,7042.28,7176.71,14467.86,9704.86,4403.47,32575.24,26811.76,18597.1,6116.9,10158.4,8482.27,38056.44,32043.75,21086.66,9245.32,36222.53,39618.09,28075.91,11681.12,10861.82,5025.5,15203.92,25790.74,26440.93,7385.9,7656.69,7000.58,34569.65,22930.63,12138.81,26482.19,18964.09,10286.32,10771.25,3384.22,34925.47,21285.08,16302.78,19942.94,6273.08,24810.54,31891.49,31044.57,17698.93,43050.31,9418.59,10422.75,9408.79,8039.34,7025.78,8448.55,8069.5,1211.41,7198.53,10765.21,6572.23,18262.38,49858.25,11425.02,19348.34,42333.19,14525.14,7894.16,38631.32,18722.32,34087.56,31248.77,58370.12,11308.51,3318.45,6951.03,12256.41,40079.47,33787.83,7439.12,18986.3,6438.21,2662.72,2215.36,1120.9,9156.03,12164.98,3204.5,3626.37,17768.8,33549.26,33778.72,35761.83,9466.47,2583.18,14684.06,8168.18,41406.99,10634.51,5337.4,6454.78,30817.6,1893.35,1862.46,6003.03,7732.47,8275.09,3202.07,24589.59,26334.87,22504.87,39244.34,137.95,17672.31,1358.18,3738.02,31670.97,48945.67,32066.8,43855,
MF0070,124450.58,10002.51,11203.19,26020.51,10569.7,56131.17,35265.46,119851.82,71198.06,48662.24,100559.31,135584.47,34425,35260.9,40963.7,185598.3,67877.06,49941.92,94644.63,24074.63,23837.17,53728.1,101619.7,76635.38,18533.49,115636.45,53193.81,22653.49,26931.18,149242.69,56815.43,96146.66,150149.85,34177.35,86510.17,31937.08,53750.73,10436.53,11390.44,13759.58,70364.12,34438.9,7458,20714.59,23591.42,32328.6,37729.23,121029.6,5566.5,65985.98,43115.14,43747.73,50863.86,44656.25,47896.06,12720.5,97018.8,35749.63,40296,35544.7,44632.53,5902.5,69804.46,21184.07,9241.81,48120.43,41963.47,17854.51,18546.33,8319.45,7485.26,5956.45,9713.3,10057.75,29447.33,9145.1,24283.3,32510.3,17121.2,108098.42,35443.44,15418.58,18196.2,50727.31,76344.58,42883.32,39072.24,51571.59,77523.93,25040.95,25204.68,3867.2,8571.7,55673.58,20166.39,23618.06,20056.29,48134.13,61543.37,42933.3,65558.95,30722.4,13373.45,23757.4,106644,3723.7,54161.55,14886.58,17085.57,27856.58,43767.05,34220.51,31154.98,12071.51,19832.16,13292.67,150657.65,29305.87,52920.02,32100.1,72164.55,13462.7,36537.55,27051.85,27624.4,34599.59,13441.63,21803.79,11830.25,45579.45,44081.66,94694.35,28465.18,18837.22,13445.18,16821.89,8753.91,
