#OTU ID,LYZdtt308,Vil1.07B.DTT84,LYZFP332,Vil1.02B.FP24,Itg.22.DTT520.S15,LYZFP320,Itg.06.DTT436.S29,LYZdtt320,LYZFP308,Itg.16.DTT484.S79,Itg.18.FP496.S99,Vil1.05B.FP60,Itg.04.FP424.S24,LYZFP356,LYZFP344,Itg.10.FP460.S62,Vil1.09B.FP105,Vil1.08B.DTT96,Itg.06.FP436.S37,SLCdtt024,Lyz2.07B.FP284.S82,Vil1.04B.FP48,SLCdtt150,Lyz2.02B.FP224.S72,SLCdtt168,Lyz2.02B.DTT224.S64,Vil1.013B.DTT156,SLCdtt054,Vil1.04B.DTT48,Vil1.13B.FP153,Itg.22.FP520.S23,SLCdtt114,SLCdtt006,Itg.20.FP508.S11,Vil1.01B.FP12,SLCdtt132,Lyz2.05B.DTT260.S101,Vil1.09B.DTT108,SLCFP150,Lyz2.07B.DTT284.S126,Lyz2.05B.FP260.S57,SLCFP024,Lyz2.06B.DTT272.S114,Vil1.010B.DTT120,Vil1.05B.DTT60,SLCFP054,Lyz2.08B.DTT296.S139,Vil1.03B.FP36,Vil1.06B.FP72,Lyz2.06B.FP272.S70,SLCdtt078,Itg.08.FP448.S49,Vil1.14B.FP165,Lyz2.03B.FP236.S84,SLCFP006,Lyz2.03B.DTT236.S76,Itg.26.DTT544.S40,SLCFP132,Vil1.01B.DTT12,Itg.18.DTT496.S91,SLCFP114,SLCdtt096,Vil1.014B.DTT168,Vil1.10B.FP117,Vil1.06B.DTT72,Lyz2.04B.DTT248.S89,Itg.26.FP544.S48,Itg.20.DTT508.S3,Lyz2.08B.FP296.S95,Itg.04.DTT424.S16,SLCFP078,Itg.02.FP412.S12,SLCFP072,LYZdtt356,Itg.02.DTT412.S4,Lyz2.01B.DTT212.S52,Lyz2.01B.FP212.S60,Itg.12.FP472.S74,Vil1.07B.FP84,LYZdtt368,Vil1.02B.DTT24,SLCFP096,LYZdtt332,Itg.16.FP484.S87,Vil1.08B.FP93,LYZdtt344,taxonomy
MF0067,100117.89,2957.66,177434.93,68414.8,41597.87,52031.03,10234.65,154146.43,110963.89,42557.58,58656.6,34761.09,59341.54,49579.65,72901.69,63970.5,49255.96,5654.68,43651.41,9902.92,12600.75,37457.58,118543.5,45714.18,124726.79,30869.81,35028.47,11974.23,11973.88,62094.86,59097.09,30200.72,38893.5,86674.72,67413.01,34821.52,17260.64,5745.77,90913.29,48886.79,17980.39,15340.09,9241.28,5696.13,3226,18172.55,63318.57,47450.27,36063.42,40996.17,42422.97,64334.57,72271.85,67418.64,46778.47,48576.35,39465.22,27431.53,24957.24,42497.8,8606.24,70620.83,38609.25,50284.28,3787.41,35456.31,43463.22,47350.81,20803.01,54209.85,33821.53,81243.76,20840.39,102762.26,65030.84,52056.38,29677.81,58396.93,42588.97,61960.42,12139.42,45736.45,52557.6,57910.72,62724.5,63037.99,
MF0024,193.25,2704.165,140.25,48.5,67.75,1748.85,17.5,48.5,96.25,63.25,398.5,42.25,12.25,54.25,91.25,136.5,12592.155,5385.465,10.5,2355.93,2536,7.5,725.25,8,11.25,50.25,1573.75,0,235.5,19410.14,7,186.75,1933.25,18067.375,188.25,6737.945,95.5,2616.75,17.25,7728.58,2754.37,4282.895,456.75,2747.605,3024.125,4085.515,58,300,31.33,5594.495,185.75,3,15594.325,4356.37,37,24.25,73.75,0,156.25,367,0,411.565,1190,7.25,3549.165,1419.5,7.5,83.25,2,51.5,4855.31,0,0,56.5,58.5,61.75,5.5,103,14.75,450,207,0,60,92.25,25501.81,159,
MF0068,68734.81,3158.33,177184.5,57265.47,32336.62,51814.81,9185.01,110295.85,92792.64,38024.51,61198.1,30970.11,57149.38,46880.24,71170.02,61328.66,40904.03,5847.11,42028.74,11502.59,11983.5,34798.67,113836.1,43313.4,120082.2,27427.23,30239.69,11359.4,9429.72,48842.13,56192.57,26175.19,38767.57,70506.22,58876.44,27384.02,16786.97,7412.98,78809.06,43291.13,18034.54,18023.09,8004.71,7988,3427,14311.7,58967.91,46428.1,32933.75,37138.26,39987.4,66621.24,56281.22,65323.71,45716.72,46677.6,38555.06,19927.86,24088.74,38312.62,7368.87,70119.83,30575.79,40596.26,3986.08,34808.67,43694.81,40088.4,17932.43,51718.52,32621.28,78161.6,18054.53,102039.76,63582.52,50113.08,29335.57,59989.26,36687.54,48587.58,10424.08,45793.95,49835.62,47886.72,52476.75,58334.59,
MF0101,2497.25,2693,222.65,1304.5,716.15,603.65,240.3,649.5,2806.25,1590.45,426,1393.2,296.75,864.65,1422.65,1158.75,1654.2,5376.5,2026,317.6,419.5,2789.85,6097.25,957.4,4167.45,602.85,4082.95,323,476.5,20468.1,1053.5,631.75,348.1,4133,3610.5,991.4,550.3,2654.15,866.25,2316.4,976.95,626,869.55,2683.25,3023.25,891.8,795.8,1913.35,1768.45,3473.25,304.85,1166,1398.85,1014,379.4,175.25,1113.55,641.8,490.25,1004.2,503,56.4,2090,3384.3,3538.5,1894.3,1899.75,2034.15,1379.25,465.1,1066,1856,691.6,366.7,649.5,284.75,220.5,1512.5,2735.55,2045.6,648.8,7,658,3581.3,1529.2,910.4,
MF0021,46721.34,2695,5677.265,12811.43,6346.665,15472.135,1217,12725.25,23422.085,4594.085,6984.5,7661.025,6572.165,2567.98,4163.93,10500.835,18686.99,5363.93,4835.085,814.89,1945.875,6021.555,10865.82,4241.275,13915.035,3122.03,6797.325,1515.86,3915.125,29235.47,8597.73,5103.085,7027.94,40913.085,8054,8193.86,3919.21,2775.395,11765.825,8602.835,3807.37,1592.335,2272.67,2916.54,3023.25,4919.055,4782.035,4214.24,10761.825,8119.33,2322.14,6867.83,17300.015,10110.625,3953.9,4309.765,5474.785,7853.8,1458.795,7376.77,2395.25,9812.15,10691.79,11689.625,3551.5,8691.005,4862.58,11352.9,4844.93,4310.1,1885.875,8094.235,3962.35,908.925,4935.815,1351.16,529,8077.99,15047.09,9247.355,2322.605,0,2448.345,14968.215,26059.745,3817.8,
MF0065,49299.125,4147.5,90265.47,39917.415,25551.2,48023,6850,55057.425,49417,23169.1,52727,16413.265,52398,23693.325,45103.95,49960,29211.28,8175.34,29558,6517.925,7556.125,22982.425,83699,34836,91720,20527,22339,7409,5613.79,34319.26,44786,22178.595,30542,43320.985,39213.46,15883.51,8118.985,5394.54,44837.875,25079.285,8908.475,9753.875,5297.9,5504.395,4636.25,8656.275,48416,34344.5,17853.92,28549.79,34071,50169,30195.345,57627,42200,43080,29352,12665.775,20963,31223.81,4470.5,69147,18151.29,23388.215,5425.875,27020,31621.475,26604.535,9606.84,46671,24947,45886,13475.315,92618,54016,46372,25727,37467.085,22214.605,25220.455,6927.19,45568,25233.975,30738.32,37171.375,45232.87,
MF0022,30737.27,2689,10617.26,14370.6,5766.54,1406.13,1213.41,4243.67,27702.46,8659.04,1606.5,6353.98,1681.12,9959.52,5992.47,4466.84,11121.45,5371.93,7005.42,1627.68,2975.75,7057.22,13553.15,5061.32,8808.16,5194.45,5158.2,3134.11,2734.88,21036.55,5590.9,3573,5859.9,33219.34,15508.12,13981.15,2630.45,2766.27,11343.08,7424.92,1203.29,2247.21,1949.54,2694.79,3023.25,6487.81,7314.49,5402.49,7277.58,4832.08,4139.01,5827.58,13728.64,5216.13,1461.15,2947.93,4426.74,10238.55,1706.46,5007.44,1180,374.4,6266.79,12841.42,3538.5,4870.42,5021.58,12439.23,5423.1,2080.89,4703.58,8852.15,5138.6,4681.09,5859.52,2508.28,2035,11286.49,12569.09,24219.52,2421.65,18.25,3469.47,8309.01,26297.08,6615.13,
MF0066,51113.91,2805.5,13709.835,34365.78,20653.29,25756.685,4821.365,16366.17,46283.105,21470.85,47845.75,15818.425,41506.265,18448.91,33462.3,39506.465,11528.75,5490.34,20676.42,5981.1,6624.25,18846.085,67287.24,21936.995,58920.915,14028.435,24965.6,7553.11,5390.855,35669.395,38008.705,14642.375,23408.87,35749.63,29702.515,14614,7824.36,4199.925,40667.365,21296.38,8018.77,7485.26,4555.015,4189.645,3125.5,9145.1,29412.16,25815.745,14967.125,20328.83,20658.335,41269.205,21228.485,58198.09,32056.2,23547.84,22161.41,13373.45,12169.48,26796.07,3723.7,69212.5,17914.37,12595.42,3654.375,17945.05,24993.33,20297.155,9194.385,32563.875,25591.33,52920.02,11562.5,52447.92,38233.215,25354.51,14992,30711.13,14730.855,26186.48,5477.91,45574,17320.395,18062.11,31266.09,31451.02,
MF0018,65201.57,2945.33,176128.74,47590.13,27811.12,50293.82,8538.69,109112.76,78936.89,38723.85,64362.1,24853.37,55376.81,83937.41,120215.6,60233.48,30480.28,5619.68,39619.4,13303.18,13086.75,33751.59,104589.27,40537.23,110922.53,24963.81,27631.69,10426.73,7835.29,47262.39,53279.06,22335.44,36845.73,36807.88,51705.03,21348.77,17196.82,5755.19,106253.3,39367.45,20117.95,21225.34,6581.72,5632.71,3229.5,10109.02,55738.33,46469.77,27338.58,30025.18,38502.24,68921.58,45757.89,62275.62,44353.97,45325.35,36519.48,14290.03,23674.91,36458.45,5363.37,69850.83,24177.87,37227,3785.08,30990.26,42098.23,29900.82,13184.26,50215.61,30258.45,72699.27,14977.53,107610.01,60790.11,49177.84,30360.07,64445.92,26471.88,42547.83,8871.91,45868.45,50434.96,44879.47,16329.16,62025.18,
MF0019,16605.04,2692,1784.01,612.79,2098.54,660.22,350.09,1353.5,13815.96,728.69,73,3735.49,5074.46,575.67,3897.22,667.75,1611.95,5381.04,553.25,78.1,190.25,285.32,15281.07,692.3,5687.99,463.24,5333.65,52.58,325.79,28253.4,722.64,338.25,497.31,510,1933.96,983.3,531.1,2892.44,3782.82,2104.59,238.15,208.71,1196.6,2680.79,3037.25,166.6,744.66,912.74,4094.41,740.75,591.7,774,1730.31,633.12,260.15,272.04,1393.91,756.1,1187.21,376.11,102,63.4,2848.29,2631.41,3572.75,2203.73,991.75,550.15,299.79,2727.56,434,306.57,209.2,457.59,257.11,350.12,158.5,958.21,2568.98,2646.85,667.73,1,2724.89,1270.23,2306.02,3624.22,
MF0030,809,0,115,134,401,20,76,16,1198.25,110,29,1074,357,58,291,67,1184.5,0,24,31,13,50,415.5,80,506.5,187.5,45,0,38,19,269,40,152,184,101,62,164,1,1291.5,191,11,26,65,0,0,18,66,258,1005,220,107,27,1088.75,39,21,99,96,34,18,386,32,40,669,1049.5,0,174,53,161.5,52,226,37,21,25,32,39,71,0,175,1534,629,102.5,0,367,315,2894.5,495,
MF0074,85687.02,11001.33,178256.54,43212.53,20573.51,26107.62,8851.87,9455.08,94364.41,37426.14,17229,34184.94,26106.25,79088.98,124923.96,18959.92,54262.94,21718.11,35918.42,11065.01,15831.5,27182.01,77818.97,45304.23,103082.54,27439.79,17836.03,3395.14,8536.5,47588.51,20685.12,9193.51,15161.61,72548.08,56949.67,23925.07,16912.71,13506.81,124536.14,39714.1,16401.87,16781.5,6868.38,12923.5,12306.25,8813.89,55746.6,40688.29,44995.69,19768.33,37129.77,26745.66,60218.27,35451.58,8214.82,36489.78,13550.27,16137.38,24258.17,24021.59,5126.17,19915.73,28515.5,44283.03,14422.58,22893.63,19274.58,30328.32,18498.86,36867.35,23041.58,36720.72,10917.93,104628.15,38928.88,49522.07,29310.17,48237.81,51360.8,42271.03,8793.49,1857,55709.19,66267.3,87239.79,67396.29,
MF0031,6067.93,8054.33,823.59,5095.93,5044.37,533.47,758.59,3688.66,25886.29,7328.55,624,3464.32,718.46,9222.86,5595.14,3391.33,4116.28,16117.93,4796.75,1389.18,1041.25,4771.39,8443.32,2562.98,8947.33,3219.11,7484.03,2700.78,2229.04,25210.89,3382.06,3375.84,1046.73,4562.33,8443.13,6112.82,1675.97,8125.94,9775.9,6215.75,891.95,2015.04,2614.72,7993.96,9069.75,2987.97,6222.83,3095.32,3343.57,2319.08,3053.69,5335.08,6945.64,3744.62,778.82,1894.1,3740.58,3459.38,1375.96,1897.1,697.17,52.73,5112.96,9043.25,10621.83,5694.42,4219.58,5379.57,2831.76,1074.56,4198.75,6876.32,2208.43,4654.76,4646.86,1937.29,1837.67,8525.32,5395.59,21271.69,1845.31,12.25,2201.47,4451.17,4001.91,4694.64,
MF0075,9411.77,2728,20151.76,9348.43,5367.04,2452.47,1319.09,5352,28434.46,11439.88,2687,7825.49,1838.96,11934.69,8759.63,7186,8421.45,5425.43,11056.75,2200.85,2296.75,13145.39,25240.82,5328.15,21936.49,4185.78,4038.36,3642.11,2522.54,18241.56,6461.89,4306,5389.06,17856,19423.46,8621.65,2855.3,2924.44,12026.07,11265.58,3813.45,3771.21,2120.05,2739.79,3023.25,5449.3,8183.16,8774.49,8437.07,12699.75,3979.35,8765.25,11055.81,6707.29,1762.15,2245.93,6691.91,5104.55,2229.46,5364.27,2247.5,134.4,5449.95,14283.91,3538.5,3474.6,10058.25,11070.4,7100.43,1939.56,7384.25,12582.32,3849.1,5226.59,6266.86,2369.79,2429.5,12890.82,11197.1,24386.19,2040.98,32.25,3907.98,15126.51,10468.74,6691.31,
MF0072,50609.59,2903.33,26575.33,13355.67,13712.58,48019.83,6391,25396.58,47287.58,16437.42,16820.75,14876.75,26897,13153.17,29886.83,20950.25,5243.5,5600.75,28168.25,3205.58,6378.25,7216.75,47100.08,34826.75,83675.42,20463.25,7366.16,3178.67,2826.17,11664.25,21447.75,4129.92,14219.25,22765.75,33196,11510.75,6036,4657.17,35575.58,13466.5,7110.25,2284.08,3415.67,4971.17,3224.25,2251.67,48280.75,26033.83,10129.83,12231.75,32942.92,21450.5,6073,45841.75,8802.42,39256.25,14067,4756.83,20877.33,11218,582.67,36724.83,11682.5,5748.67,3766.08,20993,11310.75,18834.75,8996,33558.5,19470.58,21015,6300.33,92399.25,39838,46021.5,25621.17,11535.83,8285.42,14473.92,3845.75,9342,15354.67,8312.75,6315.75,43284.59,
MF0073,22452.22,2725.33,159894.5,24725.3,9992.37,3307.23,2092.51,83982.43,43577.89,16691.76,4784.85,14467.86,4403.47,32575.24,38056.44,9245.32,36222.53,5421.93,10861.82,4593.01,5025.5,15203.92,22401.85,7385.9,24143.45,6324.48,5367.28,3601.73,4444.13,22930.63,10286.32,6465.44,3986.07,34925.47,19942.94,12510.77,8876.47,3275.02,43050.31,20843.29,9408.79,8039.34,3219.21,2941.46,3025,7198.53,9729.66,11425.02,19348.34,11308.51,5384.65,12256.41,40079.47,6438.21,2662.72,3399.85,7905.81,9156.03,2348.66,10257.62,3626.37,853.83,14398.71,33549.26,3566.33,6083.83,14684.06,14116.15,8168.18,4638.69,6454.78,30817.6,6003.03,8922.51,8641.52,3283.83,3202.07,24589.59,26334.87,32237.66,4262.33,137.95,33581.95,31670.97,43855,14006,
MF0070,55626.9,2910,10002.51,35265.46,25217.79,48662.24,7526.69,106816.68,67877.06,27048.68,53728.1,18533.49,53193.81,22653.49,34177.35,53750.73,10436.53,5602.18,34438.9,5981.1,7458,20714.59,93084.69,37729.23,96869.86,23565.31,26558.11,10137.31,5968.87,43115.14,47896.06,21529.77,33552.98,35749.63,44632.53,20084.77,7981.57,4992.52,41963.47,23877.95,8319.45,7485.26,5681.05,5279.04,3224.25,9145.1,54574.58,35443.44,15418.58,25204.68,37439.32,55673.58,20166.39,61543.37,42933.3,44929.6,32945.73,13373.45,22370.58,27450.7,3723.7,69246.5,18031.45,14886.58,3763,29839.93,31154.98,29227.07,12071.51,47701.11,29305.87,52920.02,13462.7,97167.26,58606.86,48282.84,27624.4,34599.59,13441.63,34261.33,6925.91,45579.45,17347.96,18837.22,8753.91,47408.51,
MF0071,67644.03,5425.665,173575.585,53121.065,31221.275,29772.26,6801.225,97318.39,66317.08,32028.105,41820.775,24008.32,34973.095,40427.195,66006.25,48659.405,42570.155,10800.235,30134.615,8896.555,10296.375,31224.51,93632.39,29061.07,83364.305,18421.24,22326.525,8626.565,8160.105,48276.2,41851.1,26009.99,30526.54,61395.845,48740.955,22641.27,12874.72,6426.47,68367.155,38750.68,13829.745,14216.17,7394.49,5913.02,6051.75,12559.79,34605.67,39528.55,27921.42,34650.67,23788.35,55843.905,51335.095,45078.385,34420.92,29124.155,31557.865,17714.04,14619.975,37176.37,6503.185,36618.63,26117.975,38122.55,7107.29,29186.535,39167.13,33504.855,14007.43,32347.545,22934.32,56192.965,16264.865,62004.955,38591.37,27785.59,18024.485,50352.13,33989.665,42962.955,9302.105,23200.8,42423.745,45179.72,55762.375,47584.155,
