#OTU ID,LYZFP327,Lyz2.05B.FP255.S52,Itg.02.FP407.S7,LYZdtt315,LYZFP315,Lyz2.03B.DTT231.S71,Lyz2.06B.FP267.S64,Vil1.07B.FP79,LYZFP303,Lyz2.05B.DTT255.S96,Itg.24.DTT527.S22,LYZdtt303,Vil1.04B.DTT43,Itg.12.FP467.S69,Itg.18.DTT491.S86,Lyz2.01B.DTT207.S47,Itg.10.DTT455.S49,Itg.08.DTT443.S36,Itg.18.FP491.S94,LYZFP351,Vil1.05B.FP55,Lyz2.08B.DTT291.S133,Lyz2.07B.FP279.S77,LYZFP339,Vil1.09B.FP106,Itg.26.FP539.S43,Itg.06.DTT431.S24,Vil1.08B.DTT91,SLCdtt145,Lyz2.04B.FP243.S92,Vil1.04B.FP43,SLCdtt163,Lyz2.02B.FP219.S67,Lyz2.08B.FP291.S89,Vil1.013B.DTT151,Lyz2.02B.DTT219.S59,Vil1.13B.FP154,Vil1.05B.DTT55,SLCdtt109,Vil1.02B.FP19,Itg.20.DTT503.S98,SLCdtt001,Vil1.01B.FP07,Itg.24.FP527.S30,SLCdtt019,Lyz2.04B.DTT243.S84,Itg.10.FP455.S57,Vil1.010B.DTT115,SLCFP145,SLCFP049,Vil1.02B.DTT19,Lyz2.07B.DTT279.S121,Vil1.06B.FP67,Vil1.09B.DTT103,SLCFP163,Vil1.03B.FP31,SLCFP109,SLCdtt067,Vil1.14B.FP166,Itg.22.DTT515.S10,Vil1.06B.DTT67,Lyz2.01B.FP207.S55,Itg.04.DTT419.S11,Itg.16.DTT479.S73,SLCFP127,Lyz2.06B.DTT267.S108,Itg.08.FP443.S44,Itg.12.DTT467.S61,Itg.22.FP515.S18,Vil1.014B.DTT163,SLCFP001,Lyz2.03B.FP231.S79,Itg.26.DTT539.S35,Vil1.10B.FP118,Itg.02.DTT407.S99,SLCFP019a,Itg.16.FP479.S81,Itg.04.FP419.S19,SLCFP073,LYZdtt351,Itg.20.FP503.S6,SLCFP067,LYZdtt363,LYZdtt327,SLCFP091,Vil1.07B.DTT79,Itg.06.FP431.S32,LYZdtt339,Vil1.08B.FP94,taxonomy
MF0026,26754.775,6280.855,4126.32,19465.655,38368.68,6636.985,10080.075,11544.195,20364.23,4271.29,11371.455,317044.485,4812.175,13796.665,13960.055,8915.22,12561.55,4481.465,16410.93,23913.29,18994.2,5322.89,3164.845,22034.13,14134.355,7190.75,4853.4,0,18867.565,13645.58,15056.245,34246.66,12804.615,3947.995,9887.98,12210.555,81233.62,0,6696.415,13067.615,11844.305,1684.11,11560.135,7363.32,1956.025,12759.57,18245.765,2851.94,8817.27,8461.155,3078.07,6505.93,12498.92,3793.005,12361.105,10113.01,6425.775,3994.7,35972.9,11376.605,0,9034.63,6427.575,51217.15,3346.855,11864.155,12191.32,12881.71,7855.08,7454.89,8960.78,8301.18,5345.21,16985.16,6669.585,6885.66,9861.105,8458.15,4993.235,18593.18,12305.81,4404,32325.595,13854.735,10429.355,2154.855,5676.57,4654.235,14739.765,
MF0103,68774.365,9316.14,5381.925,25322.18,43525.79,3142.24,11023.575,27181.14,26685.955,5830.39,7689.425,77938.42,3762.355,18231.23,14360.885,8157.975,9408.12,6520.79,18233.94,43265.62,34840.67,6678.455,7813.13,33178.205,6767.75,12988.61,9500.04,227.115,12686.115,23597.245,23643.775,54393.99,16505.86,7822.34,21679.16,11165.885,9445.46,48.895,4336.75,24796.52,20415.635,2069.505,28022.905,6632.055,2351.315,14602.265,20673.775,1039.735,16384.215,18778.115,2854.075,7061.515,22019.32,2209.495,18182.72,20058.65,10934.475,5216.35,3226.05,17945.855,101.455,16179.17,7769.855,12273.555,7214.475,6158.25,18107.75,16766.765,10822.42,8050.22,13912.61,16680.38,6351.16,4500.805,5172.035,9073.45,15093.475,9137.215,11308.81,19805.85,22056.12,11688.43,24752.465,33775.685,7535.185,42.835,11291.44,2975.95,12686.875,
MF0067,102427.17,26321.73,17345.35,73011.5,146616.21,42516.87,37273.55,31685.01,243743.95,16999.59,32756.06,904125.47,13738,48647.13,44515.06,27282.07,54941.65,17474.18,45005.43,78767.56,64493.48,31291.62,10885.21,73599.71,76419.21,26523.25,51316.82,6744.14,93046.2,81227.58,49081.71,127198.9,43996.63,29922.69,42356.46,38876.86,188704.89,6606.77,36386.08,56519.94,59057.78,6790.84,40590.72,25530.59,11559.09,63044.81,83523.8,7654.74,41314.61,27011.66,13241.16,21280.53,40408.44,12373.88,37047.87,39231.48,24334.09,24663.17,90376.59,45177.79,3916.91,35256.86,23865.77,125873.42,17163.08,34261.46,40089.06,52140.72,28132.96,27022.58,28648.27,75948.34,21641.15,83877.33,25855.09,20959.85,33209.31,27784.85,33122.9,162370.64,53890.02,15806.11,81275.16,68453.05,34864.58,4529.63,27710.84,17881.25,89823.45,
MF0024,167,0,2454.32,1292.5,111.75,160.5,9351.075,3.83,102.75,302.25,59.75,10387.25,850.25,11213.04,24.25,142.5,142.5,1148,7.5,94.75,8,160.5,3141.72,84.75,10874.355,3,26.75,5495.28,5.58,9144.705,13235.285,4097.25,12747.99,3914.745,591,20.75,21,6347.05,8.5,10137.615,207,112.5,37.75,2.75,14.75,225,10376.39,4975.815,1.75,8113.155,2628.695,934.25,12478.92,5120.75,1.5,16.25,5593.15,75.75,2847.4,56.5,3814.495,0,241,259.75,2754.73,11612.78,4.75,125.75,0,555.75,36.75,6562.305,28.5,63.75,170.75,6639.66,3.25,8285.15,4838.11,73.75,9682.435,0,122,243.75,5637.605,4180.355,5525.07,653.25,1050.75,
MF0068,95122.74,22606.23,14493.76,53835.87,116874.59,34997.2,29569.2,27905.66,228535.46,14811.02,27855.89,434128.46,12076.42,36885.96,36616.43,23443.44,48142.85,15466.31,37804.79,54406.87,47519.48,29199.53,7967.64,63455.14,75178.53,23198.5,48563,7563.3,89132.43,72245.83,36654.73,102435.57,34950.12,26297.89,17337.63,32902.77,183191.64,6744.03,31179.91,50037.11,49183.78,5506.92,35570.72,21684.23,10951,55102.64,77933.89,7650.54,36433.62,17256.56,11672.65,18368.04,30695.51,11281.66,28711.78,34475.89,17199.66,21135.42,91780.92,39710.95,3924.91,26783.2,20117.06,119569.53,14723.31,28124.44,36409.1,43954.6,24119.14,20708.99,21779.61,69161.56,17651.12,83935.65,21558.44,15767.35,28923.49,21047.61,27987.56,152244.17,42845.89,13420.63,66566.9,62884.73,24787.58,4449.88,23170.2,16267.3,88834.03,
MF0101,2184.1,574.4,385.8,3675.5,1850.05,742.9,1261.2,2026.9,1290.35,859.05,824.15,21022.25,1400.65,1355.8,1450.6,756.7,1322.45,2060.6,1405.6,2517.95,2857,1165,451.55,1515.25,480.6,884.45,573.55,5388.75,1179.5,1540.45,1796.5,10241.8,1382.2,485.1,8162,1388.75,619.6,6320.5,1062.5,1620.6,1209.1,535.7,1589.85,788,513.6,1442.8,1117,4710.55,942.75,1778.9,352.85,1842.45,1952.9,5548.35,1582.9,1503.4,1905.6,719.35,394.8,959.9,3769,838.6,1220.8,1536,571.6,892.5,1001.5,1684.4,575.4,2140.55,2129.95,1019.05,611.5,1440.5,1234.75,1733.2,1297.25,636,861.4,1544.35,1085.8,887,2869.6,1855.55,1507.4,4130.75,523.6,1209.05,2759.5,
MF0021,7108.835,4404.405,2319.915,30662.685,34224.855,7613.945,11502.95,7357.415,17575.455,4106.69,12077.185,1054404.665,5835.545,10403.9,8719.39,11669.325,12763.74,6230.355,7373.345,18028.92,18334.565,5442.495,2578.81,8891.095,4887.865,3788.67,3083.295,5459.235,18008.88,10819.16,11353.3,37196.47,15907.075,3517.39,21693.89,15985.725,3713.64,6360.93,6814.54,6860.695,9744.765,1644.845,5363.255,6951.68,1328.565,13933.56,10344.495,4901.005,5078.485,10079.57,1155.78,8325.115,11210.86,5959.155,8214.275,6909.415,6568.65,3983.17,7725.995,5959.07,3817.07,9993.425,9471,6960.51,2910.48,14547.935,6402.35,9494.48,3853.3,11887.815,7515.24,6457.07,4248.795,5676.77,7159.17,4886.285,5362.25,15690.22,3919.445,15349.93,11857.2,2846.58,31291.145,6145.895,10653.815,4489.915,5945.205,4556.67,15609.985,
MF0065,47873.455,11666.24,7492.335,38948.295,74946.65,25870.7,18173.575,14050.5,201189,7949.65,18587.33,608823.875,7701.645,19849.855,18486.215,14518.135,32358.89,8284.845,21396.885,34233.96,28651.895,18982.165,4888.89,32478.53,42275.34,13462.555,37956,8622.99,56881.54,56074,18621.66,52841.49,22998.2,19251,14588.805,21624.27,177605,9596.715,21410.125,30662.925,34768.715,3637.225,17938.97,12350.52,7286.595,36276.065,59043.745,7840.65,26310.205,13837.19,10165.13,11295.97,19312.31,10361.57,14500.1,16905.57,9841.3,15713.675,74760,25862.99,5714.445,15504.6,10916.57,93614.08,10221.77,20791.08,23327.54,24194.575,16529.87,11146.625,13634.975,57811,9370.52,55780.46,11630.92,9295.695,15068.835,16106.25,19768,117423,26479.19,6888.585,48291.66,31367.28,17307.115,6357.165,12313.6,11049.985,61287,
MF0022,25296.55,4819.65,3069.75,26444.64,26161.98,5345.07,10383.45,9683.17,15383.12,4136.52,13637.35,548275.53,4323.79,11754.44,10372.85,13023.91,9496.49,4995.31,9791.92,18241.37,17672.56,5713.7,3809.64,15648.59,2725.87,6159.59,5213.5,5495.57,14192.72,11736.49,12348.51,35646.01,14733.87,4235.39,16862.64,15814.93,2750.39,6334.93,4555.83,12212.86,13767.85,1495.1,12741.46,6103.05,1655.19,13877.68,10687.7,4886.09,8677.19,12635.32,1600.69,7246.4,9690.78,6092.9,9591.07,9082.71,5872.03,3597.38,952.16,9776.2,3769.57,11462.59,6138.75,7849.71,3840.86,13886.15,8537.98,11640.27,5758.22,9186.48,8094.28,8039.16,4949.34,2797.73,5946.18,5559.2,6915.87,7642.05,6113.74,13491.34,14416.16,3131.99,31093.6,15009.89,6424.65,4302.62,6681.11,4212.67,18472.11,
MF0066,34842.83,7554.41,7012.21,41158.595,61330.24,17080.8,11556.975,13950.99,114927.505,4868.14,11980.865,601709.19,5833.585,19063.98,17538.965,11498.805,26475.215,9107.35,18342.895,19900.855,16407.45,15172.45,3262.695,28522.405,32355.85,13088.67,25084.08,6037.11,44388.685,36627.37,18508.24,53721.005,17765.17,13754.945,15456.15,14485.135,169055.515,6455.18,17061.665,27245.095,27215.425,3119.555,18405.605,8286.285,5780.64,28522.915,44765.43,5940.585,20022.385,7169.52,6193.05,8850.935,12314.255,6940.66,14877.225,14662.945,7901.97,11329.52,73098.625,23824.27,3784.695,14723.225,11138.445,22112.265,10493.51,11069.965,20801.91,24218.51,15515.22,13504.83,13370.39,34904.795,8782.145,44390.325,10069.545,5534.27,14319.87,11047.16,22369.34,76569.555,23526.33,6551.49,22482.905,33983.655,17586,4439.04,13429.15,8430.365,47467.735,
MF0018,124757.15,23146.91,12250.83,44712.77,94094.51,27799.78,18245.2,33778.32,214455.22,12477.28,12758.82,509504.72,8396.1,32708.96,38126.18,10302.02,39122.69,12750.39,45684.97,43157.8,37246.66,23542.62,6899.23,87887.73,103260.44,20914.25,47974.09,6569.23,71968.15,65586.58,30698.9,80059.65,19006.03,23680.39,18021.96,15281.77,182964.39,6572.6,26343.5,45398.95,41835.78,4233.91,33280.97,13834.41,10632.32,41067.4,75873.57,7477.75,31566.54,9824.97,10909.74,12884.05,25678.84,12133.83,24286.61,33168.72,12246.8,17737.33,94699.08,36250.52,3843.74,17792.21,15408.72,37614.71,12858.8,11986.67,35735.17,38012.44,22214.78,18437.91,15376.53,64665.13,14064.78,113642.56,14712.33,21119.35,36569.58,10920.04,24367.13,143070.1,33185.89,11854.64,25359.91,69877.07,19730.08,4438.21,19606.05,12140.31,88162.03,
MF0019,5315.21,784.34,409.18,24502.42,3781.23,831.55,2030.45,1914.09,3615.71,1133.27,922.42,466662.87,1236.76,1651.02,1004.2,2168.52,1292.03,3607.33,1176.2,7796.63,3888.82,1130.54,839.98,2762.18,408.78,925.07,557.97,5406.71,5715.87,2499.52,1571.29,18618.73,3316.4,823.57,14975.92,2263.04,2062.32,6334.43,1015,1654.99,1016.7,751.82,1662.03,814.42,384.45,2432.27,1794.87,4689.72,974.33,2386.3,2924.74,3073.53,1958.43,5547.12,1729.3,1318.22,2801.2,825.03,322.43,1301.61,3806.82,2548.2,2029.43,1457.42,786.2,2057.92,1086.92,1418.42,744.22,4674.64,2778.15,1800.14,656.5,621.39,1541.25,1470.9,1464.38,2219.14,1790.3,3676.1,1124.18,1284,3492.78,2624.23,1940.8,4295.62,817.46,3313.09,2549.36,
MF0030,445.5,286.5,109,1314,1592.5,659.5,1001,513.5,1103.75,483,702,11355,304.5,637,990.5,1207,837.5,350,674.5,730.5,842.5,524.5,220,801.5,135,181,189.5,8,1763,650,835,1323.5,2168,223.5,66,1663,0,0,362,471.5,480.5,103,518.5,482,97,1232,715.5,20.5,273,486,99,840,475.5,67,712,640,352,223,27,243.5,0,1293,748,636,66,1190.75,338,895.5,141.5,532,459,527,255,548,805.5,286,279,778,337,1038.75,387,105,2244.5,492.5,856,0,278,467,504,
MF0074,117607.23,25350.5,11390.78,76548.45,97006.24,35114.9,35332.62,32603.92,224560.72,17662.24,35866.81,1146476.09,17975.36,36823.09,44060.84,40522.86,45817.28,19128.2,42846.59,81785.22,56039.22,27742.33,9353.74,96442.35,97240.29,15888.47,49143.87,22829.3,98944.59,51456.7,37661.26,107696.81,54462.62,26847.18,27588.77,52121.95,28337.68,25585.03,27924.49,37243.54,42518.42,5352.41,31638.91,23907.61,11607.19,56597.23,54571.98,20693.04,25746.31,20573.32,12606.3,26338.2,38368.32,27728.8,22678.56,33544.68,16315.77,20878.83,27948.94,29553.4,15261.31,39263.34,25146.95,116147.1,13186.44,39669.28,24880.03,42275.23,15793.36,26113.83,17242.35,58999.59,17132.67,110282.7,24509.34,24659.62,37788.67,30599.19,27582.82,177275.26,38147.26,11994.83,108148.61,68465.99,20435.9,16990.25,25692.9,22032.29,115214.89,
MF0031,26076.7,3388.16,1955.58,19490.31,16520.31,1432.57,3663.95,8491.66,9651.12,2863.19,1728.02,59095.88,3748.3,6111.61,5091.18,2722.57,3610.99,5357.15,6493.27,14789.05,12106.57,2609.71,2615.48,12376.93,1714.69,4746.75,3572.34,16223.23,4733.04,8321.33,8609.84,14306.35,4685.03,2701.89,9566.8,3060.77,3955.39,18989.6,1564.5,8826.2,7088.18,1075.26,10180.97,2364.56,951.02,5496.19,7290.37,13923.75,5688.2,6052.32,6550.04,4801.25,7237.44,16164.58,6693.06,7234.87,3329.35,1938.88,800.83,6910.02,11335.24,5206.76,3127.92,4734.06,2261.85,1795.97,6776.97,5868.44,3857.38,4325.15,4070.28,5846.48,2233.33,1458.56,2180.33,3343.2,4947.88,2621.89,3789.73,6841.35,7018.99,4355.34,8797.61,13494.07,2275.48,12409.21,3782.8,5681.67,1103.28,
MF0075,27619.71,4465.83,2523.91,15104.8,20112.98,2916.06,6170.95,11825.99,12972.96,3367.53,4194.69,131501.88,3152.97,8668.44,8638.85,3709.24,6742.16,3381.15,9465.1,18356.88,17126.41,5199.2,2983.48,14592.93,3643.03,5683.09,4356.84,5439.57,11809.7,9430.49,10995.34,31268.01,7817.7,3493.39,7380.3,5661.93,895.39,6328.43,3014,10915.03,9271.85,1081.09,12546.46,4068.39,1156.35,7389.35,9764.54,4916.59,6281.7,7027.65,4173.53,3892.91,10417.61,6063.24,10073.4,8897.04,4176.35,1898.21,1550.66,7858.36,3769.57,6409.1,4228.41,89348.39,2605.35,4208.64,8306.14,9453.94,4529.04,4158.14,4927.95,7030.48,3177.5,5470.39,3894.5,4625.2,6559.71,4402.89,4246.9,10145.85,8939.66,2213,17732.78,15141.23,3777.65,4131.04,4664.46,4749.18,11528.61,
MF0072,21849.08,4487.25,3121,29866.75,72594.33,22026.33,5899.25,5681.33,200499.58,2742,5813.25,250967.59,3974,7387.75,8329.25,5887.08,19402,6528.59,6328,9196.33,7340.42,15577.25,1784.75,20918.08,25668.33,5108.25,37423.25,6450.33,39694.33,43600.25,10402.58,43539.17,9864.75,19344.5,5935.16,8419.5,25713.5,6541.67,9666.75,16542.92,26285.5,2193.67,16123.67,4041.75,5652.33,27335.33,33934.33,5568.58,17031.34,1561,6762.92,5745.67,7573,6462.67,7782.08,11082.75,1861.08,13273.17,18123.92,15074.58,3803.92,9287,7457.42,13712.25,8824.75,5401.25,9249.25,12241.5,7664,7949.41,4456.33,50847.25,3756.58,38343.75,5186.42,1580.83,9129.5,5578,18783.58,115785.58,20490.25,7045.67,6153.17,26458.42,7474.5,4350.67,11277,7583.17,56024.92,
MF0073,71696.24,18022.98,8967.17,44110.2,40010.51,8990.04,23034.95,19207,27656.13,11768.27,20183.48,404428.21,8279.67,22300.96,21086.68,13401.44,18732.77,7836.97,22260.29,43141.79,39336.06,11032.37,6112.89,40926.89,41929.03,12368.75,9458,5613.48,36019.42,15885.08,23127.57,52730.4,21837.7,7338.89,11641.47,21037.77,4775.89,6399.6,13471.08,23889.53,16247.78,2354.42,18174.47,15970.07,3792.91,19645.98,21160.48,5903.75,11279.53,15326.64,5895.4,12926.04,23535.01,9576.74,17080.78,22871.39,12767.48,6419.5,14509.5,17133.36,3870.49,14911.2,11800.06,97144.03,4535.31,24568.93,15815.51,21278.02,10421.96,11886.58,11537.36,11306.81,10933.12,35715.9,14441.51,13029.35,17313.74,15993.2,7777.47,34037.34,18118.39,7439.63,56306.73,34780.73,11340.58,4238.96,11143.7,8906.8,27937.03,
MF0070,44801.32,7554.41,7231.58,43882.85,87511.18,25163.78,9968.45,16396.82,207680.89,4647.7,8306.32,266044.3,5365.6,19665.96,17597.43,7803.94,30049.69,9468.47,20005.97,17874.97,17882.16,20001.95,3950.98,31400.9,34010.36,14609.75,41218.84,6503.5,52485.9,63801.33,19905.15,59157.73,13052.28,21472.39,14359.13,11069.02,179063.89,6534.93,18699.75,33786.03,38310.78,3733.99,26328.55,7309.41,7181.49,37689.9,60505.99,6064.92,29398.62,8015.72,9202.57,7522.63,14262.34,7206.66,16679.28,17150.72,7901.97,15832.16,75463.41,28360.44,3788.07,13495.46,10639.55,25530.21,12204.8,5787.42,23978.92,24495.94,17082.78,11869.08,14159.2,63195.38,8469.45,44473.59,8464.66,5534.27,16144.33,7470.29,23526.05,120681.02,30908.64,7861.97,10783.49,39076.15,17586,4338.79,14561.3,8741.31,58213.36,
