#OTU ID,LYZdtt307,Lyz2.01B.FP211.S59,Vil1.07B.DTT83,LYZFP331,LYZdtt319,Itg.10.FP459.S61,LYZFP319,Vil1.02B.FP23,Itg.04.FP423.S23,LYZFP307,Itg.22.FP519.S22,Vil1.03B.DTT35,Lyz2.02B.FP223.S71,Itg.26.DTT543.S39,LYZFP355,Vil1.05B.FP59,Lyz2.02B.DTT223.S63,Itg.20.DTT507.S2,LYZFP343,Itg.22.DTT519.S14,Vil1.09B.FP104,Vil1.08B.DTT95,Itg.18.FP495.S98,SLCdtt149,Vil1.04B.FP47,Lyz2.08B.DTT295.S137,Lyz2.03B.FP235.S83,SLCdtt167,Vil1.013B.DTT155,Lyz2.06B.DTT271.S113,SLCdtt053,Itg.10.DTT459.S53,Vil1.04B.DTT47,Vil1.13B.FP152,Itg.06.FP435.S36,SLCdtt113,Lyz2.07B.FP283.S81,SLCdtt005,Lyz2.07B.DTT283.S125,Vil1.01B.FP11,Lyz2.05B.FP259.S56,Lyz2.01B.DTT211.S51,SLCFP149,Itg.12.FP471.S73,Lyz2.06B.FP271.S69,Lyz2.05B.DTT259.S100,Vil1.010B.DTT119,SLCFP023,Lyz2.04B.FP247.S44,SLCFP053,Vil1.05B.DTT59,Itg.02.FP411.S11,Vil1.06B.FP71,Vil1.03B.FP35,Itg.18.DTT495.S90,Itg.20.FP507.S10,Itg.08.DTT447.S40,Itg.24.DTT531.S26,SLCFP167,Vil1.09B.DTT107,Lyz2.03B.DTT235.S75,SLCFP113,SLCdtt077,Vil1.14B.FP164,Lyz2.08B.FP295.S93,SLCFP005,SLCFP131,Vil1.01B.DTT11,Itg.24.FP531.S34,Vil1.014B.DTT167,SLCdtt095,Vil1.10B.FP116,Itg.08.FP447.S48,Vil1.06B.DTT71,Itg.02.DTT411.S3,Itg.06.DTT435.S28,Itg.16.FP483.S86,Itg.04.DTT423.S15,SLCFP077,SLCFP071,LYZdtt355,Vil1.07B.FP83,Vil1.02B.DTT23,LYZdtt367,Lyz2.04B.DTT247.S88,Itg.26.FP543.S47,SLCFP095,LYZdtt331,Itg.12.DTT471.S65,Vil1.08B.FP92,LYZdtt343,taxonomy
MF0067,116553,130318.16,2185.5,144949.2,28736.64,109652.52,150880.4,70767.95,189162.3,96993.36,109112.19,7932.06,126409.06,39527.75,49962.76,113538.82,43773.19,27437.51,120405.16,36047.48,56323.25,5288.45,81824.12,193058.31,68602,9088.27,128702.37,154945.98,28094.25,24357.32,34017.44,48576.35,9710.18,84453.9,69956.09,25083.47,24242.25,25505.62,6982.93,62759.25,12321.33,32250.82,59152.1,68105.93,34269.95,16774.17,15961.16,13368.94,30774.06,42831.62,2848.9,156729.91,72974.27,85641.91,36276.46,104414.07,41990.11,48037.87,56676.82,10580.7,49515.88,8500.65,50206.15,68271.78,28888.12,68810.52,43418.23,28135.1,111485,21029.93,32692.09,52979.86,54597.81,3279,39702.51,67778.62,70412.74,115836.61,34173.1,46559.45,54765.1,44502.62,24906.75,54801.99,46968.23,74534.06,96650.68,36814.43,24332.71,72270.92,32202.33,
MF0024,195.25,9.5,1824.75,88,87.25,650.5,42.25,21.5,38.25,85.5,3456.28,319.75,4771.205,352,27.75,49.42,23.75,64.75,93.5,34.25,100.5,4454.685,6272.475,1.92,20.5,26,6,0.5,2892.79,2932.62,7225.52,93,1855.205,29958.565,9519.67,1824.705,5328.75,766.25,409.25,95.5,3031.665,2603.25,5.25,8736.08,4425.46,32,5852.5,3615.04,604.755,5685.28,2184,7906.77,15,6706.25,127.5,259.75,101.5,152,1,4863.25,38.75,0,117.25,12494.715,9.5,52,7522.415,121.75,7.75,1382.18,0,11.25,4679.085,3146.5,12,62.75,37.25,80.5,1239.425,0,62,12419.975,3445.14,44.75,69.25,9,0,106.5,21.25,27484.245,54.25,
MF0068,102890.44,131368.74,2524.5,144424.19,28304.57,111861.45,148175.14,61067.87,190374.8,72861.42,109368.03,7656.39,124403.36,35793.35,50072.26,110116.99,42957.89,22885.58,120148.16,35350.64,45083.34,5981.66,86738.12,169741.82,60667.18,8230.85,126593.44,147380.48,27570.68,21374.07,32566.27,48075.68,8715.18,73656.65,61908.59,23035.81,23632.5,25083.12,6014.2,61499.24,11992.33,31783.5,60409.24,72883.93,28755.09,16605.01,20946.31,16288.61,30694.41,34013.79,3341.75,152497.25,59214.27,90998.41,31810.21,84662.82,41241.95,46644.19,58826.57,13140.44,47727.14,6857.45,48405.29,54078.83,27944.95,68158.86,33847.06,26781.93,109153.25,19243.93,32477.17,43929.97,58314.39,3393.5,39702.35,64174.38,56621.24,110887.31,33613.85,42988.47,54754.1,45589.62,22093.25,43465.47,39171.42,63202.71,96303.01,34855.24,23490.87,60820.75,31335.18,
MF0101,1271.45,387,1827,1249.9,442.45,877.5,3359.85,2380.5,197.25,6605.5,2052,446.35,743,1075,358.15,1819.95,192.75,718.95,1462.6,442.45,2015.25,4431,1107,7641.65,4266.25,221,1946.75,609.85,1339.4,960.45,1813.15,238.3,640.25,26893.3,2164,228,767.25,238.25,822.45,4573.5,968.75,2912.25,8062.25,1582,2596.5,1633,6015.7,719,287.5,1234.7,2175,3044,5143.9,625.25,1481.45,5569.5,1285.5,343.4,4476.2,4987.05,222.75,330,155.4,1057.6,1360.5,439,2065.5,372.75,439,428.35,55.6,3507.65,1122,3140,450,885.75,5551.75,985.4,458,893.5,320.4,3805.5,698.7,3211.85,611.05,1096.3,44,2714.5,364.05,1209.4,496.25,
MF0021,31428.59,1374.33,1813,1072.03,6235.855,11124.99,52069.38,11395.085,6750.375,33853.88,10784.15,1776.235,3879.33,3135.32,571.455,9249.41,863.665,5546.335,2238.39,3420.675,13103.185,4486.79,6223.08,25871.11,12344.83,1273.805,8314.92,12000.78,2829.635,3914.035,3608.695,3058.29,1508.415,35772.355,17979.795,3195.165,7988.625,3806.375,2077.655,15644.705,2859.165,4789.18,25093,7850.415,7298.345,2833.68,7032.35,1429.415,4812.595,10917.24,2260.625,16101.62,26409,20578.32,7261.17,48764.08,5452.79,10342.905,8608.865,5346.785,2526.525,2953,1823.78,12951.86,6734.205,4285.79,10139.125,1849.29,18340.625,5637.64,2689.935,12143.52,5926.585,3151,3832.87,4866.925,18648.62,7826.645,858.625,5936.67,658.57,13745.955,3848.66,7437.775,7898.83,9729.35,7616.75,1898.825,2420.745,30305.3,1068.25,
MF0065,84462,122102,2898.875,72077.975,25692,96990,132093,46417.975,184593,43238.085,100233,5173.21,112330,53093.355,33471.325,93841,36547,16828.14,98868.09,31758,27417.385,7024.145,69476,128384,43546.715,6043,117067,124400,23508,16285.885,21387,44677,5354.165,46104.755,42930.75,19450,14237.875,21270,3139.635,39355.125,6033,21588,32343.31,54224.465,21497.165,7609.465,13537.335,8743.64,29199,28100.48,3571.625,101780,42839.88,68779,24212.64,51121.285,32583.605,43704,43343.1,9836.5,42996,4563.125,44141,27964.08,20315,64953,25961.625,22303,105482,15831,31782,23680.39,47621.735,4779.5,34931,53709,39959.24,100582,31035,34247,45194,23582.6,17062.64,22438.07,31353.805,52521.03,94580,17285.04,19202,39967.965,15597.295,
MF0022,10185.88,2701.58,1814.75,2183.86,1093.52,4603.57,6840.34,13211.67,1165.5,13358.84,3455.4,1537.77,4308.16,3075.2,4573.83,7725.7,5153.62,5233.25,3686.31,1757.3,10931.93,4431.54,1179.54,26158.94,7331.66,1291.68,5776.34,13181.28,1873.26,3464.95,7124.28,1594.29,1450.5,29712.73,12682.09,1498.83,7412.25,2682.75,2168.74,13995.91,1658.33,4870.43,12510.63,4496,3945.18,3293.26,6119.81,1344.08,845.76,11049.28,2210.25,8833.62,10949.66,15213.36,4522.38,33324.54,4965.37,922.9,7761.49,5241.45,4090.23,1090,3077.33,10518.16,2714.12,1048.08,11735.75,2669.21,484.75,1158.6,154.77,11623.22,1493.42,3140,1683.87,5723.67,9342.08,4549.05,1355.25,5951.09,3223.61,9047.62,4777,21023.32,5517.37,9016.34,257.25,6634.08,2629.54,30412.42,1451.62,
MF0066,54254.12,66548.955,1991.125,11087.68,14072.385,73541.445,73570.255,34905.92,122695.5,35662.715,79042.115,3860.38,63634.035,18900.52,24892.215,58139.225,21467.1,12062.955,72441.94,24148.735,10755.755,4839.29,69063.77,105667.255,32264.005,4101.34,61987.215,76012.64,21909.38,11835.1,20096.35,28939.605,4525.25,51878.49,31718.59,14003.83,12823.375,15518.5,3253.745,30228.955,5419.54,15771.59,21870.83,45805.5,15353.47,6437.465,10805.03,5578.14,15184.67,23225.83,2522.2,105636.12,20957.925,46336.055,19766.295,42020.43,23383.765,28172.79,33160.995,7792.265,23858.695,3867.2,24833.63,23963.705,13695.205,50688.08,20918.625,12987.69,72667.625,12247.265,31836.5,15237.195,43288.17,3204.5,26730.475,32948.08,18426.37,65675.645,17314.875,34468.34,26396.43,21701.475,11655.005,22604.4,19748.73,38922.75,76513.8,9769.695,13966.23,37913.16,9973.89,
MF0018,91676.19,132986.33,2178,170531.02,27099.15,114746.56,139657.05,54630.78,191613.55,52280.25,106825.2,7276.4,126999.2,33294.01,92002.51,103792.24,42342.81,17998.92,169142.75,34023.97,45170.77,5233.37,99202.37,157604.81,69041.02,7358.85,121788.85,143712.48,25551.68,18425.32,28906.43,47991.84,8705.18,72810.9,53370.5,21055.98,21600.5,24024.87,4803.53,48642.42,14345.25,28463,48059.15,79147.93,20805.34,19726.93,15006.81,19233.95,29634.33,25636.38,2801.15,145727.92,38088.45,90385.16,28277.46,44884.82,41043.05,45851.35,59167.57,10109.87,46818.98,4600.95,47252.86,48893.73,23591.29,66752.28,25100.98,25645.09,108835.75,18228.93,32517.08,44298.15,62208.3,3281.5,38417.52,61943.9,57795.16,107136.16,32511.35,39411.63,57321.77,44008.46,19576.24,35140.29,34518.17,57593.41,97180.18,38985.4,22863.45,22646.01,35500.35,
MF0019,3371.44,455,1810,4309.61,691.52,952.5,3458.17,170.5,4514,3806.5,1177.57,695.53,1077.75,16829.86,230.08,1757.45,217.62,551.84,9050.56,462.63,1956.61,4439.37,67.29,7724.42,484.5,235.79,867.75,2557.53,1786.13,514.95,248.68,303.12,512,46585.78,1114.25,90.5,334.75,253.25,1247.02,1412.25,275.75,3823.68,1222.12,606,799.04,373.79,5971.31,199,165.54,393.9,2209.5,380.29,1507.38,3086.11,548.44,583.79,653.71,891.4,374.49,4967.62,505.21,143,343.05,988.06,437.37,255.75,960.5,1060.29,2906,1040.1,38.2,3136.9,434,3151,76.54,1199.43,1520.75,8697.4,173,374.5,3210.86,1177.63,554.99,1453.83,1092.56,1304.52,40,2176.82,138.62,2991.88,432.21,
MF0030,495,57,0,101,44,64,154,50,15,188,89,63,28,186,5,294,42,236,94,53,1003.5,0,18,233,76,24,23,320,0,195,49,47,41,53,47,7,55,60,112,72,8,0,62,39,113,19,18,26,18,151,0,50,1627.5,154,336,283,292,61,38,16,30,34,133,1125.5,93,11,46,22,16,104,22,972,26,0,8,253,134,559,10,49,45,135,143.5,456,360,950,31,261,50,1646,93,
MF0074,94917.06,129705.08,7622.25,173438.32,19644.59,36294.4,70840.07,41481.75,123682.5,74407.09,32482.8,7396.79,128551.33,42530.56,88104.09,95802.12,38894.75,19198.81,174979.68,12368.4,57878.04,18578.91,38092.99,132428.74,65718.08,7923.61,97161.42,122132.79,10690.54,14327.87,13264.41,20142.03,7208.58,57807.66,66108.84,5846.41,34440.25,7045.84,7456.44,73315,12978.24,36740.53,75805.16,45120.16,20427.02,17507.94,29381.17,16134.83,12276.69,21494.61,9338.25,63249.57,86561.52,63147.3,22810.64,85342.08,25716.67,7452.82,38424.11,24150.02,38707.63,4972.75,45106.07,51204.62,32510.25,6869.08,25336.08,25387.33,16031.75,7729.93,17831.85,49685.06,31866.25,12713,16245.99,60882.52,86628.66,89389.98,28267.25,24158.42,53128.91,64059.25,15884.87,35641.44,31712.19,41853.32,27639,38938.48,8858.94,101054.45,22918.34,
MF0031,4357.38,2318.08,5434.75,1487.86,824.69,2725.41,3410.5,5732.33,967,6140.5,1350.9,1028.45,2871,35242.36,4359.66,2382.2,4950.46,1531.42,1782.64,1305.47,6450.27,13245.87,740.37,9234.77,2108.17,1107.85,3722.5,11132.78,2738.93,2023.12,5997.78,1180.29,2069.33,35668.4,3920.75,1261.83,481.25,495.92,2404.57,2738.42,1241,10580.1,2070.45,2621.83,519.84,3037.93,17779.31,908.75,208.43,2010.28,6525,6148.62,3167.84,1022.86,1994.71,2473.37,3991.71,814.9,5558.32,14809.12,3723.57,633,2186.81,5399.48,450.29,697.58,3639.08,2119.04,1910.25,907.43,50.43,8022.9,796.25,9420,1429.37,3863.35,5683.91,2042.41,956.75,2815.08,3153.28,2096.96,2621.49,16285.98,1553.37,4246.36,32.08,5974.9,2147.7,4790.76,1175.3,
MF0075,6260.04,3369.25,1865.75,6133.52,1538.18,6505.75,14236.17,13241,1648.5,25600,7789.07,1491.28,4633.5,20368.86,5940.83,15781.54,5323.79,3506.09,9023.47,2391.63,9798.61,4485.04,4391.54,31914.28,15101.5,1515.68,9366.5,12022.78,1416.76,4448.45,11149.11,1885.62,1896,27559.23,10694.75,1910.5,3028.75,2343.25,1747.9,16721.75,4212.5,6016.43,24410.29,7602,8415.18,7610.93,6432.31,3100.25,1029.43,5473.95,2175,15593.79,19215.67,16185.86,6655.88,20264.54,6898.55,891.4,22063.49,5352.62,3925.73,1596,2750.65,8937.81,4584.29,1819.75,9595.25,2749.54,2445.25,1189.1,135.1,12287.4,4096.75,3140.5,2749.54,5835.18,22113.25,4487.4,2417.25,4439.75,3819.95,13783.46,3621.49,25040.47,2549.37,7343.19,168.75,13741.07,3153.87,8398.76,2404.46,
MF0072,83970.91,119235.5,2153,11151.41,25590.83,37379.5,132146.33,16374.83,127360,42203.83,40743.25,4920.75,110935.5,22702.42,22997.08,95458.5,36496,11692,88023.91,15220.67,5870.58,5181.83,18344,88876.92,13766.17,5884.17,100890.75,112690,7612.67,8889.75,10420.42,21725.75,3036,16055.92,39041,4259.83,11830,7361.17,2529.33,36371.17,4548.75,24345.17,13914.33,14264,8451.58,4639.33,12423.67,1757,18369.75,8960.08,2775.25,42257,11855.58,70319.33,10487.5,27079.25,13778.92,22661.83,23213.83,8234.25,39282.08,568,42493.83,7379.42,19045,9001.83,9254.58,22181.67,47166,10758.5,21663.33,8266.08,18088,3266,20062.25,50810.42,7303.5,79120.17,26605.75,18319.33,44885.67,17670.92,8430.17,13688.58,24056.83,16895.25,38232.33,4926.33,8139.5,10263.08,11512.67,
MF0073,17834.78,6333.66,1839.5,133439.28,2214.49,10467.38,14888.22,22105.45,4153.55,28350.59,7042.28,1982.64,9704.86,22057.35,26811.76,10158.4,5871.64,7213.83,32043.75,3054.39,39618.09,4505.37,11681.12,32003.23,26440.93,1967.6,7656.69,20486.23,1913.68,6918.82,9985.6,2839.76,3879.93,34569.65,18964.09,3011.81,10771.25,2009.87,3219.62,21285.08,6273.08,7264.25,31891.49,17698.93,9418.59,9922.51,6850.06,7025.78,1211.41,10765.21,2199.4,49858.25,42333.19,7894.16,10601.21,38631.32,11405.37,2639.69,18722.32,6026.2,4454.23,3318.45,4003.79,33787.83,7439.12,2215.36,12164.98,3717.01,3204.5,3005.68,501.75,33778.72,9466.47,3153,4164.1,9296.14,41406.99,9324.81,1893.35,7732.47,8993.93,22504.87,7417.75,28100.64,8051.17,17672.31,1358.18,28953.41,3837.62,48945.67,19295.76,
MF0070,89513.36,124450.58,2157.75,11203.19,26415.4,100559.31,135584.47,40963.7,185598.3,49941.92,101619.7,5574.65,115636.45,31076.84,26931.18,96146.66,41432.81,17155.17,86510.17,33215.05,11390.44,5198.54,70364.12,141887.31,32328.6,7084.93,121029.6,134375.73,25072.26,15659.82,27855.01,46306.84,6389.18,65985.98,44656.25,20753.4,12720.5,22528.2,3642.53,40296,5902.5,26818.83,21184.07,48120.43,17854.51,7765.6,14133.14,5956.45,29447.33,24283.3,2781.65,108098.42,18196.2,76344.58,20688.46,42883.32,30585.3,44605.77,39072.24,8956.12,46556.73,3867.2,46469.78,23618.06,20056.29,65558.95,23757.4,25014.42,106644,16596.18,31862.5,17085.57,43767.05,3266,36377.02,57115.48,19832.16,102323.24,32100.1,36537.55,51530.27,21803.79,16254.32,30983.04,32363.59,44081.66,94694.35,11408.32,21395.45,13445.18,26296.18,
