#OTU ID,TL1a_FP_162,TL1a_FP_88,TL1a_FP_89,TL1a_FP_234,TL1a_DTT_268_Repeat,TL1a_FP_287,TL1a_FP_198,TL1a_FP_161,TL1a_FP_197,TL1a_FP_132,TL1a_FP_130,TL1a_DTT_269_Repeat,TL1a_FP_90,TL1a_DTT_130_Repeat,TL1a_FP_269,TL1a_FP_288,TL1a_DTT_196_Repeat,TL1a_DTT_90_Repeat,TL1a_FP_196,TL1a_FP_131,TL1a_DTT_198_Repeat,TL1a_DTT_88_Repeat,TL1a_FP_270,TL1a_FP_160,TL1a_FP_286,TL1a_DTT_89_Re_extracted,TL1a_DTT_197_Repeat,TL1a_FP_232,TL1a_DTT_270_Repeat,TL1a_FP_233,TL1a_FP_268,TL1a_DTT_160,TL1a_DTT_234,TL1a_DTT_287,TL1a_DTT_233,TL1a_DTT_286,TL1a_DTT_232,TL1A_DTT_629,TL1A_FP_677,TL1A_FP_678,TL1A_FP_630,TL1A_DTT_630,TL1A_DTT_628,taxonomy
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium,0,9,0,46,27,126,25,0,21,6,6,0,0,0,793,698,12,0,27,27,0,0,21,745,4746,28,0,1159,0,426,157,7,1,34,8,40,28,0,0,0,15,0,13,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Family_XIII;g__Family_XIII_UCG-001,57,0,11,0,0,0,0,22,13,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,14,0,0,2,0,3,23,0,1,52,7,5,1,4,0,2,8,2,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__,1583,1160,2077,52,196,623,1235,758,719,1224,617,472,335,215,224,460,111,470,723,179,1474,384,904,599,1078,379,248,69,2400,95,1313,1249,1098,335,601,1325,106,94,104,70,235,151,349,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Acetatifactor,4,25,0,0,34,51,75,0,352,13,0,15,0,0,20,112,7,9,24,29,298,15,0,14,250,343,66,0,374,12,84,62,42,175,107,141,13,1,1,6,59,58,63,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Anaerostipes,89,0,31,0,0,0,72,75,56,0,53,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,10,0,3,0,0,0,0,0,2,0,0,3,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia,709,2,584,9,6,0,319,395,328,0,230,0,425,0,141,0,0,0,0,0,0,0,608,12,0,214,0,4,14,38,270,23,81,0,0,0,5,56,58,53,14,86,2,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Cuneatibacter,5,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,2,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Eisenbergiella,216,0,32,0,0,0,370,52,98,0,19,0,0,0,105,0,0,0,0,0,0,0,122,0,0,105,0,0,6,15,71,0,64,0,0,0,0,0,35,60,14,9,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__GCA-900066575,49,45,106,0,12,82,81,47,78,61,38,0,24,0,36,114,0,13,18,0,170,69,156,86,180,67,3,0,84,28,101,63,102,54,76,110,0,4,3,10,18,0,5,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Hungatella,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15,0,6,4,13,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnoclostridium,2019,544,2332,33,362,373,3833,1075,2381,625,969,30,260,657,269,291,68,100,391,46,413,205,1105,327,402,583,196,43,993,187,772,501,448,221,475,156,58,179,104,78,120,185,130,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_FCS020_group,0,54,0,2,23,17,48,0,89,146,10,0,0,20,2,0,7,12,224,11,296,8,0,11,93,28,86,0,133,11,28,127,0,42,0,26,0,0,0,0,4,0,10,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_ND3007_group,26,0,29,0,0,0,31,18,31,0,14,0,16,0,0,0,0,0,0,0,0,0,1,0,0,30,0,0,0,0,0,5,0,0,0,0,0,0,0,8,6,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_NK4A136_group,246,25532,17,133,899,2116,503,229,764,1277,232,248,2314,746,451,5172,244,6718,1271,496,8755,5213,309,2520,1421,432,90,589,20345,1648,630,1459,972,2983,4309,1891,425,3494,1731,105,3872,1580,1514,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-001,0,0,0,8,326,3,0,0,0,0,0,314,0,0,561,137,0,0,0,11,0,0,39,0,181,38,0,0,3614,0,127,0,4,375,0,27,0,0,0,0,0,35,19,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-004,3,70,0,5,52,96,12,2,39,104,1,0,19,2,6,44,0,41,57,9,67,0,1,51,116,25,3,55,387,8,134,104,14,48,61,35,8,0,9,0,13,12,23,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-006,0,29,0,2,0,30,0,0,5,26,18,0,0,25,0,15,15,43,30,0,185,63,0,3,14,0,18,0,18,0,2,49,9,0,0,9,0,0,0,0,2,0,5,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-010,0,5,0,0,0,3,0,0,0,4,0,0,0,0,2,0,0,4,2,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lactonifactor,0,0,19,0,0,0,21,4,10,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,18,0,0,0,1,7,0,0,0,0,0,0,0,0,26,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Marvinbryantia,9,0,11,0,3,0,0,11,1,0,7,0,0,0,2,0,0,0,0,0,0,0,13,0,0,0,0,0,0,3,4,0,7,0,0,0,0,1,2,0,0,3,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia,1,0,0,11,55,106,219843,3,4150,4,32,1867,0,115,7,175,3,0,14,122,0,0,11,5,69,774,0,49,454,173,182,0,239,72,416,47,154,0,1467,390,0,0,29,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Sellimonas,5,0,0,0,0,0,0,3,6,0,3,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,8,0,0,0,0,0,0,17,39,0,0,11,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Shuttleworthia,0,0,0,0,0,3,0,0,2,42,20,0,0,3,0,0,0,0,1,19,39,0,0,4,18,7,12,0,84,0,7,13,0,26,0,18,0,0,0,0,2,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Tyzzerella,411,21,586,9,0,142,317,215,201,44,162,0,4,0,23,48,3,0,43,14,0,32,132,27,66,34,0,2,37,15,101,55,0,36,10,16,0,0,13,72,28,14,13,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__UC5-1-2E3,51,0,23,0,0,0,0,30,5,0,9,0,0,0,8,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1,4,0,0,0,0,0,4,0,13,0,8,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae;g__,0,36,0,0,0,29,6,0,21,86,5,0,11,0,0,0,8,0,67,4,96,0,0,9,14,0,4,0,0,0,49,32,0,0,0,23,0,0,0,0,6,6,10,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Romboutsia,1598,0,1880,0,71,0,46,94,0,0,76,0,149,9,0,0,0,14,0,0,0,0,3,38,0,0,0,0,0,6,0,82,0,0,0,0,31,0,63,31,5,6,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__,395,235,80,1,32,94,13,37,86,52,54,96,0,14,16,121,7,55,65,8,60,111,41,32,150,52,9,10,165,3,100,40,6,0,87,91,2,0,3,10,25,19,23,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Anaerotruncus,11,8,8,8,16,62,34,12,20,95,6,0,16,0,3,25,0,0,22,0,0,7,3,24,23,7,0,0,0,0,11,60,16,14,6,3,0,39,11,3,27,14,4,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Angelakisella,0,0,0,0,0,12,0,0,7,14,0,0,0,0,2,0,0,0,13,0,0,0,0,4,1,12,0,0,0,0,14,8,2,0,0,0,0,0,0,0,0,0,7,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Butyricicoccus,0,0,0,3,0,2,0,0,0,30,0,0,0,0,0,0,13,0,7,0,7,0,0,6,12,4,0,0,0,0,15,27,2,0,0,6,1,0,0,0,0,0,4,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium,1098,0,851,0,0,0,730,352,627,5,718,0,70,0,12,0,0,0,0,0,0,0,298,71,0,135,0,0,0,96,132,13,3,0,0,0,0,0,93,452,13,16,20,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Flavonifractor,326,0,59,0,0,0,93,137,26,0,18,0,12,0,16,0,0,0,0,0,0,0,155,5,0,27,0,0,0,6,31,0,8,0,0,0,0,17,0,5,0,3,2,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__GCA-900066225,0,0,5,0,0,1,0,0,0,2,0,0,0,0,4,0,0,0,3,0,0,0,6,2,21,3,0,0,0,0,5,2,0,0,0,1,0,10,272,67,4,3,7,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Harryflintia,0,0,0,0,0,25,0,0,0,5,0,0,0,0,3,32,0,0,2,0,0,0,0,5,41,0,0,0,0,0,8,3,0,0,0,4,2,0,0,0,2,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Intestinimonas,0,271,0,5,10,149,23,0,36,101,0,1,28,21,4,79,3,22,80,5,149,25,0,22,122,7,0,22,155,8,142,89,41,30,23,65,7,0,0,0,9,6,34,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Negativibacillus,0,0,0,0,0,0,137,0,29,0,0,0,0,0,114,0,0,0,0,0,0,0,33,0,0,15,0,0,0,2,40,0,0,0,0,0,0,3,36,9,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillibacter,6,668,0,5,53,165,0,3,65,151,0,0,258,14,10,138,27,120,179,30,240,287,0,56,96,58,59,18,231,19,194,65,110,36,116,117,13,0,21,0,35,22,59,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminiclostridium,11,1561,1,10,70,204,20,3,105,286,24,0,249,49,24,49,15,326,103,33,370,287,0,141,107,215,2,6,337,9,244,196,91,121,176,354,17,0,8,0,35,12,88,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminiclostridium_5,28,241,20,24,54,247,159,10,85,281,3,0,42,24,11,82,16,47,63,10,514,18,8,216,166,71,48,21,548,23,206,278,306,45,167,60,13,6,0,2,14,36,33,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminiclostridium_9,1,1370,0,28,48,1074,23,0,106,499,7,27,337,109,21,486,51,294,280,20,475,294,0,81,513,370,67,70,372,64,421,264,90,127,306,205,17,0,9,0,32,75,159,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-003,0,0,0,0,0,9,2,0,9,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,18,0,4,0,0,3,0,1,0,5,12,2,0,0,0,5,5,15,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-004,128,0,135,0,0,0,125,83,51,0,55,0,0,0,5,0,0,0,0,0,0,0,43,4,0,7,0,0,0,4,19,3,0,0,0,0,0,11,0,5,0,17,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-005,0,206,0,6,0,10,8,0,11,0,0,0,63,0,1,0,0,0,0,4,0,0,0,1,0,26,0,8,6,5,36,0,1,0,39,6,3,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-009,0,74,0,2,0,39,0,0,15,110,0,0,36,0,2,0,4,0,40,0,0,0,0,19,34,0,0,0,0,0,73,29,7,32,0,7,0,0,0,0,6,7,22,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-010,0,0,0,1,0,224,5,0,5,0,0,0,0,0,1,140,2,0,5,0,0,0,0,1,91,13,3,0,55,0,58,0,1,0,0,1,0,0,0,0,3,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__UBA1819,516,0,108,0,0,0,1710,69,101,0,87,0,17,0,31,0,0,0,0,0,0,0,70,22,0,95,0,3,5,24,38,0,2,0,0,0,0,31,8,20,3,12,0,
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__,109,0,251,0,4,0,298,80,120,0,111,0,7,0,22,0,0,0,0,0,0,0,94,3,0,36,0,0,0,11,37,0,0,0,0,0,0,21,49,28,11,20,0,
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Candidatus_Stoquefichus,31,0,211,0,12,0,21,50,67,0,154,0,54,5,10,0,0,0,0,0,0,0,144,3,0,28,0,0,44,26,34,22,22,0,0,0,0,0,4,12,0,0,0,
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Dielma,0,0,21,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,2,
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Dubosiella,1,0,0,37,52,30,5,4,11,202,4,3,0,23,359,274,0,0,6,6,0,0,13,9992,700,196,0,280,0,65,246,109,0,60,18,32,2,0,3,0,3,0,0,
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Erysipelatoclostridium,36,0,166,2,0,31,63,55,139,8,92,0,110,0,6,11,0,0,29,0,0,0,22,1,37,25,0,8,0,24,13,173,4,14,7,0,0,3,12,17,2,2,5,
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalibaculum,1,12,0,6,4,748,20,3,14,18,108,78,145,0,78,802,0,0,6,113,0,0,16,329,1765,12,0,87,47,50,62,3,0,5,0,7,2,0,221,0,57,0,20,
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemania,67,2,157,0,30,0,32,43,77,0,106,0,39,0,25,0,0,0,0,0,0,0,94,4,0,33,0,0,16,10,27,0,0,0,0,0,2,4,0,10,0,8,4,
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Turicibacter,63,0,0,12,534,0,93,50,0,0,0,200,0,8,31,0,9,0,0,0,62,0,91,2,0,37,8,8,49,58,11,113,118,5,0,0,1859,0,20,46,16,15,0,
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Acidaminococcaceae;g__Phascolarctobacterium,0,0,2489,0,0,0,0,0,0,0,570,0,80,0,0,0,0,0,0,9,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,171,2,9,7,214,32,
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila,2613,25,1340,0,0,0,0,1041,0,4,703,0,165,0,0,0,0,35,0,7,0,0,0,16,0,0,0,0,0,0,0,9,0,0,0,0,0,345,1,0,21,148,52,
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio,3,185,0,2010,1532,470,0,43,45,352,0,78,135,0,7775,103,6,14,3,8,0,0,609,14098,92,23,0,636,1362,2538,3336,543,52,0,330,0,34,1,1,42,37,6,201,
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__Parasutterella,1062,18,955,28,489,1032,1,1586,17,0,2244,18,572,0,27,308,0,50,0,9,0,19,37,20,349,34,0,9,225,7,39,50,0,0,0,0,0,202,576,467,141,608,214,
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Escherichia/Shigella,0,38,45,6,811,0,55,0,28,57,8,0,9684,330,1208,42,0,364,0,7,131,685,406,4859,10,53,4,0,505,18,343,158,22,0,0,5,17,0,2069,24,0,0,33,
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Klebsiella,0,0,7,0,97,0,150,0,0,0,16,0,0,13,0,11,0,14,0,0,54,175,0,0,0,17,24,0,45,0,0,0,0,0,0,0,0,0,0,0,0,6,0,
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter,0,0,0,0,76,0,908,0,0,0,0,0,12,0,182,42,0,28,0,0,31,0,0,0,2,335,19,0,0,0,0,0,0,0,2,0,36,0,105,0,0,2,0,
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia,27534,202,16963,66,467,1097,2158,14278,2360,8,8147,420,18901,0,544,154,0,328,11,10,0,123,1223,657,73,604,14,27,369,505,184,193,1329,18,24,2,470,2594,4635,3260,857,2135,472,
