#OTU ID,Genus,Family,Phylum
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnoclostridium,Lachnoclostridium,Lachnospiraceae,Firmicutes
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnospiraceae_FCS020_group,Lachnospiraceae_FCS020_group,Lachnospiraceae,Firmicutes
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnospiraceae_NK4A136_group,Lachnospiraceae_NK4A136_group,Lachnospiraceae,Firmicutes
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnospiraceae_UCG-001,Lachnospiraceae_UCG-001,Lachnospiraceae,Firmicutes
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnospiraceae_UCG-006,Lachnospiraceae_UCG-006,Lachnospiraceae,Firmicutes
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnospiraceae_UCG-010,Lachnospiraceae_UCG-010,Lachnospiraceae,Firmicutes
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus,Lactobacillus,Lactobacillaceae,Firmicutes
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Marvinbryantia,Marvinbryantia,Lachnospiraceae,Firmicutes
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae.g__Muribaculum,Muribaculum,Muribaculaceae,Bacteroidetes
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Marinifilaceae.g__Odoribacter,Odoribacter,Marinifilaceae,Bacteroidetes
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Oscillibacter,Oscillibacter,Ruminococcaceae,Firmicutes
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Tannerellaceae.g__Parabacteroides,Parabacteroides,Tannerellaceae,Bacteroidetes
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Betaproteobacteriales.f__Burkholderiaceae.g__Parasutterella,Parasutterella,Burkholderiaceae,Proteobacteria
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Rikenellaceae_RC9_gut_group,Rikenellaceae_RC9_gut_group,Rikenellaceae,Bacteroidetes
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Roseburia,Roseburia,Lachnospiraceae,Firmicutes
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminiclostridium,Ruminiclostridium,Ruminococcaceae,Firmicutes
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminiclostridium_5,Ruminiclostridium_5,Ruminococcaceae,Firmicutes
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminiclostridium_6,Ruminiclostridium_6,Ruminococcaceae,Firmicutes
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminiclostridium_9,Ruminiclostridium_9,Ruminococcaceae,Firmicutes
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcaceae_NK4A214_group,Ruminococcaceae_NK4A214_group,Ruminococcaceae,Firmicutes
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcaceae_UCG-009,Ruminococcaceae_UCG-009,Ruminococcaceae,Firmicutes
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcaceae_UCG-010,Ruminococcaceae_UCG-010,Ruminococcaceae,Firmicutes
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcaceae_UCG-014,Ruminococcaceae_UCG-014,Ruminococcaceae,Firmicutes
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Shuttleworthia,Shuttleworthia,Lachnospiraceae,Firmicutes
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Staphylococcaceae.g__Staphylococcus,Staphylococcus,Staphylococcaceae,Firmicutes
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus,Streptococcus,Streptococcaceae,Firmicutes
k__Bacteria.p__Firmicutes.c__Erysipelotrichia.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Turicibacter,Turicibacter,Erysipelotrichaceae,Firmicutes
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Tyzzerella,Tyzzerella,Lachnospiraceae,Firmicutes
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae.g__,Eggerthellaceae (f),Eggerthellaceae,Actinobacteria
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae.g__,Muribaculaceae (f),Muribaculaceae,Bacteroidetes
k__Bacteria.p__Cyanobacteria.c__Melainabacteria.o__Gastranaerophilales.f__.g__,Gastranaerophilales (o),,Cyanobacteria
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Christensenellaceae.g__,Christensenellaceae (f),Christensenellaceae,Firmicutes
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiales_vadinBB60_group.g__,Clostridiales_vadinBB60_group (f),Clostridiales_vadinBB60_group,Firmicutes
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Family_XIII.g__,Family_XIII (f),Family_XIII,Firmicutes
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__,Lachnospiraceae (f),Lachnospiraceae,Firmicutes
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptococcaceae.g__,Peptococcaceae (f),Peptococcaceae,Firmicutes
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__,Ruminococcaceae (f),Ruminococcaceae,Firmicutes
k__Bacteria.p__Firmicutes.c__Erysipelotrichia.o__Erysipelotrichales.f__Erysipelotrichaceae.g__,Erysipelotrichaceae (f),Erysipelotrichaceae,Firmicutes
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales.f__Mitochondria.g__,Mitochondria (f),Mitochondria,Proteobacteria
