#OTU ID,Lyz2.02B.FP222.S70,Itg.22.FP518.S21,Vil1.06B.DTT70,Vil1.07B.FP82,Vil1.10B.FP115,Itg.24.DTT530.S25,Vil1.04B.FP46,Vil1.14B.FP163,Lyz2.04B.DTT246.S87,Vil1.02B.FP22,Lyz2.01B.FP210.S58,Lyz2.06B.DTT270.S112,Itg.16.DTT482.S77,Vil1.05B.FP58,Vil1.04B.DTT46,Lyz2.07B.FP282.S80,Lyz2.03B.FP234.S82,Vil1.09B.DTT106,Itg.24.FP530.S33,Itg.06.DTT434.S27,Itg.04.FP422.S22,Itg.22.DTT518.S13,Itg.20.FP506.S9,Vil1.03B.DTT34,Itg.06.FP434.S35,Lyz2.01B.DTT210.S50,Vil1.05B.DTT58,Itg.02.FP410.S10,Itg.12.DTT470.S64,Itg.02.DTT410.S2,Vil1.03B.FP34,Itg.08.DTT446.S39,Itg.26.FP542.S46,Vil1.01B.DTT10,Itg.26.DTT542.S38,Itg.16.FP482.S85,Vil1.010B.DTT118,Lyz2.05B.DTT258.S99,Lyz2.08B.FP294.S92,Itg.04.DTT422.S14,Lyz2.04B.FP246.S43,Lyz2.06B.FP270.S68,Lyz2.07B.DTT282.S124,Vil1.13B.FP151,Vil1.01B.FP10,Itg.08.FP446.S47,Lyz2.02B.DTT222.S62,Vil1.02B.DTT22,Itg.10.DTT458.S52,Itg.12.FP470.S72,Itg.10.FP458.S60,Vil1.08B.DTT94,Lyz2.05B.FP258.S55,Itg.20.DTT506.S1,Lyz2.03B.DTT234.S74,Vil1.07B.DTT82,Vil1.08B.FP91,Vil1.013B.DTT154,Vil1.06B.FP70,Itg.18.DTT494.S89,Itg.18.FP494.S97,Lyz2.08B.DTT294.S136,Vil1.09B.FP103,LYZdtt342,SLCFP070,SLCdtt022,LYZdtt366,SLCdtt070,LYZdtt354,SLCFP022,LYZdtt330,LYZFP354,SLCFP112,LYZFP306,LYZdtt306,SLCFP004,SLCdtt004,SLCdtt112,SLCFP094,SLCdtt076,SLCFP052,SLCFP076,LYZFP330,LYZdtt318,SLCdtt052,LYZFP342,SLCdtt130,LYZFP318,SLCFP148,SLCFP166,SLCdtt148,SLCdtt166,taxonomy
a87086e2ee322da102d8a52c4de21683,0,0,0,105,0,0,0,0,46,0,25,0,22,14,0,0,183,0,19,0,0,0,0,0,0,84,0,0,0,0,0,0,0,26,0,231,1,86,60,0,55,0,0,0,175,0,0,0,0,0,0,0,52,0,65,0,272,0,74,0,0,1,1,3,16,0,1,4,0,0,0,0,0,465,3,3,0,0,13,27,0,12,0,15,0,2,40,44,165,23,42,0,
f80a7e9c950f857ec31ac4d0cc9c6a03,80,83,0,72,178,17,253,182,5,197,43,27,30,19,64,24,42,13,0,59,15,30,77,27,75,25,0,49,85,91,54,21,96,20,51,142,8,76,29,26,7,17,83,7,105,65,78,38,32,132,67,0,42,16,18,0,97,0,33,29,25,12,139,15,29,58,113,7,0,11,26,151,35,160,9,0,5,0,9,44,53,14,285,45,73,12,5,87,154,32,94,80,
73e42306e185be6f0c6060d4ed924469,74,237,0,38,328,60,343,824,66,520,38,167,68,18,232,2,72,12,10,528,10,172,165,30,123,30,0,154,467,749,68,154,548,85,304,130,8,729,49,126,2,29,72,0,342,276,251,136,137,499,122,0,238,24,91,2,64,0,66,109,39,78,528,115,51,20,3224,0,22,0,643,327,11,783,169,0,0,0,10,132,45,30,2419,180,79,94,11,669,230,30,234,366,
3bffd5a2b1cf48b46d1e51628c3551fc,36,62,0,221,32,10,148,39,9,218,14,9,0,15,29,24,35,6,3,47,3,11,56,16,292,8,0,128,22,34,31,5,60,14,11,32,12,73,57,15,9,40,15,0,163,41,10,35,9,73,48,0,64,12,14,0,46,0,26,28,16,10,12,35,8,31,152,0,0,22,15,90,51,338,13,0,0,0,0,23,79,49,0,14,19,169,15,85,20,146,8,40,
9b5ce504ace88223f14f8b0848d1b054,354,24431,0,0,1589,2032,7005,6479,54,5873,422,2039,531,330,2300,56,304,270,23077,408,14484,3099,2953,0,1375,104,0,31193,8089,30687,1052,2001,19791,105,5782,1865,214,50,178,7411,0,3069,147,19122,680,6177,168,1124,10915,16748,25810,0,26,1006,54,0,59,9325,122,6300,30197,30,394,101,8270,1083,217,1321,144,1249,43,127,2805,232,530,16428,4381,493,19997,1045,16888,1775,119,58,7836,33,684,204,469,7193,32,18578,
6d5171bbc6ef97262119e6d152d82164,98,1304,91,0,0,8667,917,0,14319,899,2677,1152,14332,2237,6241,0,135,0,721,379,104,20820,12083,384,131,18250,313,44,908,264,185,11887,1458,6224,10479,661,0,474,0,178,1929,64,518,0,2416,1329,528,6150,19960,154,804,0,0,55121,322,0,0,0,907,2660,492,48,0,16978,23,46,28262,2628,108791,2,64581,15120,6,57,90849,7,948,3978,1,1,19,4,493,32,853,97,2296,28,1,1,1,39,
235c319ab46f87d377a28a34ba10bfa1,61,198,0,17,500,41,791,615,64,545,11,93,173,32,462,30,148,97,12,313,41,70,80,230,10,56,0,6,258,440,247,114,56,147,135,101,71,548,75,119,12,20,398,626,33,118,203,330,130,63,12,0,173,33,132,0,168,522,159,129,81,30,316,79,34,190,234,30,26,17,221,40,128,386,94,6,99,15,31,8,104,12,411,191,140,20,77,86,236,36,190,1323,
89c209abd89a5232343a4c87c93cb4ea,32,49,0,31,53,73,9,12,12,5,11,71,9,845,0,11,40,29,235,160,142,6,41,0,606,0,7,50,63,30,251,25,397,9,176,41,35,16,35,70,19,62,22,8,31,94,16,0,48,108,116,0,14,9,18,0,12,6,228,0,5,3,20,1159,7,255,71,0,1774,115,55,973,15,504,33,26,7,6,0,12,16,36,243,622,11,119,6,44,7,434,3,1141,
f745d265f36ea7eac26d97280e690796,28,11,0,24,35,22,37,0,43,32,17,0,7,284,7,0,9,84,22,35,8,0,0,27,12,16,0,0,401,0,2735,14,106,30,58,20,48,0,11,12,0,0,0,0,167,15,0,0,115,1165,292,0,0,17,38,0,48,0,41,24,30,0,250,9,0,51,5,2,11,33,11,15,0,10,6,31,52,0,0,1185,3,421,11,5,5,5,0,9,0,39,26,71,
20fe5c9f456999fe121cb1c16bf41e77,0,4,0,22,71,31,42,149,18,21,0,3,3,1,28,1,5,6,0,1,0,3,22,15,1,1,0,3,1,2,3,1,3,1,2,1,13,3,1,45,6,1,15,1,53,1,2,0,1,1,1,0,10,4,35,0,150,0,14,21,1,3,246,0,9,18,7,0,0,6,0,1,28,166,0,0,0,0,24,2,5,0,0,164,3,7,0,175,0,57,0,37,
48082d1ff66a9207ede6bf05e9846d6e,248,419,0,61,503,134,414,1373,149,1376,186,363,375,110,198,134,268,145,64,750,98,220,664,240,203,463,0,222,806,1567,304,363,1090,138,328,558,32,1015,114,352,23,84,1146,17,309,350,1703,723,229,399,150,0,326,213,298,0,593,14,314,270,174,98,1278,282,152,598,1838,26,21,21,593,404,134,1145,96,8,15,32,26,405,225,16,1606,399,766,82,74,1138,1339,12,1872,1113,
695a1bb7c03f0f0b00d69b55fe30c4c3,110,24,0,157,4,43,133,310,57,136,22,72,7,25,21,109,363,8,31,33,6,66,135,9,79,135,0,102,48,52,17,16,104,22,71,19,0,55,319,77,31,62,174,4,100,34,29,14,28,48,12,0,58,18,110,0,178,0,66,50,12,43,35,44,49,29,97,9,9,0,48,32,78,1234,32,0,0,0,27,83,37,13,134,104,11,6,6,250,199,93,337,10,
44166d043ae4422d941e1e4c779151f8,322,258,0,287,792,16,1164,847,54,954,151,102,179,136,59,134,603,12,31,167,57,40,132,35,188,55,0,208,765,265,145,56,720,40,133,847,27,208,202,37,31,40,325,0,500,304,397,46,168,381,268,0,170,41,332,0,974,0,227,52,33,55,563,39,343,284,628,22,34,33,33,302,137,511,58,66,49,18,8,142,296,84,211,63,265,23,62,521,177,17,1379,509,
2a9df0f05ef552235191fe0edbbc742e,1,4,0,76,2,7,34,199,24,97,1,13,9,10,2,8,20,2,0,4,1,28,25,35,23,6,0,2,0,0,14,2,13,1,17,111,4,1,45,18,1,22,17,0,97,1,1,1,1,2,1,0,0,6,13,0,72,0,2,8,3,6,5,0,0,68,0,1,0,7,0,0,18,206,20,0,0,0,22,0,1,0,0,88,0,0,0,0,45,4,106,5,
b3111baca54677926264de26b4a9bf7a,8,3,0,2,0,0,0,3701,4,239,3,0,0,9,0,0,14,0,60,3,0,0,5,0,0,9,0,3,0,0,5,0,8,3,0,0,0,5,22,2,8,17,6,3,204,0,10,3,0,0,0,0,154,0,8,0,124,0,125,0,0,0,6,2,106,7,2,6,0,1,2,1,66,130,0,5,5,0,0,0,0,0,9,16,0,5,0,623,266,5,420,7,
21f3474eb0a2647e96181ab06ed9b764,17,27,0,9,112,15,97,206,11,71,13,13,41,14,13,4,13,4,0,42,0,10,26,0,15,14,0,17,66,55,16,14,75,11,21,108,0,40,7,7,0,4,40,0,39,25,76,4,16,65,27,0,26,4,33,0,102,0,35,4,19,8,80,20,13,34,221,0,5,5,30,38,20,162,6,0,0,0,0,8,6,0,82,0,11,10,6,124,19,13,73,28,
9bc2935704d00be01387e4b91d0ec358,2,4,0,88,3,0,17,16,0,24,3,0,0,5,3,23,8,0,0,2,0,0,15,0,33,0,0,9,0,0,8,0,6,2,0,26,0,0,24,3,0,3,13,0,40,0,2,2,0,3,0,0,3,2,0,0,0,0,6,0,0,5,3,8,0,9,6,0,0,0,0,9,14,67,0,0,0,0,0,7,12,0,42,6,0,0,0,0,49,7,17,6,
87c1f25ee57f851893eda4c10a460604,8,25,0,6,0,51,14,501,290,261,15,42,46,39,0,0,162,0,7,62,13,88,37,359,48,0,0,37,16,74,175,7,13,15,9,143,7,65,24,229,262,11,67,0,72,0,0,12,10,7,0,0,9,30,257,0,0,0,57,48,20,25,0,0,9,714,14,37,0,16,0,14,23,235,13,7,18,4,342,133,4,27,7,112,0,0,4,7,355,41,127,15,
c003202be6a53b07fbb26ecd2161fe2c,879,4029,0,0,1518,2650,85,307,1978,6533,388,3296,124,365,0,51,27644,96,23934,396,838,934,1592,183,597,148,0,155,13158,353,4959,1982,20930,82,9050,172,327,181,284,615,16090,2472,808,96,245,4841,176,2119,16716,11313,18450,0,27,717,5705,0,89,50,81,740,1649,477,99,241,3040,4803,297,534,199,3593,118,275,3277,266,353,8817,4427,858,55,3880,82,10002,214,331,74,73,23,112,338,2670,17,7257,
ae7aa9c977dea18de5954b3f29c80278,1,2,0,21,17,16,167,539,1,122,1,1,0,71,25,0,1,0,4,0,0,22,660,138,5,43,0,1,5,2,106,3,12,3,9,0,2,0,0,1,2,0,3,1,8,4,0,0,0,1,0,0,0,29,0,0,2,0,117,35,7,9,6,0,0,0,0,15,0,0,0,31,73,86,14,0,0,0,0,29,0,0,0,85,0,0,0,0,562,0,273,6,
b89a1572461237b1a6ff63b2aeb24e60,0,1,0,0,0,37,165,0,0,297,0,0,15,10,36,22,0,0,0,21,5,3,57,24,163,0,0,122,15,53,29,16,65,0,29,76,0,0,21,59,0,0,43,0,28,28,0,48,0,14,0,0,0,8,0,0,0,0,0,10,3,27,0,1,34,136,0,13,0,18,0,34,32,0,0,8,0,0,14,8,82,9,0,0,41,0,0,0,126,4,72,1,
397aa1ad0378774f826b9825c958427e,284,11187,0,0,2813,1700,1357,1885,1348,4237,237,2458,163,1919,596,15,10886,273,15035,652,3202,1579,2308,382,2611,75,21,12658,3248,10338,18509,1494,11556,49,6963,288,468,3751,90,1634,7076,2279,275,44,158,3905,79,885,4874,5318,11048,0,2179,900,2765,0,33,34,25,2361,5302,168,124,174,3043,3339,29,458,37,1428,46,642,820,23983,2786,1754,1076,95,2462,334,5143,592,190,11196,3944,31,250,30,112,9672,81,20520,
