metadata,feature,value,coef,stderr,N,N.not.0,pval,qval
Site,ad23727bc3e6dc84a4c52399fe4f0d39,Duodenum,0.6022516201,0.184337146,137,137,0.001548277653,0.03904011499
Line,236833fbc5a378aae084b64206c25372,Vil1Cre,-1.399039072,0.413937834,137,103,0.001658632062,0.04129993835
Line,0daddf1b0a2e7ae6c3add7261ca7b510,JJWT,1.813978148,0.5404381391,137,128,0.001738134367,0.04274523037
Line,978c4b2965a576a78cac987d12c9e0a0,Vil1Cre,1.540063475,0.4644625945,137,40,0.001952500824,0.04743148343
Site,298c6e520261d927af2fb9e7c1e4cebc,Duodenum,0.5027030033,0.1583384967,137,134,0.002065751703,0.04957804088
Site,d013db1a71d477496cb864ee431c3420,Duodenum,0.6136124061,0.194516371,137,136,0.00219870882,0.05214080915
Sequencing_Run,598a513a3552c092cd8b71a429c45ab1,NovaSeq_Jan_Twenty,1.016625514,0.3109554775,137,23,0.002230683859,0.05227673233
Line,234b63e9a181c1a4a2abf89444577cef,LyzCre,-1.826964768,0.5621711628,137,53,0.002341089093,0.05360286752
Line,3a81cd34e3edb8ef3e0c1fb4bc81e7b7,Vil1Cre,-1.383137312,0.4252263152,137,31,0.002328127803,0.05360286752
Line,772ad2feb9f19ddeace71e8e2e707858,JJWT,-3.478176843,1.072047984,137,51,0.002382151035,0.05392323706
Sequencing_Run,c50f108c7f26f34cb8226f54985908be,NovaSeq_Jan_Twenty,-3.424285096,1.058137822,137,58,0.002435717772,0.05451628992
Site,7cd17d18c05e35c6001cc253ac15c517,Jejunum,0.4639654477,0.1497228119,137,137,0.002609241649,0.05727243605
Line,4c8288bfbd76958c0c094d87b97650f8,JJWT,-3.407475233,1.061780857,137,90,0.002616361285,0.05727243605
Site,65553cd263bb61cf36d1a75d750952f3,Duodenum,0.6185662779,0.2001447348,137,131,0.002669186796,0.05763540844
Line,5fc2d4103e27f399113f1fc7c954ef66,Vil1Cre,1.742903857,0.5452624304,137,47,0.002719743169,0.05763540844
Site,db1ea7350f45b6b1c577ee65fae969c4,Jejunum,-0.6016730698,0.1949165732,137,80,0.002719368549,0.05763540844
Site,73e42306e185be6f0c6060d4ed924469,Duodenum,0.5174068335,0.169190506,137,131,0.002947070892,0.06179542333
Line,b3111baca54677926264de26b4a9bf7a,Vil1Cre,1.961381728,0.6223112803,137,75,0.003077182021,0.06385152694
Line,c8433912bf1d2d7d9dd177739211ae41,Vil1Cre,1.446120874,0.4620119393,137,37,0.003251072152,0.06676428584
Line,ad4e760fa406db6470c29766422a47d2,Vil1Cre,1.333519741,0.4266098905,137,34,0.003293879341,0.06695313926
Sequencing_Run,94adac1e5690b5aef26d6014e471f458,NovaSeq_Mar_Twenty,3.24364777,1.045678695,137,48,0.003400187615,0.06776473807
Line,c4bb856f00469484de24c5d7e0a221b6,Vil1Cre,-0.9091287091,0.2919347117,137,19,0.00340184428,0.06776473807
Line,204736c3bd4a4c1f840e9fc99a5155d2,Vil1Cre,0.9544366538,0.306661187,137,98,0.003461781399,0.0682759262
Site,48082d1ff66a9207ede6bf05e9846d6e,Jejunum,0.4567693163,0.1529379165,137,136,0.003660923387,0.06945294654
Line,564a2d40353ba6af46b47a2d367a3d56,JJWT,-2.432052733,0.7874241065,137,119,0.003659275318,0.06945294654
Line,84a1034f71767fa92491aebf1bdf7fdc,Vil1Cre,0.9963684357,0.320926296,137,84,0.003623522403,0.06945294654
Line,49ca472812887fdafb9786d9995aa406,Vil1Cre,0.9056863825,0.2928795437,137,53,0.003633112001,0.06945294654
Line,5880c5d1b7cc98fab46a044a247525a2,Vil1Cre,0.9750476894,0.3167183926,137,75,0.003810448184,0.07160766776
Site,9ff8565480eb4d1ae1feec02a0dfce35,Duodenum,-0.7676658012,0.2591508048,137,131,0.003920991181,0.07299639656
