OTU.ID	Mouse5A.DTT29	Mouse6A.DTT35	Mouse1B.DTT15	Mouse1B.DTT18	Mouse5A.DTT27	Mouse4A.DTT19	Mouse5A.DTT30	Mouse5A.DTT28	Mouse7A.DTT38	Mouse7A.DTT41	Mouse4A.DTT22	Mouse6A.DTT31	Mouse7A.DTT42	Mouse1B.DTT16	Mouse1B.DTT14	Mouse1B.DTT13	Mouse6A.DTT34	Mouse5A.DTT26	Mouse4A.DTT21	Mouse4A.DTT24	Mouse1B.DTT17	Mouse5A.DTT25	Mouse7A.DTT39	Mouse4A.DTT20	Mouse6A.DTT32	Mouse6A.DTT33	Mouse6A.DTT36	Mouse4A.DTT23	Mouse7A.DTT37	Mouse7A.DTT40	Mouse9A.DTT98	Mouse10A.DTT109	Mouse9A.DTT100	Mouse9A.DTT101	Mouse10A.DTT110	Mouse9A.DTT99	Mouse9A.DTT97	Mouse8A.DTT90	Mouse10A.DTT111	Mouse10A.DTT113	Mouse9A.DTT102	Mouse10A.DTT112	Mouse10A.DTT114	Mouse8A.DTT85	Mouse8A.DTT86	Mouse8A.DTT88	Mouse8A.DTT89	Mouse8A.DTT87	taxonomy
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor	4	0	52	0	117	18	4	7	67	0	0	44	0	0	52	35	0	65	13	4	0	80	62	12	28	27	0	0	30	8	130	13	7	6	16	68	65	4	65	1	7	12	11	26	26	0	0	15	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__A2	7	14	31	8	32	15	16	22	19	15	0	35	1	10	77	18	0	24	38	33	14	27	17	44	29	11	5	12	6	8	821	123	499	174	3	32	148	827	2	3	164	6	38	13	53	42	91	13	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Incertae Sedis	12	16	169	102	348	191	17	64	341	18	0	181	29	19	209	171	7	263	283	43	60	250	417	219	184	202	11	0	94	41	802	130	10	26	241	312	595	43	447	12	54	158	195	514	239	11	11	238	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Intestinimonas	9	27	406	41	1181	634	9	78	440	3	0	464	33	18	743	402	0	512	695	21	57	702	619	834	371	547	3	11	184	48	1615	178	8	2	424	536	434	23	732	9	0	58	375	833	786	5	8	985	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia vadinBB60 group;f__;g__	0	0	5	5	13	50	0	2	19	0	0	2	0	2	10	12	0	3	20	0	7	1	1	11	9	6	0	0	1	0	0	96	0	0	117	0	22	0	88	0	0	7	7	13	0	0	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Butyricicoccus	0	5	147	15	108	94	13	29	74	4	0	123	24	0	246	163	0	40	45	36	17	94	80	108	63	105	4	12	15	13	240	42	11	4	24	98	144	17	38	3	1	6	12	200	186	2	8	163	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__	3	0	216	50	236	372	7	29	340	0	0	200	6	6	492	108	0	97	339	4	34	177	307	340	196	132	0	0	76	16	1474	326	3	2	381	388	243	20	430	2	2	28	72	309	199	0	0	212	
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides	7	21	164	7	107	113	0	8	60	0	0	593	15	14	104	169	3	176	55	9	26	71	224	44	152	266	0	0	133	11	171	208	11	11	98	65	108	37	107	3	18	18	32	174	185	0	23	54	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnoclostridium	28	48	245	79	263	158	70	119	278	57	0	287	89	33	367	204	23	224	114	68	87	254	260	194	252	193	53	12	61	29	1075	157	98	266	132	354	274	529	154	181	209	89	155	136	50	59	105	62	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae UCG-004	0	0	19	6	0	9	0	6	5	0	0	40	0	3	36	14	0	7	5	6	6	7	12	12	12	10	0	0	6	0	61	6	0	0	5	31	11	6	6	0	0	3	15	30	28	0	4	12	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__Family XIII AD3011 group	0	0	6	0	11	5	0	6	0	0	0	3	0	0	4	3	0	5	6	0	0	3	4	0	0	0	0	0	0	0	5	0	0	0	2	11	2	0	4	0	0	0	0	2	0	0	0	5	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus	20	0	0	92	5	0	12	8	0	27	25	7	23	16	0	4	6	8	4	16	141	2	11	2	0	5	19	46	8	68	2	21	45	30	6	0	18	16	15	64	59	84	13	21	4	71	2	4	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus	0	0	38	0	15	10	0	3	11	0	0	58	0	3	51	18	0	14	6	0	0	10	15	16	30	41	0	0	0	0	55	1	0	0	12	17	28	0	9	3	0	0	5	27	7	0	0	11	
k__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio	20	51	91	113	38	41	21	57	94	205	28	113	224	47	170	58	9	37	26	138	47	18	155	48	49	69	52	67	23	107	311	46	582	136	15	194	101	10	38	51	77	81	75	182	45	19	61	73	
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes	3	38	646	39	599	951	3	50	148	5	0	430	21	45	640	713	3	466	474	48	148	324	307	556	262	223	16	5	224	28	2145	402	18	43	681	666	577	9	478	9	100	88	158	390	337	15	6	190	
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum	1900	928	958	208	1798	1381	2173	1811	1270	1557	1132	826	1661	1925	732	942	202	1630	1202	2890	448	1297	1992	1119	653	892	941	1537	1362	1894	3764	940	4187	2474	1998	1746	869	1337	1250	3118	2283	3906	1038	1468	883	645	1650	189	
k__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Puniceicoccaceae;g__	0	12	0	0	0	0	0	0	8	14	0	42	33	41	21	21	8	0	0	0	0	0	16	0	15	7	12	0	0	6	90	9	4566	3767	0	60	203	26	0	0	2280	0	0	59	89	1	4	90	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia UCG-014;f__;g__	2	0	8	0	23	20	0	3	13	0	3	35	0	0	12	10	0	37	6	0	4	25	12	9	17	24	0	0	18	0	36	20	1	1	15	22	22	37	25	0	3	6	9	86	86	4	11	47	
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Rikenella	0	0	69	0	87	166	0	15	43	5	0	49	0	8	159	117	0	82	51	12	25	43	62	81	84	111	0	0	16	5	185	67	5	19	102	64	50	2	98	3	24	28	32	50	51	0	2	31	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__Family XIII UCG-001	0	0	26	13	44	32	0	13	43	0	0	34	0	0	40	31	0	30	61	0	12	45	59	70	11	26	0	0	9	4	246	19	0	0	4	49	6	8	12	0	0	3	18	27	9	0	0	17	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Peptococcales;f__Peptococcaceae;g__	8	0	214	11	232	306	11	39	58	0	0	5	0	7	360	111	0	189	442	44	18	231	17	499	10	0	0	16	4	0	2266	53	1	0	82	278	787	6	101	0	0	17	50	40	15	4	1	15	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillospira	0	0	26	0	26	11	0	3	0	0	0	1	0	0	24	0	0	8	0	4	5	9	0	21	0	0	0	0	5	0	103	1	0	1	11	7	20	0	36	0	0	2	0	8	1	0	1	4	
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Parasutterella	2732	1629	500	249	525	430	1567	2469	426	2235	737	614	1642	2844	295	562	984	891	140	2000	367	212	748	135	212	200	3611	921	1214	2065	387	454	4690	1065	588	309	308	14384	443	2540	403	4249	878	759	775	5511	13643	352	
k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Coriobacteriaceae UCG-002	3	0	0	0	0	0	9	0	3	0	0	8	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	32	1	0	0	7	3	4	0	0	0	6	19	2	0	2	4	0	
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__	0	15	0	0	2	0	0	2	0	0	11	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	31	0	0	0	11	0	0	0	0	0	
k__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Chloroplast;f__;g__	0	14	0	0	0	2	0	0	0	3	11	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	7	0	0	0	23	0	0	0	14	0	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus	1591	638	418	2854	130	5	634	712	90	1853	129	602	852	3130	593	1284	331	166	5	190	3886	32	211	5	367	233	2355	644	424	2100	87	2922	444	39	823	28	647	988	872	6442	0	4722	6437	943	38	99	86	27	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalibaculum	444	362	49	46	56	11	718	157	438	846	18	1091	2007	287	178	32	27	192	10	51	46	23	966	22	399	649	733	14	1399	175	92	649	124	45	24	31	80	1085	20	35	139	56	225	155	174	396	710	62	
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotellaceae UCG-001	35	174	14757	1004	2981	3290	34	246	4200	23	8	4806	162	1470	14127	15067	16	7843	376	39	2855	3775	1868	2268	6690	5076	19	25	5899	237	6560	6114	24	15	8099	4350	6165	63	8949	64	75	1326	1172	8109	9595	202	19	4452	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae FCS020 group	0	0	65	7	112	57	0	14	38	0	0	4	0	0	82	35	0	67	26	8	5	94	80	17	17	38	0	7	6	7	115	16	1	3	23	14	27	15	20	3	0	13	16	51	31	0	4	5	
k__Bacteria;p__Cyanobacteria;c__Vampirivibrionia;o__Gastranaerophilales;f__;g__	0	0	42	6	31	41	0	7	79	0	0	84	0	6	100	39	0	25	59	0	11	15	52	68	118	88	0	0	43	3	96	43	0	2	98	53	51	2	86	0	0	10	17	23	1	0	0	5	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__ASF356	0	7	15	4	11	12	0	14	59	0	0	31	0	2	11	15	0	7	17	5	2	19	48	33	33	14	2	0	22	15	36	45	1	0	2	8	28	3	2	1	0	0	5	3	0	1	1	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__NK4A214 group	0	0	0	0	5	4	0	0	0	0	0	3	0	0	4	0	0	3	0	0	0	0	11	10	0	0	0	0	0	0	24	8	0	0	4	3	15	2	7	0	0	0	0	0	7	0	0	11	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UCG-003	0	0	0	0	18	0	0	1	34	0	0	22	0	0	0	2	0	13	0	0	0	11	21	0	17	12	0	0	9	9	0	22	0	0	0	0	0	0	5	4	0	0	9	0	0	0	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__[Eubacterium] nodatum group	0	0	35	0	38	19	0	4	9	0	0	27	2	0	18	24	0	49	20	0	0	13	20	11	34	30	0	0	19	0	43	5	0	0	10	34	28	0	18	0	0	3	5	17	17	0	0	6	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__[Eubacterium] siraeum group	0	0	13	5	9	32	0	0	23	0	0	39	5	0	9	9	0	0	19	0	0	8	35	36	47	25	0	0	13	9	24	16	0	0	51	10	15	0	64	0	0	10	13	20	15	0	0	11	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__[Eubacterium] coprostanoligenes group;g__	4	0	135	18	118	39	2	2	25	0	0	141	10	4	109	27	0	90	34	2	21	37	82	30	222	606	2	2	17	9	0	119	0	0	191	0	91	0	239	20	0	12	46	108	0	0	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Harryflintia	0	0	10	0	32	62	0	9	15	0	0	33	0	0	26	26	0	23	43	0	0	28	32	70	12	0	0	0	5	0	95	2	0	0	3	51	39	2	8	0	0	2	0	49	18	0	0	14	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__[Eubacterium] brachy group	0	0	12	0	6	4	0	4	4	0	0	17	3	0	26	14	0	13	0	0	12	9	12	3	8	0	0	0	5	0	16	0	0	5	2	0	10	6	0	2	15	3	5	6	5	3	0	4	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__HT002	269	205	10	1714	29	3	96	212	28	148	147	319	151	694	17	46	142	43	5	157	2299	17	76	3	107	168	156	124	133	162	30	672	27	0	227	19	206	237	275	1769	0	1132	1198	270	18	28	31	14	
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Alloprevotella	73	61	3880	258	5175	11899	60	759	2142	33	21	5602	114	170	2599	2884	15	9215	5710	178	490	3840	4354	6558	3495	3548	19	65	4269	212	789	5300	1	5	10232	810	5723	37	10665	45	52	1480	1479	8458	3428	20	10	1501	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus	5	2	0	0	0	0	3	5	0	0	3	0	0	0	0	4	3	0	0	11	0	0	4	0	0	0	0	0	3	0	3	5	9	0	5	0	10	18	0	0	0	0	4	24	10	0	16	0	
k__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium	225	63	45	113	25	3	113	24	33	294	8	50	192	181	136	75	3	40	13	61	19	2	210	10	23	31	113	36	121	64	90	148	274	336	0	179	91	345	10	0	178	0	168	102	45	250	315	40	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Peptococcales;f__Peptococcaceae;g__Peptococcus	0	0	48	6	16	8	0	4	9	0	0	4	0	0	69	14	0	11	9	0	0	8	18	7	3	25	0	0	0	0	241	3	0	0	13	119	24	0	23	0	0	0	0	4	93	0	0	214	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus	1274	407	29	1295	256	467	854	1483	89	1084	6648	183	696	125	40	203	118	168	1054	8957	1404	129	152	694	169	329	689	21334	133	623	1368	567	797	1608	182	876	346	369	659	1617	399	2448	1193	809	186	1531	101	87	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus	0	0	0	9	0	0	2	2	2	0	0	28	0	0	8	12	0	0	0	2	7	4	0	5	0	0	0	3	11	0	9	50	0	6	6	0	21	21	0	0	0	0	0	18	0	15	12	0	
k__Bacteria;p__Deferribacterota;c__Deferribacteres;o__Deferribacterales;f__Deferribacteraceae;g__Mucispirillum	10	48	14170	325	23539	3945	17	1072	767	9	10	3569	110	191	6331	4043	40	922	15612	68	564	6429	12330	9480	1753	15288	39	37	357	195	880	17231	51	29	3058	23262	36933	66	2048	20	16	162	934	490	520	113	10	42097	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor	0	0	0	0	5	3	0	0	4	0	0	0	0	0	4	0	0	7	3	0	0	0	10	0	0	0	0	0	0	0	4	0	0	0	0	2	0	0	3	0	0	0	0	15	6	0	0	1	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia	30	30	881	256	263	732	18	280	536	9	5	1015	47	50	1089	437	0	454	693	85	358	490	951	1420	633	423	0	16	134	120	1514	205	14	28	134	503	823	124	168	52	29	188	527	846	680	21	7	302	
k__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__	0	11	98	33	18	42	6	9	7	10	0	62	0	6	77	31	8	20	49	21	7	14	69	32	44	88	12	9	0	4	206	25	31	229	14	94	113	5	22	3	278	5	4	142	113	30	9	95	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium] xylanophilum group	0	0	40	8	0	17	0	14	14	0	0	17	0	0	112	38	0	11	28	19	14	17	21	42	10	8	0	0	6	0	129	10	1	2	15	8	8	20	17	0	3	2	9	76	29	2	0	11	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Paludicola	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	2	4	4	4	0	3	0	0	2	0	4	3	0	0	4	
k__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila	28	84	386	101	254	29	68	50	69	31	4	611	44	26	300	182	47	99	50	31	34	92	276	35	375	668	88	6	16	24	370	63	104	431	43	150	139	21	91	16	331	136	41	341	120	45	32	247	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Marvinbryantia	0	0	5	0	0	3	0	0	0	0	0	11	0	0	0	4	0	0	0	0	7	0	7	0	0	8	0	0	0	4	0	9	4	3	2	3	7	25	6	0	16	3	7	6	2	2	5	2	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae UCG-010	0	0	7	0	7	5	0	3	0	0	0	6	0	4	0	0	0	6	15	0	0	6	7	15	0	0	0	0	0	0	51	0	0	0	12	6	26	6	10	4	0	0	0	6	11	0	0	14	
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter	0	7	0	0	89	104	0	15	37	0	0	95	6	0	0	19	0	117	42	27	0	46	77	43	66	44	6	5	44	0	71	13	2	2	27	33	25	1	18	1	3	7	11	15	15	0	2	9	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__UCG-009	3	0	20	0	63	19	0	10	32	0	0	16	0	0	31	4	0	35	23	0	6	22	68	28	15	11	0	0	4	8	109	5	0	0	22	23	20	10	16	0	2	4	12	29	26	0	0	11	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Tuzzerella	0	3	18	0	31	0	0	0	11	0	0	24	0	0	34	9	0	13	0	0	0	19	10	1	6	18	0	0	6	4	103	5	0	0	5	26	46	2	9	0	0	0	0	10	22	2	0	41	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Monoglobales;f__Monoglobaceae;g__Monoglobus	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	4	0	0	0	0	2	0	3	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus	36	482	0	0	126	37	37	59	180	66	43	849	539	0	0	10	80	464	31	438	0	52	461	76	1143	636	80	147	526	198	22	656	7	14	5	9	45	44	0	22	10	22	363	31	17	17	28	14	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UCG-005	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	49	0	0	0	0	17	28	0	0	0	0	0	0	2	15	0	0	1	
