OTU.ID	TL1a_FP_140	TL1a_FP_207	TL1a_FP_65	TL1a_FP_64	TL1a_FP_209	TL1a_FP_206	TL1a_FP_242	TL1a_FP_77	TL1a_FP_245	TL1a_FP_76	TL1a_FP_102	TL1a_FP_98	TL1a_FP_75	TL1a_FP_173	TL1a_FP_141	TL1a_FP_174	TL1a_FP_144	TL1a_FP_142	TL1a_FP_62	TL1a_FP_74	TL1a_FP_172	TL1a_FP_171	TL1a_FP_66	TL1a_FP_143	TL1a_FP_100	TL1a_FP_99	TL1a_FP_246	TL1a_FP_78	TL1a_FP_210	TL1a_FP_208	TL1a_FP_101	TL1a_FP_244	TL1a_FP_63	TL1a_FP_243	TL1a_FP_170	TL1a_FP_205	TL1a_FP_73	TL1a_FP_139	TL1a_FP_169	TL1a_FP_61	TL1a_FP_241	TL1a_FP_97	TL1A_FP_641	TL1A_FP_689	TL1A_FP_638	TL1A_FP_640	TL1A_FP_685	TL1A_FP_686	TL1A_FP_639	TL1A_FP_687	TL1A_FP_637	TL1A_FP_688	taxonomy
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter	0	0	0	0	0	0	0	23	3	31	0	0	0	0	0	21	0	0	0	0	0	0	0	58	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Colidextribacter	0	0	0	0	9	0	0	50	881	46	570	0	87	425	0	414	6	515	0	93	237	3	186	297	342	0	243	2	421	0	1210	6	0	0	17	0	0	0	18	0	0	0	4	8	4	5	0	0	0	0	0	5	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Dielma	0	0	16	6	0	0	0	9	0	14	0	9	26	0	0	4	18	6	15	11	0	24	2	18	4	4	0	27	0	0	2	0	19	0	8	0	12	0	13	23	0	5	0	0	2	0	0	13	4	3	7	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__GCA-900066575	15	143	60	17	13	86	155	37	259	70	60	18	103	68	11	51	72	47	61	36	33	84	205	121	48	48	43	114	35	9	186	128	70	127	32	16	49	55	36	93	29	31	2	5	2	7	0	3	0	0	7	0	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__[Clostridium] innocuum group	87	249	131	27	29	98	129	75	275	200	44	52	161	31	66	44	86	28	91	59	0	79	106	72	110	118	110	177	0	34	0	308	147	107	41	13	134	81	24	223	42	129	52	23	4	49	7	21	8	89	17	22	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Marvinbryantia	5	313	10	6	24	156	46	73	185	57	91	7	16	14	7	25	7	62	9	16	1	2	39	27	69	9	150	16	11	101	121	181	19	35	3	83	10	6	3	9	122	7	2	6	1	12	0	0	3	5	15	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae UCG-001	0	0	0	0	0	0	0	0	120	0	0	0	0	144	0	72	0	0	0	0	189	0	0	0	23	0	10	0	0	0	0	5	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae;g__	23	37	29	6	0	37	29	6	3	0	43	28	37	2	8	12	24	4	28	25	0	10	19	39	5	12	10	37	2	0	46	18	32	49	3	9	16	18	7	37	16	5	0	7	0	5	9	26	2	12	3	0	
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia-Shigella	0	556	0	0	3303	359	1	0	47	78	21	0	0	13	0	28	4	7	0	3	0	0	2	0	0	0	11	0	96	1530	4	33	0	0	0	943	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	3	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae;g__Eubacterium	4	10	32	8	103	9	0	45	0	42	4	13	16	15	4	30	13	4	9	7	0	26	75	3	16	15	0	23	5	77	0	0	11	0	13	14	22	15	30	15	0	15	75	81	3	54	6	4	3	6	0	22	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Candidatus Stoquefichus	448	127	99	27	11	85	170	321	94	248	54	311	238	91	103	73	94	46	214	74	1	82	69	88	131	135	114	376	4	53	2	96	185	138	120	120	288	251	154	475	96	544	0	11	0	0	0	0	0	0	0	0	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelatoclostridium	122	63	61	16	102	98	38	207	160	271	37	63	44	52	50	88	68	36	98	66	6	62	45	74	136	24	260	157	54	84	6	264	99	20	40	68	101	62	57	38	37	63	16	20	9	34	1	6	18	0	37	1	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Paludicola	47	2	225	11	0	5	8	16	4	21	0	19	24	0	6	0	3	0	48	7	0	0	5	3	7	13	0	43	0	0	0	0	19	6	0	0	46	7	0	85	0	14	6	38	0	0	3	5	0	3	3	8	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter	0	0	1	0	15	2	0	38	170	133	402	0	32	157	0	62	0	351	0	70	140	0	95	249	249	0	23	5	242	0	738	6	0	0	11	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	4	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium	9101	349	0	0	5	273	442	14	95	28	31	0	30	44	1168	406	2735	600	0	0	0	10659	0	1696	464	0	467	38	9	19	1	190	0	329	1633	507	0	921	1240	0	531	0	22	110	0	0	0	0	0	0	0	37	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus	4	50	0	0	0	12	7	0	29	3	5	0	0	18	2	43	20	15	0	0	2	11	1	1	15	0	19	0	36	0	6	12	0	5	6	8	0	0	4	0	0	0	3	29	15	3	12	13	35	38	16	13	
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides	1345	0	1358	756	1	0	0	392	102	140	541	861	1585	114	859	310	1604	361	1934	1209	9	1943	439	929	760	971	223	2146	54	26	119	1	2143	0	890	0	1012	1723	1141	1982	0	1123	245	1710	619	79	933	2440	1111	1164	2123	409	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnoclostridium	1012	2738	1194	377	215	1420	1095	720	859	1285	800	563	1849	487	617	847	2378	1590	998	609	136	3100	896	1877	889	2023	666	2233	423	511	561	1623	1525	1295	1188	495	1675	1346	1767	2898	531	1811	174	123	80	303	70	159	224	240	446	62	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae UCG-004	0	0	1	0	3	0	0	3	168	3	33	0	0	96	0	61	1	62	0	5	53	0	10	70	59	0	74	0	91	0	31	3	0	0	8	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Peptococcales;f__Peptococcaceae;g__	0	0	0	0	2	0	0	11	12	17	42	0	4	30	0	34	0	49	0	7	5	0	4	60	20	0	0	0	106	0	46	3	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Intestinimonas	0	0	0	0	9	0	0	15	204	13	105	0	6	144	0	109	7	251	0	11	74	1	30	80	148	0	56	0	177	0	190	3	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Incertae Sedis	22	16	30	20	41	13	9	39	307	168	120	5	15	164	4	166	37	159	40	28	66	27	86	143	276	5	105	50	97	31	144	117	15	5	7	5	15	18	24	112	15	11	4	8	0	24	2	3	2	0	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor	0	0	0	0	0	0	0	2	44	0	0	0	0	4	0	0	2	43	0	0	0	1	0	55	78	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Paraprevotella	24693	0	1806	2504	0	0	0	1479	0	1114	2396	6868	7578	129	3639	422	8775	2515	15268	9907	9	15162	575	6063	3673	3958	0	6724	0	0	20	0	5304	0	8276	0	5837	1434	3168	10671	0	1899	102	47	678	30	2222	4571	1394	3238	2049	154	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eisenbergiella	142	217	0	0	49	220	149	7	67	0	10	21	0	20	24	52	46	12	0	0	0	94	0	48	10	15	92	0	8	71	0	154	0	119	14	136	0	99	24	0	153	28	7	81	0	6	0	0	0	0	0	27	
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum	0	0	0	0	5	0	0	0	125	25	524	0	11	290	5	143	0	67	3	61	1767	0	21	58	119	0	17	5	97	8	255	9	0	0	0	5	0	0	4	0	0	0	3	0	0	3	0	0	0	0	0	6	
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter	224	0	151	50	2	0	0	38	99	31	387	74	83	155	56	104	84	309	155	111	55	101	68	239	191	65	34	148	102	0	462	2	101	0	80	0	68	39	45	111	0	52	19	12	40	4	42	67	45	47	62	43	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Romboutsia	33	8	0	0	7	5	0	4	7	187	19	4	3	0	7	3	30	12	0	0	19	187	0	17	129	5	9	0	0	35	0	0	0	0	24	7	0	18	48	0	4	11	5	55	0	0	0	0	0	0	0	7	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__Family XIII UCG-001	49	35	10	8	0	11	8	6	0	0	3	22	7	10	6	16	10	26	22	8	0	7	10	21	1	5	0	12	0	0	1	8	8	5	3	14	24	17	11	35	4	18	0	2	3	0	4	5	4	6	5	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Candidatus Arthromitus	7	5	3	5	1	5	24	4	290	4	7	19	31	21	53	13	8	7	10	6	40	6	8	8	700	24	80	7	7	4	4	12	6	67	26	94	54	6	70	7	3	19	0	0	0	0	0	0	0	0	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes	69	59	109	43	165	28	0	221	0	730	23	0	77	107	63	239	180	39	103	39	4	162	278	135	21	0	0	158	5	380	0	0	108	0	103	59	71	99	75	74	0	0	9	19	0	3	4	3	0	5	0	13	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella	0	0	210	36	0	0	0	40	0	11	7	8	43	0	1	0	0	0	37	17	0	0	143	0	8	29	0	46	0	0	0	0	27	1	0	0	33	0	0	28	0	26	0	1	4	5	14	6	0	7	6	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae ND3007 group	171	78	0	0	268	82	3	0	19	24	0	55	0	34	7	38	23	16	0	0	0	26	0	24	0	15	33	0	21	50	0	17	0	0	11	61	0	14	5	0	5	4	2	30	0	0	0	0	0	0	0	6	
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Parasutterella	401	0	9441	2182	0	0	0	39124	656	22684	430	1386	3690	301	954	2178	1869	395	1754	1200	30	1560	19028	914	1294	1218	137	3497	0	5	3	34	1897	0	2377	0	2281	539	1271	2169	0	712	3752	5349	244	1532	424	435	407	275	274	2166	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus	0	0	1	0	9	0	0	0	237	11	0	21	13	1119	0	2853	0	0	0	0	52	1	1	0	9	0	136	10	1081	91	0	36	9	19	0	0	0	0	0	0	0	0	61	0	0	7	0	0	0	0	0	22	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalibaculum	0	0	0	0	0	0	0	3	390	14	7	43	16	79	0	23	3	8	0	3	23	0	0	3	49	0	133	0	6	0	2	9	0	0	0	0	0	0	0	2	0	0	9	0	0	3	0	0	0	0	0	10	
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotellaceae UCG-001	0	0	0	0	0	0	0	5	15	100	272	0	11	17	0	87	0	0	0	47	0	0	30	0	150	0	0	0	0	0	597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__	64	94	8	7	10	46	36	43	350	9	82	46	31	42	9	36	34	515	30	25	153	22	5	267	222	17	83	59	57	2	109	30	30	45	54	56	42	12	43	56	37	43	24	14	14	5	0	4	0	2	0	7	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae FCS020 group	0	0	0	0	4	0	0	4	93	26	24	0	0	32	0	22	2	65	0	3	22	0	5	51	0	0	18	0	242	3	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes	520	0	297	163	31	0	0	177	790	105	3121	181	272	1152	230	1535	330	1052	418	736	4385	516	316	1072	1784	118	435	713	898	10	2898	21	397	0	237	0	146	166	371	450	0	302	69	47	142	21	181	411	228	241	472	115	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia	635	1053	674	205	2664	902	776	2168	4215	2190	183	282	384	711	158	780	398	137	575	254	13	355	1237	258	284	417	2573	984	197	2439	6	2049	455	606	176	1569	346	170	165	496	637	196	131	234	38	160	28	43	40	189	100	173	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia	0	11612	0	0	23	5605	0	32	122	0	0	0	0	163	0	845	4	183	0	0	79	0	0	167	144	0	47	0	73	199	4	14	0	0	15	1307	0	4	0	4	0	0	25	5	0	3	0	0	0	0	0	4	
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__	0	0	191	11	0	0	0	10	0	93	32	20	0	0	0	0	0	0	13	0	0	0	96	51	5092	11	0	18	0	0	669	0	21	0	0	0	4	0	0	28	0	6	3	0	0	0	0	0	0	0	0	37	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__[Eubacterium] nodatum group	27	33	68	25	0	22	14	14	100	31	19	13	41	70	16	80	33	8	27	17	38	36	21	27	42	27	29	45	13	0	3	18	26	17	9	25	45	13	35	88	11	17	16	8	9	18	6	9	6	16	26	24	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__UCG-010;g__	0	0	0	0	1	0	0	0	163	0	0	0	0	10	0	29	0	3	0	0	62	0	0	4	0	0	71	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Harryflintia	0	0	0	0	0	0	0	0	224	1	0	0	0	1	0	2	0	1	0	0	0	0	0	1	128	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Butyricicoccus	0	0	0	0	0	0	0	0	33	0	0	0	0	18	0	17	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Alicyclobacillales;f__Alicyclobacillaceae;g__Tumebacillus	0	0	0	0	0	0	0	80	0	273	24	0	0	13	0	25	0	0	0	0	12	0	1	9	1101	0	74	26	0	9	1	7	0	0	0	0	0	0	0	0	0	0	6	0	0	6	0	0	0	0	0	4	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__[Eubacterium] brachy group	0	0	0	0	0	0	0	2	12	7	6	0	0	2	0	9	0	4	0	3	13	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
k__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia	19413	16839	89956	11765	191965	16309	908	23418	117862	22516	3092	11651	13292	46059	6631	27491	5045	1053	13673	7496	232	8958	73787	2863	4638	6249	128887	47416	13013	177843	1082	97035	22703	870	3774	19422	8976	3686	14770	10034	1099	11712	14918	23003	4716	21881	1529	4512	5169	2519	6504	13179	
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Alloprevotella	1	0	1	2	70	0	0	377	3845	1617	10113	45	586	4227	16	1626	8	1003	3	1552	660	1	212	594	4569	0	1076	22	6151	110	7983	49	2	30	27	0	15	3	36	2	2	0	25	0	11	0	0	0	0	0	0	32	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Ruminococcus] torques group	0	29	11	3	4	11	1	0	20	17	3	0	7	0	1	23	14	4	8	5	0	42	4	0	0	0	13	19	0	12	0	26	6	6	11	2	8	7	9	22	3	0	6	4	5	18	2	0	3	4	10	0	
k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Enterorhabdus	0	0	0	0	1	0	0	0	8	0	0	0	0	17	0	10	0	4	0	0	4	0	0	3	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
k__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium	0	0	0	0	0	0	0	0	106	0	0	0	0	29	0	4	3	4	0	0	0	0	0	3	0	0	26	0	9	0	0	3	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	6	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA1819	280	445	110	47	8	216	61	125	28	104	27	74	99	5	36	50	187	56	94	54	2	1275	75	79	5	116	98	244	16	13	0	91	50	61	88	200	110	51	121	264	100	120	6	17	9	15	12	19	16	24	30	3	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UCG-003	0	0	0	0	0	0	0	0	0	11	0	0	0	17	0	11	0	4	0	0	0	0	0	9	4	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UCG-005	0	0	0	0	0	0	0	0	28	13	94	0	15	19	0	12	0	43	0	17	16	0	69	23	60	0	0	0	0	0	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Tuzzerella	272	805	58	46	7	497	141	92	100	245	87	200	320	79	207	114	97	144	325	102	13	54	59	159	151	76	48	389	51	15	18	126	259	130	58	117	158	306	112	510	129	84	15	75	43	5	0	5	30	0	45	19	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Peptococcales;f__Peptococcaceae;g__Peptococcus	0	0	0	0	0	0	0	0	28	22	26	0	4	50	0	17	0	24	0	9	4	0	4	48	0	0	0	0	9	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium sensu stricto 1	0	0	0	0	1	0	0	20	0	88	0	16	0	34	0	23	0	28	0	0	16	0	1	12	16	0	12	6	13	0	1	3	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	
k__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio	0	0	0	0	1	0	0	12	176	43	142	0	16	166	0	29	0	0	0	25	71	0	7	20	197	0	90	5	0	0	7	68	0	0	0	0	0	0	0	3	0	0	9	7	0	16	0	0	0	0	0	5	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae UCG-010	0	0	0	0	0	0	0	0	0	0	3	0	0	5	0	0	0	14	0	0	0	0	0	4	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus	1	0	1	0	4	0	0	7	420	17	51	19	14	444	9	245	12	175	0	11	1012	1	3	160	135	0	104	5	86	13	22	103	0	0	32	8	14	0	20	4	0	10	8	0	0	3	0	0	0	0	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium] xylanophilum group	0	0	0	0	2	0	0	0	321	0	0	0	0	427	0	477	45	213	0	0	108	1	0	521	47	0	93	7	371	6	0	9	0	0	132	0	0	0	95	0	0	0	20	0	0	0	0	0	0	0	0	14	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemania	68	256	87	16	30	100	100	65	247	104	46	41	190	20	42	72	128	27	97	63	0	144	81	117	32	62	358	228	15	18	0	157	136	91	70	117	77	38	68	152	102	43	0	13	2	3	3	14	3	3	10	3	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Sellimonas	4	12	7	8	25	16	12	15	159	38	4	2	6	4	0	11	6	0	7	3	0	0	23	3	0	0	103	8	5	20	0	138	0	9	2	7	8	3	7	9	8	3	43	19	4	108	7	8	6	7	14	25	
