feature	k__Bacteria.p__Firmicutes	k__Bacteria.p__Bacteroidota	k__Bacteria.p__Desulfobacterota	k__Bacteria.p__Proteobacteria	k__Bacteria.p__Actinobacteriota	k__Bacteria.p__Cyanobacteria	k__Bacteria.p__Deferribacterota	k__Bacteria.p__Verrucomicrobiota
Vil1.09B.FP105	42037	12161	856	464	137	65	149	360
Vil1.05B.FP59	106370	8484	1614	4704	196	9	1	541
Vil1.08B.FP96	103843	8793	2751	2948	221	12	1	476
Itg.26.FP540.S44	31179	17168	630	220	50	47	1	0
Vil1.06B.FP68	30370	17685	1225	477	282	105	338	0
Lyz2.08B.FP291.S89	24082	9299	90	149	35	19	1	0
Vil1.01B.FP09	37954	26261	1801	938	110	87	1	162
Vil1.08B.FP92	68958	13095	872	188	49	68	428	88
Itg.20.FP507.S10	86118	9834	5559	100	451	5	1	0
Vil1.04B.FP48	36308	18514	2634	1103	310	8	0	519
Vil1.06B.FP69	40399	16938	2298	530	261	90	14	0
Lyz2.03B.FP234.S82	123693	8659	1322	191	103	4	1	0
Vil1.04B.FP47	86715	6836	3991	113	674	25	0	1352
Itg.24.FP530.S33	110055	959	242	34	4	3	1	0
Vil1.03B.FP36	49271	11397	1613	708	184	14	1	331
Vil1.02B.FP19	43122	32763	477	851	105	50	1	260
Itg.02.FP412.S12	68572	27498	1854	650	123	8	1	0
Itg.26.FP539.S43	19520	16758	123	167	21	28	1	0
Itg.18.FP491.S94	53386	24339	660	429	365	19	1	0
Itg.16.FP481.S84	50507	24734	1365	365	181	31	1	0
Vil1.03B.FP33	48295	17682	1932	1880	109	333	1	436
Lyz2.02B.FP224.S72	42076	10064	826	196	156	0	1	0
Lyz2.05B.FP259.S56	16328	4819	947	196	121	0	0	0
Itg.04.FP422.S22	101046	1764	59	62	104	0	1	0
Itg.20.FP506.S9	54831	15672	1039	148	80	31	2928	0
Itg.08.FP445.S46	35523	13602	1049	184	102	20	1	55
Itg.24.FP529.S32	32039	11394	812	165	50	53	1	0
Vil1.09B.FP104	52225	19694	680	530	147	49	136	888
Itg.26.FP544.S48	40747	16864	1878	300	109	0	1	0
Lyz2.08B.FP292.S90	18900	6434	327	98	31	3	1	35
Vil1.10B.FP119	140481	4150	2106	304	630	16	1	749
Vil1.04B.FP44	29413	19351	611	1055	149	70	1	848
Vil1.13B.FP152	43113	58297	124	1573	17	6	1	15503
Itg.10.FP460.S62	60593	13549	1111	193	158	2	1	0
Itg.20.FP504.S7	42584	21931	1144	207	149	73	1	0
Vil1.07B.FP79	29563	31088	506	706	2522	15	1	0
Vil1.14B.FP164	57558	19020	762	511	549	23	778	161
Itg.06.FP434.S35	117051	3464	3247	18	726	10	1	0
Itg.18.FP496.S99	68068	2371	422	114	264	0	0	0
Itg.24.FP531.S34	109408	1173	436	26	39	0	1	0
Itg.24.FP527.S30	19486	8084	455	110	36	14	6	0
Lyz2.07B.FP279.S77	6924	8347	59	191	20	35	1	0
Lyz2.06B.FP269.S67	19085	4110	348	48	19	11	1	29
Lyz2.03B.FP231.S79	62757	20928	167	365	97	24	1	0
Lyz2.07B.FP281.S79	17793	6507	337	143	51	12	1	0
Vil1.09B.FP107	144739	8615	440	668	2767	35	1	508
Itg.08.FP443.S44	36047	25120	246	259	82	11	1	0
Itg.02.FP410.S10	68903	4235	1793	6	191	7	0	0
Vil1.04B.FP45	33189	18655	1002	944	153	69	1	695
Itg.06.FP436.S37	38864	19158	2014	309	263	0	0	0
Lyz2.05B.FP256.S53	9341	4606	338	195	44	23	1	0
Vil1.03B.FP34	78120	4865	554	463	71	23	1	210
Vil1.07B.FP83	55724	7858	3595	180	2479	11	0	77
Vil1.01B.FP12	53559	32442	3550	1458	157	0	1	213
Itg.12.FP469.S71	47541	14893	1669	284	132	56	1	0
Itg.26.FP543.S47	66469	13888	983	273	55	57	157	0
Vil1.10B.FP117	38974	28424	1223	587	182	49	36	806
Itg.06.FP433.S34	36711	11742	505	194	153	18	1	0
Itg.26.FP542.S46	94988	14313	2325	77	103	7	1	0
Lyz2.02B.FP220.S68	52839	23108	487	352	96	49	1	75
Lyz2.05B.FP257.S54	19042	4877	900	194	60	20	1	39
Vil1.08B.FP94	113858	2474	2744	128	377	11	1	515
Itg.16.FP482.S85	69659	15980	3472	177	424	9	1	0
Itg.02.FP408.S8	19597	6499	367	130	52	143	1	0
Vil1.02B.FP21	41311	22019	1395	726	174	55	1	80
Itg.12.FP471.S73	88893	10592	1404	64	286	5	1	0
Itg.16.FP479.S81	39872	17308	200	413	637	37	8	0
Vil1.05B.FP55	40823	37952	880	1058	261	293	1	717
Itg.22.FP516.S19	46186	14862	922	335	94	77	1	0
Itg.04.FP420.S20	19286	4773	126	95	40	41	1	0
Itg.10.FP456.S58	38035	10482	390	192	80	21	1	0
Lyz2.08B.FP294.S92	28504	2665	1012	110	113	2	1	38
Vil1.13B.FP156	36515	2652	31	1907	97	0	1	2240
Itg.18.FP492.S95	71833	22048	1791	501	225	32	1	0
Vil1.06B.FP72	34541	12376	1347	534	2190	27	27	75
Vil1.02B.FP24	57187	20130	1283	1195	249	6	1	119
Itg.12.FP468.S70	36486	13957	845	293	106	72	1	0
Lyz2.05B.FP260.S57	22203	3362	970	288	46	0	0	24
Itg.12.FP467.S69	39196	22589	374	318	155	94	1	0
Itg.20.FP505.S8	44113	15775	1257	177	83	77	1	0
Vil1.14B.FP166	96188	2153	278	45	1086	0	0	737
Itg.04.FP423.S23	192316	3770	196	25	202	0	1	0
Itg.22.FP517.S20	39106	10894	1161	256	69	48	1	0
Itg.12.FP472.S74	69661	34084	1259	237	159	15	1	49
Lyz2.06B.FP268.S65	22122	6130	540	64	29	42	2	37
Lyz2.03B.FP233.S81	61833	22300	1511	309	73	2	1	0
Lyz2.04B.FP246.S43	37688	655	234	31	22	0	1	63
Vil1.14B.FP165	57329	23299	1020	540	263	33	63	219
Lyz2.02B.FP221.S69	47345	17922	548	240	75	12	1	0
Vil1.07B.FP81	37449	27760	2579	467	1147	30	1	54
Lyz2.06B.FP270.S68	25332	1189	570	48	59	0	1	0
Vil1.07B.FP84	37619	16125	1599	785	835	38	161	123
Lyz2.04B.FP247.S44	30368	682	271	23	17	0	0	0
Itg.06.FP431.S32	21768	13108	191	156	108	4	1	0
Lyz2.01B.FP211.S59	134565	8255	345	100	29	2	1	0
Lyz2.06B.FP267.S64	25339	11140	677	112	48	33	15	0
Itg.02.FP407.S7	12447	6875	111	133	19	78	1	0
Itg.04.FP419.S19	18873	7547	309	122	48	57	599	0
Itg.08.FP448.S49	68327	21388	1063	297	140	0	1	0
Vil1.13B.FP151	30112	38059	38	1188	0	7	0	9871
Vil1.01B.FP10	56957	6753	3372	51	252	2	0	112
Itg.04.FP424.S24	56742	2587	246	250	58	2	1	0
Itg.08.FP446.S47	47145	12189	529	164	80	0	1	0
Vil1.06B.FP71	62485	10161	4443	590	2055	67	1683	225
Lyz2.01B.FP207.S55	25303	15418	209	155	42	41	1	0
Vil1.13B.FP155	45997	1377	18	833	286	22	0	6119
Lyz2.08B.FP295.S93	28304	1343	1330	36	112	2	0	48
Itg.08.FP444.S45	30471	18809	306	258	60	22	1	0
Vil1.13B.FP154	180286	1505	22	835	6	6	0	9177
Vil1.14B.FP168	44162	1826	100	255	460	4	1	1125
Vil1.03B.FP31	33023	24836	405	1307	114	116	1	1377
Lyz2.03B.FP232.S80	62766	19031	208	408	54	18	1	0
Lyz2.03B.FP235.S83	120378	14390	1808	75	123	0	1	0
Itg.18.FP493.S96	39043	16951	1931	401	153	31	1	0
Lyz2.07B.FP284.S82	16472	3533	418	78	53	5	0	21
Itg.10.FP457.S59	40953	15228	676	204	125	60	1	0
Itg.10.FP459.S61	117583	11005	724	86	224	0	1	0
Itg.06.FP432.S33	39785	23070	277	340	279	14	1	0
Lyz2.01B.FP209.S57	32622	10222	1025	211	43	44	9	0
Itg.12.FP470.S72	98440	9312	815	118	660	2	1	0
Lyz2.07B.FP280.S78	14429	6881	181	192	42	29	1	0
Itg.10.FP458.S60	92679	4232	462	34	406	0	0	56
Lyz2.08B.FP296.S95	13993	11014	1367	166	118	2	1	24
Itg.16.FP483.S86	81022	21668	5311	408	554	14	1	0
Lyz2.03B.FP236.S84	60242	14653	924	361	113	0	0	0
Lyz2.02B.FP223.S71	130100	10561	477	43	113	5	1	0
Itg.02.FP411.S11	143395	24520	3044	63	214	14	1	0
Lyz2.05B.FP258.S55	17848	5699	789	195	76	3	0	0
Itg.06.FP435.S36	64792	15674	2148	102	319	2	1	0
Itg.16.FP480.S83	57848	32519	1020	540	446	49	1	0
Vil1.02B.FP23	62361	22690	2362	61	348	4	1	157
Vil1.07B.FP80	27143	32483	684	567	5625	16	1	59
Itg.22.FP519.S22	109289	5292	2048	18	290	3	1	0
Itg.22.FP520.S23	54377	12095	1032	266	81	5	1	0
Itg.10.FP455.S57	77607	26860	237	316	225	45	1	178
Vil1.05B.FP56	32342	14125	1609	557	137	195	1380	148
Vil1.02B.FP20	33114	23803	741	806	111	48	1	193
Itg.04.FP421.S21	22712	6323	281	82	55	45	1	0
Vil1.08B.FP91	42629	20949	554	257	101	87	2	75
Vil1.06B.FP70	40814	5841	709	329	1635	69	456	41
Vil1.08B.FP93	58768	10113	1212	258	71	94	3498	75
Itg.08.FP447.S48	68609	3228	995	5	154	0	1	0
Itg.26.FP541.S45	30812	15186	1013	163	49	23	1	0
Lyz2.08B.FP293.S91	21923	9518	507	121	40	16	1	51
Itg.18.FP494.S97	80433	2697	1078	126	314	0	1	0
Itg.20.FP503.S6	37530	26186	364	183	134	38	1	0
Lyz2.02B.FP219.S67	33678	13954	542	207	88	29	1307	0
Vil1.09B.FP103	37113	31886	83	477	175	38	1	913
Vil1.10B.FP118	134658	2836	1326	93	575	35	1	1668
Lyz2.06B.FP272.S70	32614	9023	3362	152	160	4	1	0
Itg.18.FP495.S98	108398	2866	1107	63	295	0	1	0
SLCFP072	16354	8039	570	175	75	0	0	568
SLCFP021	19147	9872	1266	249	116	5	1	45
SLCFP069	9202	3169	214	77	26	9	0	1420
LYZFP308	66735	64607	215	841	141	87	22	4
SLCFP111	13961	3998	200	262	55	59	0	63
LYZFP307	60682	22076	6301	711	533	14	1	1
LYZFP331	183958	4787	1121	1103	71	8	1	1
SLCFP131	30152	13744	1969	1229	656	4	0	4
SLCFP078	27047	16534	1025	74	80	0	0	1
SLCFP070	33728	5471	665	34	118	0	1	3523
LYZFP304	78512	21402	787	663	130	150	2727	1
SLCFP067	9562	5545	43	173	46	12	0	7418
SLCFP023	23018	3486	714	306	163	6	0	114
SLCFP051	17555	7194	308	317	99	22	0	980
LYZFP328	51033	30604	1365	598	36	116	13	1
LYZFP317	156521	22862	3514	2669	424	10	1	4
SLCFP022	33039	835	280	39	194	0	0	8
LYZFP355	109049	17130	321	460	257	0	1	1
LYZFP319	143123	12738	3307	469	637	12	1	1
SLCFP005	67211	2154	387	736	311	0	0	1
SLCFP024	24346	7195	626	465	75	0	0	208
SLCFP093	25178	3637	394	190	7	21	0	11
SLCFP053	34317	7090	1164	199	505	3	1	649
LYZFP320	51802	1832	580	232	176	4	1	1
SLCFP091	23078	6290	349	237	24	26	0	3
LYZFP327	120553	87460	465	1296	55	88	1	1
SLCFP095	98335	113	42	39	0	0	0	1
SLCFP077	32243	3719	437	1	50	0	0	0
LYZFP356	95451	36163	707	431	387	30	1	2
LYZFP354	204204	9761	358	465	145	28	1	1
SLCFP112	13234	2758	793	155	137	7	0	90
SLCFP073	24561	12902	69	40	22	11	0	1
SLCFP128	15078	14169	94	510	229	47	0	31
SLCFP092	39702	4601	350	349	23	75	0	3
LYZFP332	181187	951	55	10451	0	7	1	1
SLCFP002	16441	5517	135	369	56	60	0	4
LYZFP306	111655	27763	10987	834	1094	7	1	2
SLCFP113	5730	2412	307	73	31	4	0	42
SLCFP071	41156	8313	714	323	208	5	0	2299
SLCFP004	32073	397	119	70	239	0	1	1
SLCFP019a	25621	10452	298	263	203	35	0	40
LYZFP316	90792	46082	892	1156	138	94	763	1
SLCFP075	10815	4573	158	4	15	8	0	0
SLCFP049	12526	20731	263	457	130	6	0	285
LYZFP339	100670	41632	442	941	200	189	1	1
SLCFP094	31925	679	80	95	0	16	0	1
LYZFP315	101690	55673	848	1502	196	104	1	1
SLCFP050	9762	10868	134	305	120	26	0	1174
LYZFP352	34757	17638	272	250	129	389	117	1
LYZFP305	313806	7970	2866	593	582	5	1	1
SLCFP052	37014	6148	787	152	481	0	0	716
SLCFP076	73691	1626	618	13	83	0	0	1
LYZFP330	177764	42308	5690	1274	106	0	1	1
SLCFP127	12476	7815	42	244	253	10	0	6
LYZFP340	58290	21887	501	501	118	131	1	1
SLCFP129	9447	4379	119	254	41	25	0	39
LYZFP351	53621	37299	415	648	231	284	6	1
SLCFP074	18855	12475	73	20	28	0	0	1
SLCFP054	11719	11158	861	422	244	0	0	554
LYZFP303	218456	29836	614	902	213	67	1	1
SLCFP003	22698	7411	290	406	55	74	1	6
SLCFP068	9148	7078	72	141	37	18	0	4278
SLCFP114	6270	2768	491	285	64	0	0	17
SLCFP006	45238	2655	340	597	238	0	0	2
LYZFP343	195620	5700	1337	1979	314	0	1	1
SLCFP132	18254	13247	564	515	178	0	0	7
LYZFP344	147275	15224	1075	1111	208	0	1	50
LYZFP342	108832	1830	785	185	180	0	1	1
SLCFP096	45958	41	7	16	0	0	0	0
SLCFP001	18116	11500	56	592	132	133	0	25
SLCFP110	7716	2534	68	143	11	67	0	18
LYZFP353	29073	9902	405	220	95	129	2	1
SLCFP109	13613	9125	51	396	84	203	0	91
SLCFP020	24460	10537	593	392	127	34	0	59
LYZFP318	66008	28972	526	454	140	89	2	2
LYZFP329	65563	47782	2204	980	48	148	26	3
LYZFP341	53698	19836	1031	502	138	88	1	1
SLCFP148	29737	17486	859	2485	32	84	0	727
SLCFP164	23124	23083	393	998	73	18	0	2
SLCFP166	96012	1372	2424	459	317	3	0	21
SLCFP163	24220	25230	977	1172	85	11	0	1
SLCFP150	126830	28146	750	157	100	101	1154	1
SLCFP167	60656	22108	4459	2191	1204	1	0	1
SLCFP145	31471	18145	9	901	17	36	0	2297
SLCFP165	20363	14050	974	784	142	8	0	1
SLCFP146	46221	15465	591	590	103	26	0	615
SLCFP147	21937	8256	824	1862	46	36	0	670
SLCFP149	72436	1151	7930	25	211	16	0	4569
