OTU ID,TL1a_FP_140,TL1a_FP_207,TL1a_FP_65,TL1a_FP_64,TL1a_FP_209,TL1a_FP_206,TL1a_FP_242,TL1a_FP_77,TL1a_FP_245,TL1a_FP_76,TL1a_FP_102,TL1a_FP_98,TL1a_FP_75,TL1a_FP_173,TL1a_FP_141,TL1a_FP_174,TL1a_FP_144,TL1a_FP_142,TL1a_FP_62,TL1a_FP_74,TL1a_FP_172,TL1a_FP_171,TL1a_FP_66,TL1a_FP_143,TL1a_FP_100,TL1a_FP_99,TL1a_FP_246,TL1a_FP_78,TL1a_FP_210,TL1a_FP_208,TL1a_FP_101,TL1a_FP_244,TL1a_FP_63,TL1a_FP_243,TL1a_FP_170,TL1a_FP_205,TL1a_FP_73,TL1a_FP_139,TL1a_FP_169,TL1a_FP_61,TL1a_FP_241,TL1a_FP_97,TL1A_FP_641,TL1A_FP_689,TL1A_FP_638,TL1A_FP_640,TL1A_FP_685,TL1A_FP_686,TL1A_FP_639,TL1A_FP_687,TL1A_FP_637,TL1A_FP_688,taxonomy
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium,0,0,0,0,0,0,0,0,106,0,0,0,0,29,0,4,3,4,0,0,0,0,0,3,0,0,26,0,9,0,0,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Rikenellaceae_RC9_gut_group,1,0,0,0,3,0,27,64,6216,10,0,0,0,4256,0,2902,59,2616,2,0,1266,1,0,1468,743,0,2020,8,2399,53,10,59,0,0,459,0,0,3,258,0,0,0,87,90,0,3,0,0,0,0,0,21,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides,1345,0,1358,756,1,0,0,392,105,139,541,861,1587,113,859,309,1605,360,1934,1208,9,1943,439,927,762,971,228,2146,53,26,119,1,2143,0,890,0,1012,1723,1141,1982,0,1123,245,1710,619,79,933,2440,1111,1164,2123,409,
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Alicyclobacillaceae;g__Tumebacillus,0,0,0,0,0,0,0,80,0,273,24,0,0,13,0,25,0,0,0,0,12,0,1,9,1101,0,74,26,0,9,1,7,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,4,
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus,1,0,2,0,13,0,0,7,657,28,51,40,27,1563,9,3098,12,175,0,11,1065,2,4,160,144,0,240,15,1167,104,22,139,9,19,32,8,14,0,20,4,0,10,69,0,0,10,0,0,0,0,0,22,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__,0,0,0,0,0,0,0,0,28,22,27,0,4,50,0,17,0,24,0,9,4,0,4,47,0,0,0,0,9,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae;g__,23,37,29,6,0,37,29,6,3,0,43,28,37,2,8,12,24,4,28,25,0,10,19,39,5,12,10,37,2,0,46,18,32,49,3,9,16,18,7,37,16,5,0,7,0,5,9,26,2,12,3,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae_1;g__Candidatus_Arthromitus,7,5,3,5,1,5,24,4,290,4,7,19,31,21,53,13,8,7,10,6,40,6,8,8,700,24,80,7,7,4,4,12,6,67,26,94,54,6,70,7,3,19,0,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae_1;g__Clostridium_sensu_stricto_1,0,0,0,0,1,0,0,20,0,88,0,16,0,34,0,23,0,28,0,0,16,0,1,12,16,0,12,6,13,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiales_vadinBB60_group;g__,0,0,0,0,4,0,0,52,444,189,1192,0,114,161,0,68,6,391,0,166,87,0,205,219,1261,0,109,6,105,0,2316,5,0,0,10,0,0,0,24,0,0,0,7,0,0,4,0,0,0,0,0,8,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae;g__Eubacterium,4,10,32,8,103,9,0,45,0,42,4,13,16,15,4,30,13,4,9,7,0,26,75,3,16,15,0,23,5,77,0,0,11,0,13,14,22,15,30,15,0,15,75,81,3,54,6,4,3,6,0,22,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Family_XIII;g__,27,33,68,25,0,22,14,16,118,36,23,13,41,71,16,87,33,11,27,19,51,36,21,26,42,27,30,45,13,0,4,18,26,17,9,25,45,13,35,88,11,17,16,8,9,18,6,9,6,16,26,24,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Family_XIII;g__Family_XIII_UCG-001,49,35,10,8,0,11,8,6,0,0,3,22,7,10,6,16,10,26,22,8,0,7,10,21,1,5,0,12,0,0,1,8,8,5,3,14,24,17,11,35,4,18,0,2,3,0,4,5,4,6,5,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__,1363,1105,1510,396,58,540,827,872,1597,1105,1154,387,2303,1143,562,1258,906,3206,1591,971,493,1335,1314,2591,1284,641,698,2139,1133,129,1454,730,1839,963,840,384,1099,613,665,1615,535,383,88,64,34,64,31,35,66,89,111,50,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Acetatifactor,0,0,0,0,2,0,0,2,346,5,11,0,0,289,0,32,2,59,0,2,77,1,1,67,97,0,199,0,43,0,3,15,0,0,0,0,0,0,0,2,0,0,13,7,0,11,0,0,0,0,0,14,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Anaerostipes,69,59,109,43,165,28,0,221,0,730,23,0,77,107,63,239,180,39,103,39,4,162,278,135,21,0,0,158,5,380,0,0,108,0,103,59,71,99,75,74,0,0,9,19,0,3,4,3,0,5,0,13,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia,635,1053,674,205,2664,902,776,2168,4215,2190,183,282,384,711,158,780,398,137,575,254,13,355,1237,258,284,417,2573,984,197,2439,6,2049,455,606,176,1569,346,170,165,496,637,196,131,234,38,160,28,43,40,189,100,173,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Cuneatibacter,0,5,14,0,0,4,3,10,3,5,5,3,6,0,0,0,5,0,8,4,0,4,16,0,0,2,7,14,0,0,0,0,12,4,0,5,7,4,0,6,0,0,2,3,0,3,5,5,3,4,5,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Eisenbergiella,142,217,0,0,49,220,149,7,67,0,10,21,0,20,24,52,46,12,0,0,0,94,0,48,10,15,92,0,8,71,0,154,0,119,14,136,0,99,24,0,153,28,7,81,0,6,0,0,0,0,0,27,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__GCA-900066575,15,143,60,17,13,86,155,37,262,70,60,18,103,65,11,50,71,46,61,37,33,84,203,121,47,48,43,114,35,9,190,128,70,127,32,16,49,55,36,93,29,31,2,5,2,7,0,3,0,0,7,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Hungatella,0,0,212,36,0,0,0,40,0,11,7,8,43,0,1,0,0,0,38,17,0,0,144,0,8,29,0,46,0,0,0,0,27,1,0,0,34,0,0,28,0,26,0,1,4,5,14,6,0,7,6,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnoclostridium,1012,2738,1194,377,218,1420,1095,721,891,1297,829,563,1849,519,617,926,2378,1727,998,612,144,3100,917,1970,958,2023,666,2233,617,511,573,1623,1525,1295,1188,495,1675,1346,1767,2898,531,1811,174,123,80,303,70,159,224,240,446,65,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_FCS020_group,0,0,0,0,4,0,0,4,94,26,24,0,0,32,0,22,2,65,0,3,22,0,5,51,0,0,18,0,242,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_ND3007_group,171,78,0,0,268,82,3,0,19,24,0,55,0,34,7,38,23,16,0,0,0,26,0,24,0,15,33,0,21,50,0,17,0,0,11,61,0,14,5,0,5,4,2,30,0,0,0,0,0,0,0,6,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_NK4A136_group,12,32,141,46,64,8,108,914,2106,1059,29623,15,788,1372,6,1032,254,2516,36,6777,678,41,8380,3393,7467,28,1387,122,1912,9,64055,271,16,191,344,48,55,31,176,79,46,54,1464,979,2791,649,2971,2520,2997,7731,1227,1921,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-001,0,0,0,0,0,0,0,0,121,0,0,0,0,145,0,73,0,0,0,0,189,0,0,0,23,0,10,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-004,0,0,1,0,3,0,0,3,168,3,33,0,0,96,0,61,1,62,0,5,53,0,10,70,59,0,74,0,91,0,31,3,0,0,8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-006,0,0,0,0,1,0,0,9,29,10,11,0,0,15,0,9,0,113,0,2,11,0,3,56,27,0,14,0,26,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-010,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,14,0,0,0,0,0,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lactonifactor,1,14,27,0,9,16,3,13,47,4,0,2,6,0,0,0,7,0,7,4,0,5,0,0,0,8,14,10,0,6,0,15,5,3,2,6,2,3,0,8,0,1,4,12,0,3,0,0,0,3,0,3,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Marvinbryantia,5,14,10,6,7,9,18,19,170,26,4,7,13,10,7,11,6,0,9,5,0,2,7,5,5,10,127,16,0,18,0,88,19,10,3,15,10,6,3,9,10,7,0,3,0,4,0,0,0,5,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia,0,11290,0,0,21,5442,0,32,123,0,0,0,0,162,0,821,4,183,0,0,79,0,0,167,144,0,47,0,71,191,4,13,0,0,15,1392,0,4,0,4,0,0,26,5,0,3,0,0,0,0,0,4,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Sellimonas,4,12,7,8,25,16,12,15,159,38,4,2,6,4,0,11,6,0,7,3,0,0,23,3,0,0,103,8,5,20,0,138,0,9,2,7,8,3,7,9,8,3,43,19,4,108,7,8,6,7,14,25,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Shuttleworthia,0,0,0,0,1,0,0,3,0,0,0,0,0,5,0,2,0,99,0,0,21,0,0,59,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Tyzzerella,272,805,58,46,7,497,141,92,100,245,87,200,320,79,207,114,97,144,325,102,13,54,59,159,151,76,48,389,51,15,18,126,259,130,58,117,158,306,112,510,129,84,15,75,43,5,0,5,30,0,45,19,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__UC5-1-2E3,40,0,98,12,0,6,5,12,0,0,0,3,11,0,10,11,17,0,1,7,0,53,61,7,25,6,2,5,0,0,0,8,3,20,7,3,4,13,9,0,12,2,0,4,0,0,0,5,0,4,1,4,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae;g__,0,0,0,0,2,0,0,11,12,17,42,0,4,30,0,34,0,49,0,7,5,0,4,60,20,0,0,0,106,0,46,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Romboutsia,33,8,0,0,7,5,0,4,7,187,19,4,3,0,7,3,31,12,0,0,19,186,0,18,128,5,9,0,0,35,0,0,0,0,24,7,0,18,48,0,4,11,5,55,0,0,0,0,0,0,0,7,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__,64,94,8,7,11,46,36,52,424,9,100,46,32,75,9,75,36,608,30,31,216,23,17,299,184,17,87,59,101,2,157,30,30,45,66,56,42,12,43,56,37,43,24,14,11,5,0,4,0,2,0,9,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Anaerotruncus,4,50,0,0,0,12,7,0,29,3,5,0,0,18,2,43,20,15,0,0,2,11,1,2,15,0,19,0,37,0,6,12,0,5,6,8,0,0,4,0,0,0,3,29,15,3,12,13,35,38,16,13,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Angelakisella,0,0,0,0,0,0,0,0,8,0,0,0,0,11,0,0,0,0,0,0,4,0,0,0,0,0,8,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Butyricicoccus,0,0,0,0,0,0,0,0,33,0,0,0,0,18,0,17,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium,9101,349,0,0,5,273,442,14,95,28,31,0,30,44,1168,406,2735,600,0,0,0,10659,0,1696,464,0,467,38,9,19,1,190,0,329,1633,507,0,921,1240,0,531,0,22,110,0,0,0,0,0,0,0,37,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Flavonifractor,17,65,49,8,0,18,98,25,1,51,19,15,34,1,12,16,75,18,39,28,0,117,35,32,18,29,29,63,0,0,0,87,66,185,19,14,32,36,48,94,113,24,4,14,11,0,5,13,23,13,42,3,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__GCA-900066225,51,2,252,10,0,5,8,15,4,21,0,19,24,2,6,3,3,0,46,7,14,0,5,8,48,13,0,40,2,0,0,0,18,6,0,0,47,7,0,79,0,15,6,40,0,0,3,5,0,3,3,7,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Harryflintia,0,0,0,0,0,0,0,0,71,4,0,0,0,8,0,4,0,4,0,0,0,0,0,9,59,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Intestinimonas,0,0,0,0,8,0,0,6,136,13,87,0,6,116,0,72,5,165,0,9,30,0,18,46,148,0,34,0,125,0,142,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Negativibacillus,0,118,0,0,0,93,37,0,1,0,0,0,0,0,0,15,6,5,0,0,0,20,0,0,3,0,3,0,0,0,0,72,0,47,2,137,0,0,2,1,66,0,0,5,0,0,1,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillibacter,0,0,1,0,15,2,0,38,180,135,402,0,32,157,0,62,0,351,0,69,140,0,96,249,251,0,23,5,242,0,736,6,0,0,11,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,4,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminiclostridium,0,0,0,0,6,0,0,57,136,110,865,0,52,230,0,103,11,647,0,177,344,2,229,504,637,0,78,0,145,0,2071,4,0,0,41,0,0,0,30,0,0,0,8,0,0,0,0,0,0,0,0,7,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminiclostridium_5,22,16,30,20,41,13,9,39,281,168,123,5,15,168,4,169,37,167,40,28,65,27,87,149,262,5,105,50,104,31,149,117,15,5,7,5,15,18,24,112,15,11,4,8,0,24,2,3,2,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminiclostridium_9,0,0,0,0,9,0,0,50,880,46,570,0,87,425,0,414,6,517,0,93,237,3,183,297,340,0,243,2,421,0,1197,6,0,0,17,0,0,0,18,0,0,0,4,8,4,5,0,0,0,0,0,5,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-003,0,0,0,0,0,0,0,0,0,12,0,0,0,17,0,11,0,4,0,0,0,0,0,9,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-004,48,83,73,31,14,59,59,26,70,120,17,70,111,5,47,12,76,21,115,43,0,72,38,66,40,36,46,103,0,5,0,59,77,33,37,52,121,128,65,357,51,45,3,7,6,11,9,23,9,3,8,7,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-005,0,0,0,0,0,0,0,0,28,13,94,0,15,19,0,12,0,43,0,17,16,0,69,23,60,0,0,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-009,0,0,0,0,2,0,0,9,49,7,27,0,9,43,0,15,1,41,0,7,20,0,4,34,21,0,1,0,58,0,37,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-010,0,0,0,0,1,0,0,0,162,0,0,0,0,10,0,29,0,3,0,0,62,0,0,4,0,0,70,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__UBA1819,280,445,110,47,8,216,61,125,28,104,27,74,99,5,36,50,187,56,94,54,2,1275,75,79,5,116,98,244,16,13,0,91,50,61,88,200,110,51,121,264,100,120,6,17,9,15,12,19,16,24,30,3,
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__,87,249,131,27,29,98,129,75,275,200,44,52,161,31,66,44,86,28,91,59,0,79,106,72,110,118,110,177,0,34,0,308,147,107,41,13,134,81,24,223,42,129,52,23,4,49,7,21,8,89,17,22,
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Candidatus_Stoquefichus,448,127,99,27,11,85,170,321,94,248,54,311,238,91,103,73,94,46,214,74,1,82,69,89,131,135,114,376,4,53,2,96,185,138,121,120,288,251,154,475,96,544,0,11,0,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Dielma,0,0,16,6,0,0,0,9,0,14,0,9,26,0,0,4,18,6,15,11,0,24,2,18,4,4,0,27,0,0,2,0,19,0,8,0,12,0,13,23,0,5,0,0,2,0,0,13,4,3,7,0,
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Dubosiella,0,0,0,0,0,0,0,0,42,0,0,21,0,67,0,12,0,7,0,0,5,0,0,7,0,0,8,0,0,0,0,7,0,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Erysipelatoclostridium,122,63,61,16,102,98,38,207,160,271,37,63,44,50,50,88,68,34,98,66,6,62,45,74,136,24,260,157,54,84,6,264,99,20,40,68,101,62,57,38,37,63,16,20,9,34,1,6,18,0,37,1,
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalibaculum,0,0,0,0,0,0,0,3,390,14,7,43,16,79,0,23,3,8,0,3,23,0,0,3,49,0,133,0,6,0,2,9,0,0,0,0,0,0,0,2,0,0,9,0,0,3,0,0,0,0,0,10,
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemania,68,256,87,16,30,100,100,65,247,104,46,41,190,20,42,72,128,27,97,63,0,144,81,117,32,62,358,228,15,18,0,157,136,91,70,117,77,38,68,152,102,43,0,13,2,3,3,14,3,3,10,3,
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Turicibacter,2,165,0,0,8758,121,100,9,417,0,0,0,0,0,0,7,0,0,0,0,86,0,0,0,0,0,1487,0,86,11019,0,295,0,73,0,443,0,3,0,0,30,0,15,62,0,3,0,0,0,0,0,18,
