#OTU ID,Itg.18.DTT496.S91,Lyz2.05B.DTT260.S101,Vil1.06B.DTT70,Vil1.03B.DTT35,Vil1.01B.DTT11,Itg.24.DTT530.S25,Vil1.06B.DTT72,Itg.24.DTT531.S26,Itg.04.DTT423.S15,Lyz2.06B.DTT272.S114,Lyz2.04B.DTT246.S87,Itg.20.DTT508.S3,Lyz2.06B.DTT270.S112,Itg.16.DTT482.S77,Lyz2.03B.DTT236.S76,Vil1.04B.DTT46,Lyz2.02B.DTT224.S64,Vil1.02B.DTT24,Vil1.02B.DTT23,Lyz2.06B.DTT271.S113,Lyz2.07B.DTT284.S126,Vil1.09B.DTT106,Lyz2.02B.DTT223.S63,Itg.22.DTT519.S14,Lyz2.04B.DTT247.S88,Itg.06.DTT434.S27,Itg.22.DTT518.S13,Itg.02.DTT412.S4,Vil1.03B.DTT34,Itg.26.DTT543.S39,Itg.04.DTT424.S16,Lyz2.01B.DTT210.S50,Vil1.08B.DTT96,Vil1.010B.DTT119,Vil1.05B.DTT58,Vil1.05B.DTT59,Vil1.010B.DTT120,Itg.12.DTT470.S64,Itg.02.DTT410.S2,Vil1.05B.DTT60,Itg.08.DTT446.S39,Vil1.08B.DTT95,Vil1.01B.DTT10,Itg.26.DTT542.S38,Itg.18.DTT495.S90,Lyz2.04B.DTT248.S89,Vil1.010B.DTT118,Itg.20.DTT507.S2,Itg.12.DTT471.S65,Lyz2.03B.DTT235.S75,Lyz2.05B.DTT258.S99,Itg.10.DTT459.S53,Itg.08.DTT447.S40,Vil1.09B.DTT107,Vil1.01B.DTT12,Vil1.013B.DTT156,Vil1.07B.DTT84,Vil1.014B.DTT167,Itg.26.DTT544.S40,Itg.04.DTT422.S14,Lyz2.08B.DTT295.S137,Itg.06.DTT435.S28,Vil1.06B.DTT71,Itg.16.DTT484.S79,Vil1.04B.DTT48,Lyz2.07B.DTT282.S124,Itg.06.DTT436.S29,Lyz2.08B.DTT296.S139,Itg.22.DTT520.S15,Vil1.07B.DTT83,Lyz2.02B.DTT222.S62,Lyz2.01B.DTT211.S51,Lyz2.01B.DTT212.S52,Vil1.02B.DTT22,Lyz2.07B.DTT283.S125,Itg.10.DTT458.S52,Vil1.08B.DTT94,Itg.02.DTT411.S3,Vil1.014B.DTT168,Vil1.09B.DTT108,Lyz2.05B.DTT259.S100,Itg.20.DTT506.S1,Lyz2.03B.DTT234.S74,Vil1.07B.DTT82,Vil1.013B.DTT154,Vil1.04B.DTT47,Itg.18.DTT494.S89,Lyz2.08B.DTT294.S136,Vil1.013B.DTT155,LYZdtt342,LYZdtt308,SLCdtt022,LYZdtt366,SLCdtt070,SLCdtt005,LYZdtt354,LYZdtt330,SLCdtt114,LYZdtt356,LYZdtt368,SLCdtt095,LYZdtt367,SLCdtt024,LYZdtt319,LYZdtt306,SLCdtt113,SLCdtt004,LYZdtt355,LYZdtt343,SLCdtt076,LYZdtt344,SLCdtt096,LYZdtt318,LYZdtt332,LYZdtt320,SLCdtt078,SLCdtt052,SLCdtt054,SLCdtt006,SLCdtt077,SLCdtt132,SLCdtt130,LYZdtt307,LYZdtt331,SLCdtt053,SLCdtt150,SLCdtt167,SLCdtt149,SLCdtt148,SLCdtt168,SLCdtt166,taxonomy
PWY-5860,463,412,3364,1278,627,1322,6217,754,402,1825,46,427,758,51,117,631,287,1120,816,342,594,7895,173,186,402,599,208,247,275,3255,242,155,9363,12192,7024,4053,5175,22,230,5303,35,8145,278,379,574,5436,7963,335,71,282,38,124,499,9691,783,5825,4735,976,349,88,164,315,5747,305,925,309,81,292,562,3335,102,9523,258,281,1618,60,8132,57,4645,5132,187,433,242,4573,4675,1345,250,207,2239,851,653,270,360,0,105,468,256,415,375,4797,0,605,50,426,330,24,59,452,346,131,1150,0,728,287,268,101,10,24,220,124,110,21,974,501,107,162,62,69,10,86,9,
PWY-5861,1768,727,5039,2531,1342,2405,8946,1389,954,2919,153,931,1327,95,284,1230,592,1942,1456,660,6211,11875,1009,466,860,1137,417,440,602,11521,480,823,13474,18283,10522,6074,7446,727,2241,7632,74,12207,493,1662,1215,8120,11966,631,195,1664,69,584,980,14537,1680,9168,6815,1775,720,280,508,621,8612,665,1520,613,144,786,5740,4999,392,15157,464,515,2661,340,12182,108,7289,7390,428,759,605,6849,8108,2164,453,366,4102,1574,1055,915,600,182,18080,425,492,414,520,6593,73,852,201,665,466,128,422,1008,601,10495,1516,177,1043,475,608,7390,385,131,21065,3431,237,47,1309,692,660,568,422,1922,1455,143,33,
PWY-5862,591,389,3237,1204,592,1260,5879,717,592,1714,92,416,730,63,121,602,281,1047,768,326,572,7587,174,183,390,583,233,297,295,3056,312,308,8854,11591,6757,3855,4893,323,330,5015,45,7745,268,373,547,5099,7652,321,119,276,49,175,478,9211,734,5472,4478,916,340,203,155,313,5466,352,866,354,90,292,538,3172,128,9009,256,270,1527,133,7823,76,4349,4851,181,416,243,4399,4472,1270,282,198,2105,623,588,1185,258,53,190,332,206,315,235,4089,0,438,52,319,229,14,64,316,244,427,789,0,499,186,168,60,5,32,143,213,68,14,691,342,67,315,119,134,1907,169,15,
PWY-5863,1039,432,4869,1762,789,1443,8664,858,573,2046,88,548,775,56,169,715,348,1180,858,391,3922,10643,596,278,513,657,243,261,355,13194,286,477,13054,16558,10054,5876,6821,423,1294,7393,42,11847,284,960,721,5230,10619,374,117,985,39,350,581,13562,996,5583,6597,1102,424,165,298,372,8386,392,923,357,84,465,3716,4849,230,10266,274,296,2004,198,11777,65,4986,6797,255,445,353,6619,4961,1456,265,212,2425,900,606,525,343,103,11564,258,286,237,303,3810,43,487,114,391,273,73,243,583,351,6669,872,107,609,275,353,4382,220,74,30123,1994,136,26,758,402,377,175,124,639,584,40,9,
PWY-5896,622,561,3593,1555,845,1765,6626,1042,533,2223,62,573,1037,68,152,870,383,1488,1129,469,805,8458,231,249,544,815,283,326,372,4456,318,206,9982,12910,7475,4321,5449,30,304,5652,46,8695,376,518,784,6993,8491,456,94,379,52,165,682,10282,1001,6455,5047,1343,469,115,224,419,6140,408,1214,419,108,385,760,3560,132,10042,342,392,1913,78,8688,73,5586,5410,255,586,325,4887,5582,1594,338,284,2670,1193,933,386,515,0,166,621,369,579,556,6354,0,855,78,596,472,39,88,642,486,198,1656,0,1043,428,396,156,18,39,326,187,166,35,1384,723,159,251,95,107,15,135,13,
PWY-5897,2238,927,5301,2874,1660,2955,9488,1875,1191,3419,188,1179,1665,117,354,1533,743,2397,1865,844,7892,12489,1279,590,1095,1411,519,548,749,18816,599,1011,14294,19261,11027,6441,7803,906,2811,8095,91,12962,606,2129,1547,10377,12533,799,246,2125,84,746,1251,15332,1941,9580,7228,2373,914,339,640,778,9152,839,1858,762,181,987,7187,5307,478,15427,575,653,3009,418,12817,135,8430,7749,546,937,753,7207,8869,2448,559,457,4459,1935,1328,1139,756,224,20538,505,618,521,681,7702,100,1080,253,850,598,167,540,1226,723,11009,1934,248,1345,626,791,8018,493,169,39728,3944,309,62,1676,894,828,727,540,2402,1912,183,44,
PWY-5898,2238,927,5301,2874,1660,2955,9488,1875,1191,3419,188,1179,1665,117,354,1533,743,2397,1865,844,7892,12489,1279,590,1095,1411,519,548,749,18816,599,1011,14294,19261,11027,6441,7803,906,2811,8095,91,12962,606,2129,1547,10377,12533,799,246,2125,84,746,1251,15332,1941,9580,7228,2373,914,339,640,778,9152,839,1858,762,181,987,7187,5307,478,15427,575,653,3009,418,12817,135,8430,7749,546,937,753,7207,8869,2448,559,457,4459,1935,1328,1139,756,224,20538,505,618,521,681,7702,100,1080,253,850,598,167,540,1226,723,11009,1934,248,1345,626,791,8018,493,169,39728,3944,309,62,1676,894,828,727,540,2402,1912,183,44,
PWY-5899,2238,927,5301,2874,1660,2955,9488,1875,1191,3419,188,1179,1665,117,354,1533,743,2397,1865,844,7892,12489,1279,590,1095,1411,519,548,749,18816,599,1011,14294,19261,11027,6441,7803,906,2811,8095,91,12962,606,2129,1547,10377,12533,799,246,2125,84,746,1251,15332,1941,9580,7228,2373,914,339,640,778,9152,839,1858,762,181,987,7187,5307,478,15427,575,653,3009,418,12817,135,8430,7749,546,937,753,7207,8869,2448,559,457,4459,1935,1328,1139,756,224,20538,505,618,521,681,7702,100,1080,253,850,598,167,540,1226,723,11009,1934,248,1345,626,791,8018,493,169,39728,3944,309,62,1676,894,828,727,540,2402,1912,183,44,
PWY-5910,30645,7544,264,6521,7801,13643,438,43940,76323,5776,7806,22801,21111,3287,26951,7104,11466,7270,14333,14062,24770,5403,8209,29715,29071,22694,10198,43177,6064,30510,38629,16936,559,10494,1892,834,3388,37160,65688,349,7939,1211,5644,30605,22585,29270,6449,14138,18136,22573,8998,38224,26173,5371,10300,30501,349,17149,30726,44822,3673,28297,204,18173,5036,16485,5055,14296,26356,517,14575,30885,11003,7098,3658,43366,459,32486,19699,3299,5786,7589,27002,218,21052,4472,17637,3799,27305,57389,40566,24503,6689,6873,24714,2656,4660,17312,6621,17419,26753,13678,6142,25009,14797,17180,16979,6042,7991,31587,77968,63601,60438,29673,38520,16412,23053,6920,42226,14941,13071,3208,71197,8214,19396,109226,90643,139922,6138,76879,158663,
PWY-5913,17819,2205,7952,3559,2009,7763,13625,6582,19482,4772,2975,7126,8100,4338,4014,4126,1567,4696,7555,6546,12227,18249,1308,7840,9416,5008,5993,14766,15350,10136,10311,2224,20524,25479,16373,9154,10591,23159,41341,11648,5084,18435,1626,15693,11902,11624,17902,4353,8725,4184,6599,6619,15313,21212,2043,21385,10385,5194,16163,10031,666,3602,13086,4871,3288,5071,1167,2286,13540,7562,1867,18646,826,4456,5517,12701,19224,8604,11617,10602,4369,3422,7572,10802,17256,3132,11856,996,13113,34049,12085,16272,10186,3253,76295,8269,17156,14433,4792,11065,2587,13045,3084,2477,3617,9963,28579,7377,5211,11516,68642,3872,10079,44291,5864,7509,12703,5520,20648,5921,7501,1742,8724,48560,14953,60553,20017,68098,18044,13485,26167,
PWY-5918,4306,476,5676,2238,506,2455,9747,975,3979,2450,1197,2179,811,631,260,750,2192,2085,1683,905,6169,12667,555,460,2439,2027,1424,573,9979,13444,1899,1857,14686,18747,11710,6560,7723,1239,2458,8328,622,13225,319,2130,3462,7290,12837,2129,462,967,255,678,2287,15205,892,5296,7429,1254,1231,3244,393,2730,9365,937,1150,1802,756,801,6003,5419,698,12584,599,305,2417,553,13720,225,6850,7692,179,1848,1538,7709,4770,1673,6255,569,2241,19636,3920,2996,864,580,73883,853,7350,1084,762,2830,477,1490,628,640,656,554,25763,829,1401,6161,42406,874,4519,21833,954,3665,1669,647,15079,2312,1652,512,2115,28707,1865,6065,2147,4170,6116,3262,953,
PWY-5920,466,383,0,1330,464,1424,0,733,417,1333,36,383,605,77,127,408,266,1291,883,375,449,1806,135,166,447,629,206,249,383,2822,229,121,125,412,46,0,51,98,168,0,88,82,258,325,613,1870,1184,404,95,324,48,101,517,744,805,2514,0,830,332,115,148,335,24,312,302,309,79,239,465,0,77,5150,260,95,1315,44,41,55,3749,616,156,522,298,0,2602,283,341,227,998,13991,86,463,65,37,9398,68,1968,50,50,461,20,170,49,40,62,19,117,71,167,503,32543,41,157,18361,66,376,81,45,1667,222,82,22,105,18279,63,745,779,271,306,651,127,
PWY-5971,633,1018,1592,2962,1093,3701,2653,1883,1031,4109,258,682,1660,228,236,1233,586,3930,1723,763,1043,15396,238,361,2096,1317,579,486,570,4706,504,352,2247,22152,9910,4785,8871,266,396,2171,85,7189,595,555,1259,11326,15919,746,147,794,129,232,1179,16816,1728,12567,2080,1996,636,545,272,894,997,679,1777,672,236,474,1030,3093,289,24430,496,573,4182,122,2172,112,10132,8867,324,986,744,1157,11864,2948,599,488,5054,19126,3037,1521,210,280,87747,535,6911,403,211,2358,115,669,224,197,208,174,35161,237,400,718,43373,210,745,18508,237,693,598,197,2514,458,587,250,468,26689,778,452,491,105,2291,564,40,
PWY-5973,32639,16536,10529,11167,28675,26564,17701,37548,107657,11398,15467,42658,43685,14325,48427,13065,35918,14769,20880,19914,38480,28664,46241,24149,41276,53350,22323,57262,35902,42289,48426,40344,26652,37074,22024,11867,15133,33014,75614,15073,11352,23927,17501,33818,29677,37058,29096,23872,14745,47323,23644,28828,29099,29692,26984,26014,13489,19536,30736,90805,9235,67258,16791,35013,8774,39543,10189,68419,34498,9767,105207,55364,56359,11664,11185,34095,25418,30135,39765,15345,14212,25159,46498,14379,28861,8360,31883,8994,16948,92075,85734,44839,54692,12262,77868,119688,68790,16723,158693,61801,36720,59331,10355,41173,100635,12476,33871,91238,76560,89815,135613,59879,204092,95312,117007,63199,48350,12639,37334,76437,37287,8587,150157,69342,37286,83544,110471,97356,125976,94659,131849,
PWY-5989,470,709,5511,2014,755,2502,9644,1284,762,2968,193,505,1171,170,183,859,431,2735,1174,536,760,13847,178,265,1443,954,421,368,426,3143,379,268,14520,19182,11450,6456,7930,205,308,8223,64,13013,423,416,883,7578,13893,527,108,570,102,175,833,15686,1170,9167,7353,1315,469,418,191,650,9166,499,1221,500,170,358,744,5320,225,17566,371,406,3079,97,13299,84,6919,8028,234,694,550,7515,8743,2102,447,343,3437,15039,2241,1123,149,204,100070,368,5406,296,148,1759,81,488,164,141,147,127,37495,169,287,515,35957,144,527,14753,168,502,433,143,1885,330,428,184,335,23904,573,188,225,38,1203,254,12,
PWY-6071,136,186,3886,521,231,686,6913,306,130,1053,16,163,383,25,47,296,101,525,354,131,131,8220,40,60,154,280,90,103,118,869,92,50,10458,11746,8058,4297,5274,0.8423,76,5896,15,8709,140,114,214,3103,8331,132,23,79,16,37,192,9728,331,3355,5239,401,141,31,52,117,6185,123,475,140,34,103,151,3571,36,6224,107,136,957,18,9521,18,2708,5211,48,219,107,5246,2601,776,121,104,990,633,183,59,104,0,72,156,163,226,124,1263,0,306,0,111,118,17,41,166,198,41,865,0,218,267,114,20,7,0,142,59,0,17,260,288,7,4,3,6,1,2,1,
PWY-6121,33006,18936,10307,11437,29832,24492,17662,32988,105782,11353,13186,45799,42520,14251,49750,15027,38519,15008,21932,20421,42760,28125,49472,21159,41599,58243,18221,56317,36325,38919,46445,39134,26614,37161,21618,11794,15214,40457,67585,15041,10778,23786,17648,30683,30791,37357,28551,24012,14598,49224,29538,26520,32319,29592,28305,22620,13453,18205,30362,90999,9981,71413,16695,41551,9590,44736,10889,74055,32779,9715,109598,54798,58846,11508,11363,28395,24947,26847,39470,15410,19263,15202,47685,14067,25850,7928,32951,9277,14547,90877,91746,51824,40981,10974,69721,41715,22632,18271,173578,73532,36954,69515,13687,42509,35070,12780,30526,85891,29011,96195,161904,56868,216367,107183,47484,69545,55191,14630,36992,83102,44694,7901,157503,77990,40676,89683,131885,115534,149701,98686,147240,
PWY-6122,33819,19174,9698,11626,30447,24889,16576,34077,108942,11284,13478,46302,43116,14014,51197,15003,39262,15098,22116,20622,43321,26753,50307,21674,42886,59493,18420,57433,37145,39590,47786,40257,24978,35147,20361,11073,14362,40981,68011,14114,10822,22331,18109,31186,31370,37742,27206,24641,14727,50433,29176,27314,32620,27911,28988,22096,12625,18688,30559,93628,10137,73072,15665,41567,9531,45126,11087,75523,33529,9120,112281,54286,60456,11479,11298,29213,23475,27464,39690,14556,18993,15599,48915,13240,25329,7814,33536,9357,14589,92469,93991,51522,39545,11240,63686,42707,22049,17695,179299,71847,38275,67915,13524,43958,35777,12646,28337,88597,29624,99164,163812,58751,224146,108453,47950,71042,54240,14090,37569,85489,44228,8021,162915,76792,39610,85446,132397,110441,151288,99112,150280,
PWY-6123,29421,16205,9045,9941,26936,21919,15390,32418,99920,9667,11508,37345,39499,12590,46132,12999,33160,13080,18817,17804,36899,24351,44418,20276,37227,51644,16218,51935,31988,33525,44090,35127,23187,32208,18934,10337,13136,35552,63153,13112,9424,20835,15812,28205,27100,33229,24545,20421,13021,45359,24856,25965,28219,25686,25897,20848,11723,16991,26914,84868,8576,64737,14648,34671,7987,36284,9602,64842,28399,8516,100896,47166,54496,9933,9632,27572,21888,25998,34152,13246,16346,13449,43631,12339,23685,6824,29242,7993,13754,75339,82843,43618,35461,10354,64999,45605,22259,15879,157632,58346,35154,55406,11126,39302,37970,11943,28731,80676,30690,88529,121735,55761,199472,83884,49478,62159,45804,11776,35708,75195,35375,6882,143505,58249,33977,87040,103113,105457,121367,87829,136916,
PWY-6125,29016,12187,9773,10150,30155,17859,16687,48655,122119,9365,11174,36934,28968,8295,55309,10461,33487,11313,17639,17981,32202,25422,49452,29398,42783,54299,11794,64622,23680,40208,55579,37237,25123,36330,20428,11497,14357,34747,59124,14231,9160,23132,17224,33484,26695,40320,26006,21703,16369,54310,18163,40373,28189,28479,28812,31070,12727,21349,30934,97415,9072,72223,16268,29043,6662,29610,10034,69646,30075,9463,112710,50036,61811,9149,8592,42196,23582,36676,29576,14380,11597,13122,51031,13324,31003,6896,22589,6032,23483,72349,76494,36414,29373,10192,68099,52791,19249,15052,144191,41841,36601,42326,9260,38536,45504,13818,29708,77629,35566,83109,113807,62375,185840,64826,59708,56685,39913,9667,39953,70414,29494,6474,137571,46365,30878,113389,113648,155419,41556,110294,197605,
PWY-6126,54251,19978,11935,12504,30990,32759,20295,65819,137181,13433,17958,49101,51179,15744,55458,18086,37924,17696,28808,26972,53195,31878,49953,45559,53000,58492,26157,75231,33324,49471,65795,41924,30578,43686,24945,13924,17273,67934,117338,17281,16818,28113,18429,53613,42720,50239,32293,28206,29672,54539,29086,59329,48403,34715,28895,51365,15454,27063,51995,102100,10122,74733,19753,42621,11424,43131,11260,72673,46723,11479,110359,58730,59620,15924,12277,70797,28890,49923,46511,17461,19226,23541,55718,16294,41789,10819,42451,9957,42129,89255,100201,58468,53896,15045,80585,79869,41722,32312,187108,71307,48721,68083,14822,48789,72799,27399,35993,102020,54623,108306,135139,88982,238625,92301,108893,74283,60128,16945,56895,90614,44153,9777,176273,63443,48734,186434,145562,221677,100286,121095,208645,
PWY-6147,13972,7520,7192,4774,4660,10088,12215,23055,18234,6103,5586,22103,6596,6786,8921,6150,10625,7303,9609,8356,15340,16849,7296,8161,13675,9602,8197,13593,9395,25804,8618,6085,18402,23972,14802,8262,9672,11355,22230,10438,4361,16667,2760,14236,14438,18431,16703,8621,6175,7001,15022,5626,12680,19321,3137,11203,9308,11805,17205,9253,2713,10020,11811,16316,5028,17975,2425,13896,16049,6830,8961,20400,3164,5362,5736,7038,17389,9096,18770,9691,8657,5519,9256,9773,14520,3495,13674,3180,5186,28155,27328,23767,20289,2771,70515,6000,10341,11941,14676,37682,7971,34058,5824,13381,10295,7149,24416,8920,4727,12316,63211,23061,29189,35546,37649,12920,24529,8974,21762,11243,20619,2884,41291,37100,20492,36488,61538,42954,79476,32803,46902,
PWY-6151,29960,15273,8846,9134,25415,22668,14986,44944,98564,9276,12411,34360,40796,11056,45473,11942,30652,12286,20393,19153,38887,23245,42103,24715,39447,47270,16092,51920,22445,35719,44220,33118,22569,31689,18487,10209,12724,48572,67779,12771,11020,20574,14563,36869,26240,37138,23369,19213,20249,44938,21880,40787,32676,25256,23874,18184,11413,17236,35768,79624,8088,60364,14480,33157,7488,32716,8753,59998,29332,8411,94588,43748,50835,11153,8291,48150,21400,28096,31383,12852,14571,13319,44417,12065,18415,6722,25504,7379,12443,64736,75039,40104,36987,10176,73178,53962,22966,21977,147724,55408,34176,51842,11140,36601,44738,18025,31447,78772,35675,83846,95689,56038,185390,71263,56694,58320,44596,11741,39967,71063,32551,6387,133891,43738,32865,98479,120415,112653,87989,81209,143316,
PWY-6163,17209,11975,7768,5990,5362,18191,13382,4775,19881,7306,9778,20671,28960,13201,4164,9940,12499,10068,12907,10968,29259,19922,7197,4418,15706,13660,16156,9144,31347,33641,8021,13473,20142,25874,15962,9107,10609,18188,34064,11438,7319,18371,4443,14122,16875,12891,19765,11106,5604,5046,18729,3644,17068,21929,3714,11637,10222,4846,12885,13378,3084,12586,12997,22130,5799,24441,3304,14504,18152,7526,8873,25983,3819,7650,8288,7432,18705,4188,25825,11077,12783,19701,9428,10587,14094,5867,24134,6070,5167,49612,25056,33112,42801,5662,76860,80284,60252,12275,18496,44964,1984,40201,6968,5330,67928,6402,29946,24077,50242,17688,75291,3183,23369,72050,76894,14433,23977,8041,21018,11567,21025,4868,29135,62490,20920,58516,33828,63554,132699,29279,9490,
PWY-6165,38,101,0,59,10,139,0,64,141,95,12,12,0,9,34,35,112,168,120,70,105,80,31,21,87,0,78,18,149,86,98,49,0,29,0,0,0,7,24,0,13,0,9,53,11,96,119,29,0,34,19,29,168,33,0,13,0,10,66,32,59,51,0,34,31,159,32,114,98,0,30,0,51,0,125,0,0,11,103,0,56,10,80,0,0,34,0,31,0,0,295,55,58,0,29,36,75,28,60,181,0,73,0,0,48,15,26,68,28,34,60,0,50,29,69,0,0,0,112,0,0,0,299,49,0,12,3,5,8,2,3,
PWY-6182,19,107,0,29,0,53,0,0,0,48,0,0,0,0,0,0,0,134,0,36,0,0,0,0,50,0,0,0,0,36,0,14,0,0,0,0,0,0,0,0,0,0,15,40,20,0,0,32,0,53,0,0,0,0,210,0,0,0,18,0,10,0,0,29,0,0,0,0,87,0,0,1027.8674,0,0,45,0,0,0,130,0,0,0,41,0,0,0,0,0,0,196,1,1,1,1,2141,1,39,1,1,1,1,1,1,1,1,1,866,1,1,1,457,1,1,146,1,1,1,1,3,1,1,1,1,289,1,14,166,10,0.9905,101,11,
PWY-6185,21,121,0,32,0,61,0,0,0,40,0,0,0,0,0,0,0,141,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,54,0,0,0,0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2554,0,0,50,0,0,0,139,0,0,0,29,0,0,0,0,0,0,128,1,1,1,1,2752,1,25,1,1,1,1,1,1,1,1,1,1125,1,1,1,366,1,1,93,1,1,1,1,2,1,1,1,1,206,1,19,144,13,0,98,11,
PWY-621,45621,13506,10209,10646,35596,26050,17457,42234,150785,10283,14732,44519,34213,10688,61193,13933,42639,14072,24307,21524,38886,25764,60516,41665,49562,65353,18688,78109,32244,22755,71098,46279,26249,36355,21401,11889,14930,59760,83119,14904,11527,23853,20527,39018,32742,39183,26278,26682,25135,62499,16731,57784,38130,29252,33750,43288,13320,16500,37771,117356,11224,84883,16782,43008,9616,42676,12051,86220,36087,9770,136564,57597,73622,11025,10454,65375,24589,45799,33885,15120,11422,16664,59390,13895,34848,7517,34825,8454,39048,95670,96835,52158,42623,14101,55155,73730,23131,24491,183206,73338,43982,69440,13487,43272,57946,21161,29999,101917,49202,106559,147165,70826,229096,78374,34097,74794,56007,13332,49858,90483,43605,9182,167042,44457,42129,145888,162395,213805,103589,97134,260146,
PWY-6263,4054,1257,0,902,706,2434,0,990,4524,890,1133,5239,1552,2752,560,1743,1686,1488,1640,2311,5312,1052,575,1222,2697,3526,1934,1856,8488,2638,2173,1722,66,527,26,0,77,2636,5070,0,1221,91,865,3126,4256,1479,1487,2378,1081,564,4429,901,3765,447,854,1016,41,1115,2998,4117,525,3534,14,3443,756,3310,891,2453,2530,50,997,2504,812,818,889,990,0,1260,4398,165,3035,1817,2090,0,1057,570,6108,953,407,2963,5537,9300,7316,510,900,303,4204,1589,962,5247,156,9292,976,1145,939,790,604,1024,1268,2293,3690,117,3307,3131,1845,867,2068,1083,866,541,3255,583,3333,9531,5781,26006,3779,38885,3515,20297,8724,
PWY-6269,13778,5783,1762,3277,1260,10342,3394,20962,13285,5206,4897,12328,5562,3596,7373,2641,7129,5398,5636,6963,11178,10564,1739,6529,13308,5085,6931,7758,17657,15655,7173,5945,4478,13741,3018,2313,5208,5687,12939,2883,2263,4176,1407,11383,13551,16414,10632,6796,3643,3770,6707,4779,8927,9078,1146,7945,2945,10333,11603,8418,1301,6306,2438,8066,2358,7804,1633,5107,13567,1602,2449,17318,2143,1669,4922,5426,1791,7098,18589,5170,3746,4873,6708,3005,9804,1931,14770,2787,2610,22624,23155,17608,5752,2238,55802,2682,7402,5613,4208,14611,7393,13219,2178,12877,8661,4155,20149,3154,2889,6485,49902,22879,25825,29482,34439,4111,8576,3077,10215,4604,5995,1189,36797,29246,7418,14245,20097,14505,64203,27979,18561,
PWY-6277,33819,19174,9698,11626,30447,24889,16576,34077,108942,11284,13478,46302,43116,14014,51197,15003,39262,15098,22116,20622,43321,26753,50307,21674,42886,59493,18420,57433,37145,39590,47786,40257,24978,35147,20361,11073,14362,40981,68011,14114,10822,22331,18109,31186,31370,37742,27206,24641,14727,50433,29176,27314,32620,27911,28988,22096,12625,18688,30559,93628,10137,73072,15665,41567,9531,45126,11087,75523,33529,9120,112281,54286,60456,11479,11298,29213,23475,27464,39690,14556,18993,15599,48915,13240,25329,7814,33536,9357,14589,92469,93991,51522,39545,11240,63686,42707,22049,17695,179299,71847,38275,67915,13524,43958,35777,12646,28337,88597,29624,99164,163812,58751,224146,108453,47950,71042,54240,14090,37569,85489,44228,8021,162915,76792,39610,85446,132397,110441,151288,99112,150280,
PWY-6282,476,719,5689,2073,764,2559,9957,1328,770,3043,195,512,1193,172,185,867,437,2770,1186,542,770,14393,180,268,1463,966,426,373,432,3223,384,271,14987,20137,11844,6667,8315,208,312,8489,65,13429,429,421,895,8123,14543,532,109,576,104,177,842,16306,1199,9268,7593,1361,474,424,194,657,9448,505,1233,507,172,363,755,5490,228,18609,375,411,3119,99,13714,85,7155,8414,236,705,558,7761,8699,2144,453,346,3483,15651,2269,1126,150,206,101478,391,5646,296,150,1759,83,489,164,144,148,127,38959,171,291,520,36954,152,534,15170,169,504,434,143,1907,332,429,185,338,24345,574,182,220,36,1176,246,12,
PWY-6317,48100,17471,8610,9387,26739,26205,14739,60204,123119,10393,13186,40502,48161,10524,50782,14036,32804,14058,23913,22515,42505,23283,44759,42753,44817,50915,19360,70257,26999,26297,60937,34540,22161,31756,17925,9995,12720,61641,111375,12585,12901,20086,15318,45819,35637,41929,23597,22978,26992,49144,22685,55801,41339,25051,25347,45048,11258,23759,46291,92268,8582,66100,14148,36832,9294,36124,9706,64698,38437,8224,101299,43927,54966,12408,9301,64622,20719,47444,37808,12783,15377,12816,49262,11745,33915,7461,34459,8285,38318,78364,87332,51724,38072,11911,59090,53196,26745,26914,152289,63318,39829,59688,13142,40835,45148,22741,30337,81615,35968,91013,122153,72541,196898,90668,59408,63095,52371,14288,50751,75751,38979,7889,149458,59307,41257,158071,151317,175464,92523,101979,222255,
PWY-6353,6264,3881,10759,5081,3767,9747,18167,2866,8409,6975,3691,15245,5503,1105,3489,3941,6511,6618,8382,4743,11411,26855,1935,2175,10335,6461,6469,5314,6356,10477,4526,5204,27381,37295,22390,12450,15038,2976,4166,15533,701,25055,3201,3430,7171,25169,27516,7984,1708,3982,3155,938,6088,30144,3524,21816,13850,5176,3011,7729,1919,6889,17698,3082,5127,15901,1673,10467,10451,10272,2100,38512,1875,2744,6836,632,26032,1151,21074,15223,1593,5190,6701,14600,26213,5910,7575,2805,10659,46957,23276,18705,5883,3328,44911,2299,17974,3332,4103,20384,1492,17069,2059,2636,3802,1703,23996,3178,4029,6853,91116,3345,13800,77108,5014,5398,7160,2366,10994,3882,16658,3474,19819,57195,6924,11606,10751,18441,45203,13344,4666,
PWY-6383,0,6,0,21,4,0,0,0,0,8,0,0,0,0,0,0,0,42,11,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,10,0,0.58,0,0.58,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,2,0,0,0,0,0,83,0,0,0,0,0,0,15,0,0.8599,0,0,0,0,5,0,0,5,10,9,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,3,9,5,24,0,0,0,0,0,0,9,0,0,35,27,13,0,29,3,
