#OTU ID,Vil1.03B.DTT33,Vil1.05B.DTT57,Lyz2.07B.DTT281.S123,Vil1.010B.DTT117,Itg.10.DTT455.S49,Lyz2.02B.DTT221.S61,Itg.10.DTT456.S50,Lyz2.06B.DTT269.S111,Lyz2.03B.DTT232.S72,Vil1.09B.DTT105,Itg.20.DTT504.S99,Itg.20.DTT505.S100,Vil1.04B.DTT43,Itg.24.DTT529.S24,Vil1.07B.DTT79,Itg.18.DTT492.S87,Vil1.014B.DTT164,Lyz2.01B.DTT207.S47,Itg.26.DTT541.S37,Itg.02.DTT409.S1,Itg.22.DTT516.S11,Lyz2.04B.DTT243.S84,Itg.06.DTT433.S26,Itg.02.DTT407.S99,Lyz2.08B.DTT291.S133,Itg.24.DTT527.S22,Itg.26.DTT539.S35,Vil1.09B.DTT104,Vil1.02B.DTT21,Vil1.03B.DTT32,Itg.22.DTT517.S12,Vil1.02B.DTT20,Lyz2.04B.DTT244.S85,Vil1.06B.DTT67,Vil1.04B.DTT44,Itg.24.DTT528.S23,Itg.08.DTT444.S37,Itg.12.DTT467.S61,Itg.16.DTT480.S75,Lyz2.02B.DTT219.S59,Itg.12.DTT468.S62,Vil1.04B.DTT45,Lyz2.03B.DTT233.S73,Itg.18.DTT491.S86,Lyz2.07B.DTT280.S122,Itg.06.DTT431.S24,Vil1.07B.DTT81,Lyz2.05B.DTT255.S96,Lyz2.01B.DTT208.S48,Itg.02.DTT408.S100,Lyz2.07B.DTT279.S121,Vil1.013B.DTT152,Vil1.05B.DTT55,Itg.18.DTT493.S88,Vil1.013B.DTT153,Vil1.01B.DTT08,Lyz2.05B.DTT256.S97,Itg.04.DTT421.S13,Vil1.014B.DTT165,Lyz2.08B.DTT292.S134,Vil1.06B.DTT69,Vil1.08B.DTT92,Itg.10.DTT457.S51,Lyz2.06B.DTT267.S108,Itg.16.DTT479.S73,Lyz2.05B.DTT257.S98,Vil1.08B.DTT93,Itg.20.DTT503.S98,Itg.22.DTT515.S10,Vil1.013B.DTT151,Itg.16.DTT481.S76,Vil1.02B.DTT19,Itg.12.DTT469.S63,Itg.08.DTT443.S36,Lyz2.04B.DTT245.S86,Vil1.010B.DTT116,Itg.04.DTT420.S12,Lyz2.02B.DTT220.S60,Lyz2.08B.DTT293.S135,Vil1.07B.DTT80,Vil1.010B.DTT115,Vil1.08B.DTT91,Vil1.014B.DTT163,Vil1.05B.DTT56,Lyz2.01B.DTT209.S49,Vil1.09B.DTT103,Vil1.01B.DTT09,Lyz2.06B.DTT268.S109,Vil1.06B.DTT68,Lyz2.03B.DTT231.S71,Itg.06.DTT432.S25,Itg.08.DTT445.S38,Itg.26.DTT540.S36,Itg.04.DTT419.S11,LYZdtt351,LYZdtt364,SLCdtt050,SLCdtt110,SLCdtt075,SLCdtt019,SLCdtt002,LYZdtt328,SLCdtt021,SLCdtt111,SLCdtt074,LYZdtt304,LYZdtt317,LYZdtt305,LYZdtt329,SLCdtt092,SLCdtt020,SLCdtt128,LYZdtt341,SLCdtt051,LYZdtt340,LYZdtt363,LYZdtt365,LYZdtt315,SLCdtt069,SLCdtt129,SLCdtt109,LYZdtt352,LYZdtt353,LYZdtt316,SLCdtt093,SLCdtt001,LYZdtt303,SLCdtt068,LYZdtt339,SLCdtt003,LYZdtt327,SLCdtt067,SLCdtt163,SLCdtt164,SLCdtt145,SLCdtt146,SLCdtt165,SLCdtt147,taxonomy
ARO-PWY,11656,14464,19179,25977,32499,22799,29283,18244,32146,25625,32429,41645,15238,49543,16884,48973,28730,33214,56761,34154,24247,34050,25608,23889,17748,39933,18804,25714,20224,29531,32954,8159,22600,15282,22537,37707,45109,33372,59579,42286,36477,31114,14272,31506,11026,14191,17001,16730,56050,20025,27113,17365,25566,48746,20450,7667,46653,34591,26009,15018,28376,20893,15282,42154,49902,49715,21994,24903,25429,19540,50538,7842,26817,21944,8198,29465,17505,37924,36512,13335,19640,21914,23664,24436,38398,25797,12182,26496,22035,18291,34357,25683,34179,22360,50976,113621,30173,26301,12524,6531,42834,101469,11397,23229,54706,85719,94746,52775,102645,27169,17647,26031,145474,25240,60716,74994,140961,61199,29878,12251,18897,53346,55567,68208,38471,198569,110187,14220,992967,29549,151932,11632,78150,120766,59686,33928,75983,68392,
ASPASN-PWY,15034,13781,16444,23514,41375,18601,31535,14508,38748,23317,27659,29512,14746,43511,15951,38450,24099,29816,47692,34119,20112,47072,40236,23450,23466,34520,22164,23308,21139,25859,28856,9601,21520,14440,21938,31982,45339,43082,50312,37321,36125,27193,15338,36420,10432,27463,15937,16940,40197,21736,23595,21503,24193,40875,28975,7911,39047,51803,24753,15754,26969,19170,18200,34266,35704,43498,20394,40990,40741,30350,43385,9457,27288,22150,9650,27540,19356,33423,36894,12652,18719,20796,23138,23013,26516,24878,13809,20677,20953,24976,39882,19490,28989,23453,78036,80888,26218,21748,15442,9889,37404,85494,10264,20250,58405,84638,113041,67774,90641,29356,14165,22940,140915,22515,56753,63798,75930,56183,27236,18856,23893,75865,67780,98806,39633,172007,106076,13492,526740,25756,127091,17468,79503,81826,45782,21783,96740,68243,
AST-PWY,237,11874,86,2878,435,19,0,140,99,11636,34,0.5,3168,0,14182,61,2732,3759,0.75,240,0,986,27,693,700,278,134,8333,283,132,0.75,127,0.75,12765,142,45,39,97,231,78,0,422,28,63,194,96,13216,1083,0,357,3653,3154,21486,0.75,3647,27,1,49,1229,219,22393,13401,0,97,590,41,15081,442,221,2155,96,417,0.5,4622,0,8441,0,1,338,10401,15679,18355,2222,18636,22,17891,115,0.5,17046,696,0.75,1,20,983,14,13,54,34,31,20,3714,395,23,33,92,193,6,7,26,28,26,40,331,43,35,13,14,1987,67,19,33,4,5,8,78,74749,242,29,195314,344,14858,53,2502,4,1616,1,4,5,
BIOTIN-BIOSYNTHESIS-PWY,768,11297,660,6401,1940,586,274,712,1119,15005,272,379,5958,1016,14114,388,6477,8266,769,1659,276,4049,1266,2800,2664,1250,802,12275,880,614,657,444,369,12766,934,670,917,1756,1175,1546,903,1689,354,788,705,1176,13113,3139,369,1781,9020,9700,21369,678,12072,140,213,1340,4123,799,21930,15034,225,1275,2668,496,16087,1774,2252,12766,781,1406,617,10221,317,13574,425,589,1191,10483,16204,18385,7192,19065,507,19872,417,447,17331,2329,931,469,466,4330,855,429,1169,701,602,463,16101,4268,596,659,1704,7259,581,673,1195,430,590,893,5105,1218,648,530,668,19011,1459,647,809,801,464,1009,1484,181062,9873,644,645510,3698,66794,1272,20510,596,13932,113,3951,2411,
BRANCHED-CHAIN-AA-SYN-PWY,12222,14890,20440,25252,37630,25057,31980,18966,37189,25475,35421,47215,16309,49822,17097,52029,28949,35274,56959,34812,24629,41405,39045,22520,21536,40559,18134,24464,22040,30470,33807,9015,23237,15495,24317,38043,48116,37201,63753,46131,39069,32735,16266,35342,12159,22964,17521,14222,56144,19834,27878,22048,25927,53287,26886,9074,46373,48009,26865,17251,29314,21301,18284,40649,55525,48649,22649,34400,28464,26405,54533,8280,28996,23086,9049,29319,20453,41357,40831,13698,19709,22282,25806,25055,40087,25027,15253,26299,22696,23951,43330,28680,34320,24642,71015,121441,32924,27395,15545,8445,45556,112533,12692,24696,63418,102828,121363,68459,108573,33012,19194,28830,168108,27950,70473,82824,157388,64016,34862,17181,19049,73233,74134,96089,47188,179185,128168,16103,1035680,36431,171370,15450,78067,118833,60389,35691,70729,69395,
CALVIN-PWY,18107,16846,21709,31113,53521,28393,41329,22003,47698,30545,42706,52102,19590,61444,19539,60554,35566,41858,66573,46707,29588,59539,48849,31597,30799,50458,26882,31133,26475,35232,39747,11690,28932,17720,29083,47921,56283,48558,73108,53334,47895,34817,19752,41090,13313,31433,19813,20397,63178,27699,32275,36261,29637,58896,43057,10365,55651,64549,34354,19855,33360,25016,24316,47779,62367,59157,26433,47972,44429,37088,58998,14156,35948,29319,12420,35556,26003,47225,45662,15563,23072,25535,32502,28509,44608,30550,17119,29633,25981,35382,50231,31996,41520,30593,106580,137993,37253,31689,19744,11224,51637,125812,14255,29066,77460,122857,165591,98387,124693,40868,21320,32600,186879,31127,80106,94528,159647,83400,36897,22639,31727,104406,97113,149659,56492,172028,149298,17687,999744,43279,189731,21418,108813,136727,76734,40142,108247,77149,
CATECHOL-ORTHO-CLEAVAGE-PWY,0,0,0,0,103,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,431,0,24,192,66,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,10,87,9,0,0,0,0,18,62,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,75,46,0,0,180,0,179,0,0,0,0,0,0,0,0,266,0,0,0,0,0,0,175,0,0,0,48,1,1,2,1,1,1,230,48,1,1,2,1,1,1,1,1,1,1,16,2,2,1,1,36,2,1,1,1,1,1,2,3911,1,1,22809,12,2037,1,3535,1,1663,0,3,1,
CENTFERM-PWY,905,169,407,4417,1624,105,308,318,265,3131,183,189,3436,244,53,445,4057,7610,344,582,63,3339,302,1682,1674,715,456,4174,605,764,128,297,36,158,842,144,793,1046,820,417,583,1185,103,850,485,369,569,2257,0,923,5138,6329,116,884,5365,71,93,515,2746,546,832,2637,286,238,2205,152,2208,1613,601,2981,537,1047,503,5011,0,4780,238,193,724,481,500,289,4761,1030,64,2053,269,64,766,1828,310,409,220,2373,505,491,735,517,418,284,6734,17927,256,533,1574,4377,272,303,1270,412,425,540,8559,592,2280,349,455,13648,923,242,433,219,234,332,1128,673,5740,388,2906,7926,7223,812,24287,547,12131,103,830,322,
COA-PWY,16612,16339,17566,26118,53470,21843,34842,18413,41719,28030,29988,43704,16476,46549,18896,44583,30119,31556,53710,43838,21038,60134,66691,26376,31887,37392,22625,26912,23801,26416,30562,9952,21921,17128,24278,33866,47353,45653,57098,40238,37853,29847,17254,38014,11141,51579,19231,16717,42976,23793,27640,23628,28645,50018,30706,8479,38502,75659,30127,18110,32071,22814,25424,35859,62196,45102,24422,52868,46733,28632,50351,12484,30559,26161,10833,31093,22566,33949,41714,15038,22221,24725,28250,27437,31961,28976,16287,21886,24905,39382,46773,28642,30613,25680,213339,71919,22812,22776,18072,14008,34145,75327,9976,20715,58955,89619,178164,142673,86179,33089,14280,20285,157983,19897,53325,59294,109807,62637,23140,26284,33324,164252,115284,211974,37723,126477,104375,12024,701099,35210,149763,28399,115383,121028,89509,39112,123359,88200,
COBALSYN-PWY,5701,12554,11069,13112,19198,16080,16700,12405,22265,18074,20933,30200,8592,33128,14411,31828,18138,22778,38681,20073,15642,24347,16112,12798,10545,25743,9415,15438,12526,16198,21247,4443,15831,13058,11130,25376,24508,14501,37126,28788,19838,20761,9789,13660,6113,6885,14497,6102,39116,10558,17359,14754,21843,27280,16817,4769,27222,19574,14755,9972,24330,16703,10211,27663,34896,29175,17727,15174,13051,15713,31488,4658,14760,14481,6091,17341,9718,26201,26341,11382,16065,18677,15212,20816,26722,18911,7470,18113,18867,16293,20074,16777,22267,12241,26617,80220,19202,19268,7760,3030,27539,73232,7572,16855,32258,65679,87508,38893,63839,20533,12519,15687,108471,15140,43878,46684,114430,37697,20752,5433,9025,31026,38389,63385,28625,142512,71610,8602,792451,13585,102884,7010,39941,92546,32196,27154,29130,30523,
CODH-PWY,1149,141,2731,2299,2581,3770,1866,4546,1405,2371,1830,14208,623,3982,0,6115,4489,1904,7131,10083,1149,1696,9370,2962,2548,2895,407,1573,3642,1856,3096,517,473,0,1746,1512,2459,1023,5705,4101,1563,4387,2181,1257,674,3758,555,707,2648,1005,2739,848,10,10522,1538,826,762,5091,5722,1722,444,166,4858,1001,21533,5204,468,1538,2782,1683,9054,300,3653,1388,671,1305,899,1181,5414,31,119,4,3948,293,5951,225,3164,839,151,4879,3524,9305,790,1170,1013,4823,627,658,218,425,1355,4019,417,802,607,19382,37656,6669,13708,480,561,863,39297,468,3434,2073,79685,1564,696,1019,821,2076,35628,3227,1015,457,31326,430,1175,1351,2171,362,2382,895,1051,340,2126,1258,
COLANSYN-PWY,6128,13618,6640,13383,15885,10080,10443,7120,12975,19077,9767,16491,8274,15334,15726,16341,13521,14779,19253,17361,6174,17365,17182,11019,10537,12298,9600,16460,7251,10222,10785,3784,5124,14190,10573,9457,20329,18813,22747,15926,15297,9174,6002,14741,3908,12619,15702,7749,10066,7554,13471,14699,23798,22480,20420,3564,11191,20845,13091,5999,26270,17624,8243,10557,21573,15783,19116,20277,21482,19554,19577,4318,13155,13714,3519,18558,6857,9062,9784,12421,18154,20432,14067,22474,13139,22827,7242,6029,20361,10583,15997,13208,9189,10413,27907,22573,9112,7520,5074,4389,19468,40313,4834,7241,17844,38685,38417,23258,45483,7275,6204,8188,47962,8604,19217,26926,51778,33148,12594,9345,9082,25144,27779,35091,16079,152558,64645,5610,528405,11238,66864,7451,29963,9683,6832,6361,34271,25440,
COMPLETE-ARO-PWY,12097,15297,19710,27054,33694,23464,30481,18802,33287,26888,33415,42937,15829,51214,17807,50379,29788,34244,58709,35308,25077,35181,27756,24762,18263,41172,19463,26950,20888,30564,34058,8440,23460,16117,23306,38876,46674,34572,61424,43310,37748,32238,14768,32724,11374,15702,17958,17424,58076,20857,28061,18364,26965,50281,21787,7956,48518,36804,26936,15570,29988,22017,15790,43613,51707,51662,23176,26029,26293,20875,52200,8354,27745,22737,8498,30823,18228,39050,37913,14093,20702,23113,24423,25813,39585,27152,12600,27458,23284,19087,35534,26350,35397,23096,55329,119787,31497,27671,13157,6979,44090,106366,11933,24365,57392,89686,100912,56876,107591,28431,18526,27201,152323,26287,63736,78881,148386,63031,31170,13135,19753,57688,59569,73624,39921,207340,115092,14936,1045283,30762,158687,12510,81018,125640,62031,35494,79605,71401,
DAPLYSINESYN-PWY,12788,14764,18173,23503,42758,20391,32603,17441,37029,24707,31020,38986,15504,45472,17010,46257,27938,30235,50731,35858,22339,45378,43798,23334,23555,38668,18026,24073,21839,26741,30891,8705,21377,15398,22755,34330,45894,37394,58909,39776,37659,29659,15196,36300,11721,25789,17219,14120,48866,21067,26572,21754,25788,49857,24851,8339,40259,53083,26774,17330,28950,20398,20303,38696,51041,45107,21884,34666,27369,19563,49543,9030,28698,22732,9174,28241,20254,37073,39965,13548,19899,22189,25400,24688,31954,25697,14283,23938,22454,29195,42402,25613,30382,24254,82525,90282,27276,23540,15271,8020,44135,89395,10507,21310,57318,90391,130434,77046,88278,31177,16003,23694,150154,22182,60767,59624,87641,63387,27984,14369,19537,82309,79156,111603,41471,170003,102669,12984,982975,29636,173557,15456,86953,145025,82161,43487,87720,74329,
DENITRIFICATION-PWY,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,11,6,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0.6577,2,0,2,0,0,0.8163,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,6,0,0,0,33,0,11,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,21,0,0,0,10,5,0.6,0,0,0,0.8933,0,0,0,0,0,97,0.6518,20,0,0,0,0,3,0,0,5,0.6515,479,0,0,0,0,0.6548,6,4,0,118,0,233,0.435,52,0,627,2,120,0,1,1,
DENOVOPURINE2-PWY,16432,16353,12751,20944,47420,18094,27879,16045,37328,26380,20216,41818,13740,27581,19015,27730,22657,24753,31205,38592,9676,60190,75927,20816,33277,21533,13289,23958,19720,17355,17396,7627,13120,17224,16864,16513,26813,34177,36402,30617,23507,20181,15387,25028,8960,60579,19179,11249,14482,17645,23145,21678,28819,36423,28195,7507,16208,83842,24507,16521,32001,22387,24574,16512,62185,27593,24275,53783,38597,28033,36824,12578,22484,23673,9092,27784,20609,23846,36143,14899,22296,24888,25156,27182,22086,28611,16411,8725,24625,43628,45138,26465,13515,21675,193300,25277,10507,10082,15706,12469,30634,59008,6444,11311,45629,77285,160261,128468,61163,27025,7510,11906,124951,9043,39947,30044,99994,59467,17067,23351,26592,146416,105249,192957,31406,63777,85206,7599,251002,32282,143682,25696,122302,52121,78995,17176,93915,67868,
