OTU.ID	GnotobioticExp-FP-188-S51	GnotoExpt-FP569-S85	GnotoExpt-FP617-S313	806rcbc422-S327	806rcbc392-S297	806rcbc423-S424	806rcbc477-S382	GnotobioticExp-FP-199-S63	GnotobioticExp-FP-193-S57	GnotoExpt-FP562-S78	806rcbc481-S386	GnotoExpt-FP552-S67	GnotoExpt-FP610-S306	806rcbc421-S326	GnotoExpt-FP452-S673	806rcbc179-S276	GnotoExpt-FP461-S682	GnotobioticExp-FP-209-S73	GnotoExpt-FP457-S678	806rcbc425-S330	GnotoExpt-FP456-S677	806rcbc175-S272	GnotobioticExp-FP-197-S61	GnotoExpt-FP554-S69	GnotoExpt-FP472-S693	806rcbc394-S299	806rcbc433-S338	GnotoExpt-FP475-S696	GnotobioticExp-FP-207-S71	806rcbc176-S273	806rcbc474-S379	GnotoExpt-FP455-S676	806rcbc432-S337	GnotoExpt-FP539-S54	GnotoExpt-FP558-S74	GnotoExpt-FP616-S312	806rcbc393-S298	GnotoExpt-FP453-S674	GnotoExpt-FP614-S310	GnotobioticExp-FP-196-S60	GnotobioticExp-FP-175-S37	GnotoExpt-FP564-S80	GnotoExpt-FP536-S51	806rcbc466-S371	GnotoExpt-FP469-S690	GnotoExpt-FP555-S71	806rcbc401-S306	806rcbc403-S308	GnotoExpt-FP474-S695	GnotobioticExp-FP-189-S52	GnotoExpt-FP465-S686	806rcbc479-S384	GnotoExpt-FP570-S86	GnotoExpt-FP595-S291	GnotoExpt-FP479-S700	806rcbc472-S377	806rcbc398-S303	806rcbc400-S305	GnotoExpt-FP549-S64	GnotoExpt-FP464-S685	806rcbc434-S339	806rcbc169-S266	GnotoExpt-FP551-S66	806rcbc436-S341	806rcbc423-S328	806rcbc426-S331	GnotoExpt-FP565-S81	GnotoExpt-FP615-S311	806rcbc396-S301	806rcbc480-S385	GnotobioticExp-FP-186-S49	GnotobioticExp-FP-177-S39	GnotoExpt-FP548-S63	GnotoExpt-FP618-S314	806rcbc430-S335	GnotoExpt-FP529-S44	806rcbc469-S374	806rcbc173-S270	GnotoExpt-FP609-S305	GnotoExpt-FP557-S73	806rcbc465-S370	GnotobioticExp-FP-190-S53	GnotobioticExp-FP-201-S65	GnotoExpt-FP561-S77	GnotoExpt-FP602-S298	806rcbc427-S332	GnotoExpt-FP462-S683	GnotobioticExp-FP-198-S62	GnotoExpt-FP608-S304	GnotoExpt-FP540-S55	GnotoExpt-FP466-S687	806rcbc428-S333	GnotobioticExp-FP-208-S72	806rcbc431-S336	806rcbc168-S265	GnotoExpt-FP600-S296	806rcbc171-S268	GnotobioticExp-FP-191-S54	806rcbc464-S369	806rcbc399-S304	GnotoExpt-FP545-S60	GnotoExpt-FP567-S83	806rcbc172-S269	GnotoExpt-FP483-S704	GnotoExpt-FP543-S58	GnotoExpt-FP484-S706	806rcbc438-S343	806rcbc174-S271	GnotoExpt-FP451-S672	GnotobioticExp-FP-187-S50	806rcbc402-S307	GnotoExpt-FP534-S49	GnotoExpt-FP467-S688	806rcbc178-S275	806rcbc390-S295	806rcbc435-S340	GnotoExpt-FP559-S75	GnotobioticExp-FP-206-S70	GnotobioticExp-FP-195-S59	GnotobioticExp-FP-179-S41	GnotoExpt-FP601-S297	GnotoExpt-FP533-S48	806rcbc467-S372	GnotoExpt-FP537-S52	GnotoExpt-FP459-S680	GnotoExpt-FP541-S56	GnotoExpt-FP612-S308	GnotoExpt-FP460-S681	GnotoExpt-FP486-S708	GnotoExpt-FP478-S699	GnotoExpt-FP454-S675	GnotoExpt-FP470-S691	GnotoExpt-FP535-S50	GnotobioticExp-FP-205-S69	GnotoExpt-FP468-S689	GnotoExpt-FP597-S293	GnotoExpt-FP599-S295	GnotoExpt-FP611-S307	806rcbc407-S312	GnotoExpt-FP546-S61	GnotoExpt-FP481-S702	GnotobioticExp-FP-194-S58	GnotobioticExp-FP-181-S44	806rcbc471-S376	GnotoExpt-FP485-S707	GnotobioticExp-FP-204-S68	GnotobioticExp-FP-202-S66	GnotoExpt-FP463-S684	GnotoExpt-FP547-S62	GnotoExpt-FP603-S299	GnotoExpt-FP605-S301	806rcbc429-S334	GnotoExpt-FP458-S679	GnotoExpt-FP480-S701	GnotoExpt-FP538-S53	GnotobioticExp-FP-182-S45	GnotobioticExp-FP-176-S38	GnotobioticExp-FP-210-S74	GnotobioticExp-FP-184-S47	GnotoExpt-FP550-S65	GnotoExpt-FP477-S698	806rcbc404-S309	GnotoExpt-FP563-S79	GnotoExpt-FP531-S46	GnotobioticExp-FP-200-S64	806rcbc397-S302	GnotoExpt-FP607-S303	806rcbc437-S342	GnotoExpt-FP542-S57	GnotoExpt-FP613-S309	GnotoExpt-FP568-S84	806rcbc470-S375	GnotoExpt-FP553-S68	GnotoExpt-FP482-S703	GnotobioticExp-FP-203-S67	806rcbc406-S311	806rcbc170-S267	GnotobioticExp-FP-185-S48	806rcbc473-S378	GnotobioticExp-FP-183-S46	GnotoExpt-FP556-S72	GnotoExpt-FP532-S47	GnotoExpt-FP473-S694	GnotoExpt-FP471-S692	806rcbc468-S373	GnotoExpt-FP566-S82	GnotobioticExp-FP-192-S55	806rcbc177-S274	806rcbc476-S381	GnotobioticExp-FP-180-S43	GnotoExpt-FP604-S300	806rcbc391-S296	GnotoExpt-FP596-S292	GnotoExpt-FP544-S59	806rcbc405-S310	806rcbc424-S329	GnotoExpt-FP606-S302	GnotobioticExp-FP-178-S40	GnotoExpt-FP598-S294	806rcbc395-S300	GnotoExpt-FP560-S76	806rcbc478-S383	GnotobioticExp-FP-372.fastq	GnotobioticExp-FP-319.fastq	GnotobioticExp-FP-384.fastq	GnotobioticExp-FP-314.fastq	GnotobioticExp-FP-301.fastq	GnotobioticExp-FP-315.fastq	GnotobioticExp-FP-369.fastq	GnotobioticExp-FP-377.fastq	GnotobioticExp-FP-304.fastq	GnotobioticExp-FP-313.fastq	GnotobioticExp-FP-375.fastq	GnotobioticExp-FP-317.fastq	GnotobioticExp-FP-306.fastq	GnotobioticExp-FP-386.fastq	GnotobioticExp-FP-305.fastq	GnotobioticExp-FP-366.fastq	GnotobioticExp-FP-371.fastq	GnotobioticExp-FP-365.fastq	GnotobioticExp-FP-302.fastq	GnotobioticExp-FP-380.fastq	GnotobioticExp-FP-393.fastq	GnotobioticExp-FP-321.fastq	GnotobioticExp-FP-391.fastq	GnotobioticExp-FP-394.fastq	GnotobioticExp-FP-363.fastq	GnotobioticExp-FP-303.fastq	GnotobioticExp-FP-385.fastq	GnotobioticExp-FP-307.fastq	GnotobioticExp-FP-381.fastq	GnotobioticExp-FP-312.fastq	GnotobioticExp-FP-309.fastq	GnotobioticExp-FP-318.fastq	GnotobioticExp-FP-370.fastq	GnotobioticExp-FP-383.fastq	GnotobioticExp-FP-367.fastq	GnotobioticExp-FP-378.fastq	GnotobioticExp-FP-310.fastq	GnotobioticExp-FP-322.fastq	GnotobioticExp-FP-373.fastq	GnotobioticExp-FP-364.fastq	GnotobioticExp-FP-382.fastq	GnotobioticExp-FP-387.fastq	GnotobioticExp-FP-388.fastq	GnotobioticExp-FP-368.fastq	GnotobioticExp-FP-361.fastq	GnotobioticExp-FP-389.fastq	GnotobioticExp-FP-311.fastq	GnotobioticExp-FP-379.fastq	GnotobioticExp-FP-308.fastq	GnotobioticExp-FP-392.fastq	GnotobioticExp-FP-323.fastq	GnotobioticExp-FP-316.fastq	GnotobioticExp-FP-396.fastq	GnotobioticExp-FP-374.fastq	GnotobioticExp-FP-324.fastq	GnotobioticExp-FP-320.fastq	GnotobioticExp-FP-390.fastq	GnotobioticExp-FP-362.fastq	GnotobioticExp-FP-376.fastq	GnotobioticExp-FP-395.fastq	taxonomy
k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Adlercreutzia	0	0	0	0	9	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	5	0	0	0	121	14	0	8	0	8	0	3	0	72	15	0	24	2	0	0	0	0	0	0	6	0	39	0	152	0	0	0	0	0	18	0	3	5	0	0	0	0	407	0	0	0	0	0	3	0	10	0	7	0	0	3	0	4	0	0	0	5	0	0	0	0	0	0	0	107	18	0	0	0	0	0	0	2	0	16	71	0	5	2	0	35	0	0	0	0	0	14	107	12	2	0	0	0	0	18	0	73	0	0	0	0	0	0	221	14	0	6	7	0	73	0	0	0	0	4	5	0	0	0	216	0	0	5	4	0	0	0	0	41	325	0	0	0	3	1265	6	4	7	0	0	4	0	0	4	0	0	0	0	3	0	8	4	5	0	0	2	170	154	2	0	0	3	0	0	0	0	4	0	332	5	3	0	7	0	11	0	0	6	0	0	0	0	0	0	9	23	0	0	9	23	5	35	0	2	0	0	4	3	0	0	0	0	0	2	0	3	11	0	0	13	3	0	2	17	0	2	4	0	6	29	0	0	7	32	2	0	4	0	5	8	0	0	0	7	0	15	2	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Harryflintia	11	4	8	0	0	0	0	0	0	13	0	0	10	0	8	0	22	0	5	0	150	0	0	4	0	0	0	0	0	0	0	65	0	2	30	2	0	11	5	2	20	38	0	2	0	9	0	0	0	22	2	0	10	5	0	0	0	0	0	9	0	0	3	0	0	0	12	7	0	0	5	17	0	0	0	0	0	0	2	5	2	0	0	11	5	0	38	0	2	0	37	0	0	0	0	16	0	0	2	0	0	6	0	0	0	0	0	0	8	23	0	0	42	0	0	0	6	0	0	5	2	10	0	0	8	0	0	44	0	0	23	0	0	0	10	7	5	0	0	16	0	0	5	0	0	0	0	12	0	5	8	0	6	0	0	20	14	0	8	0	0	0	3	0	0	0	5	0	0	7	34	3	5	0	0	0	0	6	0	16	34	0	0	0	0	2	0	0	0	5	2	0	0	0	0	0	15	12	4	0	12	0	8	0	0	0	0	0	24	0	0	0	11	0	6	0	4	2	7	8	2	3	0	0	2	0	24	0	0	0	0	2	0	0	0	0	17	0	0	0	22	15	0	0	0	13	19	0	0	3	0	2	0	0	0	4	0	0	0	14	5	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Cuneatibacter	0	0	18	0	7	3	11	0	0	0	9	12	8	0	0	6	0	0	0	0	0	67	0	0	0	30	0	0	0	38	7	0	0	0	0	8	19	0	7	0	0	0	0	2	0	0	35	5	0	0	0	4	0	5	0	4	7	17	0	0	0	13	0	0	0	0	0	7	5	18	0	0	0	0	0	0	3	15	12	0	10	0	0	0	4	0	0	0	12	0	0	0	0	0	45	20	0	0	4	29	0	0	13	0	0	0	0	105	0	0	6	0	0	34	9	0	0	0	0	0	6	5	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	6	0	0	0	0	17	0	0	0	0	0	6	8	0	0	0	0	0	0	0	0	0	0	6	3	0	0	5	14	0	0	13	0	7	0	0	0	8	14	0	11	0	0	0	0	0	4	0	0	0	14	0	3	12	10	0	21	5	9	0	2	35	0	12	0	0	0	4	5	0	0	0	2	9	0	2	0	2	4	0	0	0	0	0	2	0	3	0	0	2	5	8	3	0	3	3	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	3	18	2	0	0	0	0	0	0	0	0	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eisenbergiella	0	52	208	7	24	11	1	148	311	759	1	1448	61	74	176	2	226	375	179	417	413	91	565	395	79	170	145	620	123	158	1	673	1870	907	793	64	18	257	20	17	0	1164	376	1	248	243	1140	32	31	0	46	1	818	105	274	1	19	4	73	140	193	275	455	7	3	2	313	17	6	4	0	0	63	7	400	100	1	197	69	130	1	0	31	216	91	26	91	118	72	104	206	24	62	2918	161	313	74	0	1	75	476	181	18	759	45	414	2	19	164	0	23	172	417	467	17	39	306	98	89	0	69	300	1	44	61	102	8	122	450	818	87	190	132	284	159	67	181	147	2	279	371	99	0	1	124	80	30	120	173	61	107	15	231	807	61	0	0	152	0	121	169	56	326	89	149	4	115	2	110	2	186	1	269	353	315	85	207	0	1	0	373	29	16	153	1	217	0	2	2	0	95	54	67	73	28	75	86	0	86	360	386	1	30	390	12	7	6	12	38	1	7	27	11	1	161	20	63	14	7	5	3	275	68	292	111	63	12	12	115	7	296	93	37	34	1	26	7	1	18	48	54	39	0	21	19	12	27	14	17	457	35	111	454	3	0	7	120	223	0	13	26	1	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella	1	7	3065	2	304	24	1	162	2265	492	1	1805	1246	4	848	7	904	222	992	672	5568	98	3180	37	74	444	197	145	121	169	1	5155	1392	4246	499	2336	833	1134	1013	49	10	662	1030	4	72	26	1983	155	300	19	281	1	236	609	104	8	282	131	765	330	466	83	2153	65	19	55	35	1375	194	1	8	22	492	0	810	972	21	148	2600	590	1	1	75	27	930	32	1219	326	1434	576	657	91	140	1209	60	1757	7	0	1	637	760	30	3	232	38	191	4	62	612	2	90	467	1007	557	129	135	31	139	565	1	935	1629	6	1965	720	17	0	2633	781	129	1387	73	980	238	821	1084	431	926	50	2661	117	739	4	1	165	16	2	367	467	2246	1925	173	1065	234	314	3	8	13	7	1176	50	312	1020	2389	130	169	955	4	50	441	360	1	23	113	577	1385	106	17	1	5	555	70	143	92	1	34	2	1	1	4	1303	177	598	212	563	551	1649	6	457	1513	47	1	5	496	1	1	114	38	566	1	91	47	235	1	151	50	222	285	81	143	126	354	86	1068	18	7	88	159	57	1	507	224	42	2	58	70	250	9	122	399	120	147	2	41	9	282	46	1	221	210	2	13	1362	1	1	71	788	713	91	32	126	56	
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter	0	0	13	0	0	0	0	0	0	0	0	484	192	0	538	0	10	0	318	0	230	0	2	3	0	0	0	0	0	0	0	116	0	2	17	178	0	155	266	0	0	0	0	0	0	0	0	0	0	0	100	0	0	743	0	0	0	0	0	310	0	0	4	0	0	3	0	179	0	0	0	0	0	9	0	0	0	0	451	7	0	0	0	0	454	0	50	0	447	0	35	0	0	0	0	257	0	0	0	0	2	0	0	0	0	15	0	0	339	0	0	16	265	0	0	0	0	0	0	0	495	44	0	0	280	0	11	134	11	0	196	0	0	0	567	582	41	22	0	55	0	0	0	0	0	0	0	171	0	488	412	0	298	0	0	0	0	0	0	3	0	0	89	0	0	0	495	0	0	219	13	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	221	0	703	0	0	0	35	0	22	0	0	0	17	425	0	77	124	79	95	0	8	102	110	6	22	0	14	57	4	40	104	0	0	671	0	0	91	90	0	225	0	7	150	27	0	0	94	3	17	48	101	28	0	0	0	111	92	0	14	0	152	0	103	30	0	154	17	681	0	96	6	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia	0	27	7	0	0	8	1	0	0	1179	10	14	20	0	0	5	0	0	0	0	0	0	0	955	0	0	0	0	0	0	5	0	0	0	97	12	0	0	68	0	0	578	0	25	0	614	0	0	0	0	0	1	115	56	0	13	0	0	0	0	0	0	0	0	0	0	1184	24	0	9	0	0	0	16	0	0	7	0	26	61	22	0	0	799	69	0	0	0	18	9	0	0	0	0	0	18	0	0	36	0	253	450	0	0	0	0	0	0	0	0	0	71	0	0	0	0	1780	0	0	0	13	680	2	0	0	0	25	0	0	0	0	0	0	0	0	31	5	0	0	590	0	0	0	8	0	0	0	0	0	27	16	0	0	0	0	0	0	0	0	11	0	0	405	0	0	0	45	0	0	50	336	36	906	0	0	0	0	0	7	0	716	8	0	0	0	677	0	0	35	0	13	0	43	0	0	0	76	0	39	0	1592	5	0	0	0	244	498	271	0	0	75	411	0	31	125	59	57	0	0	0	503	124	81	0	107	52	0	294	68	163	146	41	133	237	0	4	0	0	63	0	0	0	0	78	114	0	0	8	87	116	200	82	0	74	20	0	0	0	2	0	0	33	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter	0	4	2	0	0	1	15	0	0	0	3	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	0	10	0	0	13	0	0	0	0	6	0	0	1	0	0	0	0	4	2	14	0	5	0	0	0	0	1	0	1	0	0	0	0	9	0	2	0	0	0	4	0	0	5	0	20	2	5	0	0	0	13	0	0	0	16	0	0	0	0	0	0	15	0	0	4	0	1	0	0	0	1	58	0	0	0	0	0	3	0	0	0	0	0	0	0	0	6	1	2	0	0	0	4	0	257	0	0	0	0	0	0	14	2	4	0	0	0	0	0	3	0	9	0	0	0	12	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	12	2	5	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	11	0	3	0	15	0	0	0	16	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
k__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia	1	5006	3103	7873	2	19595	9348	1	1	78730	33540	8144	4887	4199	3	16	1	5	3	14745	1	2	1118	4844	17471	5	5181	6503	0	0	115575	3	1880	6082	20765	739	2	4	2211	9096	0	42068	3	6502	5237	4073	13	1	11748	1	4	37259	47985	1880	175	10045	1	2	1	2	12102	1	8042	2333	1723	13322	10365	736	1	75137	14	0	1	3927	7138	4	44354	1	373	5111	8070	0	0	742	2061	4420	10	4	1101	13788	1	2530	3210	6096	2	7676	2	0	8593	2	30201	3542	1	4817	3	8931	6270	5	3	1	0	10462	4	2	1	11962	2669	0	1	0	1045	11156	4421	6	3	6	4612	2	2300	709	3	6397	1	0	5	695	45650	1775	885	11111	8032	0	0	27095	4095	1	0	1	1	665	6665	2086	3	3438	3	1	1	4	0	32	4365	0	65777	7	0	1	2328	5617	4	2808	84599	11410	4516	3629	1	1680	1	16	50270	0	32096	3821	14560	7556	29875	10268	1	3	16838	0	1231	1	2302	1667	2	2342	22682	0	40820	55	4487	7015	1	2016	70	279	425	337	2	1	8321	663	2	8073	1744	992	6498	1	1	1	605	364	517	599	1277	94	2	403	1698	905	343	3360	352	655	3	113	4	1	7639	8097	4	2	5	584	3021	3	2	2464	7945	994	569	1773	11927	902	3099	4	742	2459	213	3	2	2458	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium] eligens group	0	7	1	0	49	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	1	2	6	10	0	18	0	0	0	0	0	0	0	24	30	0	0	0	0	2	39	515	0	47	37	0	0	0	0	0	0	0	0	0	8	38	0	0	0	0	27	0	0	0	0	24	3	0	0	0	0	34	0	0	0	29	3	0	0	0	0	0	7	0	0	0	21	27	0	0	0	0	0	0	0	0	0	41	7	0	0	26	0	0	0	0	0	10	5	0	0	0	0	28	0	0	0	0	0	0	0	0	33	1	2	16	34	0	0	0	0	0	0	0	0	0	9	11	0	0	0	1	0	0	0	0	0	0	39	0	0	0	42	43	0	0	20	5	0	0	0	0	33	0	0	0	0	1	1	0	0	0	0	0	0	0	0	3	33	36	0	11	0	12	0	6	13	0	0	6	0	0	0	0	0	15	0	0	0	41	0	0	43	0	23	5	23	0	477	70	0	366	2	126	0	158	0	235	0	0	0	9	4	44	5	0	0	88	38	0	58	43	8	615	0	0	908	0	254	0	0	0	59	0	0	7	184	15	5	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Candidatus Soleaferrea	0	3	4	0	2	0	0	0	0	10	0	0	5	0	3	0	0	15	5	0	9	0	3	5	0	11	0	0	0	4	3	0	0	0	27	6	32	0	2	0	0	59	0	0	0	4	20	0	0	0	0	0	75	4	0	0	0	0	0	2	0	2	0	0	0	0	5	3	0	4	0	0	0	0	0	0	4	5	5	9	0	0	0	5	2	0	3	0	3	0	8	0	4	0	0	7	0	0	0	5	0	3	0	0	0	0	0	2	2	0	0	0	16	6	0	0	0	0	0	0	4	10	0	0	0	0	0	6	0	0	0	0	0	0	43	7	3	0	0	4	0	2	0	0	0	9	0	2	0	0	6	0	0	0	0	0	0	4	0	0	0	0	11	0	0	0	7	0	0	3	12	0	2	0	7	0	4	0	0	0	12	0	0	0	0	2	0	0	0	0	0	0	2	0	29	0	21	0	7	72	3	0	16	0	0	0	0	0	4	5	0	0	2	0	0	6	0	6	5	0	0	8	7	0	6	0	9	0	4	0	7	0	0	0	6	0	5	9	0	0	2	5	0	3	7	2	0	0	0	5	0	7	0	0	0	0	0	0	0	2	3	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium	0	13	8	0	0	1	72	0	0	0	5	1	10	0	0	145	0	3	0	1	239	0	0	1	13	0	0	118	0	0	1	0	1	1	7	45	0	0	208	20	0	1	1	9	201	0	12	0	132	0	0	2	3	38	12	21	0	0	0	0	1	0	0	0	0	60	0	79	8	4	0	0	1	22	0	0	3	0	43	9	18	0	0	0	217	0	0	7	106	45	0	0	28	0	0	75	0	0	12	0	241	1	0	63	0	39	0	0	0	0	0	44	0	0	0	1	1	2	0	0	42	106	8	1	0	0	36	0	101	118	0	188	0	0	0	34	2	10	0	104	60	0	0	21	23	0	0	0	1	50	23	0	0	125	1	0	0	1	0	1	24	0	1	1	0	0	92	0	0	129	20	28	1	50	1	0	0	1	1	0	11	4	39	114	2	0	0	0	34	0	10	0	68	1	0	0	71	2	214	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218	0	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Monoglobales;f__Monoglobaceae;g__Monoglobus	13	4	9	0	22	0	0	0	0	9	0	1	23	0	0	22	0	0	0	0	0	0	0	1	104	133	0	260	0	0	0	0	6	3	319	16	42	0	61	1	9	8	1	0	94	1	77	15	163	11	0	0	869	57	40	0	12	9	1	0	0	0	288	0	0	702	1	19	21	0	20	6	1	2	0	1	931	0	52	6	0	1	0	1	31	0	0	1	73	614	0	0	0	0	0	54	0	1	0	49	6	1	0	40	1	111	0	0	0	7	21	6	0	0	33	0	1	0	0	50	58	11	894	1	0	1	1	0	139	49	0	39	1	0	0	97	481	9	30	30	76	0	18	0	118	0	0	0	2	55	66	0	0	184	21	21	7	0	1	24	18	15	136	1	0	15	71	0	1	67	72	0	1	38	0	35	0	27	0	41	5	90	176	21	140	1	1	0	0	15	13	16	45	145	47	32	4827	6	150	194	1	0	1	0	1	39	10	12	0	0	4	19	0	119	37	21	49	1	1	1	30	61	32	0	78	1	0	22	33	39	12	101	13	30	1	1	0	0	7	0	0	0	0	17	2	0	0	1	29	106	52	51	1	14	1	0	0	0	8	0	0	5	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelatoclostridium	3	19	2	52	8	0	1	73	61	95	2	6	2	39	46	1	84	421	31	343	228	8	101	6	0	480	157	0	11	2	3	84	445	726	172	1	352	22	2	5	17	131	10	0	0	4	123	3	0	8	18	1	607	2	0	4	1	1	9	59	297	5	2244	6	26	484	6	2	1	0	16	4	34	1	55	34	3	68	1	2	1	10	12	5	1	4	173	28	0	524	258	2	35	296	6	8	3	5	1	456	824	5	52	0	75	0	4	8	43	4	0	13	501	51	5	191	3	21	28	114	1	34	0	26	22	25	1	93	0	57	56	0	32	45	535	2	15	1	5	2	0	42	7	34	0	38	17	43	33	1	1	9	69	0	126	22	6	74	12	6246	0	0	279	34	65	2	1	7	66	2	182	1	3	0	181	43	3	41	2	6	53	169	0	0	0	6	7	0	1	18	2	21	1	362	39	372	1	25	16	1147	5	2	2	52	1	1	3	3	2	1	1	4	2	1	42	1	10	3	1	1	2	1	1	53	1	4	3	13	1	2	1	52	2	6	1	1	3	1	1	3	3	4	0	1	1	1	3	1	4	1	1	1	68	1	1	1	915	53	1	2	1	1	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Colidextribacter	26	176	15	93	35	3	146	23	38	0	4	56	29	86	13	4	9	3	23	11	32	18	16	0	1	14	138	67	25	4	22	2	262	0	27	10	15	4	26	0	19	0	0	7	44	0	39	45	1	23	1	23	72	55	10	16	30	116	0	0	64	6	0	100	96	39	0	28	38	10	8	19	0	9	125	0	39	0	16	130	27	0	6	0	48	75	3	2	26	46	2	127	8	296	10	20	0	0	20	18	167	0	0	90	0	19	84	24	16	54	35	17	5	0	51	76	0	16	26	0	40	103	4	0	2	0	6	9	276	2	3	4	0	32	0	30	14	0	8	125	116	40	14	111	15	0	0	4	0	18	17	80	6	56	0	29	12	1	7	0	2	27	7	0	34	41	47	63	0	33	50	32	0	50	9	70	0	7	17	26	27	9	0	3	3	0	0	0	157	0	9	46	47	0	21	40	40	0	13	0	0	58	1	9	0	9	14	6	18	1	1	20	66	1	19	8	1	18	1	7	6	6	11	5	20	0	74	2	21	22	15	1	16	4	0	0	24	0	3	1	33	39	0	11	2	28	50	0	1	11	16	13	1	3	0	23	13	23	0	20	20	0	
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia-Shigella	16	61	22211	428	363	78	6	857	691	2722	20	105	333	179	1	91243	7598	12489	38	2184	44	859	21053	295	380	23644	420	6	513	458	4	152	791	2184	2929	2247	6211	1	124	4256	0	1017	55	0	52	84	8196	445	132	17	1	17	1957	20	30	0	450	729	232	1	1787	984	6891	141	201	2732	43	42	321	5	26	0	525	543	16543	227	7	44057	7	53	5	0	275	8	161	165	28433	276	14	4906	4349	306	2118	1175	339	425	175890	0	6	2384	9805	34	62556	18	236	1003	143	353	1	0	190	268	1	67045	267	785	6	732	590	0	64	4446	6	70	7	178	579	1798	27	3207	14	17	512	789	1	26	123	34064	168	171	13	563	16	4	189	1516	7062	1	335	59	2813	197	77	8	50053	0	18	2233	255	3250	1	324	550	131	1449	483	26	126	636	76	5181	4	89	37	9055	14410	672	264	0	0	24159	56019	58	6	17	65	0	77811	6	0	6467	433	61	8536	11938	25364	2782	31	10905	9179	21	8	366	716	47592	15	13	20	110	415	33	19	99	30	49	16	922	191	487	288	19	612	23	823	84	815	132	13	0	65	1088	29	45	24	1476	56280	131	262	40	11608	142	2886	86302	3	497	111	104	27	3326	375	35	54	4226	17	207	236	1915	826	17	141	1315	2137	
