feature	k__Bacteria.p__Firmicutes	k__Bacteria.p__Bacteroidota	k__Bacteria.p__Desulfobacterota	k__Bacteria.p__Cyanobacteria	k__Bacteria.p__Proteobacteria	k__Bacteria.p__Actinobacteriota	k__Bacteria.p__Verrucomicrobiota
IL17.DTT.103	6716	12594	97	3	0	0	253
IL17.DTT.104	19198	37730	438	285	0	3	243
IL17.DTT.53	18192	7828	129	0	0	0	248
IL17.DTT.54	791	1252	376	0	0	0	8
IL17.DTT.49	5377	40680	20	27	0	2	1700
IL17.DTT.50	13514	50064	171	118	0	7	2040
IL17.DTT.51	25040	46660	160	97	0	2	2593
IL17.DTT.52	110992	10936	142	0	0	0	657
IL17.DTT.85	6683	43730	239	54	0	12	142
IL17.DTT.86	22692	26464	332	226	0	6	67
IL17.DTT.87	20247	28243	476	240	0	24	61
IL17.DTT.88	85629	16270	471	0	0	12	4
IL17.DTT.89	10432	15212	106	30	0	119	0
IL17.DTT.90	20882	49419	225	469	0	10	26
TKO.DTT.1	25702	13693	1035	294	247	137	1881
TKO.DTT.2	1430	13180	23	34	36	0	3300
TKO.DTT.3	20988	20583	197	213	5	17	630
TKO.DTT.4	56602	16514	253	25	83	34	100
TKO.DTT.5	18414	4394	72	9	173	24	816
TKO.DTT.6	15628	13689	327	59	673	176	731
TKO.DTT.43	8969	40351	128	236	95	0	1707
TKO.DTT.44	32157	23085	477	542	6	2	3
TKO.DTT.45	52440	11844	752	334	7	10	0
TKO.DTT.46	61788	982	11	0	59	0	0
TKO.DTT.47	45433	1044	25	27	352	15	0
TKO.DTT.48	14100	3267	228	56	803	0	0
TKO.DTT.31	18553	33834	192	107	107	13	7
TKO.DTT.32	32213	17959	621	138	11	2	3
TKO.DTT.33	52718	15640	847	115	28	16	0
TKO.DTT.34	66990	4405	166	30	187	6	0
TKO.DTT.35	36275	3718	348	0	455	0	47
TKO.DTT.36	2884	2308	0	0	879	0	3134
TKO.DTT.16	22803	26522	351	0	55	0	2
TKO.DTT.17	8558	58906	136	35	107	13	86
TKO.DTT.18	4662	52499	210	11	94	12	0
TKO.DTT.22	30102	19366	59	0	7	0	0
TKO.DTT.23	3720	48147	115	9	37	0	2
TKO.DTT.24	3132	66797	168	9	297	7	0
TKO.DTT.19	17675	32647	348	110	178	5	4
TKO.DTT.20	23285	21314	375	382	6	6	3
TKO.DTT.21	36595	26741	365	385	19	5	35
TKO.DTT.58	29743	30996	622	4	35	11	0
TKO.DTT.59	5125	44652	86	0	75	6	0
TKO.DTT.60	5087	54045	297	25	319	0	0
TKO.DTT.55	26101	7370	1587	268	574	56	0
TKO.DTT.56	27574	23696	1931	327	4	10	6
TKO.DTT.57	42917	21068	1466	300	28	11	0
TKO.DTT.69	46065	9474	220	999	13	3	5
TKO.DTT.70	94994	232	2	0	5	0	50
TKO.DTT.71	99141	1154	19	6	197	4	33
TKO.DTT.72	15021	1377	11	76	576	2	0
TKO.DTT.78	8634	2961	122	21	132	0	67
TKO.DTT.73	25560	46280	878	1082	360	6	2080
TKO.DTT.74	30473	20964	200	1475	19	0	123
TKO.DTT.75	29002	20585	476	1016	8	5	193
TKO.DTT.76	66430	958	39	14	23	0	29
TKO.DTT.77	23504	2210	189	2	303	0	91
TKO.DTT.87	57093	21943	567	522	9	5	3
TKO.DTT.88	102644	3793	104	45	130	8	3
TKO.DTT.89	49533	1187	12	8	158	0	2
TKO.DTT.90	13502	2251	5	0	314	0	0
TKO.DTT.91	12347	33523	246	105	433	8	0
TKO.DTT.92	15098	31750	420	380	0	0	2
TKO.DTT.93	14312	23119	267	301	0	0	2
TKO.DTT.94	38922	1926	87	1	15	0	0
TKO.DTT.95	23400	2518	15	0	7	0	2
TKO.DTT.96	3967	2254	2	12	15	0	0
TKO.DTT.103	10346	17324	124	118	42	0	125
TKO.DTT.104	14536	13024	63	272	19	0	11
TKO.DTT.105	9814	6812	47	207	0	0	54
TKO.DTT.106	46260	861	0	20	8	0	0
TKO.DTT.107	10772	677	0	3	0	0	57
TKO.DTT.108	16166	10913	131	269	0	23	42
TKO.DTT.109	4142	31282	81	110	1	0	52
TKO.DTT.110	11806	36774	212	372	0	0	50
TKO.DTT.111	16199	36292	371	419	0	11	67
TKO.DTT.112	53441	758	5	4	0	0	4
TKO.DTT.113	30688	124	0	0	16	0	0
TKO.DTT.123	36137	31743	401	612	0	9	1867
TKO.DTT.124	74438	117	2	0	0	0	73
TKO.DTT.125	43686	5547	34	42	0	7	1340
TKO.DTT.126	19088	4915	92	55	3	20	2322
TKO.DTT.127	5412	32352	84	44	0	4	0
TKO.DTT.128	11597	16600	362	291	0	5	3
TKO.DTT.129	23228	25986	279	346	0	2	2
TKO.DTT.130	34154	10229	389	102	8	8	0
TKO.DTT.131	10662	4107	113	0	76	0	2
TKO.DTT.132	4514	12820	58	0	82	2	0
TKO.DTT.139	5636	43771	45	262	4	18	3296
TKO.DTT.140	18119	36704	167	990	2	6	234
TKO.DTT.141	33194	29177	118	1141	0	4	128
TKO.DTT.142	2509	57966	570	7	10	11	150
TKO.DTT.143	2594	46134	105	13	25	3	410
TKO.DTT.144	4657	14408	227	56	25	2	1185
TKO.DTT.154	15781	1474	60	22	46	24	2
TKO.DTT.155	20742	1170	102	0	31	28	0
TKO.DTT.156	18519	4573	135	24	42	65	0
TKO.DTT.151	9524	49252	65	127	21	98	13
TKO.DTT.152	27862	16145	165	669	0	5	14
TKO.DTT.153	44368	19942	150	648	3	13	43
