#OTU ID,Lyz202BFP222S70,Itg22FP518S21,Vil106BDTT70,Vil107BFP82,Vil110BFP115,Itg24DTT530S25,Vil104BFP46,Vil114BFP163,Lyz204BDTT246S87,Vil102BFP22,Lyz201BFP210S58,Lyz206BDTT270S112,Itg16DTT482S77,Vil105BFP58,Vil104BDTT46,Lyz207BFP282S80,Lyz203BFP234S82,Vil109BDTT106,Itg24FP530S33,Itg06DTT434S27,Itg04FP422S22,Itg22DTT518S13,Itg20FP506S9,Vil103BDTT34,Itg06FP434S35,Lyz201BDTT210S50,Vil105BDTT58,Itg02FP410S10,Itg12DTT470S64,Itg02DTT410S2,Vil103BFP34,Itg08DTT446S39,Itg26FP542S46,Vil101BDTT10,Itg26DTT542S38,Itg16FP482S85,Vil1010BDTT118,Lyz205BDTT258S99,Lyz208BFP294S92,Itg04DTT422S14,Lyz204BFP246S43,Lyz206BFP270S68,Lyz207BDTT282S124,Vil113BFP151,Vil101BFP10,Itg08FP446S47,Lyz202BDTT222S62,Vil102BDTT22,Itg10DTT458S52,Itg12FP470S72,Itg10FP458S60,Vil108BDTT94,Lyz205BFP258S55,Itg20DTT506S1,Lyz203BDTT234S74,Vil107BDTT82,Vil108BFP91,Vil1013BDTT154,Vil106BFP70,Itg18DTT494S89,Itg18FP494S97,Lyz208BDTT294S136,Vil109BFP103,LYZdtt342,SLCFP070,SLCdtt022,LYZdtt366,SLCdtt070,LYZdtt354,SLCFP022,LYZdtt330,LYZFP354,SLCFP112,LYZFP306,LYZdtt306,SLCFP004,SLCdtt004,SLCdtt112,SLCFP094,SLCdtt076,SLCFP052,SLCFP076,LYZFP330,LYZdtt318,SLCdtt052,LYZFP342,SLCdtt130,LYZFP318,SLCFP148,SLCFP166,SLCdtt148,SLCdtt166
ASPASN-PWY,20201.3088,31355.9642,2335.2819,43860.0062,51180.3091,14128.0742,38044.0021,69275.1913,9823.4791,41751.7213,13075.5818,32677.9233,10883.7646,15983.6966,11830.7691,11936.4573,22631.8059,9549.71,49555.9239,22432.7656,7681.3572,14778.666,37887.0364,21915.9006,44510.4239,17675.2196,5229.7438,31954.8628,30657.8807,54999.7079,26487.3382,10039.4608,45998.4564,7348.1791,19075.9038,39392.4644,9819.0786,20807.5909,17037.5422,19317.7393,5804.5638,15451.3188,31228.8612,57089.0756,29652.3559,20017.277,26056.4496,9702.0707,16239.2364,33643.7355,16459.7678,5677.2805,10103.2993,14224.9514,16151.2574,3162.7514,40136.9956,19145.9732,26634.788,22231.6732,22684.6419,5877.2884,33744.6412,19884.7741,15902.6944,33679.867,27256.981,4737.444,21664.5458,11984.6145,21281.8554,38018.895,10832.5375,82274.9155,19135.1745,3009.8057,3205.4168,1747.6431,7746.7295,17673.7025,14970.9124,6164.1,106475.5132,24521.7267,22650.5377,31286.3391,4221.1323,56347.1292,32124.4991,51978.7061,59948.0334,35338.9509
AST-PWY,2.25,0,1973.5,2.25,3,305.25,3.75,2,10.75,3,2.75,191.75,15,86.75,167,0,2,4038.25,1.5,147.25,1.5,52.75,5,58.75,2,28.5,4090,0,5.5,44.75,23.5,10.25,2,74.5,59.5,1.5,4074.5,12,1.75,18.25,4.5,4.25,77,41,2,0,22,77.75,13.75,0,0,4851.75,0,157,50.5,2655,1.25,1183.25,3.25,63.25,1.5,49,0,127.5,0,27.75,52.5,0,40,0,60.75,82.25,0,99.5,61.75,16,22,0,0,19.75,10.25,0,136.25,133.75,3.5,36.5,9,76.25,490,1.25,0.25,0.25
BIOTIN-BIOSYNTHESIS-PWY,22.6571,11.0464,2410.9077,15.6985,282.938,1525.6628,39.1547,464.0632,151.7327,86.3053,32.9307,1141.3392,119.055,2122.101,1005.2943,6.9801,21.9208,7173.8747,57.1641,1022.1089,17.2847,432.6085,84.5284,431.8219,19.9359,250.7339,5475.5593,0,74.089,327.9428,348.4659,78.4238,25.0109,449.5128,418.4957,10.492,7323.3091,89.406,37.4125,269.3384,45.6908,39.6777,604.8086,19200.6446,13.9746,0,219.2241,491.5751,102.4246,0,6.9867,5835.2153,0,910.3484,419.0738,3223.6171,594.7071,6723.7775,672.7383,486.0377,17.3968,319.4753,1119.0974,1024.8815,0,1351.5238,496.1894,79.2614,384.772,19.2034,598.1733,1258.382,61.6184,858.6188,636.3166,91.1484,125.6455,0,70.672,141.0383,77.6828,6.9731,1242.9543,1830.788,155.0767,335.1392,68.6563,2038.6858,3509.8701,1156.3254,1513.057,44.5001
BRANCHED-CHAIN-AA-SYN-PWY,15339.4253,10748.0468,2458.2406,56560.0727,34930.8388,9409.064,36938.7374,65249.6134,6867.8111,31829.7416,9554.6899,8626.0387,11846.8547,14878.7061,10539.0854,12979.8464,17124.6376,8483.3192,4647.9385,18029.5523,3008.2571,9598.4012,38986.8625,31962.4253,45304.8074,11837.9552,5478.3821,10189.4918,22046.6406,18719.5951,18730.4362,6303.8715,20115.1216,5122.2056,9941.7909,46788.8639,8809.0857,18080.8833,16984.6224,14601.8212,4308.5052,4983.2712,27474.5522,36007.3914,28075.0795,14613.2083,15801.4494,6151.4132,6590.7666,24966.6698,11004.0537,5974.2285,8922.1224,8233.4802,11514.5825,3318.7944,43251.9408,11807.9756,28761.9443,22640.3116,16765.0537,4902.2075,25783.8706,14395.3348,13010.9166,29817.8588,27207.5664,3121.7689,6362.4851,9669.2229,15048.9178,30897.6679,8758.8638,72413.0349,5051.926,2591.8131,2662.9322,807.8173,5785.727,13862.954,11685.7748,4678.5427,71874.5247,21528.8462,14436.1837,31643.3262,3862.4838,49905.5725,38348.6288,23581.5623,63879.8372,26456.021
CALVIN-PWY,23842.0406,42430.5148,2973.1027,62218.3129,52436.7451,18804.113,41534.6296,86901.7272,11330.6079,48963.9954,12225.2631,39246.6319,14271.4283,25135.6141,13284.5757,14661.1117,38396.099,13012.5633,75537.9527,27013.4025,12046.8863,17362.8643,49207.4087,32865.107,62307.9857,19262.284,7214.251,44988.3095,31941.4932,63791.1418,38940.4396,9881.8023,65122.423,8450.7238,25447.9813,51503.2236,14034.5264,25110.4555,24095.7705,26816.1238,10638.1101,20711.9986,34010.7662,44898.0561,39430.8125,19368.5142,25890.6026,11268.2923,14647.4062,31721.669,18934.4761,7135.4294,12093.7771,15055.855,21178.96,3972.1395,49061.0798,18223.9583,31380.271,30550.6436,18078.6913,7091.3433,34735.008,22656.6864,21774.3197,42086.0647,31248.8697,5885.8934,12307.4138,12093.4834,30915.093,28662.7468,15984.638,123081.2452,12284.7099,5303.9603,5133.7497,1765.7348,11807.7549,24453.3521,21312.7163,12230.6424,111967.0888,37535.1836,22573.5551,13643.4467,5269.6485,63211.3986,43513.7789,72261.9026,74453.2786,49070.1243
CENTFERM-PWY,65.7391,37.3741,0.617,323.333,175.4101,1172.0136,308.1198,48.8909,111.9706,144.0363,62.2589,522.0952,110.8839,1343.636,310.2173,3.3964,24.9804,365.6533,35.7975,663.9776,20.8265,330.3432,66.0698,505.727,275.2676,201.484,3.1606,101.9962,330.5299,235.8356,1672.8633,84.1155,165.1369,259.5655,374.7094,73.9735,379.4766,78.9986,96.9058,174.1769,33.8509,46.1948,450.1125,226.1826,150.3308,43.4737,149.9424,55.7725,140.8656,606.7206,161.3564,6.8104,0,660.0133,319.2296,3.995,133.8878,1647.3846,380.9687,478.3439,48.9772,269.8544,329.3332,660.159,50.1225,345.1573,310.4353,22.0542,162.5211,70.1126,358.5196,571.2292,94.3346,770.3317,274.3023,77.7992,109.3988,0,0,903.5102,69.9127,277.3309,664.7256,889.2325,27.4695,157.1997,48.9071,528.1645,2717.5395,297.7813,374.6238,75.0039
COA-PWY,156931.341,74144.4128,2147.3626,47204.7219,51119.3528,20466.192,46581.6225,72735.4752,13190.8502,52772.4457,154124.6166,43848.9294,12085.3736,63115.7986,14392.9904,16046.139,123974.8975,10986.4098,113137.3427,47831.4801,103148.8135,18495.7077,40705.1215,28919.5027,91227.9178,33094.6355,5532.3729,75709.8442,56176.3685,94005.6261,63730.5549,14028.6977,95439.3182,15066.7253,39581.5723,40884.5306,11934.4941,21710.1637,26411.8873,82538.9465,35699.1419,24118.4395,34551.7088,61892.6167,47025.1899,32918.8058,93917.7121,12995.9143,57579.3201,67683.9651,87343.3804,5118.8605,11091.6891,17504.2751,44115.7563,2847.2873,39620.3741,24960.9379,31238.4219,29810.0428,59930.2456,7066.392,32143.3164,39258.2051,34630.3978,39170.6908,28698.9105,8867.947,28378.6095,17822.3795,24365.7402,160687.9908,15064.0417,124771.6125,24566.8715,34407.7302,16618.0506,2549.5452,34339.4864,61090.2982,39256.8726,74065.9654,108504.478,130862.2363,35668.4019,52615.2575,5198.312,62527.0383,30331.7176,86354.0084,56381.614,298559.4611
COBALSYN-PWY,1964.7523,13021.6543,2036.8645,27180.7373,8530.7261,5946.5973,9331.3718,34092.0272,3835.1541,11633.872,1111.7071,4878.0394,3436.4417,6243.7392,2841.1625,2696.9465,15201.0707,5147.03,16836.3508,4170.0639,3448.0349,4868.7372,16359.3271,21926.4356,14654.0268,3875.2222,4245.9386,16069.7292,5740.9856,13887.9679,21797.2245,2341.6384,16454.538,1156.7553,9862.4235,18637.1219,5700.2236,7405.6246,7791.9212,5982.8448,8644.0622,3732.244,6096.2544,12373.8969,9147.6834,5112.9077,1249.7674,1670.8778,5771.933,7217.5687,11990.5816,5023.3811,3950.6932,3530.3631,5496.9074,2754.8891,17748.6918,4820.654,10349.8247,14093.3299,7427.9654,2129.0897,4845.0807,2961.5854,6551.6782,14999.9793,4338.5936,1463.8537,363.4354,2435.1179,3302.3842,2327.2609,5575.897,54188.6571,4247.0179,2439.6047,1827.5274,327.8971,5063.4905,4647.1901,8231.3083,2004.4001,9454.1788,17935.8219,5655.8841,1291.907,926.2828,21965.9198,19720.8112,16212.2677,28115.8015,23625.8644
CODH-PWY,340.6295,730.1086,0,40.9807,1678.7675,161.3006,2710.8242,1927.0067,192.4368,1998.7959,96.9694,298.9538,622.1485,121.8828,1399.85,92.7476,384.4026,260.8833,74.974,914.013,115.9328,256.9166,3199.4107,12141.9088,36.9925,360.9307,0.9996,16.9979,736.915,1312.9154,674.4011,418.7559,151.871,377.9731,380.0254,353.3258,225.5978,1323.2114,211.1431,370.1394,50.9634,60.9192,1145.2058,2018.8525,79.9297,319.3533,881.8338,1307.6463,335.9391,244.5317,65.9735,0,382.8394,146.1994,377.3746,0,612.3258,1740.9835,989.5277,5889.2838,252.4077,103.2234,901.1347,330.5633,68.9281,1052.7844,708.4871,123.0892,52.9385,81.8086,575.7695,114.9586,299.7131,881.6548,203.8521,12.9973,273.5917,49.4104,225.1852,133.8518,223.319,23.9961,1448.7614,497.0565,390.7316,76.9428,259.5062,407.6785,1440.1544,82.9586,1405.0261,2968.9257
COLANSYN-PWY,4576.075,7578.9287,2179.2394,13158.1924,22186.6897,4427.2674,12922.8723,27281.1998,3287.6786,17974.8861,3271.5264,5016.6856,7130.0461,6790.6245,5412.8163,1968.5078,7894.81,7058.7938,1598.9206,9226.5028,1135.3711,5604.3757,15418.1569,8890.4734,9442.1544,6387.7209,4989.3306,6113.4318,12009.728,16930.7637,5135.6534,4285.6732,12198.509,2825.7477,7195.84,13321.3778,7340.4436,11136.2783,3822.0807,5978.8544,1416.9473,1910.263,14190.8487,40250.6968,10226.3778,7067.393,12910.0415,4301.6071,5035.1157,6934.266,3582.2492,5262.3177,4024.8451,4186.788,7017.5631,2909.6775,18010.3598,12393.0808,9272.128,10083.9872,4255.4084,2238.4225,15929.213,6008.7048,5415.1957,15541.9943,20933.2687,1353.8059,1117.8807,1427.5714,9972.7911,7747.5647,3504.7489,35064.9759,3556.9344,594.0408,864.3617,501.8993,1572.5296,7020.9104,5403.5717,2652.0336,29923.9781,8938.8576,12698.3318,3113.6583,1546.4229,23719.028,14209.3322,7172.3888,24836.379,17382.8541
COMPLETE-ARO-PWY,10038.8232,18231.8711,2522.0681,47888.648,38195.2077,11559.7887,29328.3006,70712.5071,7742.9066,28005.5182,5984.3494,26535.5674,10887.7197,10561.1676,8885.3448,9331.3391,11385.8506,8641.7708,36067.1264,12163.5356,4273.2956,12167.3121,32909.0411,30052.911,30818.2985,11850.2282,5276.1809,19174.9237,16990.7952,32848.7667,17599.823,6515.884,28272.278,4523.5424,11177.1032,39640.9949,8824.4333,15336.413,12472.7541,10865.7171,3775.2473,11860.5728,21303.7526,21064.7473,19402.3289,11457.9877,8719.4991,6683.357,9062.8015,20149.5649,8820.1876,6190.4153,7576.8562,15113.6954,8008.8149,3430.416,39235.292,8753.7918,24091.1674,19994.3326,12151.9794,4667.0659,29891.5609,13989.238,10157.9743,25610.5078,23345.6953,3196.9472,24563.441,8959.9931,30866.7597,20363.6,8599.6973,49424.3243,19963.0548,1960.5963,2219.6195,1190.0628,4541.0289,10261.7175,8229.5912,3011.4237,98552.2621,14015.2722,8792.0842,13173.86,3117.3959,45812.1744,36512.7041,38277.281,64175.264,14191.3796
DAPLYSINESYN-PWY,23853.3752,49163.0642,2410.2664,51822.8917,41825.2698,14703.9019,39694.7622,63923.6078,9925.502,33373.7065,15765.494,36164.1607,10372.9916,24387.479,11150.5567,14182.6082,38179.8552,10044.2784,77378.3856,19923.4571,23209.5072,15538.9381,38174.9115,27313.3933,57472.8921,14253.5139,5801.0837,52432.9234,27863.2968,65223.1656,51456.0535,10752.4616,57863.4888,5978.7053,25393.5423,42818.6379,10626.2874,18679.8435,19766.987,19053.6544,16997.6829,18741.9986,24449.6988,6853.2907,32433.492,21934.3855,8699.9821,9287.4632,26024.5502,42604.6247,42096.7732,5786.0842,10209.708,20021.0257,12302.0927,3217.7559,36067.1472,9285.6447,28158.809,25598.4902,35084.5674,5266.4008,27483.6333,22474.2792,14241.9643,29648.5028,19371.954,4707.0633,33768.5565,13990.0701,28769.3681,54720.4507,10303.8724,83804.4724,31609.5623,7943.8503,5445.6532,1859.9328,10694.8196,18401.8121,17960.2005,6732.053,102447.5952,45561.5927,14960.4281,40034.2529,4001.539,49035.1705,32338.5097,68594.9413,55823.1827,83148.6803
DENOVOPURINE2-PWY,180474.0021,53698.8052,2400.7669,37082.2098,41160.9584,17158.6955,38140.7352,41025.9983,12657.7778,43789.2579,177699.1878,37329.5382,10355.0258,71999.6274,12380.0785,17797.4139,128555.5148,11858.8428,74963.5837,53734.9564,106315.2217,14775.0013,37762.9904,26317.7015,103468.2715,37086.7731,6307.7902,51572.7386,42098.0642,66889.0064,69035.8876,11121.995,65616.2144,17148.941,31594.9826,23913.4327,13018.8182,20889.4164,29228.9156,88141.5166,29433.6656,19356.2563,35866.0738,51911.6867,54043.584,24281.0163,107188.3299,10931.3972,40066.1309,44718.3983,57838.6735,5709.798,10749.7099,16623.7385,47746.6759,3175.5379,31944.5021,19241.179,31258.06,22688.5867,30573.3971,6885.6238,20800.0121,43216.0765,29535.6079,35700.8101,24676.6905,8369.8791,28389.1276,13061.7299,14853.0132,183030.3365,8193.4744,144647.8567,24822.0973,11335.7712,10812.4325,1115.107,17201.7043,67113.6345,28706.2655,79040.5399,74441.0742,151978.4135,32242.0543,54769.073,5480.6748,60541.6898,18412.9832,83499.69,35659.15,327661.0816
