#OTU ID,Vil103BDTT33,Vil105BDTT57,Lyz207BDTT281S123,Vil1010BDTT117,Vil105BFP57,Lyz202BDTT221S61,Itg02FP409S9,Lyz204BFP245S42,Lyz206BDTT269S111,Vil109BDTT105,Itg20DTT505S100,Itg24DTT529S24,Vil109BFP108,Itg26DTT541S37,Itg02DTT409S1,Itg06DTT433S26,Vil110BFP120,Vil108BFP96,Vil101BFP09,Vil102BDTT21,Itg22DTT517S12,Vil106BFP69,Itg16FP481S84,Vil103BFP33,Itg08FP445S46,Itg24FP529S32,Lyz206BFP269S67,Vil104BDTT45,Lyz203BDTT233S73,Lyz207BFP281S79,Vil107BDTT81,Vil104BFP45,Itg12FP469S71,Itg06FP433S34,Lyz205BFP257S54,Itg18DTT493S88,Vil1013BDTT153,Vil102BFP21,Itg04DTT421S13,Vil1014BDTT165,Vil106BDTT69,Itg10DTT457S51,Vil113BFP156,Lyz205BDTT257S98,Vil108BDTT93,Itg20FP505S8,Itg22FP517S20,Lyz203BFP233S81,Lyz202BFP221S69,Vil107BFP81,Itg16DTT481S76,Itg12DTT469S63,Vil114BFP168,Lyz204BDTT245S86,Itg18FP493S96,Lyz208BDTT293S135,Itg10FP457S59,Lyz201BFP209S57,Lyz201BDTT209S49,Vil101BDTT09,Itg04FP421S21,Itg26FP541S45,Itg08DTT445S38,Lyz208BFP293S91,SLCFP021,SLCFP069,SLCFP111,SLCdtt075,SLCFP051,LYZFP317,SLCFP093,SLCdtt021,SLCdtt111,LYZdtt317,LYZdtt305,LYZdtt329,SLCFP075,LYZdtt341,SLCdtt051,LYZFP305,SLCFP129,LYZdtt365,SLCFP003,SLCdtt069,SLCdtt129,LYZdtt353,SLCdtt093,LYZFP353,SLCdtt003,LYZFP329,LYZFP341,SLCFP165,SLCdtt165,SLCFP147,SLCdtt147
ASPASN-PWY,12040.5621,4363.473,12261.7372,17092.7601,44268.246,14150.7822,22166.2415,15518.8756,11717.3743,11362.632,20353.4753,26783.7428,66207.6599,27503.853,25748.8623,24599.5575,40519.1686,68771.8878,38062.8985,12964.8093,17171.1223,39322.2632,37513.2777,50081.9716,27580.5912,31896.4821,18101.5109,25361.8307,10375.5186,14889.0485,5487.5673,31464.5019,36483.231,26320.3983,17260.3408,29671.9878,14865.6858,41383.9143,37438.7478,19265.1761,9339.1894,10739.2893,26165.9085,28610.8761,8550.5206,38887.1318,35353.4153,37478.7291,35179.1181,32389.1766,30694.4989,20451.6569,12383.164,7191.7683,28948.3857,29401.746,33159.7045,27092.0428,19339.3202,9149.505,20051.989,29529.8115,15395.1656,20917.0338,14729.097,8173.0962,14513.1066,11956.0092,17983.9464,46941.1037,17298.2285,8472.6423,20049.8994,243980.0624,35614.7281,94602.7821,9466.2938,790661.4207,17081.3182,37896.3016,8819.8234,78031.0119,20233.7417,24351.0932,12720.9448,74059.1751,33174.9297,25193.4569,22286.0139,66002.5782,40662.099,24584.2543,62868.7417,20830.2047,48052.3206
AST-PWY,64.5,3590,23.75,764.25,6.25,6.5,0,1.5,37,3268.25,4.75,0,3.5,6,62.5,10,2.5,18.75,2.25,75.25,5,2,0,4.25,1.25,0,1,111,6.25,1,3901,2.5,1.75,1.5,0,7.25,1055,3.75,0,345.25,6737.5,0,11.25,11.25,4358.25,0,0,1.75,1.25,3,27.25,4,39.25,0,0,84.75,1.25,1.5,7.5,32,0,1.5,6.75,2.25,4.75,0,7.5,6.5,13.25,80.5,19,0,0,123.25,147,166.5,0,154.5,0,101.25,0,147,0,4,0,87.25,0,30.75,97.5,141,55,3,0.25,382.75,0.25
BIOTIN-BIOSYNTHESIS-PWY,482.8826,4444.3545,331.0216,3318.1745,525.0558,248.8546,156.9805,216.4928,342.9385,6588.1081,113.8073,259.6261,395.6049,202.2734,714.3896,407.8311,723.8365,6705.8204,403.7544,517.4922,176.7537,564.4569,276.9198,406.6395,133.1601,256.787,189.2782,766.5519,137.7961,199.5061,5297.218,388.4017,263.4689,282.6365,86.0646,299.8219,8324.5971,373.8336,348.9984,2200.2732,9103.5701,28.5602,395.9848,218.113,7010.1556,200.3035,342.6055,462.6305,510.1773,490.8174,318.4152,124.5439,489.685,104.168,239.6314,603.6844,153.9075,328.6362,167.3547,269.3448,148.5438,262.2982,140.124,196.9885,1079.3551,315.0791,582.3444,86.9737,552.7819,8063.297,861.7181,316.8898,183.1954,1838.0238,1662.6961,2086.4807,108.8665,2404.6921,204.6397,943.9216,276.5927,1475.3988,445.8483,604.2421,192.9485,1551.7767,416.4752,1016.254,774.5246,1843.6994,1276.1782,609.4529,1280.8324,2213.4635,698.7319
BRANCHED-CHAIN-AA-SYN-PWY,9656.1462,4598.2406,13874.0831,16503.5338,52575.2931,16816.9692,16287.2136,14122.1402,11174.0047,10495.034,22714.4126,26551.0167,45471.6084,27934.4354,19496.7969,20306.511,28468.673,80704.9007,37888.9789,12355.0276,17836.3193,51844.9373,40236.4926,46909.6603,25757.7991,27642.0915,18319.7232,28701.3581,10033.9288,17104.1485,5746.982,33375.5937,33117.5113,25123.2243,16203.4566,31585.4151,11623.1668,37012.7482,31485.134,17068.9493,9884.5858,8782.8355,5873.4969,27732.4408,9039.2463,39797.3353,33256.5811,30279.8116,32159.7237,39596.546,32993.6697,19459.098,5864.2249,6649.7116,29199.8421,31101.4375,27883.1354,33437.6291,25697.7363,8696.455,20852.0408,23709.6586,14962.0785,21172.1082,15898.8906,7992.6836,13961.2577,12346.7057,21233.3798,40559.1893,14902.0259,9998.3871,22538.438,277680.2788,29672.8179,104447.078,9169.4632,935649.9618,20270.353,28444.1752,9104.582,1071218.702,19858.8265,30313.3381,11459.5794,99281.4298,38620.6949,31495.7423,31709.4004,79007.5242,42783.7335,17820.1685,49515.5105,20530.9222,43583.3718
CALVIN-PWY,15398.4751,5507.703,15195.4855,21798.1889,60295.2198,19049.3654,27882.6321,20267.174,14513.4055,14335.2678,27794.534,34566.704,70531.2103,34558.6212,32090.462,29830.1964,43158.394,92463.3519,43429.6668,16674.6532,21725.6013,58908.4402,44680.9561,61319.2547,33607.0088,39723.9573,23426.5451,30107.8299,13070.649,18305.2449,6973.5275,39683.7878,44163.4696,31114.6419,22185.0395,35834.5902,15629.53,49186.9815,46840.4808,24224.7004,11965.2426,13778.6694,10275.2459,36396.9776,11297.7394,51136.7778,44570.0002,47568.5305,41181.3533,41955.4206,37872.2119,25179.3672,17808.5732,9361.9989,35246.6809,36519.8816,39519.2198,36832.4509,27898.0139,10640.91,25108.7554,35442.9661,18771.0852,24458.5223,17944.8444,10518.237,19268.931,15732.1619,24922.7882,73531.2606,24800.0173,11157.0684,27939.552,310414.8094,44868.7628,117139.4239,11488.4793,886661.545,22900.3667,60108.4454,10584.9282,934171.6242,24955.92,31621.5459,15127.9763,110583.4613,46951.0434,33838.8279,37645.4736,85383.161,45516.3566,31337.7435,75765.7318,26219.0015,54943.5181
CENTFERM-PWY,628.8777,61.3419,212.0767,2577.1522,101.9636,69.4906,34.8144,10.4805,241.6316,1096.3953,60.6623,72.9909,371.7547,143.9616,470.1624,160.9307,116.7726,6420.2597,137.5159,460.6705,41.75,106.6517,55.7579,780.6809,47.0236,60.9051,10.4828,825.0281,43.0649,6.9866,297.0928,242.7057,356.1457,78.6568,10.4845,266.3654,3235.0895,57.4772,131.4364,1657.7701,600.9421,189.523,78.3402,102.424,1477.6008,55.7794,27.9423,19.2014,29.6763,168.1318,277.4859,317.6486,243.6152,0,107.4628,542.5376,300.6951,27.0867,59.2849,222.1678,47.7859,75.5063,150.7346,22.6748,110.7856,0,96.2277,57.1406,91.5391,1976.0707,130.3885,32.7921,58.9355,1063.7639,981.5635,1151.4706,25.2083,1060.2822,0,756.7195,23.3339,1180.6627,46.8231,99.4815,124.6935,682.7003,27.0415,280.6832,9098.2463,969.0465,381.5658,58.4698,250.4161,1814.0166,100.8048
COA-PWY,14233.5125,3945.7475,11292.4129,17176.099,44308.9349,13967.9257,24070.6362,18093.8248,12134.9829,11149.3328,23391.8899,27549.8831,81823.7178,28935.2959,31443.0187,51938.9206,47667.9113,78460.2118,38014.2854,15536.6831,17193.7618,40688.8608,38336.5563,48535.1155,30039.1182,33026.7275,18658.4871,26145.7545,11821.7845,13921.3224,4991.0774,31427.1066,41065.1366,33974.6587,16997.3639,30830.4258,14578.7665,40525.3201,61225.6469,21587.4611,8519.5623,17873.0975,45012.1542,28370.2844,7960.3123,41169.202,37477.6483,66387.8845,44641.4718,33473.8902,32903.412,22491.8565,47976.9771,8431.0778,30751.2023,34542.2397,39986.2992,26490.6566,18237.4017,10805.4309,22464.4907,32457.7492,17346.1936,22682.4338,14846.1447,9254.7667,14895.3075,14861.707,16651.8357,166114.0628,25766.2146,8801.2063,21435.4015,291144.3334,89288.6628,91235.2342,11136.0412,813521.7565,15273.4455,314239.0998,9013.0426,900445.1003,20543.7539,21546.6243,18787.6799,118290.1058,34004.3599,26048.7439,34159.7406,64056.6966,42485.6579,25463.8057,66539.5926,21407.9117,47055.6656
COBALSYN-PWY,4604.0615,3826.1754,6188.8666,7671.7176,25754.4987,9951.1958,8720.1207,8763.6793,6586.2242,5836.3816,10951.9375,16382.804,4464.2459,17682.5083,9821.9018,5631.4843,8881.0929,26310.3199,14298.3226,5229.4457,9847.5127,28254.1694,15667.0493,21788.1289,12928.418,15601.7298,11146.8461,19012.4625,5301.3444,7163.003,4406.2464,12673.4853,15430.9391,9724.9551,7946.2827,13042.9178,6946.6504,15893.6869,12354.5021,7984.9213,7628.5102,4199.2493,1486.3853,15063.2709,6289.9524,19170.9792,18897.0511,12773.0721,13205.9301,14371.7958,15599.1868,9264.3054,12888.1344,4283.6161,13354.9401,20463.3945,14506.6819,18722.1181,16763.2264,3003.6769,10691.6021,11928.0758,7076.9396,10147.0425,6241.4106,3031.8307,7837.7678,6702.2402,10966.7668,86550.0503,10046.9119,5731.3382,15360.0784,221510.1618,15844.8612,56475.0745,4399.9878,765288.8938,10950.5399,38923.7392,3687.9749,892355.2517,9305.041,17208.8398,3765.1269,57428.5057,24047.3781,15845.2989,10933.2208,40015.5699,19896.7867,9975.0601,25775.8649,9016.2906,16733.394
CODH-PWY,965.0067,0.9986,435.9265,706.0356,2002.4449,271.7286,372.0191,406.4697,347.01,357.4336,3669.1171,420.807,1403.9068,526.1368,826.5056,833.2265,1618.5249,990.3727,2004.727,1140.596,403.363,1177.878,909.6665,3327.6485,585.1628,582.7994,187.0782,1571.4162,252.2859,399.5408,38.2991,2077.1742,696.8802,581.97,459.6064,711.345,1287.0789,1526.2759,592.0968,831.9137,30.7285,236.3906,3556.8256,556.5369,96.6674,629.3364,820.0074,886.9599,709.4888,1006.1534,794.0964,415.1048,199.5466,180.064,898.1006,481.6157,571.7926,708.9696,429.7502,510.6161,213.9841,483.2348,1575.8259,444.609,505.5163,204.7159,677.1589,172.9847,696.0096,1264.1431,301.1626,340.903,788.807,32716.0479,511.4984,2298.8294,54.8666,38854.4087,441.0588,380.7674,665.756,71275.6711,959.105,571.4292,788.2046,54183.754,947.9919,393.9207,1120.4033,1416.1289,785.5916,1538.8238,1824.5978,831.5638,1036.9203
COLANSYN-PWY,4520.3174,3990.7399,4409.0855,7741.469,20553.9456,5517.8255,6476.274,5376.1621,3538.6063,7088.6784,9207.0422,8808.741,9137.0707,8966.0721,8936.6985,9043.4628,13453.7047,22413.8371,18029.6238,4139.1038,6014.9146,16323.4946,16990.4117,18910.7892,11707.1482,11133.6277,5116.6327,5980.0579,3849.9492,5020.4194,4802.305,14841.57,14946.0123,9247.0396,6225.7829,13581.6973,10801.7388,16767.1348,11767.2725,7202.1621,8248.7926,3467.5049,4173.7555,8951.81,6665.7354,14878.3497,13140.8444,16881.1968,14405.4254,16644.8115,12139.2723,8136.0032,2633.9369,2454.1931,14523.6428,5235.7035,12861.8952,12129.6478,5985.7375,4268.4517,6224.6221,12410.6778,7108.2846,8135.6355,7797.3202,3236.7606,4974.5728,3966.0099,6479.26,23384.8595,5312.5495,3449.1521,5380.6095,29110.3972,14583.7225,41357.4621,3914.1036,36258.3086,5708.1945,12905.5109,3392.5536,59128.6774,6998.5971,9889.7698,5278.3849,30905.7029,11684.0787,10784.8705,6786.539,29918.5724,16847.8329,9848.1241,21515.9778,8873.6758,18481.7978
COMPLETE-ARO-PWY,9668.1669,4772.635,12479.9264,18058.0063,50040.9844,15146.4349,21024.6707,12507.5859,11182.5403,11744.0817,18255.6607,26940.6861,55191.1931,28269.3198,21382.4412,14511.3954,30300.6941,60790.384,30765.1919,11016.5132,17504.4007,46120.089,36977.1915,49170.2118,23987.3391,30063.5084,20304.2475,27489.5141,8416.2757,15248.8935,5788.6417,30648.8894,32064.3618,19558.0882,18622.2691,28417.6748,9469.5105,36623.6743,25128.2741,17589.5394,9900.0934,7506.4932,4704.1679,29182.4411,9120.8485,33236.3573,33665.5853,21610.3454,24843.3315,34165.7132,29698.7757,18160.0806,7841.3465,5948.7263,26876.8022,28681.278,25781.63,30075.5907,24344.2332,6423.5463,17757.9859,24941.649,13216.5971,17673.4035,14715.1619,7108.7496,15267.4206,10858.1024,20135.016,23355.7106,12413.4301,9576.2665,22675.9367,261183.7533,21463.1304,106853.5927,7741.4379,960457.4972,19207.0996,18106.3032,7448.2758,1037943.375,17914.8074,27074.6977,8348.8335,80383.4342,32574.074,30251.2991,26689.7534,78877.8691,37796.6462,20856.5703,52945.7579,19344.8971,42801.1638
DAPLYSINESYN-PWY,11068.7643,4476.5207,12435.6609,15832.4122,43658.3261,14808.5209,18927.4982,14800.1013,11653.5042,10665.2303,22069.2914,26070.3618,74608.1519,27153.4287,22060.6925,23632.8409,40732.1067,78564.0075,33971.0716,13098.4938,17208.6932,42822.117,36331.5672,45091.5509,27055.3373,28647.8842,18746.7635,26098.8646,9757.7146,15652.5007,5538.1959,30175.6346,36408.6226,26238.9145,16129.8478,30211.2327,8815.7058,35253.3994,36062.1128,18125.5527,9518.7084,10885.5684,8765.8118,27210.7699,8639.0162,39409.5869,35641.4219,32116.0743,32690.5008,32229.5954,31119.0572,20056.0943,32546.4456,6889.3202,29052.7393,31606.4277,30826.9236,28150.6395,21181.8532,8484.3031,21202.2077,25019.469,15034.4328,20939.727,13965.9681,7523.0697,13926.455,13012.3605,18812.9439,144740.9405,18852.8386,8866.5896,21309.4347,273090.8808,37518.3354,89179.6402,9468.0407,807243.5359,17606.0591,109794.2233,8713.8795,108032.7981,19762.2726,25895.6716,11927.8917,95774.252,36869.6031,23623.5957,26737.6516,60212.3032,39724.6526,20206.992,52187.7176,19846.472,40577.9505
