#OTU ID,Itg10DTT455S49,Vil101BFP07,Lyz204BFP243S92,Vil104BDTT43,Vil107BDTT79,Vil106BFP67,Lyz201BDTT207S47,Itg22FP515S18,Lyz205BFP255S52,Lyz204BDTT243S84,Vil104BFP43,Vil109BFP106,Itg02DTT407S99,Lyz208BDTT291S133,Itg24DTT527S22,Itg26DTT539S35,Lyz208BFP291S89,Vil106BDTT67,Vil102BFP19,Itg26FP539S43,Itg18FP491S94,Itg12DTT467S61,Vil107BFP79,Lyz202BDTT219S59,Itg24FP527S30,Lyz207BFP279S77,Lyz203BFP231S79,Itg18DTT491S86,Itg06DTT431S24,Lyz205BDTT255S96,Itg08FP443S44,Lyz207BDTT279S121,Vil108BFP94,Vil105BDTT55,Itg16FP479S81,Vil105BFP55,Lyz206BDTT267S108,Itg16DTT479S73,Itg12FP467S69,Vil114BFP166,Itg20DTT503S98,Itg22DTT515S10,Itg06FP431S32,Lyz206BFP267S64,Vil1013BDTT151,Itg02FP407S7,Itg04FP419S19,Vil102BDTT19,Lyz201BFP207S55,Itg08DTT443S36,Vil113BFP154,Vil103BFP31,Vil1010BDTT115,Vil108BDTT91,Vil1014BDTT163,Vil109BDTT103,Itg10FP455S57,Lyz203BDTT231S71,Itg20FP503S6,Lyz202BFP219S67,Itg04DTT419S11,Vil110BFP118,LYZdtt351,SLCFP067,SLCdtt019,SLCFP091,LYZFP327,SLCFP073,SLCFP019a,SLCFP049,LYZFP339,LYZFP315,SLCFP127,LYZdtt363,LYZdtt315,LYZFP351,LYZFP303,SLCdtt109,SLCdtt001,LYZdtt303,SLCFP001,SLCFP109,LYZdtt339,LYZdtt327,SLCdtt067,SLCdtt163,SLCdtt145,SLCFP163,SLCFP145,taxonomy
ASPASN-PWY,31097.5336,32405.4323,37224.8516,11003.6697,4867.9323,29083.421,19520.0589,18186.6172,22178.2884,36690.4335,33819.9162,56082.4479,18574.3311,18368.7492,24175.0989,15138.0802,14664.7454,4370.5375,40705.0153,19466.0627,32993.4263,33701.3161,25400.6456,27813.4644,19640.2298,7733.9188,28463.8842,30754.8008,20772.3438,13906.144,27249.6299,15655.8257,46309.4755,7363.0352,25631.1466,45942.4321,24662.1246,53872.4113,32496.6288,27696.101,32395.4782,30246.0593,17901.5642,27146.1985,19373.3296,12610.3885,18789.0236,8327.8145,23660.1443,11232.5272,16206.192,32789.8382,7328.6569,6807.6502,16726.3963,11550.7804,42254.0375,18035.617,32608.9179,29138.8737,16642.8498,51563.9624,66565.573,10360.3672,6745.1098,18761.5731,93182.0937,17391.9371,15650.9576,17865.7987,57618.6515,78821.0265,9671.7019,57653.3116,39781.949,48837.37,64606.5759,20731.7054,4029.7228,363512.0886,19219.8343,17182.5898,11887.7565,54929.4655,11619.8128,81176.4755,52534.7683,26723.9001,23230.5215,
AST-PWY,103.25,2.25,2.25,850.25,4130.75,3,142.5,0,0,225,0,0,170.75,160.5,59.75,28.5,2.5,3769,4,1.25,1.5,28,3,20.75,1,0.75,2.25,21,26.75,302.25,1.5,934.25,2.5,6320.5,1.25,8,22.5,165.5,0,11,115.5,56.5,0,1,591,1,0,82.25,0,1148,21,3.5,4509.75,5378.75,555.75,5120.75,0,160.5,0,0,241,3.5,73.75,0,4,0,167,0,0,37,84.75,111.75,0,122,1292.5,94.75,102.75,8.5,112.5,10387.25,36.75,0,653.25,243.75,75.75,1,0.5,1.5,1.75,
BIOTIN-BIOSYNTHESIS-PWY,861.838,202.4213,580.3109,2970.3581,5051.3932,582.9696,1060.2677,239.5763,149.1708,1864.1468,356.7662,83.0647,1108.0606,1015.1285,491.535,283.8703,159.3541,4495.7204,439.5374,245.8661,293.3873,602.2475,367.6141,600.555,199.001,97.671,320.2813,369.4893,434.8811,1675.3705,157.905,3823.447,49.809,7553.5998,108.6869,934.3908,423.6646,1235.1213,401.7092,244.6628,949.1385,919.7897,211.5296,439.5473,7465.4841,190.9107,152.4454,540.7201,406.0697,4146.2595,732.8468,272.8336,6595.3272,6987.4267,3223.1357,8508.5806,191.1904,963.3445,182.4653,551.2033,1797.3374,228.8396,3001.1475,432.3757,152.9126,655.5284,2165.1258,129.9758,964.4885,753.5877,2516.6033,2003.9909,131.477,1323.4632,10725.9389,3665.494,1627.0444,305.7973,635.5099,58008.4961,892.2076,822.0199,2269.6331,2435.9384,758.0417,2101.7799,4989.4212,904.3889,1839.099,
BRANCHED-CHAIN-AA-SYN-PWY,26967.7161,26836.4583,26502.1841,11485.2054,5199.1268,31476.5955,23289.1215,11506.7599,14838.4863,31522.3876,32244.6763,33042.9266,15154.6627,14760.2422,25269.556,11586.5925,11755.7429,4641.1342,26697.5636,13063.3574,28745.0582,28575.4789,27302.8166,32404.8521,16665.0821,7681.6203,20273.8905,28861.885,15389.2743,10702.4307,20465.2447,15927.2741,48651.7641,7746.4055,22856.6526,45549.3166,27805.6354,120396.1489,27453.3593,9686.88,26633.0053,19585.9468,16092.3829,24165.3306,16791.1963,7017.0261,21803.3737,7249.0192,23954.2744,10550.7211,11093.459,24729.6233,7007.2732,7123.8049,16166.0919,10015.6531,29568.7394,15402.7298,27926.1764,33609.6276,16304.6737,40798.8968,59735.2192,9997.8971,5383.685,15190.4965,70097.8737,13199.7671,15755.2649,19410.6906,54911.1327,64045.2544,7907.1601,75450.9078,44541.6175,56663.8606,50728.5602,15127.1751,3478.2553,564731.9759,15593.0944,13195.9935,12742.4362,38354.4468,9764.0526,72336.3262,50999.0013,21785.824,18776.6987,
CALVIN-PWY,40327.8089,30912.4059,45044.3017,13767.7877,6305.1285,33966.5194,26296.0644,20275.6824,25088.2883,47452.6549,37485.9582,62832.6771,24030.664,24125.7072,31698.6052,18372.6795,15667.7195,5440.9324,44071.4881,21212.6214,33495.8695,38658.558,26219.932,36315.4984,24252.2641,8239.5852,33466.3985,34181.1884,24163.9785,16543.791,28941.5869,19552.1161,64226.0869,9225.6053,24985.7262,53827.73,33134.7314,119416.9836,36324.5522,38961.9911,38274.4785,33314.9345,20046.3853,33223.2877,24669.7826,14381.818,25206.5019,12913.0038,27223.2459,15107.5174,13743.5457,34770.9796,9578.8113,8907.8505,23498.4317,14018.3732,49025.8395,25606.1485,37992.1944,37677.9746,20924.8073,52939.3041,79744.4221,10905.7396,7448.1709,24388.6683,90692.4955,18155.5414,16755.8549,21842.7304,51876.5838,97784.178,10314.9038,83264.9049,67471.7005,58160.2534,77992.9395,27818.3454,4851.1956,1020238.608,20847.4633,19240.9367,16910.3233,54757.7796,14699.6096,101162.7907,71214.4697,31735.6167,25608.4353,
CENTFERM-PWY,1138.5072,170.1107,26.1425,2090.0932,8.6564,164.9798,1086.8454,24.3012,13.9556,1737.695,540.6651,771.9645,1050.1568,921.6971,481.8936,272.077,31.1532,5.0031,62.3435,103.929,166.4062,762.6853,132.8231,238.2298,61.4992,32.734,32.9852,395.0054,251.6964,1392.8954,171.1038,3026.489,2657.6438,15.8701,128.8353,156.77,165.2901,1558.8128,521.2889,85.9453,1296.7285,426.6819,51.7621,13.9788,1583.2654,30.999,45.2216,466.315,31.4113,2424.333,87.8103,411.2278,189.5527,85.9106,2652.8533,508.521,1050.6371,1163.5814,66.754,44.4938,1330.1283,433.5644,718.4181,60.9862,74.346,5.2435,1123.8806,98.0104,127.7627,268.2831,588.043,977.6589,71.915,915.9575,7598.6392,885.5139,861.0653,158.6072,554.2161,49305.6322,414.722,88.6562,2635.0063,1586.6,470.7987,9611.9908,50.8721,113.1949,755.3193,
COA-PWY,45089.2237,34417.3088,71297.6376,11289.1778,4357.6156,29214.4477,18758.0156,24239.9908,22064.0245,51549.1746,35560.6702,74303.126,20481.4859,27227.6348,24629.5725,16981.6232,25549.2036,3873.1305,49378.5189,22644.3112,36430.3484,39887.4414,25704.7734,27476.0875,20179.4645,7465.5959,68416.8639,33585.3081,47188.001,13833.6384,33473.719,16205.9394,81407.1263,6589.2596,28149.9469,45026.5934,25377.4412,118293.7866,35332.9027,98042.7172,47397.393,39825.1477,21637.8848,27169.9508,17641.6441,14848.4284,19125.7144,11474.6337,23779.8142,13720.0714,207833.2549,33146.3964,7178.3405,6648.1687,19309.8163,10928.9605,75720.366,32783.8906,41026.4575,29431.4447,18568.2818,78928.3779,148552.6413,13938.3166,10005.9371,24798.7072,93780.411,27369.7456,15161.3576,15985.7731,61270.9648,112272.9243,14444.0811,58022.4132,50579.1551,50966.1009,226153.011,30532.6023,5189.5487,415013.6711,21137.2434,17110.6086,14510.4919,61477.759,20788.8119,95916.4438,82193.9369,27469.4796,36896.1616,
COBALSYN-PWY,13536.8021,5161.5507,16072.8549,5332.593,4357.2811,11297.2968,13714.1156,5058.8138,4982.45,17760.7174,10668.9269,3936.8756,8055.5009,6444.8696,14953.4408,5299.7465,3475.9791,3978.2669,8605.0717,4934.9965,8788.2766,10054.4801,4723.6657,18552.8551,9341.335,2093.6489,8128.1926,10352.789,3228.5612,4395.425,7794.8574,8449.5087,11448.3425,6545.5617,5149.9207,17203.5653,18215.7294,90125.7163,10467.9026,12762.3208,9699.3463,7460.5587,4922.5677,13196.4703,9793.7885,3096.6073,12074.6138,4072.6264,10691.7776,5511.0063,4573.9428,6788.5853,5126.7394,5636.1589,8322.2121,6018.7114,12218.8012,10744.0636,10876.7103,17784.363,7703.7858,9071.6168,17396.373,4424.028,1554.9449,9579.0663,8450.8904,3843.6922,4680.9262,7829.0549,11755.3734,50936.3517,1906.6545,44178.3537,28104.189,21417.4274,25770.6921,6856.4402,1524.7178,397718.4323,6868.6641,5464.8913,7038.3601,7579.7578,4238.6009,32986.9903,21548.1664,10731.5505,4685.7418,
CODH-PWY,593.9859,2064.2821,1064.942,504.3698,0,874.4479,273.2656,321.757,979.5939,1035.6636,2384.2114,85.9501,431.3211,437.4243,402.8222,255.0465,321.9472,0,1656.1213,329.4954,850.5383,858.4994,1350.5565,412.1829,314.517,386.455,756.7743,711.2542,661.316,618.4241,508.0014,356.8557,364.2006,0.9981,796.3598,2105.2281,260.6859,49410.3887,642.0548,10.9993,515.1855,686.8131,356.021,357.6454,1568.4349,275.2933,859.921,209.0251,411.5317,252.4673,1493.9012,2369.1768,81.6963,0.9996,719.5712,168.4901,693.7115,895.6896,436.6928,1870.1917,326.0845,169.8135,666.4889,334.6988,335.279,524.1787,1286.7184,105.7962,525.6118,645.2171,1318.3028,2239.4742,460.5681,790.7444,135.8216,640.531,1009.7244,669.4245,245.8721,151125.9504,860.9074,768.9951,319.2199,1403.4602,232.6681,9490.3783,8948.9905,2283.9588,1243.2283,
COLANSYN-PWY,10791.7279,18063.4461,18210.0339,5091.8069,4505.5852,14088.5887,7347.5216,8228.9755,8091.4488,14109.5524,17566.2453,4991.0684,6519.2194,7348.6382,7223.7866,5666.9614,6308.1202,4054.2942,18358.7339,9242.8188,15037.031,14928.5315,14650.8947,9820.8347,6866.0966,3918.8068,13263.0239,13354.2368,8143.6364,5670.3611,13347.7183,6828.5313,9546.6382,6808.9545,10776.6401,23678.0637,7206.2759,25210.5059,14503.104,2432.2234,15428.4518,13917.3456,7605.5488,10312.3987,12983.9684,4559.6525,6923.8739,3058.5052,11262.2223,6196.2296,7678.6155,14610.0422,6232.8194,6342.5065,7824.4431,8341.8333,16730.0125,5555.4773,15411.2775,13086.0958,6755.4511,6309.9621,22126.4822,5878.8936,2420.6917,6899.5084,40666.5074,8651.3202,6658.2891,7499.2117,24121.1457,39880.3057,4716.6657,20760.9808,25861.1018,22968.6446,25584.098,5773.4405,1867.8283,147020.6682,9034.5536,7720.2502,5860.1841,24357.0191,4096.2813,37209.2076,18880.5178,13554.2801,12045.7818,
COMPLETE-ARO-PWY,23244.1596,19404.0044,19122.4111,10204.86,5344.0695,26440.2051,21155.144,11248.6792,19856.0087,26425.1697,27094.3672,46678.0845,17078.7213,13004.3378,24846.642,12757.8812,8311.8504,4899.5272,26332.1398,13422.79,25208.8459,25411.1233,22680.6581,29025.7366,18604.0735,6656.9822,13687.9184,25044.2316,11182.7299,13380.5206,17517.8493,15327.0875,35889.928,8074.4018,19457.8599,43930.3999,28942.843,112473.806,26129.5949,16812.154,19749.3355,18673.6802,12532.1081,26583.4582,13226.5926,9939.0826,19698.0271,7349.4293,19888.1965,9671.8213,6825.1679,25621.3003,7434.9744,7075.4996,14532.1693,11742.0571,24832.3281,12841.3027,21053.1166,29617.9605,14065.9766,37030.1463,43530.6408,8556.799,4424.8563,13329.853,73832.6635,9364.3682,14752.4142,17415.5504,44404.0974,49002.9912,5585.767,74655.3086,44623.4677,51223.5172,34128.737,16659.1918,3015.7505,470124.2742,13746.5596,15003.0096,11663.8168,37047.9229,7776.6693,64909.396,44004.4131,19293.639,13901.1279,
DAPLYSINESYN-PWY,31378.831,20695.4321,30723.6737,11090.6551,5049.6152,25656.4379,20401.0485,14323.1452,19905.9672,34926.7525,28880.9133,65761.2855,16744.4668,16553.3118,25316.6343,12382.858,12752.5013,4439.0268,28408.1166,13820.8225,29631.8779,28972.3087,20127.4794,28938.4319,17216.4341,6121.6713,18870.9605,29140.7315,16885.3298,11915.9119,20704.0358,15928.2355,56887.872,7478.7738,21709.8217,37818.9344,27191.56,81824.1748,27518.782,58260.4406,26075.4615,22174.454,15118.9339,24219.0997,12969.7172,11218.1157,20334.1733,8752.4009,20780.5677,11116.3444,6559.6207,25514.3101,7504.8111,7152.7,16421.0668,11336.7704,37211.3916,20307.1888,26939.1837,29480.2108,16545.7236,62478.3564,78931.8051,6320.5961,5920.3032,18090.6659,77103.7198,13507.2735,14221.4541,15212.0536,51610.2762,77736.2088,7075.2845,54430.826,42406.8139,44506.3251,68401.9933,18274.6733,3576.2974,599601.5822,15299.1609,12230.5672,12600.1731,42067.9912,10912.785,68094.3828,58871.0743,20957.8604,16678.69,
DENOVOPURINE2-PWY,41579.4374,34416.5512,72944.4542,10168.7068,4859.7419,23910.3639,16644.1198,19146.595,16600.7398,53120.9165,29224.9339,64789.6448,16299.1663,28316.1505,17139.6461,12334.9783,28410.5182,4283.2295,42576.2939,16163.2119,23332.4333,33543.0064,21874.595,24631.877,13419.029,6163.9021,74273.4255,25981.3475,52807.4234,10339.1788,25239.6455,14363.6927,92061.6232,7333.0351,24303.461,32284.8696,15324.792,122915.7617,24780.7729,46393.1223,48331.0149,34564.5345,22040.4217,19052.4974,16763.0746,10625.3672,14713.0368,11690.9188,22961.4182,13302.6967,51544.8117,29843.8321,7759.756,7503.0768,17895.9167,11262.0546,66644.7424,36184.2357,41051.7988,27450.5305,17312.6766,77050.2555,166738.9736,13121.3633,10369.3093,18473.947,72800.9031,29934.0362,9188.4283,9619.1923,53783.4549,124473.9762,15243.0221,24779.3472,53572.0831,35661.0351,259735.9505,24699.6263,4824.9969,337829.0075,14815.8419,10889.663,15185.1463,59491.9936,21744.094,100609.4292,82327.6984,23802.8702,33168.136,
DTDPRHAMSYN-PWY,30512.7409,21990.7415,47227.1247,8836.2943,639.9637,25554.1239,18187.9374,15509.8242,21362.7492,36253.8222,27373.866,54569.269,16937.785,17171.5478,22343.6727,14473.8845,9009.4494,293.5846,35847.8277,18191.2372,28688.1833,29794.0625,23932.0052,24234.8429,18254.283,6821.7832,28168.4468,27543.1015,13702.7972,13176.8636,26127.6049,14237.3029,37864.2521,152.2525,21782.3956,42589.6542,24576.0957,47433.3148,28610.3528,33515.8149,26820.5958,24394.4776,13580.8167,24948.3776,18390.9642,10920.0849,18120.3087,8284.3522,19496.7258,10806.1012,9036.9075,28658.5134,3628.3371,474.9676,16239.5934,7445.3396,44249.3445,19947.7772,26657.238,25862.9528,14537.2591,53367.4263,45842.9551,9956.257,5525.6711,15905.0859,85637.9965,11562.8225,15648.3309,16481.7948,50619.5209,90790.8112,6343.3236,60047.8117,47096.3774,50864.0787,54626.1245,22014.8688,3680.5574,476729.3768,16705.7067,16501.5217,10716.4546,42983.913,9272.7902,76187.8614,47510.7288,25168.8096,18281.0361,
