,Itg.18.DTT496.S91,Lyz2.05B.DTT260.S101,Vil1.06B.DTT70,Vil1.03B.DTT35,Vil1.01B.DTT11,Itg.24.DTT530.S25,Vil1.06B.DTT72,Itg.24.DTT531.S26,Itg.04.DTT423.S15,Lyz2.06B.DTT272.S114,Lyz2.04B.DTT246.S87,Itg.20.DTT508.S3,Lyz2.06B.DTT270.S112,Itg.16.DTT482.S77,Lyz2.03B.DTT236.S76,Vil1.04B.DTT46,Lyz2.02B.DTT224.S64,Vil1.02B.DTT24,Vil1.02B.DTT23,Lyz2.06B.DTT271.S113,Lyz2.07B.DTT284.S126,Vil1.09B.DTT106,Lyz2.02B.DTT223.S63,Itg.22.DTT519.S14,Lyz2.04B.DTT247.S88,Itg.06.DTT434.S27,Itg.22.DTT518.S13,Itg.02.DTT412.S4,Vil1.03B.DTT34,Itg.26.DTT543.S39,Itg.04.DTT424.S16,Lyz2.01B.DTT210.S50,Vil1.08B.DTT96,Vil1.010B.DTT119,Vil1.05B.DTT58,Vil1.05B.DTT59,Vil1.010B.DTT120,Itg.12.DTT470.S64,Itg.02.DTT410.S2,Vil1.05B.DTT60,Itg.08.DTT446.S39,Vil1.08B.DTT95,Vil1.01B.DTT10,Itg.26.DTT542.S38,Itg.18.DTT495.S90,Lyz2.04B.DTT248.S89,Vil1.010B.DTT118,Itg.20.DTT507.S2,Itg.12.DTT471.S65,Lyz2.03B.DTT235.S75,Lyz2.05B.DTT258.S99,Itg.10.DTT459.S53,Itg.08.DTT447.S40,Vil1.09B.DTT107,Vil1.01B.DTT12,Vil1.013B.DTT156,Vil1.07B.DTT84,Vil1.014B.DTT167,Itg.26.DTT544.S40,Itg.04.DTT422.S14,Lyz2.08B.DTT295.S137,Itg.06.DTT435.S28,Vil1.06B.DTT71,Itg.16.DTT484.S79,Vil1.04B.DTT48,Lyz2.07B.DTT282.S124,Itg.06.DTT436.S29,Lyz2.08B.DTT296.S139,Itg.22.DTT520.S15,Vil1.07B.DTT83,Lyz2.02B.DTT222.S62,Lyz2.01B.DTT211.S51,Lyz2.01B.DTT212.S52,Vil1.02B.DTT22,Lyz2.07B.DTT283.S125,Itg.10.DTT458.S52,Vil1.08B.DTT94,Itg.02.DTT411.S3,Vil1.014B.DTT168,Vil1.09B.DTT108,Lyz2.05B.DTT259.S100,Itg.20.DTT506.S1,Lyz2.03B.DTT234.S74,Vil1.07B.DTT82,Vil1.013B.DTT154,Vil1.04B.DTT47,Itg.18.DTT494.S89,Lyz2.08B.DTT294.S136,Vil1.013B.DTT155,LYZdtt342,LYZdtt308,SLCdtt022,LYZdtt366,SLCdtt070,SLCdtt005,LYZdtt354,LYZdtt330,SLCdtt114,LYZdtt356,LYZdtt368,SLCdtt095,LYZdtt367,SLCdtt024,LYZdtt319,LYZdtt306,SLCdtt113,SLCdtt004,SLCdtt112,LYZdtt355,LYZdtt343,SLCdtt076,LYZdtt344,SLCdtt096,LYZdtt318,LYZdtt332,LYZdtt320,SLCdtt078,SLCdtt052,SLCdtt054,SLCdtt006,SLCdtt077,SLCdtt132,SLCdtt130,LYZdtt307,LYZdtt331,SLCdtt053,SLCdtt150,SLCdtt167,SLCdtt149,SLCdtt148,SLCdtt168,SLCdtt166
e5450be8d98da604aa4a1fa0ed722fe1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,0,0,0
49e9cee41713f4c00f8b171ecaff09b5,3,2,0,0,0,9,0,0,30,0,4,0,5,0,3,0,3,5,6,0,3,0,0,0,0,0,6,0,17,0,2,0,0,0,0,0,0,6,4,0,0,0,0,5,7,2,0,2,0,0,2,0,8,0,0,3,0,0,5,2,0,0,0,0,2,14,2,0,2,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,7,14,0,12,35,6,0,3,0,0,6,0,0,9,4,8,0,0,0,0,0,0,0,4,11,7,0,8,4,0,5,6,0,5,4,0,0,27,0,0,3,4,0,221,3,15
f5bf4e20e8a4c371b702c2cf491f56e8,63,1,0,2,0,17,0,6,30,10,57,12,5,0,1,0,7,6,3,18,2,0,6,5,195,16,37,1,224,4,6,31,0,0,0,0,0,4,2,0,2,0,1,3,68,17,2,28,3,2,3,3,4,0,0,61,0,5,4,15,0,6,0,1,0,8,5,0,24,0,4,0,1,0,10,1,0,0,49,0,1,17,2,0,361,0,93,12,16,93,29,0,12,10,0,0,0,9,0,65,0,28,0,0,0,0,31,0,0,58,24,170,0,131,48,54,20,0,0,8,15,0,0,75,46,0,13,4,38,354,3,1
a0d2e10ea5e00a9cb906c319ef542843,38,58,0,3,2,25,0,2,34,4,24,75,6,7,24,6,29,7,19,19,51,6,5,2,30,23,27,37,25,17,12,24,0,0,0,0,0,16,26,0,4,0,9,18,26,25,2,47,15,9,21,4,16,0,2,3,0,7,21,25,2,24,0,48,14,22,6,5,28,0,9,0,16,8,6,5,0,6,34,0,13,18,26,0,0,9,30,27,0,16,56,70,17,32,2,0,8,5,20,50,0,117,2,2,2,0,3,0,0,0,36,30,0,36,12,0,19,0,0,4,18,5,0,127,6,2,18,43,17,598,21,0
18285598fe8215895e323b758326f2e2,0,9,0,0,0,6,0,0,9,0,4,0,0,6,4,0,0,0,0,0,3,0,3,3,9,0,8,0,0,0,0,14,0,0,0,0,0,5,0,0,0,0,0,0,0,5,3,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,8,0,0,0,0,0,2,5,0,0,0,0,5,0,0,0,0,0,0,3,0,0,3,10,4,0,5,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,4,11,5,5,10,0,0,0,0,0,0,3,0,0,7,5,3,0,1,60,3,0
9ff8565480eb4d1ae1feec02a0dfce35,25,3061,0,422,0,2695,0,674,1146,333,80,68,19358,132,108,7,33,887,1315,1358,5862,1143,148,476,150,449,1668,2086,1159,998,1036,43,0,291,8,0,133,695,20920,0,127,0,0,2171,27,169,1155,87,187,92,1602,174,311,399,0,192,0,453,1076,1499,31,582,0,258,25,1121,115,34,1400,0,419,9,23,1261,119,189,0,1958,1869,185,1082,72,254,0,10,24,13,865,11,1257,280,1690,155,481,79,259,8897,440,207,207,73,110,178,80,178,115,19,58,85,175,352,375,136,446,25779,376,275,253,46,116,192,91,38,253,13635,279,2351,98,46,6755,1087,8
028e2c1b650e2e2b5847154a153e0166,0,0,0,7,17,111,13,92,48,129,0,0,19,0,10,8,70,19,0,74,14,17,0,0,0,0,14,15,0,0,27,0,21,23,7,0,9,0,0,0,0,10,0,0,20,120,12,19,0,15,0,21,49,0,1,84,0,506,14,0,18,28,0,11,0,7,6,108,9,0,0,0,10,0,218,0,10,9,1996,0,36,8,0,6,319,7,0,11,53,0,22,6,12,0,320,17,26,2,22,0,0,19,2,9,17,2,10,0,6,8,710,24,0,33,18,27,401,2,0,806,169,2,0,18,23,0,390,169,2316,0,597,0
8fde870b4c3464dbd28fb743c07f36f1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,4,0,0,3,6,0,9,0,0
3311c81da0640c29e6d9ed4f0529d3d5,6,0,0,25,0,6,0,2,2,0,0,0,0,2,0,2,0,0,0,0,0,12,0,0,0,2,0,9,33,0,7,0,0,0,0,0,0,0,4,0,0,0,3,0,6,0,0,0,0,0,0,0,17,2,0,0,0,2,0,3,0,5,0,2,3,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,5,0,0,12,13,0,0,0,0,0,2,0,10,37,0,0
4aa01b032f6f21994f27fd7c9ef08933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
