#OTU ID,TILC-DTT-774,TILC-DTT-739,TILC-DTT-736,TILC-DTT-852,TILC-DTT-778,TILC-DTT-845,TILC-DTT-744,TILC-DTT-843,TILC-DTT-737,TILC-DTT-850,TILC-DTT-813,TILC-DTT-810,TILC-DTT-841,TILC-DTT-846,TILC-DTT-743,TILC-DTT-735,TILC-DTT-809,TILC-DTT-851,TILC-DTT-777,TILC-DTT-844,TILC-DTT-773,TILC-DTT-848,TILC-DTT-734,TILC-DTT-807,TILC-DTT-780,TILC-DTT-742,TILC-DTT-849,TILC-DTT-738,TILC-DTT-740,TILC-DTT-771,TILC-DTT-816,TILC-DTT-772,TILC-DTT-741,TILC-DTT-779,TILC-DTT-808,TILC-DTT-815
1869a483ec54a322c6e637e32295b4ac,0,15,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,8,12,5,0,0,10,0,0,0
5ac11a278240fc2426f2f46219bc081a,0,0,0,2,0,0,0,9,0,0,3,0,5,0,0,0,0,2,0,0,0,4,0,3,0,0,0,0,0,0,1,0,0,0,0,1
ac09864643e3e040875e5bd8ace7cb83,0,2,0,0,0,0,0,0,0,0,3,0,13,0,0,31,0,0,0,0,0,0,42,0,0,0,0,2,0,7,0,0,0,0,0,0
f245c43b07137fcf39bd48c41cd0045d,0,0,0,0,0,0,0,2,0,0,2,0,11,0,0,5,0,0,2,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0
63b26504f32377cd78d6068bffb86b9a,6,7,0,6,0,0,8,0,0,0,0,0,0,0,0,145,0,0,0,0,0,0,478,0,0,87,0,5,2836,83,0,0,3703,3,0,0
668fdb718997fc1589c7817655d4bb5f,0,729,0,4,0,0,4,0,0,0,0,0,0,0,2,34,0,0,0,0,0,2,82,0,0,6,0,421,615,186,0,0,546,0,0,0
877d2f269c0098e711943433da21e87d,0,0,0,0,0,0,0,6,0,0,12,0,75,0,0,0,0,0,0,0,0,3,2,7,0,0,2,0,3,0,0,0,2,0,0,0
a6b6b795301ebacd388eec70cb9f8883,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,18,0,0,3,0,0,6,25,0,0,0,0,0,0,6,0,0,0,0,0,0
bcc7da211cfd8c6f2b18577d26787e5d,0,382,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,72,0,0,3,0,220,207,74,0,0,141,0,0,0
6f2414f3216c719e8f1a44de9f625c94,0,1115,2,0,0,0,5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,523,224,311,0,2,0,0,0,0
d7a480ef3329cd35e94fd58956fa41e1,0,131,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,76,29,327,0,3,0,0,0,0
a0adf234f4d7de26eb0d020166e47fa5,0,411,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,182,91,330,0,0,2,0,0,0
03af966ff07ddef2b87da992b85b600b,6,0,0,2,0,0,5,0,0,0,0,0,3,0,2,100,0,0,0,0,0,0,301,0,2,113,0,0,318,0,0,3,413,0,0,0
135167daa67f84ed57652d015b88386a,2,115,8,0,0,0,21,0,0,0,0,0,0,0,0,15,0,0,2,0,0,0,0,0,0,0,0,53,24,1378,0,4,3,0,0,0
37dac50f454a3cf754e83790eee77108,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,7,0,0,12,0,4,751,21,0,0,904,0,0,0
f66c5718c01e5c00a45a2fac7601810a,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,18,0,0,0,0,0,301,2,0,0,448,0,0,0
074478577353df0840cde9827351d2e9,0,2724,0,0,0,0,7,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1285,576,460,0,0,0,0,0,0
9d85dd1a9b3165337c7b7923f7859858,0,3,0,0,0,0,2,0,0,0,0,0,0,0,3,49,0,0,0,0,0,0,184,0,0,17,0,0,423,9,0,0,578,0,0,0
508524d40fa1145d6023b5a43a013f4c,0,256,3,0,0,0,2,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,94,0,0,258,0,109,117,44,0,0,95,0,0,0
62168286e8723c258e311dca841af696,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,93,0,0,3,0,0,134,3,0,0,182,0,0,0
162aba355417e2f3853de66ffbf707f8,0,113,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,62,45,287,0,0,0,0,0,0
