#OTU ID,Itg.18.DTT496.S91,Lyz2.05B.DTT260.S101,Vil1.13B.FP153,Itg.20.FP508.S11,Vil1.06B.DTT72,Lyz2.06B.DTT272.S114,Itg.20.DTT508.S3,Lyz2.03B.DTT236.S76,Itg.16.FP484.S87,Vil1.05B.FP60,Lyz2.01B.FP212.S60,Lyz2.02B.DTT224.S64,Vil1.09B.FP105,Vil1.02B.DTT24,Vil1.04B.FP48,Lyz2.07B.DTT284.S126,Vil1.03B.FP36,Itg.02.FP412.S12,Lyz2.02B.FP224.S72,Itg.02.DTT412.S4,Itg.26.FP544.S48,Itg.10.FP460.S62,Itg.04.DTT424.S16,Itg.18.FP496.S99,Vil1.08B.DTT96,Vil1.010B.DTT120,Itg.06.FP436.S37,Vil1.01B.FP12,Vil1.10B.FP117,Vil1.05B.DTT60,Lyz2.04B.DTT248.S89,Vil1.01B.DTT12,Vil1.013B.DTT156,Vil1.07B.DTT84,Vil1.06B.FP72,Vil1.02B.FP24,Itg.26.DTT544.S40,Lyz2.05B.FP260.S57,Itg.12.FP472.S74,Vil1.14B.FP165,Itg.16.DTT484.S79,Vil1.07B.FP84,Vil1.04B.DTT48,Itg.08.FP448.S49,Itg.04.FP424.S24,Itg.06.DTT436.S29,Lyz2.08B.DTT296.S139,Itg.22.DTT520.S15,Lyz2.01B.DTT212.S52,Lyz2.07B.FP284.S82,Lyz2.08B.FP296.S95,Lyz2.03B.FP236.S84,Vil1.014B.DTT168,Vil1.09B.DTT108,Itg.22.FP520.S23,Vil1.08B.FP93,Lyz2.06B.FP272.S70,SLCFP072,LYZFP308,LYZdtt308,SLCFP078,SLCFP024,SLCdtt114,LYZFP320,LYZdtt356,LYZdtt368,LYZFP356,SLCdtt024,LYZFP332,LYZdtt344,SLCdtt096,LYZdtt332,LYZdtt320,SLCdtt078,SLCFP054,SLCFP114,SLCFP006,SLCdtt054,SLCdtt006,SLCdtt132,SLCFP132,LYZFP344,SLCFP096,SLCdtt150,SLCdtt168,SLCFP150,taxonomy
55fa67427af49d0e149b71f3e492fc2f,0,0,0,0,0,2,3,0,0,0,0,0,7,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,2,0,0,0,6,3,4,0,1,1,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,
7f2a284a722c1b4a8d548cf5635d9d6e,4,1,0,0,0,2,1,0,0,2,0,1,3,2,0,0,2,0,0,0,1,0,2,0,0,0,0,1,1,0,2,0,1,0,8,0,3,0,1,1,1,30,0,1,1,0,0,3,0,0,0,1,5,0,2,351,0,0,206,53,0,0,0,0,0,63,0,0,16,6,0,22,0,0,0,0,0,0,0,0,0,0,0,0,15,110,
37e0f2e7c7ab2a2f738b92a61085aec0,5,23,2,1,0,0,0,8,8,8,0,6,10,0,3,0,7,10,0,4,5,2,0,2,0,0,0,0,4,0,0,0,0,0,19,5,9,0,22,40,3,43,0,2,1,0,0,0,1,0,0,0,12,0,6,1904,0,0,0,20,0,0,0,1,0,14,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
05b3c5e6170d8f2a2028b41de2e4fbfa,0,2,0,0,0,0,0,0,4,54,0,6,25,0,0,5,11,0,0,3,3,4,0,0,0,0,0,4,49,0,3,0,3,0,24,7,4,0,7,42,0,45,0,0,6,3,0,3,0,0,0,0,12,0,5,48,0,0,63,20,0,0,0,0,3,20,0,0,5,3,0,6,0,0,0,0,0,0,0,3,0,34,0,0,9,43,
faf82edd7b4917abc7158d7152136723,0,4,0,0,0,0,3,4,0,24,0,3,16,0,0,8,4,0,0,0,0,0,12,0,0,0,0,3,16,0,0,0,0,0,19,0,5,0,6,22,0,18,0,0,7,0,0,10,6,0,0,0,12,0,6,27,0,0,22,14,0,0,0,0,0,14,0,0,0,6,0,21,0,6,0,0,0,0,0,3,0,0,0,0,10,19,
b5c61551098444f976845a271dd33f4f,0,0,0,0,0,0,0,3,0,2,0,0,31,2,6,0,1,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,9,0,0,0,26,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,
1c49d51b2fb93e140ae5b7244034d346,4,4,0,0,0,0,0,3,4,25,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,22,0,3,0,0,0,27,0,0,0,4,10,0,22,0,0,6,0,0,3,0,0,0,0,10,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,5,0,0,14,1,1,
a8bb13e9e2b548216ed9a9619c1767a0,6,0,0,0,0,3,6,0,5,12,0,4,178,0,3,4,0,0,0,0,0,0,4,0,0,0,0,0,34,0,0,0,3,0,17,0,8,0,0,69,0,27,0,0,6,4,0,3,0,0,0,0,16,0,4,79,0,0,26,5,0,0,4,0,0,15,0,0,0,17,0,15,0,5,0,0,0,0,0,0,0,5,0,6,0,5,
bf5b6d2bedc4f3f44c7d707821b0f12b,5,0,4,0,0,4,0,4,0,10,0,4,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,20,0,3,0,0,0,5,0,0,0,5,47,0,13,0,0,7,0,0,0,0,0,0,0,3,0,4,0,0,0,17,4,0,0,0,3,0,15,0,0,0,3,0,0,2,2,2,0,0,0,2,0,0,3,0,4,3,11,
99417dd633fa8ea2fc2d6f5bfe6b3582,0,0,0,0,0,0,0,21,6,6,0,7,37,3,0,0,17,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,15,3,4,0,0,0,15,3,1,3,0,0,0,3,0,0,0,0,9,0,1,37,7,0,1,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,
ca36cc60802278a626b2d36b8da83ae6,0,0,0,0,0,0,0,3,0,7,0,0,15,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,19,0,4,0,4,0,0,0,1,0,0,0,0,11,0,5,44,0,0,17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,12,0,2,1,11,
0dc69705aa39eb92e3dc26eed8d677c6,9,0,0,0,0,0,0,2,2,5,0,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,6,0,0,0,2,5,3,14,0,0,2,0,0,6,0,0,0,0,8,0,0,14,0,0,6,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,5,
263274421870217476d2449c7184e666,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,1,0,2,0,1,0,0,7,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2f7c13322a20964e09b36ed3971078af,5,0,0,0,0,0,0,0,4,16,0,0,41,0,4,0,0,3,0,0,0,0,8,0,0,0,0,3,9,0,0,0,0,0,12,4,0,0,0,30,0,12,4,0,11,0,0,2,2,0,0,0,7,0,0,0,0,0,18,13,8,0,0,0,0,0,0,0,11,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,
0d1b4cdc41a51d019759c85b5795aad3,0,0,0,0,0,0,3,0,0,0,0,5,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,4,0,0,0,0,0,0,0,28,0,0,22,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,
33724dd8ccf73f1038563faea4af37e1,12,1,0,0,0,2,0,1,0,45,0,0,2,3,1,9,1,0,1,0,0,0,2,0,0,0,0,1,23,0,1,0,0,0,32,0,0,0,1,1,1,6,0,0,1,1,1,4,1,0,1,0,0,0,1,49,0,0,14,16,0,0,0,0,1,0,0,0,0,5,0,10,0,1,0,0,0,0,0,0,0,0,0,36,0,40,
6f0b4058c92e83c77533a218739a0e38,0,58,28,0,13,130,0,0,0,115,10,0,13,121,0,0,22,0,0,0,0,0,0,0,0,0,10,15,18,0,134,11,14,12,10,14,31,7,0,31,0,44,0,0,0,13,0,26,0,0,7,0,48,12,0,16,9,0,66,116,0,0,0,14,42,80,31,0,63,48,1,37,52,2,0,0,0,0,5,0,0,118,0,3,64,89,
95567a20354fa3a584ecf4f0ab229ef6,11,0,0,3,0,2,0,0,0,9,0,4,13,0,0,0,2,0,0,6,0,0,7,0,0,0,0,0,4,0,0,0,3,0,6,0,6,0,3,6,4,9,8,0,0,2,3,7,3,2,0,0,3,0,0,13,0,0,24,0,0,0,0,0,5,0,7,0,0,0,0,7,0,6,0,0,0,0,6,0,0,0,0,4,14,8,
