"KO"	"BioGeo.Itg.02.FP407.S7"	"BioGeo.Itg.02.FP411.S11"	"BioGeo.Itg.04.FP419.S19"	"BioGeo.Itg.04.FP423.S23.Rep1_S87"	"BioGeo.Itg.06.FP431.S32"	"BioGeo.Itg.06.FP435.S36"	"BioGeo.Itg.08.FP443.S44"	"BioGeo.Itg.08.FP447.S48"	"BioGeo.Itg.10.FP455.S57"	"BioGeo.Itg.10.FP459.S61"	"BioGeo.Itg.12.FP467.S69"	"BioGeo.Itg.12.FP471.S73"	"BioGeo.Itg.16.FP479.S81.Rep1_S86"	"BioGeo.Itg.16.FP483.S86"	"BioGeo.Itg.18.FP491.S94"	"BioGeo.Itg.20.FP503.S6"	"BioGeo.Itg.20.FP507.S10"	"BioGeo.Itg.22.FP515.S18"	"BioGeo.Itg.22.FP519.S22"	"BioGeo.Itg.24.FP527.S30"	"BioGeo.Itg.24.FP531.S34"	"BioGeo.Itg.26.FP539.S43"	"BioGeo.Itg.26.FP543.S47"	"BioGeo.LYZFP303"	"BioGeo.LYZFP307"	"BioGeo.LYZFP315"	"BioGeo.LYZFP319"	"BioGeo.LYZFP327.Rep1_S105"	"BioGeo.LYZFP339"	"BioGeo.LYZFP351.Rep1_S106"	"BioGeo.LYZFP355"	"BioGeo.Lyz2.01B.FP207.S55"	"BioGeo.Lyz2.01B.FP211.S59"	"BioGeo.Lyz2.02B.FP219.S67"	"BioGeo.Lyz2.02B.FP223.S71"	"BioGeo.Lyz2.03B.FP231.S79"	"BioGeo.Lyz2.03B.FP235.S83"	"BioGeo.Lyz2.04B.FP243.S92"	"BioGeo.Lyz2.04B.FP247.S44"	"BioGeo.Lyz2.05B.FP255.S52"	"BioGeo.Lyz2.05B.FP259.S56"	"BioGeo.Lyz2.06B.FP267.S64"	"BioGeo.Lyz2.06B.FP271.S69"	"BioGeo.Lyz2.07B.FP279.S77"	"BioGeo.Lyz2.07B.FP283.S81"	"BioGeo.Lyz2.08B.FP291.S89"	"BioGeo.Lyz2.08B.FP295.S93"	"BioGeo.Mouse10A_FP109"	"BioGeo.Mouse10A_FP113"	"BioGeo.Mouse1A_FP01"	"BioGeo.Mouse1A_FP05"	"BioGeo.Mouse2A_FP07"	"BioGeo.Mouse2A_FP11.REP1_S55"	"BioGeo.Mouse3A_FP13"	"BioGeo.Mouse3A_FP17"	"BioGeo.Mouse4A_FP23.Rep1_S92"	"BioGeo.Mouse5A_FP25"	"BioGeo.Mouse5A_FP29.REP1_S53"	"BioGeo.Mouse6A_FP31"	"BioGeo.Mouse6A_FP35.Rep1_S93"	"BioGeo.Mouse7A_FP37"	"BioGeo.Mouse7A_FP41.REP1_S54"	"BioGeo.Mouse8A_FP85"	"BioGeo.Mouse8A_FP89"	"BioGeo.Mouse9A_FP101"	"BioGeo.Mouse9A_FP97"	"BioGeo.SLCFP001"	"BioGeo.SLCFP005.REP1_S24"	"BioGeo.SLCFP019a"	"BioGeo.SLCFP023.REP1_S26"	"BioGeo.SLCFP071.REP1_S27"	"BioGeo.SLCFP077"	"BioGeo.SLCFP091.REP1_S29"	"BioGeo.SLCFP095"	"BioGeo.SLCFP109"	"BioGeo.SLCFP113"	"BioGeo.SLCFP127"	"BioGeo.SLCFP131.REP1_S33"	"BioGeo.TL1A_FP_625.REP1_S16"	"BioGeo.TL1A_FP_629"	"BioGeo.TL1A_FP_637"	"BioGeo.TL1A_FP_641"	"BioGeo.TL1A_FP_673.REP1_S20"	"BioGeo.TL1A_FP_677.REP1_S21"	"BioGeo.TL1A_FP_685.REP1_S22"	"BioGeo.TL1A_FP_685"	"BioGeo.TL1A_FP_689.Rep1_S104"	"BioGeo.TL1a_FP_101.REP1_S6"	"BioGeo.TL1a_FP_127"	"BioGeo.TL1a_FP_131"	"BioGeo.TL1a_FP_139"	"BioGeo.TL1a_FP_143"	"BioGeo.TL1a_FP_193.Rep1_S85"	"BioGeo.TL1a_FP_197.REP1_S10"	"BioGeo.TL1a_FP_205"	"BioGeo.TL1a_FP_209.REP1_S11"	"BioGeo.TL1a_FP_229.REP1_S12"	"BioGeo.TL1a_FP_233.REP1_S13"	"BioGeo.TL1a_FP_241"	"BioGeo.TL1a_FP_61"	"BioGeo.TL1a_FP_65"	"BioGeo.TL1a_FP_73.REP1_S3"	"BioGeo.TL1a_FP_77.REP1_S4"	"BioGeo.TL1a_FP_77"	"BioGeo.TL1a_FP_85"	"BioGeo.Vil1.01B.FP07.Rep1_S107"	"BioGeo.Vil1.01B.FP11"	"BioGeo.Vil1.02B.FP19"	"BioGeo.Vil1.02B.FP23"	"BioGeo.Vil1.03B.FP31"	"BioGeo.Vil1.03B.FP35.REP1_S38"	"BioGeo.Vil1.04B.FP43.Rep1_S88"	"BioGeo.Vil1.04B.FP47"	"BioGeo.Vil1.05B.FP55"	"BioGeo.Vil1.05B.FP59.REP1_S37"	"BioGeo.Vil1.06B.FP67"	"BioGeo.Vil1.06B.FP71"	"BioGeo.Vil1.07B.FP79"	"BioGeo.Vil1.07B.FP83"	"BioGeo.Vil1.08B.FP92.REP1_S41"	"BioGeo.Vil1.08B.FP94.REP1_S42"	"BioGeo.Vil1.09B.FP104"	"BioGeo.Vil1.09B.FP106"	"BioGeo.Vil1.10B.FP116.REP1_S44"	"BioGeo.Vil1.10B.FP118.REP1_S45"	"BioGeo.Vil1.13B.FP152"	"BioGeo.Vil1.13B.FP154.REP1_S47"	"BioGeo.Vil1.14B.FP164"	"BioGeo.Vil1.14B.FP166"
"K01951"	0	0	0	0	0	0	0	0	0	8.38549E-05	0	0	0	0	0	0	0	0	0	0	0.00016462	0	0	1.6888414E-05	3.8537516E-05	4.483191E-05	7.9052684E-05	4.3161992E-05	6.0528597E-05	2.9273771E-05	8.8261821E-05	1.8759036E-05	3.0356978E-05	1.6654713E-05	4.0074906E-05	5.1217452E-05	9.4938801E-05	8.0455195E-05	0.0002323781	6.4508284E-05	0.000123495285	2.3099534E-05	0.000134446647	4.6041923E-05	9.138929E-05	1.7647998E-05	2.2212442E-05	3.3883672E-05	2.9268473E-05	0	6.182222E-05	5.896219E-05	6.55922215E-05	6.1280248E-05	4.507082E-05	3.07780583E-05	5.7880718E-05	6.55744556E-05	2.3592571E-05	2.498011E-05	6.4096096E-05	7.033405E-05	1.2568257E-05	4.0872877E-05	2.516023E-05	1.9570432E-05	4.6635246E-05	0.000169558064	4.736898E-05	0.0001011300441	5.870567E-05	3.5094291E-05	3.9482724E-05	0.000240852927	0	0	2.57141E-05	4.3865573E-05	3.532843E-05	7.3825669E-05	5.6943465E-05	3.5678046E-05	1.56739247E-05	1.288663E-05	6.0912372E-05	5.6873049E-05	3.150665E-05	0	2.6479897E-05	0.000181065	8.3725517E-05	4.21376E-05	8.4435236E-05	0.00012218678	7.7489713E-05	4.266237E-05	2.8783184E-05	0.000185623004	0.000115110892	8.1378927E-05	5.9259735E-05	0.0001008532863	9.791711E-05	9.6742E-05	1.3766799E-05	3.2106322E-05	3.5455894E-05	5.9421181E-05	0.000107564733	5.1008854E-05	0.0001256499009	5.79731236E-05	0.000170200229	8.5794935E-05	3.05893948E-05	3.705414E-05	3.06007E-05	5.3084415E-05	0.000102851633	1.24577205E-05	9.15473E-06	4.0457514E-05	0.00020650595	5.8317929E-05	0.000201764673	0.00036713066	8.8789752E-05	2.8336961E-05	0.00045639126
"K01952"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4262003E-05	6.2904355E-05	7.3183579E-05	0.000151958354	4.3635413E-05	5.7384888E-05	2.239136E-05	9.42998E-05	1.1069721E-05	3.106902E-05	6.040845E-06	3.6832235E-05	2.4575368E-05	6.204003E-05	5.2030148E-05	0.0001614299	6.6128481E-05	0.000153004425	1.0382763E-05	9.5629318E-05	3.8802623E-05	9.5916879E-05	1.4908163E-05	2.4064337E-05	1.0749369E-05	1.151206E-05	0	5.959959E-05	2.6166881E-05	4.67803742E-05	1.9007097E-05	4.7167986E-05	3.0859582E-05	3.7065487E-05	2.64650321E-05	1.0180478E-05	8.36813E-06	3.7922058E-05	3.321227E-05	2.909078E-06	1.824257E-05	1.478142E-05	7.431355E-06	1.767325E-05	8.47221101E-05	2.8730872E-05	9.763337E-05	3.64039E-05	3.1251219E-05	2.067335E-05	0.000150049915	0	0	2.570135E-05	2.592333E-05	2.5948319E-05	6.5969419E-05	7.82437E-06	1.2263956E-05	6.940824E-06	1.452339E-05	7.256774E-06	7.704311E-06	1.12605E-05	0	5.254963E-06	0.000315402	2.190321E-06	0	1.5750174E-05	9.24759E-05	4.234629E-06	1.42080158E-05	6.002992E-06	7.554972E-05	5.02681E-07	4.663271E-06	2.6456855E-05	4.234466E-06	2.8806671E-05	3.70119E-05	5.973258E-06	2.4210718E-05	3.2457969E-05	2.9538391E-05	7.516837E-05	3.6249962E-05	0.000129433767	5.0295839E-05	0.000139003818	8.2452328E-05	3.3087757E-05	3.2722643E-05	4.49651E-05	4.714714E-05	0.000105043414	7.225657E-06	1.47264E-05	2.3461373E-05	0.000200580388	4.2796694E-05	0.000217140601	0	1.0335296E-06	1.6640294E-05	0.0001733496
"K01953"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.418343E-05	3.9917837E-05	3.832581E-05	8.4115734E-05	3.3189977E-05	4.5782469E-05	1.9339483E-05	5.689952E-05	5.62323E-06	2.00979E-05	3.296656E-06	2.20566E-05	2.5306345E-05	5.8275209E-05	5.24921E-05	0.0001628034	4.4956075E-05	9.2288891E-05	9.882361E-06	0.000103556528	2.6107115E-05	6.2825846E-05	7.182019E-06	1.24793E-05	1.3616164E-05	4.33088E-06	0	3.734936E-05	2.588544E-05	1.71176483E-05	4.2475318E-05	5.17132E-05	2.88604549E-05	1.0080725E-05	3.17001027E-05	8.802878E-06	2.277809E-05	1.5465033E-05	1.986869E-05	2.954062E-06	7.48983E-07	0	8.435752E-06	1.1526692E-05	0.00013766066	1.5538294E-05	7.1306696E-05	2.921047E-05	2.234112E-05	1.4698081E-05	0.00020688305	0	0	0	1.1598801E-05	1.5234875E-05	2.1176011E-05	5.216155E-06	5.5022E-06	1.48434E-06	6.15186E-06	4.740513E-06	4.949954E-06	0	0	2.72073E-06	0.000199661	7.7499E-06	0	2.484736E-05	0.0001126167	2.5191219E-05	1.8072952E-05	1.8402208E-05	0.00017303795	2.639017E-06	9.176397E-06	3.776961E-06	5.5551872E-06	6.60784E-06	3.52401E-06	4.468846E-06	1.52696E-05	2.26592E-05	4.127909E-05	7.220292E-05	3.0298356E-05	6.06970579E-05	3.73563829E-05	0.000133339543	4.68884E-05	2.761821E-05	2.4134059E-05	3.32235E-05	2.7370754E-05	6.6641419E-05	3.042161E-06	1.0828E-05	1.1870116E-05	0.00012967691	2.8016484E-05	0.00011759209	0.00040030466	2.1211227E-05	1.2977812E-05	0.00036780429
"K01955"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.63447E-05	0	0	0	0	0	0	0	0	1.0344662E-05	9.654382E-06	5.836812E-06	3.646839E-06	4.1669367E-05	5.8326946E-05	2.5200272E-05	8.0052304E-05	1.3472792E-05	2.94167E-05	9.849046E-06	3.1544263E-05	1.3502956E-05	2.2559504E-05	2.0374086E-05	5.91601E-05	5.3832695E-05	0.000103580646	1.6460557E-05	6.1033082E-05	4.1225881E-05	9.7162216E-05	1.4303209E-05	2.2436399E-05	1.0375738E-05	3.226579E-06	0	8.20422E-06	2.0286337E-05	2.7744676E-05	2.6248881E-05	3.1693211E-05	1.4091948E-05	1.2616571E-05	3.48427468E-05	3.737865E-06	1.084442E-05	1.5721331E-05	1.946334E-05	4.468268E-06	8.7578E-06	5.3641E-06	6.382531E-06	1.2419353E-05	7.98525589E-05	1.9190057E-05	8.02994581E-05	1.5252236E-05	1.6251779E-05	1.8587693E-05	8.9090791E-05	0	0	7.76529E-06	1.7339493E-05	2.3411774E-05	6.7301345E-05	2.7815125E-05	3.7002727E-05	7.605792E-06	1.751797E-05	3.4639422E-05	3.2241686E-05	3.488708E-05	0	9.733545E-06	0	5.276005E-05	2.81766E-05	2.2525642E-05	5.242007E-05	2.7141393E-05	3.70714546E-05	2.296408E-05	0.000120128206	7.3253899E-05	2.8527665E-05	4.754538E-05	4.37613205E-05	5.446609E-05	6.264045E-05	1.2396476E-05	1.9636358E-05	3.1358647E-05	3.0248359E-05	6.7287569E-05	3.853142E-05	4.3179518E-05	4.44622401E-05	0.000148094096	8.6890616E-05	1.86850658E-05	3.5748733E-05	3.95153E-05	4.7381911E-05	0.000105316986	1.1313459E-05	9.18137E-06	1.9674591E-05	0.000195691327	4.2167249E-05	0.000206499779	0.000242096113	3.6484541E-05	1.9388264E-05	0.0002251963
"K01956"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.2465697E-05	3.2565479E-05	3.894594E-05	6.827845E-05	4.9873035E-05	6.2800982E-05	2.770674E-05	9.350474E-05	1.3276258E-05	3.338772E-05	9.33293E-06	3.956251E-05	2.824137E-05	4.879011E-05	3.9901115E-05	0.0001182637	6.3860871E-05	0.000126307321	1.4412483E-05	6.773653E-05	4.3216928E-05	0.000103127549	1.7886638E-05	2.6334694E-05	1.6916516E-05	1.6122328E-05	0	3.083886E-05	3.9254042E-05	3.8583992E-05	4.0871629E-05	4.4754541E-05	2.47078861E-05	4.0121315E-05	2.93478912E-05	1.14061321E-05	1.268953E-05	4.1454692E-05	3.965086E-05	2.391119E-06	1.301744E-05	8.03684E-06	1.0302545E-05	2.1662197E-05	5.3582712E-05	3.3747569E-05	8.5626878E-05	4.276525E-05	1.320674E-05	2.0884227E-05	5.9329464E-05	0	0	2.32456E-05	2.4946531E-05	9.0290411E-05	5.7320178E-05	5.0440115E-05	5.240936E-05	1.7123948E-05	9.270278E-06	4.3843592E-05	4.0749822E-05	0.00011059211	1.12466E-05	1.4138645E-05	0.000129715	1.3390602E-05	0	3.3585246E-05	6.494819E-05	5.0310338E-05	9.0716394E-05	2.0821604E-05	0.000103628541	1.7136782E-05	2.5685396E-05	0.000111640694	2.49005317E-05	4.5748597E-05	5.090607E-05	1.0565271E-05	3.1266527E-05	3.1464873E-05	3.6540436E-05	7.243853E-05	4.5003861E-05	4.78099459E-05	5.49650957E-05	0.000134384387	7.53835E-05	2.1915667E-05	3.7497464E-05	3.77415E-05	4.3931832E-05	9.9125174E-05	8.236821E-06	1.230065E-05	2.6468406E-05	0.000163852917	4.5135896E-05	0.000209625181	2.3445503E-05	4.3330699E-05	1.6435383E-05	8.267193E-05
"K01958"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.34057E-06	0	2.56012E-06	0	0	0	0	0	0	0	0	0	1.01816E-06	0	0	0	3.25666E-06	1.014164E-06	6.891846E-06	0	1.722688E-06	0	1.88636E-06	0	2.196E-07	0	0	0	1.202202E-06	0	0	0	0	2.897685E-07	0	0	0	0	0	0	0	0	0	2.80407E-06	9.84284E-07	5.0846E-06	2.47173E-06	6.81379E-06	4.00717E-07	0	0	0	0	3.71575E-06	0	5.29551E-06	0	0	4.56225E-06	0	0	0	0	0	0	0	0	0	0	0	3.55574E-07	0	0	3.25478E-06	0	0	0	5.96794E-08	0	0	0	0	3.268151E-06	0	0	0	4.115316E-07	2.659082E-07	2.73911E-06	0	4.24338E-07	0	0	0	1.279403E-06	3.78851E-07	0	3.72415E-07	0	8.6093E-07	2.479586E-06	0	1.55994E-07	0	1.02158E-06
"K01960"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.318505E-06	2.70349E-06	8.045035E-06	2.53049E-06	8.03134E-06	7.432805E-06	7.35714E-06	1.0832E-05	7.75558E-06	3.10383E-06	5.71322E-06	2.65501E-06	6.53659E-06	2.60635E-06	6.53554E-06	0	8.14461E-06	7.45602E-06	5.223167E-06	1.12749E-06	8.71841E-06	9.84441E-07	7.34757E-06	0	1.342743E-05	1.30921E-05	0	1.21927E-05	2.3284832E-05	2.59455E-05	1.64604E-05	6.77439E-07	2.2899E-06	2.9515E-05	1.108943E-05	6.54867E-06	0	3.13448E-05	2.29367E-05	4.978621E-06	1.7014806E-05	1.04186E-05	1.0535032E-05	1.0071494E-05	5.49579E-06	1.0517976E-05	3.98749E-06	9.70341E-06	1.68194E-06	8.85082E-06	0	0	0	1.2603E-05	1.49395E-05	1.235573E-05	0	3.31101E-07	0	1.1361962E-05	1.64158E-06	2.64035E-07	1.76855E-07	0	0	5.39195E-06	0	5.11725E-07	0	6.066348E-06	0	0	0	6.49331E-06	1.29707E-06	0	8.24676E-07	0	6.86536E-07	0	0	8.42302E-06	9.543505E-06	4.78342E-07	9.834034E-06	6.45176E-06	8.840314E-06	2.73327E-07	9.058447E-06	1.10978E-06	8.054421E-06	7.54239E-07	8.7834E-06	0	8.76182E-06	1.33812E-06	6.746532E-06	0	1.283217E-05	3.33087E-07	1.089358E-05	0	0	1.16038E-07	6.909796E-06	3.10662E-07
"K01961"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.170962E-06	6.611491E-06	4.603408E-06	8.413946E-06	2.403893E-06	9.03704E-07	1.73192E-06	0	6.75525E-07	0	1.392094E-06	0	6.82421E-07	1.32207E-06	2.562575E-06	0	2.043947E-06	3.411306E-06	1.413638E-06	3.013096E-06	7.69165E-07	1.610397E-06	2.45964E-07	2.974274E-06	1.307228E-06	1.42539E-07	0	0	0	3.4325876E-06	8.63436E-07	1.66525E-06	1.2681593E-06	1.364039E-06	6.755783E-06	0	0	1.894385E-06	2.93881E-06	0	1.18589E-06	0	0	1.560699E-06	4.814777E-06	1.9393E-06	5.34687E-06	3.65379E-06	3.465448E-06	2.890213E-06	4.25982E-06	0	0	0	6.37535E-06	0	4.091204E-06	8.833312E-06	1.284367E-05	1.437633E-06	1.0451E-06	8.844435E-06	8.796676E-06	1.947906E-05	6.44059E-06	9.58389E-07	1.22471E-05	2.327756E-06	0	9.0913E-07	4.63572E-06	0	1.12509402E-05	2.103492E-06	3.681132E-06	5.59769E-07	4.533389E-06	2.961208E-05	4.9806826E-06	2.984407E-05	3.894325E-05	1.305156E-06	1.416689E-06	0	2.583701E-06	1.247382E-06	1.320253E-06	6.279705E-06	1.8040604E-06	6.68036E-07	3.90194E-07	4.84411E-07	1.64775E-06	0	8.46558E-07	2.237901E-06	9.16937E-07	7.45189E-07	6.2895E-07	6.20241E-07	2.420064E-06	2.119821E-06	0	1.716031E-06	1.050684E-06	4.43697E-06
"K01962"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0539E-06	6.234506E-06	8.62961E-07	2.066563E-06	3.178691E-06	7.55118E-07	0	0	0	1.03128E-06	4.96646E-07	0	2.20948E-07	0	6.68734E-07	0	8.485704E-06	4.384057E-06	4.967868E-06	5.995029E-06	6.30626E-07	8.3117E-07	0	1.28035E-06	7.33706E-07	0	0	0	2.9346E-07	1.648755E-06	0	0	0	4.08164E-07	2.910897E-06	4.91103E-07	0	8.97874E-07	0	0	4.49217E-07	0	0	1.2913E-06	5.3442434E-06	2.830477E-06	9.389221E-06	5.322383E-06	1.045083E-05	3.66249E-06	3.27815E-07	0	0	0	9.347996E-06	0	4.050467E-06	6.51895E-06	7.39459E-06	2.87564E-06	1.53342E-06	6.669949E-06	7.006723E-06	7.53881E-06	7.95761E-06	8.56441E-07	0	2.314234E-06	0	0	0	6.886725E-06	2.43248421E-05	1.762989E-06	2.05817E-06	3.8328E-07	4.294304E-06	2.7574682E-05	3.8028742E-06	3.352672E-05	4.065665E-05	1.451053E-06	1.040868E-06	1.45203E-06	6.69557E-06	2.790105E-06	7.78801E-07	3.62236062E-05	6.526111E-06	2.239424E-06	0	2.08804E-07	1.968015E-06	0	6.67658E-07	1.59368E-06	3.86675E-07	3.98675E-06	3.69367E-06	1.256297E-05	6.165387E-06	2.168069E-06	0	7.5829E-07	2.740464E-06	4.58337E-06
"K01963"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.893566E-06	2.5907018E-05	2.4097959E-05	5.845374E-05	2.67168E-06	1.89836E-06	0	4.47158E-07	0	0	6.24415E-07	0	7.530019E-06	1.86465E-05	2.2324372E-05	6.71139E-05	1.0797439E-05	2.1247712E-05	5.08362E-06	2.8335826E-05	1.093944E-06	8.3117E-07	6.53434E-07	1.663538E-06	0	9.64774E-07	0	1.47792E-05	5.44745E-07	3.555062E-06	2.273408E-06	2.000226E-05	8.29466E-06	1.46735E-06	4.051231E-06	5.86881E-07	0	1.48954E-06	0	0	2.88053E-07	0	2.75115E-07	3.268248E-06	2.3179731E-05	3.323962E-06	1.601749E-05	8.14226E-06	1.383109E-05	4.98938E-06	4.804513E-05	0	0	0	8.627173E-06	0	4.050467E-06	6.40971E-06	7.13684E-06	2.87564E-06	0	6.41964E-06	5.97538E-06	7.53881E-06	2.89956E-06	1.954301E-06	0.000130974	1.845494E-06	0	4.586468E-06	3.23309E-05	6.231348E-06	1.6525726E-05	2.640334E-06	2.338568E-05	6.4975E-07	2.442144E-06	1.9576662E-05	2.8706411E-06	2.015927E-05	2.656237E-05	2.375082E-06	9.69755E-07	1.45203E-06	7.40787E-06	1.2175725E-05	1.562206E-06	6.6822951E-05	4.9615188E-06	6.199861E-06	0	4.547011E-06	3.130907E-06	0	5.66687E-07	1.59368E-06	3.86675E-07	3.98675E-06	1.83687E-06	1.1373902E-05	5.311914E-06	7.925474E-06	0	1.116007E-06	2.826048E-06	4.334519E-05
"K01966"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.33045E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K01972"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.1507867E-05	4.1106789E-05	3.8767878E-05	7.429361E-05	3.9539096E-05	6.0301234E-05	2.373911E-05	7.5805327E-05	1.6012729E-05	1.982118E-05	9.871914E-06	2.634009E-05	2.8414952E-05	5.4166472E-05	5.5247846E-05	0.0001802024	6.1212959E-05	0.000108437134	1.8393713E-05	6.612843E-05	3.9039474E-05	7.2610434E-05	1.5067983E-05	1.3562304E-05	1.8288072E-05	1.094513E-05	0	3.589011E-05	4.477437E-05	4.3635299E-05	4.400571E-05	3.4382639E-05	2.7166829E-05	4.1230562E-05	3.0815339E-05	1.4710394E-05	1.119538E-05	4.4587013E-05	3.360914E-05	4.117538E-06	1.3672304E-05	1.181367E-05	1.3766309E-05	1.9054032E-05	7.45344801E-05	3.095209E-05	7.488672E-05	3.2997171E-05	2.2945223E-05	1.7637397E-05	7.211867E-05	0	0	1.07892E-05	2.3743254E-05	7.3496597E-05	7.0767043E-05	5.3982484E-05	5.914159E-05	8.937763E-06	6.71645E-06	4.7568535E-05	4.7900708E-05	9.03816E-05	5.003284E-05	1.362451E-05	0.00016581	2.5900464E-05	0	4.4867195E-05	7.86725E-05	5.96764307E-05	8.14774161E-05	1.7591784E-05	0.000138263334	1.4460409E-05	4.8916675E-05	0.000108926972	4.45146555E-05	6.4072E-05	6.322623E-05	8.17863E-06	2.4161365E-05	2.8318191E-05	4.2018502E-05	6.3071298E-05	3.4118811E-05	8.37891838E-05	5.0939767E-05	0.000111329251	7.5613546E-05	2.0303059E-05	3.3967582E-05	2.89672E-05	4.2304503E-05	8.183692E-05	7.887898E-06	1.04972E-05	2.8145072E-05	0.00015570246	4.2828238E-05	0.000143509237	2.9077763E-05	6.350777E-05	2.0190361E-05	9.723193E-05
"K01974"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.62195E-07	0	1.61704E-06	1.2321E-06	0	3.60224E-07	3.57713E-07	0	0	0	0	0	0	0	1.02695E-06	0	0	0	6.97454E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	3.25899E-07	0	0	0	0	0	5.91061E-07	0	0	1.25267E-06	2.06084E-06	1.88047E-06	4.31299E-06	1.99313E-06	0	4.43157E-06	5.27971E-07	0	0	0	6.05715E-06	6.94801E-07	0	4.98383E-06	1.28841E-06	1.89022E-07	0	3.79351E-06	3.93805E-06	0	0	0	0	1.37206E-06	0	0	0	1.95372E-07	1.08395E-07	0	0	0	3.06772E-06	2.21356E-05	2.24507E-06	2.34053E-05	3.53663E-05	0	1.02369E-06	0	1.09703E-06	0	3.01098E-06	2.129185E-07	1.15432E-06	0	3.42032E-07	1.54359E-07	6.49044E-07	0	0	0	0	0	0	0	1.47924E-06	0	0	6.68465E-07	0	0
"K01975"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.48716E-07	0	1.866999E-06	0	7.78916E-07	0	0	0	0	0	4.78041E-07	0	0	0	2.853128E-06	6.85389E-07	1.42376E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.2202E-07	0	0	3.7229E-07	0	0	1.47866E-07	0	0	6.10982E-07	1.60301E-06	1.53292E-06	3.055187E-06	1.09739E-06	0	2.77276E-06	0	0	0	0	4.7366E-06	8.87312E-07	0	2.86826E-06	0	0	0	2.02552E-06	2.8967E-06	0	2.54834E-05	0	0	5.33464E-07	0	0	0	6.77362E-07	8.10464E-07	0	0	0	2.52115E-06	1.54321E-05	1.54733E-06	1.94213E-05	2.50053E-05	6.67532E-08	1.29874E-06	0	2.32624E-06	0	0	9.017834E-07	2.482442E-06	0	0	0	7.88809E-07	0	0	0	1.94196E-07	0	1.05705E-06	3.85622E-06	2.129137E-06	0	0	4.85179E-07	7.53193E-07	1.48053E-06
"K01989"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.731437E-06	2.177649E-05	2.267389E-05	4.4829855E-05	7.8437003E-05	0.000128020827	3.971569E-05	0.00017671443	1.1781733E-05	4.87135E-05	5.617036E-06	6.66189E-05	2.1006519E-05	5.0010844E-05	3.42325E-05	0.0001331288	0.000114969736	0.000228594419	1.1964203E-05	9.26782E-05	7.0440467E-05	0.0002039537	1.7363512E-05	3.6811771E-05	1.898159E-06	3.119365E-06	0	2.635584E-05	1.1564198E-05	1.4093821E-05	2.0355364E-05	2.8145112E-05	2.0832798E-05	5.382198E-06	2.41596852E-05	3.023674E-06	9.91152E-06	1.2137204E-05	2.129331E-05	0	4.392476E-06	0	0	5.068433E-06	5.714372E-05	3.9595799E-05	0.00016651915	1.081482E-05	1.489404E-05	7.591283E-06	6.6392183E-05	0	0	0	7.296172E-06	3.9115934E-05	6.07081E-05	4.771757E-06	1.36253E-06	4.274646E-06	1.916321E-05	3.77748E-06	3.704006E-06	0	0	9.28325E-07	0	1.2088E-06	0	1.3787818E-05	5.89562E-05	7.065637E-06	1.836573E-05	1.019997E-05	0.00011364325	5.85211E-07	2.771516E-06	2.2180543E-05	3.0606179E-06	2.3033511E-05	2.39819E-05	1.239209E-06	4.0006015E-05	6.9278E-05	3.9873893E-05	0.00011429741	6.267084E-05	4.39810755E-05	9.5083384E-05	0.0002971773	0.000137046523	4.2221642E-05	6.1029687E-05	9.05769E-05	8.3258799E-05	0.0002089915	6.06939E-06	2.93739E-05	3.2344437E-05	0.00035985588	7.1396318E-05	0.000373108725	0	6.11868E-07	1.6573942E-05	0.00012685897
