"KO"	"BioGeo.TL1a_FP_127"	"BioGeo.TL1a_FP_131"	"BioGeo.TL1a_FP_193.Rep1_S85"	"BioGeo.TL1a_FP_197.REP1_S10"	"BioGeo.TL1a_FP_229.REP1_S12"	"BioGeo.TL1a_FP_233.REP1_S13"	"BioGeo.TL1A_FP_625.REP1_S16"	"BioGeo.TL1A_FP_629"	"BioGeo.TL1A_FP_673.REP1_S20"	"BioGeo.TL1A_FP_677.REP1_S21"	"BioGeo.TL1a_FP_85"	"BioGeo.TL1a_FP_101.REP1_S6"	"BioGeo.TL1a_FP_139"	"BioGeo.TL1a_FP_143"	"BioGeo.TL1a_FP_205"	"BioGeo.TL1a_FP_209.REP1_S11"	"BioGeo.TL1a_FP_241"	"BioGeo.TL1a_FP_61"	"BioGeo.TL1A_FP_637"	"BioGeo.TL1A_FP_641"	"BioGeo.TL1a_FP_65"	"BioGeo.TL1A_FP_685.REP1_S22"	"BioGeo.TL1A_FP_689.Rep1_S104"	"BioGeo.TL1a_FP_73.REP1_S3"	"BioGeo.TL1a_FP_77.REP1_S4"	"BioGeo.Lyz2.01B.FP207.S55"	"BioGeo.Lyz2.01B.FP211.S59"	"BioGeo.Lyz2.02B.FP219.S67"	"BioGeo.Lyz2.02B.FP223.S71"	"BioGeo.Lyz2.03B.FP231.S79"	"BioGeo.Lyz2.03B.FP235.S83"	"BioGeo.Lyz2.04B.FP243.S92"	"BioGeo.Lyz2.04B.FP247.S44"	"BioGeo.Lyz2.05B.FP255.S52"	"BioGeo.Lyz2.05B.FP259.S56"	"BioGeo.Lyz2.06B.FP267.S64"	"BioGeo.Lyz2.06B.FP271.S69"	"BioGeo.Lyz2.07B.FP279.S77"	"BioGeo.Lyz2.07B.FP283.S81"	"BioGeo.Lyz2.08B.FP291.S89"	"BioGeo.Lyz2.08B.FP295.S93"	"BioGeo.LYZFP303"	"BioGeo.LYZFP307"	"BioGeo.LYZFP315"	"BioGeo.LYZFP319"	"BioGeo.LYZFP327.Rep1_S105"	"BioGeo.LYZFP339"	"BioGeo.LYZFP351.Rep1_S106"	"BioGeo.LYZFP355"	"BioGeo.Mouse10A_FP109"	"BioGeo.Mouse10A_FP113"	"BioGeo.Mouse1A_FP01"	"BioGeo.Mouse1A_FP05"	"BioGeo.Mouse2A_FP07"	"BioGeo.Mouse2A_FP11.REP1_S55"	"BioGeo.Mouse3A_FP13"	"BioGeo.Mouse3A_FP17"	"BioGeo.Mouse4A_FP23.Rep1_S92"	"BioGeo.Mouse5A_FP25"	"BioGeo.Mouse5A_FP29.REP1_S53"	"BioGeo.Mouse6A_FP31"	"BioGeo.Mouse6A_FP35.Rep1_S93"	"BioGeo.Mouse7A_FP37"	"BioGeo.Mouse7A_FP41.REP1_S54"	"BioGeo.Mouse8A_FP85"	"BioGeo.Mouse8A_FP89"	"BioGeo.Mouse9A_FP101"	"BioGeo.Mouse9A_FP97"	"BioGeo.SLCFP001"	"BioGeo.SLCFP005.REP1_S24"	"BioGeo.SLCFP019a"	"BioGeo.SLCFP023.REP1_S26"	"BioGeo.SLCFP071.REP1_S27"	"BioGeo.SLCFP077"	"BioGeo.SLCFP091.REP1_S29"	"BioGeo.SLCFP095"	"BioGeo.SLCFP109"	"BioGeo.SLCFP113"	"BioGeo.SLCFP127"	"BioGeo.SLCFP131.REP1_S33"	"BioGeo.Vil1.01B.FP07.Rep1_S107"	"BioGeo.Vil1.01B.FP11"	"BioGeo.Vil1.02B.FP19"	"BioGeo.Vil1.02B.FP23"	"BioGeo.Vil1.03B.FP31"	"BioGeo.Vil1.03B.FP35.REP1_S38"	"BioGeo.Vil1.04B.FP43.Rep1_S88"	"BioGeo.Vil1.04B.FP47"	"BioGeo.Vil1.05B.FP55"	"BioGeo.Vil1.05B.FP59.REP1_S37"	"BioGeo.Vil1.06B.FP67"	"BioGeo.Vil1.06B.FP71"	"BioGeo.Vil1.07B.FP79"	"BioGeo.Vil1.07B.FP83"	"BioGeo.Vil1.08B.FP92.REP1_S41"	"BioGeo.Vil1.08B.FP94.REP1_S42"	"BioGeo.Vil1.09B.FP104"	"BioGeo.Vil1.09B.FP106"	"BioGeo.Vil1.10B.FP116.REP1_S44"	"BioGeo.Vil1.10B.FP118.REP1_S45"	"BioGeo.Vil1.13B.FP152"	"BioGeo.Vil1.13B.FP154.REP1_S47"	"BioGeo.Vil1.14B.FP164"	"BioGeo.Vil1.14B.FP166"
"K01775"	"K01775"	127.7261669953	720.6774133361	819.6183806072	455.989012391	814.7362995871	4477.811975705	76.2796253423	673.4489601747	62.9410191144	0	119.7803088969	8.878526075	44.9901068578	0	81.6687068557	1072.1988662021	17.8217242543	311.1301736736	380.96362155	133.1394573214	836.6994591479	581.0506060674	20.7033834804	1073.9557106465	381.1648357881	71.0900946114	17.4485171965	74.0939589355	57.2461655564	971.9699742903	1136.3539513651	817.4780041472	113.0189393894	282.3189109167	613.9280196634	173.4554048035	805.8682956218	97.0569274067	39.6131655641	42.8218593888	0	257.5467076606	1111.5230632245	1021.2023297826	1854.0490392573	106.0463531475	92.7077507474	25.9616798881	117.0114969457	130.618127034	523.6321760001	0	187.7084473793	666.2841902764	3883.8673349864	490.0900082764	772.9894012164	3982.3971414566	1334.7387166351	6338.6971900675	226.5791714366	109.1465773751	787.6438984464	172.5220503694	47.1887200306	505.7500422937	104.1812993964	64.8095798306	580.6096079067	6388.2919598104	552.7189278642	2422.998105395	458.8192547582	979.1948551299	351.3713171909	2502.9027314875	0	0	11.3580297848	662.5568661553	384.7984864291	8.5034490288	367.3932327693	746.1710642857	85.1841504782	9544.1982088116	1273.0279377825	211.068806701	389.9871788965	504.2315509576	124.356990594	0	187.62790589	201.8843258285	128.3439818229	0	132.6349786891	979.7159319515	200.4016696377	523.8175177407	0	183.3981716682	281.2602199913	2467.5376015179
"K01776"	"K01776"	232.4026385491	549.1691995436	639.7637186542	199.7979497912	538.1689210779	2835.7360518419	229.3247125581	435.2293400877	75.5970480806	93.7731923985	102.5975043802	0	96.8599206352	0	14.6354399748	1181.2248517375	91.1069635794	482.4910613302	721.2946661879	210.6644408086	1048.9981087391	1050.288786254	40.7173435667	1573.2641296732	495.9644269995	167.0926741705	111.753139242	79.1342760796	308.2945724098	788.8256034348	848.841323414	623.2469633081	60.7685547451	1314.5860644802	1957.7032429044	235.3803144284	740.8902384292	515.7274308692	1848.084391087	206.9725162497	153.6849436114	174.655099224	878.1748131485	897.3293182809	1354.1715193561	621.5622353898	586.5287074061	144.5985902714	874.3389355029	124.4857223916	565.1894568892	0	195.4478628506	563.0128331094	2900.0586934504	433.2511437366	535.212719624	2766.9638957082	1462.6272418175	5349.0206065192	171.0184693615	51.309463764	832.9607933354	183.523906164	60.847197766	417.0358116053	99.2026573217	66.2437851626	502.9360635877	3988.1255377137	1282.8377004449	7447.4981168601	245.7669326053	580.0624379913	359.3914964883	2324.6580471169	0	0	19.7771438881	690.3639776683	1339.8557370637	410.7430491407	466.0880451261	1041.8776737273	504.7901167069	8282.6833031826	5663.0473018629	3966.9315029126	1195.8202411579	1203.3865088102	523.130570022	12.4905170694	518.0441421205	1059.2519501137	194.5543321801	50.2358503356	438.8010821574	4291.2995185122	949.6364781733	3802.3962123268	5.1982355047	347.7219183424	505.0176094541	2641.1208663883
"K01777"	"K01777"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.1997946428	0	10.9258277691	22.8919586796	23.7230622436	7.7161564426	30.6407674316	0	23.3133963585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.0049755376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K01778"	"K01778"	0	0	151.3006873555	22.5703658343	76.6678240459	187.3413252724	1347.2554485585	929.601603771	269.3473486965	81.5391548298	134.6015648339	6.2318972918	424.8431339603	0	411.0537245789	5970.1051118357	323.8153485136	2755.7751743795	3728.6635294211	1109.4058113687	4211.0167815969	4364.5278299507	292.9740832834	8698.3410504672	1069.6127764172	139.6925026282	176.4863645985	86.3109340557	450.7152761642	137.1570024393	78.8299381597	36.2192763002	0	1175.5718002707	1992.8538407333	172.1399837541	584.637835712	621.4586419384	2403.8251748303	191.9351614583	137.0687350275	75.51427682	207.9027469134	187.3036775505	64.3536210038	753.6231102652	760.5493659569	188.4291074707	823.1653268735	167.6467555486	330.3480498341	12.6522874349	70.3939684392	474.1413384797	1939.647351867	178.6741448669	84.7348822892	307.6405750793	1168.4681014151	5046.6339089669	182.7002417922	24.5581118442	627.9081742077	119.5599137634	70.6843654839	384.4100201003	49.8801437979	78.67614199	604.0697527225	2847.0969282428	1439.4652734684	6760.5759620273	486.585946945	158.8787239597	474.2444651559	2623.4210348913	0	0	0	792.9213311138	1271.2470979224	582.5482700567	345.5608687998	913.0283335487	560.6935253705	1292.025687988	5811.2965254378	4806.6330364026	1295.2095509755	1084.892928581	629.4205651144	39.794500081	656.803072604	1311.1146472293	199.3772590387	36.8605913467	441.4857760217	5183.30483686	1351.6111580525	4617.9533051341	7806.8082578005	10371.5228929772	577.6509338491	5626.0773618012
"K01779"	"K01779"	0	0	372.1804604727	201.9201347962	314.3403080546	2393.6167496133	11.9719502536	0	0	17.9484081165	0	0	603.9609419764	14.7976618905	0	0	3791.2196873652	662.1326467243	1097.5552192262	112.903143037	826.7429415772	1306.9943438177	11.7538323348	7372.3519986743	418.0356717413	0	0	0	13.3111480865	308.7413448989	351.656162264	220.9891334627	21.6361989898	13.5377474468	0	22.9714769841	226.2369038584	0	0	0	0	0	0	0	0	21.2053365547	15.1141908141	0	0	11.5874414103	103.1054816812	0	42.8584942861	219.2731364531	534.7689819467	261.8526008121	206.9429317318	1414.0214968471	63.2217928762	1526.4664304513	49.4934782064	44.6675219348	97.4167822998	80.3467789648	0	17.8587084871	0	0	124.8344449188	2308.9805538927	113.083083554	840.2649798181	62.4027716119	246.8633336822	67.6981540573	0	0	0	0	140.6557485955	30.9587485991	0	129.7112644624	204.2303362071	12.8641444123	613.5464108476	139.8995578616	0	0	0	10.5927993352	0	0	0	0	0	0	0	34.3716628328	74.7312469869	0	61.5644635456	10.5939073734	24.1625319091
"K01782"	"K01782"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.1526314974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.4733852071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74.9611827269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74.8840301359	0	0
"K01783"	"K01783"	84.8834886796	596.1637097987	466.1654642572	169.0999056845	465.7819512852	2598.8077647531	298.5369777496	466.5762118165	127.0700823841	79.1522279241	138.771193668	42.9967407014	100.6417555555	0	120.2919319279	950.7687423357	66.2806357256	398.3791956058	443.3582416211	187.7444553854	954.5484116761	720.458585563	14.3781114361	1216.3949183622	463.0041490741	138.9996113631	144.2091011002	65.4145390744	258.1017170462	590.8304113648	788.0552638392	530.1651617504	71.0096199369	1050.817833395	2100.362162239	237.5799119877	840.3533424421	385.3750648079	1761.5393068035	144.178563031	119.4438520025	207.9772164415	965.2952753913	829.2759361411	1475.7512936352	564.793223331	600.4625562106	144.9009642634	830.3186829107	141.4818969282	445.4836700788	0	143.9814321189	464.2747309793	2366.0940424733	320.7032495677	543.4160295869	2650.2556731327	1140.6029759525	5189.8841640505	139.9983028562	72.1969775142	599.2531083618	119.4327389893	38.3023950153	332.4261962903	44.2673538207	48.8127322811	398.8736630154	3898.134328168	1093.017264565	6900.8890070828	361.1548610798	530.239407996	422.1493090428	2318.1473134479	0	0	0	647.0908331836	1115.9644296854	396.4297530258	457.4858169021	1079.439111562	409.3069264917	8492.4692142307	5111.9829304249	3695.5959661484	1017.1200921247	1020.2355037459	516.325955735	24.9172533904	506.7431516871	1000.7242144008	148.4050452339	61.4565022495	349.5236196469	4132.2703035328	1128.3092842584	3889.1253152734	10.6423987938	130.8314490886	330.0187887891	2628.6292829787
"K01784"	"K01784"	371.3404026148	779.9040560124	214.7034485642	183.8627485139	218.793930449	879.9120732265	1719.2818060727	1637.3061787716	606.3283180746	215.2982808828	199.4062605164	0	161.8135682809	0	352.4317750854	5219.5655331053	212.2413389261	998.8819181693	2601.1789176655	913.7149836613	3510.6938512777	2934.358310316	239.243313206	3781.4773211478	597.5969821114	401.7199392865	454.1395573759	145.9594850781	1123.5399668049	355.2047424873	493.6704363471	268.216300556	44.7949860615	3367.0856471119	5542.6673244471	457.8569162099	1462.4348582684	1313.4155547065	7315.5773767516	453.4829548597	600.4227308819	223.1221555085	1152.0354453275	1143.5658784997	1868.3753479168	1618.6541799113	1781.8118698423	366.933163395	2516.3065124919	12.8411218488	61.4430298621	0	116.2273047003	52.085497667	733.8347626415	44.7193938078	332.8107997812	1530.7811621405	210.5106226751	5608.9371744837	74.4019999532	29.8982645632	181.3738902001	64.0816205534	44.4805935508	224.0302233384	0	19.7665742139	257.0034304592	3113.8075623328	1704.6060225783	13605.8436200043	425.476184609	605.8142842305	351.3230475149	3077.9101150943	0	0	0	399.4258972553	2599.2266494419	1574.0867704771	632.9944177957	2139.0273969404	1402.4086598438	10830.2133638885	14431.1816150035	12712.0645529244	3296.672195417	2707.2951245723	1622.6407692501	90.2529750492	1634.6018518291	3588.5667091346	454.087102034	188.7835816181	791.8077739642	14821.5932816741	2760.857386212	14272.5370230333	674.6681841468	3974.8323134716	1042.6484826821	5530.5586673809
"K01785"	"K01785"	480.6805553737	0	1400.947746238	171.9915414537	623.281806996	2156.8732175265	428.1229203723	1271.9745915524	127.9408087106	31.2594057622	215.3705539657	0	184.3929890775	0	368.4510717593	1735.4201325465	716.7577511077	1866.4832684148	895.9697194056	196.5696331713	643.5788907571	1493.9241023181	28.1105643582	6857.917057779	430.22354854	281.2501182872	231.7888983395	173.0435948298	496.1034588376	194.9412331569	68.5317365169	101.788656612	0	1374.9177004017	2295.6068131281	240.5676586104	422.0996499789	793.8470384097	2806.2088940519	268.5922718737	184.1282034496	174.9612033241	350.8372542712	269.1064849051	71.2413638945	707.3341243317	812.8406416787	193.7340515342	1130.4914520648	257.7420181608	424.6609295416	8.8267014841	102.6899353796	689.5636305427	3325.6310756881	434.6675490139	231.2670098749	1557.2950974358	1536.9873915254	7361.3675436235	309.0360378604	63.342220253	938.4039884197	200.1237538638	126.8157720944	667.4578927915	79.9914954467	171.7463271109	470.5865617155	2920.4693060288	1252.7768004942	6750.4375048341	218.4498670449	46.08234083	220.4392251834	434.8188816856	0	0	12.8749748511	441.6007133285	1275.7903047317	510.674750777	296.4490223987	838.5085887096	564.9802867031	1282.7487596223	5363.9968083732	4656.861416691	1847.406979335	954.8671668326	794.4958304874	35.8798835593	841.1076630464	1590.7254139641	283.2721628342	72.6303912547	506.5606250303	6764.7033163935	1256.270853792	5658.3999011122	188.391861519	4060.8259938254	608.7466513748	1833.4844871163
"K01787"	"K01787"	35.4774063725	0	47.8833850638	0	52.9010217137	16.7416158687	1055.7430139578	452.5413667864	217.0918343066	0	124.0157230055	0	166.5777750167	0	675.4534460241	4248.0154623906	1065.9453162614	879.6100957241	2168.7579566794	702.4378296347	2266.6717997751	2238.3402624356	202.311439066	3908.6373125374	153.2573784052	96.2144056043	19.3610842207	66.522843221	39.4569309142	143.7235652078	73.1853195837	65.5042341037	0	231.1925475684	169.4526714245	72.2452342972	21.8664581343	81.0556883314	71.0813194768	78.7095673472	33.0799231096	35.0812578559	142.5299149612	176.1256066777	92.4790690974	65.2302501092	87.373048825	16.397599597	131.3064918075	117.8648277724	423.7567982875	0	54.5953448039	433.8987803543	2158.0509679441	153.5823133898	0	281.5595674183	1136.2785420905	2347.4158210633	117.31643266	13.31978744	627.6179018824	116.7822163369	51.0827036665	363.5838698739	65.497642506	66.1193031495	497.8932373196	573.5095648654	881.7996676941	685.3952594872	290.1574381117	58.8488220029	318.8381498308	19.1356381036	0	0	25.509366598	486.081880714	370.597917332	40.1362461499	78.3139301949	124.4846189559	117.6314745808	42.2365709847	1014.5194778703	112.652768259	154.9035185768	32.1314916322	97.0469069775	0	99.0003099399	47.801601006	74.5609674724	0	168.9848300481	40.5951156603	184.3664759734	62.0724445951	711.1385631142	4445.9624309783	186.318905648	6.4246454357
"K01788"	"K01788"	0	0	356.5422530361	144.6252995479	742.2642674914	5117.393016002	282.7665458382	621.9124058061	80.5735007036	77.749577382	7.393715342	16.6005319137	7.2727272727	0	47.3365591112	1388.6418282412	87.3087058843	142.8598098523	494.827742177	302.3097522385	336.531346005	851.1525120596	40.873181462	538.7344169032	255.4180635583	124.9827958833	185.273487649	29.0347578031	339.2276913559	277.6628052466	248.8167252349	704.4365358685	27.3834559486	1313.0000601798	2100.4680708545	68.743414007	535.7530210995	596.4955436434	2874.3013102969	174.4815934696	249.917344661	0	41.360737505	64.2075237616	38.1504761667	604.4790881725	866.5849504641	122.475824215	1237.5481471162	14.5016339869	141.6621365316	0	56.7422372377	239.3939679348	1315.1959037073	226.6806866367	247.0133831879	1485.7352728544	1128.8124115301	10365.0440052351	63.3597092964	32.1105892014	209.0437739628	66.0321818539	0	64.2281017143	0	0	163.6166287679	3398.5358094527	706.6340091882	7046.3317667007	74.0612271195	140.5031578208	74.6103293074	524.7898626262	0	0	0	59.2582126044	777.9773232639	533.4919906879	312.7425206533	1034.4314481687	399.6341611964	1851.3224897679	4942.7631699544	5437.7238106524	1431.9083883857	961.5577041593	613.321129163	32.6220936731	679.2183587006	1416.3981130689	73.8898590659	50.1527832628	361.48401411	6184.9144672372	1102.1005395131	6035.2884548431	0	36.5263500556	301.4870585641	1419.8918211894
"K01790"	"K01790"	136.4272877402	0	590.254897009	156.1754296207	358.8023142142	1749.4459169	336.6109643282	675.5110736412	201.0490853749	118.4292262754	224.6920365875	0	2051.9270185588	24.0991087691	393.0877823851	1673.0942935487	10607.9898424532	2815.5078122432	3635.1954471747	458.3660121475	1694.1593477258	5018.8444339274	56.9265623779	23083.2493549492	1051.2686259169	202.1416439493	208.5799535382	81.3054233449	331.7566819358	461.5431444194	433.6946024095	261.587433407	38.6144093606	1007.5638468643	1875.9458800179	263.8731248609	503.9067586185	431.6576618781	2305.4775523307	140.6423256209	157.33898057	66.1918373115	183.9700941061	252.2193564349	113.9660724901	563.0731490724	631.6264935971	124.0327136458	749.1940980349	164.4138975077	607.5365411407	18.1763360366	111.6574575011	607.9685570262	2572.2537347871	358.9974333501	133.2328896976	1551.1978050753	1204.977627282	9362.5041305149	158.7074693896	52.1395698264	623.9417639532	199.6635132911	121.4384663828	616.2234239988	59.4943820225	111.5861759862	570.5598385271	2471.2970176738	1452.6532923297	6010.7475730187	241.5065030213	322.3805741932	429.560140008	425.6902088161	0	0	13.9650961791	744.1898512478	1579.0359851836	469.9177303711	370.2158580326	886.6586992464	488.8587562355	1739.2199687258	5236.0409612492	3681.0574584622	985.6780928447	757.9889352382	536.8394819227	43.1557768587	544.1797815568	1174.1423022525	384.1875554867	56.7834895642	406.0497116433	4443.6144411511	945.8579948215	3834.496969059	157.0352488703	3225.1396086379	515.1144374957	920.87725368
"K01791"	"K01791"	210.371774219	653.7922619946	519.9911316292	174.3452541504	365.2496731047	1310.5043254939	26.4392094841	78.9956279324	101.6051903411	21.1733639588	278.5202054912	0	204.0979426131	0	343.7722188312	423.7409957901	200.1589206714	895.7552006841	85.7575837366	0	212.7167734528	297.2668559496	0	1666.0562400425	62.6381046063	87.3661804777	11.8248235283	78.3697065851	58.5169732309	509.0245528697	576.3806117061	454.654619042	59.9532821887	363.6347750465	606.3085184649	191.9716906029	484.6945923343	123.259522669	38.4517711095	70.7193831967	11.0713415709	244.2848500332	1053.7292379987	911.0135701882	1557.9622547843	91.0617492131	90.2131440386	43.9950436361	129.1762723798	151.8342268646	586.6392764562	0	208.9737895195	542.6641564393	2277.8564570174	239.2380547121	384.5762856512	2114.816931275	1319.6777053168	4831.9044951916	162.6218027806	53.0231229595	554.5312336765	118.339391098	94.6713970956	303.4284301206	76.5902440924	125.396269402	379.331414254	3067.0730546296	481.9622899257	1190.5916537882	266.107171888	455.3813541976	294.58071292	2278.2541557749	0	0	0	484.462013023	553.9011023141	75.4988142432	195.8320275358	371.214411099	142.6278939115	7577.4057972921	1197.5136883205	173.8904638313	151.5384926676	394.3887762771	187.593287458	0	114.8631740218	57.0709336855	245.7956694869	0	153.9281207046	152.5958123561	159.1704341557	237.6415449079	6.8604560235	282.7037199358	334.8796770146	1752.0110712199
"K01792"	"K01792"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.5369753246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78.0873232791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68.3252274712	0	0
"K01803"	"K01803"	845.7160799565	582.9626732111	1249.797798495	410.3534305929	1228.8267281792	2977.0848266256	556.0367755236	1346.2462980413	592.5821936562	156.7176034856	612.5857862912	0	1791.591112389	0	1299.8390450182	2774.8271304071	7117.6691669535	7309.0012430854	3102.126695095	383.5641866744	2051.111531533	4962.4917144447	14.1358866279	24519.4360502529	1319.809849113	459.050891774	226.0403020018	260.9808896019	557.7656276881	918.4656255411	823.6992434706	699.8444519545	94.310767724	1693.0233040588	2457.5203454644	683.1069184519	1313.8273973479	684.288764956	2796.2720106544	313.9987129401	212.1332434862	390.8914457755	1101.4535003021	1073.9157648826	1391.8950932067	828.2405910781	796.1324214641	186.1599919029	1081.667033445	383.3532058488	1022.7911674015	20.4967101924	225.9979574395	861.5989416237	3890.4397048458	479.9715796263	709.8313594224	2942.8883065109	1830.7084607634	12376.4243675436	359.092285813	49.0376810058	1147.6436026336	209.1049715396	450.2836338715	1456.5010237857	148.7898017297	318.1002087687	1080.3541076671	8357.6893068722	1973.7977015462	9223.3001749618	510.5290957291	1199.8815710753	867.6496064271	5908.7386220218	0	0	34.3334607291	972.1415114521	1518.5653809931	530.1497525506	612.0923012642	1531.0559683443	702.3559719202	15745.7085325187	7010.8811976858	5742.4195933514	1542.2479407651	1696.6411735333	941.4718192691	33.1725310687	852.1127901285	1666.4779860813	848.4420656774	64.2312475229	752.2571664884	7121.152261844	1959.9093069496	6456.9753694406	10623.630447229	5711.6190322184	1287.7037723357	10212.7412540391
"K01804"	"K01804"	365.9928959859	0	770.373999639	0	173.2175849186	104.0380525695	153.3455423894	1245.4459575334	99.7804621943	8.7071264434	85.2566074693	0	272.638966751	0	319.2338468542	2098.3578602323	727.4679268926	3040.8445853275	826.4870939323	222.1371029664	915.4041456493	2104.9625536621	54.8524779988	9015.9073022953	649.9629420415	54.5615026544	0	30.0035654523	0	26.5687393618	0	17.8572879082	0	37.9483484621	17.990877029	58.304931916	12.3730081134	27.46508313	15.6454400955	26.4825043262	13.2350045962	112.7269385961	157.8672349384	22.6126767017	0	11.3006428898	10.2362204724	14.9254177883	0	83.0049632629	21.9732708872	0	10.1819528739	137.8451445676	1607.5367002226	42.784070045	0	138.9608242591	401.7282084229	2893.3890138507	51.1033466634	24.4054348222	243.7728373081	43.3242456655	54.3710927517	492.7552481706	106.4123274608	59.1032471835	209.4519580086	994.7242136971	274.5144305031	649.6096031993	43.1892966538	0	93.9710954593	0	0	0	8.4128748312	155.0644390689	54.7075702202	0	17.0801657402	0	31.9424298478	274.0781678598	232.2532482209	10.8965881429	549.1798832894	12.3213366188	63.8413362807	0	255.797790117	300.5461266285	159.7822529737	6.3516768165	83.6327319697	2097.6292678517	67.3314781798	238.5817984267	157.9188125699	2727.6181161013	282.1978558999	764.6261693672
"K01805"	"K01805"	872.6793815205	0	1374.3792442907	53.2450791147	1215.6526528195	150.1378179857	314.869026949	968.3723166452	433.8606702519	50.9358417283	726.2125384283	0	1221.9918275636	10.1365852027	848.9381064407	1556.8450092145	5288.5316491027	4133.9573135397	1638.6154468215	181.3075992895	944.0282520357	3200.5166275075	20.0579303029	16422.1857270357	623.396089624	523.3048216805	74.7197594574	310.3276676576	125.9127761222	871.6807333972	249.4200314607	465.4156688771	0	813.4140886491	506.7617684628	478.2472102457	92.6468021118	704.1683774035	95.7812830946	571.6791313249	34.1022663148	369.2699461139	531.2236686947	920.2489737149	259.3524960666	554.1522295355	433.3112967796	176.7429613705	424.5914874423	619.5667048329	1958.9590533331	9.9874271502	210.870521013	1037.1393169479	5221.8871929645	480.5450224722	23.9767094857	700.8232506534	3048.2371004824	7115.3261605465	470.7139107596	76.5720812717	1514.9432105098	294.9050538954	339.5567151015	2980.7645973294	442.5119514265	644.1497204036	2970.5810265754	3149.3568325746	4718.7741806894	4306.9081313842	700.6168634784	530.4450331008	2125.9249766192	63.7878898459	0	0	96.4264194066	2013.0602992066	2296.2904092711	114.3520484424	524.5303347302	301.4498985505	512.2900020197	255.3982274602	3998.2151507577	150.214957143	1150.8751268914	219.3847783388	643.0351330293	0	681.8866271289	295.9426212191	545.1216272722	9.4141462672	794.2941769409	1036.304444953	1146.0442183803	156.479237443	260.177447026	4314.8533284817	1039.1822971688	576.081528776
"K01807"	"K01807"	54.8002277784	635.3040825352	520.2729184792	306.5579166643	368.0890174472	2985.0313173562	284.5900259638	1387.6376878459	89.8209653231	117.4637305468	0	6.8036900816	127.1111994459	0	345.9999748578	577.5511701522	737.3034794613	1430.4453727483	391.2557352463	69.0394356285	1032.1111688101	929.0741375473	0	5410.916340891	595.1028244323	124.470141562	167.7245021785	42.1250549355	404.9029922319	575.5013960822	858.6430814279	613.9605787501	85.6468034814	1123.5708425182	2199.4360871818	144.3644558496	1007.5277817118	378.9389047432	2177.1403623439	128.6555952077	145.0337548469	119.0644898281	901.3356648431	823.083320068	1651.0762612416	567.9386297122	668.3042959462	106.0015301981	812.5975302016	10.8044225356	179.0212927517	0	177.6269024647	219.2789602311	2337.862518544	174.9773908256	572.9909506789	2672.4046434903	398.4230965657	4007.2067283739	58.1864816157	47.5663905314	311.799301525	86.61364541	0	399.9438726373	44.8905001286	27.1301247772	270.3588585119	5590.0073316591	831.7943087574	7940.0074362755	247.8558707556	667.7052103248	228.3663283986	2836.6382225495	0	0	0	268.2656382192	951.1142239135	515.1810562532	455.8116788759	997.4471020733	444.2840122077	10731.9680641538	5201.4377796141	4161.3622513026	1365.8482171207	1329.628217238	548.4902528994	32.6194899296	623.1802223846	1533.2497776816	84.2351035135	60.9764709325	277.0918165833	5920.8801948584	1005.9620013802	5169.8112887869	0	119.4754081447	486.4953120154	3986.025977883
