	TL1a_FP_230	TL1a_FP_128	TL1a_FP_129	TL1a_FP_86	TL1a_FP_266	TL1a_FP_159	TL1a_FP_195	TL1a_FP_158	TL1a_DTT_127_Repeat	TL1a_DTT_157_Repeat	TL1a_FP_231	TL1a_FP_284	TL1a_FP_267	TL1a_FP_87	TL1a_FP_194	TL1a_FP_285	TL1a_DTT_284	TL1a_DTT_231	TL1a_FP_85	TL1a_DTT_267	TL1a_FP_127	TL1a_DTT_158	TL1a_FP_193	TL1a_FP_265	TL1a_DTT_129	TL1a_DTT_265	TL1a_DTT_285	TL1a_DTT_159	TL1a_FP_157	TL1a_DTT_195	TL1a_DTT_85	TL1a_DTT_86	TL1a_DTT_193	TL1a_DTT_230	TL1a_DTT_128	TL1a_DTT_283	TL1a_DTT_194	TL1a_DTT_229	TL1a_FP_283	TL1a_FP_229	TL1a_DTT_87	TL1a_DTT_266	TL1A_DTT_673	TL1A_FP_626	TL1A_DTT_675	TL1A_DTT_626	TL1A_FP_674	TL1A_DTT_674	TL1A_DTT_627	TL1A_FP_625	TL1A_FP_673	TL1A_FP_675	TL1A_FP_627
TL1a_FP_231	0.5601544598915688	2.632267243650136	2.090881100110869	0.4831419133040442	2.3556745256000067	1.829730957455026	3.041788989700844	1.8959212470232205	2.0072037312243847	1.6883031117371186	0.0	3.037876700748787	1.9089397009055145	0.7700706103354741	3.1991551017300033	1.7236626793818417	0.8926928653182209	1.787122265738131	0.4702355792870786	1.8131130171961802	1.95560076564911	1.8956256562488465	3.362614769985261	3.010473654014922	2.348717651954216	1.5704124455102333	1.325413855229007	1.7577631100810887	2.1667709794730334	2.7741058646740946	0.5437385712478455	0.27461985573902203	2.5700143496875394	1.2377775284409631	2.0296794024991196	1.340654956454163	2.1795125498698877	1.4252483299378187	1.4977875598883545	0.6705766854300526	0.23162041065007516	1.2251890713561946	1.2530974360464677	0.9670316224418548	0.8556702549193798	0.8895635377159123	1.1354699985770917	0.6056703966261885	0.8683283577340388	1.654219558641925	1.4989421902543127	0.5037639453611247	0.8060270454651693
TL1a_FP_284	3.529127584827151	4.895409871067235	3.962400376458881	2.567449808744845	1.8057589095135536	3.1204843184103233	2.9250346219151924	2.8726161179822274	4.158237904567594	3.203274489044861	3.037876700748787	0.0	2.2684476295892444	3.261668704799142	1.8832905273485046	1.4707874649005472	3.442079195493403	4.800407248286854	2.6312449105849844	3.3583225986347345	3.2281740766319063	3.471571870227981	1.6586531024098183	1.538756329186935	4.607441928548532	3.46481688149667	2.1666241701947024	3.164005267437839	2.4752342288470937	4.184294305619941	2.54137002793145	3.1089419867959327	3.236988060763637	4.239663610205177	4.193727622464147	2.094577583406989	2.924081546644446	2.9658778526277376	2.151701156453325	2.5881668519085244	3.1494710515341513	3.1747093186524085	2.2242039914458833	2.203506417982727	2.345330536327965	2.346693058497837	1.9313263358541701	2.5964547172212944	3.514719194878664	1.5699002182974477	1.8359557596985494	2.6456451004084296	2.385843657922062
TL1a_FP_267	2.4430302094027265	2.701936609723917	1.7391279126492414	1.7062463639655823	0.6246445437303483	0.8941750093794532	1.1982306034247134	0.6099388888018736	1.9945547544552202	1.0884139253568843	1.9089397009055145	2.2684476295892444	0.0	2.5900890981070255	1.438760452493081	1.1784782529433053	1.7279642077901913	3.254631195084927	1.796435453321912	1.1402965106339786	0.9679586130976537	1.2894294954238477	1.6880830951776837	1.3515955249418192	2.4374689136043672	1.3775030335808416	0.7132121716604282	0.9569353067888483	0.3332790226468845	1.9225701146798493	1.7043828195220636	2.1156548272735667	1.066426322158188	2.75164826571879	2.0430934713880347	0.7196347281564897	0.6817993755072413	1.5300751457002488	0.5484265829346849	2.030328461190117	1.8746670836670047	1.208438201681391	1.8456146277309493	1.491691558422189	1.8949676989296371	1.8661148650632002	1.5404435782216728	1.8354261847542737	2.4952323893339705	1.8626412869664695	2.0652418635012784	1.5955795917315354	1.6723683456546972
TL1a_FP_87	0.5844971443733491	3.257776183507283	2.8191061373080335	0.9029003224099167	2.9578040520040862	2.57780584529302	3.7582471884613144	2.641888583894483	2.691216166896366	2.4082861654665217	0.7700706103354741	3.261668704799142	2.5900890981070255	0.0	3.7837001149026985	2.1125413153112103	1.5478150001736677	1.9000836769474296	0.8154168967354214	2.566181586163291	2.7182554767144484	2.622208854170874	3.8983034857252497	3.5481318910346022	2.982157701111091	2.2879311096881323	1.9380457980174803	2.506659378146317	2.866645022043946	3.518574469253456	0.9209505537070852	0.541988806158108	3.326305105514075	1.4374115220707995	2.696513067927697	1.939924107544236	2.9278747508848384	1.91544406854371	2.123170858580732	0.7258882089467372	0.9064875361954575	1.964215893072873	1.3760062560328605	1.3151768673152573	0.948194609506649	1.0008982082381126	1.4109524882372841	0.8448150908292148	0.7900186905080591	1.7586549737565078	1.4827672392287226	1.0260302541936388	1.0917395001057097
TL1a_FP_194	3.757378650844018	3.948701565120986	2.998028333825647	2.88611939444226	0.886051082970311	2.2167529180480074	1.284660329681332	1.9058453628945042	3.314187360191802	2.457729308828536	3.1991551017300033	1.8832905273485046	1.438760452493081	3.7837001149026985	0.0	1.8624600740359232	3.161244420253512	4.678918623559624	2.985940888042697	2.461422188523752	2.2114513359982815	2.601579779118288	0.35947805669325106	0.4220744102337747	3.73253605533891	2.774363682899173	1.9628128325068823	2.303850728589641	1.4019462985452555	2.9138296738182494	2.8846488422541574	3.390628546790864	1.8569251228618318	4.1679859336263885	3.3747199261052083	1.9258800409272971	1.7545166765024662	2.8169695382017483	1.8118532289232212	3.1104649306141905	3.2175905971935497	2.644436038688568	2.841523792360647	2.587097425791312	2.9390209286024533	2.9255500691594327	2.478458542671043	3.0093951964593213	3.8159362957396477	2.526849780412595	2.8146778896732223	2.851055444544637	2.804440821980477
TL1a_FP_285	2.239020847088206	3.5344862647806594	2.641447294383834	1.2899485486233564	1.124370161654024	1.8369168997059848	2.232374626496072	1.6716523391631664	2.784631680454576	1.8374441893440139	1.7236626793818417	1.4707874649005472	1.1784782529433053	2.1125413153112103	1.8624600740359232	0.0	1.9964115868568268	3.402514289675653	1.3472684831742712	2.048264464935918	1.9995417158565774	2.1301256830416393	1.8975888514338983	1.5328052476978409	3.2229318901825232	2.0637628453406682	0.7601653209527427	1.8554743457539202	1.45220751258559	2.9863757357931373	1.2408463230579878	1.812794116561488	2.231897748006646	2.84340946297427	2.800996343370718	0.698945399438734	1.839837627924044	1.5300353211835627	0.7998619807302465	1.4779061230935702	1.7798548448837699	1.7608146050323061	1.0024080995695483	0.8424409133012251	1.184430686113327	1.1408392420331628	0.7221137060280561	1.3055432110366385	2.177857999647986	0.741508894577627	1.0320046380615335	1.2696621738625395	1.0651939768598957
TL1a_DTT_284	1.0973411509746298	1.8375120290102207	1.3140995841960552	1.185579010997625	2.3058276775878808	1.248600447212019	2.652417311925914	1.4495246293155457	1.1867159685392352	1.0240913945311563	0.8926928653182209	3.442079195493403	1.7279642077901913	1.5478150001736677	3.161244420253512	1.9964115868568268	0.0	1.5446708899443509	1.1807016588544674	1.1475400907734719	1.384260912605536	1.1524266883432954	3.387133577405326	3.027130489454291	1.5192325253322287	0.7884743170272269	1.3379164971369397	1.153535287761903	1.867198884406	2.0127167863431676	1.189805969356046	1.0317099669793144	2.0548896380275044	1.0500494645582328	1.1746873334126264	1.3985340578495924	1.7409125127085097	1.0556800238005168	1.438719218396923	1.5154822201061098	0.6762483941808918	0.590742806531	1.676092896708985	1.3868673196808663	1.5561419912896464	1.5220839708727034	1.672800185272502	1.2407532192173576	1.1488121208290787	2.192888840825312	2.151658005805718	0.9756416435436157	1.3195346408841713
TL1a_DTT_231	1.385861561964332	2.124656189356397	2.3098831862886637	2.25530457022739	3.8343303813067573	2.6847869009614653	4.112707614168673	2.9233181297356174	1.9793224593283405	2.4612807959760437	1.787122265738131	4.800407248286854	3.254631195084927	1.9000836769474296	4.678918623559624	3.402514289675653	1.5446708899443509	0.0	2.202046161304555	2.4978940541060894	2.758912798446402	2.4697911450863463	4.907453731170196	4.553483888722013	1.9651463227935992	2.1289679584725327	2.837840175931686	2.5824762860173363	3.3876315862674597	3.0244560495911	2.278937088711667	1.7529570243308616	3.4283481581832698	0.5613819642725645	1.9484447470534088	2.8876894304474496	3.1844690768143478	2.3731672359815326	2.9616608596111074	2.372157732635349	1.6521431429058808	2.087499099269708	2.794534543230535	2.632509658543779	2.5599374790654528	2.557060045866448	2.8875477557544014	2.2610712691705754	1.5242581792214986	3.370641137297623	3.2008408150409156	2.160963589067911	2.4630832571310206
TL1a_FP_85	0.9081919743744449	2.9826383718172935	2.3402326621650387	0.13525967959718133	2.1476656413056867	1.9059284878576916	2.978801945861156	1.9200278313751216	2.3068350950977417	1.7733711489699073	0.4702355792870786	2.6312449105849844	1.796435453321912	0.8154168967354214	2.985940888042697	1.3472684831742712	1.1807016588544674	2.202046161304555	0.0	1.9547795347735604	2.0616755880518247	2.0290165615965314	3.107841672703007	2.7495336272211564	2.67923911945124	1.7488941145786547	1.128675860307175	1.8523134795348228	2.0814379438243105	2.9628544353825483	0.10903092164510386	0.4797447160189835	2.613521116078401	1.6482111376733708	2.3199463031898433	1.126855167237054	2.199112030325716	1.3398197014901239	1.3150520219884079	0.4006849129879691	0.6043244498371517	1.3824590073403087	0.8206659724676203	0.556075396848337	0.3985149160570111	0.4239680749598239	0.7032360383802579	0.1812563312160822	0.9895855568744496	1.1917323453876418	1.0403564256976194	0.2799764957980835	0.3719520478457256
TL1a_DTT_267	2.1842308002891477	1.577740736288443	0.6202421218519439	1.899562367036374	1.7456897859071197	0.27243458985769287	1.6310712157242717	0.5597319457125529	0.8732165866949341	0.3814371353920122	1.8131130171961802	3.3583225986347345	1.1402965106339786	2.566181586163291	2.461422188523752	2.048264464935918	1.1475400907734719	2.4978940541060894	1.9547795347735604	0.0	0.29831039398305675	0.28724566457769884	2.757176971017037	2.4462383418952953	1.3037429864764756	0.4347484102283509	1.3057938297274165	0.20690439440209554	1.0820655954419431	1.0203936711216406	1.9073675690433844	2.0256007691520623	0.943922320847386	2.106253720892694	0.9170861101163771	1.3709175672015848	0.7467876547302472	1.3888581945376661	1.2515257467667178	2.274468413041896	1.6666098022863531	0.6111232092266947	2.247548293636195	1.8922919029497243	2.2407653024909022	2.202710269597533	2.1035486798598857	2.0160250660394583	2.246361932696392	2.5727035471192763	2.6714822348535616	1.70327582616597	1.9647124213335658
TL1a_FP_127	2.36962585080234	1.7620097519905613	0.7953482108507318	1.9912253749034918	1.5483406147013596	0.2617068066089763	1.3693583369731293	0.36531246639119247	1.1043719071339249	0.5754979199397532	1.95560076564911	3.2281740766319063	0.9679586130976537	2.7182554767144484	2.2114513359982815	1.9995417158565774	1.384260912605536	2.758912798446402	2.0616755880518247	0.29831039398305675	0.0	0.5293885713932003	2.5205711257535603	2.2295230965215387	1.523449862236017	0.7245271173381507	1.289695406722087	0.29909368423259647	0.87175992989663	1.0194068047355378	2.004864326540093	2.1829377867078907	0.6795587871971731	2.3566424346805785	1.1699087259716605	1.3440053057706285	0.470799554156645	1.5623241786757012	1.2042698544981114	2.357234453052675	1.8354067832269538	0.8162081429074547	2.3312523667938585	1.9580617138649148	2.31820241175624	2.287665250659496	2.127429960207647	2.128599118590274	2.4596341222240112	2.577168720968775	2.69970053445732	1.8195593911075258	2.056048000774962
TL1a_DTT_158	2.232832360387845	1.5405406864997975	0.6454297409989893	1.9908156677634945	1.8758678966314013	0.41213943442221557	1.7232886419952536	0.7332964160172055	0.8473006941654316	0.30391127996825457	1.8956256562488465	3.471571870227981	1.2894294954238477	2.622208854170874	2.601579779118288	2.1301256830416393	1.1524266883432954	2.4697911450863463	2.0290165615965314	0.28724566457769884	0.5293885713932003	0.0	2.8873223534069887	2.56527606802169	1.2391818486645445	0.368670053484984	1.4016330366018472	0.3599583354467291	1.205375250247568	1.0014867891783752	1.9825963220057043	2.081280231531991	1.067879405143154	2.0951713344949168	0.835348326856833	1.4751752626626862	0.9185461996533856	1.2720991259668089	1.3481375791129102	2.3766072489462635	1.7261366889172838	0.6729607422780038	2.260239394020194	1.9473864684310496	2.3144742245644023	2.259854886010682	2.1945547884913714	2.06934776596806	2.220287645476717	2.6439220103669423	2.7482274769171804	1.7636328734710855	2.0145340042818036
TL1a_FP_193	3.9214720085747308	4.2713632133082555	3.313106384352092	3.0124646658375607	1.0840581825497777	2.504780332613108	1.6126679120863212	2.1983270639190637	3.619052856894952	2.7225429220332327	3.362614769985261	1.6586531024098183	1.6880830951776837	3.8983034857252497	0.35947805669325106	1.8975888514338983	3.387133577405326	4.907453731170196	3.107841672703007	2.757176971017037	2.5205711257535603	2.8873223534069887	0.0	0.3948393383450967	4.04347926955651	3.04496285950185	2.1277050783897797	2.589014377543959	1.6835824325615545	3.249393036785487	3.0045289491020113	3.536808728713114	2.195272070837782	4.383046982300655	3.6737071741045106	2.0835117633524884	2.0721474361185144	2.979625549447105	1.9889263503309675	3.2101578438764555	3.3948650740690427	2.894530907314103	2.892494606678991	2.680495297729782	3.0160641738293865	3.0015888130022863	2.543399833273631	3.118675881240518	3.958517221230742	2.512249250448014	2.8142848185095986	2.9913533687259792	2.9024485179017825
TL1a_FP_265	3.566748095876329	3.990925396399634	3.024525300446318	2.6592606217767614	0.7309399509163039	2.187058058159114	1.4685794405027641	1.8895722249271787	3.3149476813949197	2.3811376489990663	3.010473654014922	1.538756329186935	1.3515955249418192	3.5481318910346022	0.4220744102337747	1.5328052476978409	3.027130489454291	4.553483888722013	2.7495336272211564	2.4462383418952953	2.2295230965215387	2.56527606802169	0.3948393383450967	0.0	3.745195486359992	2.706626964033122	1.752699235410121	2.2675257864970546	1.3717720759948022	3.012422143892728	2.644561217640222	3.177835955094848	1.9738591399683536	4.025120982651754	3.361150537020457	1.7105497334204496	1.800210971841586	2.5893246088657214	1.613168362327364	2.8736028898204107	3.035450458625073	2.5460127501560614	2.5184345401892143	2.3086627898967893	2.6641881428701635	2.641376779637461	2.1930193628042964	2.753358409564031	3.5798954063833763	2.181098012678604	2.487682017129077	2.623339924495021	2.5327757737654837
TL1a_DTT_129	2.4361775691614787	0.3584541545930821	0.7376244648297785	2.6609928174632858	3.0479683971596168	1.568807968386533	2.750130543852854	1.856873884610187	0.4527395393518897	1.4751310253617973	2.348717651954216	4.607441928548532	2.4374689136043672	2.982157701111091	3.73253605533891	3.2229318901825232	1.5192325253322287	1.9651463227935992	2.67923911945124	1.3037429864764756	1.523449862236017	1.2391818486645445	4.04347926955651	3.745195486359992	0.0	1.1739810177623102	2.4675857151939065	1.4959791194424275	2.3767535629781187	1.1918248118524684	2.6804050364179672	2.5079315330763228	1.9941742706955343	1.8703763402234415	0.4322153284480448	2.5368494131257275	1.9795111356206205	2.1516912698662156	2.4669549758056135	2.9857552129698086	2.1536073888808196	1.4713225277007973	3.1294839629019195	2.822965392217384	3.052267121479704	3.0212466395790685	3.087974784901242	2.7516276191745583	2.5283006359704148	3.6062797950785637	3.61799659829078	2.466311652415358	2.8031525107981277
TL1a_DTT_265	1.8756170529131406	1.5023796006504553	0.698155539555655	1.7195274360937387	1.9893926974386307	0.592409301378965	2.0156315701252456	0.8913241960735687	0.7575192315845377	0.36787002428378085	1.5704124455102333	3.46481688149667	1.3775030335808416	2.2879311096881323	2.774363682899173	2.0637628453406682	0.7884743170272269	2.1289679584725327	1.7488941145786547	0.4347484102283509	0.7245271173381507	0.368670053484984	3.04496285950185	2.706626964033122	1.1739810177623102	0.0	1.3170293986481185	0.4955598005504068	1.3802180562304533	1.2736268325527706	1.7158763572976194	1.7500909020453215	1.3642107170868556	1.7337799349899874	0.7440156268577626	1.391637747167054	1.1391441609317985	1.1203779806019922	1.3133636108185567	2.0977446855350053	1.388709343804366	0.38899508972196617	2.062030668104626	1.7446963038703693	2.066036821356801	2.016847529506207	2.00988009617888	1.7968962989517179	1.8823811713765408	2.493247781456267	2.555403154679869	1.4913969787066401	1.7768117584631729
TL1a_DTT_285	1.8615507790601502	2.775401650666488	1.8859951450980177	1.0561697474954255	1.082172212090662	1.1196683022371305	1.8863622320977083	1.0050625740466221	2.0263892811927025	1.1126664541954145	1.325413855229007	2.1666241701947024	0.7132121716604282	1.9380457980174803	1.9628128325068823	0.7601653209527427	1.3379164971369397	2.837840175931686	1.128675860307175	1.3057938297274165	1.289695406722087	1.4016330366018472	2.1277050783897797	1.752699235410121	2.4675857151939065	1.3170293986481185	0.0	1.1228175269143958	0.9922322707933127	2.2817073583681537	1.0295187026077892	1.4884988770770422	1.6572876785277824	2.295961887800958	2.0485224014595236	0.08310227651203078	1.2396804524362235	1.0709006140424167	0.18681948750379943	1.3944937554775512	1.3092497047359641	1.0129204147245199	1.152312706420739	0.7843449335862527	1.2113487773388614	1.1665390927101669	0.8976284508468151	1.1417752089524624	1.8564326069684882	1.2907280921370838	1.4459710175387073	0.9281104914416003	0.9641690622405137
