	Mouse1B.DTT15	Mouse5A.DTT27	Mouse4A.DTT19	Mouse7A.DTT38	Mouse6A.DTT31	Mouse1B.DTT14	Mouse1B.DTT13	Mouse5A.DTT26	Mouse4A.DTT21	Mouse5A.DTT25	Mouse7A.DTT39	Mouse4A.DTT20	Mouse6A.DTT32	Mouse6A.DTT33	Mouse7A.DTT37	Mouse9A.DTT98	Mouse10A.DTT109	Mouse10A.DTT110	Mouse9A.DTT99	Mouse9A.DTT97	Mouse10A.DTT111	Mouse8A.DTT85	Mouse8A.DTT86	Mouse8A.DTT87
Mouse7A.DTT39	0.8630977060992499	0.3323775456011371	0.3369569574465214	0.22018567185114593	0.7458643928175077	1.1519911132618217	1.314251797748888	0.4203889506597456	0.647320650488253	0.5322374788878671	0.0	0.677009518591784	0.44863098170662635	0.11892162794012	1.8415740719286608	3.081055952266495	3.1326471130081006	2.7057474268331023	2.7302434468174543	2.2733614642231452	2.576228177597764	2.194532593679752	2.4523896983711406	2.742106725677496
Mouse4A.DTT20	1.1979813442229814	0.48841809354568577	0.4375219382370059	0.7494844687561516	1.404545593534918	1.2632302519382592	1.781829346962981	1.0961962104352867	0.11430347714743398	0.2652161901962822	0.677009518591784	0.0	1.0952310288801723	0.7465371081979402	2.50789264084752	2.826252216194082	3.669308396836885	3.2927499810470118	2.598470371764693	2.358981085076545	3.1520212925798616	2.6044642051669045	2.6844509744760288	2.6803199255869665
Mouse6A.DTT32	0.7325869975012208	0.6678387833167109	0.6900831583669199	0.36905009977542413	0.3138146860084431	1.128124359125692	0.9826526933169143	0.216947248752914	1.0435541701660582	0.9099959593605117	0.44863098170662635	1.0952310288801723	0.0	0.3583201268324429	1.444449866800506	3.163548568260373	2.716057391206437	2.272393992494936	2.7466345189408647	2.161948063832325	2.144544387509183	1.8646227570219085	2.233025658374266	2.708737229570672
Mouse6A.DTT33	0.8160850151818642	0.380126735595138	0.3810141473538025	0.17332834039073305	0.666929492734597	1.1238622114241452	1.2395331993200205	0.36878836812710925	0.7010236733116597	0.5918451417724631	0.11892162794012	0.7465371081979402	0.3583201268324429	0.0	1.7658392128650726	3.079440705065693	3.0471318210710874	2.6202084198780176	2.717605985437009	2.2353355015673064	2.4886485680267567	2.1211297574807237	2.395719420181273	2.718421002493568
Mouse7A.DTT37	1.9113523277923308	2.109188411669938	2.130460576774924	1.8131643750751436	1.1636236290007564	2.325729572328125	1.6033925182174509	1.4266231010861643	2.459215146645842	2.34927511184355	1.8415740719286608	2.50789264084752	1.444449866800506	1.7658392128650726	0.0	4.3172212118984925	2.1728437305997486	1.590533131391577	3.802740225080009	3.0147587755721803	1.5503261791613971	2.088185946163308	2.7849568465869305	3.672418910329645
Mouse9A.DTT98	2.478029597116518	2.7715888633430965	2.7903628973648757	2.9212089584442666	3.313424782938451	2.050048267324038	2.7333924542353483	3.3246507921536863	2.7956202015186014	2.701225473678769	3.081055952266495	2.826252216194082	3.163548568260373	3.079440705065693	4.3172212118984925	0.0	3.9086739082096633	3.95339567990413	0.6071906781301395	1.477891936494377	3.8057671208378103	2.7135675541915982	2.0318787576828514	0.86847937742294
Mouse10A.DTT109	2.516309157719453	3.1961304096252983	3.23919240197345	2.9628940535158703	2.468117417985476	2.6803778774047866	1.8996951021338284	2.84888372314684	3.6002758947067823	3.420092053493321	3.1326471130081006	3.669308396836885	2.716057391206437	3.0471318210710874	2.1728437305997486	3.9086739082096633	0.0	0.5893018431053617	3.3136128315434874	2.4525492940168796	0.634496758307376	1.2736826102410979	1.878839113415396	3.0520070832473922
Mouse10A.DTT110	2.202206250022571	2.815401776580304	2.856977011188281	2.558025183442446	1.9981362202925774	2.4466138277474996	1.5894694791319284	2.3816924004299844	3.227647494869633	3.0536428817122316	2.7057474268331023	3.2927499810470118	2.272393992494936	2.6202084198780176	1.590533131391577	3.95339567990413	0.5893018431053617	0.0	3.3606385566117813	2.4778598974678623	0.17124302749137807	1.2413105301975218	1.9788748220452879	3.1302762633215657
Mouse9A.DTT99	2.0285447052588768	2.4467804093125607	2.475625347971988	2.5500911061616827	2.856593483923665	1.6192791346213595	2.2021620299122606	2.9175314017323455	2.5595784306695673	2.427484670469265	2.7302434468174543	2.598470371764693	2.7466345189408647	2.717605985437009	3.802740225080009	0.6071906781301395	3.3136128315434874	3.3606385566117813	0.0	0.8832062486358297	3.2164943094796907	2.1196008401426814	1.4362579730582072	0.30377277131182734
Mouse9A.DTT97	1.4433529956152569	2.0613345325534462	2.1005372459399	2.0657209597180435	2.197202143127296	1.1334155292841048	1.4233713666567391	2.3494221318615045	2.3030564658830905	2.131195661974937	2.2733614642231452	2.358981085076545	2.161948063832325	2.2353355015673064	3.0147587755721803	1.477891936494377	2.4525492940168796	2.4778598974678623	0.8832062486358297	0.0	2.3332903613377622	1.2370664514307939	0.6085846567504152	0.677156647569353
Mouse10A.DTT111	2.055012507530257	2.6770374891508695	2.717521760743606	2.4223918526050703	1.879307976714409	2.2929809457916748	1.4398547695601844	2.2635095685253033	3.0845621808809276	2.9122493994095158	2.576228177597764	3.1520212925798616	2.144544387509183	2.4886485680267567	1.5503261791613971	3.8057671208378103	0.634496758307376	0.17124302749137807	3.2164943094796907	2.3332903613377622	0.0	1.0998166780388205	1.8449183664520656	2.988351406335676
Mouse8A.DTT85	1.4121687955548607	2.156733903517092	2.2029438507961205	1.9913974560671472	1.7210032920991307	1.4670698033457719	0.8858253854673002	2.0405002208424263	2.5371781457436295	2.345571083906956	2.194532593679752	2.6044642051669045	1.8646227570219085	2.1211297574807237	2.088185946163308	2.7135675541915982	1.2736826102410979	1.2413105301975218	2.1196008401426814	1.2370664514307939	1.0998166780388205	0.0	0.7681848241785734	1.8910435772088912
Mouse8A.DTT86	1.5907948473029065	2.3107374468247146	2.3543039880458414	2.237227031486939	2.184154113212633	1.4246547488758472	1.3171257922459745	2.4239116566742394	2.6206708233255296	2.4360212364359475	2.4523896983711406	2.6844509744760288	2.233025658374266	2.395719420181273	2.7849568465869305	2.0318787576828514	1.878839113415396	1.9788748220452879	1.4362579730582072	0.6085846567504152	1.8449183664520656	0.7681848241785734	0.0	1.1744912912963024
Mouse8A.DTT87	1.983315520014109	2.480475543731434	2.5119904098914003	2.548909974338327	2.7895488000856	1.5989687629788005	2.07295704646045	2.8896149536173064	2.6332370773204694	2.4899016369697167	2.742106725677496	2.6803199255869665	2.708737229570672	2.718421002493568	3.672418910329645	0.86847937742294	3.0520070832473922	3.1302762633215657	0.30377277131182734	0.677156647569353	2.988351406335676	1.8910435772088912	1.1744912912963024	0.0
