,Vil1.01B.FP11,Vil1.03B.DTT35,Vil1.03B.FP35,Vil1.01B.DTT11,Lyz2.07B.FP283.S81,Itg.24.DTT531.S26,Vil1.10B.FP116,Itg.04.DTT423.S15,Lyz2.06B.FP271.S69,Vil1.05B.FP59,Vil1.08B.FP92,Vil1.02B.DTT23,Itg.20.FP507.S10,Lyz2.06B.DTT271.S113,Vil1.04B.FP47,Lyz2.02B.DTT223.S63,Lyz2.05B.FP259.S56,Itg.22.DTT519.S14,Lyz2.04B.DTT247.S88,Vil1.09B.FP104,Vil1.13B.FP152,Itg.26.DTT543.S39,Vil1.14B.FP164,Itg.24.FP531.S34,Vil1.010B.DTT119,Vil1.05B.DTT59,Vil1.07B.FP83,Itg.26.FP543.S47,Vil1.08B.DTT95,Itg.18.DTT495.S90,Itg.12.FP471.S73,Itg.20.DTT507.S2,Itg.12.DTT471.S65,Lyz2.03B.DTT235.S75,Itg.10.DTT459.S53,Itg.08.DTT447.S40,Vil1.09B.DTT107,Vil1.014B.DTT167,Lyz2.08B.DTT295.S137,Itg.06.DTT435.S28,Vil1.06B.DTT71,Itg.04.FP423.S23,Lyz2.04B.FP247.S44,Lyz2.01B.FP211.S59,Vil1.06B.FP71,Vil1.07B.DTT83,Lyz2.01B.DTT211.S51,Lyz2.08B.FP295.S93,Lyz2.03B.FP235.S83,Lyz2.07B.DTT283.S125,Itg.10.FP459.S61,Itg.02.DTT411.S3,Itg.16.FP483.S86,Lyz2.02B.FP223.S71,Itg.02.FP411.S11,Itg.06.FP435.S36,Vil1.02B.FP23,Itg.22.FP519.S22,Lyz2.05B.DTT259.S100,Vil1.04B.DTT47,Itg.08.FP447.S48,Vil1.013B.DTT155,Itg.18.FP495.S98,LYZFP307,LYZFP331,SLCFP131,SLCFP023,SLCdtt005,LYZFP355,LYZFP319,SLCFP005,SLCFP053,SLCFP095,SLCdtt095,SLCFP077,LYZdtt367,LYZdtt319,SLCFP113,SLCFP071,SLCdtt113,LYZdtt355,LYZdtt343,LYZFP343,SLCdtt077,LYZdtt307,LYZdtt331,SLCdtt053,SLCdtt167,SLCdtt149,SLCFP167,SLCFP149
fbbeae3dceada6928b2cdc472f5d9901,122,45,325,32,36,97,940,38,40,541,88,47,0,0,1352,0,0,26,139,889,15503,44,161,0,77,0,77,0,22,0,0,0,0,0,33,90,39,51,14,35,0,0,0,0,225,0,488,48,0,192,0,0,0,0,0,0,157,0,82,81,0,824,0,1,1,4,114,2,1,1,1,649,1,1,0,6,9,42,2299,19,6,2,1,1,16,4,143,39,573,1,4570
f9130f059b9380b9961aef118b3a529e,23,12,33,8,13,8,194,80,45,46,1263,32,85,36,27,7,0,13,68,238,14,38,214,3,0,0,60,189,3,80,6,28,12,6,18,81,0,20,8,70,0,5,0,9,336,0,0,15,6,18,10,0,53,11,12,13,5,17,3,8,11,0,0,119,9,13,0,23,0,30,0,30,0,0,4,77,2,4,12,0,17,28,3,21,135,37,9,60,53,0,5
f0deb5bac19f248fce27d93d918d3464,6,2,3,0,15,5,123,8,7,6,23,0,30,5,20,0,2,0,20,129,0,6,16,0,2,0,19,6,0,3,0,3,2,0,3,13,8,4,0,14,0,0,0,7,11,0,0,8,2,7,0,0,8,8,8,16,3,2,0,0,0,0,0,20,0,6,0,0,0,19,0,6,7,0,0,0,0,9,8,0,0,0,0,0,0,0,0,12,2,0,16
ad4e760fa406db6470c29766422a47d2,1,16,15,1,4,15,648,261,3,7,1032,80,1,49,16,6,4,15,221,654,42,70,484,0,4,0,10,191,0,80,1,84,14,16,6,120,1,16,12,359,0,0,1,2,596,0,0,5,5,43,5,1,16,11,1,1,1,5,4,4,1,0,2,35,26,0,0,0,0,22,0,0,0,0,0,188,29,0,0,0,60,60,111,6,216,119,0,177,2,56,0
292a57429f3bed0adc53c07dc4c62c9f,7,9,8,6,1,13,258,77,0,8,335,23,5,65,4,0,0,8,69,453,3,40,182,0,10,0,16,39,0,19,5,35,11,5,9,40,9,37,4,26,0,2,7,0,243,0,0,4,0,29,0,0,2,0,0,4,4,2,0,2,0,0,0,18,0,0,0,0,0,41,0,0,0,0,0,59,11,0,0,10,22,18,16,36,38,76,0,24,55,1,0
e5450be8d98da604aa4a1fa0ed722fe1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,2,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,5,0,0,0,3,3,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,9,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,10,2,3
49e9cee41713f4c00f8b171ecaff09b5,8,0,0,0,16,0,48,30,43,21,289,6,10,0,7,0,0,0,0,99,2,0,64,0,0,0,11,17,0,7,9,2,0,0,0,8,0,0,0,0,0,0,0,0,71,0,0,8,0,0,2,0,0,2,2,0,12,2,0,0,2,0,0,21,0,0,0,0,0,8,0,5,0,4,0,8,0,0,7,0,0,4,0,4,27,0,0,4,0,0,4
f5bf4e20e8a4c371b702c2cf491f56e8,1,2,13,0,0,6,1,30,3,5,96,3,4,18,2,6,0,5,195,0,54,4,441,0,0,0,1,151,0,68,0,28,3,2,3,4,0,5,0,6,0,0,0,1,32,0,0,1,0,10,3,0,0,2,2,2,2,0,1,0,1,16,2,33,16,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,58,21,15,75,46,0,4,38,0,5
18285598fe8215895e323b758326f2e2,4,0,0,0,0,0,10,9,0,4,29,0,0,0,0,3,0,3,9,8,0,0,0,0,0,0,3,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,20,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,1,0,0
9ff8565480eb4d1ae1feec02a0dfce35,11,422,4047,0,75,674,9794,1146,492,669,21,1315,19,1358,14,148,584,476,150,14810,290,998,10967,958,291,0,11,3314,0,27,1151,87,187,92,174,311,399,453,31,582,0,1134,14,232,78,0,9,260,41,119,2257,1958,365,432,37355,287,2008,269,1082,24,195,11,23,324,115848,24,582,79,104,172,32,41,48,73,32,110,80,512,629,115,85,175,284,192,253,13635,279,98,46,1,1
028e2c1b650e2e2b5847154a153e0166,5,7,0,17,8,92,5,48,5,8,6,0,0,74,5,0,0,0,0,12,14,0,8,0,23,0,0,0,10,20,0,19,0,15,21,49,0,506,18,28,0,11,7,0,10,0,0,12,0,218,0,9,0,7,0,5,0,0,36,7,0,53,0,14,16,0,0,320,6,19,7,0,0,0,0,19,9,0,0,2,6,8,18,169,18,23,0,169,2316,0,0
8fde870b4c3464dbd28fb743c07f36f1,2,0,2,0,0,0,150,2,0,0,5,0,5,0,4,0,0,0,0,27,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0
3311c81da0640c29e6d9ed4f0529d3d5,2,25,2,0,0,2,0,2,0,3,0,0,0,0,27,0,0,0,0,72,0,0,14,0,0,0,2,0,0,6,5,0,0,0,0,17,2,2,0,5,0,0,0,0,24,0,0,0,0,0,0,0,6,0,12,0,2,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,13,0,0,0,0,10,0,3
4aa01b032f6f21994f27fd7c9ef08933,2,0,0,0,0,0,2,0,0,0,16,0,0,0,0,0,0,0,0,5,0,0,7,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b08002696e45f7e121334d154e2f5d4a,2,0,6,0,0,0,18,5,0,0,20,7,3,5,0,0,0,3,0,16,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,4,0,0,2,0,3,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
204736c3bd4a4c1f840e9fc99a5155d2,3,13,42,3,0,9,304,51,11,27,24,11,6,21,5,3,0,5,37,118,43,26,24,0,6,0,18,20,0,21,0,17,7,0,5,42,9,5,4,38,0,0,3,0,131,0,0,2,0,7,3,7,12,3,7,6,16,3,3,5,0,10,0,13,7,28,10,12,0,0,0,32,0,0,0,14,0,7,5,5,0,11,7,0,17,13,31,2,14,1,12
bbf6f74f140636ff3f33ef2bc3d892a3,13,21,27,1,4,19,1414,112,14,29,86,1,31,15,53,1,0,1,15,1116,2,7,57,0,7,0,59,29,0,30,14,36,4,0,2,25,6,6,2,13,0,2,2,3,285,0,0,15,5,11,6,1,38,14,17,6,1,6,0,19,9,0,0,28,0,0,20,16,10,17,8,24,37,13,0,9,0,31,5,0,0,0,0,4,19,0,4,1,18,2,10
6f06d4c3412c12274598b1a4bc468d3a,0,1,1,1,0,1,134,3,0,1,431,1,1,1,0,1,0,1,1,142,1,1,775,1,1,0,0,163,1,1109,1,495,1,1,1,5,1,3,1,1,1,1,0,1,1655,0,1,0,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0
c8433912bf1d2d7d9dd177739211ae41,0,8,2,1,0,8,1043,97,1,2,731,85,1,71,0,2,0,5,80,640,6,19,297,0,1,0,1,47,0,28,1,145,7,0,14,168,3,19,9,45,0,0,0,1,157,0,0,3,0,7,5,1,5,0,1,0,3,1,2,4,0,0,1,35,20,0,0,0,0,0,0,0,0,0,0,89,23,0,0,0,47,74,30,19,119,102,0,3,4,9,1
8a8c39a3e855256f236f71f39bf300aa,0,3,8,0,0,0,0,11,0,5,0,19,6,0,0,0,0,7,0,0,0,3,0,0,0,0,0,36,0,6,0,0,12,0,12,31,0,0,0,5,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,19,0,2,0,0,2
a172874a13d3e6df1391f0797d95d6bc,0,4,11,3,0,14,122,32,0,7,51,15,0,13,0,8,0,4,12,150,3,20,55,0,0,0,11,17,0,30,0,14,4,0,7,43,5,6,5,21,0,0,0,0,126,0,0,2,0,14,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,27,0,0,0,0,18,0,0,0,15,0,0,1,13,1,3
762fd96b2d1336974fba68fedd33fefa,4,60,7,5,0,15,813,61,3,26,73,29,0,22,0,0,0,11,67,466,6620,30,36,0,16,0,0,7,0,26,0,27,11,4,9,42,16,20,7,34,0,0,3,0,48,0,0,8,0,108,0,0,0,0,0,0,4,0,23,4,0,334,0,0,7,8,0,21,0,0,0,16,0,13,0,12,30,0,6,0,13,0,5,6,103,4,38,29,16,2,3
76d6be90e19a660c9a84b35fa31d801c,0,59,19,10,0,73,1031,121,6,29,363,229,3,124,0,3,0,30,194,797,47370,31,331,0,20,0,5,93,2,51,6,174,9,5,18,96,29,44,9,133,0,0,3,1,132,0,498,4,0,329,1,3,1,1,2,0,0,5,24,12,6,637,3,46,153,0,0,27,84,151,0,43,0,3,0,194,73,0,0,0,204,136,226,33,443,161,130,1111,75,21,21
861fb4882b4c65b68e5998bb89ad59e8,0,10,11,3,0,7,592,31,0,5,94,21,4,12,0,3,0,6,22,118,2,16,40,0,5,0,0,30,0,26,0,38,7,0,8,41,3,7,2,57,0,0,0,0,53,0,0,4,0,12,0,3,0,0,0,3,0,0,2,8,0,0,0,0,5,0,0,6,5,0,0,5,0,0,0,13,0,0,0,0,6,0,0,5,19,16,18,5,5,1,3
64864a4b76fc5cccc00f4e44f8dbcff4,12,19,26,9,9,10,238,133,9,108,1314,53,51,59,12,19,0,13,128,602,22,73,242,0,6,0,26,182,0,120,8,99,15,16,13,96,3,33,9,99,0,4,13,16,584,0,0,11,12,35,10,3,4,6,16,12,7,11,0,16,0,0,6,15,13,12,0,28,0,17,4,25,3,7,0,40,20,3,12,0,25,25,15,59,99,104,16,124,80,3,7
7186c67c129c329bce7d6c988267b231,0,0,4,0,10,15,12,12,14,4,44,4,36,9,11,0,5,0,7,32,0,11,32,2,2,0,14,18,0,27,6,14,5,3,2,17,0,6,2,12,0,0,4,0,71,0,0,4,7,3,0,0,19,4,0,0,3,4,7,3,0,0,0,61,0,9,5,0,0,5,0,12,0,0,0,27,0,4,0,0,10,0,5,0,93,22,0,11,13,0,0
8f2b821cd45696bb55b164853a1917c3,0,0,0,0,0,0,141,6,0,0,10,0,0,0,0,0,0,0,5,43,0,2,3,0,2,0,0,0,0,0,0,0,0,0,0,4,2,0,0,4,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0
2e11ee45d4ccab0775222da825d3bd42,10,10,28,0,0,29,107,126,6,60,240,29,77,39,11,0,11,12,120,141,4,76,270,3,0,0,5,61,0,78,5,51,14,14,32,83,7,33,13,84,0,9,19,0,172,0,0,9,5,15,9,7,13,0,46,17,14,19,7,9,11,0,5,9,8,0,4,27,0,5,0,48,14,5,9,66,6,3,9,4,9,10,23,45,26,24,32,40,68,3,2
