,Vil1.03B.DTT33,Vil1.05B.DTT57,Lyz2.07B.DTT281.S123,Vil1.010B.DTT117,Vil1.05B.FP57,Lyz2.02B.DTT221.S61,Itg.02.FP409.S9,Lyz2.04B.FP245.S42,Lyz2.06B.DTT269.S111,Vil1.09B.DTT105,Itg.20.DTT505.S100,Itg.24.DTT529.S24,Vil1.09B.FP108,Itg.26.DTT541.S37,Itg.02.DTT409.S1,Itg.06.DTT433.S26,Vil1.10B.FP120,Vil1.08B.FP96,Vil1.01B.FP09,Vil1.02B.DTT21,Itg.22.DTT517.S12,Vil1.06B.FP69,Itg.16.FP481.S84,Vil1.03B.FP33,Itg.08.FP445.S46,Itg.24.FP529.S32,Lyz2.06B.FP269.S67,Vil1.04B.DTT45,Lyz2.03B.DTT233.S73,Lyz2.07B.FP281.S79,Vil1.07B.DTT81,Vil1.04B.FP45,Itg.12.FP469.S71,Itg.06.FP433.S34,Lyz2.05B.FP257.S54,Itg.18.DTT493.S88,Vil1.013B.DTT153,Vil1.02B.FP21,Itg.04.DTT421.S13,Vil1.014B.DTT165,Vil1.06B.DTT69,Itg.10.DTT457.S51,Vil1.13B.FP156,Lyz2.05B.DTT257.S98,Vil1.08B.DTT93,Itg.20.FP505.S8,Itg.22.FP517.S20,Lyz2.03B.FP233.S81,Lyz2.02B.FP221.S69,Vil1.07B.FP81,Itg.16.DTT481.S76,Itg.12.DTT469.S63,Vil1.14B.FP168,Lyz2.04B.DTT245.S86,Itg.18.FP493.S96,Lyz2.08B.DTT293.S135,Itg.10.FP457.S59,Lyz2.01B.FP209.S57,Lyz2.01B.DTT209.S49,Vil1.01B.DTT09,Itg.04.FP421.S21,Itg.26.FP541.S45,Itg.08.DTT445.S38,Lyz2.08B.FP293.S91,SLCFP021,SLCFP069,SLCFP111,SLCdtt075,SLCFP051,LYZFP317,SLCFP093,SLCdtt021,SLCdtt111,LYZdtt317,LYZdtt305,LYZdtt329,SLCFP075,LYZdtt341,SLCdtt051,LYZFP305,SLCFP129,LYZdtt365,SLCFP003,SLCdtt069,SLCdtt129,LYZdtt353,SLCdtt093,LYZFP353,SLCdtt003,LYZFP329,LYZFP341,SLCFP165,SLCdtt165,SLCFP147,SLCdtt147
8f2b821cd45696bb55b164853a1917c3,7,0,0,19,12,2,0,5,0,3,2,8,0,7,0,5,24,14,6,0,7,17,19,16,9,10,0,10,0,0,0,19,11,9,4,0,0,3,11,8,0,6,0,2,0,3,4,5,12,20,9,7,2,2,0,3,7,5,6,0,4,6,5,8,25,8,11,0,27,0,0,5,9,10,0,0,0,0,12,0,8,0,14,12,8,0,0,0,28,0,0,3,31,2,8
2e11ee45d4ccab0775222da825d3bd42,69,18,134,100,1239,48,539,223,183,51,579,663,16,1700,684,251,74,308,451,121,201,276,370,504,559,647,236,381,458,192,8,660,468,469,239,452,0,522,546,93,12,182,14,433,40,671,362,595,56,205,364,384,33,119,338,455,922,81,88,116,443,835,244,704,141,103,250,731,607,12,342,227,573,157,62,925,210,524,477,15,82,1731,569,957,41,791,1554,454,718,1067,327,129,92,315,526
b92f84c206887ecd667f142dd3606ac3,25,0,50,94,383,26,42,39,36,31,45,94,12,114,52,66,172,109,214,8,50,226,132,189,95,134,51,48,7,52,6,140,122,43,24,81,0,114,136,53,12,35,0,38,11,165,125,42,96,241,108,59,2,18,119,25,120,63,31,40,71,169,74,61,87,14,25,25,136,14,55,14,7,55,52,357,12,226,118,6,48,88,171,34,77,164,54,146,113,312,214,19,77,79,299
a5641950b2a3a47827849d91242f0ead,36,4,204,146,944,280,252,209,346,65,175,572,27,490,218,207,87,398,768,71,411,1282,348,1319,437,858,453,104,134,176,21,400,537,378,322,296,0,569,493,105,49,130,14,482,79,527,835,217,424,318,229,334,39,70,383,211,582,480,492,73,423,660,193,616,45,53,155,57,259,20,79,98,325,195,183,749,55,472,853,28,56,2052,232,2408,120,684,910,833,238,1936,605,112,431,112,420
37e0f2e7c7ab2a2f738b92a61085aec0,25,0,17,75,126,74,235,146,14,11,154,124,6,153,150,82,21,218,253,28,120,158,123,153,91,106,34,52,101,22,0,142,274,107,156,211,0,253,67,58,7,36,4,372,75,284,232,124,113,20,94,148,9,66,149,29,133,110,91,44,52,139,52,82,60,57,71,53,112,62,10,4,34,86,28,364,77,112,114,96,10,102,46,129,5,931,43,631,69,382,188,20,153,120,316
6f0b4058c92e83c77533a218739a0e38,11,18,0,13,12,0,0,0,16,31,0,0,31,0,47,0,21,64,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,7,0,16,0,0,49,16,0,43,0,0,0,0,0,0,0,0,11,399,0,0,17,0,0,0,11,0,0,0,0,0,0,0,0,0,56,0,0,0,85,650,194,0,119,0,97,0,103,0,0,0,51,0,32,4,111,64,4,1,25,1
87ab9c664033e00f6b64f2afc71a6d90,6,0,11,16,72,14,20,11,3,5,8,17,4,39,19,22,16,41,70,3,17,87,29,53,43,34,13,22,9,36,0,48,38,26,13,12,0,31,27,13,0,4,0,9,0,33,46,34,42,80,17,16,0,0,16,6,37,31,20,4,16,44,11,29,48,0,41,5,55,0,20,5,15,3,11,75,20,19,16,3,20,22,30,16,8,46,14,50,14,124,67,12,10,42,36
3e514d4fe509d063c262ab3e3b224da1,3,4,11,12,159,39,39,39,30,0,10,41,0,14,35,9,13,34,76,29,36,127,17,45,8,51,27,11,18,16,0,22,20,13,26,58,0,184,31,6,11,9,0,22,6,24,64,41,53,44,13,18,3,14,88,17,54,114,110,15,26,23,7,20,4,0,41,19,0,14,6,12,70,31,22,66,10,22,24,9,16,487,44,65,16,59,37,77,33,220,35,21,67,14,12
772ad2feb9f19ddeace71e8e2e707858,325,15,157,770,4857,7790,1135,494,207,207,1720,3088,37,1635,608,155,144,1303,2019,242,1517,3201,2455,3503,3140,2218,2193,495,306,691,47,4328,2054,1278,1157,2705,1,1934,656,552,103,232,58,1262,224,4992,2994,663,5514,1345,1356,1401,115,258,3899,317,1776,10281,12248,301,3113,1381,1087,904,123,471,1121,985,593,404,182,339,413,1324,1152,24445,1352,3608,532,503,142,7487,637,580,93,2154,665,6479,384,14976,3308,458,950,895,2208
178d4eb06bd14fca2d3c300f9f05e384,76,17,416,400,353,369,296,253,503,162,196,652,63,705,641,416,172,804,376,289,322,8,448,408,311,211,210,324,157,297,15,257,190,295,7,507,0,508,884,893,0,229,13,133,83,366,401,237,286,384,603,362,25,174,207,281,316,388,481,128,289,203,485,270,181,5,292,9,497,485,404,332,737,467,318,449,11,1196,249,240,287,700,317,107,436,449,1014,286,880,328,347,312,7987,28,350
5b74065cc4963be8f6447b2c9ffcbc87,0,0,0,490,0,0,0,0,0,255,0,0,106,0,0,0,234,216,0,0,0,0,639,0,0,0,0,0,0,0,0,0,0,0,0,538,0,0,0,231,0,0,33,0,158,0,0,0,0,106,634,0,69,0,791,0,0,0,0,0,0,0,17,20,32,42,46,193,145,1,404,12,71,3,0,0,50,0,78,0,2,0,159,321,2,0,653,0,177,1,0,0,1,43,250
eee9bab26577ab7978a3c7bb4a082922,0,0,0,6,4,0,0,0,0,9,0,6,1766,0,0,41,504,58,14,0,3,152,139,6,10,4,0,0,0,0,8,0,30,61,0,82,0,33,20,151,8,8,93,0,0,4,4,0,0,907,92,14,440,0,72,0,42,0,0,0,17,0,8,0,72,20,19,0,45,0,0,25,11,0,0,0,0,0,14,0,24,0,48,17,28,0,0,0,151,0,0,1,8,1,74
5167710b7280856d9e512a4f58068687,0,0,0,0,31,30,26,38,5,8,14,35,0,25,33,8,5,10,28,19,41,27,7,16,21,40,11,16,20,4,0,32,18,13,0,35,0,89,22,0,3,10,0,7,9,20,52,37,19,4,12,48,0,20,16,12,18,5,16,11,10,16,13,41,0,0,15,30,0,0,0,46,74,6,6,0,10,28,7,2,10,48,78,53,8,36,19,32,58,0,21,0,58,0,53
07a0081d4bc5233563d0269fc2c734d0,0,0,9,11,42,14,16,32,4,0,44,25,0,10,18,10,0,28,34,3,14,49,40,16,12,10,10,13,6,5,0,45,30,9,21,30,0,34,20,22,0,15,4,21,6,60,25,28,36,6,53,18,0,5,27,0,55,27,18,3,18,4,7,9,3,5,7,12,80,3,0,0,44,11,4,74,5,36,38,4,3,204,6,27,6,10,4,10,11,124,26,0,5,10,20
5adc2daa2981bc07e21b14d53496ff67,0,0,3,0,0,4,0,0,3,0,6,0,525,0,5,9,17,1225,0,4,3,0,5,0,4,3,3,0,53,0,0,0,4,5,0,6,0,0,7,0,0,0,0,10,0,7,4,0,10,0,4,4,5,0,4,3,4,0,4,3,0,6,3,0,3,5,13,2,15,6,39,1,2,1,1,28,6,5,3,2,6,1,36,32,1,1,13,26,3,111,7,0,0,0,0
f6fdab15a19dca0441b10f8c0969cb4d,0,0,2,0,16,0,1,3,8,0,1,5,0,1,1,0,1,9,1,0,2,4,2,1,8,2,6,3,1,1,0,6,2,1,6,1,0,6,0,0,0,1,0,6,0,1,2,1,1,3,1,0,0,0,2,3,2,1,1,0,0,1,0,4,0,0,0,0,0,0,0,0,10,0,0,4,0,6,0,0,0,27,0,39,0,0,0,0,6,16,6,0,0,0,0
720832273d925b4115ed01c6d3df48eb,0,0,0,3,10,3,6,0,3,0,17,0,0,0,0,3,0,0,11,3,8,8,23,17,40,4,3,0,0,3,0,0,19,9,0,3,0,10,5,0,0,3,0,0,0,42,25,5,3,6,3,15,0,0,14,4,20,4,0,0,5,0,10,4,6,0,5,0,25,0,3,12,8,6,0,0,3,0,12,0,3,25,6,20,0,6,21,5,4,0,5,1,1,6,8
96c7cedbae877361d087a8b39206d408,0,0,0,0,0,0,0,0,0,8,0,0,14,0,10,0,8,25,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,7,10,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,20,178,30,0,16,0,15,0,11,0,1,0,9,1,5,1,22,19,1,1,11,1
b472d29ebb2e4b918cf5f7e0d7b46ce9,0,0,3,4,10,2,8,0,2,3,2,10,1,6,2,2,3,0,0,0,3,9,6,8,2,5,3,0,0,3,0,0,3,7,6,4,0,0,2,4,0,0,0,5,0,1,11,1,0,2,2,5,0,0,4,3,12,2,3,0,2,3,3,6,0,0,0,0,0,0,0,0,0,0,8,8,4,37,0,0,0,20,0,0,0,6,0,6,5,18,10,0,2,2,3
