feature	rank
K09798	2.124842729
K00033	2.123799204
K01912	2.106216004
K06196	2.105849526
K08641	2.094623457
K02426	2.093183644
K02667	2.093183644
K07074	2.092510284
K01278	2.091138475
K02548	2.090081778
K06970	2.079268134
K16363	2.079039322
K02445	2.078363926
K02394	2.077326625
K02532	2.067036672
K00045	2.066915292
K03322	2.064690477
K17836	2.058817299
K01182	2.058258043
K04023	2.058258043
K07488	2.058258043
K08984	2.058258043
K09931	2.058258043
K15383	2.058258043
K16885	2.058258043
K16886	2.058258043
K16887	2.058258043
K15371	2.05327447
K09954	2.053124861
K02530	2.050909619
K02786	2.047949312
K04757	2.044789792
K00198	2.041543452
K02804	2.038964751
K07714	2.036557475
K07405	2.033096806
K00226	2.031253295
K06906	2.029218483
K15977	2.029218483
K07034	2.028069649
K09988	2.027396691
K06975	2.026476155
K11783	2.023067326
K01960	2.020880576
K19285	2.017765742
K04765	2.015244545
K01661	2.014423534
K06873	2.005244481
K03414	2.003414532
K09125	2.000410131
K00958	2.000100445
K09763	2.000100445
K03561	1.999100699
K07709	1.990028558
K18197	1.986800616
K02482	1.984509824
K02099	1.980957992
K03455	1.978588882
K00926	1.978276293
K01676	1.97565282
K09015	1.970709715
K07735	1.970504637
K19075	1.970504637
K19090	1.970504637
K00619	1.968743831
K01429	1.964062748
K01430	1.963310476
K16052	1.958318218
K07393	1.956733648
K03297	1.955466086
K03328	1.955466086
K03453	1.955466086
K01303	1.949468069
K06191	1.947030144
K03187	1.946734506
K02531	1.946169224
K01428	1.946139329
K03188	1.946139329
K03189	1.946139329
K03190	1.946139329
K00196	1.944812614
K01834	1.944812614
K00156	1.940320034
K18471	1.940320034
K00833	1.939738346
K07588	1.939060738
K00887	1.937221529
K01966	1.937221529
K02122	1.937151697
K01819	1.935471237
K16960	1.935471237
K11782	1.935246812
K07498	1.934525096
K01772	1.92853693
K04031	1.92777903
K00556	1.927298767
K03317	1.9263346
K01991	1.924882598
K01073	1.921543491
K06893	1.921543491
K08717	1.921543491
K05992	1.920805499
K18934	1.920805499
K01847	1.920794836
K03191	1.920693063
K07693	1.920693063
K01911	1.920249026
K09922	1.913870589
K03489	1.91307308
K11535	1.912928946
K01635	1.911012649
K08972	1.907299101
K16211	1.907299101
K09962	1.905284793
K05937	1.901627982
K00970	1.896754105
K03713	1.896754105
K03709	1.895374401
K00557	1.894001533
K03926	1.891070694
K10560	1.890236089
K12527	1.886598741
K11102	1.885478401
K16925	1.87726675
K05813	1.876235217
K02077	1.875117268
K02750	1.873064204
K07778	1.870528181
K03337	1.869057092
K09123	1.868921149
K00210	1.868558743
K03559	1.864946156
K06895	1.864457295
K02022	1.864445753
K08314	1.86021288
K00854	1.858541619
K09973	1.855627055
K03313	1.855294409
K03543	1.853513868
K11996	1.853312724
K00024	1.85208747
K14682	1.851069386
K01760	1.84766097
K03587	1.845637777
K01201	1.845447597
K00638	1.844210715
K01807	1.838738566
K02621	1.834372017
K02779	1.834372017
K16213	1.832865576
K02622	1.83255126
K01079	1.829906599
K01185	1.829299047
K16328	1.826557556
K01975	1.826365803
K05970	1.825124594
K03833	1.820358788
K18119	1.819829756
K01579	1.818598936
K00425	1.817382053
K00426	1.817382053
K02517	1.814672733
K02840	1.810920142
K16323	1.810426354
K02588	1.80920972
K07223	1.808187302
K03481	1.806171864
K07078	1.806171864
K08282	1.80275581
K03549	1.801907932
K10009	1.801629006
K01575	1.801611784
K02424	1.801000846
K09963	1.800907647
K00208	1.80077453
K09128	1.800731369
K10010	1.799799429
K03366	1.7973679
K04086	1.797225189
K02076	1.796422134
K18979	1.796206304
K02074	1.793127128
K02075	1.793127128
K13678	1.79108882
K11733	1.789368035
K03309	1.786083643
K15524	1.785317668
K01256	1.784602642
K08153	1.784602642
K12292	1.782132723
K02009	1.781639875
K19055	1.781296792
K11785	1.775644998
K09764	1.774004898
K09004	1.772788283
K02000	1.770464319
K02002	1.770464319
K02427	1.768553388
K02533	1.768553388
K08305	1.768553388
K09774	1.768553388
K10231	1.768284138
K02121	1.767586124
K03590	1.765857701
K11392	1.764278508
K01935	1.764197134
K06890	1.763512732
K01483	1.76345878
K06286	1.76324206
K06896	1.763038772
K08659	1.761128733
K02169	1.761016412
K09014	1.758238791
K03474	1.757941798
K02001	1.75729795
K13694	1.752924505
K02245	1.752733712
K03336	1.752546074
K12524	1.752134085
K07505	1.751575569
K09791	1.750103061
K08961	1.749343381
K09758	1.748600647
K09794	1.746865103
K07474	1.744987532
K13479	1.744784932
K00330	1.742292813
K01581	1.74220346
K00754	1.741201329
K07130	1.740675508
K18831	1.739337347
K10546	1.737723074
K00339	1.735455979
K00342	1.735455979
K00924	1.735455979
K01241	1.735455979
K02361	1.735455979
K02781	1.735455979
K03183	1.735455979
K03293	1.735455979
K05815	1.735455979
K05910	1.735455979
K06156	1.735455979
K06216	1.735455979
K06331	1.735455979
K07118	1.735455979
K07164	1.735455979
K08156	1.735455979
K18891	1.735455979
K18892	1.735455979
K07496	1.735428228
K08728	1.735428228
K02012	1.732685924
