feature	rank
K01693	14.50247823
K02473	14.48070165
K07502	14.46036471
K03706	14.38194746
K01192	14.32001672
K02121	14.29988276
K03340	14.29587065
K07138	14.2851131
K13015	14.2851131
K02283	14.28208997
K07137	14.26667333
K08600	14.26667333
K02049	14.26172713
K01449	14.23608373
K06042	14.23608373
K01750	14.23347837
K13542	14.23347837
K04061	14.23270076
K07216	14.23190604
K01286	14.21497924
K10206	14.20907643
K00786	14.19212413
K19117	14.19012278
K00936	14.17735207
K06001	14.1722573
K06383	14.16898831
K02189	14.15583564
K09121	14.15211196
K18344	14.14735776
K19119	14.13773126
K11261	14.11007566
K18350	14.08728415
K00284	14.07686036
K07005	14.07686036
K12308	14.07191695
K07098	14.06991774
K18014	14.05561192
K12452	14.03690958
K07794	14.02918351
K07105	14.00171939
K18349	13.99539823
K02188	13.98941734
K08978	13.96090368
K05934	13.93384433
K19118	13.92989335
K05936	13.92194046
K02227	13.92184918
K02232	13.88976001
K01572	13.85470739
K01182	13.84521813
K00290	13.80696519
K02371	13.79769032
K13626	13.78164468
K15024	13.74547175
K13747	13.71949444
K09759	13.66921077
K13004	13.66263077
K03394	13.65488535
K07729	13.65371251
K02050	13.64809789
K06317	13.6353997
K07813	13.6353997
K04517	13.58384493
K06898	13.58384493
K04045	13.57811679
K01308	13.42245357
K01950	13.34854674
K02654	13.34854674
K01198	13.34113815
K06864	13.32242412
K01609	13.27582955
K05337	13.26494064
K07099	13.20336466
K11189	13.20226969
K00096	13.17535777
K06306	13.16600561
K00737	13.13449761
K18987	13.13449761
K06411	13.09906018
K05967	13.08857244
K06605	13.06900052
K01880	13.0273653
K18234	13.0273653
K04784	13.0214528
K06408	12.99526239
K01746	12.97715879
K01777	12.97715879
K10794	12.97715879
K03525	12.95943924
K03573	12.95382594
K12113	12.95382594
K03308	12.90414032
K07271	12.90414032
K18475	12.90414032
K03783	12.88332691
K02499	12.87700229
K16961	12.76098913
K16962	12.76098913
K07240	12.74637307
K03415	12.73965117
K06897	12.70991851
K09469	12.70991851
K17828	12.70038456
K19271	12.6840331
K16905	12.65083556
K18707	12.65083556
K06412	12.61847366
K14086	12.61847366
K14087	12.61847366
K14088	12.61847366
K14089	12.61847366
K14090	12.61847366
K00433	12.60985056
K06015	12.57292941
K09706	12.57292941
K18346	12.53957206
K06400	12.52583388
K02203	12.48569192
K07003	12.48143748
K02224	12.47659519
K02315	12.47356361
K16906	12.46548038
K09729	12.44845958
K01267	12.4259455
K02823	12.42443403
K18675	12.42246042
K10200	12.42019528
K10201	12.42019528
K00983	12.40350416
K01551	12.40350416
K03388	12.37986951
K03389	12.37986951
K03390	12.37986951
K10540	12.37986951
K15856	12.37986951
K09116	12.35350611
K00918	12.34355877
K13010	12.34080292
K03608	12.33593983
K10793	12.33593983
K01273	12.31735021
K10795	12.31626083
K10796	12.31626083
K04041	12.30950791
K01006	12.21769387
K00018	12.18733441
K07473	12.18174867
K19055	12.12025919
K07053	12.11651622
K06402	12.08727402
K10242	12.03948767
K06973	11.95491319
K00952	11.94258947
K02278	11.94258947
K09696	11.91947161
K09697	11.91947161
K06320	11.91699605
K09770	11.91699605
K09766	11.90145374
K07777	11.89022223
K01615	11.86691978
K11692	11.80088687
K19244	11.76348639
K08989	11.76018674
K06331	11.72412976
K06284	11.71099431
K10112	11.70852809
K18330	11.70075096
K00856	11.68442079
K16011	11.65962564
K03310	11.64972465
K02027	11.63985609
K09740	11.63335781
K04477	11.61826987
K19350	11.61801212
K09692	11.6028314
K10441	11.6028314
K05524	11.57980009
K08722	11.56218813
K11615	11.52766809
K01091	11.52698208
K06079	11.50929118
K19789	11.50929118
K01790	11.50866462
K10439	11.49325084
K00010	11.46000333
K05571	11.44808445
K02647	11.44222489
K10241	11.43962745
K03406	11.40910487
K05342	11.38893689
K09749	11.36627555
K14534	11.33577363
K03742	11.33174453
K03684	11.30456376
K05568	11.27046044
K11691	11.26094482
K15598	11.25881126
K15599	11.25881126
K15600	11.25881126
K00854	11.25712795
K05773	11.25296947
K06857	11.25296947
K00766	11.25256571
K00437	11.25247254
K06951	11.25247254
K07007	11.25247254
K07096	11.25247254
K07168	11.25247254
K11180	11.25247254
K11181	11.25247254
K11646	11.25247254
K13819	11.25247254
K14091	11.25247254
K18008	11.25247254
K07192	11.23348541
K02004	11.19615901
K05838	11.18452426
K02404	11.1762917
K08679	11.16427495
K07224	11.14437156
K16301	11.14437156
K01658	11.08578411
K05919	11.08040182
K01467	11.06008713
K16907	11.02723861
K09775	10.96191122
K06208	10.94884602
K03655	10.92004046
K10440	10.91574587
K15770	10.91282815
K17215	10.85793579
K03818	10.8561769
K18331	10.85223858
K10805	10.83991621
K02392	10.8215297
K02438	10.8215297
K00835	10.81655159
K01792	10.81655159
K05541	10.81655159
K07031	10.81655159
K08219	10.81655159
K11744	10.81655159
K18697	10.81655159
K01191	10.80863339
K18986	10.80863339
K10819	10.80853673
K07590	10.79681174
K00702	10.7716063
K02190	10.76492149
K00721	10.76173425
K03518	10.76173425
K12506	10.75937968
K04759	10.74753537
K06179	10.74458685
K07219	10.74458685
K00091	10.73842962
K07243	10.73842962
K01354	10.73616795
K13893	10.73365206
K03527	10.73020447
K04562	10.72784252
K07816	10.71135405
K15635	10.70989191
K16153	10.69241246
K00874	10.64485653
K06395	10.64485653
K05795	10.6438392
K03810	10.6318518
K00169	10.62525452
K00170	10.62525452
K00172	10.62525452
K00040	10.54511901
K05566	10.54233626
K02406	10.530767
K04758	10.51866431
K05567	10.51850413
K07793	10.49272769
K00171	10.47343824
K00179	10.44917498
K00180	10.44917498
K07451	10.44741785
K05569	10.43275556
K00014	10.41758074
K02282	10.41758074
K00058	10.41532775
K09017	10.4090068
K06195	10.40273586
K13894	10.40273586
K13895	10.40273586
K05939	10.40058576
K06181	10.40058576
K14761	10.39693073
K00042	10.38426459
K19158	10.36446067
K06016	10.35895213
K09936	10.34870991
K11928	10.33779015
K01023	10.3220493
K06391	10.32025593
K03496	10.31035757
K02852	10.27998656
K06603	10.24946454
K03563	10.24301304
K08282	10.24241726
K00850	10.2368524
K03763	10.2368524
K10542	10.22736363
K01251	10.22358954
K00821	10.21805757
K02589	10.21805757
K02590	10.21805757
K05772	10.21294949
K06871	10.20222986
K00102	10.18930974
K00297	10.18930974
K00757	10.18930974
K00972	10.18930974
K01653	10.18930974
K01715	10.18930974
K01885	10.18930974
K02405	10.18930974
K02416	10.18930974
K02418	10.18930974
K02422	10.18930974
K02556	10.18930974
K03426	10.18930974
K03498	10.18930974
K03615	10.18930974
K04486	10.18930974
K04565	10.18930974
K05794	10.18930974
K06133	10.18930974
K06147	10.18930974
K06410	10.18930974
K06872	10.18930974
K07282	10.18930974
K07658	10.18930974
K09765	10.18930974
K10190	10.18930974
K12511	10.18930974
K13677	10.18930974
K15527	10.18930974
K15987	10.18930974
K16345	10.18930974
K19221	10.18930974
K10012	10.18108723
K00008	10.17663575
K03292	10.17663575
K02078	10.16996965
K02029	10.1438719
K13280	10.1422069
K07246	10.11540198
K06969	10.11512802
