	IL17.DTT.115	IL17.DTT.116	IL17.DTT.127	IL17.DTT.128	IL17.DTT.139	IL17.DTT.140	IL17.DTT.188	IL17.DTT.199	IL17.DTT.200	IL17.DTT.217	IL17.DTT.218	IL17.DTT.25	IL17.DTT.26	IL17.DTT.103	IL17.DTT.104	IL17.DTT.49	IL17.DTT.50	IL17.DTT.85	IL17.DTT.86	TKO.DTT.1	TKO.DTT.2	TKO.DTT.43	TKO.DTT.44	TKO.DTT.31	TKO.DTT.32	TKO.DTT.19	TKO.DTT.20	TKO.DTT.55	TKO.DTT.56	TKO.DTT.73	TKO.DTT.74	TKO.DTT.91	TKO.DTT.92	TKO.DTT.103	TKO.DTT.104	TKO.DTT.109	TKO.DTT.110	TKO.DTT.127	TKO.DTT.128	TKO.DTT.139	TKO.DTT.140	TKO.DTT.151	TKO.DTT.152
IL17.DTT.128	3.0988419715828797	1.0681232172848536	3.146636627387591	0.0	2.8025607758769797	2.9371580259449224	1.7573893354104066	0.49982145548887374	0.1854287698525876	3.5605455097987346	1.0766211768648444	4.320525542352438	1.8272898400971673	3.115234334167703	1.7232488151854706	3.310852466039605	1.4071676943612965	2.362291312419918	1.0020659964055094	1.445247473572004	2.845442215361236	3.188222829507784	2.184918051781909	2.7874882903571656	2.252585971064682	3.020837289524995	2.843457698228947	2.225077113497952	2.83047907147903	3.58994031809524	3.031908802743956	3.2136763883100405	3.1319778206392286	2.934829505167925	2.521833452807247	3.9118488659783313	2.7934508851996087	3.4361593374632675	2.0287144407167657	3.322385598398347	2.7611792937522983	3.995308650351183	2.830661333073295
IL17.DTT.139	0.9117270191451234	1.7880019345645886	0.8367632270825002	2.8025607758769797	0.0	0.6834014232628904	1.808758190445153	2.3459939985446154	2.6437886428379413	2.336572143021701	1.8556325174645318	1.6046401502366163	1.2161986421171265	0.7681613856156653	1.090593989418946	1.1494033707449773	1.850260584213001	0.9331812696368634	1.84778331725076	1.9825795781381743	1.905546441146768	0.3877291705185786	2.025279948260595	1.1889070308312195	2.197358447631221	1.1903503666229858	2.1161673844866185	1.0120566226863015	1.9814221866333956	1.2618821509719587	1.4819050284642468	0.5872036346430755	1.6662787237942278	0.34390509814788234	1.0947223859739885	1.1439649239941962	1.0399336952345595	0.6502438983152858	1.7440030962440016	0.5209928732467304	1.4272119413218147	1.3729148654152858	1.9119025959760725
IL17.DTT.140	1.5565762466389	2.0503334248636493	1.4206929221894982	2.9371580259449224	0.6834014232628904	0.0	1.5622653323181765	2.54538775874275	2.798061769043416	3.0000097108627273	2.1601875045232024	1.8895509417627878	1.1286688994413772	1.3519859078731804	1.3435555431456199	1.7980466500471108	2.272507271392843	1.5521600260952406	2.0990053005681295	2.426900267819901	2.5656653011883868	0.7237923872145059	1.6036364440140194	0.5871198321044377	1.7578785224281528	0.5177289495572578	1.5285057241865025	0.8269458952715811	1.3882946902084732	0.7036488157181159	0.819784938357076	0.469539061743518	0.9998486081676083	0.5834885252488792	0.6296780357673598	1.1571573372760622	0.4283519948248127	0.8237151371404292	1.3927812121816245	0.8330363173476186	0.8266956050181036	1.0727330507976116	1.315869576499556
IL17.DTT.188	2.4873364213640357	1.4085132874358677	2.402598593232677	1.7573893354104066	1.808758190445153	1.5622653323181765	0.0	1.570150327021598	1.6894722584251367	3.5852117039206393	1.5604307951257466	3.3046057512474496	0.6642923598647277	2.3466524690140336	1.2113860631020315	2.7774689324740613	1.934739733411007	2.0180206525587567	1.4061797571864167	2.0495687721925075	2.961756711852739	2.1060872002585405	0.5949910251625663	1.176224344761633	0.7017491857966238	1.4283085948798653	1.1750483972857346	0.8464611706054525	1.1281990664757218	2.0567299750213595	1.3787631131950424	1.9330749628729944	1.4325723226961125	1.7892480622838751	0.9649156826550697	2.663761476319072	1.2791063941753245	2.2823238980962115	0.31740825609119677	2.2431858760836008	1.1117645030768382	2.56192008373424	1.1102974003517347
IL17.DTT.199	2.6054916185539008	0.579706550471991	2.6624044520414683	0.49982145548887374	2.3459939985446154	2.54538775874275	1.570150327021598	0.0	0.3350866008979422	3.097882002821193	0.5781771530065518	3.8424899819795124	1.4818940702376433	2.6322006619736085	1.2712515607271848	2.8127570062744875	0.9328742379558446	1.864042381625995	0.5138244129720657	0.993711689217161	2.376311124135588	2.7332355574845253	2.048276396473533	2.468721910809263	2.1506712710810483	2.6908750550656335	2.678121213814885	1.8686544822896511	2.641569617717671	3.2211973438044557	2.744419037777354	2.7883457884066565	2.865566121742147	2.494001521816038	2.194432592194848	3.467306851107731	2.4533143152753034	2.985154659840929	1.8307600486815587	2.863939550282752	2.481475567359985	3.5883828491729566	2.629087882782009
IL17.DTT.200	2.9369647713407336	0.8950910148919072	2.990961955133796	0.1854287698525876	2.6437886428379413	2.798061769043416	1.6894722584251367	0.3350866008979422	0.0	3.414409266320782	0.9032191554232956	4.162139891814326	1.70021321985333	2.9592717274165667	1.5598143633301924	3.14451330900369	1.2348005137082763	2.194259671726893	0.8298800150704666	1.2966162106249337	2.693058750511783	3.030482991876617	2.1245605626644095	2.674775620535482	2.2058811096376294	2.9027246881051423	2.7754612508262198	2.106652070692532	2.7564868455678186	3.4604047590450726	2.9248912047998368	3.0688953874578	3.034129398961519	2.787695063103888	2.4066787043829256	3.7613455560635223	2.6684596891915136	3.2818457493694804	1.9528334540568648	3.163990101317162	2.656412879283387	3.855022262338124	2.754078179368419
IL17.DTT.217	1.4689995685666029	2.684549195763444	1.6486162252775969	3.5605455097987346	2.336572143021701	3.0000097108627273	3.5852117039206393	3.097882002821193	3.414409266320782	0.0	2.5927201650533864	2.364847665789389	3.0468563233852066	1.707240604643131	2.5405281204725116	1.3114358674032633	2.261500437847219	1.6646188870682908	2.732284344564415	2.123194885052952	0.7413635771421161	2.41707656632424	4.040587385577313	3.43268565119111	4.204602100703865	3.481911018892153	4.323357430310201	2.969214279610837	4.191100229682015	3.466866222661505	3.7794415260842382	2.7311985337717526	3.946716691298932	2.4539316597235787	3.27096939707025	2.787136555728408	3.3394304841748164	2.5179780675214176	3.6953021764956295	2.400501599388129	3.684493757590267	3.311309406773238	4.118709852988366
IL17.DTT.218	2.053180820523239	0.16170125425855764	2.130670064597146	1.0766211768648444	1.8556325174645318	2.1601875045232024	1.5604307951257466	0.5781771530065518	0.9032191554232956	2.5927201650533864	0.0	3.311571198016596	1.2368734749200918	2.1022835244712783	0.8246641924848584	2.247172452310852	0.4340933425336143	1.2982723574814743	0.1732469737008244	0.5902780587072498	1.8628308915246676	2.240789755660036	2.0482666884927134	2.2022453984642913	2.187155149133339	2.397640841615207	2.606974184510314	1.5822824631654129	2.5435206050183647	2.858011244317842	2.508128622006292	2.3485239892473113	2.656591632162203	2.0364022510314856	1.9282590871614518	2.9887540835603823	2.14977802565778	2.498940105377701	1.7746201303772393	2.364639835856417	2.266669463081164	3.164327675326368	2.5165618307425794
IL17.DTT.25	1.3502655994630712	3.28213813785664	1.2396263787696309	4.320525542352438	1.6046401502366163	1.8895509417627878	3.3046057512474496	3.8424899819795124	4.162139891814326	2.364847665789389	3.311571198016596	0.0	2.7881715642360874	1.248162279679172	2.650122303162122	1.304271093544407	3.193362679347193	2.0692462356072925	3.3437523861034264	3.2408061899817007	2.432796958379227	1.270774147757619	3.4690097721791626	2.4113609585323896	3.6193999729282735	2.2836933287118164	3.3628078627245843	2.4590510432415185	3.2148211125131128	1.8449790486613122	2.595564370609549	1.4340953282333075	2.721935547205756	1.5196552301347337	2.456593460775709	0.8442096459084286	2.308960321547437	1.0741996746501814	3.212499581648559	1.1316039698562552	2.682848680837316	1.3692937085921955	3.132628438495378
IL17.DTT.26	1.9037505118715308	1.0913372686465612	1.8515334742734846	1.8272898400971673	1.2161986421171265	1.1286688994413772	0.6642923598647277	1.4818940702376433	1.70021321985333	3.0468563233852066	1.2368734749200918	2.7881715642360874	0.0	1.7933192111393832	0.6158934225669761	2.175987210279911	1.5123950480076744	1.4165872139602287	1.119813349842748	1.6775714305303266	2.421788821448533	1.552276619551417	1.011967389840676	0.9937527048146391	1.184392027636558	1.2095542436189064	1.4317076504846165	0.4957761136322052	1.3447013954421496	1.7634998993596953	1.2814366441673573	1.4711803938713401	1.4212592561757615	1.2798873057046314	0.7232321039791562	2.2035705910067245	0.9751976443391478	1.7677548340864715	0.6961859102606975	1.6945352401706038	1.0326844231861665	2.19483606414165	1.3068766795331723
IL17.DTT.103	0.2915072812908181	2.0863678204517706	0.06965694520458975	3.115234334167703	0.7681613856156653	1.3519859078731804	2.3466524690140336	2.6322006619736085	2.9592717274165667	1.707240604643131	2.1022835244712783	1.248162279679172	1.7933192111393832	0.0	1.5323433910181525	0.5667079155278743	1.9932796469504106	0.8813398666269214	2.145956591404415	2.011834408960781	1.455750105997168	0.7704533940197937	2.665520019945746	1.8248842440355018	2.8286511783559005	1.8289901601408656	2.7838403609201596	1.5452393996728548	2.6390741254846404	1.7638887273990709	2.145849895674079	1.0306975321563552	2.3049550958567657	0.7810536296245819	1.729220948310375	1.2122593808281124	1.7345892855824925	0.8613616808711019	2.3464213120307273	0.7645579467799846	2.102733512448679	1.6625477054313769	2.559051176925266
IL17.DTT.104	1.5538355197511802	0.7241203874984513	1.5800305690923824	1.7232488151854706	1.090593989418946	1.3435555431456199	1.2113860631020315	1.2712515607271848	1.5598143633301924	2.5405281204725116	0.8246641924848584	2.650122303162122	0.6158934225669761	1.5323433910181525	0.0	1.7891000160663664	0.9700863892193851	0.9111025317196638	0.780342956096186	1.1679244802548632	1.874014908293379	1.4769698502641577	1.6070867198677223	1.453152993497713	1.7790850319378078	1.618528029555632	2.0259710833275624	0.8971517599764014	1.9364140667229652	2.0451664005418566	1.7640538485491966	1.5563282922703328	1.9333332845654905	1.27653442027264	1.1956553481793528	2.222356577712325	1.3649176780532384	1.735403523952291	1.3036767365544257	1.6110567267351015	1.5514743583147463	2.356548806416605	1.8963892287593618
IL17.DTT.49	0.3147405753924948	2.263265685271747	0.5272326796746986	3.310852466039605	1.1494033707449773	1.7980466500471108	2.7774689324740613	2.8127570062744875	3.14451330900369	1.3114358674032633	2.247172452310852	1.304271093544407	2.175987210279911	0.5667079155278743	1.7891000160663664	0.0	2.0315429571023436	0.9525328832703863	2.3259007651444814	2.053254923276312	1.1603370049460153	1.1401638193690329	3.10622751089681	2.310655243726472	3.278148553361566	2.3038845187632617	3.2539736293222368	2.016521354096047	3.116085477890353	2.20771065901383	2.6131391061750295	1.490883984355007	2.7871527669508716	1.2752482661699505	2.2059424566758383	1.5308739825982305	2.1836976095793346	1.2330802283951583	2.79059803808065	1.1078086991500404	2.5680747766779333	2.0392386364319304	3.0423746526001123
