#OTU ID,TL1a_FP_140,TL1a_FP_207,TL1a_FP_206,TL1a_FP_242,TL1a_DTT_169_Re_extracted,TL1a_FP_98,TL1a_FP_75,TL1a_FP_141,TL1a_FP_62,TL1a_FP_74,TL1a_FP_171,TL1a_FP_99,TL1a_FP_63,TL1a_FP_243,TL1a_FP_170,TL1a_FP_205,TL1a_DTT_139,TL1a_DTT_171,TL1a_FP_73,TL1a_DTT_74,TL1a_FP_139,TL1a_DTT_141,TL1a_DTT_241,TL1a_DTT_243,TL1a_DTT_205,TL1a_DTT_206,TL1a_DTT_62,TL1a_DTT_242,TL1a_DTT_73,TL1a_DTT_63,TL1a_DTT_207,TL1a_DTT_75,TL1a_DTT_97,TL1a_FP_169,TL1a_FP_61,TL1a_FP_241,TL1a_DTT_140,TL1a_DTT_99,TL1a_DTT_98,TL1a_FP_97,TL1a_DTT_170,TL1A_FP_638,TL1A_FP_685,TL1A_FP_686,TL1A_FP_639,TL1A_FP_687,TL1A_DTT_638,TL1A_FP_637,TL1A_DTT_639,TL1A_DTT_687,taxonomy
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Rikenellaceae_RC9_gut_group,1,0,0,27,2460,0,0,0,2,0,1,0,0,0,459,0,2,0,0,4,3,0,68,0,1,0,0,0,0,0,4,0,0,258,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides,1345,0,0,0,187,861,1587,859,1934,1208,1943,971,2143,0,890,0,906,1209,1012,884,1723,909,0,0,0,0,634,0,1077,571,0,499,1239,1141,1982,0,893,1478,809,1123,1026,619,933,2440,1111,1164,563,2123,5270,765,
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Alicyclobacillaceae;g__Tumebacillus,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,5,0,0,17,0,0,14,3,1,0,0,0,0,0,0,9,28,0,0,0,50,0,12,0,3,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus,1,0,0,0,497,40,27,9,0,11,2,0,9,19,32,8,5,0,14,3,0,3,29,4,7,62,0,0,9,0,18,8,0,20,4,0,3,13,0,10,21,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__,0,0,0,0,9,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae;g__,23,37,37,29,0,28,37,8,28,25,10,12,32,49,3,9,17,14,16,5,18,39,33,12,26,18,7,11,17,7,18,7,0,7,37,16,0,17,25,5,3,0,9,26,2,12,0,3,7,3,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae_1;g__Candidatus_Arthromitus,7,5,5,24,326,19,31,53,10,6,6,24,6,67,26,94,11,62,54,5,6,4,26,6,1,25,2,6,56,2,5,0,5,70,7,3,6,5,44,19,14,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae_1;g__Clostridium_sensu_stricto_1,0,0,0,0,19,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiales_vadinBB60_group;g__,0,0,0,0,213,0,114,0,0,166,0,0,0,0,10,0,0,0,0,6,0,0,121,3,0,0,0,5,0,0,19,0,0,24,0,0,0,34,0,0,33,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae;g__Eubacterium,4,10,9,0,0,13,16,4,9,7,26,15,11,0,13,14,0,4,22,5,15,0,0,0,2,19,2,0,16,0,8,0,3,30,15,0,6,3,4,15,0,3,6,4,3,6,5,0,7,10,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Family_XIII;g__,27,33,22,14,61,13,41,16,27,19,36,27,26,17,9,25,37,39,45,28,13,60,73,71,147,34,23,39,21,18,58,13,75,35,88,11,25,47,55,17,33,9,6,9,6,16,4,26,55,40,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Family_XIII;g__Family_XIII_UCG-001,49,35,11,8,6,22,7,6,22,8,7,5,8,5,3,14,15,11,24,28,17,43,0,9,54,12,3,0,5,3,26,3,46,11,35,4,0,20,19,18,7,3,4,5,4,6,0,5,0,2,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__,1363,1105,540,827,1419,387,2303,562,1591,971,1335,641,1839,963,840,384,957,1230,1099,1084,613,1061,962,877,1371,540,4075,4606,1297,578,825,798,904,665,1615,535,672,1010,999,383,1526,34,31,35,66,89,35,111,93,21,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Acetatifactor,0,0,0,0,959,0,0,0,0,2,1,0,0,0,0,0,0,0,0,7,0,0,164,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Anaerostipes,69,59,28,0,0,0,77,63,103,39,162,0,108,0,103,59,28,79,71,18,99,84,0,0,14,44,9,0,28,12,26,56,0,75,74,0,94,0,0,0,65,0,4,3,0,5,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia,635,1053,902,776,19,282,384,158,575,254,355,417,455,606,176,1569,634,474,346,657,170,699,1084,1191,6820,2535,714,1246,748,563,2426,1349,967,165,496,637,1029,733,317,196,356,38,28,43,40,189,10,100,60,22,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Cuneatibacter,0,5,4,3,3,3,6,0,8,4,4,2,12,4,0,5,4,2,7,0,4,0,4,0,10,3,10,3,4,5,0,3,0,0,6,0,0,5,9,0,0,0,5,5,3,4,5,5,8,2,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Eisenbergiella,142,217,220,149,2,21,0,24,0,0,94,15,0,119,14,136,63,38,0,0,99,95,83,118,872,147,0,72,0,0,186,0,224,24,0,153,72,50,28,28,48,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__GCA-900066575,15,143,86,155,218,18,103,11,61,37,84,48,70,127,32,16,20,46,49,12,55,30,15,114,73,49,21,112,16,18,63,16,73,36,93,29,17,77,32,31,75,2,0,3,0,0,2,7,4,2,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Hungatella,0,0,0,0,0,8,43,1,38,17,0,29,27,1,0,0,0,0,34,8,0,0,0,0,0,0,15,0,40,12,0,11,15,0,28,0,0,23,26,26,0,4,14,6,0,7,12,6,28,11,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnoclostridium,1012,2738,1420,1095,848,563,1849,617,998,612,3100,2023,1525,1295,1188,495,762,1346,1675,1565,1346,1509,577,804,1877,717,1774,566,1016,1249,1455,983,1554,1767,2898,531,1045,2049,1549,1811,1206,80,70,159,224,240,91,446,537,58,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_FCS020_group,0,0,0,0,57,0,0,0,0,3,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_ND3007_group,171,78,82,3,3,55,0,7,0,0,26,15,0,0,11,61,39,14,0,0,14,26,5,0,454,56,0,1,0,0,79,0,99,5,0,5,109,34,20,4,15,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_NK4A136_group,12,32,8,108,959,15,788,6,36,6777,41,28,16,191,344,48,363,83,55,142,31,42,4702,206,10,311,1057,2310,31,63,245,43,87,176,79,46,37,1884,35,54,752,2791,2971,2520,2997,7731,12124,1227,6876,8190,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-001,0,0,0,0,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,17,0,0,43,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-004,0,0,0,0,198,0,0,0,0,5,0,0,0,0,8,0,0,0,0,2,0,0,54,1,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,45,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-006,0,0,0,0,34,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,20,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lactonifactor,1,14,16,3,0,2,6,0,7,4,5,8,5,3,2,6,0,0,2,0,3,0,0,0,47,20,0,0,0,0,7,0,5,0,8,0,0,5,2,1,0,0,0,0,0,3,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Marvinbryantia,5,14,9,18,0,7,13,7,9,5,2,10,19,10,3,15,5,7,10,0,6,0,0,2,2,5,2,0,0,0,4,0,9,3,9,10,28,0,3,7,1,0,0,0,0,5,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia,0,11290,5442,0,78,0,0,0,0,0,0,0,0,0,15,1392,0,0,0,0,4,0,24,4,31,188,0,0,0,0,3778,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Sellimonas,4,12,16,12,0,2,6,0,7,3,0,0,0,9,2,7,0,2,8,3,3,0,14,10,28,8,0,6,0,5,5,0,7,7,9,8,0,9,6,3,3,4,7,8,6,7,3,14,63,3,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Shuttleworthia,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Tyzzerella,272,805,497,141,142,200,320,207,325,102,54,76,259,130,58,117,273,652,158,191,306,809,277,307,800,237,388,200,190,275,219,221,244,112,510,129,291,564,234,84,341,43,0,5,30,0,18,45,157,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__UC5-1-2E3,40,0,6,5,0,3,11,10,1,7,53,6,3,20,7,3,49,45,4,0,13,36,22,22,22,3,0,16,9,0,17,2,0,9,0,12,20,25,15,2,15,0,0,5,0,4,3,1,45,5,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae;g__,0,0,0,0,40,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Romboutsia,33,8,5,0,23,4,3,7,0,0,186,5,0,0,24,7,32,51,0,0,18,45,5,13,119,13,0,6,0,0,21,0,527,48,0,4,64,13,0,11,35,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__,64,94,46,36,234,46,32,9,30,31,23,17,30,45,66,56,30,48,42,49,12,26,52,35,80,36,60,29,68,27,38,16,77,43,56,37,81,65,55,43,56,11,0,4,0,2,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Anaerotruncus,4,50,12,7,72,0,0,2,0,0,11,0,0,5,6,8,0,12,0,0,0,5,17,18,36,35,0,90,0,0,154,0,0,4,0,0,9,0,0,0,107,15,12,13,35,38,15,16,127,26,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Angelakisella,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Butyricicoccus,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium,9101,349,273,442,49,0,30,1168,0,0,10659,0,0,329,1633,507,468,2117,0,0,921,1257,512,405,1168,230,0,392,0,0,359,0,0,1240,0,531,928,47,0,0,1391,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Flavonifractor,17,65,18,98,0,15,34,12,39,28,117,29,66,185,19,14,20,41,32,7,36,20,117,113,70,28,26,101,18,19,64,8,85,48,94,113,87,70,24,24,31,11,5,13,23,13,11,42,46,14,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__GCA-900066225,51,2,5,8,8,19,24,6,46,7,0,13,18,6,0,0,0,0,47,3,7,6,0,4,16,0,11,2,28,8,5,0,52,0,79,0,0,2,4,15,1,0,3,5,0,3,0,3,6,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Harryflintia,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Intestinimonas,0,0,0,0,190,0,6,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,5,0,0,0,0,0,0,8,0,0,35,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Negativibacillus,0,118,93,37,0,0,0,0,0,0,20,0,0,47,2,137,0,2,0,0,0,0,11,18,173,8,0,9,0,0,32,0,0,2,1,66,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillibacter,0,0,2,0,161,0,32,0,0,69,0,0,0,0,11,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,8,0,0,0,0,0,0,15,11,0,23,0,0,0,0,0,0,0,2,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminiclostridium,0,0,0,0,237,0,52,0,0,177,2,0,0,0,41,0,0,0,0,2,0,0,68,2,1,0,0,4,0,0,15,0,0,30,0,0,0,36,0,0,33,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminiclostridium_5,22,16,13,9,467,5,15,4,40,28,27,5,15,5,7,5,6,10,15,16,18,22,61,52,128,10,0,51,7,5,70,4,70,24,112,15,54,8,0,11,101,0,2,3,2,0,0,0,14,3,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminiclostridium_9,0,0,0,0,766,0,87,0,0,93,3,0,0,0,17,0,4,0,0,9,0,0,8,0,1,0,0,0,0,0,8,0,0,18,0,0,0,6,0,0,82,4,0,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-003,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-004,48,83,59,59,3,70,111,47,115,43,72,36,77,33,37,52,50,84,121,11,128,24,100,88,303,91,34,55,40,20,143,12,121,65,357,51,27,73,53,45,86,6,9,23,9,3,7,8,18,7,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-005,0,0,0,0,14,0,15,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-009,0,0,0,0,43,0,9,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,9,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-010,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__UBA1819,280,445,216,61,10,74,99,36,94,54,1275,116,50,61,88,200,37,46,110,37,51,42,81,41,319,66,23,38,50,14,95,13,156,121,264,100,35,31,18,120,41,9,12,19,16,24,7,30,14,9,
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__,87,249,98,129,0,52,161,66,91,59,79,118,147,107,41,13,29,7,134,39,81,30,22,27,22,14,50,21,50,22,34,20,78,24,223,42,0,70,57,129,8,4,7,21,8,89,5,17,48,10,
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Candidatus_Stoquefichus,448,127,85,170,7,311,238,103,214,74,82,135,185,138,121,120,391,721,288,535,251,752,193,306,227,242,1146,169,1414,1014,204,924,644,154,475,96,232,1119,849,544,348,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Dielma,0,0,0,0,0,9,26,0,15,11,24,4,19,0,8,0,0,24,12,10,0,0,0,0,0,0,15,0,10,6,0,5,0,13,23,0,0,20,9,5,19,2,0,13,4,3,6,7,28,5,
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Dubosiella,0,0,0,0,36,21,0,0,0,0,0,0,0,10,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Erysipelatoclostridium,122,63,98,38,8,63,44,50,98,66,62,24,99,20,40,68,113,30,101,33,62,53,9,28,104,52,57,22,61,47,34,27,255,57,38,37,0,99,39,63,40,9,1,6,18,0,8,37,104,0,
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalibaculum,0,0,0,0,833,43,16,0,0,3,0,0,0,0,0,0,2,6,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemania,68,256,100,100,2,41,190,42,97,63,144,62,136,91,70,117,67,98,77,57,38,82,75,93,146,127,99,93,144,85,107,69,99,68,152,102,87,92,94,43,82,2,3,14,3,3,6,10,0,6,
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Turicibacter,2,165,121,100,0,0,0,0,0,0,0,0,0,73,0,443,29,0,0,0,3,20,120,85,1667,298,0,99,0,3,311,0,0,0,0,30,55,0,0,0,0,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Acidaminococcaceae;g__Phascolarctobacterium,5159,0,0,0,0,1633,2757,572,2212,676,0,897,2245,0,0,0,910,0,2479,509,1071,1209,0,0,0,0,1285,0,1603,481,0,305,877,0,8260,0,519,847,437,869,0,77,94,240,106,43,110,209,530,102,
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila,866,0,0,0,4,581,1359,896,1111,942,3843,930,1427,0,1861,0,196,762,1093,236,1394,350,0,0,0,0,166,0,502,80,0,80,706,1803,2150,0,222,337,335,1248,468,79,116,255,196,139,98,193,297,85,
