,Itg.10.DTT455.S49,Vil1.01B.FP07,Lyz2.04B.FP243.S92,Vil1.04B.DTT43,Vil1.07B.DTT79,Vil1.06B.FP67,Lyz2.01B.DTT207.S47,Itg.22.FP515.S18,Lyz2.05B.FP255.S52,Lyz2.04B.DTT243.S84,Vil1.04B.FP43,Vil1.09B.FP106,Itg.02.DTT407.S99,Lyz2.08B.DTT291.S133,Itg.24.DTT527.S22,Itg.26.DTT539.S35,Lyz2.08B.FP291.S89,Vil1.06B.DTT67,Vil1.02B.FP19,Itg.26.FP539.S43,Itg.18.FP491.S94,Itg.12.DTT467.S61,Vil1.07B.FP79,Lyz2.02B.DTT219.S59,Itg.24.FP527.S30,Lyz2.07B.FP279.S77,Lyz2.03B.FP231.S79,Itg.18.DTT491.S86,Itg.06.DTT431.S24,Lyz2.05B.DTT255.S96,Itg.08.FP443.S44,Lyz2.07B.DTT279.S121,Vil1.08B.FP94,Vil1.05B.DTT55,Itg.16.FP479.S81,Vil1.05B.FP55,Lyz2.06B.DTT267.S108,Itg.16.DTT479.S73,Itg.12.FP467.S69,Vil1.14B.FP166,Itg.20.DTT503.S98,Itg.22.DTT515.S10,Itg.06.FP431.S32,Lyz2.06B.FP267.S64,Vil1.013B.DTT151,Itg.02.FP407.S7,Itg.04.FP419.S19,Vil1.02B.DTT19,Lyz2.01B.FP207.S55,Itg.08.DTT443.S36,Vil1.13B.FP154,Vil1.03B.FP31,Vil1.010B.DTT115,Vil1.08B.DTT91,Vil1.014B.DTT163,Vil1.09B.DTT103,Itg.10.FP455.S57,Lyz2.03B.DTT231.S71,Itg.20.FP503.S6,Lyz2.02B.FP219.S67,Itg.04.DTT419.S11,Vil1.10B.FP118,LYZdtt351,SLCFP067,SLCdtt019,SLCFP091,LYZFP327,SLCFP073,SLCFP019a,SLCFP049,LYZFP339,LYZFP315,SLCFP127,LYZdtt363,LYZdtt315,LYZFP351,LYZFP303,SLCdtt109,SLCdtt001,LYZdtt303,SLCFP001,SLCFP109,LYZdtt339,LYZdtt327,SLCdtt067,SLCdtt163,SLCdtt145,SLCFP163,SLCFP145
292a57429f3bed0adc53c07dc4c62c9f,116,54,34,45,0,52,49,12,16,57,69,7,36,73,134,35,40,0,35,26,14,48,36,26,56,22,17,42,31,13,29,131,152,0,27,80,279,44,60,3,76,15,28,170,5,2,85,1,54,23,0,25,2,0,36,10,45,39,75,47,45,18,221,0,0,0,123,71,5,0,156,512,0,468,206,173,365,70,0,590,21,31,72,102,37,169,248,21,117
e5450be8d98da604aa4a1fa0ed722fe1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,2,7,0,0,0,7,3,0,0,3,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,3,0,0,0,0,5,0,0,0,0,5,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
49e9cee41713f4c00f8b171ecaff09b5,85,30,28,41,0,115,26,25,14,42,109,6,56,30,71,30,19,0,59,23,60,81,39,18,112,16,35,43,21,21,39,43,14,0,19,157,100,9,109,0,17,27,48,133,3,32,163,11,38,6,0,39,0,0,31,5,48,11,31,35,83,47,94,18,4,46,14,7,41,27,101,183,20,292,106,205,149,56,3,294,62,14,0,57,18,43,87,75,17
f5bf4e20e8a4c371b702c2cf491f56e8,75,49,113,22,0,9,134,14,8,194,114,0,15,10,308,34,0,0,15,13,81,25,6,786,110,1,3,45,10,10,5,43,1,0,5,3,168,2,109,1,15,7,95,173,258,23,149,1,151,11,3,72,0,0,29,0,52,211,57,1238,33,1,17,0,1,0,22,189,0,0,477,591,0,410,513,12,572,0,17,721,109,0,82,25,87,2,113,0,174
18285598fe8215895e323b758326f2e2,16,9,6,7,0,12,20,5,0,23,8,0,0,5,16,0,0,0,6,0,0,15,8,26,0,0,4,9,0,5,0,5,0,0,9,28,0,15,10,0,0,6,0,0,0,0,0,0,10,5,0,5,0,0,0,0,13,0,0,19,0,0,18,0,0,0,3,0,3,8,12,16,0,81,0,25,5,4,0,42,0,0,10,14,0,1,18,4,2
9ff8565480eb4d1ae1feec02a0dfce35,1610,0,58,0,0,67,51,2633,8037,1064,73,23436,4415,1902,1307,2856,78,0,6494,2956,19,2138,0,135,3931,336,62,277,1052,4640,628,904,2622,11,1078,5046,2668,1448,2277,9850,494,4656,582,5493,130,4519,679,961,58,560,146,6867,572,0,1439,2342,3003,1014,117,267,648,9664,225,830,545,49,21130,0,745,32,227,193,55,206,750,133,406,4356,92,3674,34,3371,523,9959,719,9489,4045,1029,413
028e2c1b650e2e2b5847154a153e0166,1,0,0,0,18,8,35,0,5,201,6,32,122,646,0,0,12,29,6,0,0,15,6,0,0,0,0,0,15,50,0,423,0,30,0,13,22,0,0,41,0,0,0,9,106,0,0,0,0,682,29,0,14,25,564,15,0,17,0,0,387,11,22,0,5,0,32,2,2,0,20,25,0,30,28972,17,33,0,30,69,0,0,330,43,10,0,1344,0,0
8fde870b4c3464dbd28fb743c07f36f1,0,7,0,3,0,39,0,3,3,0,19,2,0,3,0,2,0,0,7,25,6,0,25,4,10,0,2,2,0,0,3,0,0,0,2,5,0,2,9,0,4,3,4,0,0,3,15,0,5,0,0,21,0,0,0,0,0,25,5,4,7,4,3,11,13,0,0,4,39,0,12,4,3,5,0,35,3,4,0,25,61,13,0,0,0,0,0,0,28
3311c81da0640c29e6d9ed4f0529d3d5,9,3,0,10,0,31,0,4,0,0,29,3,17,0,3,6,0,0,4,8,7,8,3,0,3,0,0,3,4,0,22,0,0,0,14,8,0,4,6,0,0,4,4,0,0,29,12,0,0,0,0,39,0,0,0,3,8,0,0,0,5,0,0,16,0,9,0,17,11,15,0,0,9,0,0,0,0,9,9,7,19,30,0,0,28,0,17,0,28
4aa01b032f6f21994f27fd7c9ef08933,0,0,2,3,0,4,13,2,3,7,6,0,0,2,9,0,0,0,8,0,3,2,0,4,3,0,0,2,0,0,0,0,0,0,2,3,5,2,7,0,2,2,2,3,0,0,6,0,0,8,0,3,0,0,2,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,6,14,0,12,0,14,4,0,4,0,10,0,0,0,0,0,15,0,3
